county,precinct,office,district,candidate,party,votes,election_day,early_voting
Live Oak,02 Lagarto,US Senate,,John Jay Myers,LIB,12,12,0
Live Oak,02 Lagarto,US Senate,,David B. Collins,GRN,7,5,2
Live Oak,02 Lagarto,US House,15,Dale A. Brueggemann,REP,372,241,131
Live Oak,02 Lagarto,US House,15,Ruben Hinojosa,DEM,128,101,27
Live Oak,02 Lagarto,US House,15,Ron Finch,LIB,26,23,2
Live Oak,02 Lagarto,Railroad Commissioner,,Christi Craddick,REP,382,253,129
Live Oak,02 Lagarto,Railroad Commissioner,,Dale Henry,DEM,110,85,25
Live Oak,02 Lagarto,Railroad Commissioner,,Vik Wall,LIB,13,11,2
Live Oak,02 Lagarto,Railroad Commissioner,,Chris Kennedy,GRN,18,14,4
Live Oak,02 Lagarto,Railroad Commissioner,unexpired,Barry Smitherman,REP,400,263,137
Live Oak,02 Lagarto,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,45,40,4
Live Oak,02 Lagarto,Railroad Commissioner,unexpired,Josh Wendel,GRN,23,17,6
Live Oak,02 Lagarto,State Senate,21,Grant Rostig,REP,339,214,125
Live Oak,02 Lagarto,State Senate,21,Judith Zaffirini,DEM,158,127,31
Live Oak,02 Lagarto,State Senate,21,Joseph Morse,LIB,28,24,3
Live Oak,02 Lagarto,State House,31,Ann Matthews,REP,392,261,131
Live Oak,02 Lagarto,State House,31,Ryan Guillen,DEM,128,100,27
Live Oak,03 E George West,Ballots Cast,,,,431,186,245
Live Oak,03 E George West,Straight Party,,REPUBLICAN PARTY,REP,69,27,42
Live Oak,03 E George West,Straight Party,,DEMOCRATIC PARTY,DEM,138,69,69
Live Oak,03 E George West,Straight Party,,LIBERTARIAN PARTY,LIB,1,1,0
Live Oak,03 E George West,Straight Party,,GREEN PARTY,GRN,0,0,0
Live Oak,03 E George West,President,,Mitt Romney,REP,219,77,142
Live Oak,03 E George West,President,,Barack Obama,DEM,206,104,102
Live Oak,03 E George West,President,,Gary Johnson,LIB,2,1,1
Live Oak,03 E George West,President,,Jill Stein,GRN,0,0,0
Live Oak,03 E George West,President,,Write-ins,,0,0,0
Live Oak,03 E George West,US Senate,,Ted Cruz,REP,205,68,137
Live Oak,03 E George West,US Senate,,Paul Sadler,DEM,183,95,88
Live Oak,03 E George West,US Senate,,John Jay Myers,LIB,9,5,4
Live Oak,03 E George West,US Senate,,David B. Collins,GRN,4,1,3
Live Oak,03 E George West,US House,15,Dale A. Brueggemann,REP,170,47,123
Live Oak,03 E George West,US House,15,Ruben Hinojosa,DEM,232,124,108
Live Oak,03 E George West,US House,15,Ron Finch,LIB,9,3,6
Live Oak,03 E George West,Railroad Commissioner,,Christi Craddick,REP,185,60,125
Live Oak,03 E George West,Railroad Commissioner,,Dale Henry,DEM,197,100,97
Live Oak,03 E George West,Railroad Commissioner,,Vik Wall,LIB,2,1,1
Live Oak,03 E George West,Railroad Commissioner,,Chris Kennedy,GRN,8,3,5
Live Oak,03 E George West,Railroad Commissioner,unexpired,Barry Smitherman,REP,192,64,128
Live Oak,03 E George West,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,96,44,52
Live Oak,03 E George West,Railroad Commissioner,unexpired,Josh Wendel,GRN,7,4,3
Live Oak,03 E George West,State Senate,21,Grant Rostig,REP,134,44,90
Live Oak,03 E George West,State Senate,21,Judith Zaffirini,DEM,273,134,139
Live Oak,03 E George West,State Senate,21,Joseph Morse,LIB,7,3,4
Live Oak,03 E George West,State House,31,Ann Matthews,REP,182,61,121
Live Oak,03 E George West,State House,31,Ryan Guillen,DEM,214,108,106
Live Oak,04 W George West,Ballots Cast,,,,521,204,316
Live Oak,04 W George West,Straight Party,,REPUBLICAN PARTY,REP,132,47,84
Live Oak,04 W George West,Straight Party,,DEMOCRATIC PARTY,DEM,61,38,23
Live Oak,04 W George West,Straight Party,,LIBERTARIAN PARTY,LIB,1,0,1
Live Oak,04 W George West,Straight Party,,GREEN PARTY,GRN,0,0,0
Live Oak,04 W George West,President,,Mitt Romney,REP,409,140,268
Live Oak,04 W George West,President,,Barack Obama,DEM,107,60,47
Live Oak,04 W George West,President,,Gary Johnson,LIB,3,0,1
Live Oak,04 W George West,President,,Jill Stein,GRN,1,1,0
Live Oak,04 W George West,President,,Write-ins,,1,1,0
Live Oak,04 W George West,US Senate,,Ted Cruz,REP,371,120,250
Live Oak,04 W George West,US Senate,,Paul Sadler,DEM,120,69,51
Live Oak,04 W George West,US Senate,,John Jay Myers,LIB,7,3,4
Live Oak,04 W George West,US Senate,,David B. Collins,GRN,3,2,1
Live Oak,04 W George West,US House,15,Dale A. Brueggemann,REP,356,116,239
Live Oak,04 W George West,US House,15,Ruben Hinojosa,DEM,134,76,58
Live Oak,04 W George West,US House,15,Ron Finch,LIB,5,2,3
Live Oak,04 W George West,Railroad Commissioner,,Christi Craddick,REP,369,120,248
Live Oak,04 W George West,Railroad Commissioner,,Dale Henry,DEM,115,66,49
Live Oak,04 W George West,Railroad Commissioner,,Vik Wall,LIB,6,2,4
Live Oak,04 W George West,Railroad Commissioner,,Chris Kennedy,GRN,5,3,2
Live Oak,04 W George West,Railroad Commissioner,unexpired,Barry Smitherman,REP,379,125,253
Live Oak,04 W George West,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,45,26,19
Live Oak,04 W George West,Railroad Commissioner,unexpired,Josh Wendel,GRN,16,10,6
Live Oak,04 W George West,State Senate,21,Grant Rostig,REP,294,88,205
Live Oak,04 W George West,State Senate,21,Judith Zaffirini,DEM,196,100,96
Live Oak,04 W George West,State Senate,21,Joseph Morse,LIB,9,6,3
Live Oak,04 W George West,State House,31,Ann Matthews,REP,377,124,252
Live Oak,04 W George West,State House,31,Ryan Guillen,DEM,118,69,49
Live Oak,05 Oakville,Ballots Cast,,,,190,93,97
Live Oak,05 Oakville,Straight Party,,REPUBLICAN PARTY,REP,54,25,29
Live Oak,05 Oakville,Straight Party,,DEMOCRATIC PARTY,DEM,12,6,6
Live Oak,05 Oakville,Straight Party,,LIBERTARIAN PARTY,LIB,0,0,0
Live Oak,05 Oakville,Straight Party,,GREEN PARTY,GRN,0,0,0
Live Oak,05 Oakville,President,,Mitt Romney,REP,168,78,90
Live Oak,05 Oakville,President,,Barack Obama,DEM,20,13,7
Live Oak,05 Oakville,President,,Gary Johnson,LIB,0,0,0
Live Oak,05 Oakville,President,,Jill Stein,GRN,1,1,0
Live Oak,05 Oakville,President,,Write-ins,,0,0,0
Live Oak,05 Oakville,US Senate,,Ted Cruz,REP,159,74,85
Live Oak,05 Oakville,US Senate,,Paul Sadler,DEM,25,16,9
Live Oak,05 Oakville,US Senate,,John Jay Myers,LIB,2,1,1
Live Oak,05 Oakville,US Senate,,David B. Collins,GRN,2,1,1
Live Oak,05 Oakville,US House,15,Dale A. Brueggemann,REP,162,76,86
Live Oak,05 Oakville,US House,15,Ruben Hinojosa,DEM,22,13,9
Live Oak,05 Oakville,US House,15,Ron Finch,LIB,2,1,1
Live Oak,05 Oakville,Railroad Commissioner,,Christi Craddick,REP,158,73,85
Live Oak,05 Oakville,Railroad Commissioner,,Dale Henry,DEM,24,16,8
Live Oak,05 Oakville,Railroad Commissioner,,Vik Wall,LIB,2,1,1
Live Oak,05 Oakville,Railroad Commissioner,,Chris Kennedy,GRN,2,1,1
Live Oak,05 Oakville,Railroad Commissioner,unexpired,Barry Smitherman,REP,160,75,85
Live Oak,05 Oakville,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,10,8,2
Live Oak,05 Oakville,Railroad Commissioner,unexpired,Josh Wendel,GRN,7,3,4
Live Oak,05 Oakville,State Senate,21,Grant Rostig,REP,134,62,72
Live Oak,05 Oakville,State Senate,21,Judith Zaffirini,DEM,53,29,24
Live Oak,05 Oakville,State Senate,21,Joseph Morse,LIB,1,1,0
Live Oak,05 Oakville,State House,31,Ann Matthews,REP,144,68,76
Live Oak,05 Oakville,State House,31,Ryan Guillen,DEM,41,21,20
Live Oak,06 Ray Point,Ballots Cast,,,,143,103,40
Live Oak,06 Ray Point,Straight Party,,REPUBLICAN PARTY,REP,27,15,12
Live Oak,06 Ray Point,Straight Party,,DEMOCRATIC PARTY,DEM,8,8,0
Live Oak,06 Ray Point,Straight Party,,LIBERTARIAN PARTY,LIB,0,0,0
Live Oak,06 Ray Point,Straight Party,,GREEN PARTY,GRN,0,0,0
Live Oak,06 Ray Point,President,,Mitt Romney,REP,121,85,36
Live Oak,06 Ray Point,President,,Barack Obama,DEM,19,15,4
Live Oak,06 Ray Point,President,,Gary Johnson,LIB,1,1,0
Live Oak,06 Ray Point,President,,Jill Stein,GRN,0,0,0
Live Oak,06 Ray Point,President,,Write-ins,,0,0,0
Live Oak,06 Ray Point,US Senate,,Ted Cruz,REP,110,75,35
Live Oak,06 Ray Point,US Senate,,Paul Sadler,DEM,26,22,4
Live Oak,06 Ray Point,US Senate,,John Jay Myers,LIB,1,1,0
Live Oak,06 Ray Point,US Senate,,David B. Collins,GRN,0,0,0
Live Oak,06 Ray Point,US House,15,Dale A. Brueggemann,REP,103,73,30
Live Oak,06 Ray Point,US House,15,Ruben Hinojosa,DEM,31,22,9
Live Oak,06 Ray Point,US House,15,Ron Finch,LIB,2,2,0
Live Oak,06 Ray Point,Railroad Commissioner,,Christi Craddick,REP,105,74,31
Live Oak,06 Ray Point,Railroad Commissioner,,Dale Henry,DEM,26,20,6
Live Oak,06 Ray Point,Railroad Commissioner,,Vik Wall,LIB,1,1,0
Live Oak,06 Ray Point,Railroad Commissioner,,Chris Kennedy,GRN,0,0,0
Live Oak,06 Ray Point,Railroad Commissioner,unexpired,Barry Smitherman,REP,107,76,31
Live Oak,06 Ray Point,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,11,10,1
Live Oak,06 Ray Point,Railroad Commissioner,unexpired,Josh Wendel,GRN,5,4,1
Live Oak,06 Ray Point,State Senate,21,Grant Rostig,REP,61,39,22
Live Oak,06 Ray Point,State Senate,21,Judith Zaffirini,DEM,77,60,17
Live Oak,06 Ray Point,State Senate,21,Joseph Morse,LIB,2,2,0
Live Oak,06 Ray Point,State House,31,Ann Matthews,REP,49,69,30
Live Oak,06 Ray Point,State House,31,Ryan Guillen,DEM,36,29,7
Live Oak,07 Nell,Ballots Cast,,,,29,17,12
Live Oak,07 Nell,Straight Party,,REPUBLICAN PARTY,REP,4,3,1
Live Oak,07 Nell,Straight Party,,DEMOCRATIC PARTY,DEM,4,4,0
Live Oak,07 Nell,Straight Party,,LIBERTARIAN PARTY,LIB,0,0,0
Live Oak,07 Nell,Straight Party,,GREEN PARTY,GRN,0,0,0
Live Oak,07 Nell,President,,Mitt Romney,REP,22,11,11
Live Oak,07 Nell,President,,Barack Obama,DEM,7,6,1
Live Oak,07 Nell,President,,Gary Johnson,LIB,0,0,0
Live Oak,07 Nell,President,,Jill Stein,GRN,0,0,0
Live Oak,07 Nell,President,,Write-ins,,0,0,0
Live Oak,07 Nell,US Senate,,Ted Cruz,REP,19,9,10
Live Oak,07 Nell,US Senate,,Paul Sadler,DEM,9,8,1
Live Oak,07 Nell,US Senate,,John Jay Myers,LIB,1,0,1
Live Oak,07 Nell,US Senate,,David B. Collins,GRN,0,0,0
Live Oak,07 Nell,US House,15,Dale A. Brueggemann,REP,21,10,11
Live Oak,07 Nell,US House,15,Ruben Hinojosa,DEM,7,6,1
Live Oak,07 Nell,US House,15,Ron Finch,LIB,0,0,0
Live Oak,07 Nell,Railroad Commissioner,,Christi Craddick,REP,17,7,10
Live Oak,07 Nell,Railroad Commissioner,,Dale Henry,DEM,10,9,1
Live Oak,07 Nell,Railroad Commissioner,,Vik Wall,LIB,0,0,0
Live Oak,07 Nell,Railroad Commissioner,,Chris Kennedy,GRN,1,0,1
Live Oak,07 Nell,Railroad Commissioner,unexpired,Barry Smitherman,REP,20,9,11
Live Oak,07 Nell,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,3,3,0
Live Oak,07 Nell,Railroad Commissioner,unexpired,Josh Wendel,GRN,1,0,1
Live Oak,07 Nell,State Senate,21,Grant Rostig,REP,11,4,7
Live Oak,07 Nell,State Senate,21,Judith Zaffirini,DEM,15,12,3
Live Oak,07 Nell,State Senate,21,Joseph Morse,LIB,1,0,1
Live Oak,07 Nell,State House,31,Ann Matthews,REP,21,10,11
Live Oak,07 Nell,State House,31,Ryan Guillen,DEM,7,6,1
Live Oak,Live 08 Whitsett,Ballots Cast,,,,96,65,31
Live Oak,Live 08 Whitsett,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,26,9,17
Live Oak,Live 08 Whitsett,Straight Party,,DEMOCRATIC PARTY,DEM,7,5,2
Live Oak,Live 08 Whitsett,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,1,0,1
Live Oak,Live 08 Whitsett,STRAIGHT PARTY,,GREEN PARTY,GRN,0,0,0
Live Oak,Live 08 Whitsett,President,,Mitt Romney,REP,85,57,28
Live Oak,Live 08 Whitsett,President,,Barack Obama,DEM,10,7,3
Live Oak,Live 08 Whitsett,President,,Gary Johnson,LIB,0,0,0
Live Oak,Live 08 Whitsett,President,,Jill Stein,GRN,0,0,0
Live Oak,Live 08 Whitsett,President,,Write-ins,,0,0,0
Live Oak,Live 08 Whitsett,United States Senator,,Ted Cruz,REP,74,49,25
Live Oak,Live 08 Whitsett,United States Senator,,Paul Sadler,DEM,18,14,4
Live Oak,Live 08 Whitsett,United States Senator,,John Jay Myers,LIB,0,0,0
Live Oak,Live 08 Whitsett,US Senate,,David B. Collins,GRN,2,1,1
Live Oak,Live 08 Whitsett,US House,15,Dale A. Brueggemann,REP,72,46,26
Live Oak,Live 08 Whitsett,US House,,Ruben Hinojosa,DEM,20,16,4
Live Oak,Live 08 Whitsett,US House,,Ron Finch,LIB,2,2,0
Live Oak,Live 08 Whitsett,Railroad Commissioner,,Christi Craddick,REP,76,49,27
Live Oak,Live 08 Whitsett,Railroad Commissioner,,Dale Henry,DEM,12,9,3
Live Oak,Live 08 Whitsett,Railroad Commissioner,,Vik Wall,LIB,1,1,0
Live Oak,Live 08 Whitsett,Railroad Commissioner,,Chris Kennedy,GRN,3,3,0
Live Oak,Live 08 Whitsett,Railroad Commissioner,unexpired,Barry Smitherman,REP,77,50,27
Live Oak,Live 08 Whitsett,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,6,4,2
Live Oak,Live 08 Whitsett,Railroad Commissioner,unexpired,Josh Wendel,GRN,3,3,0
Live Oak,Live 08 Whitsett,State Senate,21,Grant Rostig,REP,54,30,24
Live Oak,Live 08 Whitsett,State Senate,21,Judith Zaffirini,DEM,41,34,7
Live Oak,Live 08 Whitsett,State Senate,21,Joseph Morse,LIB,0,0,0
Live Oak,Live 08 Whitsett,State House,31,Ann Matthews,REP,75,49,26
Live Oak,Live 08 Whitsett,State House,31,Ryan Guillen,DEM,21,16,5
Live Oak,Live 09 E Three Rivers,Ballots Cast,,,,593,373,219
Live Oak,Live 09 E Three Rivers,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,131,72,59
Live Oak,Live 09 E Three Rivers,Straight Party,,DEMOCRATIC PARTY,DEM,100,77,22
Live Oak,Live 09 E Three Rivers,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,3,2,1
Live Oak,Live 09 E Three Rivers,STRAIGHT PARTY,,GREEN PARTY,GRN,,0,0
Live Oak,Live 09 E Three Rivers,President,,Mitt Romney,REP,411,238,173
Live Oak,Live 09 E Three Rivers,President,,Barack Obama,DEM,173,130,42
Live Oak,Live 09 E Three Rivers,President,,Gary Johnson,LIB,2,2,0
Live Oak,Live 09 E Three Rivers,Preisdent,,Jill Stein,(GRN).,2,2,0
Live Oak,Live 09 E Three Rivers,President,,Write-ins,,0,0,0
Live Oak,Live 09 E Three Rivers,United States Senator,,Ted Cruz,REP,379,220,159
Live Oak,Live 09 E Three Rivers,United States Senator,,Paul Sadler,DEM,169,126,42
Live Oak,Live 09 E Three Rivers,United States Senator,,John Jay Myers,LIB,14,9,5
Live Oak,Live 09 E Three Rivers,US Senate,,David B. Collins,GRN,10,7,3
Live Oak,Live 09 E Three Rivers,US House,15,Dale A. Brueggemann,REP,315,173,142
Live Oak,Live 09 E Three Rivers,US House,15,Ruben Hinojosa,DEM,237,175,61
Live Oak,Live 09 E Three Rivers,US House,15,Ron Finch,LIB,11,8,3
Live Oak,Live 09 E Three Rivers,Railroad Commissioner,,Christi Craddick,REP,356,199,157
Live Oak,Live 09 E Three Rivers,Railroad Commissioner,,Dale Henry,DEM,194,148,45
Live Oak,Live 09 E Three Rivers,Railroad Commissioner,,Vik Wall,LIB,7,5,2
Live Oak,Live 09 E Three Rivers,Railroad Commissioner,,Chris Kennedy,GRN,10,9,1
Live Oak,Live 09 E Three Rivers,Railroad Commissioner,unexpired,Barry Smitherman,REP,371,212,159
Live Oak,Live 09 E Three Rivers,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,93,78,15
Live Oak,Live 09 E Three Rivers,Railroad Commissioner,unexpired,Josh Wendel,GRN,23,15,8
Live Oak,Live 09 E Three Rivers,State Senate,21,Grant Rostig,REP,237,120,117
Live Oak,Live 09 E Three Rivers,State Senate,21,Judith Zaffirini,DEM,327,236,90
Live Oak,Live 09 E Three Rivers,State Senate,21,Joseph Morse,LIB,7,6,1
Live Oak,Live 09 E Three Rivers,State House,31,Ann Matthews,REP,327,186,141
Live Oak,Live 09 E Three Rivers,State House,31,Ryan Guillen,DEM,229,165,63
Live Oak,Like 10 W Three Rivers,Ballots Cast,,,,266,138,128
Live Oak,Like 10 W Three Rivers,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,64,29,35
Live Oak,Like 10 W Three Rivers,Straight Party,,DEMOCRATIC PARTY,DEM,32,23,9
Live Oak,Like 10 W Three Rivers,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,0,0,0
Live Oak,Like 10 W Three Rivers,STRAIGHT PARTY,,GREEN PARTY,GRN,0,0,0
Live Oak,Like 10 W Three Rivers,President,,Mitt Romney,REP,204,89,115
Live Oak,Like 10 W Three Rivers,President,,Barack Obama,DEM,61,49,12
Live Oak,Like 10 W Three Rivers,President,,Gary Johnson,LIB,0,0,0
Live Oak,Like 10 W Three Rivers,President,,Jill Stein,GRN,0,0,0
Live Oak,Like 10 W Three Rivers,President,,Write-ins,,0,0,0
Live Oak,Like 10 W Three Rivers,US SENATE,,Ted Cruz,REP,193,90,103
Live Oak,Like 10 W Three Rivers,US SENATE,,Paul Sadler,DEM,54,40,14
Live Oak,Like 10 W Three Rivers,US SENATE,,John Jay Myers,LIB,5,1,4
Live Oak,Like 10 W Three Rivers,US Senate,,David B. Collins,(GEN),2,0,2
Live Oak,Like 10 W Three Rivers,US House,15,Dale A. Brueggemann,REP,175,75,100
Live Oak,Like 10 W Three Rivers,US HOUSE,15,Ruben Hinojosa,DEM,74,54,20
Live Oak,Like 10 W Three Rivers,US HOUSE,15,Ron Finch,LIB,7,4,3
Live Oak,Like 10 W Three Rivers,Railroad Commissioner,,Christi Craddick,REP,187,84,103
Live Oak,Like 10 W Three Rivers,Railroad Commissioner,,Dale Henry,DEM,55,42,13
Live Oak,Like 10 W Three Rivers,Railroad Commissioner,,Vik Wall,LIB,2,0,2
Live Oak,Like 10 W Three Rivers,Railroad Commissioner,,Chris Kennedy,GRN,3,1,2
Live Oak,Like 10 W Three Rivers,Railroad Commissioner,unexpired,Barry Smitherman,REP,191,88,103
Live Oak,Like 10 W Three Rivers,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,25,19,6
Live Oak,Like 10 W Three Rivers,Railroad Commissioner,unexpired,Josh Wendel,GRN,6,2,4
Live Oak,Like 10 W Three Rivers,State Senate,21,Grant Rostig,REP,137,61,76
Live Oak,Like 10 W Three Rivers,State Senate,21,Judith Zaffirini,DEM,115,71,44
Live Oak,Like 10 W Three Rivers,State Senate,21,Joseph Morse,LIB,5,3,2
Live Oak,Like 10 W Three Rivers,State House,31,Ann Matthews,REP,179,82,97
Live Oak,Like 10 W Three Rivers,State House,31,Ryan Guillen,DEM,71,46,25
Live Oak,Live 11 Simmons,Ballots Cast,,,,49,36,13
Live Oak,Live 11 Simmons,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,13,10,3
Live Oak,Live 11 Simmons,Straight Party,,DEMOCRATIC PARTY,DEM,8,5,3
Live Oak,Live 11 Simmons,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,1,1,0
Live Oak,Live 11 Simmons,STRAIGHT PARTY,,GREEN PARTY,GRN,0,0,0
Live Oak,Live 11 Simmons,President,,Mitt Romney,REP,38,31,7
Live Oak,Live 11 Simmons,President,,Barack Obama,DEM,9,5,4
Live Oak,Live 11 Simmons,President,,Gary Johnson,LIB,1,0,1
Live Oak,Live 11 Simmons,President,,Jill Stein,(GRN).,0,0,0
Live Oak,Live 11 Simmons,President,,Write-ins,,0,0,0
Live Oak,Live 11 Simmons,US Senate,,Ted Cruz,REP,32,24,8
Live Oak,Live 11 Simmons,US SENATE,,Paul Sadler,DEM,13,9,4
Live Oak,Live 11 Simmons,US SENATE,,John Jay Myers,LIB,3,2,1
Live Oak,Live 11 Simmons,US Senate,,David B. Collins,GRN,0,0,0
Live Oak,Live 11 Simmons,US House,15,Dale A. Brueggemann,REP,32,24,8
Live Oak,Live 11 Simmons,US House,15,Ruben Hinojosa,DEM,13,10,3
Live Oak,Live 11 Simmons,US House,15,Ron Finch,LIB,2,1,1
Live Oak,Live 11 Simmons,Railroad Commissioner,,Christi Craddick,REP,33,26,7
Live Oak,Live 11 Simmons,Railroad Commissioner,,Dale Henry,DEM,14,8,6
Live Oak,Live 11 Simmons,Railroad Commissioner,,Vik Wall,LIB,1,1,0
Live Oak,Live 11 Simmons,Railroad Commissioner,,Chris Kennedy,GRN,0,0,0
Live Oak,Live 11 Simmons,Railroad Commissioner,unexpired,Barry Smitherman,REP,36,28,8
Live Oak,Live 11 Simmons,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,4,4,0
Live Oak,Live 11 Simmons,Railroad Commissioner,unexpired,Josh Wendel,GRN,2,2,0
Live Oak,Live 11 Simmons,State Senate,21,Grant Rostig,REP,23,18,5
Live Oak,Live 11 Simmons,State Senate,21,Judith Zaffirini,DEM,21,14,7
Live Oak,Live 11 Simmons,State Senate,21,Joseph Morse,LIB,2,2,
Live Oak,Live 11 Simmons,State House,31,Ann Matthews,REP,35,29,6
Live Oak,Live 11 Simmons,State House,31,Ryan Guillen,DEM,12,6,6
Live Oak,Live 12 Anna Rose,Ballots Cast,,,,90,46,44
Live Oak,Live 12 Anna Rose,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,34,17,17
Live Oak,Live 12 Anna Rose,Straight Party,,DEMOCRATIC PARTY,DEM,9,5,4
Live Oak,Live 12 Anna Rose,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,0,0,0
Live Oak,Live 12 Anna Rose,STRAIGHT PARTY,,GREEN PARTY,GRN,0,0,0
Live Oak,Live 12 Anna Rose,President,,Mitt Romney,REP,69,38,31
Live Oak,Live 12 Anna Rose,President,,Barack Obama,DEM,18,7,11
Live Oak,Live 12 Anna Rose,President,,Gary Johnson,LIB,1,1,0
Live Oak,Live 12 Anna Rose,President,,Jill Stein,GRN,1,0,1
Live Oak,Live 12 Anna Rose,President,,Write-ins,,0,0,0
Live Oak,Live 12 Anna Rose,US Senate,,Ted Cruz,REP,71,39,32
Live Oak,Live 12 Anna Rose,US Senate,,Paul Sadler,DEM,16,6,10
Live Oak,Live 12 Anna Rose,US Senate,,John Jay Myers,LIB,2,1,1
Live Oak,Live 12 Anna Rose,US Senate,,David B. Collins,GRN,0,0,0
Live Oak,Live 12 Anna Rose,US House,15,Dale A. Brueggemann,REP,63,37,26
Live Oak,Live 12 Anna Rose,US House,15,Ruben Hinojosa,DEM,21,9,12
Live Oak,Live 12 Anna Rose,US House,15,Ron Finch,LIB,1,0,1
Live Oak,Live 12 Anna Rose,Railroad Commissioner,,Christi Craddick,REP,66,38,28
Live Oak,Live 12 Anna Rose,Railroad Commissioner,,Dale Henry,DEM,16,6,10
Live Oak,Live 12 Anna Rose,Railroad Commissioner,,Vik Wall,LIB,3,1,2
Live Oak,Live 12 Anna Rose,Railroad Commissioner,,Chris Kennedy,GRN,2,1,1
Live Oak,Live 12 Anna Rose,Railroad Commissioner,unexpired,Barry Smitherman,REP,68,36,32
Live Oak,Live 12 Anna Rose,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,10,5,5
Live Oak,Live 12 Anna Rose,Railroad Commissioner,unexpired,Josh Wendel,GRN,2,1,1
