county,precinct,office,district,party,office,early_voting,election_day,votes
Erath,Precinct 11,Railroad Commissioner,,,Under Votes,1,0,1
Erath,Precinct 11,Railroad Commissioner,unexpired,REP,Barry Smitherman,3,0,3
Erath,Precinct 11,Railroad Commissioner,unexpired,LIB,Jaime O. Perez,0,0,0
Erath,Precinct 11,Railroad Commissioner,unexpired,GRN,Josh Wendel,0,0,0
Erath,Precinct 11,Railroad Commissioner,unexpired,,Over Votes,0,0,0
Erath,Precinct 11,Railroad Commissioner,unexpired,,Under Votes,1,0,1
Erath,Precinct 11,State Senate,30,REP,Craig Estes,0,0,0
Erath,Precinct 11,State Senate,30,LIB,"Richard Wells Forsythe, Jr.",0,0,0
Erath,Precinct 11,State Senate,30,,Over Votes,0,0,0
Erath,Precinct 11,State Senate,30,,Under Votes,4,0,4
Erath,Precinct 11,State House,59,REP,J.D. Sheffield,0,0,0
Erath,Precinct 11,State House,59,DEM,Bill Norris,0,0,0
Erath,Precinct 11,State House,59,,Over Votes,0,0,0
Erath,Precinct 11,State House,59,,Under Votes,4,0,4
Erath,Precinct 11 STP,Straight Party,REP,,Republican Party,66,30,96
Erath,Precinct 11 STP,Straight Party,DEM,,Democratic Party,15,9,24
Erath,Precinct 11 STP,Straight Party,LIB,,Libertarian Party,1,1,2
Erath,Precinct 11 STP,Straight Party,GRN,,Green Party,0,0,0
Erath,Precinct 11 STP,Straight Party,,,Over Votes,0,0,0
Erath,Precinct 11 STP,Straight Party,,,Under Votes,75,34,109
Erath,Precinct 11 STP,President,,REP,Mitt Romney \ Paul Ryan,119,50,169
Erath,Precinct 11 STP,President,,DEM,Barack Obama \ Joe Biden,34,21,55
Erath,Precinct 11 STP,President,,LIB,Gary Johnson \ Jim Gray,1,2,3
Erath,Precinct 11 STP,President,,GRN,Jill Stein \ Cheri Honkala,0,0,0
Erath,Precinct 11 STP,President,,,VIRGIL GOODE (W),0,0,0
Erath,Precinct 11 STP,President,,,Over Votes,0,0,0
Erath,Precinct 11 STP,President,,,Under Votes,3,1,4
Erath,Precinct 11 STP,US Senate,,REP,Ted Cruz,119,48,167
Erath,Precinct 11 STP,US Senate,,DEM,Paul Sadler,31,19,50
Erath,Precinct 11 STP,US Senate,,LIB,John Jay Myers,3,2,5
Erath,Precinct 11 STP,US Senate,,GRN,David B. Collins,0,1,1
Erath,Precinct 11 STP,US Senate,,,Over Votes,0,0,0
Erath,Precinct 11 STP,US Senate,,,Under Votes,4,4,8
Erath,Precinct 11 STP,US House,11,REP,Mike Conaway,107,45,152
Erath,Precinct 11 STP,US House,11,DEM,Jim Riley,34,20,54
Erath,Precinct 11 STP,US House,11,LIB,Scott J. Ballard,6,4,10
Erath,Precinct 11 STP,US House,11,,Over Votes,0,0,0
Erath,Precinct 11 STP,US House,11,,Under Votes,10,5,15
Erath,Precinct 11 STP,Railroad Commissioner,,REP,Christi Craddick,117,46,163
Erath,Precinct 11 STP,Railroad Commissioner,,DEM,Dale Henry,31,18,49
Erath,Precinct 11 STP,Railroad Commissioner,,LIB,Vivekananda (Vik) Wall,3,5,8
Erath,Precinct 11 STP,Railroad Commissioner,,GRN,Chris Kennedy,1,1,2
Erath,Precinct 11 STP,Railroad Commissioner,,,Over Votes,0,0,0
Erath,Precinct 11 STP,Railroad Commissioner,,,Under Votes,5,4,9
Erath,Precinct 11 STP,Railroad Commissioner,unexpired,REP,Barry Smitherman,112,46,158
Erath,Precinct 11 STP,Railroad Commissioner,unexpired,LIB,Jaime O. Perez,14,10,24
Erath,Precinct 11 STP,Railroad Commissioner,unexpired,GRN,Josh Wendel,8,5,13
Erath,Precinct 11 STP,Railroad Commissioner,unexpired,,Over Votes,0,0,0
Erath,Precinct 11 STP,Railroad Commissioner,unexpired,,Under Votes,23,13,36
Erath,Precinct 11 STP,State Senate,30,REP,Craig Estes,112,49,161
Erath,Precinct 11 STP,State Senate,30,LIB,"Richard Wells Forsythe, Jr.",19,11,30
Erath,Precinct 11 STP,State Senate,30,,Over Votes,0,0,0
Erath,Precinct 11 STP,State Senate,30,,Under Votes,26,14,40
Erath,Precinct 11 STP,State House,59,REP,J.D. Sheffield,114,49,163
Erath,Precinct 11 STP,State House,59,DEM,Bill Norris,36,19,55
Erath,Precinct 11 STP,State House,59,,Over Votes,0,0,0
Erath,Precinct 11 STP,State House,59,,Under Votes,7,6,13
Erath,Precinct 12,Ballots Cast,,,,,,97
Erath,Precinct 12,Straight Party,,REP,Republican Party,39,9,48
Erath,Precinct 12,Straight Party,,DEM,Democratic Party,6,1,7
Erath,Precinct 12,Straight Party,,LIB,Libertarian Party,0,0,0
Erath,Precinct 12,Straight Party,,GRN,Green Party,0,0,0
Erath,Precinct 12,Straight Party,,,Over Votes,0,0,0
Erath,Precinct 12,Straight Party,,,Under Votes,37,5,42
Erath,Precinct 12,President,,REP,Mitt Romney \ Paul Ryan,66,14,80
Erath,Precinct 12,President,,DEM,Barack Obama \ Joe Biden,10,1,11
Erath,Precinct 12,President,,LIB,Gary Johnson \ Jim Gray,1,0,1
Erath,Precinct 12,President,,GRN,Jill Stein \ Cheri Honkala,0,0,0
Erath,Precinct 12,President,,,VIRGIL GOODE (W),1,0,1
Erath,Precinct 12,President,,,Over Votes,0,0,0
Erath,Precinct 12,President,,,Under Votes,4,0,4
Erath,Precinct 12,US Senate,,REP,Ted Cruz,65,12,77
Erath,Precinct 12,US Senate,,DEM,Paul Sadler,12,3,15
Erath,Precinct 12,US Senate,,LIB,John Jay Myers,1,0,1
Erath,Precinct 12,US Senate,,GRN,David B. Collins,2,0,2
Erath,Precinct 12,US Senate,,,Over Votes,0,0,0
Erath,Precinct 12,US Senate,,,Under Votes,2,0,2
Erath,Precinct 12,US House,25,REP,Roger Williams,63,13,76
Erath,Precinct 12,US House,25,DEM,Elaine M. Henderson,12,2,14
Erath,Precinct 12,US House,25,LIB,Betsy Dewey,3,0,3
Erath,Precinct 12,US House,25,,Over Votes,0,0,0
Erath,Precinct 12,US House,25,,Under Votes,4,0,4
Erath,Precinct 12,Railroad Commissioner,,REP,Christi Craddick,66,13,79
