county,precinct,office,district,candidate,party,early_voting,mail,election_day,votes
Collin,PCT 002,"Presiding Judge, Court of Criminal Appeals",,Keith Hampton,DEM,469,11,186,666
Collin,PCT 002,"Presiding Judge, Court of Criminal Appeals",,Lance Stott,LIB,32,0,32,64
Collin,PCT 002,"Judge, Court of Criminal Appeals Place 7",,Barbara Parker Herve,REP,657,20,256,933
Collin,PCT 002,"Judge, Court of Criminal Appeals Place 7",,Mark W. Bennett,LIB,181,5,89,275
Collin,PCT 002,"Judge, Court of Criminal Appeals Place 8",,Elsa Alcala,REP,647,21,254,922
Collin,PCT 002,"Judge, Court of Criminal Appeals Place 8",,William Bryan Strang,LIB,183,4,93,280
Collin,PCT 002,"Member, State Board of Education, District 12",,"Geraldine \Tincy\"" Mi""",REP,630,20,243,893
Collin,PCT 002,"Member, State Board of Education, District 12",,Lois Parrott,DEM,481,11,196,688
Collin,PCT 002,State Senate,8,Ken Paxton,REP,642,23,240,905
Collin,PCT 002,State Senate,8,"Jack G.B. Ternan, Jr",DEM,457,10,182,649
Collin,PCT 002,State Senate,8,Ed Kless,LIB,30,0,25,55
Collin,PCT 002,State Representative,70,Scott Sanford,REP,700,21,272,993
Collin,PCT 002,"Chief Justice, 5th Court of Appeals District",,Carolyn Wright,REP,701,21,279,1001
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 2",,David Evans,REP,632,21,240,893
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 2",,Dan Wood,DEM,472,10,201,683
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 5",,Jim Moseley,REP,635,22,238,895
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 5",,Penny Robe Phillips,DEM,473,9,202,684
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 9",,David Lewis,REP,637,21,238,896
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 9",,David Hanschen,DEM,466,10,200,676
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 10",,Molly Francis,REP,695,20,278,993
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 11",,Douglas S. Lang,REP,625,21,235,881
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 11",,Tonya J. Holt,DEM,479,10,206,695
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 12",,"Robert M. \Bob\"" Fill""",REP,631,22,242,895
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 12",,Lawrence J. Praeger,DEM,471,10,200,681
Collin,PCT 002,"Justice, 5th Court of Appeals District, Place 13",,Elizabeth Lang Miers,REP,692,21,276,989
Collin,PCT 002,"District Judge, 199th Judicial District",,Angela Tucker,REP,699,21,279,999
Collin,PCT 002,"District Judge, 380th Judicial District",,Ben Smith,REP,685,21,277,983
Collin,PCT 002,"District Judge, 401st Judicial District",,Mark Rusch,REP,684,21,274,979
Collin,PCT 002,"District Judge, 416th Judicial District",,Chris Oldner,REP,685,21,277,983
Collin,PCT 002,"Judge, County Court at Law Number 2",,Barnett Walker,REP,689,21,276,986
Collin,PCT 002,Sheriff,,Terry G. Box,REP,697,22,277,996
Collin,PCT 002,County Tax Assessor-Collector,,Kenneth L. Maun,REP,696,24,277,997
Collin,PCT 002,District Clerk,,Andrea Stroh Thompso,REP,692,21,278,991
Collin,PCT 002,"County Commissioner, Precinct 3",,Chris Hill,REP,689,21,273,983
Collin,PCT 002,"Constable, Precinct No. 1",,Shane Williams,REP,693,21,275,989
Collin,PCT 003,Straight Party,,Republican,REP,65,3,31,99
Collin,PCT 003,Straight Party,,Democrat,DEM,297,1,169,467
Collin,PCT 003,Straight Party,,Libertarian,LIB,2,0,2,4
Collin,PCT 003,Straight Party,,Green,GRN,1,0,1,2
Collin,PCT 003,President/Vice-President,,Romney/Ryan,REP,94,3,46,143
Collin,PCT 003,President/Vice-President,,Obama/Biden,DEM,351,2,196,549
Collin,PCT 003,President/Vice-President,,Johnson/Gray,LIB,2,0,2,4
Collin,PCT 003,President/Vice-President,,Stein/Honkala,GRN,1,0,2,3
Collin,PCT 003,President/Vice-President,,Write-in 50,NP,0,0,2,2
Collin,PCT 003,U.S. Senate,,Ted Cruz,REP,89,3,42,134
Collin,PCT 003,U.S. Senate,,Paul Sadler,DEM,324,2,180,506
Collin,PCT 003,U.S. Senate,,John Jay Myers,LIB,5,0,3,8
Collin,PCT 003,U.S. Senate,,David B. Collins,GRN,3,0,2,5
Collin,PCT 003,U.S. House,3,Sam Johnson,REP,120,3,65,188
Collin,PCT 003,Railroad Commissioner,,Christi Craddick,REP,90,3,39,132
Collin,PCT 003,Railroad Commissioner,,Dale Henry,DEM,329,2,176,507
Collin,PCT 003,Railroad Commissioner,,Vivekananda (Vik) Wa,LIB,2,0,2,4
Collin,PCT 003,Railroad Commissioner,,Chris Kennedy,GRN,2,0,7,9
Collin,PCT 003,"Railroad Commissioner, Unexpired Term",,Barry Smitherman,REP,91,3,48,142
Collin,PCT 003,"Railroad Commissioner, Unexpired Term",,Jaime O. Perez,LIB,60,0,42,102
Collin,PCT 003,"Railroad Commissioner, Unexpired Term",,Josh Wendel,GRN,10,0,4,14
Collin,PCT 003,"Justice, Supreme Court, Place 2",,Don Willett,REP,104,3,47,154
Collin,PCT 003,"Justice, Supreme Court, Place 2",,RS Roberto Koelsch,LIB,60,0,41,101
Collin,PCT 003,"Justice, Supreme Court, Place 4",,John Devine,REP,97,3,46,146
Collin,PCT 003,"Justice, Supreme Court, Place 4",,Tom Oxford,LIB,58,0,35,93
Collin,PCT 003,"Justice, Supreme Court, Place 4",,Charles E. Waterbury,GRN,12,0,11,23
Collin,PCT 003,"Justice, Supreme Court, Place 6",,Nathan Hecht,REP,87,3,36,126
Collin,PCT 003,"Justice, Supreme Court, Place 6",,Michele Petty,DEM,325,2,182,509
Collin,PCT 003,"Justice, Supreme Court, Place 6",,Mark Ash,LIB,3,0,3,6
Collin,PCT 003,"Justice, Supreme Court, Place 6",,Jim Chisholm,GRN,3,0,3,6
Collin,PCT 003,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,REP,85,3,38,126
Collin,PCT 003,"Presiding Judge, Court of Criminal Appeals",,Keith Hampton,DEM,330,2,180,512
Collin,PCT 003,"Presiding Judge, Court of Criminal Appeals",,Lance Stott,LIB,3,0,4,7
Collin,PCT 003,"Judge, Court of Criminal Appeals Place 7",,Barbara Parker Herve,REP,106,3,48,157
Collin,PCT 003,"Judge, Court of Criminal Appeals Place 7",,Mark W. Bennett,LIB,51,0,31,82
Collin,PCT 003,"Judge, Court of Criminal Appeals Place 8",,Elsa Alcala,REP,103,3,51,157
Collin,PCT 003,"Judge, Court of Criminal Appeals Place 8",,William Bryan Strang,LIB,54,0,29,83
Collin,PCT 003,"Member, State Board of Education, District 12",,"Geraldine \Tincy\"" Mi""",REP,85,3,42,130
Collin,PCT 003,"Member, State Board of Education, District 12",,Lois Parrott,DEM,325,2,182,509
Collin,PCT 003,State Senate,8,Ken Paxton,REP,88,3,45,136
Collin,PCT 003,State Senate,8,"Jack G.B. Ternan, Jr",DEM,322,2,179,503
Collin,PCT 003,State Senate,8,Ed Kless,LIB,7,0,4,11
Collin,PCT 003,State Representative,70,Scott Sanford,REP,114,3,58,175
Collin,PCT 003,"Chief Justice, 5th Court of Appeals District",,Carolyn Wright,REP,116,3,57,176
Collin,PCT 003,"Justice, 5th Court of Appeals District, Place 2",,David Evans,REP,84,3,42,129
Collin,PCT 003,"Justice, 5th Court of Appeals District, Place 2",,Dan Wood,DEM,332,2,179,513
Collin,PCT 003,"Justice, 5th Court of Appeals District, Place 5",,Jim Moseley,REP,86,3,40,129
Collin,PCT 003,"Justice, 5th Court of Appeals District, Place 5",,Penny Robe Phillips,DEM,328,2,180,510
Collin,PCT 003,"Justice, 5th Court of Appeals District, Place 9",,David Lewis,REP,86,3,41,130
Collin,PCT 003,"Justice, 5th Court of Appeals District, Place 9",,David Hanschen,DEM,329,2,181,512
Collin,PCT 003,"Justice, 5th Court of Appeals District, Place 10",,Molly Francis,REP,111,3,58,172
Collin,PCT 003,"Justice, 5th Court of Appeals District, Place 11",,Douglas S. Lang,REP,83,3,37,123
Collin,PCT 003,"Justice, 5th Court of Appeals District, Place 11",,Tonya J. Holt,DEM,327,2,187,516
Collin,PCT 003,"Justice, 5th Court of Appeals District, Place 12",,"Robert M. \Bob\"" Fill""",REP,84,3,43,130
Collin,PCT 003,"Justice, 5th Court of Appeals District, Place 12",,Lawrence J. Praeger,DEM,327,2,180,509
Collin,PCT 003,"Justice, 5th Court of Appeals District, Place 13",,Elizabeth Lang Miers,REP,113,3,60,176
Collin,PCT 003,"District Judge, 199th Judicial District",,Angela Tucker,REP,134,3,65,202
Collin,PCT 003,"District Judge, 380th Judicial District",,Ben Smith,REP,115,3,58,176
Collin,PCT 003,"District Judge, 401st Judicial District",,Mark Rusch,REP,114,3,58,175
Collin,PCT 003,"District Judge, 416th Judicial District",,Chris Oldner,REP,114,3,57,174
Collin,PCT 003,"Judge, County Court at Law Number 2",,Barnett Walker,REP,111,3,57,171
Collin,PCT 003,Sheriff,,Terry G. Box,REP,131,3,67,201
Collin,PCT 003,County Tax Assessor-Collector,,Kenneth L. Maun,REP,126,3,68,197
Collin,PCT 003,District Clerk,,Andrea Stroh Thompso,REP,113,3,60,176
Collin,PCT 003,"County Commissioner, Precinct 3",,Chris Hill,REP,116,3,61,180
Collin,PCT 003,"Constable, Precinct No. 1",,Shane Williams,REP,118,3,58,179
Collin,PCT 004,Straight Party,,Republican,REP,195,41,69,305
Collin,PCT 004,Straight Party,,Democrat,DEM,43,8,20,71
Collin,PCT 004,Straight Party,,Libertarian,LIB,0,0,0,0
Collin,PCT 004,Straight Party,,Green,GRN,1,0,0,1
Collin,PCT 004,President/Vice-President,,Romney/Ryan,REP,276,72,95,443
Collin,PCT 004,President/Vice-President,,Obama/Biden,DEM,84,18,30,132
Collin,PCT 004,President/Vice-President,,Johnson/Gray,LIB,1,0,2,3
Collin,PCT 004,President/Vice-President,,Stein/Honkala,GRN,1,0,0,1
Collin,PCT 004,President/Vice-President,,Write-in 50,NP,0,0,0,0
Collin,PCT 004,U.S. Senate,,Ted Cruz,REP,265,67,86,418
Collin,PCT 004,U.S. Senate,,Paul Sadler,DEM,82,19,31,132
Collin,PCT 004,U.S. Senate,,John Jay Myers,LIB,4,0,4,8
Collin,PCT 004,U.S. Senate,,David B. Collins,GRN,3,1,1,5
Collin,PCT 004,U.S. House,3,Sam Johnson,REP,288,54,94,436
Collin,PCT 004,Railroad Commissioner,,Christi Craddick,REP,267,62,88,417
Collin,PCT 004,Railroad Commissioner,,Dale Henry,DEM,76,15,26,117
Collin,PCT 004,Railroad Commissioner,,Vivekananda (Vik) Wa,LIB,5,1,1,7
Collin,PCT 004,Railroad Commissioner,,Chris Kennedy,GRN,3,1,2,6
Collin,PCT 004,"Railroad Commissioner, Unexpired Term",,Barry Smitherman,REP,269,62,88,419
Collin,PCT 004,"Railroad Commissioner, Unexpired Term",,Jaime O. Perez,LIB,32,5,10,47
Collin,PCT 004,"Railroad Commissioner, Unexpired Term",,Josh Wendel,GRN,10,2,4,16
Collin,PCT 004,"Justice, Supreme Court, Place 2",,Don Willett,REP,273,65,93,431
Collin,PCT 004,"Justice, Supreme Court, Place 2",,RS Roberto Koelsch,LIB,32,6,7,45
Collin,PCT 004,"Justice, Supreme Court, Place 4",,John Devine,REP,268,60,90,418
Collin,PCT 004,"Justice, Supreme Court, Place 4",,Tom Oxford,LIB,34,5,9,48
Collin,PCT 004,"Justice, Supreme Court, Place 4",,Charles E. Waterbury,GRN,9,6,5,20
Collin,PCT 004,"Justice, Supreme Court, Place 6",,Nathan Hecht,REP,257,60,82,399
Collin,PCT 004,"Justice, Supreme Court, Place 6",,Michele Petty,DEM,79,16,29,124
Collin,PCT 004,"Justice, Supreme Court, Place 6",,Mark Ash,LIB,9,1,3,13
Collin,PCT 004,"Justice, Supreme Court, Place 6",,Jim Chisholm,GRN,2,3,0,5
Collin,PCT 004,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,REP,258,62,88,408
Collin,PCT 004,"Presiding Judge, Court of Criminal Appeals",,Keith Hampton,DEM,77,18,25,120
Collin,PCT 004,"Presiding Judge, Court of Criminal Appeals",,Lance Stott,LIB,11,1,2,14
Collin,PCT 004,"Judge, Court of Criminal Appeals Place 7",,Barbara Parker Herve,REP,272,65,88,425
Collin,PCT 004,"Judge, Court of Criminal Appeals Place 7",,Mark W. Bennett,LIB,36,8,8,52
Collin,PCT 004,"Judge, Court of Criminal Appeals Place 8",,Elsa Alcala,REP,270,63,88,421
Collin,PCT 004,"Judge, Court of Criminal Appeals Place 8",,William Bryan Strang,LIB,39,7,11,57
Collin,PCT 004,"Member, State Board of Education, District 12",,"Geraldine \Tincy\"" Mi""",REP,271,52,86,409
Collin,PCT 004,"Member, State Board of Education, District 12",,Lois Parrott,DEM,77,13,27,117
Collin,PCT 004,State Senate,30,Craig Estes,REP,272,50,89,411
Collin,PCT 004,State Senate,30,Richard Wells Forsyt,LIB,35,5,10,50
Collin,PCT 004,State Representative,70,Scott Sanford,REP,280,50,94,424
Collin,PCT 004,"Chief Justice, 5th Court of Appeals District",,Carolyn Wright,REP,279,52,95,426
Collin,PCT 004,"Justice, 5th Court of Appeals District, Place 2",,David Evans,REP,262,50,87,399
Collin,PCT 004,"Justice, 5th Court of Appeals District, Place 2",,Dan Wood,DEM,83,14,26,123
Collin,PCT 004,"Justice, 5th Court of Appeals District, Place 5",,Jim Moseley,REP,264,49,85,398
Collin,PCT 004,"Justice, 5th Court of Appeals District, Place 5",,Penny Robe Phillips,DEM,79,17,30,126
Collin,PCT 004,"Justice, 5th Court of Appeals District, Place 9",,David Lewis,REP,267,48,87,402
Collin,PCT 004,"Justice, 5th Court of Appeals District, Place 9",,David Hanschen,DEM,78,16,28,122
Collin,PCT 004,"Justice, 5th Court of Appeals District, Place 10",,Molly Francis,REP,280,52,94,426
Collin,PCT 004,"Justice, 5th Court of Appeals District, Place 11",,Douglas S. Lang,REP,263,49,85,397
Collin,PCT 004,"Justice, 5th Court of Appeals District, Place 11",,Tonya J. Holt,DEM,81,15,32,128
Collin,PCT 004,"Justice, 5th Court of Appeals District, Place 12",,"Robert M. \Bob\"" Fill""",REP,266,53,87,406
Collin,PCT 004,"Justice, 5th Court of Appeals District, Place 12",,Lawrence J. Praeger,DEM,77,14,28,119
Collin,PCT 004,"Justice, 5th Court of Appeals District, Place 13",,Elizabeth Lang Miers,REP,278,53,94,425
Collin,PCT 004,"District Judge, 199th Judicial District",,Angela Tucker,REP,280,51,92,423
Collin,PCT 004,"District Judge, 380th Judicial District",,Ben Smith,REP,275,50,93,418
Collin,PCT 004,"District Judge, 401st Judicial District",,Mark Rusch,REP,276,51,92,419
Collin,PCT 004,"District Judge, 416th Judicial District",,Chris Oldner,REP,278,50,92,420
Collin,PCT 004,"Judge, County Court at Law Number 2",,Barnett Walker,REP,278,50,92,420
Collin,PCT 004,Sheriff,,Terry G. Box,REP,285,53,98,436
Collin,PCT 004,County Tax Assessor-Collector,,Kenneth L. Maun,REP,281,52,97,430
Collin,PCT 004,District Clerk,,Andrea Stroh Thompso,REP,278,49,93,420
Collin,PCT 004,"County Commissioner, Precinct 3",,Chris Hill,REP,280,50,93,423
Collin,PCT 004,"Constable, Precinct No. 1",,Shane Williams,REP,274,50,94,418
Collin,PCT 005,Straight Party,,Republican,REP,254,147,47,448
Collin,PCT 005,Straight Party,,Democrat,DEM,72,36,20,128
Collin,PCT 005,Straight Party,,Libertarian,LIB,2,1,2,5
Collin,PCT 005,Straight Party,,Green,GRN,0,0,0,0
Collin,PCT 005,President/Vice-President,,Romney/Ryan,REP,395,220,75,690
Collin,PCT 005,President/Vice-President,,Obama/Biden,DEM,116,93,25,234
Collin,PCT 005,President/Vice-President,,Johnson/Gray,LIB,3,7,10,20
Collin,PCT 005,President/Vice-President,,Stein/Honkala,GRN,1,1,0,2
Collin,PCT 005,President/Vice-President,,Write-in 50,NP,1,0,0,1
Collin,PCT 005,U.S. Senate,,Ted Cruz,REP,371,213,66,650
Collin,PCT 005,U.S. Senate,,Paul Sadler,DEM,114,84,36,234
Collin,PCT 005,U.S. Senate,,John Jay Myers,LIB,12,7,6,25
Collin,PCT 005,U.S. Senate,,David B. Collins,GRN,5,1,1,7
Collin,PCT 005,U.S. House,3,Sam Johnson,REP,396,190,80,666
Collin,PCT 005,Railroad Commissioner,,Christi Craddick,REP,377,211,67,655
Collin,PCT 005,Railroad Commissioner,,Dale Henry,DEM,94,73,29,196
Collin,PCT 005,Railroad Commissioner,,Vivekananda (Vik) Wa,LIB,13,7,9,29
Collin,PCT 005,Railroad Commissioner,,Chris Kennedy,GRN,4,5,1,10
Collin,PCT 005,"Railroad Commissioner, Unexpired Term",,Barry Smitherman,REP,372,211,69,652
Collin,PCT 005,"Railroad Commissioner, Unexpired Term",,Jaime O. Perez,LIB,30,31,13,74
Collin,PCT 005,"Railroad Commissioner, Unexpired Term",,Josh Wendel,GRN,13,13,3,29
Collin,PCT 005,"Justice, Supreme Court, Place 2",,Don Willett,REP,372,221,68,661
Collin,PCT 005,"Justice, Supreme Court, Place 2",,RS Roberto Koelsch,LIB,45,33,17,95
Collin,PCT 005,"Justice, Supreme Court, Place 4",,John Devine,REP,371,215,65,651
Collin,PCT 005,"Justice, Supreme Court, Place 4",,Tom Oxford,LIB,35,30,16,81
Collin,PCT 005,"Justice, Supreme Court, Place 4",,Charles E. Waterbury,GRN,12,13,4,29
Collin,PCT 005,"Justice, Supreme Court, Place 6",,Nathan Hecht,REP,366,205,64,635
Collin,PCT 005,"Justice, Supreme Court, Place 6",,Michele Petty,DEM,104,81,33,218
Collin,PCT 005,"Justice, Supreme Court, Place 6",,Mark Ash,LIB,16,12,7,35
Collin,PCT 005,"Justice, Supreme Court, Place 6",,Jim Chisholm,GRN,4,0,1,5
Collin,PCT 005,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,REP,365,206,62,633
Collin,PCT 005,"Presiding Judge, Court of Criminal Appeals",,Keith Hampton,DEM,100,76,33,209
Collin,PCT 005,"Presiding Judge, Court of Criminal Appeals",,Lance Stott,LIB,22,13,11,46
Collin,PCT 005,"Judge, Court of Criminal Appeals Place 7",,Barbara Parker Herve,REP,375,217,68,660
Collin,PCT 005,"Judge, Court of Criminal Appeals Place 7",,Mark W. Bennett,LIB,40,39,15,94
Collin,PCT 005,"Judge, Court of Criminal Appeals Place 8",,Elsa Alcala,REP,365,219,66,650
Collin,PCT 005,"Judge, Court of Criminal Appeals Place 8",,William Bryan Strang,LIB,46,35,17,98
Collin,PCT 005,"Member, State Board of Education, District 12",,"Geraldine \Tincy\"" Mi""",REP,376,178,67,621
Collin,PCT 005,"Member, State Board of Education, District 12",,Lois Parrott,DEM,113,75,37,225
Collin,PCT 005,State Senate,8,Ken Paxton,REP,372,180,72,624
Collin,PCT 005,State Senate,8,"Jack G.B. Ternan, Jr",DEM,106,62,29,197
Collin,PCT 005,State Senate,8,Ed Kless,LIB,17,8,6,31
