county,precinct,office,district,candidate,party,votes,early_voting,election_day,limited,provisional
Matagorda,0010 Prec 4,Railroad Commissioner,unexpired,Barry Smitherman,REP,526,205,321,0,0
Matagorda,0011 Prec 5,Railroad Commissioner,unexpired,Barry Smitherman,REP,702,386,315,1,0
Matagorda,0012 Prec 6,Railroad Commissioner,unexpired,Barry Smitherman,REP,487,205,282,0,0
Matagorda,0013 Prec 7,Railroad Commissioner,unexpired,Barry Smitherman,REP,70,29,41,0,0
Matagorda,0014 Prec 8,Railroad Commissioner,unexpired,Barry Smitherman,REP,360,138,222,0,0
Matagorda,0015 Prec 9,Railroad Commissioner,unexpired,Barry Smitherman,REP,73,15,58,0,0
Matagorda,0016 Prec 10,Railroad Commissioner,unexpired,Barry Smitherman,REP,189,81,107,0,1
Matagorda,0017 Prec 12,Railroad Commissioner,unexpired,Barry Smitherman,REP,110,43,67,0,0
Matagorda,0018 Prec 13,Railroad Commissioner,unexpired,Barry Smitherman,REP,143,69,73,1,0
Matagorda,0001 Prec 1A,US House,27,Blake Farenthold,REP,1106,882,223,1,0
Matagorda,0002 Prec 1B,US House,27,Blake Farenthold,REP,1144,936,208,0,0
Matagorda,0003 Prec 1C,US House,27,Blake Farenthold,REP,133,114,19,0,0
Matagorda,0004 Prec 1D,US House,27,Blake Farenthold,REP,239,176,63,0,0
Matagorda,0005 Prec 1E,US House,27,Blake Farenthold,REP,384,280,104,0,0
Matagorda,0006 Prec 1F,US House,27,Blake Farenthold,REP,197,159,38,0,0
Matagorda,0007 Prec 2,US House,27,Blake Farenthold,REP,297,141,156,0,0
Matagorda,0008 Prec 3A,US House,27,Blake Farenthold,REP,515,329,186,0,0
Matagorda,0009 Prec 3B,US House,27,Blake Farenthold,REP,323,197,124,0,2
Matagorda,0010 Prec 4,US House,27,Blake Farenthold,REP,491,188,303,0,0
Matagorda,0011 Prec 5,US House,27,Blake Farenthold,REP,654,361,293,0,0
Matagorda,0012 Prec 6,US House,27,Blake Farenthold,REP,474,198,276,0,0
Matagorda,0013 Prec 7,US House,27,Blake Farenthold,REP,71,28,43,0,0
Matagorda,0014 Prec 8,US House,27,Blake Farenthold,REP,319,122,197,0,0
Matagorda,0015 Prec 9,US House,27,Blake Farenthold,REP,73,16,57,0,0
Matagorda,0016 Prec 10,US House,27,Blake Farenthold,REP,178,80,97,0,1
Matagorda,0017 Prec 12,US House,27,Blake Farenthold,REP,103,40,63,0,0
Matagorda,0018 Prec 13,US House,27,Blake Farenthold,REP,132,65,67,0,0
Matagorda,0001 Prec 1A,US House,27,Bret Baldwin,IND,21,17,4,0,0
Matagorda,0002 Prec 1B,US House,27,Bret Baldwin,IND,28,23,5,0,0
Matagorda,0003 Prec 1C,US House,27,Bret Baldwin,IND,6,5,1,0,0
Matagorda,0004 Prec 1D,US House,27,Bret Baldwin,IND,11,6,5,0,0
Matagorda,0005 Prec 1E,US House,27,Bret Baldwin,IND,12,7,5,0,0
Matagorda,0006 Prec 1F,US House,27,Bret Baldwin,IND,3,2,1,0,0
Matagorda,0007 Prec 2,US House,27,Bret Baldwin,IND,10,4,6,0,0
Matagorda,0008 Prec 3A,US House,27,Bret Baldwin,IND,11,7,4,0,0
Matagorda,0009 Prec 3B,US House,27,Bret Baldwin,IND,5,3,2,0,0
Matagorda,0010 Prec 4,US House,27,Bret Baldwin,IND,12,4,8,0,0
Matagorda,0011 Prec 5,US House,27,Bret Baldwin,IND,10,5,5,0,0
Matagorda,0012 Prec 6,US House,27,Bret Baldwin,IND,5,1,4,0,0
Matagorda,0013 Prec 7,US House,27,Bret Baldwin,IND,2,0,2,0,0
Matagorda,0014 Prec 8,US House,27,Bret Baldwin,IND,10,3,7,0,0
Matagorda,0015 Prec 9,US House,27,Bret Baldwin,IND,0,0,0,0,0
Matagorda,0016 Prec 10,US House,27,Bret Baldwin,IND,5,2,3,0,0
Matagorda,0017 Prec 12,US House,27,Bret Baldwin,IND,4,1,3,0,0
Matagorda,0018 Prec 13,US House,27,Bret Baldwin,IND,2,0,2,0,0
Matagorda,0001 Prec 1A,Railroad Commissioner,,Chris Kennedy,GRN,25,17,8,0,0
Matagorda,0002 Prec 1B,Railroad Commissioner,,Chris Kennedy,GRN,27,19,8,0,0
Matagorda,0003 Prec 1C,Railroad Commissioner,,Chris Kennedy,GRN,10,9,1,0,0
Matagorda,0004 Prec 1D,Railroad Commissioner,,Chris Kennedy,GRN,17,8,9,0,0
Matagorda,0005 Prec 1E,Railroad Commissioner,,Chris Kennedy,GRN,14,5,9,0,0
Matagorda,0006 Prec 1F,Railroad Commissioner,,Chris Kennedy,GRN,8,4,4,0,0
Matagorda,0007 Prec 2,Railroad Commissioner,,Chris Kennedy,GRN,8,1,7,0,0
Matagorda,0008 Prec 3A,Railroad Commissioner,,Chris Kennedy,GRN,18,8,10,0,0
Matagorda,0009 Prec 3B,Railroad Commissioner,,Chris Kennedy,GRN,6,3,3,0,0
Matagorda,0010 Prec 4,Railroad Commissioner,,Chris Kennedy,GRN,20,8,12,0,0
Matagorda,0011 Prec 5,Railroad Commissioner,,Chris Kennedy,GRN,20,10,10,0,0
Matagorda,0012 Prec 6,Railroad Commissioner,,Chris Kennedy,GRN,7,2,5,0,0
Matagorda,0013 Prec 7,Railroad Commissioner,,Chris Kennedy,GRN,4,3,1,0,0
Matagorda,0014 Prec 8,Railroad Commissioner,,Chris Kennedy,GRN,11,2,9,0,0
Matagorda,0015 Prec 9,Railroad Commissioner,,Chris Kennedy,GRN,1,0,1,0,0
Matagorda,0016 Prec 10,Railroad Commissioner,,Chris Kennedy,GRN,5,2,3,0,0
Matagorda,0017 Prec 12,Railroad Commissioner,,Chris Kennedy,GRN,5,0,5,0,0
Matagorda,0018 Prec 13,Railroad Commissioner,,Chris Kennedy,GRN,6,1,5,0,0
Matagorda,0001 Prec 1A,Railroad Commissioner,,Christi Craddick,REP,1145,904,240,1,0
Matagorda,0002 Prec 1B,Railroad Commissioner,,Christi Craddick,REP,1222,997,225,0,0
Matagorda,0003 Prec 1C,Railroad Commissioner,,Christi Craddick,REP,137,117,20,0,0
Matagorda,0004 Prec 1D,Railroad Commissioner,,Christi Craddick,REP,268,190,77,1,0
Matagorda,0005 Prec 1E,Railroad Commissioner,,Christi Craddick,REP,416,306,110,0,0
Matagorda,0006 Prec 1F,Railroad Commissioner,,Christi Craddick,REP,215,172,43,0,0
Matagorda,0007 Prec 2,Railroad Commissioner,,Christi Craddick,REP,321,147,174,0,0
Matagorda,0008 Prec 3A,Railroad Commissioner,,Christi Craddick,REP,552,346,206,0,0
Matagorda,0009 Prec 3B,Railroad Commissioner,,Christi Craddick,REP,329,198,128,1,2
Matagorda,0010 Prec 4,Railroad Commissioner,,Christi Craddick,REP,514,198,316,0,0
Matagorda,0011 Prec 5,Railroad Commissioner,,Christi Craddick,REP,663,367,295,1,0
Matagorda,0012 Prec 6,Railroad Commissioner,,Christi Craddick,REP,478,197,281,0,0
Matagorda,0013 Prec 7,Railroad Commissioner,,Christi Craddick,REP,72,28,44,0,0
Matagorda,0014 Prec 8,Railroad Commissioner,,Christi Craddick,REP,341,128,213,0,0
Matagorda,0015 Prec 9,Railroad Commissioner,,Christi Craddick,REP,75,17,58,0,0
Matagorda,0016 Prec 10,Railroad Commissioner,,Christi Craddick,REP,180,79,100,0,1
Matagorda,0017 Prec 12,Railroad Commissioner,,Christi Craddick,REP,103,42,61,0,0
Matagorda,0018 Prec 13,Railroad Commissioner,,Christi Craddick,REP,132,64,67,1,0
Matagorda,0001 Prec 1A,US House,27,Corrie Byrd,LIB,31,19,12,0,0
Matagorda,0002 Prec 1B,US House,27,Corrie Byrd,LIB,45,34,11,0,0
Matagorda,0003 Prec 1C,US House,27,Corrie Byrd,LIB,9,5,4,0,0
Matagorda,0004 Prec 1D,US House,27,Corrie Byrd,LIB,9,5,4,0,0
Matagorda,0005 Prec 1E,US House,27,Corrie Byrd,LIB,13,6,7,0,0
Matagorda,0006 Prec 1F,US House,27,Corrie Byrd,LIB,6,6,0,0,0
Matagorda,0007 Prec 2,US House,27,Corrie Byrd,LIB,10,5,5,0,0
Matagorda,0008 Prec 3A,US House,27,Corrie Byrd,LIB,16,7,9,0,0
Matagorda,0009 Prec 3B,US House,27,Corrie Byrd,LIB,10,5,5,0,0
Matagorda,0010 Prec 4,US House,27,Corrie Byrd,LIB,9,4,5,0,0
Matagorda,0011 Prec 5,US House,27,Corrie Byrd,LIB,14,9,5,0,0
Matagorda,0012 Prec 6,US House,27,Corrie Byrd,LIB,14,4,10,0,0
Matagorda,0013 Prec 7,US House,27,Corrie Byrd,LIB,1,0,1,0,0
Matagorda,0014 Prec 8,US House,27,Corrie Byrd,LIB,9,1,8,0,0
Matagorda,0015 Prec 9,US House,27,Corrie Byrd,LIB,3,1,2,0,0
Matagorda,0016 Prec 10,US House,27,Corrie Byrd,LIB,5,1,4,0,0
Matagorda,0017 Prec 12,US House,27,Corrie Byrd,LIB,6,1,5,0,0
Matagorda,0018 Prec 13,US House,27,Corrie Byrd,LIB,3,2,1,0,0
Matagorda,0001 Prec 1A,Railroad Commissioner,,Dale Henry .,DEM,345,248,96,1,0
Matagorda,0002 Prec 1B,Railroad Commissioner,,Dale Henry .,DEM,542,375,166,0,1
Matagorda,0003 Prec 1C,Railroad Commissioner,,Dale Henry .,DEM,448,346,101,1,0
Matagorda,0004 Prec 1D,Railroad Commissioner,,Dale Henry .,DEM,313,185,127,1,0
Matagorda,0005 Prec 1E,Railroad Commissioner,,Dale Henry .,DEM,377,259,116,2,0
Matagorda,0006 Prec 1F,Railroad Commissioner,,Dale Henry .,DEM,157,97,58,0,2
Matagorda,0007 Prec 2,Railroad Commissioner,,Dale Henry .,DEM,90,36,54,0,0
Matagorda,0008 Prec 3A,Railroad Commissioner,,Dale Henry .,DEM,358,192,166,0,0
Matagorda,0009 Prec 3B,Railroad Commissioner,,Dale Henry .,DEM,100,53,47,0,0
Matagorda,0010 Prec 4,Railroad Commissioner,,Dale Henry .,DEM,162,43,119,0,0
Matagorda,0011 Prec 5,Railroad Commissioner,,Dale Henry .,DEM,367,154,211,2,0
Matagorda,0012 Prec 6,Railroad Commissioner,,Dale Henry .,DEM,223,104,119,0,0
Matagorda,0013 Prec 7,Railroad Commissioner,,Dale Henry .,DEM,11,7,4,0,0
Matagorda,0014 Prec 8,Railroad Commissioner,,Dale Henry .,DEM,143,48,95,0,0
Matagorda,0015 Prec 9,Railroad Commissioner,,Dale Henry .,DEM,58,5,53,0,0
Matagorda,0016 Prec 10,Railroad Commissioner,,Dale Henry .,DEM,44,8,36,0,0
Matagorda,0017 Prec 12,Railroad Commissioner,,Dale Henry .,DEM,30,9,21,0,0
Matagorda,0018 Prec 13,Railroad Commissioner,,Dale Henry .,DEM,149,66,83,0,0
Matagorda,0001 Prec 1A,US Senate,,David B. Collins,GRN,8,8,0,0,0
Matagorda,0002 Prec 1B,US Senate,,David B. Collins,GRN,20,17,3,0,0
Matagorda,0003 Prec 1C,US Senate,,David B. Collins,GRN,7,5,2,0,0
Matagorda,0004 Prec 1D,US Senate,,David B. Collins,GRN,7,4,3,0,0
Matagorda,0005 Prec 1E,US Senate,,David B. Collins,GRN,2,1,1,0,0
Matagorda,0006 Prec 1F,US Senate,,David B. Collins,GRN,4,2,2,0,0
Matagorda,0007 Prec 2,US Senate,,David B. Collins,GRN,5,1,4,0,0
Matagorda,0008 Prec 3A,US Senate,,David B. Collins,GRN,3,2,1,0,0
Matagorda,0009 Prec 3B,US Senate,,David B. Collins,GRN,5,3,2,0,0
Matagorda,0010 Prec 4,US Senate,,David B. Collins,GRN,6,4,2,0,0
Matagorda,0011 Prec 5,US Senate,,David B. Collins,GRN,7,3,4,0,0
Matagorda,0012 Prec 6,US Senate,,David B. Collins,GRN,2,0,2,0,0
Matagorda,0013 Prec 7,US Senate,,David B. Collins,GRN,1,0,1,0,0
Matagorda,0014 Prec 8,US Senate,,David B. Collins,GRN,6,3,3,0,0
Matagorda,0015 Prec 9,US Senate,,David B. Collins,GRN,2,0,2,0,0
Matagorda,0016 Prec 10,US Senate,,David B. Collins,GRN,1,0,1,0,0
Matagorda,0017 Prec 12,US Senate,,David B. Collins,GRN,1,0,1,0,0
Matagorda,0018 Prec 13,US Senate,,David B. Collins,GRN,3,1,2,0,0
Matagorda,0001 Prec 1A,Straight Party,,DEMOCRATIC PARTY,DEM,156,107,49,0,0
Matagorda,0002 Prec 1B,Straight Party,,DEMOCRATIC PARTY,DEM,304,194,109,0,1
Matagorda,0003 Prec 1C,Straight Party,,DEMOCRATIC PARTY,DEM,365,285,80,0,0
Matagorda,0004 Prec 1D,Straight Party,,DEMOCRATIC PARTY,DEM,218,120,98,0,0
Matagorda,0005 Prec 1E,Straight Party,,DEMOCRATIC PARTY,DEM,267,184,83,0,0
Matagorda,0006 Prec 1F,Straight Party,,DEMOCRATIC PARTY,DEM,97,58,39,0,0
Matagorda,0007 Prec 2,Straight Party,,DEMOCRATIC PARTY,DEM,35,12,23,0,0
Matagorda,0008 Prec 3A,Straight Party,,DEMOCRATIC PARTY,DEM,230,105,125,0,0
Matagorda,0009 Prec 3B,Straight Party,,DEMOCRATIC PARTY,DEM,49,25,24,0,0
Matagorda,0010 Prec 4,Straight Party,,DEMOCRATIC PARTY,DEM,68,14,54,0,0
Matagorda,0011 Prec 5,Straight Party,,DEMOCRATIC PARTY,DEM,220,93,127,0,0
Matagorda,0012 Prec 6,Straight Party,,DEMOCRATIC PARTY,DEM,144,69,75,0,0
Matagorda,0013 Prec 7,Straight Party,,DEMOCRATIC PARTY,DEM,4,1,3,0,0
Matagorda,0014 Prec 8,Straight Party,,DEMOCRATIC PARTY,DEM,76,32,44,0,0
Matagorda,0015 Prec 9,Straight Party,,DEMOCRATIC PARTY,DEM,52,5,47,0,0
Matagorda,0016 Prec 10,Straight Party,,DEMOCRATIC PARTY,DEM,12,3,9,0,0
Matagorda,0017 Prec 12,Straight Party,,DEMOCRATIC PARTY,DEM,6,2,4,0,0
Matagorda,0018 Prec 13,Straight Party,,DEMOCRATIC PARTY,DEM,103,46,57,0,0
Matagorda,0001 Prec 1A,State House,25,Dennis Bonnen,REP,1291,1005,286,0,0
Matagorda,0002 Prec 1B,State House,25,Dennis Bonnen,REP,1395,1107,288,0,0
Matagorda,0003 Prec 1C,State House,25,Dennis Bonnen,REP,207,169,38,0,0
Matagorda,0004 Prec 1D,State House,25,Dennis Bonnen,REP,363,239,124,0,0
Matagorda,0005 Prec 1E,State House,25,Dennis Bonnen,REP,531,377,154,0,0
Matagorda,0006 Prec 1F,State House,25,Dennis Bonnen,REP,260,199,60,0,1
Matagorda,0007 Prec 2,State House,25,Dennis Bonnen,REP,349,157,192,0,0
Matagorda,0008 Prec 3A,State House,25,Dennis Bonnen,REP,620,387,233,0,0
Matagorda,0009 Prec 3B,State House,25,Dennis Bonnen,REP,358,208,148,0,2
Matagorda,0010 Prec 4,State House,25,Dennis Bonnen,REP,582,213,369,0,0
Matagorda,0011 Prec 5,State House,25,Dennis Bonnen,REP,788,415,373,0,0
Matagorda,0012 Prec 6,State House,25,Dennis Bonnen,REP,542,222,320,0,0
Matagorda,0013 Prec 7,State House,25,Dennis Bonnen,REP,81,35,46,0,0
Matagorda,0014 Prec 8,State House,25,Dennis Bonnen,REP,405,147,258,0,0
Matagorda,0015 Prec 9,State House,25,Dennis Bonnen,REP,83,17,66,0,0
Matagorda,0016 Prec 10,State House,25,Dennis Bonnen,REP,205,83,121,0,1
Matagorda,0017 Prec 12,State House,25,Dennis Bonnen,REP,120,44,76,0,0
Matagorda,0018 Prec 13,State House,25,Dennis Bonnen,REP,162,78,84,0,0
Matagorda,0001 Prec 1A,President,,Gary Johnson,LIB,10,5,5,0,0
Matagorda,0002 Prec 1B,President,,Gary Johnson,LIB,13,9,4,0,0
Matagorda,0003 Prec 1C,President,,Gary Johnson,LIB,1,1,0,0,0
Matagorda,0004 Prec 1D,President,,Gary Johnson,LIB,3,1,2,0,0
Matagorda,0005 Prec 1E,President,,Gary Johnson,LIB,6,4,2,0,0
Matagorda,0006 Prec 1F,President,,Gary Johnson,LIB,2,2,0,0,0
Matagorda,0007 Prec 2,President,,Gary Johnson,LIB,9,2,7,0,0
Matagorda,0008 Prec 3A,President,,Gary Johnson,LIB,9,3,6,0,0
Matagorda,0009 Prec 3B,President,,Gary Johnson,LIB,1,0,1,0,0
Matagorda,0010 Prec 4,President,,Gary Johnson,LIB,9,2,7,0,0
Matagorda,0011 Prec 5,President,,Gary Johnson,LIB,9,4,5,0,0
Matagorda,0012 Prec 6,President,,Gary Johnson,LIB,5,2,3,0,0
Matagorda,0013 Prec 7,President,,Gary Johnson,LIB,2,0,2,0,0
Matagorda,0014 Prec 8,President,,Gary Johnson,LIB,8,1,7,0,0
Matagorda,0015 Prec 9,President,,Gary Johnson,LIB,3,0,3,0,0
Matagorda,0016 Prec 10,President,,Gary Johnson,LIB,3,0,3,0,0
Matagorda,0017 Prec 12,President,,Gary Johnson,LIB,3,1,2,0,0
Matagorda,0018 Prec 13,President,,Gary Johnson,LIB,0,0,0,0,0
Matagorda,0001 Prec 1A,State Senate,18,Glenn Hegar,REP,1310,1024,285,1,0
Matagorda,0002 Prec 1B,State Senate,18,Glenn Hegar,REP,1429,1138,291,0,0
Matagorda,0003 Prec 1C,State Senate,18,Glenn Hegar,REP,202,165,37,0,0
Matagorda,0004 Prec 1D,State Senate,18,Glenn Hegar,REP,370,241,129,0,0
Matagorda,0005 Prec 1E,State Senate,18,Glenn Hegar,REP,534,379,155,0,0
Matagorda,0006 Prec 1F,State Senate,18,Glenn Hegar,REP,265,203,61,0,1
Matagorda,0007 Prec 2,State Senate,18,Glenn Hegar,REP,357,158,199,0,0
Matagorda,0008 Prec 3A,State Senate,18,Glenn Hegar,REP,627,395,232,0,0
Matagorda,0009 Prec 3B,State Senate,18,Glenn Hegar,REP,364,211,151,0,2
Matagorda,0010 Prec 4,State Senate,18,Glenn Hegar,REP,587,218,369,0,0
Matagorda,0011 Prec 5,State Senate,18,Glenn Hegar,REP,793,419,374,0,0
Matagorda,0012 Prec 6,State Senate,18,Glenn Hegar,REP,543,222,321,0,0
Matagorda,0013 Prec 7,State Senate,18,Glenn Hegar,REP,82,35,47,0,0
Matagorda,0014 Prec 8,State Senate,18,Glenn Hegar,REP,413,147,266,0,0
Matagorda,0015 Prec 9,State Senate,18,Glenn Hegar,REP,83,17,66,0,0
Matagorda,0016 Prec 10,State Senate,18,Glenn Hegar,REP,205,84,120,0,1
Matagorda,0017 Prec 12,State Senate,18,Glenn Hegar,REP,125,45,80,0,0
Matagorda,0018 Prec 13,State Senate,18,Glenn Hegar,REP,157,75,81,1,0
Matagorda,0001 Prec 1A,Straight Party,,GREEN PARTY,GRN,1,0,1,0,0
Matagorda,0002 Prec 1B,Straight Party,,GREEN PARTY,GRN,5,3,2,0,0
Matagorda,0003 Prec 1C,Straight Party,,GREEN PARTY,GRN,13,6,7,0,0
Matagorda,0004 Prec 1D,Straight Party,,GREEN PARTY,GRN,5,4,1,0,0
Matagorda,0005 Prec 1E,Straight Party,,GREEN PARTY,GRN,2,0,2,0,0
Matagorda,0006 Prec 1F,Straight Party,,GREEN PARTY,GRN,0,0,0,0,0
Matagorda,0007 Prec 2,Straight Party,,GREEN PARTY,GRN,0,0,0,0,0
Matagorda,0008 Prec 3A,Straight Party,,GREEN PARTY,GRN,0,0,0,0,0
Matagorda,0009 Prec 3B,Straight Party,,GREEN PARTY,GRN,0,0,0,0,0
Matagorda,0010 Prec 4,Straight Party,,GREEN PARTY,GRN,3,0,3,0,0
Matagorda,0011 Prec 5,Straight Party,,GREEN PARTY,GRN,1,0,1,0,0
Matagorda,0012 Prec 6,Straight Party,,GREEN PARTY,GRN,1,1,0,0,0
Matagorda,0013 Prec 7,Straight Party,,GREEN PARTY,GRN,1,1,0,0,0
Matagorda,0014 Prec 8,Straight Party,,GREEN PARTY,GRN,1,0,1,0,0
Matagorda,0015 Prec 9,Straight Party,,GREEN PARTY,GRN,0,0,0,0,0
Matagorda,0016 Prec 10,Straight Party,,GREEN PARTY,GRN,1,1,0,0,0
Matagorda,0017 Prec 12,Straight Party,,GREEN PARTY,GRN,0,0,0,0,0
Matagorda,0018 Prec 13,Straight Party,,GREEN PARTY,GRN,2,1,1,0,0
Matagorda,0001 Prec 1A,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,184,111,73,0,0
Matagorda,0002 Prec 1B,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,235,163,72,0,0
Matagorda,0003 Prec 1C,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,102,70,32,0,0
Matagorda,0004 Prec 1D,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,122,67,55,0,0
Matagorda,0005 Prec 1E,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,142,89,53,0,0
Matagorda,0006 Prec 1F,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,90,59,31,0,0
Matagorda,0007 Prec 2,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,43,19,24,0,0
Matagorda,0008 Prec 3A,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,145,67,78,0,0
Matagorda,0009 Prec 3B,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,52,25,27,0,0
Matagorda,0010 Prec 4,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,81,13,68,0,0
Matagorda,0011 Prec 5,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,125,41,83,1,0
Matagorda,0012 Prec 6,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,82,28,54,0,0
Matagorda,0013 Prec 7,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,9,4,5,0,0
Matagorda,0014 Prec 8,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,77,18,59,0,0
Matagorda,0015 Prec 9,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,22,3,19,0,0
Matagorda,0016 Prec 10,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,21,3,18,0,0
Matagorda,0017 Prec 12,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,15,5,10,0,0
Matagorda,0018 Prec 13,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,36,19,17,0,0
Matagorda,0001 Prec 1A,President,,Jill Stein,GRN,0,0,0,0,0
Matagorda,0002 Prec 1B,President,,Jill Stein,GRN,4,1,3,0,0
Matagorda,0003 Prec 1C,President,,Jill Stein,GRN,2,1,1,0,0
Matagorda,0004 Prec 1D,President,,Jill Stein,GRN,1,1,0,0,0
Matagorda,0005 Prec 1E,President,,Jill Stein,GRN,0,0,0,0,0
Matagorda,0006 Prec 1F,President,,Jill Stein,GRN,3,2,1,0,0
Matagorda,0007 Prec 2,President,,Jill Stein,GRN,1,0,1,0,0
Matagorda,0008 Prec 3A,President,,Jill Stein,GRN,1,0,1,0,0
Matagorda,0009 Prec 3B,President,,Jill Stein,GRN,0,0,0,0,0
Matagorda,0010 Prec 4,President,,Jill Stein,GRN,1,0,1,0,0
Matagorda,0011 Prec 5,President,,Jill Stein,GRN,1,1,0,0,0
Matagorda,0012 Prec 6,President,,Jill Stein,GRN,0,0,0,0,0
Matagorda,0013 Prec 7,President,,Jill Stein,GRN,0,0,0,0,0
Matagorda,0014 Prec 8,President,,Jill Stein,GRN,0,0,0,0,0
Matagorda,0015 Prec 9,President,,Jill Stein,GRN,1,0,1,0,0
Matagorda,0016 Prec 10,President,,Jill Stein,GRN,0,0,0,0,0
Matagorda,0017 Prec 12,President,,Jill Stein,GRN,0,0,0,0,0
Matagorda,0018 Prec 13,President,,Jill Stein,GRN,1,0,1,0,0
Matagorda,0001 Prec 1A,US Senate,,John Jay Myers,LIB,33,21,12,0,0
Matagorda,0002 Prec 1B,US Senate,,John Jay Myers,LIB,42,34,8,0,0
Matagorda,0003 Prec 1C,US Senate,,John Jay Myers,LIB,4,3,1,0,0
Matagorda,0004 Prec 1D,US Senate,,John Jay Myers,LIB,7,2,5,0,0
