county,precinct,office,district,candidate,party,votes,early_voting_paper,early_voting_electronic,election_day_paper,election_day_electronic,mail,early_voting,election_day
Rockwall,PRECINCT 3D,,,BALLOTS CAST,,2790,759,1026,573,431,1,1785,1004
Rockwall,PRECINCT 4,,,BALLOTS CAST,,1631,544,435,214,436,2,979,650
Rockwall,PRECINCT 4A,,,BALLOTS CAST,,2881,655,977,658,590,1,1632,1248
Rockwall,PRECINCT 4B,,,BALLOTS CAST,,889,264,292,143,190,0,556,333
Rockwall,PRECINCT 4C,,,BALLOTS CAST,,1690,317,763,241,369,0,1080,610
Rockwall,PRECINCT 1,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,1539,508,663,140,227,1,1171,367
Rockwall,PRECINCT 1A,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,1108,306,369,165,268,0,675,433
Rockwall,PRECINCT 1B,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,1409,416,408,166,418,1,824,584
Rockwall,PRECINCT 1C,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,1282,342,400,105,434,1,742,539
Rockwall,PRECINCT 2,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,1479,505,470,121,382,1,975,503
Rockwall,PRECINCT 2A,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,1589,507,548,194,338,2,1055,532
Rockwall,PRECINCT 2B,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,603,189,230,81,103,0,419,184
Rockwall,PRECINCT 2C,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,1586,502,716,347,20,1,1218,367
Rockwall,PRECINCT 3,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,115,53,34,7,21,0,87,28
Rockwall,PRECINCT 3A,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,327,62,99,46,120,0,161,166
Rockwall,PRECINCT 3B,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,853,171,255,147,280,0,426,427
Rockwall,PRECINCT 3C,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,901,291,431,58,121,0,722,179
Rockwall,PRECINCT 3D,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,1538,394,631,272,240,1,1025,512
Rockwall,PRECINCT 4,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,831,290,246,99,194,2,536,293
Rockwall,PRECINCT 4A,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,1441,353,504,289,294,1,857,583
Rockwall,PRECINCT 4B,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,404,113,157,53,81,0,270,134
Rockwall,PRECINCT 4C,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,801,145,384,99,173,0,529,272
Rockwall,PRECINCT 1,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,296,91,122,26,56,1,213,82
Rockwall,PRECINCT 1A,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,409,93,132,77,106,1,225,183
Rockwall,PRECINCT 1B,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,217,42,67,20,88,0,109,108
Rockwall,PRECINCT 1C,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,171,47,46,16,62,0,93,78
Rockwall,PRECINCT 2,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,318,106,89,33,90,0,195,123
Rockwall,PRECINCT 2A,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,392,112,110,48,122,0,222,170
Rockwall,PRECINCT 2B,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,190,40,89,26,34,1,129,60
Rockwall,PRECINCT 2C,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,217,65,98,52,2,0,163,54
Rockwall,PRECINCT 3,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,115,49,15,26,25,0,64,51
Rockwall,PRECINCT 3A,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,232,37,54,45,96,0,91,141
Rockwall,PRECINCT 3B,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,451,74,149,68,160,0,223,228
Rockwall,PRECINCT 3C,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,83,32,27,12,12,0,59,24
Rockwall,PRECINCT 3D,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,263,72,93,51,47,0,165,98
Rockwall,PRECINCT 4,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,153,40,39,14,60,0,79,74
Rockwall,PRECINCT 4A,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,423,83,163,83,94,0,246,177
Rockwall,PRECINCT 4B,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,132,31,48,14,39,0,79,53
Rockwall,PRECINCT 4C,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,273,54,119,38,62,0,173,100
Rockwall,PRECINCT 1,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,17,9,1,3,4,0,10,7
Rockwall,PRECINCT 1A,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,18,3,3,2,10,0,6,12
Rockwall,PRECINCT 1B,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,9,1,0,0,8,0,1,8
Rockwall,PRECINCT 1C,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,8,2,1,1,4,0,3,5
Rockwall,PRECINCT 2,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,14,2,3,1,8,0,5,9
Rockwall,PRECINCT 2A,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,9,4,1,2,2,0,5,4
Rockwall,PRECINCT 2B,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,7,2,3,1,1,0,5,2
Rockwall,PRECINCT 2C,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,12,3,2,7,0,0,5,7
Rockwall,PRECINCT 3,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 3A,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,2,0,0,0,2,0,0,2
Rockwall,PRECINCT 3B,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,5,1,2,0,2,0,3,2
Rockwall,PRECINCT 3C,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,5,4,1,0,0,0,5,0
Rockwall,PRECINCT 3D,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,11,5,0,5,1,0,5,6
Rockwall,PRECINCT 4,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,3,2,0,1,0,0,2,1
Rockwall,PRECINCT 4A,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,17,0,3,9,5,0,3,14
Rockwall,PRECINCT 4B,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,9,3,1,2,3,0,4,5
Rockwall,PRECINCT 4C,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,7,1,3,1,2,0,4,3
Rockwall,PRECINCT 1,STRAIGHT PARTY,,GREEN PARTY,GRN,1,0,1,0,0,0,1,0
Rockwall,PRECINCT 1A,STRAIGHT PARTY,,GREEN PARTY,GRN,3,0,1,0,2,0,1,2
Rockwall,PRECINCT 1B,STRAIGHT PARTY,,GREEN PARTY,GRN,2,0,0,0,2,0,0,2
Rockwall,PRECINCT 1C,STRAIGHT PARTY,,GREEN PARTY,GRN,3,0,1,0,2,0,1,2
Rockwall,PRECINCT 2,STRAIGHT PARTY,,GREEN PARTY,GRN,1,0,1,0,0,0,1,0
Rockwall,PRECINCT 2A,STRAIGHT PARTY,,GREEN PARTY,GRN,5,2,1,2,0,0,3,2
Rockwall,PRECINCT 2B,STRAIGHT PARTY,,GREEN PARTY,GRN,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 2C,STRAIGHT PARTY,,GREEN PARTY,GRN,2,0,0,2,0,0,0,2
Rockwall,PRECINCT 3,STRAIGHT PARTY,,GREEN PARTY,GRN,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 3A,STRAIGHT PARTY,,GREEN PARTY,GRN,1,0,0,1,0,0,0,1
Rockwall,PRECINCT 3B,STRAIGHT PARTY,,GREEN PARTY,GRN,2,0,0,0,2,0,0,2
Rockwall,PRECINCT 3C,STRAIGHT PARTY,,GREEN PARTY,GRN,1,1,0,0,0,0,1,0
Rockwall,PRECINCT 3D,STRAIGHT PARTY,,GREEN PARTY,GRN,1,0,0,1,0,0,0,1
Rockwall,PRECINCT 4,STRAIGHT PARTY,,GREEN PARTY,GRN,3,0,0,1,2,0,0,3
Rockwall,PRECINCT 4A,STRAIGHT PARTY,,GREEN PARTY,GRN,1,1,0,0,0,0,1,0
Rockwall,PRECINCT 4B,STRAIGHT PARTY,,GREEN PARTY,GRN,2,1,0,1,0,0,1,1
Rockwall,PRECINCT 4C,STRAIGHT PARTY,,GREEN PARTY,GRN,2,0,0,1,1,0,0,2
Rockwall,PRECINCT 1,STRAIGHT PARTY,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 1A,STRAIGHT PARTY,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 1B,STRAIGHT PARTY,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 1C,STRAIGHT PARTY,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 2,STRAIGHT PARTY,,OVER VOTES,,1,0,0,1,0,0,0,1
Rockwall,PRECINCT 2A,STRAIGHT PARTY,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 2B,STRAIGHT PARTY,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 2C,STRAIGHT PARTY,,OVER VOTES,,2,0,0,2,0,0,0,2
Rockwall,PRECINCT 3,STRAIGHT PARTY,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 3A,STRAIGHT PARTY,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 3B,STRAIGHT PARTY,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 3C,STRAIGHT PARTY,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 3D,STRAIGHT PARTY,,OVER VOTES,,1,0,0,1,0,0,0,1
Rockwall,PRECINCT 4,STRAIGHT PARTY,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 4A,STRAIGHT PARTY,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 4B,STRAIGHT PARTY,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 4C,STRAIGHT PARTY,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 1,STRAIGHT PARTY,,UNDER VOTES,,1274,409,480,157,227,1,889,384
Rockwall,PRECINCT 1A,STRAIGHT PARTY,,UNDER VOTES,,857,219,261,189,188,0,480,377
Rockwall,PRECINCT 1B,STRAIGHT PARTY,,UNDER VOTES,,1082,331,246,142,362,1,577,504
Rockwall,PRECINCT 1C,STRAIGHT PARTY,,UNDER VOTES,,997,293,248,113,342,1,541,455
Rockwall,PRECINCT 2,STRAIGHT PARTY,,UNDER VOTES,,1174,419,287,128,340,0,706,468
Rockwall,PRECINCT 2A,STRAIGHT PARTY,,UNDER VOTES,,1172,360,307,197,308,0,667,505
Rockwall,PRECINCT 2B,STRAIGHT PARTY,,UNDER VOTES,,392,117,121,57,97,0,238,154
Rockwall,PRECINCT 2C,STRAIGHT PARTY,,UNDER VOTES,,1226,423,408,376,16,3,831,392
Rockwall,PRECINCT 3,STRAIGHT PARTY,,UNDER VOTES,,100,46,15,18,21,0,61,39
Rockwall,PRECINCT 3A,STRAIGHT PARTY,,UNDER VOTES,,290,60,68,45,116,1,128,161
Rockwall,PRECINCT 3B,STRAIGHT PARTY,,UNDER VOTES,,740,158,167,150,264,1,325,414
Rockwall,PRECINCT 3C,STRAIGHT PARTY,,UNDER VOTES,,661,218,232,87,123,1,450,210
Rockwall,PRECINCT 3D,STRAIGHT PARTY,,UNDER VOTES,,974,288,302,241,143,0,590,384
Rockwall,PRECINCT 4,STRAIGHT PARTY,,UNDER VOTES,,641,212,150,99,180,0,362,279
Rockwall,PRECINCT 4A,STRAIGHT PARTY,,UNDER VOTES,,997,218,307,275,197,0,525,472
Rockwall,PRECINCT 4B,STRAIGHT PARTY,,UNDER VOTES,,342,116,86,73,67,0,202,140
Rockwall,PRECINCT 4C,STRAIGHT PARTY,,UNDER VOTES,,607,117,257,102,131,0,374,233
Rockwall,PRECINCT 1,President,,Mitt Romney ,REP,2426,784,1009,251,380,2,1793,631
Rockwall,PRECINCT 1A,President,,Mitt Romney ,REP,1659,460,533,290,376,0,993,666
Rockwall,PRECINCT 1B,President,,Mitt Romney ,REP,2187,662,592,257,674,2,1254,931
Rockwall,PRECINCT 1C,President,,Mitt Romney ,REP,1979,551,582,182,662,2,1133,844
Rockwall,PRECINCT 2,President,,Mitt Romney ,REP,2262,793,671,203,594,1,1464,797
Rockwall,PRECINCT 2A,President,,Mitt Romney ,REP,2359,758,768,303,528,2,1526,831
Rockwall,PRECINCT 2B,President,,Mitt Romney ,REP,844,261,307,110,166,0,568,276
Rockwall,PRECINCT 2C,President,,Mitt Romney ,REP,2496,832,1013,620,30,1,1845,650
Rockwall,PRECINCT 3,President,,Mitt Romney ,REP,162,73,40,18,31,0,113,49
Rockwall,PRECINCT 3A,President,,Mitt Romney ,REP,486,97,135,69,184,1,232,253
Rockwall,PRECINCT 3B,President,,Mitt Romney ,REP,1304,260,355,239,450,0,615,689
Rockwall,PRECINCT 3C,President,,Mitt Romney ,REP,1425,466,620,123,216,0,1086,339
Rockwall,PRECINCT 3D,President,,Mitt Romney ,REP,2270,617,872,441,339,1,1489,780
Rockwall,PRECINCT 4,President,,Mitt Romney ,REP,1266,444,353,161,306,2,797,467
Rockwall,PRECINCT 4A,President,,Mitt Romney ,REP,2126,510,725,475,415,1,1235,890
Rockwall,PRECINCT 4B,President,,Mitt Romney ,REP,638,190,224,97,127,0,414,224
Rockwall,PRECINCT 4C,President,,Mitt Romney ,REP,1224,223,574,165,262,0,797,427
Rockwall,PRECINCT 1,President,,Barack Obama ,DEM,647,213,242,71,120,1,455,191
Rockwall,PRECINCT 1A,President,,Barack Obama ,DEM,670,150,222,129,168,1,372,297
Rockwall,PRECINCT 1B,President,,Barack Obama ,DEM,498,120,122,62,194,0,242,256
Rockwall,PRECINCT 1C,President,,Barack Obama ,DEM,442,123,104,49,166,0,227,215
Rockwall,PRECINCT 2,President,,Barack Obama ,DEM,660,224,167,77,192,0,391,269
Rockwall,PRECINCT 2A,President,,Barack Obama ,DEM,763,214,190,129,230,0,404,359
Rockwall,PRECINCT 2B,President,,Barack Obama ,DEM,327,78,132,51,65,1,210,116
Rockwall,PRECINCT 2C,President,,Barack Obama ,DEM,507,152,202,144,6,3,354,150
Rockwall,PRECINCT 3,President,,Barack Obama ,DEM,165,75,24,31,35,0,99,66
Rockwall,PRECINCT 3A,President,,Barack Obama ,DEM,347,57,82,62,146,0,139,208
Rockwall,PRECINCT 3B,President,,Barack Obama ,DEM,710,139,208,118,244,1,347,362
Rockwall,PRECINCT 3C,President,,Barack Obama ,DEM,208,73,66,34,34,1,139,68
Rockwall,PRECINCT 3D,President,,Barack Obama ,DEM,485,130,147,119,89,0,277,208
Rockwall,PRECINCT 4,President,,Barack Obama ,DEM,325,88,73,46,118,0,161,164
Rockwall,PRECINCT 4A,President,,Barack Obama ,DEM,696,139,238,159,160,0,377,319
Rockwall,PRECINCT 4B,President,,Barack Obama ,DEM,228,64,67,38,59,0,131,97
Rockwall,PRECINCT 4C,President,,Barack Obama ,DEM,442,93,178,70,101,0,271,171
Rockwall,PRECINCT 1,President,,Gary Johnson ,LIB,39,17,10,3,9,0,27,12
Rockwall,PRECINCT 1A,President,,Gary Johnson ,LIB,38,7,6,9,16,0,13,25
Rockwall,PRECINCT 1B,President,,Gary Johnson ,LIB,17,4,4,3,6,0,8,9
Rockwall,PRECINCT 1C,President,,Gary Johnson ,LIB,26,6,5,3,12,0,11,15
Rockwall,PRECINCT 2,President,,Gary Johnson ,LIB,44,10,6,2,26,0,16,28
Rockwall,PRECINCT 2A,President,,Gary Johnson ,LIB,24,7,4,9,4,0,11,13
Rockwall,PRECINCT 2B,President,,Gary Johnson ,LIB,16,5,4,3,4,0,9,7
Rockwall,PRECINCT 2C,President,,Gary Johnson ,LIB,29,5,7,17,0,0,12,17
Rockwall,PRECINCT 3,President,,Gary Johnson ,LIB,1,0,0,1,0,0,0,1
Rockwall,PRECINCT 3A,President,,Gary Johnson ,LIB,13,3,3,5,2,0,6,7
Rockwall,PRECINCT 3B,President,,Gary Johnson ,LIB,11,3,4,4,0,0,7,4
Rockwall,PRECINCT 3C,President,,Gary Johnson ,LIB,8,5,1,0,2,0,6,2
Rockwall,PRECINCT 3D,President,,Gary Johnson ,LIB,25,9,5,8,3,0,14,11
Rockwall,PRECINCT 4,President,,Gary Johnson ,LIB,24,8,4,4,8,0,12,12
Rockwall,PRECINCT 4A,President,,Gary Johnson ,LIB,39,3,8,16,12,0,11,28
Rockwall,PRECINCT 4B,President,,Gary Johnson ,LIB,16,6,1,6,3,0,7,9
Rockwall,PRECINCT 4C,President,,Gary Johnson ,LIB,12,1,4,4,3,0,5,7
Rockwall,PRECINCT 1,President,,Jill Stein ,GRN,1,0,1,0,0,0,1,0
Rockwall,PRECINCT 1A,President,,Jill Stein ,GRN,8,1,0,1,6,0,1,7
Rockwall,PRECINCT 1B,President,,Jill Stein ,GRN,2,0,1,1,0,0,1,1
Rockwall,PRECINCT 1C,President,,Jill Stein ,GRN,6,0,2,0,4,0,2,4
Rockwall,PRECINCT 2,President,,Jill Stein ,GRN,11,2,1,0,8,0,3,8
Rockwall,PRECINCT 2A,President,,Jill Stein ,GRN,2,1,1,0,0,0,2,0
Rockwall,PRECINCT 2B,President,,Jill Stein ,GRN,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 2C,President,,Jill Stein ,GRN,2,0,0,2,0,0,0,2
Rockwall,PRECINCT 3,President,,Jill Stein ,GRN,1,0,0,1,0,0,0,1
Rockwall,PRECINCT 3A,President,,Jill Stein ,GRN,2,1,0,1,0,0,1,1
Rockwall,PRECINCT 3B,President,,Jill Stein ,GRN,3,1,0,0,2,0,1,2
Rockwall,PRECINCT 3C,President,,Jill Stein ,GRN,1,0,0,0,1,0,0,1
Rockwall,PRECINCT 3D,President,,Jill Stein ,GRN,2,1,0,1,0,0,1,1
Rockwall,PRECINCT 4,President,,Jill Stein ,GRN,7,3,1,1,2,0,4,3
Rockwall,PRECINCT 4A,President,,Jill Stein ,GRN,5,2,1,2,0,0,3,2
Rockwall,PRECINCT 4B,President,,Jill Stein ,GRN,2,2,0,0,0,0,2,0
Rockwall,PRECINCT 4C,President,,Jill Stein ,GRN,4,0,2,1,1,0,2,2
Rockwall,PRECINCT 1,President,,WRITE-IN,NON,8,4,0,1,3,0,4,4
Rockwall,PRECINCT 1A,President,,WRITE-IN,NON,6,1,3,2,0,0,4,2
Rockwall,PRECINCT 1B,President,,WRITE-IN,NON,8,1,0,3,4,0,1,7
Rockwall,PRECINCT 1C,President,,WRITE-IN,NON,5,2,2,1,0,0,4,1
Rockwall,PRECINCT 2,President,,WRITE-IN,NON,3,1,0,2,0,0,1,2
Rockwall,PRECINCT 2A,President,,WRITE-IN,NON,8,3,1,2,2,0,4,4
Rockwall,PRECINCT 2B,President,,WRITE-IN,NON,4,3,0,1,0,0,3,1
Rockwall,PRECINCT 2C,President,,WRITE-IN,NON,7,2,0,3,2,0,2,5
Rockwall,PRECINCT 3,President,,WRITE-IN,NON,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 3A,President,,WRITE-IN,NON,2,1,1,0,0,0,2,0
Rockwall,PRECINCT 3B,President,,WRITE-IN,NON,13,0,2,5,6,0,2,11
Rockwall,PRECINCT 3C,President,,WRITE-IN,NON,4,1,0,0,3,0,1,3
Rockwall,PRECINCT 3D,President,,WRITE-IN,NON,3,2,0,1,0,0,2,1
Rockwall,PRECINCT 4,President,,WRITE-IN,NON,4,1,0,1,2,0,1,3
Rockwall,PRECINCT 4A,President,,WRITE-IN,NON,9,1,0,5,3,0,1,8
Rockwall,PRECINCT 4B,President,,WRITE-IN,NON,2,0,0,2,0,0,0,2
Rockwall,PRECINCT 4C,President,,WRITE-IN,NON,4,0,1,1,2,0,1,3
Rockwall,PRECINCT 1,President,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 1A,President,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 1B,President,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 1C,President,,OVER VOTES,,1,1,0,0,0,0,1,0
Rockwall,PRECINCT 2,President,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 2A,President,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 2B,President,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 2C,President,,OVER VOTES,,1,0,0,1,0,0,0,1
Rockwall,PRECINCT 3,President,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 3A,President,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 3B,President,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 3C,President,,OVER VOTES,,1,1,0,0,0,0,1,0
Rockwall,PRECINCT 3D,President,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 4,President,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 4A,President,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 4B,President,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 4C,President,,OVER VOTES,,0,0,0,0,0,0,0,0
Rockwall,PRECINCT 1,President,,UNDER VOTES,,8,1,5,0,2,0,6,2
Rockwall,PRECINCT 1A,President,,UNDER VOTES,,14,2,2,2,8,0,4,10
Rockwall,PRECINCT 1B,President,,UNDER VOTES,,7,3,2,2,0,0,5,2
Rockwall,PRECINCT 1C,President,,UNDER VOTES,,2,1,1,0,0,0,2,0
Rockwall,PRECINCT 2,President,,UNDER VOTES,,7,2,5,0,0,0,7,0
Rockwall,PRECINCT 2A,President,,UNDER VOTES,,12,3,3,0,6,0,6,6
Rockwall,PRECINCT 2B,President,,UNDER VOTES,,1,1,0,0,0,0,1,0
Rockwall,PRECINCT 2C,President,,UNDER VOTES,,4,2,2,0,0,0,4,0
Rockwall,PRECINCT 3,President,,UNDER VOTES,,1,0,0,0,1,0,0,1
Rockwall,PRECINCT 3A,President,,UNDER VOTES,,2,0,0,0,2,0,0,2
Rockwall,PRECINCT 3B,President,,UNDER VOTES,,11,1,4,0,6,0,5,6
Rockwall,PRECINCT 3C,President,,UNDER VOTES,,4,0,4,0,0,0,4,0
Rockwall,PRECINCT 3D,President,,UNDER VOTES,,3,0,2,1,0,0,2,1
Rockwall,PRECINCT 4,President,,UNDER VOTES,,5,0,4,1,0,0,4,1
Rockwall,PRECINCT 4A,President,,UNDER VOTES,,6,0,5,1,0,0,5,1
Rockwall,PRECINCT 4B,President,,UNDER VOTES,,3,2,0,0,1,0,2,1
Rockwall,PRECINCT 4C,President,,UNDER VOTES,,4,0,4,0,0,0,4,0
Rockwall,PRECINCT 1,US Senate,,Ted Cruz,REP,2325,741,984,240,359,1,1725,599
Rockwall,PRECINCT 1A,US Senate,,Ted Cruz,REP,1592,435,516,281,360,0,951,641
Rockwall,PRECINCT 1B,US Senate,,Ted Cruz,REP,2109,636,580,247,644,2,1216,891
Rockwall,PRECINCT 1C,US Senate,,Ted Cruz,REP,1900,524,558,171,646,1,1082,817
Rockwall,PRECINCT 2,US Senate,,Ted Cruz,REP,2184,753,659,183,588,1,1412,771
Rockwall,PRECINCT 2A,US Senate,,Ted Cruz,REP,2282,725,752,301,502,2,1477,803
Rockwall,PRECINCT 2B,US Senate,,Ted Cruz,REP,824,262,303,109,150,0,565,259
Rockwall,PRECINCT 2C,US Senate,,Ted Cruz,REP,2388,802,969,588,28,1,1771,616
Rockwall,PRECINCT 3,US Senate,,Ted Cruz,REP,159,730,40,15,31,0,770,46
Rockwall,PRECINCT 3A,US Senate,,Ted Cruz,REP,489,970,136,71,184,1,1106,255
Rockwall,PRECINCT 3B,US Senate,,Ted Cruz,REP,1283,252,350,237,444,0,602,681
Rockwall,PRECINCT 3C,US Senate,,Ted Cruz,REP,1372,443,609,111,209,0,1052,320
Rockwall,PRECINCT 3D,US Senate,,Ted Cruz,REP,2201,596,856,424,324,1,1452,748
Rockwall,PRECINCT 4,US Senate,,Ted Cruz,REP,1233,437,344,160,290,2,781,450
Rockwall,PRECINCT 4A,US Senate,,Ted Cruz,REP,2054,489,693,459,412,1,1182,871
Rockwall,PRECINCT 4B,US Senate,,Ted Cruz,REP,606,179,217,90,120,0,396,210
Rockwall,PRECINCT 4C,US Senate,,Ted Cruz,REP,1178,212,555,160,251,0,767,411
