county,precinct,office,distict,candidate,party,votes
Walker,PRECINCT 402,STRAIGHT PARTY,,OVER VOTES,,2
Walker,PRECINCT 403,STRAIGHT PARTY,,OVER VOTES,,0
Walker,PRECINCT 404,STRAIGHT PARTY,,OVER VOTES,,1
Walker,PRECINCT 101,STRAIGHT PARTY,,UNDER VOTES,,210
Walker,PRECINCT 102,STRAIGHT PARTY,,UNDER VOTES,,1028
Walker,PRECINCT 103,STRAIGHT PARTY,,UNDER VOTES,,624
Walker,PRECINCT 104,STRAIGHT PARTY,,UNDER VOTES,,728
Walker,PRECINCT 201,STRAIGHT PARTY,,UNDER VOTES,,889
Walker,PRECINCT 203,STRAIGHT PARTY,,UNDER VOTES,,172
Walker,PRECINCT 204,STRAIGHT PARTY,,UNDER VOTES,,765
Walker,PRECINCT 205,STRAIGHT PARTY,,UNDER VOTES,,1219
Walker,PRECINCT 206,STRAIGHT PARTY,,UNDER VOTES,,296
Walker,PRECINCT 301,STRAIGHT PARTY,,UNDER VOTES,,518
Walker,PRECINCT 302,STRAIGHT PARTY,,UNDER VOTES,,140
Walker,PRECINCT 303,STRAIGHT PARTY,,UNDER VOTES,,188
Walker,PRECINCT 304,STRAIGHT PARTY,,UNDER VOTES,,991
Walker,PRECINCT 305,STRAIGHT PARTY,,UNDER VOTES,,46
Walker,PRECINCT 401,STRAIGHT PARTY,,UNDER VOTES,,672
Walker,PRECINCT 402,STRAIGHT PARTY,,UNDER VOTES,,174
Walker,PRECINCT 403,STRAIGHT PARTY,,UNDER VOTES,,286
Walker,PRECINCT 404,STRAIGHT PARTY,,UNDER VOTES,,964
Walker,PRECINCT 101,President,,Mitt Romney,REP,160
Walker,PRECINCT 102,President,,Mitt Romney,REP,996
Walker,PRECINCT 103,President,,Mitt Romney,REP,751
Walker,PRECINCT 104,President,,Mitt Romney,REP,908
Walker,PRECINCT 201,President,,Mitt Romney,REP,943
Walker,PRECINCT 203,President,,Mitt Romney,REP,275
Walker,PRECINCT 204,President,,Mitt Romney,REP,1016
Walker,PRECINCT 205,President,,Mitt Romney,REP,1475
Walker,PRECINCT 206,President,,Mitt Romney,REP,295
Walker,PRECINCT 301,President,,Mitt Romney,REP,446
Walker,PRECINCT 302,President,,Mitt Romney,REP,159
Walker,PRECINCT 303,President,,Mitt Romney,REP,285
Walker,PRECINCT 304,President,,Mitt Romney,REP,1489
Walker,PRECINCT 305,President,,Mitt Romney,REP,91
Walker,PRECINCT 401,President,,Mitt Romney,REP,647
Walker,PRECINCT 402,President,,Mitt Romney,REP,247
Walker,PRECINCT 403,President,,Mitt Romney,REP,425
Walker,PRECINCT 404,President,,Mitt Romney,REP,1532
Walker,PRECINCT 101,President,,Barack Obama,DEM,325
Walker,PRECINCT 102,President,,Barack Obama,DEM,679
Walker,PRECINCT 103,President,,Barack Obama,DEM,282
Walker,PRECINCT 104,President,,Barack Obama,DEM,228
Walker,PRECINCT 201,President,,Barack Obama,DEM,651
Walker,PRECINCT 203,President,,Barack Obama,DEM,87
Walker,PRECINCT 204,President,,Barack Obama,DEM,531
Walker,PRECINCT 205,President,,Barack Obama,DEM,365
Walker,PRECINCT 206,President,,Barack Obama,DEM,183
Walker,PRECINCT 301,President,,Barack Obama,DEM,813
Walker,PRECINCT 302,President,,Barack Obama,DEM,69
Walker,PRECINCT 303,President,,Barack Obama,DEM,107
Walker,PRECINCT 304,President,,Barack Obama,DEM,436
Walker,PRECINCT 305,President,,Barack Obama,DEM,17
Walker,PRECINCT 401,President,,Barack Obama,DEM,727
Walker,PRECINCT 402,President,,Barack Obama,DEM,83
Walker,PRECINCT 403,President,,Barack Obama,DEM,152
Walker,PRECINCT 404,President,,Barack Obama,DEM,517
Walker,PRECINCT 101,President,,Gary Johnson / Jim Gray,LIB,3
Walker,PRECINCT 102,President,,Gary Johnson / Jim Gray,LIB,27
Walker,PRECINCT 103,President,,Gary Johnson / Jim Gray,LIB,6
Walker,PRECINCT 104,President,,Gary Johnson / Jim Gray,LIB,11
Walker,PRECINCT 201,President,,Gary Johnson / Jim Gray,LIB,20
Walker,PRECINCT 203,President,,Gary Johnson / Jim Gray,LIB,1
Walker,PRECINCT 204,President,,Gary Johnson / Jim Gray,LIB,10
Walker,PRECINCT 205,President,,Gary Johnson / Jim Gray,LIB,12
Walker,PRECINCT 206,President,,Gary Johnson / Jim Gray,LIB,5
Walker,PRECINCT 301,President,,Gary Johnson / Jim Gray,LIB,9
Walker,PRECINCT 302,President,,Gary Johnson / Jim Gray,LIB,4
Walker,PRECINCT 303,President,,Gary Johnson / Jim Gray,LIB,1
Walker,PRECINCT 304,President,,Gary Johnson / Jim Gray,LIB,27
Walker,PRECINCT 305,President,,Gary Johnson / Jim Gray,LIB,2
Walker,PRECINCT 401,President,,Gary Johnson / Jim Gray,LIB,37
Walker,PRECINCT 402,President,,Gary Johnson / Jim Gray,LIB,2
Walker,PRECINCT 403,President,,Gary Johnson / Jim Gray,LIB,9
Walker,PRECINCT 404,President,,Gary Johnson / Jim Gray,LIB,18
Walker,PRECINCT 101,President,,Jill Stein / Cheri Honkala,GRN,2
Walker,PRECINCT 102,President,,Jill Stein / Cheri Honkala,GRN,7
Walker,PRECINCT 103,President,,Jill Stein / Cheri Honkala,GRN,5
Walker,PRECINCT 104,President,,Jill Stein / Cheri Honkala,GRN,1
Walker,PRECINCT 201,President,,Jill Stein / Cheri Honkala,GRN,16
Walker,PRECINCT 203,President,,Jill Stein / Cheri Honkala,GRN,0
Walker,PRECINCT 204,President,,Jill Stein / Cheri Honkala,GRN,2
Walker,PRECINCT 205,President,,Jill Stein / Cheri Honkala,GRN,2
Walker,PRECINCT 206,President,,Jill Stein / Cheri Honkala,GRN,1
Walker,PRECINCT 301,President,,Jill Stein / Cheri Honkala,GRN,5
Walker,PRECINCT 302,President,,Jill Stein / Cheri Honkala,GRN,1
Walker,PRECINCT 303,President,,Jill Stein / Cheri Honkala,GRN,0
Walker,PRECINCT 304,President,,Jill Stein / Cheri Honkala,GRN,9
Walker,PRECINCT 305,President,,Jill Stein / Cheri Honkala,GRN,1
Walker,PRECINCT 401,President,,Jill Stein / Cheri Honkala,GRN,10
Walker,PRECINCT 402,President,,Jill Stein / Cheri Honkala,GRN,0
Walker,PRECINCT 403,President,,Jill Stein / Cheri Honkala,GRN,2
Walker,PRECINCT 404,President,,Jill Stein / Cheri Honkala,GRN,5
Walker,PRECINCT 101,President,,WRITE-IN,NON,0
Walker,PRECINCT 102,President,,WRITE-IN,NON,5
Walker,PRECINCT 103,President,,WRITE-IN,NON,1
Walker,PRECINCT 104,President,,WRITE-IN,NON,1
Walker,PRECINCT 201,President,,WRITE-IN,NON,1
Walker,PRECINCT 203,President,,WRITE-IN,NON,2
Walker,PRECINCT 204,President,,WRITE-IN,NON,4
Walker,PRECINCT 205,President,,WRITE-IN,NON,1
Walker,PRECINCT 206,President,,WRITE-IN,NON,0
Walker,PRECINCT 301,President,,WRITE-IN,NON,0
Walker,PRECINCT 302,President,,WRITE-IN,NON,0
Walker,PRECINCT 303,President,,WRITE-IN,NON,0
Walker,PRECINCT 304,President,,WRITE-IN,NON,0
Walker,PRECINCT 305,President,,WRITE-IN,NON,0
Walker,PRECINCT 401,President,,WRITE-IN,NON,1
Walker,PRECINCT 402,President,,WRITE-IN,NON,0
Walker,PRECINCT 403,President,,WRITE-IN,NON,1
Walker,PRECINCT 404,President,,WRITE-IN,NON,3
Walker,PRECINCT 101,President,,OVER VOTES,,1
Walker,PRECINCT 102,President,,OVER VOTES,,0
Walker,PRECINCT 103,President,,OVER VOTES,,0
Walker,PRECINCT 104,President,,OVER VOTES,,0
Walker,PRECINCT 201,President,,OVER VOTES,,0
Walker,PRECINCT 203,President,,OVER VOTES,,0
Walker,PRECINCT 204,President,,OVER VOTES,,0
Walker,PRECINCT 205,President,,OVER VOTES,,1
Walker,PRECINCT 206,President,,OVER VOTES,,0
Walker,PRECINCT 301,President,,OVER VOTES,,0
Walker,PRECINCT 302,President,,OVER VOTES,,0
Walker,PRECINCT 303,President,,OVER VOTES,,0
Walker,PRECINCT 304,President,,OVER VOTES,,0
Walker,PRECINCT 305,President,,OVER VOTES,,0
Walker,PRECINCT 401,President,,OVER VOTES,,0
Walker,PRECINCT 402,President,,OVER VOTES,,0
Walker,PRECINCT 403,President,,OVER VOTES,,0
Walker,PRECINCT 404,President,,OVER VOTES,,1
Walker,PRECINCT 101,President,,UNDER VOTES,,1
Walker,PRECINCT 102,President,,UNDER VOTES,,3
Walker,PRECINCT 103,President,,UNDER VOTES,,5
Walker,PRECINCT 104,President,,UNDER VOTES,,4
Walker,PRECINCT 201,President,,UNDER VOTES,,1
Walker,PRECINCT 203,President,,UNDER VOTES,,0
Walker,PRECINCT 204,President,,UNDER VOTES,,1
Walker,PRECINCT 205,President,,UNDER VOTES,,8
Walker,PRECINCT 206,President,,UNDER VOTES,,6
Walker,PRECINCT 301,President,,UNDER VOTES,,2
Walker,PRECINCT 302,President,,UNDER VOTES,,0
Walker,PRECINCT 303,President,,UNDER VOTES,,2
Walker,PRECINCT 304,President,,UNDER VOTES,,4
Walker,PRECINCT 305,President,,UNDER VOTES,,0
Walker,PRECINCT 401,President,,UNDER VOTES,,2
Walker,PRECINCT 402,President,,UNDER VOTES,,0
Walker,PRECINCT 403,President,,UNDER VOTES,,0
Walker,PRECINCT 404,President,,UNDER VOTES,,5
Walker,PRECINCT 101,United States Senate,,Ted Cruz,REP,160
Walker,PRECINCT 102,United States Senate,,Ted Cruz,REP,947
Walker,PRECINCT 103,United States Senate,,Ted Cruz,REP,722
Walker,PRECINCT 104,United States Senate,,Ted Cruz,REP,860
Walker,PRECINCT 201,United States Senate,,Ted Cruz,REP,913
Walker,PRECINCT 203,United States Senate,,Ted Cruz,REP,263
Walker,PRECINCT 204,United States Senate,,Ted Cruz,REP,986
Walker,PRECINCT 205,United States Senate,,Ted Cruz,REP,1427
Walker,PRECINCT 206,United States Senate,,Ted Cruz,REP,288
Walker,PRECINCT 301,United States Senate,,Ted Cruz,REP,433
Walker,PRECINCT 302,United States Senate,,Ted Cruz,REP,154
Walker,PRECINCT 303,United States Senate,,Ted Cruz,REP,274
Walker,PRECINCT 304,United States Senate,,Ted Cruz,REP,1394
Walker,PRECINCT 305,United States Senate,,Ted Cruz,REP,89
Walker,PRECINCT 401,United States Senate,,Ted Cruz,REP,632
Walker,PRECINCT 402,United States Senate,,Ted Cruz,REP,236
Walker,PRECINCT 403,United States Senate,,Ted Cruz,REP,407
Walker,PRECINCT 404,United States Senate,,Ted Cruz,REP,1468
Walker,PRECINCT 101,United States Senate,,Paul Sadler,DEM,311
Walker,PRECINCT 102,United States Senate,,Paul Sadler,DEM,670
Walker,PRECINCT 103,United States Senate,,Paul Sadler,DEM,288
Walker,PRECINCT 104,United States Senate,,Paul Sadler,DEM,247
Walker,PRECINCT 201,United States Senate,,Paul Sadler,DEM,615
Walker,PRECINCT 203,United States Senate,,Paul Sadler,DEM,90
Walker,PRECINCT 204,United States Senate,,Paul Sadler,DEM,519
Walker,PRECINCT 205,United States Senate,,Paul Sadler,DEM,395
Walker,PRECINCT 206,United States Senate,,Paul Sadler,DEM,182
Walker,PRECINCT 301,United States Senate,,Paul Sadler,DEM,772
Walker,PRECINCT 302,United States Senate,,Paul Sadler,DEM,64
Walker,PRECINCT 303,United States Senate,,Paul Sadler,DEM,106
Walker,PRECINCT 304,United States Senate,,Paul Sadler,DEM,481
Walker,PRECINCT 305,United States Senate,,Paul Sadler,DEM,21
Walker,PRECINCT 401,United States Senate,,Paul Sadler,DEM,682
Walker,PRECINCT 402,United States Senate,,Paul Sadler,DEM,77
Walker,PRECINCT 403,United States Senate,,Paul Sadler,DEM,149
Walker,PRECINCT 404,United States Senate,,Paul Sadler,DEM,517
Walker,PRECINCT 101,United States Senate,,John Jay Myers,LIB,13
Walker,PRECINCT 102,United States Senate,,John Jay Myers,LIB,52
Walker,PRECINCT 103,United States Senate,,John Jay Myers,LIB,17
Walker,PRECINCT 104,United States Senate,,John Jay Myers,LIB,23
Walker,PRECINCT 201,United States Senate,,John Jay Myers,LIB,47
Walker,PRECINCT 203,United States Senate,,John Jay Myers,LIB,6
Walker,PRECINCT 204,United States Senate,,John Jay Myers,LIB,26
Walker,PRECINCT 205,United States Senate,,John Jay Myers,LIB,18
Walker,PRECINCT 206,United States Senate,,John Jay Myers,LIB,11
Walker,PRECINCT 301,United States Senate,,John Jay Myers,LIB,26
Walker,PRECINCT 302,United States Senate,,John Jay Myers,LIB,8
Walker,PRECINCT 303,United States Senate,,John Jay Myers,LIB,9
Walker,PRECINCT 304,United States Senate,,John Jay Myers,LIB,49
Walker,PRECINCT 305,United States Senate,,John Jay Myers,LIB,1
Walker,PRECINCT 401,United States Senate,,John Jay Myers,LIB,76
Walker,PRECINCT 402,United States Senate,,John Jay Myers,LIB,9
Walker,PRECINCT 403,United States Senate,,John Jay Myers,LIB,15
Walker,PRECINCT 404,United States Senate,,John Jay Myers,LIB,48
Walker,PRECINCT 101,United States Senate,,David B. Collins,GRN,3
Walker,PRECINCT 102,United States Senate,,David B. Collins,GRN,23
Walker,PRECINCT 103,United States Senate,,David B. Collins,GRN,8
Walker,PRECINCT 104,United States Senate,,David B. Collins,GRN,7
Walker,PRECINCT 201,United States Senate,,David B. Collins,GRN,27
Walker,PRECINCT 203,United States Senate,,David B. Collins,GRN,1
Walker,PRECINCT 204,United States Senate,,David B. Collins,GRN,9
Walker,PRECINCT 205,United States Senate,,David B. Collins,GRN,10
Walker,PRECINCT 206,United States Senate,,David B. Collins,GRN,3
Walker,PRECINCT 301,United States Senate,,David B. Collins,GRN,10
Walker,PRECINCT 302,United States Senate,,David B. Collins,GRN,3
Walker,PRECINCT 303,United States Senate,,David B. Collins,GRN,2
Walker,PRECINCT 304,United States Senate,,David B. Collins,GRN,20
Walker,PRECINCT 305,United States Senate,,David B. Collins,GRN,0
Walker,PRECINCT 401,United States Senate,,David B. Collins,GRN,18
Walker,PRECINCT 402,United States Senate,,David B. Collins,GRN,3
Walker,PRECINCT 403,United States Senate,,David B. Collins,GRN,9
Walker,PRECINCT 404,United States Senate,,David B. Collins,GRN,15
Walker,PRECINCT 101,United States Senate,,OVER VOTES,,1
Walker,PRECINCT 102,United States Senate,,OVER VOTES,,0
Walker,PRECINCT 103,United States Senate,,OVER VOTES,,0
Walker,PRECINCT 104,United States Senate,,OVER VOTES,,0
Walker,PRECINCT 201,United States Senate,,OVER VOTES,,1
Walker,PRECINCT 203,United States Senate,,OVER VOTES,,0
Walker,PRECINCT 204,United States Senate,,OVER VOTES,,1
Walker,PRECINCT 205,United States Senate,,OVER VOTES,,0
Walker,PRECINCT 206,United States Senate,,OVER VOTES,,0
Walker,PRECINCT 301,United States Senate,,OVER VOTES,,0
Walker,PRECINCT 302,United States Senate,,OVER VOTES,,0
Walker,PRECINCT 303,United States Senate,,OVER VOTES,,0
Walker,PRECINCT 304,United States Senate,,OVER VOTES,,0
Walker,PRECINCT 305,United States Senate,,OVER VOTES,,0
Walker,PRECINCT 401,United States Senate,,OVER VOTES,,1
Walker,PRECINCT 402,United States Senate,,OVER VOTES,,0
Walker,PRECINCT 403,United States Senate,,OVER VOTES,,0
Walker,PRECINCT 404,United States Senate,,OVER VOTES,,2
Walker,PRECINCT 101,United States Senate,,UNDER VOTES,,7
Walker,PRECINCT 102,United States Senate,,UNDER VOTES,,34
Walker,PRECINCT 103,United States Senate,,UNDER VOTES,,19
Walker,PRECINCT 104,United States Senate,,UNDER VOTES,,20
Walker,PRECINCT 201,United States Senate,,UNDER VOTES,,42
Walker,PRECINCT 203,United States Senate,,UNDER VOTES,,5
Walker,PRECINCT 204,United States Senate,,UNDER VOTES,,25
Walker,PRECINCT 205,United States Senate,,UNDER VOTES,,19
Walker,PRECINCT 206,United States Senate,,UNDER VOTES,,10
Walker,PRECINCT 301,United States Senate,,UNDER VOTES,,36
Walker,PRECINCT 302,United States Senate,,UNDER VOTES,,4
Walker,PRECINCT 303,United States Senate,,UNDER VOTES,,6
Walker,PRECINCT 304,United States Senate,,UNDER VOTES,,26
Walker,PRECINCT 305,United States Senate,,UNDER VOTES,,1
Walker,PRECINCT 401,United States Senate,,UNDER VOTES,,28
Walker,PRECINCT 402,United States Senate,,UNDER VOTES,,9
Walker,PRECINCT 403,United States Senate,,UNDER VOTES,,11
Walker,PRECINCT 404,United States Senate,,UNDER VOTES,,32
Walker,PRECINCT 101,United States House,District 8,Kevin Brady,REP,178
Walker,PRECINCT 102,United States House,District 8,Kevin Brady,REP,1015
Walker,PRECINCT 103,United States House,District 8,Kevin Brady,REP,733
