county,precinct,office,district,candidate,party,votes,election_day,early_voting,mail,provisional
Kleberg,"0007 PREC 33,34 RISD",US Senate,,John Jay Myers,LIB,9,7,2,0,0
Kleberg,"0007 PREC 33,34 RISD",US Senate,,David B. Collins,GRN,5,3,2,0,0
Kleberg,"0007 PREC 33,34 RISD",US HOUSE,34,Jessica Puente Bradshaw,REP,443,260,164,19,0
Kleberg,"0007 PREC 33,34 RISD",US HOUSE,34,Filemon Vela,DEM,288,179,91,18,0
Kleberg,"0007 PREC 33,34 RISD",US HOUSE,34,Steven (Ziggy) Shanklin,LIB,15,11,3,1,0
Kleberg,"0007 PREC 33,34 RISD",Railroad Commissioner,,Christi Craddick,REP,430,244,165,21,0
Kleberg,"0007 PREC 33,34 RISD",Railroad Commissioner,,Dale Henry,DEM,271,168,87,16,0
Kleberg,"0007 PREC 33,34 RISD",Railroad Commissioner,,Vivekananda (Vik) Wall,LIB,10,7,2,1,0
Kleberg,"0007 PREC 33,34 RISD",Railroad Commissioner,,Chris Kennedy,GRN,13,10,3,0,0
Kleberg,"0007 PREC 33,34 RISD",Railroad Commissioner,unexpired,Barry Smitherman,REP,461,267,170,24,0
Kleberg,"0007 PREC 33,34 RISD",Railroad Commissioner,unexpired,Jaime O. Perez,LIB,118,78,36,4,0
Kleberg,"0007 PREC 33,34 RISD",Railroad Commissioner,unexpired,Josh Wendel,GRN,22,14,8,0,0
Kleberg,"0007 PREC 33,34 RISD",State Senate,27,"Eddie Lucio, Jr. (DEM) .  .",DEM,436,268,146,22,0
Kleberg,"0007 PREC 33,34 RISD",State House,43,J.M. Lozano,REP,493,283,182,28,0
Kleberg,"0007 PREC 33,34 RISD",State House,43,Yvonne Gonzalez Toureilles,DEM,268,172,85,11,0
Kleberg,0008 PREC 34 SGISD,Voter Registration,,,,9,,,,
Kleberg,0008 PREC 34 SGISD,Ballots Cast,,,,5,4,1,0,0
Kleberg,0008 PREC 34 SGISD,Straight Party,,REPUBLICAN PARTY,REP,0,0,0,0,0
Kleberg,0008 PREC 34 SGISD,Straight Party,,DEMOCRATIC PARTY,DEM,1,1,0,0,0
Kleberg,0008 PREC 34 SGISD,Straight Party,,LIBERTARIAN PARTY,LIB,0,0,0,0,0
Kleberg,0008 PREC 34 SGISD,Straight Party,,GREEN PARTY,GRN,0,0,0,0,0
Kleberg,0008 PREC 34 SGISD,President,,Mitt Romney,REP,2,2,0,0,0
Kleberg,0008 PREC 34 SGISD,President,,Barack Obama,DEM,3,2,1,0,0
Kleberg,0008 PREC 34 SGISD,President,,Gary Johnson,LIB,0,0,0,0,0
Kleberg,0008 PREC 34 SGISD,President,,Jill Stein,GRN,0,0,0,0,0
Kleberg,0008 PREC 34 SGISD,President,,Write-ins,WRI,0,0,0,0,0
Kleberg,0008 PREC 34 SGISD,US Senate,,Ted Cruz,REP,2,2,0,0,0
Kleberg,0008 PREC 34 SGISD,US Senate,,Paul Sadler,DEM,3,2,1,0,0
Kleberg,0008 PREC 34 SGISD,US Senate,,John Jay Myers,LIB,0,0,0,0,0
Kleberg,0008 PREC 34 SGISD,US Senate,,David B. Collins,GRN,0,0,0,0,0
Kleberg,0008 PREC 34 SGISD,US HOUSE,34,Jessica Puente Bradshaw,REP,3,3,0,0,0
Kleberg,0008 PREC 34 SGISD,US HOUSE,34,Filemon Vela,DEM,2,1,1,0,0
Kleberg,0008 PREC 34 SGISD,US HOUSE,34,Steven (Ziggy) Shanklin,LIB,0,0,0,0,0
Kleberg,0008 PREC 34 SGISD,Railroad Commissioner,,Christi Craddick,REP,2,2,0,0,0
Kleberg,0008 PREC 34 SGISD,Railroad Commissioner,,Dale Henry,DEM,2,2,0,0,0
Kleberg,0008 PREC 34 SGISD,Railroad Commissioner,,Vivekananda (Vik) Wall,LIB,0,0,0,0,0
Kleberg,0008 PREC 34 SGISD,Railroad Commissioner,,Chris Kennedy,GRN,0,0,0,0,0
Kleberg,0008 PREC 34 SGISD,Railroad Commissioner,,Barry Smitherman,REP,2,2,0,0,0
Kleberg,0008 PREC 34 SGISD,Railroad Commissioner,,Jaime O. Perez,LIB,2,2,0,0,0
Kleberg,0008 PREC 34 SGISD,Railroad Commissioner,,Josh Wendel,GRN,0,0,0,0,0
Kleberg,0008 PREC 34 SGISD,State Senate,27,"Eddie Lucio, Jr. (DEM) .  .",DEM,3,3,0,0,0
Kleberg,0008 PREC 34 SGISD,State House,43,J.M. Lozano,REP,3,2,1,0,0
Kleberg,0008 PREC 34 SGISD,State House,43,Yvonne Gonzalez Toureilles,DEM,2,2,0,0,0
Kleberg,0009 PREC 35,Voter Registration,,,,991,,,,
Kleberg,0009 PREC 35,Ballots Cast,,,,545,289,251,5,0
Kleberg,0009 PREC 35,Straight Party,,REPUBLICAN PARTY,REP,99,47,51,1,0
Kleberg,0009 PREC 35,Straight Party,,DEMOCRATIC PARTY,DEM,125,78,45,2,0
Kleberg,0009 PREC 35,Straight Party,,LIBERTARIAN PARTY,LIB,3,3,0,0,0
Kleberg,0009 PREC 35,Straight Party,,GREEN PARTY,GRN,2,1,1,0,0
Kleberg,0009 PREC 35,President,,Mitt Romney,REP,260,119,138,3,0
Kleberg,0009 PREC 35,President,,Barack Obama,DEM,276,166,108,2,0
Kleberg,0009 PREC 35,President,,Gary Johnson,LIB,4,1,3,0,0
Kleberg,0009 PREC 35,President,,Jill Stein,GRN,1,1,0,0,0
Kleberg,0009 PREC 35,President,,Write-ins,WRI,1,0,1,0,0
Kleberg,0009 PREC 35,US Senate,,Ted Cruz,REP,275,131,141,3,0
Kleberg,0009 PREC 35,US Senate,,Paul Sadler,DEM,234,137,95,2,0
Kleberg,0009 PREC 35,US Senate,,John Jay Myers,LIB,13,9,4,0,0
Kleberg,0009 PREC 35,US Senate,,David B. Collins,GRN,2,1,1,0,0
Kleberg,0009 PREC 35,US HOUSE,34,Jessica Puente Bradshaw,REP,257,120,134,3,0
Kleberg,0009 PREC 35,US HOUSE,34,Filemon Vela,DEM,244,152,90,2,0
Kleberg,0009 PREC 35,US HOUSE,34,Steven (Ziggy) Shanklin,LIB,7,4,3,0,0
Kleberg,0009 PREC 35,Railroad Commissioner,,Christi Craddick,REP,238,109,127,2,0
Kleberg,0009 PREC 35,Railroad Commissioner,,Dale Henry,DEM,248,143,102,3,0
Kleberg,0009 PREC 35,Railroad Commissioner,,Vivekananda (Vik) Wall,LIB,12,9,3,0,0
Kleberg,0009 PREC 35,Railroad Commissioner,,Chris Kennedy,GRN,11,10,1,0,0
Kleberg,0009 PREC 35,Railroad Commissioner,unexpired,Barry Smitherman,REP,259,126,130,3,0
Kleberg,0009 PREC 35,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,158,92,66,0,0
Kleberg,0009 PREC 35,Railroad Commissioner,unexpired,Josh Wendel,GRN,9,5,4,0,0
Kleberg,0009 PREC 35,State Senate,27,"Eddie Lucio, Jr. (DEM) .  .",DEM,340,202,135,3,0
Kleberg,0009 PREC 35,State House,43,J.M. Lozano,REP,285,135,147,3,0
Kleberg,0009 PREC 35,State House,43,Yvonne Gonzalez Toureilles,DEM,228,144,83,1,0
Kleberg,0010 PREC 41,Voter Registration,,,,569,,,,
Kleberg,0010 PREC 41,Ballots Cast,,,,218,118,90,10,0
Kleberg,0010 PREC 41,Straight Party,,REPUBLICAN PARTY,REP,17,9,8,0,0
Kleberg,0010 PREC 41,Straight Party,,DEMOCRATIC PARTY,DEM,100,50,44,6,0
Kleberg,0010 PREC 41,Straight Party,,LIBERTARIAN PARTY,LIB,2,2,0,0,0
Kleberg,0010 PREC 41,Straight Party,,GREEN PARTY,GRN,0,0,0,0,0
Kleberg,0010 PREC 41,President,,Mitt Romney,REP,38,19,19,0,0
Kleberg,0010 PREC 41,President,,Barack Obama,DEM,176,97,69,10,0
Kleberg,0010 PREC 41,President,,Gary Johnson,LIB,2,2,0,0,0
Kleberg,0010 PREC 41,President,,Jill Stein,GRN,0,0,0,0,0
Kleberg,0010 PREC 41,President,,Write-ins,WRI,0,0,0,0,0
Kleberg,0010 PREC 41,US Senate,,Ted Cruz,REP,49,29,18,2,0
Kleberg,0010 PREC 41,US Senate,,Paul Sadler,DEM,149,78,64,7,0
Kleberg,0010 PREC 41,US Senate,,John Jay Myers,LIB,6,5,1,0,0
Kleberg,0010 PREC 41,US Senate,,David B. Collins,GRN,3,2,0,1,0
Kleberg,0010 PREC 41,US HOUSE,34,Jessica Puente Bradshaw,REP,36,23,13,0,0
Kleberg,0010 PREC 41,US HOUSE,34,Filemon Vela,DEM,160,87,64,9,0
Kleberg,0010 PREC 41,US HOUSE,34,Steven (Ziggy) Shanklin,LIB,7,3,3,1,0
Kleberg,0010 PREC 41,Railroad Commissioner,,Christi Craddick,REP,30,14,15,1,0
Kleberg,0010 PREC 41,Railroad Commissioner,,Dale Henry,DEM,154,85,60,9,0
Kleberg,0010 PREC 41,Railroad Commissioner,,Vivekananda (Vik) Wall,LIB,6,5,1,0,0
Kleberg,0010 PREC 41,Railroad Commissioner,,Chris Kennedy,GRN,7,4,3,0,0
Kleberg,0010 PREC 41,Railroad Commissioner,unexpired,Barry Smitherman,REP,36,17,18,1,0
Kleberg,0010 PREC 41,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,69,45,22,2,0
Kleberg,0010 PREC 41,Railroad Commissioner,unexpired,Josh Wendel,GRN,11,6,4,1,0
Kleberg,0010 PREC 41,State Senate,27,"Eddie Lucio, Jr. (DEM) .  .",DEM,172,94,68,10,0
Kleberg,0010 PREC 41,State House,43,J.M. Lozano,REP,52,28,21,3,0
Kleberg,0010 PREC 41,State House,43,Yvonne Gonzalez Toureilles,DEM,154,85,62,7,0
Kleberg,0011 PREC 42,Voter Registration,,,,913,,,,
Kleberg,0011 PREC 42,Ballots Cast,,,,372,194,155,23,0
Kleberg,0011 PREC 42,Straight Party,,REPUBLICAN PARTY,REP,21,8,8,5,0
Kleberg,0011 PREC 42,Straight Party,,DEMOCRATIC PARTY,DEM,199,98,87,14,0
Kleberg,0011 PREC 42,Straight Party,,LIBERTARIAN PARTY,LIB,4,3,1,0,0
Kleberg,0011 PREC 42,Straight Party,,GREEN PARTY,GRN,2,1,1,0,0
