county,precinct,office,district,candidate,party,early_voting,election_day,mail,provisional,votes
Wilson,Box 103,President/V President,,Romney/Ryan,REP,297,229,26,0,552
Wilson,Box 103,President/V President,,Obama/Biden,DEM,142,208,13,0,363
Wilson,Box 103,President/V President,,Johsnon/Gray,LIB,1,5,0,0,6
Wilson,Box 103,President/V President,,Stein/Honkala,GRN,0,2,0,0,2
Wilson,Box 103,President/V President,,Write-in 50,NP,0,1,0,0,1
Wilson,Box 103,US Senator,,Ted Cruz,REP,279,224,23,0,526
Wilson,Box 103,US Senator,,Paul Sadler,DEM,143,200,10,0,353
Wilson,Box 103,US Senator,,John Jay Myers,LIB,9,9,1,0,19
Wilson,Box 103,US Senator,,David B. Collins,GRN,1,3,1,0,5
Wilson,Box 103,US Representative D28,,William R. Hayward,REP,239,175,23,0,437
Wilson,Box 103,US Representative D28,,Henry Cuellar,DEM,185,252,13,0,450
Wilson,Box 103,US Representative D28,,Patrick Hisel,LIB,4,9,0,0,13
Wilson,Box 103,US Representative D28,,Michael D. Cary,GRN,1,2,1,0,4
Wilson,Box 103,Railroad Comm,,Christi Craddick,REP,270,210,24,0,504
Wilson,Box 103,Railroad Comm,,Dale Henry,DEM,141,199,10,0,350
Wilson,Box 103,Railroad Comm,,Vivekananda Wall,LIB,4,14,0,0,18
Wilson,Box 103,Railroad Comm,,Chris Kennedy,GRN,6,8,3,0,17
Wilson,Box 103,Railroad Comm-Unexp,,Barry Smitherman,REP,280,221,26,0,527
Wilson,Box 103,Railroad Comm-Unexp,,Jaime O. Perez,LIB,50,92,2,0,144
Wilson,Box 103,Railroad Comm-Unexp,,Josh Wendel,GRN,22,21,1,0,44
Wilson,Box 103,Justice Supreme Court 2,,Don Willett,REP,293,239,25,0,557
Wilson,Box 103,Justice Supreme Court 2,,RS Roberto Koelsch,LIB,48,92,4,0,144
Wilson,Box 103,Justice Supreme Court 4,,John Devine,REP,287,231,23,0,541
Wilson,Box 103,Justice Supreme Court 4,,Tom Oxford,LIB,43,72,5,0,120
Wilson,Box 103,Justice Supreme Court 4,,Charles E. Waterbury,GRN,19,26,1,0,46
Wilson,Box 103,Justice Supreme Court 6,,Nathan Hecht,REP,247,190,22,0,459
Wilson,Box 103,Justice Supreme Court 6,,Michele Petty,DEM,154,210,11,0,375
Wilson,Box 103,Justice Supreme Court 6,,Mark Ash,LIB,5,15,3,0,23
Wilson,Box 103,Justice Supreme Court 6,,Jim Chisholm,GRN,4,10,0,0,14
Wilson,Box 103,"Criminal Appeals Judge, Presiding",,Sharon Keller,REP,269,215,24,0,508
Wilson,Box 103,"Criminal Appeals Judge, Presiding",,Keith Hampton,DEM,136,197,10,0,343
Wilson,Box 103,"Criminal Appeals Judge, Presiding",,Lance Stott,LIB,7,14,3,0,24
Wilson,Box 103,Criminal Appeals Judge 7,,B. Parker Hervey,REP,288,239,26,0,553
Wilson,Box 103,Criminal Appeals Judge 7,,Mark W. Bennett,LIB,59,96,4,0,159
Wilson,Box 103,Criminal Appeals Judge 8,,Elsa Alcala,REP,269,241,24,0,534
Wilson,Box 103,Criminal Appeals Judge 8,,"William Strange, III",LIB,75,85,5,0,165
Wilson,Box 103,State Bd Educ 3,,David M. Williams,REP,267,203,25,0,495
Wilson,Box 103,State Bd Educ 3,,Marisa B. Perez,DEM,144,226,12,0,382
Wilson,Box 103,"State Senator, D21",,Grant Rostig,REP,209,164,21,0,394
Wilson,Box 103,"State Senator, D21",,Judith Zaffirini,DEM,213,252,16,0,481
Wilson,Box 103,"State Senator, D21",,Joseph Morse,LIB,6,15,0,0,21
Wilson,Box 103,"State Representative, D44",,John Kuempel,REP,316,294,27,0,637
Wilson,Box 103,"Justice, 4th Court Appeals 2",,Marialyn Barnard,REP,278,210,27,0,515
Wilson,Box 103,"Justice, 4th Court Appeals 2",,Baldemar Garza,DEM,134,220,10,0,364
Wilson,Box 103,"Justice, 4th Court Appeals 3",,Rebecca Simmons,REP,269,208,27,0,504
Wilson,Box 103,"Justice, 4th Court Appeals 3",,Patricia Alvarez,DEM,148,220,10,0,378
Wilson,Box 103,"Justice, 4th Court Appeals 4",,Steve Hilbig,REP,273,206,26,0,505
Wilson,Box 103,"Justice, 4th Court Appeals 4",,Luz Elena Chapa,DEM,150,226,11,0,387
Wilson,Box 103,"Justice, 4th Court Appeals 5",,Karen Angelini,REP,272,214,27,0,513
Wilson,Box 103,"Justice, 4th Court Appeals 5",,David D. Towler,DEM,140,212,10,0,362
Wilson,Box 103,"Justice, 4th Court Appeals 7",,Phylis J. Speedlin,REP,266,196,24,0,486
Wilson,Box 103,"Justice, 4th Court Appeals 7",,Rebeca C. Martinez,DEM,151,232,12,0,395
Wilson,Box 103,"District Attorney, D81",,RenÈ M. PeÒa,DEM,262,312,23,0,597
Wilson,Box 103,Sheriff,,Chris Burchell,REP,163,135,21,0,319
Wilson,Box 103,Sheriff,,"Joe D. Tackitt, Jr.",DEM,267,309,17,0,593
Wilson,Box 103,County Attorney,,Daynah Fallwell,REP,290,269,27,0,586
Wilson,Box 103,County Tax Assessor-Collector,,Anna D. Gonzales,DEM,292,330,24,0,646
Wilson,Box 103,"County Commissioner, Pct 1",,"Albert Gamez, Jr.",DEM,275,322,24,0,621
Wilson,Box 103,"Constable, Pct 1",,"Martin Rodriguez, Jr",DEM,251,307,23,0,581
Wilson,Box 104,Straight Party,,Republican,REP,60,65,2,0,127
Wilson,Box 104,Straight Party,,Democratic,DEM,34,44,4,0,82
Wilson,Box 104,Straight Party,,Libertarian,LIB,1,1,0,0,2
Wilson,Box 104,Straight Party,,Green,GRN,0,3,0,0,3
Wilson,Box 104,President/V President,,Romney/Ryan,REP,200,194,10,0,404
Wilson,Box 104,President/V President,,Obama/Biden,DEM,67,85,4,0,156
Wilson,Box 104,President/V President,,Johsnon/Gray,LIB,1,3,0,0,4
Wilson,Box 104,President/V President,,Stein/Honkala,GRN,0,3,0,0,3
Wilson,Box 104,President/V President,,Write-in 50,NP,0,0,0,0,0
Wilson,Box 104,US Senator,,Ted Cruz,REP,185,161,9,0,355
Wilson,Box 104,US Senator,,Paul Sadler,DEM,71,93,5,0,169
Wilson,Box 104,US Senator,,John Jay Myers,LIB,5,9,0,0,14
Wilson,Box 104,US Senator,,David B. Collins,GRN,0,3,0,0,3
Wilson,Box 104,US Representative D28,,William R. Hayward,REP,161,150,9,0,320
Wilson,Box 104,US Representative D28,,Henry Cuellar,DEM,98,109,5,0,212
Wilson,Box 104,US Representative D28,,Patrick Hisel,LIB,1,8,0,0,9
Wilson,Box 104,US Representative D28,,Michael D. Cary,GRN,2,7,0,0,9
Wilson,Box 104,Railroad Comm,,Christi Craddick,REP,187,159,10,0,356
Wilson,Box 104,Railroad Comm,,Dale Henry,DEM,65,86,4,0,155
Wilson,Box 104,Railroad Comm,,Vivekananda Wall,LIB,0,8,0,0,8
Wilson,Box 104,Railroad Comm,,Chris Kennedy,GRN,5,10,0,0,15
Wilson,Box 104,Railroad Comm-Unexp,,Barry Smitherman,REP,199,174,9,0,382
Wilson,Box 104,Railroad Comm-Unexp,,Jaime O. Perez,LIB,30,36,1,0,67
Wilson,Box 104,Railroad Comm-Unexp,,Josh Wendel,GRN,6,14,0,0,20
Wilson,Box 104,Justice Supreme Court 2,,Don Willett,REP,198,181,10,0,389
Wilson,Box 104,Justice Supreme Court 2,,RS Roberto Koelsch,LIB,31,37,0,0,68
Wilson,Box 104,Justice Supreme Court 4,,John Devine,REP,193,180,9,0,382
Wilson,Box 104,Justice Supreme Court 4,,Tom Oxford,LIB,22,30,1,0,53
Wilson,Box 104,Justice Supreme Court 4,,Charles E. Waterbury,GRN,14,10,0,0,24
Wilson,Box 104,Justice Supreme Court 6,,Nathan Hecht,REP,168,155,8,0,331
Wilson,Box 104,Justice Supreme Court 6,,Michele Petty,DEM,78,88,6,0,172
Wilson,Box 104,Justice Supreme Court 6,,Mark Ash,LIB,5,9,0,0,14
Wilson,Box 104,Justice Supreme Court 6,,Jim Chisholm,GRN,4,3,0,0,7
Wilson,Box 104,"Criminal Appeals Judge, Presiding",,Sharon Keller,REP,182,168,10,0,360
Wilson,Box 104,"Criminal Appeals Judge, Presiding",,Keith Hampton,DEM,66,83,4,0,153
Wilson,Box 104,"Criminal Appeals Judge, Presiding",,Lance Stott,LIB,7,9,0,0,16
Wilson,Box 104,Criminal Appeals Judge 7,,B. Parker Hervey,REP,194,181,9,0,384
Wilson,Box 104,Criminal Appeals Judge 7,,Mark W. Bennett,LIB,38,40,1,0,79
Wilson,Box 104,Criminal Appeals Judge 8,,Elsa Alcala,REP,190,172,9,0,371
Wilson,Box 104,Criminal Appeals Judge 8,,"William Strange, III",LIB,39,42,1,0,82
Wilson,Box 104,State Bd Educ 3,,David M. Williams,REP,177,169,9,0,355
Wilson,Box 104,State Bd Educ 3,,Marisa B. Perez,DEM,79,91,5,0,175
Wilson,Box 104,"State Senator, D21",,Grant Rostig,REP,133,115,7,0,255
Wilson,Box 104,"State Senator, D21",,Judith Zaffirini,DEM,124,152,7,0,283
Wilson,Box 104,"State Senator, D21",,Joseph Morse,LIB,3,8,0,0,11
Wilson,Box 104,"State Representative, D44",,John Kuempel,REP,212,197,9,0,418
Wilson,Box 104,"Justice, 4th Court Appeals 2",,Marialyn Barnard,REP,192,177,8,0,377
Wilson,Box 104,"Justice, 4th Court Appeals 2",,Baldemar Garza,DEM,67,84,6,0,157
Wilson,Box 104,"Justice, 4th Court Appeals 3",,Rebecca Simmons,REP,188,176,8,0,372
Wilson,Box 104,"Justice, 4th Court Appeals 3",,Patricia Alvarez,DEM,72,84,6,0,162
Wilson,Box 104,"Justice, 4th Court Appeals 4",,Steve Hilbig,REP,183,173,8,0,364
Wilson,Box 104,"Justice, 4th Court Appeals 4",,Luz Elena Chapa,DEM,81,90,6,0,177
Wilson,Box 104,"Justice, 4th Court Appeals 5",,Karen Angelini,REP,187,162,9,0,358
Wilson,Box 104,"Justice, 4th Court Appeals 5",,David D. Towler,DEM,70,98,5,0,173
Wilson,Box 104,"Justice, 4th Court Appeals 7",,Phylis J. Speedlin,REP,177,156,9,0,342
Wilson,Box 104,"Justice, 4th Court Appeals 7",,Rebeca C. Martinez,DEM,82,105,5,0,192
Wilson,Box 104,"District Attorney, D81",,RenÈ M. PeÒa,DEM,172,170,11,0,353
Wilson,Box 104,Sheriff,,Chris Burchell,REP,119,100,5,0,224
Wilson,Box 104,Sheriff,,"Joe D. Tackitt, Jr.",DEM,144,181,9,0,334
Wilson,Box 104,County Attorney,,Daynah Fallwell,REP,197,187,8,0,392
Wilson,Box 104,County Tax Assessor-Collector,,Anna D. Gonzales,DEM,186,193,11,0,390
Wilson,Box 104,"County Commissioner, Pct 1",,"Albert Gamez, Jr.",DEM,182,179,11,0,372
Wilson,Box 104,"Constable, Pct 1",,"Martin Rodriguez, Jr",DEM,161,162,11,0,334
Wilson,Box 205,Straight Party,,Republican,REP,101,142,10,0,253
Wilson,Box 205,Straight Party,,Democratic,DEM,48,112,19,0,179
Wilson,Box 205,Straight Party,,Libertarian,LIB,2,3,0,0,5
Wilson,Box 205,Straight Party,,Green,GRN,0,2,0,0,2
Wilson,Box 205,President/V President,,Romney/Ryan,REP,267,442,25,0,734
Wilson,Box 205,President/V President,,Obama/Biden,DEM,95,217,23,0,335
Wilson,Box 205,President/V President,,Johsnon/Gray,LIB,4,12,0,0,16
Wilson,Box 205,President/V President,,Stein/Honkala,GRN,1,1,0,0,2
Wilson,Box 205,President/V President,,Write-in 50,NP,0,1,0,0,1
Wilson,Box 205,US Senator,,Ted Cruz,REP,240,403,25,0,668
Wilson,Box 205,US Senator,,Paul Sadler,DEM,108,225,20,0,353
Wilson,Box 205,US Senator,,John Jay Myers,LIB,7,15,0,0,22
Wilson,Box 205,US Senator,,David B. Collins,GRN,2,3,1,0,6
Wilson,Box 205,US Representative D28,,William R. Hayward,REP,206,314,23,0,543
Wilson,Box 205,US Representative D28,,Henry Cuellar,DEM,138,327,24,0,489
Wilson,Box 205,US Representative D28,,Patrick Hisel,LIB,5,13,0,0,18
Wilson,Box 205,US Representative D28,,Michael D. Cary,GRN,0,0,0,0,0
Wilson,Box 205,Railroad Comm,,Christi Craddick,REP,239,376,22,0,637
Wilson,Box 205,Railroad Comm,,Dale Henry,DEM,106,231,21,0,358
Wilson,Box 205,Railroad Comm,,Vivekananda Wall,LIB,3,11,0,0,14
Wilson,Box 205,Railroad Comm,,Chris Kennedy,GRN,4,13,1,0,18
Wilson,Box 205,Railroad Comm-Unexp,,Barry Smitherman,REP,257,415,23,0,695
Wilson,Box 205,Railroad Comm-Unexp,,Jaime O. Perez,LIB,37,84,2,0,123
Wilson,Box 205,Railroad Comm-Unexp,,Josh Wendel,GRN,13,28,0,0,41
Wilson,Box 205,Justice Supreme Court 2,,Don Willett,REP,249,429,23,0,701
Wilson,Box 205,Justice Supreme Court 2,,RS Roberto Koelsch,LIB,42,86,1,0,129
Wilson,Box 205,Justice Supreme Court 4,,John Devine,REP,246,424,23,0,693
Wilson,Box 205,Justice Supreme Court 4,,Tom Oxford,LIB,38,76,1,0,115
Wilson,Box 205,Justice Supreme Court 4,,Charles E. Waterbury,GRN,6,16,1,0,23
Wilson,Box 205,Justice Supreme Court 6,,Nathan Hecht,REP,217,333,21,0,571
Wilson,Box 205,Justice Supreme Court 6,,Michele Petty,DEM,108,257,21,0,386
Wilson,Box 205,Justice Supreme Court 6,,Mark Ash,LIB,12,18,0,0,30
Wilson,Box 205,Justice Supreme Court 6,,Jim Chisholm,GRN,3,12,2,0,17
Wilson,Box 205,"Criminal Appeals Judge, Presiding",,Sharon Keller,REP,235,390,22,0,647
Wilson,Box 205,"Criminal Appeals Judge, Presiding",,Keith Hampton,DEM,102,217,22,0,341
Wilson,Box 205,"Criminal Appeals Judge, Presiding",,Lance Stott,LIB,6,16,0,0,22
Wilson,Box 205,Criminal Appeals Judge 7,,B. Parker Hervey,REP,254,422,24,0,700
Wilson,Box 205,Criminal Appeals Judge 7,,Mark W. Bennett,LIB,37,96,1,0,134
Wilson,Box 205,Criminal Appeals Judge 8,,Elsa Alcala,REP,239,405,22,0,666
Wilson,Box 205,Criminal Appeals Judge 8,,"William Strange, III",LIB,49,102,2,0,153
Wilson,Box 205,State Bd Educ 3,,David M. Williams,REP,245,376,22,0,643
Wilson,Box 205,State Bd Educ 3,,Marisa B. Perez,DEM,97,242,22,0,361
Wilson,Box 205,"State Senator, D21",,Grant Rostig,REP,166,262,18,0,446
Wilson,Box 205,"State Senator, D21",,Judith Zaffirini,DEM,179,376,28,0,583
Wilson,Box 205,"State Senator, D21",,Joseph Morse,LIB,8,13,0,0,21
Wilson,Box 205,"State Representative, D44",,John Kuempel,REP,273,498,22,0,793
Wilson,Box 205,"Justice, 4th Court Appeals 2",,Marialyn Barnard,REP,246,403,22,0,671
Wilson,Box 205,"Justice, 4th Court Appeals 2",,Baldemar Garza,DEM,93,217,22,0,332
Wilson,Box 205,"Justice, 4th Court Appeals 3",,Rebecca Simmons,REP,237,386,23,1,647
Wilson,Box 205,"Justice, 4th Court Appeals 3",,Patricia Alvarez,DEM,100,239,21,0,360
Wilson,Box 205,"Justice, 4th Court Appeals 4",,Steve Hilbig,REP,243,394,21,0,658
Wilson,Box 205,"Justice, 4th Court Appeals 4",,Luz Elena Chapa,DEM,103,243,23,0,369
Wilson,Box 205,"Justice, 4th Court Appeals 5",,Karen Angelini,REP,233,387,22,0,642
Wilson,Box 205,"Justice, 4th Court Appeals 5",,David D. Towler,DEM,106,235,22,0,363
Wilson,Box 205,"Justice, 4th Court Appeals 7",,Phylis J. Speedlin,REP,229,366,23,0,618
Wilson,Box 205,"Justice, 4th Court Appeals 7",,Rebeca C. Martinez,DEM,109,252,21,0,382
Wilson,Box 205,"District Attorney, D81",,RenÈ M. PeÒa,DEM,206,450,28,0,684
Wilson,Box 205,Sheriff,,Chris Burchell,REP,135,206,14,0,355
Wilson,Box 205,Sheriff,,"Joe D. Tackitt, Jr.",DEM,222,463,33,0,718
Wilson,Box 205,County Attorney,,Daynah Fallwell,REP,263,464,21,0,748
Wilson,Box 205,County Tax Assessor-Collector,,Anna D. Gonzales,DEM,230,490,32,0,752
Wilson,Box 205,"Constable, Pct 2",,Chad Clark,REP,214,343,25,0,582
Wilson,Box 205,"Constable, Pct 2",,Donald J. Stevens,DEM,136,299,22,0,457
