county,precinct,office,district,candidate,party,votes,early_ballots,early_votes,election_ballots,election_votes
Wheeler,3,Straight Party,,Under Votes,,138,,76,,62
Wheeler,3,Straight Party,,Over Votes,,0,,0,,0
Wheeler,3,President,,Donald J. Trump / Mike Pence,REP,316,225,190,145,126
Wheeler,3,President,,Hillary Clinton / Tim Kaine,DEM,43,225,26,145,17
Wheeler,3,President,,Gary Johnson / William Weld,LIB,6,225,5,145,1
Wheeler,3,President,,Jill Stein / Ajamu Baraka,GRN,0,225,0,145,0
Wheeler,3,President,,Under Votes,,5,,4,,1
Wheeler,3,President,,Over Votes,,0,,0,,0
Wheeler,3,"U.S. House, District 13",13,Mac Thornberry,REP,315,225,196,145,119
Wheeler,3,"U.S. House, District 13",13,Calvin DeWeese,LIB,14,225,9,145,5
Wheeler,3,"U.S. House, District 13",13,"H.F. ""Rusty"" Tomlinson",GRN,6,225,2,145,4
Wheeler,3,"U.S. House, District 13",13,Under Votes,,34,,17,,17
Wheeler,3,"U.S. House, District 13",13,Over Votes,,0,,0,,0
Wheeler,3,Railroad Commissioner,,Wayne Christian,REP,291,225,180,145,111
Wheeler,3,Railroad Commissioner,,Grady Yarbrough,DEM,43,225,27,145,16
Wheeler,3,Railroad Commissioner,,Mark Miller,LIB,10,225,7,145,3
Wheeler,3,Railroad Commissioner,,Martina Salinas,GRN,3,225,0,145,3
Wheeler,3,Railroad Commissioner,,Under Votes,,21,,9,,12
Wheeler,3,Railroad Commissioner,,Over Votes,,0,,0,,0
Wheeler,3,"State Representative, District 68",68,Drew Springer,REP,306,225,188,145,118
Wheeler,3,"State Representative, District 68",68,Under Votes,,56,,29,,27
Wheeler,3,"State Representative, District 68",68,Over Votes,,0,,0,,0
Wheeler,4,Registered Voters,,,,187,,,,
Wheeler,4,Ballots Cast,,,,132,,47,,85
Wheeler,4,Straight Party,,Republican Party,REP,62,47,22,85,40
Wheeler,4,Straight Party,,Democratic Party,DEM,8,47,3,85,5
Wheeler,4,Straight Party,,Libertarian Party,LIB,3,47,0,85,3
Wheeler,4,Straight Party,,Green Party,GRN,0,47,0,85,0
Wheeler,4,Straight Party,,Under Votes,,58,,21,,37
Wheeler,4,Straight Party,,Over Votes,,0,,0,,0
Wheeler,4,President,,Donald J. Trump / Mike Pence,REP,109,47,40,85,69
Wheeler,4,President,,Hillary Clinton / Tim Kaine,DEM,16,47,6,85,10
Wheeler,4,President,,Gary Johnson / William Weld,LIB,4,47,1,85,3
Wheeler,4,President,,Jill Stein / Ajamu Baraka,GRN,1,47,0,85,1
Wheeler,4,President,,Under Votes,,2,,0,,2
Wheeler,4,President,,Over Votes,,0,,0,,0
Wheeler,4,"U.S. House, District 13",13,Mac Thornberry,REP,113,47,42,85,71
Wheeler,4,"U.S. House, District 13",13,Calvin DeWeese,LIB,10,47,1,85,9
Wheeler,4,"U.S. House, District 13",13,"H.F. ""Rusty"" Tomlinson",GRN,1,47,0,85,1
Wheeler,4,"U.S. House, District 13",13,Under Votes,,7,,3,,4
Wheeler,4,"U.S. House, District 13",13,Over Votes,,0,,0,,0
Wheeler,4,Railroad Commissioner,,Wayne Christian,REP,97,47,34,85,63
Wheeler,4,Railroad Commissioner,,Grady Yarbrough,DEM,19,47,7,85,12
Wheeler,4,Railroad Commissioner,,Mark Miller,LIB,11,47,5,85,6
Wheeler,4,Railroad Commissioner,,Martina Salinas,GRN,1,47,0,85,1
Wheeler,4,Railroad Commissioner,,Under Votes,,4,,1,,3
Wheeler,4,Railroad Commissioner,,Over Votes,,0,,0,,0
Wheeler,4,"State Representative, District 68",68,Drew Springer,REP,111,47,41,85,70
Wheeler,4,"State Representative, District 68",68,Under Votes,,20,,5,,15
Wheeler,4,"State Representative, District 68",68,Over Votes,,0,,0,,0
Wheeler,5,Registered Voters,,,,90,,,,
Wheeler,5,Ballots Cast,,,,77,,27,,50
Wheeler,5,Straight Party,,Republican Party,REP,49,27,16,50,33
Wheeler,5,Straight Party,,Democratic Party,DEM,2,27,2,50,0
Wheeler,5,Straight Party,,Libertarian Party,LIB,0,27,0,50,0
Wheeler,5,Straight Party,,Green Party,GRN,0,27,0,50,0
Wheeler,5,Straight Party,,Under Votes,,26,,9,,17
Wheeler,5,Straight Party,,Over Votes,,0,,0,,0
Wheeler,5,President,,Donald J. Trump / Mike Pence,REP,74,27,25,50,49
Wheeler,5,President,,Hillary Clinton / Tim Kaine,DEM,2,27,2,50,0
Wheeler,5,President,,Gary Johnson / William Weld,LIB,0,27,0,50,0
Wheeler,5,President,,Jill Stein / Ajamu Baraka,GRN,0,27,0,50,0
Wheeler,5,President,,Under Votes,,1,,0,,1
Wheeler,5,President,,Over Votes,,0,,0,,0
Wheeler,5,"U.S. House, District 13",13,Mac Thornberry,REP,71,27,22,50,49
Wheeler,5,"U.S. House, District 13",13,Calvin DeWeese,LIB,3,27,3,50,0
Wheeler,5,"U.S. House, District 13",13,"H.F. ""Rusty"" Tomlinson",GRN,0,27,0,50,0
Wheeler,5,"U.S. House, District 13",13,Under Votes,,3,,2,,1
Wheeler,5,"U.S. House, District 13",13,Over Votes,,0,,0,,0
Wheeler,5,Railroad Commissioner,,Wayne Christian,REP,70,27,25,50,45
Wheeler,5,Railroad Commissioner,,Grady Yarbrough,DEM,2,27,2,50,0
Wheeler,5,Railroad Commissioner,,Mark Miller,LIB,1,27,0,50,1
Wheeler,5,Railroad Commissioner,,Martina Salinas,GRN,0,27,0,50,0
Wheeler,5,Railroad Commissioner,,Under Votes,,4,,0,,4
Wheeler,5,Railroad Commissioner,,Over Votes,,0,,0,,0
Wheeler,5,"State Representative, District 68",68,Drew Springer,REP,68,27,23,50,45
Wheeler,5,"State Representative, District 68",68,Under Votes,,9,,4,,5
Wheeler,5,"State Representative, District 68",68,Over Votes,,0,,0,,0
Wheeler,6,Registered Voters,,,,127,,,,5
Wheeler,6,Ballots Cast,,,,82,,30,,0
Wheeler,6,Straight Party,,Republican Party,REP,45,30,14,52,31
Wheeler,6,Straight Party,,Democratic Party,DEM,2,30,1,52,1
Wheeler,6,Straight Party,,Libertarian Party,LIB,1,30,0,52,1
Wheeler,6,Straight Party,,Green Party,GRN,0,30,0,52,0
Wheeler,6,Straight Party,,Under Votes,,32,,13,,19
Wheeler,6,Straight Party,,Over Votes,,0,,0,,0
Wheeler,6,President,,Donald J. Trump / Mike Pence,REP,72,30,25,52,47
Wheeler,6,President,,Hillary Clinton / Tim Kaine,DEM,7,30,3,52,4
Wheeler,6,President,,Gary Johnson / William Weld,LIB,0,30,0,52,0
Wheeler,6,President,,Jill Stein / Ajamu Baraka,GRN,0,30,0,52,0
Wheeler,6,President,,Under Votes,,1,,0,,1
Wheeler,6,President,,Over Votes,,0,,0,,0
Wheeler,6,"U.S. House, District 13",13,Mac Thornberry,REP,72,30,25,52,47
Wheeler,6,"U.S. House, District 13",13,Calvin DeWeese,LIB,3,30,2,52,1
Wheeler,6,"U.S. House, District 13",13,"H.F. ""Rusty"" Tomlinson",GRN,1,30,1,52,0
Wheeler,6,"U.S. House, District 13",13,Under Votes,,6,,2,,4
Wheeler,6,"U.S. House, District 13",13,Over Votes,,0,,0,,0
Wheeler,6,Railroad Commissioner,,Wayne Christian,REP,67,30,24,52,43
Wheeler,6,Railroad Commissioner,,Grady Yarbrough,DEM,8,30,4,52,4
Wheeler,6,Railroad Commissioner,,Mark Miller,LIB,2,30,2,52,0
Wheeler,6,Railroad Commissioner,,Martina Salinas,GRN,0,30,0,52,0
Wheeler,6,Railroad Commissioner,,Under Votes,,5,,0,,5
Wheeler,6,Railroad Commissioner,,Over Votes,,0,,0,,0
Wheeler,6,"State Representative, District 68",68,Drew Springer,REP,74,30,28,52,46
Wheeler,6,"State Representative, District 68",68,Under Votes,,8,,2,,6
Wheeler,6,"State Representative, District 68",68,Over Votes,,0,,0,,0
Wheeler,7,Registered Voters,,,,130,,,,
Wheeler,7,Ballots Cast,,,,102,,50,,52
Wheeler,7,Straight Party,,Republican Party,REP,56,50,28,52,28
Wheeler,7,Straight Party,,Democratic Party,DEM,2,50,2,52,0
Wheeler,7,Straight Party,,Libertarian Party,LIB,1,50,0,52,1
Wheeler,7,Straight Party,,Green Party,GRN,0,50,0,52,0
Wheeler,7,Straight Party,,Under Votes,,42,,19,,23
Wheeler,7,Straight Party,,Over Votes,,0,,0,,0
Wheeler,7,President,,Donald J. Trump / Mike Pence,REP,96,50,46,52,50
Wheeler,7,President,,Hillary Clinton / Tim Kaine,DEM,6,50,4,52,2
Wheeler,7,President,,Gary Johnson / William Weld,LIB,0,50,0,52,0
Wheeler,7,President,,Jill Stein / Ajamu Baraka,GRN,0,50,0,52,0
Wheeler,7,President,,Under Votes,,0,,0,,0
Wheeler,7,President,,Over Votes,,0,,0,,0
Wheeler,7,"U.S. House, District 13",13,Mac Thornberry,REP,95,50,46,52,49
Wheeler,7,"U.S. House, District 13",13,Calvin DeWeese,LIB,2,50,1,52,1
Wheeler,7,"U.S. House, District 13",13,"H.F. ""Rusty"" Tomlinson",GRN,1,50,0,52,1
Wheeler,7,"U.S. House, District 13",13,Under Votes,,4,,3,,1
Wheeler,7,"U.S. House, District 13",13,Over Votes,,0,,0,,0
Wheeler,7,Railroad Commissioner,,Wayne Christian,REP,90,50,45,52,45
Wheeler,7,Railroad Commissioner,,Grady Yarbrough,DEM,6,50,3,52,3
Wheeler,7,Railroad Commissioner,,Mark Miller,LIB,3,50,1,52,2
Wheeler,7,Railroad Commissioner,,Martina Salinas,GRN,0,50,0,52,0
Wheeler,7,Railroad Commissioner,,Under Votes,,3,,1,,2
Wheeler,7,Railroad Commissioner,,Over Votes,,0,,0,,0
Wheeler,7,"State Representative, District 68",68,Drew Springer,REP,96,50,46,52,50
Wheeler,7,"State Representative, District 68",68,Under Votes,,6,,4,,2
Wheeler,7,"State Representative, District 68",68,Over Votes,,0,,0,,0
Wheeler,8,Registered Voters,,,,670,,,,
Wheeler,8,Ballots Cast,,,,400,,225,,175
Wheeler,8,Straight Party,,Republican Party,REP,229,225,133,175,96
Wheeler,8,Straight Party,,Democratic Party,DEM,22,225,11,175,11
Wheeler,8,Straight Party,,Libertarian Party,LIB,1,225,0,175,1
Wheeler,8,Straight Party,,Green Party,GRN,2,225,2,175,0
Wheeler,8,Straight Party,,Under Votes,,133,,66,,67
Wheeler,8,Straight Party,,Over Votes,,0,,0,,0
Wheeler,8,President,,Donald J. Trump / Mike Pence,REP,352,225,198,175,154
Wheeler,8,President,,Hillary Clinton / Tim Kaine,DEM,40,225,22,175,18
Wheeler,8,President,,Gary Johnson / William Weld,LIB,5,225,2,175,3
Wheeler,8,President,,Jill Stein / Ajamu Baraka,GRN,0,225,0,175,0
Wheeler,8,President,,Under Votes,,3,,3,,0
Wheeler,8,President,,Over Votes,,0,,0,,0
Wheeler,8,"U.S. House, District 13",13,Mac Thornberry,REP,344,225,192,175,152
Wheeler,8,"U.S. House, District 13",13,Calvin DeWeese,LIB,24,225,15,175,9
Wheeler,8,"U.S. House, District 13",13,"H.F. ""Rusty"" Tomlinson",GRN,6,225,3,175,3
Wheeler,8,"U.S. House, District 13",13,Under Votes,,24,,13,,11
Wheeler,8,"U.S. House, District 13",13,Over Votes,,0,,0,,0
Wheeler,8,Railroad Commissioner,,Wayne Christian,REP,316,225,179,175,137
Wheeler,8,Railroad Commissioner,,Grady Yarbrough,DEM,37,225,18,175,19
Wheeler,8,Railroad Commissioner,,Mark Miller,LIB,12,225,8,175,4
Wheeler,8,Railroad Commissioner,,Martina Salinas,GRN,6,225,3,175,3
Wheeler,8,Railroad Commissioner,,Under Votes,,26,,14,,12
Wheeler,8,Railroad Commissioner,,Over Votes,,0,,0,,0
Wheeler,8,"State Representative, District 68",68,Drew Springer,REP,347,225,194,175,153
Wheeler,8,"State Representative, District 68",68,Under Votes,,48,,26,,22
Wheeler,8,"State Representative, District 68",68,Over Votes,,0,,0,,0
Wheeler,9,Registered Voters,,,,847,,,,
Wheeler,9,Ballots Cast,,,,554,,318,,236
Wheeler,9,Straight Party,,Republican Party,REP,322,318,187,236,135
Wheeler,9,Straight Party,,Democratic Party,DEM,29,318,19,236,10
Wheeler,9,Straight Party,,Libertarian Party,LIB,2,318,1,236,1
Wheeler,9,Straight Party,,Green Party,GRN,0,318,0,236,0
Wheeler,9,Straight Party,,Under Votes,,184,,94,,90
Wheeler,9,Straight Party,,Over Votes,,0,,0,,0
Wheeler,9,President,,Donald J. Trump / Mike Pence,REP,494,318,283,236,211
Wheeler,9,President,,Hillary Clinton / Tim Kaine,DEM,43,318,30,236,13
Wheeler,9,President,,Gary Johnson / William Weld,LIB,4,318,2,236,2
Wheeler,9,President,,Jill Stein / Ajamu Baraka,GRN,0,318,0,236,0
Wheeler,9,President,,Under Votes,,13,,3,,10
Wheeler,9,President,,Over Votes,,0,,0,,0
Wheeler,9,"U.S. House, District 13",13,Mac Thornberry,REP,480,318,273,236,207
Wheeler,9,"U.S. House, District 13",13,Calvin DeWeese,LIB,23,318,15,236,8
Wheeler,9,"U.S. House, District 13",13,"H.F. ""Rusty"" Tomlinson",GRN,7,318,6,236,1
Wheeler,9,"U.S. House, District 13",13,Under Votes,,38,,18,,20
Wheeler,9,"U.S. House, District 13",13,Over Votes,,0,,0,,0
Wheeler,9,Railroad Commissioner,,Wayne Christian,REP,462,318,265,236,197
Wheeler,9,Railroad Commissioner,,Grady Yarbrough,DEM,48,318,29,236,19
Wheeler,9,Railroad Commissioner,,Mark Miller,LIB,15,318,10,236,5
Wheeler,9,Railroad Commissioner,,Martina Salinas,GRN,3,318,2,236,1
Wheeler,9,Railroad Commissioner,,Under Votes,,24,,10,,14
Wheeler,9,Railroad Commissioner,,Over Votes,,0,,0,,0
Wheeler,9,"State Representative, District 68",68,Drew Springer,REP,493,318,279,236,214
Wheeler,9,"State Representative, District 68",68,Under Votes,,52,,30,,22
Wheeler,9,"State Representative, District 68",68,Over Votes,,0,,0,,0
Wheeler,10,Registered Voters,,,,120,,,,
Wheeler,10,Ballots Cast,,,,87,,29,,58
Wheeler,10,Straight Party,,Republican Party,REP,42,29,19,58,23
Wheeler,10,Straight Party,,Democratic Party,DEM,0,29,0,58,0
Wheeler,10,Straight Party,,Libertarian Party,LIB,1,29,0,58,1
Wheeler,10,Straight Party,,Green Party,GRN,0,29,0,58,0
Wheeler,10,Straight Party,,Under Votes,,42,,8,,34
Wheeler,10,Straight Party,,Over Votes,,0,,0,,0
Wheeler,10,President,,Donald J. Trump / Mike Pence,REP,82,29,27,58,55
Wheeler,10,President,,Hillary Clinton / Tim Kaine,DEM,3,29,2,58,1
Wheeler,10,President,,Gary Johnson / William Weld,LIB,1,29,0,58,1
Wheeler,10,President,,Jill Stein / Ajamu Baraka,GRN,0,29,0,58,0
Wheeler,10,President,,Under Votes,,1,,0,,1
Wheeler,10,President,,Over Votes,,0,,0,,0
Wheeler,10,"U.S. House, District 13",13,Mac Thornberry,REP,76,29,28,58,48
Wheeler,10,"U.S. House, District 13",13,Calvin DeWeese,LIB,3,29,1,58,2
Wheeler,10,"U.S. House, District 13",13,"H.F. ""Rusty"" Tomlinson",GRN,2,29,0,58,2
Wheeler,10,"U.S. House, District 13",13,Under Votes,,6,,0,,6
Wheeler,10,"U.S. House, District 13",13,Over Votes,,0,,0,,0
Wheeler,10,Railroad Commissioner,,Wayne Christian,REP,74,29,24,58,50
Wheeler,10,Railroad Commissioner,,Grady Yarbrough,DEM,4,29,3,58,1
Wheeler,10,Railroad Commissioner,,Mark Miller,LIB,4,29,1,58,3
Wheeler,10,Railroad Commissioner,,Martina Salinas,GRN,2,29,0,58,2
Wheeler,10,Railroad Commissioner,,Under Votes,,3,,1,,2
Wheeler,10,Railroad Commissioner,,Over Votes,,0,,0,,0
Wheeler,10,"State Representative, District 68",68,Drew Springer,REP,77,29,25,58,52
Wheeler,10,"State Representative, District 68",68,Under Votes,,8,,2,,6
Wheeler,10,"State Representative, District 68",68,Over Votes,,0,,0,,0
