county,precinct,office,district,party,candidate,votes,election_day,early_voting_roby,early_voting_rotan,early_voting
Fisher,10,President,,DEM,"Roque ""Rocky"" De La Fuente",1,1,,,0
Fisher,10,President,,DEM,Calvis L Hawes,1,0,,,1
Fisher,10,President,,DEM,Willie L Wilson,1,1,,,0
Fisher,10,President,,DEM,Hillary Clinton,40,32,,,8
Fisher,10,President,,DEM,Star Locke,3,3,,,0
Fisher,10,Railroad Commissioner,,DEM,Grady Yarbrough,34,24,,,10
Fisher,10,Railroad Commissioner,,DEM,Cody Garrett,27,22,,,5
Fisher,10,Railroad Commissioner,,DEM,Lon Burnam,7,7,,,0
Fisher,10,"Justice, Supreme Court Place 3",,DEM,Mike Westergren,63,49,,,14
Fisher,10,"Justice, Supreme Court Place 5",,DEM,Dori Contreras Garza,63,49,,,14
Fisher,10,"Justice, Supreme Court Place 9",,DEM,Savannah Robinson,66,52,,,14
Fisher,10,"Judge, Court of Criminal Appeals Pl 2",,DEM,"Lawrence ""Larry"" Meyers",63,49,,,14
Fisher,10,"Judge, Court of Criminal Appeals Pl 5",,DEM,Betsy Johnson,61,47,,,14
Fisher,10,"Judge, Court of Criminal Appeals, Pl 6",,DEM,Robert Burns,62,49,,,13
Fisher,10,Ref 1,,DEM,Yes,64,51,,,13
Fisher,10,Ref 1,,DEM,No,35,23,,,12
Fisher,10,Ref 2,,DEM,Yes,83,64,,,19
Fisher,10,Ref 2,,DEM,No,10,5,,,5
Fisher,10,Ref 3,,DEM,Yes,66,54,,,12
Fisher,10,Ref 3,,DEM,No,26,14,,,12
Fisher,10,Ref 4,,DEM,Yes,69,53,,,16
Fisher,10,Ref 4,,DEM,No,17,12,,,5
Fisher,10,Ref 5,,DEM,Yes,67,49,,,18
Fisher,10,Ref 5,,DEM,No,28,23,,,5
Fisher,10,Ref 6,,DEM,Yes,62,49,,,13
Fisher,10,Ref 6,,DEM,No,36,26,,,10
Fisher,12,Registered Voters - Total,,,,689,,,,
Fisher,12,President,,DEM,Martin J O'Malley,2,2,,,0
Fisher,12,President,,DEM,Bernie Sanders,34,30,,,4
Fisher,12,President,,DEM,Keith Judd,0,0,,,0
Fisher,12,President,,DEM,"Roque ""Rocky"" De La Fuente",1,0,,,1
Fisher,12,President,,DEM,Calvis L Hawes,0,0,,,0
Fisher,12,President,,DEM,Willie L Wilson,3,2,,,1
Fisher,12,President,,DEM,Hillary Clinton,73,58,,,15
Fisher,12,President,,DEM,Star Locke,0,0,,,0
Fisher,12,Railroad Commissioner,,DEM,Grady Yarbrough,44,34,,,10
Fisher,12,Railroad Commissioner,,DEM,Cody Garrett,45,38,,,7
Fisher,12,Railroad Commissioner,,DEM,Lon Burnam,9,6,,,3
Fisher,12,"Justice, Supreme Court Place 3",,DEM,Mike Westergren,78,61,,,17
Fisher,12,"Justice, Supreme Court Place 5",,DEM,Dori Contreras Garza,81,64,,,17
Fisher,12,"Justice, Supreme Court Place 9",,DEM,Savannah Robinson,78,61,,,17
Fisher,12,"Judge, Court of Criminal Appeals Pl 2",,DEM,"Lawrence ""Larry"" Meyers",79,62,,,17
Fisher,12,"Judge, Court of Criminal Appeals Pl 5",,DEM,Betsy Johnson,78,61,,,17
Fisher,12,"Judge, Court of Criminal Appeals, Pl 6",,DEM,Robert Burns,77,60,,,17
Fisher,12,Ref 1,,DEM,Yes,87,68,,,19
Fisher,12,Ref 1,,DEM,No,19,15,,,4
Fisher,12,Ref 2,,DEM,Yes,83,66,,,17
Fisher,12,Ref 2,,DEM,No,11,7,,,4
Fisher,12,Ref 3,,DEM,Yes,71,57,,,14
Fisher,12,Ref 3,,DEM,No,22,14,,,8
Fisher,12,Ref 4,,DEM,Yes,77,60,,,17
Fisher,12,Ref 4,,DEM,No,17,11,,,6
Fisher,12,Ref 5,,DEM,Yes,72,61,,,11
Fisher,12,Ref 5,,DEM,No,23,13,,,10
Fisher,12,Ref 6,,DEM,Yes,60,50,,,10
Fisher,12,Ref 6,,DEM,No,36,25,,,11
Fisher,1,President,,REP,Mike Huckabee,2,1,,,1
Fisher,1,President,,REP,Jeb Bush,2,0,,,2
Fisher,1,President,,REP,Marco Rubio,15,6,,,9
Fisher,1,President,,REP,Ted Cruz,65,44,,,21
Fisher,1,President,,REP,Chris Christie,0,0,,,0
Fisher,1,President,,REP,Rick Santorum,0,0,,,0
Fisher,1,President,,REP,Carly Fiorina,0,0,,,0
Fisher,1,President,,REP,Rand Paul,0,0,,,0
Fisher,1,President,,REP,Ben Carson,9,4,,,5
Fisher,1,President,,REP,Lindsey Graham,0,0,,,0
Fisher,1,President,,REP,John R Kasich,4,1,,,3
Fisher,1,President,,REP,Donald J Trump,47,31,,,16
Fisher,1,President,,REP,Elizabeth Gray,0,0,,,0
Fisher,1,President,,REP,Uncommitted,1,1,,,0
Fisher,1,U.S. House,19,REP,Donald R May,13,9,,,4
Fisher,1,U.S. House,19,REP,Greg Garrett,7,4,,,3
Fisher,1,U.S. House,19,REP,Jodey Arrington,42,27,,,15
Fisher,1,U.S. House,19,REP,Michael Bob Starr,28,18,,,10
Fisher,1,U.S. House,19,REP,DeRenda Warren,5,4,,,1
Fisher,1,U.S. House,19,REP,John C Key,5,4,,,1
Fisher,1,U.S. House,19,REP,Glen Robertson,29,13,,,16
Fisher,1,U.S. House,19,REP,Jason Corley,3,1,,,2
Fisher,1,U.S. House,19,REP,Don Parrish,2,1,,,1
Fisher,1,Railroad Commissioner,,REP,Weston Martinez,6,4,,,2
Fisher,1,Railroad Commissioner,,REP,Doug Jeffrey,23,15,,,8
Fisher,1,Railroad Commissioner,,REP,Gary Gates,22,13,,,9
Fisher,1,Railroad Commissioner,,REP,Ron Hale,29,20,,,9
Fisher,1,Railroad Commissioner,,REP,Lance N Christian,12,6,,,6
Fisher,1,Railroad Commissioner,,REP,John Greytok,3,2,,,1
Fisher,1,Railroad Commissioner,,REP,Wayne Christian,13,5,,,8
Fisher,1,"Justice, Supreme Court Pl 3",,REP,Michael Massengale,69,40,,,29
Fisher,1,"Justice, Supreme Court Pl 3",,REP,Debra Lehrmann,48,29,,,19
Fisher,1,"Justice, Supreme Court Pl 5",,REP,Paul Green,54,35,,,19
Fisher,1,"Justice, Supreme Court Pl 5",,REP,Rick Green,58,32,,,26
Fisher,1,"Justice, Supreme Court Pl 9",,REP,Eva Guzman,32,17,,,15
Fisher,1,"Justice, Supreme Court Pl 9",,REP,Joe Pool,72,50,,,22
Fisher,1,"Judge, Court of Criminal Appeals, Pl 2",,REP,y Wheless,32,21,,,11
Fisher,1,"Judge, Court of Criminal Appeals, Pl 2",,REP,Chris Oldner,33,23,,,10
Fisher,1,"Judge, Court of Criminal Appeals, Pl 2",,REP,Mary Lou Keel,33,19,,,14
Fisher,1,"Judge, Court of Criminal Appeals, Pl 5",,REP,Scott Walker,59,38,,,21
Fisher,1,"Judge, Court of Criminal Appeals, Pl 5",,REP,Sid Harle,10,4,,,6
Fisher,1,"Judge, Court of Criminal Appeals, Pl 5",,REP,Steve Smith,16,14,,,2
Fisher,1,"Judge, Court of Criminal Appeals, Pl 5",,REP,Brent Webster,13,8,,,5
Fisher,1,"Judge, Court of Criminal Appeals, Pl 6",,REP,Michael E Keasler,59,36,,,23
Fisher,1,"Judge, Court of Crimianl Appeals, Pl 6",,REP,Richard Davis,39,26,,,13
Fisher,1,State Senator,28,REP,Charles Perry,105,67,,,38
Fisher,1,State Representative,68,REP,Drew Springer,96,65,,,31
Fisher,1,11th Court of Appeals Dist Pl 3,,REP,John Bailey,92,62,,,30
Fisher,1,Prop 1,,REP,Yes,79,45,,,34
Fisher,1,Prop 1,,REP,No,39,27,,,12
Fisher,1,Prop 2,,REP,Yes,59,32,,,27
Fisher,1,Prop 2,,REP,No,59,40,,,19
Fisher,1,Prop 3,,REP,Yes,93,56,,,37
Fisher,1,Prop 3,,REP,No,26,18,,,8
Fisher,1,Prop 4,,REP,Yes,115,71,,,44
Fisher,1,Prop 4,,REP,No,3,3,,,0
Fisher,4,President,,REP,Mike Huckabee,2,0,,,2
Fisher,4,President,,REP,Jeb Bush,1,0,,,1
Fisher,4,President,,REP,Marco Rubio,17,11,,,6
Fisher,4,President,,REP,Ted Cruz,96,65,,,31
Fisher,4,President,,REP,Chris Christie,0,0,,,0
Fisher,4,President,,REP,Rick Santorum,0,0,,,0
Fisher,4,President,,REP,Carly Fiorina,0,0,,,0
Fisher,4,President,,REP,Rand Paul,0,0,,,0
Fisher,4,President,,REP,Ben Carson,10,4,,,6
Fisher,4,President,,REP,Lindsey Graham,0,0,,,0
Fisher,4,President,,REP,John R Kasich,5,4,,,1
Fisher,4,President,,REP,Donald J Trump,34,23,,,11
Fisher,4,President,,REP,Elizabeth Gray,0,0,,,0
Fisher,4,President,,REP,Uncommitted,0,0,,,0
Fisher,4,U.S. House,19,REP,Donald R May,19,12,,,7
Fisher,4,U.S. House,19,REP,Greg Garrett,15,10,,,5
Fisher,4,U.S. House,19,REP,Jodey Arrington,41,25,,,16
Fisher,4,U.S. House,19,REP,Michael Bob Starr,19,14,,,5
Fisher,4,U.S. House,19,REP,DeRenda Warren,3,3,,,0
Fisher,4,U.S. House,19,REP,John C Key,1,0,,,1
Fisher,4,U.S. House,19,REP,Glen Robertson,35,21,,,14
Fisher,4,U.S. House,19,REP,Jason Corley,8,6,,,2
Fisher,4,U.S. House,19,REP,Don Parrish,5,3,,,2
Fisher,4,Railroad Commissioner,,REP,Weston Martinez,9,9,,,0
Fisher,4,Railroad Commissioner,,REP,Doug Jeffrey,23,11,,,12
Fisher,4,Railroad Commissioner,,REP,Gary Gates,19,15,,,4
Fisher,4,Railroad Commissioner,,REP,Ron Hale,20,13,,,7
Fisher,4,Railroad Commissioner,,REP,Lance N Christian,17,12,,,5
Fisher,4,Railroad Commissioner,,REP,John Greytok,5,5,,,0
Fisher,4,Railroad Commissioner,,REP,Wayne Christian,23,13,,,10
Fisher,4,"Justice, Supreme Court Pl 3",,REP,Michael Massengale,73,47,,,26
Fisher,4,"Justice, Supreme Court Pl 3",,REP,Debra Lehrmann,47,32,,,15
Fisher,4,"Justice, Supreme Court Pl 5",,REP,Paul Green,58,35,,,23
Fisher,4,"Justice, Supreme Court Pl 5",,REP,Rick Green,61,44,,,17
Fisher,4,"Justice, Supreme Court Pl 9",,REP,Eva Guzman,53,33,,,20
Fisher,4,"Justice, Supreme Court Pl 9",,REP,Joe Pool,67,47,,,20
Fisher,4,"Judge, Court of Criminal Appeals, Pl 2",,REP,y Wheless,37,26,,,11
Fisher,4,"Judge, Court of Criminal Appeals, Pl 2",,REP,Chris Oldner,37,23,,,14
Fisher,4,"Judge, Court of Criminal Appeals, Pl 2",,REP,Mary Lou Keel,40,27,,,13
Fisher,4,"Judge, Court of Criminal Appeals, Pl 5",,REP,Scott Walker,61,45,,,16
Fisher,4,"Judge, Court of Criminal Appeals, Pl 5",,REP,Sid Harle,14,11,,,3
Fisher,4,"Judge, Court of Criminal Appeals, Pl 5",,REP,Steve Smith,24,12,,,12
Fisher,4,"Judge, Court of Criminal Appeals, Pl 5",,REP,Brent Webster,19,12,,,7
Fisher,4,"Judge, Court of Criminal Appeals, Pl 6",,REP,Michael E Keasler,59,38,,,21
Fisher,4,"Judge, Court of Crimianl Appeals, Pl 6",,REP,Richard Davis,50,36,,,14
Fisher,4,State Senator,28,REP,Charles Perry,114,75,,,39
Fisher,4,State Representative,68,REP,Drew Springer,114,77,,,37
Fisher,4,11th Court of Appeals Dist Pl 3,,REP,John Bailey,108,71,,,37
Fisher,4,Prop 1,,REP,Yes,119,85,,,34
Fisher,4,Prop 1,,REP,No,28,11,,,17
Fisher,4,Prop 2,,REP,Yes,75,49,,,26
Fisher,4,Prop 2,,REP,No,73,48,,,25
Fisher,4,Prop 3,,REP,Yes,132,81,,,51
Fisher,4,Prop 3,,REP,No,15,15,,,0
Fisher,4,Prop 4,,REP,Yes,141,94,,,47
Fisher,4,Prop 4,,REP,No,2,2,,,0
Fisher,10,President,,REP,Mike Huckabee,0,0,,,0
Fisher,10,President,,REP,Jeb Bush,1,0,,,1
Fisher,10,President,,REP,Marco Rubio,19,16,,,3
Fisher,10,President,,REP,Ted Cruz,61,46,,,15
Fisher,10,President,,REP,Chris Christie,0,0,,,0
Fisher,10,President,,REP,Rick Santorum,0,0,,,0
Fisher,10,President,,REP,Carly Fiorina,0,0,,,0
Fisher,10,President,,REP,Rand Paul,0,0,,,0
Fisher,10,President,,REP,Ben Carson,6,5,,,1
Fisher,10,President,,REP,Lindsey Graham,0,0,,,0
Fisher,10,President,,REP,John R Kasich,2,1,,,1
Fisher,10,President,,REP,Donald J Trump,22,19,,,3
Fisher,10,President,,REP,Elizabeth Gray,0,0,,,0
Fisher,10,President,,REP,Uncommitted,3,2,,,1
Fisher,10,U.S. House,19,REP,Donald R May,8,6,,,2
Fisher,10,U.S. House,19,REP,Greg Garrett,9,7,,,2
Fisher,10,U.S. House,19,REP,Jodey Arrington,47,41,,,6
Fisher,10,U.S. House,19,REP,Michael Bob Starr,22,17,,,5
Fisher,10,U.S. House,19,REP,DeRenda Warren,3,3,,,0
Fisher,10,U.S. House,19,REP,John C Key,3,2,,,1
Fisher,10,U.S. House,19,REP,Glen Robertson,14,5,,,9
Fisher,10,U.S. House,19,REP,Jason Corley,1,1,,,0
Fisher,10,U.S. House,19,REP,Don Parrish,1,1,,,0
Fisher,10,Railroad Commissioner,,REP,Weston Martinez,8,7,,,1
Fisher,10,Railroad Commissioner,,REP,Doug Jeffrey,13,13,,,0
Fisher,10,Railroad Commissioner,,REP,Gary Gates,12,8,,,4
Fisher,10,Railroad Commissioner,,REP,Ron Hale,31,19,,,12
Fisher,10,Railroad Commissioner,,REP,Lance N Christian,9,7,,,2
Fisher,10,Railroad Commissioner,,REP,John Greytok,1,1,,,0
Fisher,10,Railroad Commissioner,,REP,Wayne Christian,10,8,,,2
Fisher,10,"Justice, Supreme Court Pl 3",,REP,Michael Massengale,46,32,,,14
Fisher,10,"Justice, Supreme Court Pl 3",,REP,Debra Lehrmann,39,32,,,7
Fisher,10,"Justice, Supreme Court Pl 5",,REP,Paul Green,44,31,,,13
Fisher,10,"Justice, Supreme Court Pl 5",,REP,Rick Green,40,31,,,9
Fisher,10,"Justice, Supreme Court Pl 9",,REP,Eva Guzman,30,25,,,5
Fisher,10,"Justice, Supreme Court Pl 9",,REP,Joe Pool,57,41,,,16
Fisher,10,"Judge, Court of Criminal Appeals, Pl 2",,REP,y Wheless,25,18,,,7
Fisher,10,"Judge, Court of Criminal Appeals, Pl 2",,REP,Chris Oldner,24,18,,,6
Fisher,10,"Judge, Court of Criminal Appeals, Pl 2",,REP,Mary Lou Keel,28,21,,,7
Fisher,10,"Judge, Court of Criminal Appeals, Pl 5",,REP,Scott Walker,42,34,,,8
Fisher,10,"Judge, Court of Criminal Appeals, Pl 5",,REP,Sid Harle,12,9,,,3
Fisher,10,"Judge, Court of Criminal Appeals, Pl 5",,REP,Steve Smith,15,9,,,6
Fisher,10,"Judge, Court of Criminal Appeals, Pl 5",,REP,Brent Webster,12,9,,,3
Fisher,10,"Judge, Court of Criminal Appeals, Pl 6",,REP,Michael E Keasler,37,27,,,10
Fisher,10,"Judge, Court of Crimianl Appeals, Pl 6",,REP,Richard Davis,44,32,,,12
Fisher,10,State Senator,28,REP,Charles Perry,83,62,,,21
Fisher,10,State Representative,68,REP,Drew Springer,84,62,,,22
Fisher,10,11th Court of Appeals Dist Pl 3,,REP,John Bailey,85,63,,,22
Fisher,10,Prop 1,,REP,Yes,62,46,,,16
Fisher,10,Prop 1,,REP,No,42,34,,,8
Fisher,10,Prop 2,,REP,Yes,53,42,,,11
Fisher,10,Prop 2,,REP,No,56,43,,,13
Fisher,10,Prop 3,,REP,Yes,79,59,,,20
Fisher,10,Prop 3,,REP,No,28,24,,,4
Fisher,10,Prop 4,,REP,Yes,100,76,,,24
Fisher,10,Prop 4,,REP,No,3,3,,,0
Fisher,12,President,,REP,Mike Huckabee,1,1,,,0
Fisher,12,President,,REP,Jeb Bush,1,1,,,0
Fisher,12,President,,REP,Marco Rubio,7,6,,,1
Fisher,12,President,,REP,Ted Cruz,70,59,,,11
Fisher,12,President,,REP,Chris Christie,0,0,,,0
Fisher,12,President,,REP,Rick Santorum,1,1,,,0
Fisher,12,President,,REP,Carly Fiorina,0,0,,,0
Fisher,12,President,,REP,Rand Paul,0,0,,,0
Fisher,12,President,,REP,Ben Carson,6,6,,,0
Fisher,12,President,,REP,Lindsey Graham,0,0,,,0
Fisher,12,President,,REP,John R Kasich,1,0,,,1
Fisher,12,President,,REP,Donald J Trump,25,18,,,7
Fisher,12,President,,REP,Elizabeth Gray,10,0,,,10
Fisher,12,President,,REP,Uncommitted,1,0,,,1
Fisher,12,U.S. House,19,REP,Donald R May,10,8,,,2
Fisher,12,U.S. House,19,REP,Greg Garrett,8,6,,,2
Fisher,12,U.S. House,19,REP,Jodey Arrington,39,34,,,5
Fisher,12,U.S. House,19,REP,Michael Bob Starr,17,14,,,3
Fisher,12,U.S. House,19,REP,DeRenda Warren,3,3,,,0
Fisher,12,U.S. House,19,REP,John C Key,1,1,,,0
Fisher,12,U.S. House,19,REP,Glen Robertson,19,12,,,7
Fisher,12,U.S. House,19,REP,Jason Corley,2,1,,,1
Fisher,12,U.S. House,19,REP,Don Parrish,2,2,,,0
Fisher,12,Railroad Commissioner,,REP,Weston Martinez,10,10,,,0
Fisher,12,Railroad Commissioner,,REP,Doug Jeffrey,21,15,,,6
Fisher,12,Railroad Commissioner,,REP,Gary Gates,16,9,,,7
Fisher,12,Railroad Commissioner,,REP,Ron Hale,11,11,,,0
Fisher,12,Railroad Commissioner,,REP,Lance N Christian,6,6,,,0
Fisher,12,Railroad Commissioner,,REP,John Greytok,2,1,,,1
Fisher,12,Railroad Commissioner,,REP,Wayne Christian,15,10,,,5
Fisher,12,"Justice, Supreme Court Pl 3",,REP,Michael Massengale,52,36,,,16
Fisher,12,"Justice, Supreme Court Pl 3",,REP,Debra Lehrmann,30,27,,,3
Fisher,12,"Justice, Supreme Court Pl 5",,REP,Paul Green,44,33,,,11
Fisher,12,"Justice, Supreme Court Pl 5",,REP,Rick Green,33,27,,,6
Fisher,12,"Justice, Supreme Court Pl 9",,REP,Eva Guzman,42,31,,,11
Fisher,12,"Justice, Supreme Court Pl 9",,REP,Joe Pool,36,32,,,4
Fisher,12,"Judge, Court of Criminal Appeals, Pl 2",,REP,y Wheless,29,21,,,8
Fisher,12,"Judge, Court of Criminal Appeals, Pl 2",,REP,Chris Oldner,12,10,,,2
Fisher,12,"Judge, Court of Criminal Appeals, Pl 2",,REP,Mary Lou Keel,27,19,,,8
Fisher,12,"Judge, Court of Criminal Appeals, Pl 5",,REP,Scott Walker,44,34,,,10
Fisher,12,"Judge, Court of Criminal Appeals, Pl 5",,REP,Sid Harle,7,4,,,3
Fisher,12,"Judge, Court of Criminal Appeals, Pl 5",,REP,Steve Smith,9,8,,,1
Fisher,12,"Judge, Court of Criminal Appeals, Pl 5",,REP,Brent Webster,17,13,,,4
Fisher,12,"Judge, Court of Criminal Appeals, Pl 6",,REP,Michael E Keasler,36,25,,,11
Fisher,12,"Judge, Court of Crimianl Appeals, Pl 6",,REP,Richard Davis,31,27,,,4
Fisher,12,State Senator,28,REP,Charles Perry,75,56,,,19
Fisher,12,State Representative,68,REP,Drew Springer,61,45,,,16
Fisher,12,11th Court of Appeals Dist Pl 3,,REP,John Bailey,58,43,,,15
Fisher,12,Prop 1,,REP,Yes,65,51,,,14
Fisher,12,Prop 1,,REP,No,34,30,,,4
Fisher,12,Prop 2,,REP,Yes,57,47,,,10
Fisher,12,Prop 2,,REP,No,47,37,,,10
Fisher,12,Prop 3,,REP,Yes,83,67,,,16
Fisher,12,Prop 3,,REP,No,18,14,,,4
Fisher,12,Prop 4,,REP,Yes,95,76,,,19
Fisher,12,Prop 4,,REP,No,6,6,,,0
