county,precinct,office,district,party,candidate,votes,absentee,early_votes,election_day
Young,10,State Representative,68,Republican,Drew Springer,238,23,78,137
Young,10,State Representative,68,,,238,,,
Young,16,,,,Ballots Cast,176,3,87,86
Young,16,,,,Registered Voters,259,,,
Young,16,,,Republican,Straight Party,132,2,61,69
Young,16,,,Democratic,Straight Party,2,0,2,0
Young,16,,,Libertarian,Straight Party,1,0,1,0
Young,16,,,Green,Straight Party,0,0,0,0
Young,16,,,,Straight Party,135,,,
Young,16,President,,Republican,Donald J. Trump,170,2,83,85
Young,16,President,,Democratic,Hillary Clinton,3,0,3,0
Young,16,President,,Libertarian,Gary Johnson,2,1,1,0
Young,16,President,,Green,Jill Stein,0,0,0,0
Young,16,President,,,,175,,,
Young,16,U.S. House,19,Republican,Jodey Arrington,163,2,77,84
Young,16,U.S. House,19,Libertarian,Troy Bonar,5,1,4,0
Young,16,U.S. House,19,Green,Mark Lawson,1,0,1,0
Young,16,U.S. House,19,,,169,,,
Young,16,Railroad Commissioner,,Republican,Wayne Christian,159,2,75,82
Young,16,Railroad Commissioner,,Democratic,Grady Yarbrough,5,1,4,0
Young,16,Railroad Commissioner,,Libertarian,Mark Miller,3,0,3,0
Young,16,Railroad Commissioner,,Green,Martina Salinas,1,0,1,0
Young,16,Railroad Commissioner,,,,168,,,
Young,16,State Representative,68,Republican,Drew Springer,164,3,77,84
Young,16,State Representative,68,,,164,,,
Young,20,,,,Ballots Cast,153,7,95,51
Young,20,,,,Registered Voters,239,,,
Young,20,,,Republican,Straight Party,102,1,64,37
Young,20,,,Democratic,Straight Party,10,3,3,4
Young,20,,,Libertarian,Straight Party,0,0,0,0
Young,20,,,Green,Straight Party,0,0,0,0
Young,20,,,,Straight Party,112,,,
Young,20,President,,Republican,Donald J. Trump,133,3,84,46
Young,20,President,,Democratic,Hillary Clinton,14,4,6,4
Young,20,President,,Libertarian,Gary Johnson,2,0,2,0
Young,20,President,,Green,Jill Stein,0,0,0,0
Young,20,President,,,,149,,,
Young,20,U.S. House,19,Republican,Jodey Arrington,131,2,86,43
Young,20,U.S. House,19,Libertarian,Troy Bonar,3,0,3,0
Young,20,U.S. House,19,Green,Mark Lawson,5,3,1,1
Young,20,U.S. House,19,,,139,,,
Young,20,Railroad Commissioner,,Republican,Wayne Christian,123,2,79,42
Young,20,Railroad Commissioner,,Democratic,Grady Yarbrough,14,3,7,4
Young,20,Railroad Commissioner,,Libertarian,Mark Miller,4,0,4,0
Young,20,Railroad Commissioner,,Green,Martina Salinas,1,1,0,0
Young,20,Railroad Commissioner,,,,142,,,
Young,20,State Representative,68,Republican,Drew Springer,133,3,86,44
Young,20,State Representative,68,,,133,,,
Young,22,,,,Ballots Cast,1389,122,1062,205
Young,22,,,,Registered Voters,3266,,,
Young,22,,,Republican,Straight Party,850,82,651,117
Young,22,,,Democratic,Straight Party,60,11,42,7
Young,22,,,Libertarian,Straight Party,4,0,4,0
Young,22,,,Green,Straight Party,4,0,3,1
Young,22,,,,Straight Party,918,,,
Young,22,President,,Republican,Donald J. Trump,1234,99,952,183
Young,22,President,,Democratic,Hillary Clinton,109,18,76,15
Young,22,President,,Libertarian,Gary Johnson,21,3,13,5
Young,22,President,,Green,Jill Stein,5,0,4,1
Young,22,President,,,Evan McMullin,3,0,3,0
Young,22,President,,,,1372,,,
Young,22,U.S. House,19,Republican,Jodey Arrington,1225,103,947,175
Young,22,U.S. House,19,Libertarian,Troy Bonar,48,5,32,11
Young,22,U.S. House,19,Green,Mark Lawson,22,0,19,3
Young,22,U.S. House,19,,,1295,,,
Young,22,Railroad Commissioner,,Republican,Wayne Christian,1199,99,926,174
Young,22,Railroad Commissioner,,Democratic,Grady Yarbrough,105,18,72,15
Young,22,Railroad Commissioner,,Libertarian,Mark Miller,36,3,27,6
Young,22,Railroad Commissioner,,Green,Martina Salinas,11,0,9,2
Young,22,Railroad Commissioner,,,,1351,,,
Young,22,State Representative,68,Republican,Drew Springer,1255,106,963,186
Young,22,State Representative,68,,,1255,,,
Young,23,,,,Ballots Cast,1323,127,857,339
Young,23,,,,Registered Voters,2200,,,
Young,23,,,Republican,Straight Party,763,68,489,206
Young,23,,,Democratic,Straight Party,113,20,73,20
Young,23,,,Libertarian,Straight Party,8,1,4,3
Young,23,,,Green,Straight Party,7,1,3,3
Young,23,,,,Straight Party,891,,,
Young,23,President,,Republican,Donald J. Trump,1075,87,703,285
Young,23,President,,Democratic,Hillary Clinton,182,32,116,34
Young,23,President,,Libertarian,Gary Johnson,29,5,13,11
Young,23,President,,Green,Jill Stein,6,0,2,4
Young,23,President,,,Evan McMullin,4,0,4,0
Young,23,President,,,,1296,,,
Young,23,U.S. House,19,Republican,Jodey Arrington,1065,88,701,276
Young,23,U.S. House,19,Libertarian,Troy Bonar,46,5,24,17
Young,23,U.S. House,19,Green,Mark Lawson,32,1,19,12
Young,23,U.S. House,19,,,1143,,,
Young,23,Railroad Commissioner,,Republican,Wayne Christian,1029,86,676,267
Young,23,Railroad Commissioner,,Democratic,Grady Yarbrough,194,30,125,39
Young,23,Railroad Commissioner,,Libertarian,Mark Miller,30,2,17,11
Young,23,Railroad Commissioner,,Green,Martina Salinas,13,2,6,5
Young,23,Railroad Commissioner,,,,1266,,,
Young,23,State Representative,68,Republican,Drew Springer,1099,90,715,294
Young,23,State Representative,68,,,1099,,,
Young,24,,,,Ballots Cast,249,23,192,34
Young,24,,,,Registered Voters,1940,,,
Young,24,,,Republican,Straight Party,153,15,116,22
Young,24,,,Democratic,Straight Party,18,1,14,3
Young,24,,,Libertarian,Straight Party,0,0,0,0
Young,24,,,Green,Straight Party,0,0,0,0
Young,24,,,,Straight Party,171,,,
Young,24,President,,Republican,Donald J. Trump,215,18,167,30
Young,24,President,,Democratic,Hillary Clinton,28,3,21,4
Young,24,President,,Libertarian,Gary Johnson,3,1,2,0
Young,24,President,,Green,Jill Stein,0,0,0,0
Young,24,President,,,,246,,,
Young,24,U.S. House,19,Republican,Jodey Arrington,215,17,168,30
Young,24,U.S. House,19,Libertarian,Troy Bonar,5,1,4,0
Young,24,U.S. House,19,Green,Mark Lawson,9,2,5,2
Young,24,U.S. House,19,,,229,,,
Young,24,Railroad Commissioner,,Republican,Wayne Christian,207,17,162,28
Young,24,Railroad Commissioner,,Democratic,Grady Yarbrough,28,3,21,4
Young,24,Railroad Commissioner,,Libertarian,Mark Miller,5,1,4,0
Young,24,Railroad Commissioner,,Green,Martina Salinas,3,1,1,1
Young,24,Railroad Commissioner,,,,243,,,
Young,24,State Representative,68,Republican,Drew Springer,217,18,170,29
Young,24,State Representative,68,,,217,,,
Young,22 c,,,,Ballots Cast,986,98,760,128
Young,22 c,,,,Registered Voters,1590,,,
Young,22 c,,,Republican,Straight Party,546,52,429,65
Young,22 c,,,Democratic,Straight Party,53,7,39,7
Young,22 c,,,Libertarian,Straight Party,8,0,5,3
Young,22 c,,,Green,Straight Party,0,0,0,0
Young,22 c,,,,Straight Party,607,,,
Young,22 c,President,,Republican,Donald J. Trump,829,78,650,101
Young,22 c,President,,Democratic,Hillary Clinton,104,18,69,17
Young,22 c,President,,Libertarian,Gary Johnson,24,1,15,8
Young,22 c,President,,Green,Jill Stein,2,0,2,0
Young,22 c,President,,,Darrell L. Castle,1,0,1,0
Young,22 c,President,,,Evan McMullin,7,0,6,1
Young,22 c,President,,,,967,,,
Young,22 c,U.S. House,19,Republican,Jodey Arrington,842,81,654,107
Young,22 c,U.S. House,19,Libertarian,Troy Bonar,35,1,25,9
Young,22 c,U.S. House,19,Green,Mark Lawson,22,3,15,4
Young,22 c,U.S. House,19,,,899,,,
Young,22 c,Railroad Commissioner,,Republican,Wayne Christian,810,76,633,101
Young,22 c,Railroad Commissioner,,Democratic,Grady Yarbrough,102,17,68,17
Young,22 c,Railroad Commissioner,,Libertarian,Mark Miller,27,1,21,5
Young,22 c,Railroad Commissioner,,Green,Martina Salinas,7,0,5,2
Young,22 c,Railroad Commissioner,,,,946,,,
Young,22 c,State Representative,68,Republican,Drew Springer,859,81,671,107
Young,22 c,State Representative,68,,,859,,,
Young,24 c,,,,Ballots Cast,949,59,710,180
Young,24 c,,,,Registered Voters,1899,,,
Young,24 c,,,Republican,Straight Party,520,23,411,86
Young,24 c,,,Democratic,Straight Party,102,16,66,20
Young,24 c,,,Libertarian,Straight Party,9,0,6,3
Young,24 c,,,Green,Straight Party,3,0,2,1
Young,24 c,,,,Straight Party,634,,,
Young,24 c,President,,Republican,Donald J. Trump,735,39,563,133
Young,24 c,President,,Democratic,Hillary Clinton,145,19,95,31
Young,24 c,President,,Libertarian,Gary Johnson,34,1,26,7
Young,24 c,President,,Green,Jill Stein,3,0,2,1
Young,24 c,President,,,Evan McMullin,4,0,3,1
Young,24 c,President,,,,921,,,
Young,24 c,U.S. House,19,Republican,Jodey Arrington,731,40,561,130
Young,24 c,U.S. House,19,Libertarian,Troy Bonar,72,3,49,20
Young,24 c,U.S. House,19,Green,Mark Lawson,27,1,19,7
Young,24 c,U.S. House,19,,,830,,,
Young,24 c,Railroad Commissioner,,Republican,Wayne Christian,713,35,555,123
Young,24 c,Railroad Commissioner,,Democratic,Grady Yarbrough,142,21,94,27
Young,24 c,Railroad Commissioner,,Libertarian,Mark Miller,34,0,22,12
Young,24 c,Railroad Commissioner,,Green,Martina Salinas,12,1,8,3
Young,24 c,Railroad Commissioner,,,,901,,,
Young,24 c,State Representative,68,Republican,Drew Springer,780,42,599,139
Young,24 c,State Representative,68,,,780,,,
Young,5 c,,,,Ballots Cast,1584,155,1192,237
Young,5 c,,,,Registered Voters,2692,,,
Young,5 c,,,Republican,Straight Party,872,80,673,119
Young,5 c,,,Democratic,Straight Party,112,15,68,29
Young,5 c,,,Libertarian,Straight Party,12,1,8,3
Young,5 c,,,Green,Straight Party,3,1,2,0
Young,5 c,,,,Straight Party,999,,,
Young,5 c,President,,Republican,Donald J. Trump,1344,164,991,189
Young,5 c,President,,Democratic,Hillary Clinton,212,37,138,37
Young,5 c,President,,Libertarian,Gary Johnson,42,5,28,9
Young,5 c,President,,Green,Jill Stein,1,1,0,0
Young,5 c,President,,,,1608,,,
Young,5 c,U.S. House,19,Republican,Jodey Arrington,1385,171,1032,182
Young,5 c,U.S. House,19,Libertarian,Troy Bonar,131,59,50,22
Young,5 c,U.S. House,19,Green,Mark Lawson,35,6,24,5
Young,5 c,U.S. House,19,,,1551,,,
Young,5 c,Railroad Commissioner,,Republican,Wayne Christian,1337,170,987,180
Young,5 c,Railroad Commissioner,,Democratic,Grady Yarbrough,184,31,117,36
Young,5 c,Railroad Commissioner,,Libertarian,Mark Miller,49,5,35,9
Young,5 c,Railroad Commissioner,,Green,Martina Salinas,18,1,13,4
Young,5 c,Railroad Commissioner,,,,1588,,,
Young,5 c,State Representative,68,Republican,Drew Springer,1420,161,1059,200
Young,5 c,State Representative,68,,,1420,,,
Young,Totals,,,,Ballots Cast,7800,661,5601,1538
Young,Totals,,,,Registered Voters,17749,,,
Young,Totals,,,Republican,Straight Party,4563,361,3305,897
Young,Totals,,,Democratic,Straight Party,510,77,335,98
Young,Totals,,,Libertarian,Straight Party,49,2,31,16
Young,Totals,,,Green,Straight Party,18,2,10,6
Young,Totals,,,,Straight Party,5140,,,
Young,Totals,President,,Republican,Donald J. Trump,6601,544,4760,1297
Young,Totals,President,,Democratic,Hillary Clinton,876,139,573,164
Young,Totals,President,,Libertarian,Gary Johnson,180,19,116,45
Young,Totals,President,,Green,Jill Stein,19,2,11,6
Young,Totals,President,,,Darrell L. Castle,1,0,1,0
Young,Totals,President,,,Evan McMullin,21,0,19,2
Young,Totals,President,,,,7707,,,
Young,Totals,U.S. House,19,Republican,Jodey Arrington,6632,561,4803,1268
Young,Totals,U.S. House,19,Libertarian,Troy Bonar,377,75,212,90
Young,Totals,U.S. House,19,Green,Mark Lawson,181,19,116,46
Young,Totals,U.S. House,19,,,7190,,,
Young,Totals,Railroad Commissioner,,Republican,Wayne Christian,6443,541,4669,1233
Young,Totals,Railroad Commissioner,,Democratic,Grady Yarbrough,842,132,553,157
Young,Totals,Railroad Commissioner,,Libertarian,Mark Miller,216,15,146,55
Young,Totals,Railroad Commissioner,,Green,Martina Salinas,74,6,46,22
Young,Totals,Railroad Commissioner,,,,7575,,,
Young,Totals,State Representative,68,Republican,Drew Springer,6818,564,4926,1328
Young,Totals,State Representative,68,,,6818,,,
