county,precinct,office,district,candidate,party,votes,mail,early_voting,election_day,provisional,2A
Van Zandt,3C,President,,Donald Trump,REP,1528,65,683,780,0,0
Van Zandt,3D,President,,Donald Trump,REP,1503,60,755,688,0,0
Van Zandt,4A,President,,Donald Trump,REP,716,17,541,158,0,0
Van Zandt,4B,President,,Donald Trump,REP,1014,36,409,569,0,0
Van Zandt,4C,President,,Donald Trump,REP,900,41,343,516,0,0
Van Zandt,4D,President,,Donald Trump,REP,1695,97,805,793,0,0
Van Zandt,4E,President,,Donald Trump,REP,672,18,350,304,0,0
Van Zandt,Total,President,,Donald Trump,REP,18473,,,,,
Van Zandt,1A,President,,Hillary Clinton,DEM,138,14,94,30,0,0
Van Zandt,1B,President,,Hillary Clinton,DEM,216,24,80,112,0,0
Van Zandt,1C,President,,Hillary Clinton,DEM,85,5,40,38,2,0
Van Zandt,1D,President,,Hillary Clinton,DEM,86,2,33,50,1,0
Van Zandt,1E,President,,Hillary Clinton,DEM,109,2,36,71,0,0
Van Zandt,2A,President,,Hillary Clinton,DEM,244,15,181,0,0,48
Van Zandt,2B,President,,Hillary Clinton,DEM,106,7,57,42,0,0
Van Zandt,2C,President,,Hillary Clinton,DEM,146,9,75,62,0,0
Van Zandt,2D,President,,Hillary Clinton,DEM,143,14,92,37,0,0
Van Zandt,3A,President,,Hillary Clinton,DEM,77,5,54,18,0,0
Van Zandt,3B,President,,Hillary Clinton,DEM,226,7,66,153,0,0
Van Zandt,3C,President,,Hillary Clinton,DEM,307,29,114,164,0,0
Van Zandt,3D,President,,Hillary Clinton,DEM,162,12,78,72,0,0
Van Zandt,4A,President,,Hillary Clinton,DEM,79,8,48,23,0,0
Van Zandt,4B,President,,Hillary Clinton,DEM,126,9,40,77,0,0
Van Zandt,4C,President,,Hillary Clinton,DEM,141,10,63,68,0,0
Van Zandt,4D,President,,Hillary Clinton,DEM,326,27,164,135,0,0
Van Zandt,4E,President,,Hillary Clinton,DEM,82,8,38,36,0,0
Van Zandt,Total,President,,Hillary Clinton,DEM,2799,,,,,
Van Zandt,1A,President,,Gary Johnson,LIB,19,2,12,5,0,0
Van Zandt,1B,President,,Gary Johnson,LIB,20,2,6,18,0,0
Van Zandt,1C,President,,Gary Johnson,LIB,18,0,5,13,0,0
Van Zandt,1D,President,,Gary Johnson,LIB,15,0,3,12,0,0
Van Zandt,1E,President,,Gary Johnson,LIB,11,0,3,8,0,0
Van Zandt,2A,President,,Gary Johnson,LIB,31,0,18,0,0,13
Van Zandt,2B,President,,Gary Johnson,LIB,11,0,6,5,0,0
Van Zandt,2C,President,,Gary Johnson,LIB,23,1,7,15,0,0
Van Zandt,2D,President,,Gary Johnson,LIB,22,2,11,9,0,0
Van Zandt,3A,President,,Gary Johnson,LIB,16,2,7,7,0,0
Van Zandt,3B,President,,Gary Johnson,LIB,17,0,4,13,0,0
Van Zandt,3C,President,,Gary Johnson,LIB,34,2,18,14,0,0
Van Zandt,3D,President,,Gary Johnson,LIB,31,1,7,23,0,0
Van Zandt,4A,President,,Gary Johnson,LIB,15,0,12,3,0,0
Van Zandt,4B,President,,Gary Johnson,LIB,31,1,13,17,0,0
Van Zandt,4C,President,,Gary Johnson,LIB,15,1,5,9,0,0
Van Zandt,4D,President,,Gary Johnson,LIB,38,2,13,23,0,0
Van Zandt,4E,President,,Gary Johnson,LIB,18,2,8,8,0,0
Van Zandt,Total,President,,Gary Johnson,LIB,385,,,,,
Van Zandt,1A,President,,Jill Stein,GRN,2,1,0,1,0,0
Van Zandt,1B,President,,Jill Stein,GRN,9,0,7,2,0,0
Van Zandt,1C,President,,Jill Stein,GRN,3,0,0,3,0,0
Van Zandt,1D,President,,Jill Stein,GRN,0,0,0,0,0,0
Van Zandt,1E,President,,Jill Stein,GRN,0,0,0,0,0,0
Van Zandt,2A,President,,Jill Stein,GRN,9,0,6,0,0,3
Van Zandt,2B,President,,Jill Stein,GRN,4,0,2,2,0,0
Van Zandt,2C,President,,Jill Stein,GRN,5,0,2,3,0,0
Van Zandt,2D,President,,Jill Stein,GRN,5,1,0,4,0,0
Van Zandt,3A,President,,Jill Stein,GRN,2,0,2,0,0,0
Van Zandt,3B,President,,Jill Stein,GRN,4,0,0,4,0,0
Van Zandt,3C,President,,Jill Stein,GRN,11,0,3,8,0,0
Van Zandt,3D,President,,Jill Stein,GRN,4,0,2,2,0,0
Van Zandt,4A,President,,Jill Stein,GRN,7,0,4,3,0,0
Van Zandt,4B,President,,Jill Stein,GRN,2,0,0,2,0,0
Van Zandt,4C,President,,Jill Stein,GRN,0,0,0,0,0,0
Van Zandt,4D,President,,Jill Stein,GRN,6,0,2,4,0,0
Van Zandt,4E,President,,Jill Stein,GRN,4,0,1,3,0,0
Van Zandt,Total,President,,Jill Stein,GRN,77,,,,,
Van Zandt,1A,President,,Write-In,,8,0,5,3,0,0
Van Zandt,1B,President,,Write-In,,16,3,5,8,0,0
Van Zandt,1C,President,,Write-In,,5,0,0,5,0,0
Van Zandt,1D,President,,Write-In,,11,2,4,5,0,0
Van Zandt,1E,President,,Write-In,,1,0,0,1,0,0
Van Zandt,2A,President,,Write-In,,15,4,7,0,0,4
Van Zandt,2B,President,,Write-In,,5,1,3,1,0,0
Van Zandt,2C,President,,Write-In,,11,1,5,5,0,0
Van Zandt,2D,President,,Write-In,,7,0,5,2,0,0
Van Zandt,3A,President,,Write-In,,2,0,2,0,0,0
Van Zandt,3B,President,,Write-In,,8,1,4,3,0,0
Van Zandt,3C,President,,Write-In,,17,0,6,11,0,0
Van Zandt,3D,President,,Write-In,,7,0,3,4,0,0
Van Zandt,4A,President,,Write-In,,7,0,4,3,0,0
Van Zandt,4B,President,,Write-In,,13,0,4,9,0,0
Van Zandt,4C,President,,Write-In,,8,0,3,5,0,0
Van Zandt,4D,President,,Write-In,,20,1,8,11,0,0
Van Zandt,4E,President,,Write-In,,4,1,2,1,0,0
Van Zandt,Total,President,,Write-In,,165,,,,,
Van Zandt,1A,U.S House,5,Jeb Hensarling,REP,877,57,600,220,0,0
Van Zandt,1B,U.S House,5,Jeb Hensarling,REP,1456,79,578,797,2,0
Van Zandt,1C,U.S House,5,Jeb Hensarling,REP,779,23,341,415,0,0
Van Zandt,1D,U.S House,5,Jeb Hensarling,REP,700,27,274,399,0,0
Van Zandt,1E,U.S House,5,Jeb Hensarling,REP,413,12,191,210,0,0
Van Zandt,2A,U.S House,5,Jeb Hensarling,REP,1840,97,1336,0,0,407
Van Zandt,2B,U.S House,5,Jeb Hensarling,REP,871,36,452,383,0,0
Van Zandt,2C,U.S House,5,Jeb Hensarling,REP,1177,37,523,617,0,0
Van Zandt,2D,U.S House,5,Jeb Hensarling,REP,987,52,629,306,0,0
Van Zandt,3A,U.S House,5,Jeb Hensarling,REP,529,14,391,124,0,0
Van Zandt,3B,U.S House,5,Jeb Hensarling,REP,756,31,352,373,0,0
Van Zandt,3C,U.S House,5,Jeb Hensarling,REP,1523,71,684,768,0,0
Van Zandt,3D,U.S House,5,Jeb Hensarling,REP,1482,63,740,679,0,0
Van Zandt,4A,U.S House,5,Jeb Hensarling,REP,723,17,543,163,0,0
Van Zandt,4B,U.S House,5,Jeb Hensarling,REP,1032,39,421,572,0,0
Van Zandt,4C,U.S House,5,Jeb Hensarling,REP,901,41,353,507,0,0
Van Zandt,4D,U.S House,5,Jeb Hensarling,REP,1704,104,823,777,0,0
Van Zandt,4E,U.S House,5,Jeb Hensarling,REP,685,22,352,311,0,0
Van Zandt,Total,U.S House,5,Jeb Hensarling,REP,18435,,,,,
Van Zandt,1A,U.S House,5,Ken Ashby,LIB,80,5,55,20,0,0
Van Zandt,1B,U.S House,5,Ken Ashby,LIB,145,10,61,74,0,0
Van Zandt,1C,U.S House,5,Ken Ashby,LIB,66,3,26,35,2,0
Van Zandt,1D,U.S House,5,Ken Ashby,LIB,60,3,13,43,1,0
Van Zandt,1E,U.S House,5,Ken Ashby,LIB,60,3,19,38,0,0
Van Zandt,2A,U.S House,5,Ken Ashby,LIB,175,2,115,0,0,58
Van Zandt,2B,U.S House,5,Ken Ashby,LIB,83,2,38,43,0,0
Van Zandt,2C,U.S House,5,Ken Ashby,LIB,119,7,60,52,0,0
Van Zandt,2D,U.S House,5,Ken Ashby,LIB,108,4,62,42,0,0
Van Zandt,3A,U.S House,5,Ken Ashby,LIB,63,3,40,20,0,0
Van Zandt,3B,U.S House,5,Ken Ashby,LIB,95,1,29,65,0,0
Van Zandt,3C,U.S House,5,Ken Ashby,LIB,199,13,68,118,0,0
Van Zandt,3D,U.S House,5,Ken Ashby,LIB,137,5,63,69,0,0
Van Zandt,4A,U.S House,5,Ken Ashby,LIB,58,5,35,18,0,0
Van Zandt,4B,U.S House,5,Ken Ashby,LIB,106,4,32,70,0,0
Van Zandt,4C,U.S House,5,Ken Ashby,LIB,104,8,44,52,0,0
Van Zandt,4D,U.S House,5,Ken Ashby,LIB,203,3,87,113,0,0
Van Zandt,4E,U.S House,5,Ken Ashby,LIB,59,5,23,31,0,0
Van Zandt,Total,U.S House,5,Ken Ashby,LIB,1920,,,,,
Van Zandt,1A,Railroad Commissioner,,Wayne Christian,REP,805,49,555,201,0,0
Van Zandt,1B,Railroad Commissioner,,Wayne Christian,REP,1330,73,541,714,2,0
Van Zandt,1C,Railroad Commissioner,,Wayne Christian,REP,743,23,330,390,0,0
Van Zandt,1D,Railroad Commissioner,,Wayne Christian,REP,648,27,255,366,0,0
Van Zandt,1E,Railroad Commissioner,,Wayne Christian,REP,370,13,166,191,0,0
Van Zandt,2A,Railroad Commissioner,,Wayne Christian,REP,1729,92,1252,0,0,385
Van Zandt,2B,Railroad Commissioner,,Wayne Christian,REP,819,37,426,356,0,0
Van Zandt,2C,Railroad Commissioner,,Wayne Christian,REP,1120,41,510,569,0,0
Van Zandt,2D,Railroad Commissioner,,Wayne Christian,REP,918,45,588,285,0,0
Van Zandt,3A,Railroad Commissioner,,Wayne Christian,REP,503,13,379,111,0,0
Van Zandt,3B,Railroad Commissioner,,Wayne Christian,REP,691,31,334,326,0,0
Van Zandt,3C,Railroad Commissioner,,Wayne Christian,REP,1441,67,653,721,0,0
Van Zandt,3D,Railroad Commissioner,,Wayne Christian,REP,1397,59,716,622,0,0
Van Zandt,4A,Railroad Commissioner,,Wayne Christian,REP,676,16,516,144,0,0
Van Zandt,4B,Railroad Commissioner,,Wayne Christian,REP,969,32,400,537,0,0
Van Zandt,4C,Railroad Commissioner,,Wayne Christian,REP,855,40,326,489,0,0
Van Zandt,4D,Railroad Commissioner,,Wayne Christian,REP,1623,101,778,744,0,0
Van Zandt,4E,Railroad Commissioner,,Wayne Christian,REP,653,19,338,296,0,0
Van Zandt,Total,Railroad Commissioner,,Wayne Christian,REP,17290,,,,,
Van Zandt,1A,Railroad Commissioner,,Grady Yarbrough,DEM,136,15,92,29,0,0
Van Zandt,1B,Railroad Commissioner,,Grady Yarbrough,DEM,247,23,98,126,0,0
Van Zandt,1C,Railroad Commissioner,,Grady Yarbrough,DEM,82,4,37,39,2,0
Van Zandt,1D,Railroad Commissioner,,Grady Yarbrough,DEM,109,1,41,66,1,0
Van Zandt,1E,Railroad Commissioner,,Grady Yarbrough,DEM,111,2,40,69,0,0
Van Zandt,2A,Railroad Commissioner,,Grady Yarbrough,DEM,253,16,181,0,0,55
Van Zandt,2B,Railroad Commissioner,,Grady Yarbrough,DEM,112,5,58,49,0,0
Van Zandt,2C,Railroad Commissioner,,Grady Yarbrough,DEM,164,9,75,80,0,0
Van Zandt,2D,Railroad Commissioner,,Grady Yarbrough,DEM,148,12,89,47,0,0
Van Zandt,3A,Railroad Commissioner,,Grady Yarbrough,DEM,77,4,53,20,0,0
Van Zandt,3B,Railroad Commissioner,,Grady Yarbrough,DEM,219,7,67,145,0,0
Van Zandt,3C,Railroad Commissioner,,Grady Yarbrough,DEM,291,24,112,155,0,0
Van Zandt,3D,Railroad Commissioner,,Grady Yarbrough,DEM,172,12,76,84,0,0
Van Zandt,4A,Railroad Commissioner,,Grady Yarbrough,DEM,80,6,54,20,0,0
Van Zandt,4B,Railroad Commissioner,,Grady Yarbrough,DEM,131,7,38,86,0,0
Van Zandt,4C,Railroad Commissioner,,Grady Yarbrough,DEM,137,12,55,70,0,0
Van Zandt,4D,Railroad Commissioner,,Grady Yarbrough,DEM,322,25,150,147,0,0
Van Zandt,4E,Railroad Commissioner,,Grady Yarbrough,DEM,73,7,40,26,0,0
Van Zandt,Total,Railroad Commissioner,,Grady Yarbrough,DEM,2864,,,,,
Van Zandt,1A,Railroad Commissioner,,Mark Miller,LIB,40,0,28,12,0,0
Van Zandt,1B,Railroad Commissioner,,Mark Miller,LIB,57,2,16,39,0,0
Van Zandt,1C,Railroad Commissioner,,Mark Miller,LIB,27,0,13,14,0,0
Van Zandt,1D,Railroad Commissioner,,Mark Miller,LIB,33,1,9,23,0,0
Van Zandt,1E,Railroad Commissioner,,Mark Miller,LIB,26,0,13,13,0,0
Van Zandt,2A,Railroad Commissioner,,Mark Miller,LIB,64,1,38,0,0,25
Van Zandt,2B,Railroad Commissioner,,Mark Miller,LIB,38,0,18,20,0,0
Van Zandt,2C,Railroad Commissioner,,Mark Miller,LIB,44,0,17,27,0,0
Van Zandt,2D,Railroad Commissioner,,Mark Miller,LIB,36,0,21,15,0,0
Van Zandt,3A,Railroad Commissioner,,Mark Miller,LIB,24,1,16,7,0,0
Van Zandt,3B,Railroad Commissioner,,Mark Miller,LIB,45,2,13,30,0,0
Van Zandt,3C,Railroad Commissioner,,Mark Miller,LIB,77,4,23,50,0,0
Van Zandt,3D,Railroad Commissioner,,Mark Miller,LIB,75,0,33,42,0,0
Van Zandt,4A,Railroad Commissioner,,Mark Miller,LIB,28,0,13,15,0,0
Van Zandt,4B,Railroad Commissioner,,Mark Miller,LIB,45,2,13,30,0,0
Van Zandt,4C,Railroad Commissioner,,Mark Miller,LIB,40,1,17,22,0,0
Van Zandt,4D,Railroad Commissioner,,Mark Miller,LIB,77,0,34,43,0,0
Van Zandt,4E,Railroad Commissioner,,Mark Miller,LIB,25,2,10,13,0,0
Van Zandt,Total,Railroad Commissioner,,Mark Miller,LIB,801,,,,,
Van Zandt,1A,Railroad Commissioner,,Martina Salinas,GRN,9,0,4,5,0,0
Van Zandt,1B,Railroad Commissioner,,Martina Salinas,GRN,23,2,9,12,0,0
Van Zandt,1C,Railroad Commissioner,,Martina Salinas,GRN,14,0,2,12,0,0
Van Zandt,1D,Railroad Commissioner,,Martina Salinas,GRN,7,0,1,6,0,0
Van Zandt,1E,Railroad Commissioner,,Martina Salinas,GRN,5,0,0,5,0,0
Van Zandt,2A,Railroad Commissioner,,Martina Salinas,GRN,28,1,18,0,0,9
Van Zandt,2B,Railroad Commissioner,,Martina Salinas,GRN,9,1,4,4,0,0
Van Zandt,2C,Railroad Commissioner,,Martina Salinas,GRN,10,0,5,5,0,0
Van Zandt,2D,Railroad Commissioner,,Martina Salinas,GRN,19,3,11,5,0,0
Van Zandt,3A,Railroad Commissioner,,Martina Salinas,GRN,9,0,5,4,0,0
Van Zandt,3B,Railroad Commissioner,,Martina Salinas,GRN,17,0,5,12,0,0
Van Zandt,3C,Railroad Commissioner,,Martina Salinas,GRN,31,2,14,15,0,0
Van Zandt,3D,Railroad Commissioner,,Martina Salinas,GRN,19,2,5,12,0,0
Van Zandt,4A,Railroad Commissioner,,Martina Salinas,GRN,12,1,4,7,0,0
Van Zandt,4B,Railroad Commissioner,,Martina Salinas,GRN,19,3,7,9,0,0
Van Zandt,4C,Railroad Commissioner,,Martina Salinas,GRN,13,0,5,8,0,0
Van Zandt,4D,Railroad Commissioner,,Martina Salinas,GRN,28,0,11,17,0,0
Van Zandt,4E,Railroad Commissioner,,Martina Salinas,GRN,8,0,2,6,0,0
Van Zandt,Total,Railroad Commissioner,,Martina Salinas,GRN,280,,,,,
Van Zandt,1A,State Representative,2,Dan Flynn,REP,863,52,592,219,0,0
Van Zandt,1B,State Representative,2,Dan Flynn,REP,1470,77,575,815,3,0
Van Zandt,1C,State Representative,2,Dan Flynn,REP,789,23,340,425,1,0
Van Zandt,1D,State Representative,2,Dan Flynn,REP,706,27,271,407,1,0
Van Zandt,1E,State Representative,2,Dan Flynn,REP,412,13,185,214,0,0
Van Zandt,2A,State Representative,2,Dan Flynn,REP,1883,95,1352,0,0,436
Van Zandt,2B,State Representative,2,Dan Flynn,REP,884,34,464,386,0,0
Van Zandt,2C,State Representative,2,Dan Flynn,REP,1178,38,531,626,0,0
Van Zandt,2D,State Representative,2,Dan Flynn,REP,1012,53,635,324,0,0
Van Zandt,3A,State Representative,2,Dan Flynn,REP,534,15,393,126,0,0
Van Zandt,3B,State Representative,2,Dan Flynn,REP,771,32,354,385,0,0
Van Zandt,3C,State Representative,2,Dan Flynn,REP,1598,75,699,824,0,0
Van Zandt,3D,State Representative,2,Dan Flynn,REP,1494,63,748,683,0,0
Van Zandt,4A,State Representative,2,Dan Flynn,REP,730,18,545,167,0,0
Van Zandt,4B,State Representative,2,Dan Flynn,REP,1068,40,426,602,0,0
Van Zandt,4C,State Representative,2,Dan Flynn,REP,922,40,356,526,0,0
Van Zandt,4D,State Representative,2,Dan Flynn,REP,1785,100,853,832,0,0
Van Zandt,4E,State Representative,2,Dan Flynn,REP,702,22,356,324,0,0
Van Zandt,Total,State Representative,2,Dan Flynn,REP,18801,,,,,
