county,precinct,office,district,party,candidate,absentee,early_voting,election_day,votes,
Gregg,14,Straight Party,,Republican,,59,961,193,1213,
Gregg,15,Straight Party,,Republican,,13,222,95,330,
Gregg,16,Straight Party,,Republican,,84,1048,214,1346,
Gregg,17,Straight Party,,Republican,,5,94,29,128,
Gregg,18,Straight Party,,Republican,,36,485,88,609,
Gregg,19,Straight Party,,Republican,,9,102,58,169,
Gregg,20,Straight Party,,Republican,,11,173,43,227,
Gregg,21,Straight Party,,Republican,,26,198,61,285,
Gregg,Total,Straight Party,,Republican,,1481,13925,2929,18335,
Gregg,01,Straight Party,,Democratic,,12,116,23,151,
Gregg,02,Straight Party,,Democratic,,33,244,65,342,
Gregg,03,Straight Party,,Democratic,,28,238,72,338,
Gregg,04,Straight Party,,Democratic,,15,199,40,254,
Gregg,05,Straight Party,,Democratic,,11,215,68,294,
Gregg,06,Straight Party,,Democratic,,6,97,20,123,
Gregg,07,Straight Party,,Democratic,,1,129,52,182,
Gregg,08,Straight Party,,Democratic,,30,273,64,367,
Gregg,09,Straight Party,,Democratic,,26,298,64,388,
Gregg,10,Straight Party,,Democratic,,15,339,129,483,
Gregg,11,Straight Party,,Democratic,,19,234,108,361,
Gregg,12,Straight Party,,Democratic,,5,119,28,152,
Gregg,13,Straight Party,,Democratic,,26,164,101,291,
Gregg,14,Straight Party,,Democratic,,42,175,39,256,
Gregg,15,Straight Party,,Democratic,,11,97,51,159,
Gregg,16,Straight Party,,Democratic,,11,140,69,220,
Gregg,17,Straight Party,,Democratic,,16,120,78,214,
Gregg,18,Straight Party,,Democratic,,53,578,117,748,
Gregg,19,Straight Party,,Democratic,,171,777,316,1264,
Gregg,20,Straight Party,,Democratic,,80,546,253,879,
Gregg,21,Straight Party,,Democratic,,100,482,220,802,
Gregg,Total,Straight Party,,Democratic,,711,5580,1977,8268,
Gregg,01,Straight Party,,Libertarian,,0,3,2,5,
Gregg,02,Straight Party,,Libertarian,,0,8,4,12,
Gregg,03,Straight Party,,Libertarian,,2,6,3,11,
Gregg,04,Straight Party,,Libertarian,,0,3,5,8,
Gregg,05,Straight Party,,Libertarian,,2,6,4,12,
Gregg,06,Straight Party,,Libertarian,,0,3,1,4,
Gregg,07,Straight Party,,Libertarian,,1,1,5,7,
Gregg,08,Straight Party,,Libertarian,,1,10,4,15,
Gregg,09,Straight Party,,Libertarian,,0,9,3,12,
Gregg,10,Straight Party,,Libertarian,,0,10,6,16,
Gregg,11,Straight Party,,Libertarian,,0,9,5,14,
Gregg,12,Straight Party,,Libertarian,,0,15,4,19,
Gregg,13,Straight Party,,Libertarian,,0,7,2,9,
Gregg,14,Straight Party,,Libertarian,,0,5,4,9,
Gregg,15,Straight Party,,Libertarian,,0,2,1,3,
Gregg,16,Straight Party,,Libertarian,,1,9,4,14,
Gregg,17,Straight Party,,Libertarian,,0,0,1,1,
Gregg,18,Straight Party,,Libertarian,,0,7,3,10,
Gregg,19,Straight Party,,Libertarian,,0,3,5,8,
Gregg,20,Straight Party,,Libertarian,,1,6,3,10,
Gregg,21,Straight Party,,Libertarian,,0,1,3,4,
Gregg,Total,Straight Party,,Libertarian,,8,123,72,203,
Gregg,01,Straight Party,,Green,,0,1,1,2,
Gregg,02,Straight Party,,Green,,0,0,1,1,
Gregg,03,Straight Party,,Green,,0,2,1,3,
Gregg,04,Straight Party,,Green,,0,4,0,4,
Gregg,05,Straight Party,,Green,,0,3,1,4,
Gregg,06,Straight Party,,Green,,0,1,1,2,
Gregg,07,Straight Party,,Green,,0,1,3,4,
Gregg,08,Straight Party,,Green,,0,2,0,2,
Gregg,09,Straight Party,,Green,,0,3,1,4,
Gregg,10,Straight Party,,Green,,0,4,2,6,
Gregg,11,Straight Party,,Green,,0,0,4,4,
Gregg,12,Straight Party,,Green,,0,2,3,5,
Gregg,13,Straight Party,,Green,,0,3,1,4,
Gregg,14,Straight Party,,Green,,0,3,1,4,
Gregg,15,Straight Party,,Green,,0,3,1,4,
Gregg,16,Straight Party,,Green,,0,2,1,3,
Gregg,17,Straight Party,,Green,,0,0,0,0,
Gregg,18,Straight Party,,Green,,0,2,2,4,
Gregg,19,Straight Party,,Green,,2,1,1,4,
Gregg,20,Straight Party,,Green,,0,1,2,3,
Gregg,21,Straight Party,,Green,,0,1,0,1,
Gregg,Total,Straight Party,,Green,,2,39,27,68,
Gregg,01,President,,Republican,Donald J. Trump,72,576,108,756,
Gregg,02,President,,Republican,Donald J. Trump,245,1256,202,1703,
Gregg,03,President,,Republican,Donald J. Trump,223,1079,215,1517,
Gregg,04,President,,Republican,Donald J. Trump,138,1263,271,1672,
Gregg,05,President,,Republican,Donald J. Trump,112,1425,260,1797,
Gregg,06,President,,Republican,Donald J. Trump,69,983,220,1272,
Gregg,07,President,,Republican,Donald J. Trump,71,1264,293,1628,
Gregg,08,President,,Republican,Donald J. Trump,176,1493,307,1976,
Gregg,09,President,,Republican,Donald J. Trump,202,1523,264,1989,
Gregg,10,President,,Republican,Donald J. Trump,102,1146,281,1529,
Gregg,11,President,,Republican,Donald J. Trump,187,1533,283,2003,
Gregg,12,President,,Republican,Donald J. Trump,111,2022,367,2500,
Gregg,13,President,,Republican,Donald J. Trump,56,935,264,1255,
Gregg,14,President,,Republican,Donald J. Trump,103,2039,343,2485,
Gregg,15,President,,Republican,Donald J. Trump,28,351,130,509,
Gregg,16,President,,Republican,Donald J. Trump,124,1621,336,2081,
Gregg,17,President,,Republican,Donald J. Trump,10,136,44,190,
Gregg,18,President,,Republican,Donald J. Trump,63,735,132,930,
Gregg,19,President,,Republican,Donald J. Trump,14,135,79,228,
Gregg,20,President,,Republican,Donald J. Trump,21,252,61,334,
Gregg,21,President,,Republican,Donald J. Trump,44,288,78,410,
Gregg,Total,President,,Republican,Donald J. Trump,2171,22055,4538,28764,
Gregg,01,President,,Democratic,Hillary Clinton,30,184,42,256,
Gregg,02,President,,Democratic,Hillary Clinton,64,399,105,568,
Gregg,03,President,,Democratic,Hillary Clinton,60,358,109,527,
Gregg,04,President,,Democratic,Hillary Clinton,36,311,77,424,
Gregg,05,President,,Democratic,Hillary Clinton,19,343,93,455,
Gregg,06,President,,Democratic,Hillary Clinton,14,184,33,231,
Gregg,07,President,,Democratic,Hillary Clinton,7,216,83,306,
Gregg,08,President,,Democratic,Hillary Clinton,57,409,103,569,
Gregg,09,President,,Democratic,Hillary Clinton,43,503,108,654,
Gregg,10,President,,Democratic,Hillary Clinton,26,481,170,677,
Gregg,11,President,,Democratic,Hillary Clinton,35,385,147,567,
Gregg,12,President,,Democratic,Hillary Clinton,10,201,52,263,
Gregg,13,President,,Democratic,Hillary Clinton,31,223,132,386,
Gregg,14,President,,Democratic,Hillary Clinton,63,294,66,423,
Gregg,15,President,,Democratic,Hillary Clinton,14,130,70,214,
Gregg,16,President,,Democratic,Hillary Clinton,28,240,100,368,
Gregg,17,President,,Democratic,Hillary Clinton,19,131,92,242,
Gregg,18,President,,Democratic,Hillary Clinton,76,778,154,1008,
Gregg,19,President,,Democratic,Hillary Clinton,221,939,366,1526,
Gregg,20,President,,Democratic,Hillary Clinton,93,664,302,1059,
Gregg,21,President,,Democratic,Hillary Clinton,115,585,254,954,
Gregg,Total,President,,Democratic,Hillary Clinton,1061,7958,2658,11677,
Gregg,01,President,,Libertarian,Gary Johnson,3,13,9,25,
Gregg,02,President,,Libertarian,Gary Johnson,4,44,15,63,
Gregg,03,President,,Libertarian,Gary Johnson,2,37,16,55,
Gregg,04,President,,Libertarian,Gary Johnson,3,34,17,54,
Gregg,05,President,,Libertarian,Gary Johnson,2,37,14,53,
Gregg,06,President,,Libertarian,Gary Johnson,1,32,9,42,
Gregg,07,President,,Libertarian,Gary Johnson,6,20,21,47,
Gregg,08,President,,Libertarian,Gary Johnson,3,44,20,67,
Gregg,09,President,,Libertarian,Gary Johnson,7,47,15,69,
Gregg,10,President,,Libertarian,Gary Johnson,1,30,21,52,
Gregg,11,President,,Libertarian,Gary Johnson,2,47,17,66,
Gregg,12,President,,Libertarian,Gary Johnson,2,38,16,56,
Gregg,13,President,,Libertarian,Gary Johnson,1,20,9,30,
Gregg,14,President,,Libertarian,Gary Johnson,1,49,8,58,
Gregg,15,President,,Libertarian,Gary Johnson,3,5,6,14,
Gregg,16,President,,Libertarian,Gary Johnson,2,25,12,39,
Gregg,17,President,,Libertarian,Gary Johnson,0,6,2,8,
Gregg,18,President,,Libertarian,Gary Johnson,2,24,13,39,
Gregg,19,President,,Libertarian,Gary Johnson,1,13,16,30,
Gregg,20,President,,Libertarian,Gary Johnson,0,15,10,25,
Gregg,21,President,,Libertarian,Gary Johnson,0,8,3,11,
Gregg,Total,President,,Libertarian,Gary Johnson,46,588,269,903,
Gregg,01,President,,Green,Jill Stein,0,4,2,6,
Gregg,02,President,,Green,Jill Stein,0,7,1,8,
Gregg,03,President,,Green,Jill Stein,1,6,3,10,
Gregg,04,President,,Green,Jill Stein,0,5,0,5,
Gregg,05,President,,Green,Jill Stein,1,10,0,11,
Gregg,06,President,,Green,Jill Stein,0,3,1,4,
Gregg,07,President,,Green,Jill Stein,0,1,3,4,
Gregg,08,President,,Green,Jill Stein,0,10,1,11,
Gregg,09,President,,Green,Jill Stein,0,6,1,7,
Gregg,10,President,,Green,Jill Stein,1,9,7,17,
Gregg,11,President,,Green,Jill Stein,1,7,4,12,
Gregg,12,President,,Green,Jill Stein,0,4,8,12,
Gregg,13,President,,Green,Jill Stein,0,4,2,6,
Gregg,14,President,,Green,Jill Stein,0,3,1,4,
Gregg,15,President,,Green,Jill Stein,0,5,1,6,
Gregg,16,President,,Green,Jill Stein,0,2,2,4,
Gregg,17,President,,Green,Jill Stein,0,2,0,2,
Gregg,18,President,,Green,Jill Stein,1,5,1,7,
Gregg,19,President,,Green,Jill Stein,0,1,2,3,
Gregg,20,President,,Green,Jill Stein,1,3,2,6,
Gregg,21,President,,Green,Jill Stein,0,5,0,5,
Gregg,Total,President,,Green,Jill Stein,6,102,42,150,
Gregg,01,President,,,Darrell Castle,0,0,0,0,
Gregg,02,President,,,Darrell Castle,0,2,0,2,
Gregg,03,President,,,Darrell Castle,0,0,0,0,
Gregg,04,President,,,Darrell Castle,0,2,2,4,
Gregg,05,President,,,Darrell Castle,0,1,0,1,
Gregg,06,President,,,Darrell Castle,0,2,0,2,
Gregg,07,President,,,Darrell Castle,0,0,1,1,
Gregg,08,President,,,Darrell Castle,0,2,0,2,
Gregg,09,President,,,Darrell Castle,0,1,0,1,
Gregg,10,President,,,Darrell Castle,0,0,0,0,
Gregg,11,President,,,Darrell Castle,0,0,1,1,
Gregg,12,President,,,Darrell Castle,0,5,0,5,
Gregg,13,President,,,Darrell Castle,0,1,0,1,
Gregg,14,President,,,Darrell Castle,0,0,2,2,
Gregg,15,President,,,Darrell Castle,0,0,0,0,
Gregg,16,President,,,Darrell Castle,0,2,0,2,
Gregg,17,President,,,Darrell Castle,0,0,0,0,
Gregg,18,President,,,Darrell Castle,0,0,0,0,
Gregg,19,President,,,Darrell Castle,0,0,1,1,
Gregg,20,President,,,Darrell Castle,0,0,0,0,
Gregg,21,President,,,Darrell Castle,0,0,2,2,
Gregg,Total,President,,,Darrell Castle,0,18,9,27,
Gregg,01,President,,,Scott Cubbler,0,0,0,0,
Gregg,02,President,,,Scott Cubbler,0,0,0,0,
Gregg,03,President,,,Scott Cubbler,0,0,0,0,
Gregg,04,President,,,Scott Cubbler,0,0,0,0,
Gregg,05,President,,,Scott Cubbler,0,1,0,1,
Gregg,06,President,,,Scott Cubbler,0,0,0,0,
Gregg,07,President,,,Scott Cubbler,0,0,0,0,
Gregg,08,President,,,Scott Cubbler,0,0,0,0,
Gregg,09,President,,,Scott Cubbler,0,0,0,0,
Gregg,10,President,,,Scott Cubbler,1,0,0,1,
Gregg,11,President,,,Scott Cubbler,0,0,0,0,
Gregg,12,President,,,Scott Cubbler,0,0,0,0,
Gregg,13,President,,,Scott Cubbler,0,0,0,0,
Gregg,14,President,,,Scott Cubbler,0,0,0,0,
Gregg,15,President,,,Scott Cubbler,0,0,0,0,
Gregg,16,President,,,Scott Cubbler,0,0,0,0,
Gregg,17,President,,,Scott Cubbler,0,0,0,0,
Gregg,18,President,,,Scott Cubbler,0,0,0,0,
Gregg,19,President,,,Scott Cubbler,0,0,0,0,
Gregg,20,President,,,Scott Cubbler,0,0,0,0,
Gregg,21,President,,,Scott Cubbler,0,0,0,0,
Gregg,Total,President,,,Scott Cubbler,1,1,0,2,
Gregg,01,President,,,Evan McMullin,0,8,6,14,
Gregg,02,President,,,Evan McMullin,1,9,5,15,
Gregg,03,President,,,Evan McMullin,1,7,5,13,
Gregg,04,President,,,Evan McMullin,0,19,6,25,
Gregg,05,President,,,Evan McMullin,0,4,2,6,
Gregg,06,President,,,Evan McMullin,0,4,2,6,
Gregg,07,President,,,Evan McMullin,0,10,1,11,
Gregg,08,President,,,Evan McMullin,0,3,2,5,
Gregg,09,President,,,Evan McMullin,1,10,2,13,
Gregg,10,President,,,Evan McMullin,0,7,2,9,
Gregg,11,President,,,Evan McMullin,0,12,7,19,
Gregg,12,President,,,Evan McMullin,0,13,8,21,
Gregg,13,President,,,Evan McMullin,0,3,6,9,
Gregg,14,President,,,Evan McMullin,1,7,1,9,
Gregg,15,President,,,Evan McMullin,0,0,2,2,
Gregg,16,President,,,Evan McMullin,0,3,0,3,
Gregg,17,President,,,Evan McMullin,0,1,0,1,
Gregg,18,President,,,Evan McMullin,0,1,0,1,
Gregg,19,President,,,Evan McMullin,0,5,3,8,
Gregg,20,President,,,Evan McMullin,0,0,1,1,
Gregg,21,President,,,Evan McMullin,0,5,8,13,
Gregg,Total,President,,,Evan McMullin,4,131,69,204,
Gregg,01,President,,,Thomas Hoefling,0,0,0,0,
Gregg,02,President,,,Thomas Hoefling,0,0,0,0,
Gregg,03,President,,,Thomas Hoefling,0,0,0,0,
Gregg,04,President,,,Thomas Hoefling,0,0,0,0,
Gregg,05,President,,,Thomas Hoefling,0,0,0,0,
Gregg,06,President,,,Thomas Hoefling,0,0,0,0,
Gregg,07,President,,,Thomas Hoefling,0,0,0,0,
Gregg,08,President,,,Thomas Hoefling,1,0,0,1,
Gregg,09,President,,,Thomas Hoefling,0,0,0,0,
Gregg,10,President,,,Thomas Hoefling,0,0,0,0,
Gregg,11,President,,,Thomas Hoefling,0,1,0,1,
Gregg,12,President,,,Thomas Hoefling,0,1,0,1,
Gregg,13,President,,,Thomas Hoefling,0,0,0,0,
Gregg,14,President,,,Thomas Hoefling,0,0,0,0,
Gregg,15,President,,,Thomas Hoefling,0,0,0,0,
Gregg,16,President,,,Thomas Hoefling,0,0,0,0,
Gregg,17,President,,,Thomas Hoefling,0,0,0,0,
Gregg,18,President,,,Thomas Hoefling,0,1,0,1,
Gregg,19,President,,,Thomas Hoefling,0,0,0,0,
Gregg,20,President,,,Thomas Hoefling,0,0,0,0,
Gregg,21,President,,,Thomas Hoefling,0,0,2,2,
Gregg,Total,President,,,Thomas Hoefling,1,3,2,6,
Gregg,01,President,,,Laurence Kotlikoff,0,1,0,1,
Gregg,02,President,,,Laurence Kotlikoff,0,0,0,0,
Gregg,03,President,,,Laurence Kotlikoff,0,0,0,0,
Gregg,04,President,,,Laurence Kotlikoff,0,0,0,0,
Gregg,05,President,,,Laurence Kotlikoff,0,0,0,0,
Gregg,06,President,,,Laurence Kotlikoff,0,0,0,0,
Gregg,07,President,,,Laurence Kotlikoff,0,1,0,1,
Gregg,08,President,,,Laurence Kotlikoff,0,0,0,0,
Gregg,09,President,,,Laurence Kotlikoff,1,2,0,3,
Gregg,10,President,,,Laurence Kotlikoff,0,0,0,0,
Gregg,11,President,,,Laurence Kotlikoff,0,0,0,0,
Gregg,12,President,,,Laurence Kotlikoff,0,0,0,0,
Gregg,13,President,,,Laurence Kotlikoff,0,0,0,0,
Gregg,14,President,,,Laurence Kotlikoff,0,0,0,0,
Gregg,15,President,,,Laurence Kotlikoff,0,0,0,0,
Gregg,16,President,,,Laurence Kotlikoff,0,0,0,0,
Gregg,17,President,,,Laurence Kotlikoff,0,0,0,0,
Gregg,18,President,,,Laurence Kotlikoff,0,0,0,0,
Gregg,19,President,,,Laurence Kotlikoff,1,0,0,1,
Gregg,20,President,,,Laurence Kotlikoff,0,0,0,0,
Gregg,21,President,,,Laurence Kotlikoff,0,1,0,1,
Gregg,Total,President,,,Laurence Kotlikoff,2,5,0,7,
Gregg,01,President,,,Michael A. Maturen,0,1,0,1,
Gregg,02,President,,,Michael A. Maturen,0,0,0,0,
Gregg,03,President,,,Michael A. Maturen,0,0,0,0,
Gregg,04,President,,,Michael A. Maturen,0,0,0,0,
Gregg,05,President,,,Michael A. Maturen,0,0,0,0,
Gregg,06,President,,,Michael A. Maturen,0,0,0,0,
Gregg,07,President,,,Michael A. Maturen,0,0,0,0,
Gregg,08,President,,,Michael A. Maturen,0,1,0,1,
Gregg,09,President,,,Michael A. Maturen,0,0,0,0,
Gregg,10,President,,,Michael A. Maturen,0,1,0,1,
Gregg,11,President,,,Michael A. Maturen,0,0,0,0,
Gregg,12,President,,,Michael A. Maturen,0,0,0,0,
Gregg,13,President,,,Michael A. Maturen,0,0,0,0,
Gregg,14,President,,,Michael A. Maturen,0,0,0,0,
Gregg,15,President,,,Michael A. Maturen,0,0,0,0,
Gregg,16,President,,,Michael A. Maturen,0,0,0,0,
Gregg,17,President,,,Michael A. Maturen,0,0,0,0,
Gregg,18,President,,,Michael A. Maturen,1,0,0,1,
Gregg,19,President,,,Michael A. Maturen,0,2,0,2,
Gregg,20,President,,,Michael A. Maturen,0,0,0,0,
Gregg,21,President,,,Michael A. Maturen,0,1,1,2,
Gregg,Total,President,,,Michael A. Maturen,1,6,1,8,
Gregg,01,President,,,Monica Moorehead,0,0,0,0,
Gregg,02,President,,,Monica Moorehead,0,0,0,0,
Gregg,03,President,,,Monica Moorehead,0,0,0,0,
Gregg,04,President,,,Monica Moorehead,0,0,0,0,
Gregg,05,President,,,Monica Moorehead,0,0,0,0,
Gregg,06,President,,,Monica Moorehead,0,0,0,0,
Gregg,07,President,,,Monica Moorehead,0,0,0,0,
Gregg,08,President,,,Monica Moorehead,0,0,0,0,
Gregg,09,President,,,Monica Moorehead,0,0,0,0,
Gregg,10,President,,,Monica Moorehead,0,0,1,1,
Gregg,11,President,,,Monica Moorehead,0,0,0,0,
Gregg,12,President,,,Monica Moorehead,0,0,0,0,
Gregg,13,President,,,Monica Moorehead,0,0,0,0,
Gregg,14,President,,,Monica Moorehead,0,0,0,0,
Gregg,15,President,,,Monica Moorehead,0,0,0,0,
Gregg,16,President,,,Monica Moorehead,0,0,0,0,
Gregg,17,President,,,Monica Moorehead,0,0,0,0,
Gregg,18,President,,,Monica Moorehead,0,0,0,0,
Gregg,19,President,,,Monica Moorehead,0,0,0,0,
Gregg,20,President,,,Monica Moorehead,0,0,0,0,
Gregg,21,President,,,Monica Moorehead,0,0,0,0,
Gregg,Total,President,,,Monica Moorehead,0,0,1,1,
Gregg,01,U.S. House,1,Republican,Louie Gohmert,72,590,121,783,
Gregg,02,U.S. House,1,Republican,Louie Gohmert,251,1278,226,1755,
Gregg,03,U.S. House,1,Republican,Louie Gohmert,224,1103,224,1551,
Gregg,04,U.S. House,1,Republican,Louie Gohmert,146,1305,295,1746,
Gregg,05,U.S. House,1,Republican,Louie Gohmert,107,1450,263,1820,
Gregg,06,U.S. House,1,Republican,Louie Gohmert,67,1021,229,1317,
Gregg,07,U.S. House,1,Republican,Louie Gohmert,66,1280,302,1648,
Gregg,08,U.S. House,1,Republican,Louie Gohmert,175,1519,318,2012,
Gregg,09,U.S. House,1,Republican,Louie Gohmert,202,1558,273,2033,
Gregg,10,U.S. House,1,Republican,Louie Gohmert,102,1167,285,1554,
Gregg,11,U.S. House,1,Republican,Louie Gohmert,189,1584,301,2074,
Gregg,12,U.S. House,1,Republican,Louie Gohmert,113,2038,375,2526,
Gregg,13,U.S. House,1,Republican,Louie Gohmert,56,940,273,1269,
Gregg,14,U.S. House,1,Republican,Louie Gohmert,105,2044,350,2499,
Gregg,15,U.S. House,1,Republican,Louie Gohmert,28,356,133,517,
Gregg,16,U.S. House,1,Republican,Louie Gohmert,133,1641,345,2119,
Gregg,17,U.S. House,1,Republican,Louie Gohmert,11,140,48,199,
Gregg,18,U.S. House,1,Republican,Louie Gohmert,63,759,136,958,
Gregg,19,U.S. House,1,Republican,Louie Gohmert,18,158,102,278,
Gregg,20,U.S. House,1,Republican,Louie Gohmert,17,261,65,343,
Gregg,21,U.S. House,1,Republican,Louie Gohmert,45,301,98,444,
Gregg,Total,U.S. House,1,Republican,Louie Gohmert,2190,22493,4762,29445,
Gregg,01,U.S. House,1,Democratic,Shirley J. McKellar,29,178,40,247,
Gregg,02,U.S. House,1,Democratic,Shirley J. McKellar,55,379,95,529,
Gregg,03,U.S. House,1,Democratic,Shirley J. McKellar,54,352,105,511,
Gregg,04,U.S. House,1,Democratic,Shirley J. McKellar,22,297,62,381,
Gregg,05,U.S. House,1,Democratic,Shirley J. McKellar,19,336,86,441,
Gregg,06,U.S. House,1,Democratic,Shirley J. McKellar,13,157,32,202,
Gregg,07,U.S. House,1,Democratic,Shirley J. McKellar,10,199,73,282,
Gregg,08,U.S. House,1,Democratic,Shirley J. McKellar,54,397,98,549,
Gregg,09,U.S. House,1,Democratic,Shirley J. McKellar,43,478,99,620,
Gregg,10,U.S. House,1,Democratic,Shirley J. McKellar,25,461,173,659,
Gregg,11,U.S. House,1,Democratic,Shirley J. McKellar,35,356,139,530,
Gregg,12,U.S. House,1,Democratic,Shirley J. McKellar,10,198,50,258,
Gregg,13,U.S. House,1,Democratic,Shirley J. McKellar,30,220,120,370,
Gregg,14,U.S. House,1,Democratic,Shirley J. McKellar,57,278,51,386,
Gregg,15,U.S. House,1,Democratic,Shirley J. McKellar,14,112,64,190,
Gregg,16,U.S. House,1,Democratic,Shirley J. McKellar,15,222,91,328,
Gregg,17,U.S. House,1,Democratic,Shirley J. McKellar,19,133,87,239,
Gregg,18,U.S. House,1,Democratic,Shirley J. McKellar,78,756,157,991,
Gregg,19,U.S. House,1,Democratic,Shirley J. McKellar,209,927,357,1493,
Gregg,20,U.S. House,1,Democratic,Shirley J. McKellar,97,651,304,1052,
Gregg,21,U.S. House,1,Democratic,Shirley J. McKellar,113,582,244,939,
Gregg,Total,U.S. House,1,Democratic,Shirley J. McKellar,1001,7669,2527,11197,
Gregg,01,U.S. House,1,Libertarian,Phil Gray,4,16,5,25,
Gregg,02,U.S. House,1,Libertarian,Phil Gray,4,43,14,61,
Gregg,03,U.S. House,1,Libertarian,Phil Gray,6,23,19,48,
Gregg,04,U.S. House,1,Libertarian,Phil Gray,4,34,17,55,
Gregg,05,U.S. House,1,Libertarian,Phil Gray,2,29,13,44,
Gregg,06,U.S. House,1,Libertarian,Phil Gray,2,25,6,33,
Gregg,07,U.S. House,1,Libertarian,Phil Gray,2,25,23,50,
Gregg,08,U.S. House,1,Libertarian,Phil Gray,1,41,15,57,
Gregg,09,U.S. House,1,Libertarian,Phil Gray,4,42,12,58,
Gregg,10,U.S. House,1,Libertarian,Phil Gray,1,30,20,51,
Gregg,11,U.S. House,1,Libertarian,Phil Gray,0,34,18,52,
Gregg,12,U.S. House,1,Libertarian,Phil Gray,0,37,17,54,
Gregg,13,U.S. House,1,Libertarian,Phil Gray,0,18,14,32,
Gregg,14,U.S. House,1,Libertarian,Phil Gray,2,38,15,55,
Gregg,15,U.S. House,1,Libertarian,Phil Gray,1,13,6,20,
Gregg,16,U.S. House,1,Libertarian,Phil Gray,0,26,13,39,
Gregg,17,U.S. House,1,Libertarian,Phil Gray,0,5,1,6,
Gregg,18,U.S. House,1,Libertarian,Phil Gray,0,22,7,29,
Gregg,19,U.S. House,1,Libertarian,Phil Gray,1,9,9,19,
Gregg,20,U.S. House,1,Libertarian,Phil Gray,0,17,7,24,
Gregg,21,U.S. House,1,Libertarian,Phil Gray,0,4,9,13,
Gregg,Total,U.S. House,1,Libertarian,Phil Gray,34,531,260,825,
Gregg,01,U.S. House,1,,Renee Culler,0,0,0,0,
Gregg,02,U.S. House,1,,Renee Culler,0,0,0,0,
Gregg,03,U.S. House,1,,Renee Culler,0,0,0,0,
Gregg,04,U.S. House,1,,Renee Culler,0,0,0,0,
Gregg,05,U.S. House,1,,Renee Culler,0,0,0,0,
Gregg,06,U.S. House,1,,Renee Culler,0,0,0,0,
Gregg,07,U.S. House,1,,Renee Culler,0,0,1,1,
Gregg,08,U.S. House,1,,Renee Culler,0,0,0,0,
Gregg,09,U.S. House,1,,Renee Culler,0,0,0,0,
Gregg,10,U.S. House,1,,Renee Culler,0,0,1,1,
Gregg,11,U.S. House,1,,Renee Culler,0,0,0,0,
Gregg,12,U.S. House,1,,Renee Culler,0,0,0,0,
