county,precinct,office,district,candidate,party,early_votes,election_day,votes
Coleman,1,"Judge, Court of Criminal Appeals, Place 2",,"Lawrence \""Larry"" Meyers",DEM,49,25,74
Coleman,1,"Judge, Court of Criminal Appeals, Place 2",,Mark Ash,LIB,5,8,13
Coleman,1,"Judge, Court of Criminal Appeals, Place 2",,Adam King Blackwell Reposa,GRN,4,0,4
Coleman,1,"Judge, Court of Criminal Appeals, Place 5",,Scott Walker,REP,581,187,768
Coleman,1,"Judge, Court of Criminal Appeals, Place 5",,Betsy Johnson,DEM,47,24,71
Coleman,1,"Judge, Court of Criminal Appeals, Place 5",,"William Bryan Strange, III",LIB,6,5,11
Coleman,1,"Judge, Court of Criminal Appeals, Place 5",,Judith Sanders-Castro,GRN,5,2,7
Coleman,1,"Judge, Court of Criminal Appeals, Place 6",,Michaek E. Keasler,REP,581,188,769
Coleman,1,"Judge, Court of Criminal Appeals, Place 6",,Robert Burns,DEM,48,24,72
Coleman,1,"Judge, Court of Criminal Appeals, Place 6",,Mark W. Bennett,LIB,11,8,19
Coleman,1,"Member, State Board of Education",15,Marty Rowley,REP,598,199,797
Coleman,1,State Senate,28,Charles Perry,REP,598,200,798
Coleman,1,State Representative,60,Mike Lang,REP,597,199,796
Coleman,1,"Justice, 11th Court of Appeals District, Place 3",,John Bailey,REP,597,198,795
Coleman,1,"District Judge, 42nd Judicial District",,James Eidson,REP,606,200,806
Coleman,1,District Attorney,,Heath Hemphill,REP,607,199,806
Coleman,1,Sheriff,,Les Cogdill,REP,617,204,821
Coleman,1,County Attorney,,Joe Lee Rose,REP,606,196,802
Coleman,1,Tax-Assessor- Collector,,Jamie Trammell,REP,624,199,823
Coleman,1,"County Comissioner, Precinct 1",,Mark Williams,REP,603,197,800
Coleman,1,Constable,,Joe D. Watson,REP,617,200,817
Coleman,2,,,Straight Party,REP,241,156,397
Coleman,2,,,Straight Party,DEM,28,24,52
Coleman,2,,,Straight Party,LIB,1,3,4
Coleman,2,,,Straight Party,GRN,0,1,1
Coleman,2,President,,Donald J. Trump/Mike Pence,REP,348,239,587
Coleman,2,President,,Hillary Clinton/Tim Kaine,DEM,50,51,101
Coleman,2,President,,Gary Johnson/William Weld,LIB,4,7,11
Coleman,2,President,,Jill Stein/Ajamu Baraka,GRN,1,4,5
Coleman,2,President,,Evan McMullin/Nathan Johnson,,0,2,2
Coleman,2,President,,Monica MooreHead/Lamont Lilly,,1,0,1
Coleman,2,U.S. House,11,Mike Conaway,REP,346,244,590
Coleman,2,U.S. House,11,Nicholas Landholt,LIB,29,26,55
Coleman,2,Railroad Commissioner,,Wayne Christian,REP,339,221,560
Coleman,2,Railroad Commissioner,,Grady Yarbrough,DEM,41,47,88
Coleman,2,Railroad Commissioner,,Mark Miller,LIB,16,10,26
Coleman,2,Railroad Commissioner,,Martina Salinas,GRN,3,14,17
Coleman,2,"Justice, Supreme Court, Place 3",,Debra Lehrmann,REP,342,226,568
Coleman,2,"Justice, Supreme Court, Place 3",,Mike Westergren,DEM,42,42,84
Coleman,2,"Justice, Supreme Court, Place 3",,Kathie Glass,LIB,12,17,29
Coleman,2,"Justice, Supreme Court, Place 3",,Rodolfo Rivera Munoz,GRN,2,8,10
Coleman,2,"Justice, Supreme Court, Place 5",,Paul Green,REP,346,229,575
Coleman,2,"Justice, Supreme Court, Place 5",,Dori Contreras Garza,DEM,39,49,88
Coleman,2,"Justice, Supreme Court, Place 5",,Tom Oxford,LIB,12,11,23
Coleman,2,"Justice, Supreme Court, Place 5",,Charles E. Waterbury,GRN,3,5,8
Coleman,2,"Justice, Supreme Court, Place 9",,Eva Guzman,REP,335,233,568
Coleman,2,"Justice, Supreme Court, Place 9",,Savannah Robinson,DEM,47,41,88
Coleman,2,"Justice, Supreme Court, Place 9",,Don Fulton,LIB,10,12,22
Coleman,2,"Justice, Supreme Court, Place 9",,Jim Chisholm,GRN,5,7,12
Coleman,2,"Judge, Court of Criminal Appeals, Place 2",,Mary Lou Keel,REP,344,233,577
Coleman,2,"Judge, Court of Criminal Appeals, Place 2",,"Lawrence \""Larry"" Meyers",DEM,41,46,87
Coleman,2,"Judge, Court of Criminal Appeals, Place 2",,Mark Ash,LIB,11,10,21
Coleman,2,"Judge, Court of Criminal Appeals, Place 2",,Adam King Blackwell Reposa,GRN,2,5,7
Coleman,2,"Judge, Court of Criminal Appeals, Place 5",,Scott Walker,REP,345,234,579
Coleman,2,"Judge, Court of Criminal Appeals, Place 5",,Betsy Johnson,DEM,44,46,90
Coleman,2,"Judge, Court of Criminal Appeals, Place 5",,"William Bryan Strange, III",LIB,8,8,16
Coleman,2,"Judge, Court of Criminal Appeals, Place 5",,Judith Sanders-Castro,GRN,3,5,8
Coleman,2,"Judge, Court of Criminal Appeals, Place 6",,Michaek E. Keasler,REP,342,232,574
Coleman,2,"Judge, Court of Criminal Appeals, Place 6",,Robert Burns,DEM,45,48,93
Coleman,2,"Judge, Court of Criminal Appeals, Place 6",,Mark W. Bennett,LIB,11,12,23
Coleman,2,"Member, State Board of Education",15,Marty Rowley,REP,357,252,609
Coleman,2,State Senate,28,Charles Perry,REP,357,251,608
Coleman,2,State Representative,60,Mike Lang,REP,359,252,611
Coleman,2,"Justice, 11th Court of Appeals District, Place 3",,John Bailey,REP,358,254,612
Coleman,2,"District Judge, 42nd Judicial District",,James Eidson,REP,360,251,611
Coleman,2,District Attorney,,Heath Hemphill,REP,351,251,602
Coleman,2,Sheriff,,Les Cogdill,REP,353,256,609
Coleman,2,County Attorney,,Joe Lee Rose,REP,353,249,602
Coleman,2,Tax-Assessor- Collector,,Jamie Trammell,REP,360,257,617
Coleman,2,Constable,,Joe D. Watson,REP,363,256,619
Coleman,2e,,,Straight Party,REP,105,43,148
Coleman,2e,,,Straight Party,DEM,16,7,23
Coleman,2e,,,Straight Party,LIB,3,1,4
Coleman,2e,,,Straight Party,GRN,0,0,0
Coleman,2e,President,,Donald J. Trump/Mike Pence,REP,177,63,240
Coleman,2e,President,,Hillary Clinton/Tim Kaine,DEM,25,13,38
Coleman,2e,President,,Gary Johnson/William Weld,LIB,4,3,7
Coleman,2e,President,,Jill Stein/Ajamu Baraka,GRN,3,1,4
Coleman,2e,U.S. House,11,Mike Conaway,REP,168,65,233
Coleman,2e,U.S. House,11,Nicholas Landholt,LIB,18,6,24
Coleman,2e,Railroad Commissioner,,Wayne Christian,REP,164,61,225
Coleman,2e,Railroad Commissioner,,Grady Yarbrough,DEM,21,14,35
Coleman,2e,Railroad Commissioner,,Mark Miller,LIB,10,1,11
Coleman,2e,Railroad Commissioner,,Martina Salinas,GRN,4,2,6
Coleman,2e,"Justice, Supreme Court, Place 3",,Debra Lehrmann,REP,159,60,219
Coleman,2e,"Justice, Supreme Court, Place 3",,Mike Westergren,DEM,25,14,39
Coleman,2e,"Justice, Supreme Court, Place 3",,Kathie Glass,LIB,13,3,16
Coleman,2e,"Justice, Supreme Court, Place 3",,Rodolfo Rivera Munoz,GRN,1,1,2
Coleman,2e,"Justice, Supreme Court, Place 5",,Paul Green,REP,160,61,221
Coleman,2e,"Justice, Supreme Court, Place 5",,Dori Contreras Garza,DEM,22,12,34
Coleman,2e,"Justice, Supreme Court, Place 5",,Tom Oxford,LIB,9,3,12
Coleman,2e,"Justice, Supreme Court, Place 5",,Charles E. Waterbury,GRN,4,2,6
Coleman,2e,"Justice, Supreme Court, Place 9",,Eva Guzman,REP,154,60,214
Coleman,2e,"Justice, Supreme Court, Place 9",,Savannah Robinson,DEM,22,11,33
Coleman,2e,"Justice, Supreme Court, Place 9",,Don Fulton,LIB,14,2,16
Coleman,2e,"Justice, Supreme Court, Place 9",,Jim Chisholm,GRN,4,5,9
Coleman,2e,"Judge, Court of Criminal Appeals, Place 2",,Mary Lou Keel,REP,156,60,216
Coleman,2e,"Judge, Court of Criminal Appeals, Place 2",,"Lawrence \""Larry"" Meyers",DEM,26,14,40
Coleman,2e,"Judge, Court of Criminal Appeals, Place 2",,Mark Ash,LIB,11,3,14
Coleman,2e,"Judge, Court of Criminal Appeals, Place 2",,Adam King Blackwell Reposa,GRN,2,1,3
Coleman,2e,"Judge, Court of Criminal Appeals, Place 5",,Scott Walker,REP,159,63,222
Coleman,2e,"Judge, Court of Criminal Appeals, Place 5",,Betsy Johnson,DEM,24,11,35
Coleman,2e,"Judge, Court of Criminal Appeals, Place 5",,"William Bryan Strange, III",LIB,11,2,13
Coleman,2e,"Judge, Court of Criminal Appeals, Place 5",,Judith Sanders-Castro,GRN,2,1,3
Coleman,2e,"Judge, Court of Criminal Appeals, Place 6",,Michaek E. Keasler,REP,159,62,221
Coleman,2e,"Judge, Court of Criminal Appeals, Place 6",,Robert Burns,DEM,24,14,38
Coleman,2e,"Judge, Court of Criminal Appeals, Place 6",,Mark W. Bennett,LIB,12,2,14
Coleman,2e,"Member, State Board of Education",15,Marty Rowley,REP,173,68,241
Coleman,2e,State Senate,28,Charles Perry,REP,171,70,241
Coleman,2e,State Representative,60,Mike Lang,REP,169,71,240
Coleman,2e,"Justice, 11th Court of Appeals District, Place 3",,John Bailey,REP,168,69,237
Coleman,2e,"District Judge, 42nd Judicial District",,James Eidson,REP,167,71,238
Coleman,2e,District Attorney,,Heath Hemphill,REP,171,70,241
Coleman,2e,Sheriff,,Les Cogdill,REP,176,73,249
Coleman,2e,County Attorney,,Joe Lee Rose,REP,167,72,239
Coleman,2e,Tax-Assessor- Collector,,Jamie Trammell,REP,174,72,246
Coleman,2e,Constable,,Joe D. Watson,REP,179,70,249
Coleman,3,,,Straight Party,REP,279,120,399
Coleman,3,,,Straight Party,DEM,28,15,43
Coleman,3,,,Straight Party,LIB,0,1,1
Coleman,3,,,Straight Party,GRN,0,3,3
Coleman,3,President,,Donald J. Trump/Mike Pence,REP,473,192,665
Coleman,3,President,,Hillary Clinton/Tim Kaine,DEM,55,28,83
Coleman,3,President,,Gary Johnson/William Weld,LIB,5,3,8
Coleman,3,President,,Jill Stein/Ajamu Baraka,GRN,2,3,5
Coleman,3,President,,Evan McMullin/Nathan Johnson,,1,0,1
Coleman,3,U.S. House,11,Mike Conaway,REP,470,185,655
Coleman,3,U.S. House,11,Nicholas Landholt,LIB,28,22,50
Coleman,3,Railroad Commissioner,,Wayne Christian,REP,445,170,615
Coleman,3,Railroad Commissioner,,Grady Yarbrough,DEM,56,26,82
Coleman,3,Railroad Commissioner,,Mark Miller,LIB,18,14,32
Coleman,3,Railroad Commissioner,,Martina Salinas,GRN,4,9,13
Coleman,3,"Justice, Supreme Court, Place 3",,Debra Lehrmann,REP,449,173,622
Coleman,3,"Justice, Supreme Court, Place 3",,Mike Westergren,DEM,47,25,72
Coleman,3,"Justice, Supreme Court, Place 3",,Kathie Glass,LIB,15,10,25
Coleman,3,"Justice, Supreme Court, Place 3",,Rodolfo Rivera Munoz,GRN,6,10,16
Coleman,3,"Justice, Supreme Court, Place 5",,Paul Green,REP,444,176,620
Coleman,3,"Justice, Supreme Court, Place 5",,Dori Contreras Garza,DEM,55,30,85
Coleman,3,"Justice, Supreme Court, Place 5",,Tom Oxford,LIB,14,6,20
Coleman,3,"Justice, Supreme Court, Place 5",,Charles E. Waterbury,GRN,6,6,12
Coleman,3,"Justice, Supreme Court, Place 9",,Eva Guzman,REP,432,178,610
Coleman,3,"Justice, Supreme Court, Place 9",,Savannah Robinson,DEM,58,28,86
Coleman,3,"Justice, Supreme Court, Place 9",,Don Fulton,LIB,13,5,18
Coleman,3,"Justice, Supreme Court, Place 9",,Jim Chisholm,GRN,10,6,16
Coleman,3,"Judge, Court of Criminal Appeals, Place 2",,Mary Lou Keel,REP,439,176,615
Coleman,3,"Judge, Court of Criminal Appeals, Place 2",,"Lawrence \""Larry"" Meyers",DEM,55,31,86
Coleman,3,"Judge, Court of Criminal Appeals, Place 2",,Mark Ash,LIB,13,7,20
Coleman,3,"Judge, Court of Criminal Appeals, Place 2",,Adam King Blackwell Reposa,GRN,5,4,9
Coleman,3,"Judge, Court of Criminal Appeals, Place 5",,Scott Walker,REP,444,178,622
Coleman,3,"Judge, Court of Criminal Appeals, Place 5",,Betsy Johnson,DEM,57,27,84
Coleman,3,"Judge, Court of Criminal Appeals, Place 5",,"William Bryan Strange, III",LIB,8,5,13
Coleman,3,"Judge, Court of Criminal Appeals, Place 5",,Judith Sanders-Castro,GRN,5,8,13
Coleman,3,"Judge, Court of Criminal Appeals, Place 6",,Michaek E. Keasler,REP,444,176,620
Coleman,3,"Judge, Court of Criminal Appeals, Place 6",,Robert Burns,DEM,60,35,95
Coleman,3,"Judge, Court of Criminal Appeals, Place 6",,Mark W. Bennett,LIB,9,5,14
Coleman,3,"Member, State Board of Education",15,Marty Rowley,REP,462,198,660
Coleman,3,State Senate,28,Charles Perry,REP,464,197,661
Coleman,3,State Representative,60,Mike Lang,REP,474,199,673
Coleman,3,"Justice, 11th Court of Appeals District, Place 3",,John Bailey,REP,464,195,659
Coleman,3,"District Judge, 42nd Judicial District",,James Eidson,REP,474,199,673
Coleman,3,District Attorney,,Heath Hemphill,REP,478,195,673
Coleman,3,Sheriff,,Les Cogdill,REP,479,202,681
Coleman,3,County Attorney,,Joe Lee Rose,REP,461,194,655
Coleman,3,Tax-Assessor- Collector,,Jamie Trammell,REP,488,202,690
Coleman,3,"County Comissioner, Precinct 3",,Scott Lawrence,REP,490,203,693
Coleman,3,Constable,,Joe D. Watson,REP,482,199,681
Coleman,4,,,Straight Party,REP,493,104,597
Coleman,4,,,Straight Party,DEM,47,14,61
Coleman,4,,,Straight Party,LIB,1,4,5
Coleman,4,,,Straight Party,GRN,1,1,2
Coleman,4,President,,Donald J. Trump/Mike Pence,REP,708,169,877
Coleman,4,President,,Hillary Clinton/Tim Kaine,DEM,66,24,90
Coleman,4,President,,Gary Johnson/William Weld,LIB,10,10,20
Coleman,4,President,,Jill Stein/Ajamu Baraka,GRN,0,1,1
Coleman,4,President,,Darrell L. Castle/Scott N. Bradley,,2,0,2
Coleman,4,U.S. House,11,Mike Conaway,REP,695,172,867
Coleman,4,U.S. House,11,Nicholas Landholt,LIB,36,16,52
Coleman,4,Railroad Commissioner,,Wayne Christian,REP,678,158,836
Coleman,4,Railroad Commissioner,,Grady Yarbrough,DEM,75,25,100
Coleman,4,Railroad Commissioner,,Mark Miller,LIB,11,10,21
Coleman,4,Railroad Commissioner,,Martina Salinas,GRN,6,3,9
Coleman,4,"Justice, Supreme Court, Place 3",,Debra Lehrmann,REP,680,157,837
Coleman,4,"Justice, Supreme Court, Place 3",,Mike Westergren,DEM,76,25,101
Coleman,4,"Justice, Supreme Court, Place 3",,Kathie Glass,LIB,11,11,22
Coleman,4,"Justice, Supreme Court, Place 3",,Rodolfo Rivera Munoz,GRN,1,2,3
Coleman,4,"Justice, Supreme Court, Place 5",,Paul Green,REP,686,161,847
Coleman,4,"Justice, Supreme Court, Place 5",,Dori Contreras Garza,DEM,71,21,92
Coleman,4,"Justice, Supreme Court, Place 5",,Tom Oxford,LIB,9,9,18
Coleman,4,"Justice, Supreme Court, Place 5",,Charles E. Waterbury,GRN,0,4,4
Coleman,4,"Justice, Supreme Court, Place 9",,Eva Guzman,REP,674,154,828
Coleman,4,"Justice, Supreme Court, Place 9",,Savannah Robinson,DEM,75,26,101
Coleman,4,"Justice, Supreme Court, Place 9",,Don Fulton,LIB,12,13,25
Coleman,4,"Justice, Supreme Court, Place 9",,Jim Chisholm,GRN,5,3,8
Coleman,4,"Judge, Court of Criminal Appeals, Place 2",,Mary Lou Keel,REP,675,156,831
Coleman,4,"Judge, Court of Criminal Appeals, Place 2",,"Lawrence \""Larry"" Meyers",DEM,78,24,102
Coleman,4,"Judge, Court of Criminal Appeals, Place 2",,Mark Ash,LIB,13,14,27
Coleman,4,"Judge, Court of Criminal Appeals, Place 2",,Adam King Blackwell Reposa,GRN,1,3,4
Coleman,4,"Judge, Court of Criminal Appeals, Place 5",,Scott Walker,REP,680,159,839
Coleman,4,"Judge, Court of Criminal Appeals, Place 5",,Betsy Johnson,DEM,76,25,101
Coleman,4,"Judge, Court of Criminal Appeals, Place 5",,"William Bryan Strange, III",LIB,8,9,17
Coleman,4,"Judge, Court of Criminal Appeals, Place 5",,Judith Sanders-Castro,GRN,1,4,5
Coleman,4,"Judge, Court of Criminal Appeals, Place 6",,Michaek E. Keasler,REP,675,161,836
Coleman,4,"Judge, Court of Criminal Appeals, Place 6",,Robert Burns,DEM,76,24,100
Coleman,4,"Judge, Court of Criminal Appeals, Place 6",,Mark W. Bennett,LIB,13,12,25
Coleman,4,"Member, State Board of Education",15,Marty Rowley,REP,700,178,878
Coleman,4,State Senate,28,Charles Perry,REP,701,176,877
Coleman,4,State Representative,60,Mike Lang,REP,702,174,876
Coleman,4,"Justice, 11th Court of Appeals District, Place 3",,John Bailey,REP,700,175,875
Coleman,4,"District Judge, 42nd Judicial District",,James Eidson,REP,707,175,882
Coleman,4,District Attorney,,Heath Hemphill,REP,711,175,886
Coleman,4,Sheriff,,Les Cogdill,REP,720,180,900
Coleman,4,County Attorney,,Joe Lee Rose,REP,703,175,878
Coleman,4,Tax-Assessor- Collector,,Jamie Trammell,REP,716,182,898
Coleman,4,Constable,,Joe D. Watson,REP,713,180,893
