county,precinct,office,district,party,candidate,votes,absentee,early_voting_paper,early_voting_dre,election_day_paper,election_day_dre
Hill,0002,"Justice, Supreme Court, Place 5",,DEM,Under Votes,14,0,3,2,6,3
Hill,0002,"Justice, Supreme Court, Place 9",,DEM,Savannah Robinson,37,2,7,5,14,9
Hill,0002,"Justice, Supreme Court, Place 9",,DEM,Over Votes,0,0,0,0,0,0
Hill,0002,"Justice, Supreme Court, Place 9",,DEM,Under Votes,15,0,3,2,6,4
Hill,0002,"Judge, Court of Criminal Appeals, Place 2",,DEM,"Lawrence ""Larry"" Meyers",36,2,6,5,14,9
Hill,0002,"Judge, Court of Criminal Appeals, Place 2",,DEM,Over Votes,0,0,0,0,0,0
Hill,0002,"Judge, Court of Criminal Appeals, Place 2",,DEM,Under Votes,16,0,4,2,6,4
Hill,0002,"Judge, Court of Criminal Appeals, Place 5",,DEM,Betsy Johnson,38,2,7,5,14,10
Hill,0002,"Judge, Court of Criminal Appeals, Place 5",,DEM,Over Votes,0,0,0,0,0,0
Hill,0002,"Judge, Court of Criminal Appeals, Place 5",,DEM,Under Votes,14,0,3,2,6,3
Hill,0002,"Judge, Court of Criminal Appeals, Place 6",,DEM,Robert Burns,38,2,7,5,14,10
Hill,0002,"Judge, Court of Criminal Appeals, Place 6",,DEM,Over Votes,0,0,0,0,0,0
Hill,0002,"Judge, Court of Criminal Appeals, Place 6",,DEM,Under Votes,14,0,3,2,6,3
Hill,0002,State Senator,22,DEM,Michael Collins,32,2,4,5,11,10
Hill,0002,State Senator,22,DEM,Over Votes,0,0,0,0,0,0
Hill,0002,State Senator,22,DEM,Under Votes,20,0,6,2,9,3
Hill,0002,County Chairman,,DEM,Thomas Hanson,37,2,7,6,14,8
Hill,0002,County Chairman,,DEM,Over Votes,0,0,0,0,0,0
Hill,0002,County Chairman,,DEM,Under Votes,15,0,3,1,6,5
Hill,0002,Precinct Chairman 2,,DEM,Bruce Vieregge,41,2,8,5,16,10
Hill,0002,Precinct Chairman 2,,DEM,Over Votes,0,0,0,0,0,0
Hill,0002,Precinct Chairman 2,,DEM,Under Votes,11,0,2,2,4,3
Hill,0002,Proposition 1,,REP,Yes,317,14,61,85,104,53
Hill,0002,Proposition 1,,REP,No,115,4,22,21,37,31
Hill,0002,Proposition 1,,REP,Over Votes,0,0,0,0,0,0
Hill,0002,Proposition 1,,REP,Under Votes,65,3,18,10,27,7
Hill,0002,Proposition 2,,REP,Yes,274,7,51,74,86,56
Hill,0002,Proposition 2,,REP,No,183,12,40,35,64,32
Hill,0002,Proposition 2,,REP,Over Votes,0,0,0,0,0,0
Hill,0002,Proposition 2,,REP,Under Votes,40,2,10,7,18,3
Hill,0002,Proposition 3,,REP,Yes,348,16,76,72,123,61
Hill,0002,Proposition 3,,REP,No,106,4,14,34,28,26
Hill,0002,Proposition 3,,REP,Over Votes,0,0,0,0,0,0
Hill,0002,Proposition 3,,REP,Under Votes,43,1,11,10,17,4
Hill,0002,Proposition 4,,REP,Yes,415,17,82,99,135,82
Hill,0002,Proposition 4,,REP,No,39,2,8,9,14,6
Hill,0002,Proposition 4,,REP,Over Votes,0,0,0,0,0,0
Hill,0002,Proposition 4,,REP,Under Votes,43,2,11,8,19,3
Hill,0002,Referenda Item #1,,DEM,For,47,2,8,7,17,13
Hill,0002,Referenda Item #1,,DEM,Against,2,0,1,0,1,0
Hill,0002,Referenda Item #1,,DEM,Over Votes,0,0,0,0,0,0
Hill,0002,Referenda Item #1,,DEM,Under Votes,3,0,1,0,2,0
Hill,0002,Referenda Item #2,,DEM,For,44,2,7,7,15,13
Hill,0002,Referenda Item #2,,DEM,Against,3,0,1,0,2,0
Hill,0002,Referenda Item #2,,DEM,Over Votes,0,0,0,0,0,0
Hill,0002,Referenda Item #2,,DEM,Under Votes,5,0,2,0,3,0
Hill,0002,Referenda Item #3,,DEM,For,42,2,6,7,14,13
Hill,0002,Referenda Item #3,,DEM,Against,5,0,2,0,3,0
Hill,0002,Referenda Item #3,,DEM,Over Votes,0,0,0,0,0,0
Hill,0002,Referenda Item #3,,DEM,Under Votes,5,0,2,0,3,0
Hill,0002,Referenda Item #4,,DEM,For,42,2,8,5,16,11
Hill,0002,Referenda Item #4,,DEM,Against,3,0,0,1,1,1
Hill,0002,Referenda Item #4,,DEM,Over Votes,0,0,0,0,0,0
Hill,0002,Referenda Item #4,,DEM,Under Votes,7,0,2,1,3,1
Hill,0002,Referenda Item #5,,DEM,For,37,2,6,6,12,11
Hill,0002,Referenda Item #5,,DEM,Against,8,0,2,0,4,2
Hill,0002,Referenda Item #5,,DEM,Over Votes,0,0,0,0,0,0
Hill,0002,Referenda Item #5,,DEM,Under Votes,7,0,2,1,4,0
Hill,0002,Referenda Item #6,,DEM,For,40,2,6,6,14,12
Hill,0002,Referenda Item #6,,DEM,Against,6,0,2,0,3,1
Hill,0002,Referenda Item #6,,DEM,Over Votes,0,0,0,0,0,0
Hill,0002,Referenda Item #6,,DEM,Under Votes,6,0,2,1,3,0
Hill,0003,Registered Voters - Total,,,,1626,,,,,
Hill,0003,Ballots Cast - Total,,REP,,349,19,71,80,104,75
Hill,0003,Ballots Cast - Total,,DEM,,89,7,15,13,30,24
Hill,0003,President,,REP,Ted Cruz,125,8,21,27,37,32
Hill,0003,President,,REP,Jeb Bush,21,2,7,4,7,1
Hill,0003,President,,REP,Donald J. Trump,105,5,24,26,30,20
Hill,0003,President,,REP,Ben Carson,17,0,1,5,3,8
Hill,0003,President,,REP,Rand Paul,0,0,0,0,0,0
Hill,0003,President,,REP,Rick Santorum,0,0,0,0,0,0
Hill,0003,President,,REP,Elizabeth Gray,1,0,0,0,1,0
Hill,0003,President,,REP,Carly Fiorina,2,0,1,0,1,0
Hill,0003,President,,REP,Lindsey Graham,2,0,1,0,1,0
Hill,0003,President,,REP,Marco Rubio,40,4,8,12,10,6
Hill,0003,President,,REP,John R. Kasich,3,0,1,1,1,0
Hill,0003,President,,REP,Mike Huckabee,1,0,0,0,0,1
Hill,0003,President,,REP,Chris Christie,2,0,0,2,0,0
Hill,0003,President,,REP,Uncommitted,17,0,4,2,8,3
Hill,0003,President,,REP,Over Votes,0,0,0,0,0,0
Hill,0003,President,,REP,Under Votes,13,0,3,1,5,4
Hill,0003,U.S. House,25,REP,Roger Williams,221,9,39,64,61,48
Hill,0003,U.S. House,25,REP,Over Votes,0,0,0,0,0,0
Hill,0003,U.S. House,25,REP,Under Votes,128,10,32,16,43,27
Hill,0003,Railroad Commissioner,,REP,Gary Gates,95,5,20,24,27,19
Hill,0003,Railroad Commissioner,,REP,Lance N. Christian,24,1,3,8,6,6
Hill,0003,Railroad Commissioner,,REP,Weston Martinez,27,2,3,9,8,5
Hill,0003,Railroad Commissioner,,REP,Wayne Christian,44,3,10,8,11,12
Hill,0003,Railroad Commissioner,,REP,Ron Hale,34,2,7,8,9,8
Hill,0003,Railroad Commissioner,,REP,Doug Jeffrey,16,0,4,3,7,2
Hill,0003,Railroad Commissioner,,REP,John Greytok,6,0,0,3,1,2
Hill,0003,Railroad Commissioner,,REP,Over Votes,0,0,0,0,0,0
Hill,0003,Railroad Commissioner,,REP,Under Votes,103,6,24,17,35,21
Hill,0003,"Justice, Supreme Court, Place 3",,REP,Michael Massengale,113,5,21,32,32,23
Hill,0003,"Justice, Supreme Court, Place 3",,REP,Debra Lehrmann,142,6,27,37,38,34
Hill,0003,"Justice, Supreme Court, Place 3",,REP,Over Votes,0,0,0,0,0,0
Hill,0003,"Justice, Supreme Court, Place 3",,REP,Under Votes,94,8,23,11,34,18
Hill,0003,"Justice, Supreme Court, Place 5",,REP,Paul Green,129,3,22,40,36,28
Hill,0003,"Justice, Supreme Court, Place 5",,REP,Rick Green,108,6,22,26,30,24
Hill,0003,"Justice, Supreme Court, Place 5",,REP,Over Votes,0,0,0,0,0,0
Hill,0003,"Justice, Supreme Court, Place 5",,REP,Under Votes,112,10,27,14,38,23
Hill,0003,"Justice, Supreme Court, Place 9",,REP,Joe Pool,107,5,20,25,29,28
Hill,0003,"Justice, Supreme Court, Place 9",,REP,Eva Guzman,151,7,29,42,43,30
Hill,0003,"Justice, Supreme Court, Place 9",,REP,Over Votes,0,0,0,0,0,0
Hill,0003,"Justice, Supreme Court, Place 9",,REP,Under Votes,91,7,22,13,32,17
Hill,0003,"Judge, Court of Criminal Appeals, Place 2",,REP,Chris Oldner,71,4,10,22,16,19
Hill,0003,"Judge, Court of Criminal Appeals, Place 2",,REP,Ray Wheless,71,2,15,12,23,19
Hill,0003,"Judge, Court of Criminal Appeals, Place 2",,REP,Mary Lou Keel,91,4,16,30,24,17
Hill,0003,"Judge, Court of Criminal Appeals, Place 2",,REP,Over Votes,0,0,0,0,0,0
Hill,0003,"Judge, Court of Criminal Appeals, Place 2",,REP,Under Votes,116,9,30,16,41,20
Hill,0003,"Judge, Court of Criminal Appeals, Place 5",,REP,Sid Harle,40,3,6,14,10,7
Hill,0003,"Judge, Court of Criminal Appeals, Place 5",,REP,Brent Webster,39,1,9,7,15,7
Hill,0003,"Judge, Court of Criminal Appeals, Place 5",,REP,Scott Walker,90,3,16,24,22,25
Hill,0003,"Judge, Court of Criminal Appeals, Place 5",,REP,Steve Smith,79,4,17,16,27,15
Hill,0003,"Judge, Court of Criminal Appeals, Place 5",,REP,Over Votes,0,0,0,0,0,0
Hill,0003,"Judge, Court of Criminal Appeals, Place 5",,REP,Under Votes,101,8,23,19,30,21
Hill,0003,"Judge, Court of Criminal Appeals, Place 6",,REP,Richard Davis,130,3,23,37,34,33
Hill,0003,"Judge, Court of Criminal Appeals, Place 6",,REP,Michael E. Keasler,101,7,20,25,30,19
Hill,0003,"Judge, Court of Criminal Appeals, Place 6",,REP,Over Votes,0,0,0,0,0,0
Hill,0003,"Judge, Court of Criminal Appeals, Place 6",,REP,Under Votes,118,9,28,18,40,23
Hill,0003,"Member, State Board of Education, District 14",,REP,Sue Melton-Malone,217,9,38,64,57,49
Hill,0003,"Member, State Board of Education, District 14",,REP,Over Votes,0,0,0,0,0,0
Hill,0003,"Member, State Board of Education, District 14",,REP,Under Votes,132,10,33,16,47,26
Hill,0003,State Senator,22,REP,Brian Birdwell,240,11,41,70,65,53
Hill,0003,State Senator,22,REP,Over Votes,0,0,0,0,0,0
Hill,0003,State Senator,22,REP,Under Votes,109,8,30,10,39,22
Hill,0003,State Representative,8,REP,Thomas McNutt,164,9,35,38,45,37
Hill,0003,State Representative,8,REP,Byron Cook,130,5,20,40,37,28
Hill,0003,State Representative,8,REP,Over Votes,0,0,0,0,0,0
Hill,0003,State Representative,8,REP,Under Votes,55,5,16,2,22,10
Hill,0003,"Justice, 10th Court of Appeals District, Place 3",,REP,Al Scoggins,205,7,35,61,51,51
Hill,0003,"Justice, 10th Court of Appeals District, Place 3",,REP,Over Votes,0,0,0,0,0,0
Hill,0003,"Justice, 10th Court of Appeals District, Place 3",,REP,Under Votes,144,12,36,19,53,24
Hill,0003,"District Attorney, 66th Judicial District",,REP,Mark F Pratt,239,9,43,68,67,52
Hill,0003,"District Attorney, 66th Judicial District",,REP,Over Votes,0,0,0,0,0,0
Hill,0003,"District Attorney, 66th Judicial District",,REP,Under Votes,110,10,28,12,37,23
Hill,0003,County Attorney,,REP,R David Holmes,209,3,31,66,55,54
Hill,0003,County Attorney,,REP,Over Votes,0,0,0,0,0,0
Hill,0003,County Attorney,,REP,Under Votes,140,16,40,14,49,21
Hill,0003,Sheriff,,REP,Jimmy Johnson,73,2,14,27,16,14
Hill,0003,Sheriff,,REP,Dedri Hafer,22,1,4,6,5,6
Hill,0003,Sheriff,,REP,Rodney Watson,137,3,28,25,49,32
Hill,0003,Sheriff,,REP,Kyle R Cox,43,2,4,11,11,15
Hill,0003,Sheriff,,REP,Ronnie Myers,35,3,9,7,11,5
Hill,0003,Sheriff,,REP,Over Votes,0,0,0,0,0,0
Hill,0003,Sheriff,,REP,Under Votes,39,8,12,4,12,3
Hill,0003,Tax Assessor-Collector,,REP,Ray Mabry,112,6,24,32,33,17
Hill,0003,Tax Assessor-Collector,,REP,Krissi Hightower,164,3,30,41,47,43
Hill,0003,Tax Assessor-Collector,,REP,Over Votes,0,0,0,0,0,0
Hill,0003,Tax Assessor-Collector,,REP,Under Votes,73,10,17,7,24,15
Hill,0003,County Commissioner # 3,,REP,Scotty Hawkins,135,6,27,30,41,31
Hill,0003,County Commissioner # 3,,REP,Milton Stuckly,39,1,7,10,10,11
Hill,0003,County Commissioner # 3,,REP,"Ernest D McFarland, Jr",28,1,5,12,6,4
Hill,0003,County Commissioner # 3,,REP,David Bow,69,2,14,16,24,13
Hill,0003,County Commissioner # 3,,REP,Over Votes,0,0,0,0,0,0
Hill,0003,County Commissioner # 3,,REP,Under Votes,78,9,18,12,23,16
Hill,0003,"Constable, Precinct No. 3",,REP,Larry Armstrong,129,4,26,35,37,27
Hill,0003,"Constable, Precinct No. 3",,REP,Brian Couch,53,5,8,16,10,14
Hill,0003,"Constable, Precinct No. 3",,REP,Stephen Nanny,104,2,22,21,35,24
Hill,0003,"Constable, Precinct No. 3",,REP,Over Votes,0,0,0,0,0,0
Hill,0003,"Constable, Precinct No. 3",,REP,Under Votes,63,8,15,8,22,10
Hill,0003,County Chairman,,REP,Will Orr,234,7,37,71,60,59
Hill,0003,County Chairman,,REP,Over Votes,0,0,0,0,0,0
Hill,0003,County Chairman,,REP,Under Votes,115,12,34,9,44,16
Hill,0003,President,,DEM,Bernie Sanders,21,1,3,3,5,9
Hill,0003,President,,DEM,Star Locke,0,0,0,0,0,0
Hill,0003,President,,DEM,"Roque ""Rocky"" De La Fuente",1,0,0,0,0,1
Hill,0003,President,,DEM,Willie L. Wilson,0,0,0,0,0,0
Hill,0003,President,,DEM,Calvis L. Hawes,1,0,0,1,0,0
Hill,0003,President,,DEM,Hillary Clinton,64,6,12,8,24,14
Hill,0003,President,,DEM,Keith Judd,0,0,0,0,0,0
Hill,0003,President,,DEM,Martin J. O'Malley,1,0,0,1,0,0
Hill,0003,President,,DEM,Over Votes,0,0,0,0,0,0
Hill,0003,President,,DEM,Under Votes,1,0,0,0,1,0
Hill,0003,U.S. House,25,DEM,Kathi Thomas,65,7,13,8,20,17
Hill,0003,U.S. House,25,DEM,Over Votes,0,0,0,0,0,0
Hill,0003,U.S. House,25,DEM,Under Votes,24,0,2,5,10,7
Hill,0003,Railroad Commissioner,,DEM,Cody Garrett,22,1,2,5,7,7
Hill,0003,Railroad Commissioner,,DEM,Lon Burnam,19,2,3,2,6,6
Hill,0003,Railroad Commissioner,,DEM,Grady Yarbrough,36,4,8,5,10,9
Hill,0003,Railroad Commissioner,,DEM,Over Votes,0,0,0,0,0,0
Hill,0003,Railroad Commissioner,,DEM,Under Votes,12,0,2,1,7,2
Hill,0003,"Justice, Supreme Court, Place 3",,DEM,Mike Westergren,61,5,10,11,14,21
Hill,0003,"Justice, Supreme Court, Place 3",,DEM,Over Votes,0,0,0,0,0,0
Hill,0003,"Justice, Supreme Court, Place 3",,DEM,Under Votes,28,2,5,2,16,3
Hill,0003,"Justice, Supreme Court, Place 5",,DEM,Dori Contreras Garza,66,5,11,10,19,21
Hill,0003,"Justice, Supreme Court, Place 5",,DEM,Over Votes,0,0,0,0,0,0
Hill,0003,"Justice, Supreme Court, Place 5",,DEM,Under Votes,23,2,4,3,11,3
Hill,0003,"Justice, Supreme Court, Place 9",,DEM,Savannah Robinson,68,6,11,12,19,20
Hill,0003,"Justice, Supreme Court, Place 9",,DEM,Over Votes,0,0,0,0,0,0
Hill,0003,"Justice, Supreme Court, Place 9",,DEM,Under Votes,21,1,4,1,11,4
Hill,0003,"Judge, Court of Criminal Appeals, Place 2",,DEM,"Lawrence ""Larry"" Meyers",65,5,11,11,18,20
Hill,0003,"Judge, Court of Criminal Appeals, Place 2",,DEM,Over Votes,0,0,0,0,0,0
Hill,0003,"Judge, Court of Criminal Appeals, Place 2",,DEM,Under Votes,24,2,4,2,12,4
Hill,0003,"Judge, Court of Criminal Appeals, Place 5",,DEM,Betsy Johnson,66,6,11,11,18,20
Hill,0003,"Judge, Court of Criminal Appeals, Place 5",,DEM,Over Votes,0,0,0,0,0,0
Hill,0003,"Judge, Court of Criminal Appeals, Place 5",,DEM,Under Votes,23,1,4,2,12,4
Hill,0003,"Judge, Court of Criminal Appeals, Place 6",,DEM,Robert Burns,62,5,10,11,16,20
Hill,0003,"Judge, Court of Criminal Appeals, Place 6",,DEM,Over Votes,0,0,0,0,0,0
Hill,0003,"Judge, Court of Criminal Appeals, Place 6",,DEM,Under Votes,27,2,5,2,14,4
Hill,0003,State Senator,22,DEM,Michael Collins,64,6,11,10,17,20
Hill,0003,State Senator,22,DEM,Over Votes,0,0,0,0,0,0
Hill,0003,State Senator,22,DEM,Under Votes,25,1,4,3,13,4
Hill,0003,County Chairman,,DEM,Thomas Hanson,63,6,11,10,18,18
Hill,0003,County Chairman,,DEM,Over Votes,0,0,0,0,0,0
Hill,0003,County Chairman,,DEM,Under Votes,26,1,4,3,12,6
Hill,0003,Precinct Chairman 3,,DEM,Princess Chambers-Hughes,67,6,12,11,19,19
Hill,0003,Precinct Chairman 3,,DEM,Over Votes,0,0,0,0,0,0
Hill,0003,Precinct Chairman 3,,DEM,Under Votes,22,1,3,2,11,5
Hill,0003,Proposition 1,,REP,Yes,208,8,41,49,54,56
Hill,0003,Proposition 1,,REP,No,98,7,17,29,32,13
Hill,0003,Proposition 1,,REP,Over Votes,0,0,0,0,0,0
Hill,0003,Proposition 1,,REP,Under Votes,43,4,13,2,18,6
Hill,0003,Proposition 2,,REP,Yes,192,11,41,49,54,37
Hill,0003,Proposition 2,,REP,No,119,5,19,29,34,32
Hill,0003,Proposition 2,,REP,Over Votes,0,0,0,0,0,0
Hill,0003,Proposition 2,,REP,Under Votes,38,3,11,2,16,6
Hill,0003,Proposition 3,,REP,Yes,231,12,45,61,63,50
Hill,0003,Proposition 3,,REP,No,75,4,13,17,22,19
Hill,0003,Proposition 3,,REP,Over Votes,0,0,0,0,0,0
