county,precinct,office,district,candidate,party,votes,early_voting,election_day,absentee,provisional
Upton,3,President,,Gary Johnson,LIB,9,6,3,0,0
Upton,4,President,,Gary Johnson,LIB,10,2,8,0,0
Upton,5,President,,Gary Johnson,LIB,0,0,0,0,0
Upton,6,President,,Gary Johnson,LIB,6,1,4,1,0
Upton,Total,President,,Gary Johnson,LIB,49,28,20,1,0
Upton,1,President,,Jill Stein,GRN,2,1,1,0,0
Upton,2,President,,Jill Stein,GRN,0,0,0,0,0
Upton,3,President,,Jill Stein,GRN,1,1,0,0,0
Upton,4,President,,Jill Stein,GRN,0,0,0,0,0
Upton,5,President,,Jill Stein,GRN,0,0,0,0,0
Upton,6,President,,Jill Stein,GRN,0,0,0,0,0
Upton,Total,President,,Jill Stein,GRN,3,2,1,0,0
Upton,1,President,,Write-IN,,0,0,0,0,0
Upton,2,President,,Write-IN,,2,1,1,0,0
Upton,3,President,,Write-IN,,0,0,0,0,0
Upton,4,President,,Write-IN,,0,0,0,0,0
Upton,5,President,,Write-IN,,0,0,0,0,0
Upton,6,President,,Write-IN,,2,2,0,0,0
Upton,Total,President,,Write-IN,,4,3,1,0,0
Upton,1,President,,Over Votes,,0,0,0,0,0
Upton,2,President,,Over Votes,,0,0,0,0,0
Upton,3,President,,Over Votes,,0,0,0,0,0
Upton,4,President,,Over Votes,,0,0,0,0,0
Upton,5,President,,Over Votes,,0,0,0,0,0
Upton,6,President,,Over Votes,,0,0,0,0,0
Upton,Total,President,,Over Votes,,0,0,0,0,0
Upton,1,President,,Under Votes,,5,2,2,1,0
Upton,2,President,,Under Votes,,3,2,1,0,0
Upton,3,President,,Under Votes,,19,10,5,4,0
Upton,4,President,,Under Votes,,2,0,2,0,0
Upton,5,President,,Under Votes,,0,0,0,0,0
Upton,6,President,,Under Votes,,3,2,1,0,0
Upton,Total,President,,Under Votes,,32,16,11,5,0
Upton,1,U.S. House,23,Will Hurd,REP,226,163,54,9,0
Upton,2,U.S. House,23,Will Hurd,REP,109,77,31,1,0
Upton,3,U.S. House,23,Will Hurd,REP,175,137,29,9,0
Upton,4,U.S. House,23,Will Hurd,REP,242,166,67,4,5
Upton,5,U.S. House,23,Will Hurd,REP,55,10,43,1,1
Upton,6,U.S. House,23,Will Hurd,REP,111,79,22,7,3
Upton,Total,U.S. House,23,Will Hurd,REP,918,632,246,31,9
Upton,1,U.S. House,23,Pete P. Gallego,DEM,52,34,15,3,1
Upton,2,U.S. House,23,Pete P. Gallego,DEM,33,14,16,2,1
Upton,3,U.S. House,23,Pete P. Gallego,DEM,107,69,29,9,0
Upton,4,U.S. House,23,Pete P. Gallego,DEM,58,36,17,4,1
Upton,5,U.S. House,23,Pete P. Gallego,DEM,11,3,8,0,0
Upton,6,U.S. House,23,Pete P. Gallego,DEM,47,33,12,1,1
Upton,Total,U.S. House,23,Pete P. Gallego,DEM,308,189,97,19,4
Upton,1,U.S. House,23,Ruben S. Corvalan,LIB,15,12,2,0,1
Upton,2,U.S. House,23,Ruben S. Corvalan,LIB,4,4,0,0,0
Upton,3,U.S. House,23,Ruben S. Corvalan,LIB,12,8,4,0,0
Upton,4,U.S. House,23,Ruben S. Corvalan,LIB,9,3,6,0,0
Upton,5,U.S. House,23,Ruben S. Corvalan,LIB,1,0,1,0,0
Upton,6,U.S. House,23,Ruben S. Corvalan,LIB,5,3,2,0,0
Upton,Total,U.S. House,23,Ruben S. Corvalan,LIB,46,30,15,0,1
Upton,1,U.S. House,23,Over Votes,,0,0,0,0,0
Upton,2,U.S. House,23,Over Votes,,0,0,0,0,0
Upton,3,U.S. House,23,Over Votes,,0,0,0,0,0
Upton,4,U.S. House,23,Over Votes,,0,0,0,0,0
Upton,5,U.S. House,23,Over Votes,,0,0,0,0,0
Upton,6,U.S. House,23,Over Votes,,0,0,0,0,0
Upton,Total,U.S. House,23,Over Votes,,0,0,0,0,0
Upton,1,U.S. House,23,Under Votes,,19,15,3,1,0
Upton,2,U.S. House,23,Under Votes,,8,4,4,0,0
Upton,3,U.S. House,23,Under Votes,,52,27,14,11,0
Upton,4,U.S. House,23,Under Votes,,15,5,9,1,0
Upton,5,U.S. House,23,Under Votes,,2,0,2,0,0
Upton,6,U.S. House,23,Under Votes,,14,7,7,0,0
Upton,Total,U.S. House,23,Under Votes,,110,58,39,13,0
Upton,1,Railroad Commissioner,,Wayne Christian,REP,207,148,49,9,1
Upton,2,Railroad Commissioner,,Wayne Christian,REP,95,69,25,1,0
Upton,3,Railroad Commissioner,,Wayne Christian,REP,168,135,23,10,0
Upton,4,Railroad Commissioner,,Wayne Christian,REP,235,160,66,4,5
Upton,5,Railroad Commissioner,,Wayne Christian,REP,50,10,38,1,1
Upton,6,Railroad Commissioner,,Wayne Christian,REP,114,82,23,6,3
Upton,Total,Railroad Commissioner,,Wayne Christian,REP,869,604,224,31,10
Upton,1,Railroad Commissioner,,Grady Yarbrough,DEM,43,33,7,3,0
Upton,2,Railroad Commissioner,,Grady Yarbrough,DEM,32,13,16,2,1
Upton,3,Railroad Commissioner,,Grady Yarbrough,DEM,84,59,18,7,0
Upton,4,Railroad Commissioner,,Grady Yarbrough,DEM,38,27,6,4,1
Upton,5,Railroad Commissioner,,Grady Yarbrough,DEM,10,3,7,0,0
Upton,6,Railroad Commissioner,,Grady Yarbrough,DEM,32,21,9,1,1
Upton,Total,Railroad Commissioner,,Grady Yarbrough,DEM,239,156,63,17,3
Upton,1,Railroad Commissioner,,Mark Miller,LIB,17,15,2,0,0
Upton,2,Railroad Commissioner,,Mark Miller,LIB,7,5,2,0,0
Upton,3,Railroad Commissioner,,Mark Miller,LIB,7,2,5,0,0
Upton,4,Railroad Commissioner,,Mark Miller,LIB,17,8,9,0,0
Upton,5,Railroad Commissioner,,Mark Miller,LIB,4,0,4,0,0
Upton,6,Railroad Commissioner,,Mark Miller,LIB,8,5,2,1,0
Upton,Total,Railroad Commissioner,,Mark Miller,LIB,60,35,24,1,0
Upton,1,Railroad Commissioner,,Martina Salinas,GRN,12,7,5,0,0
Upton,2,Railroad Commissioner,,Martina Salinas,GRN,3,2,1,0,0
Upton,3,Railroad Commissioner,,Martina Salinas,GRN,22,12,10,0,0
Upton,4,Railroad Commissioner,,Martina Salinas,GRN,10,4,6,0,0
Upton,5,Railroad Commissioner,,Martina Salinas,GRN,1,0,1,0,0
Upton,6,Railroad Commissioner,,Martina Salinas,GRN,6,5,1,0,0
Upton,Total,Railroad Commissioner,,Martina Salinas,GRN,54,30,24,0,0
Upton,1,Railroad Commissioner,,Over Votes,,0,0,0,0,0
Upton,2,Railroad Commissioner,,Over Votes,,0,0,0,0,0
Upton,3,Railroad Commissioner,,Over Votes,,0,0,0,0,0
Upton,4,Railroad Commissioner,,Over Votes,,0,0,0,0,0
Upton,5,Railroad Commissioner,,Over Votes,,0,0,0,0,0
Upton,6,Railroad Commissioner,,Over Votes,,0,0,0,0,0
Upton,Total,Railroad Commissioner,,Over Votes,,0,0,0,0,0
Upton,1,Railroad Commissioner,,Under Votes,,34,21,11,1,1
Upton,2,Railroad Commissioner,,Under Votes,,17,10,7,0,0
Upton,3,Railroad Commissioner,,Under Votes,,64,33,19,12,0
Upton,4,Railroad Commissioner,,Under Votes,,24,11,12,1,0
Upton,5,Railroad Commissioner,,Under Votes,,4,0,4,0,0
Upton,6,Railroad Commissioner,,Under Votes,,17,9,8,0,0
Upton,Total,Railroad Commissioner,,Under Votes,,160,84,61,14,1
Upton,1,State Senate,28,Charles Perry,REP,238,174,55,8,1
Upton,2,State Senate,28,Charles Perry,REP,115,78,35,2,0
Upton,3,State Senate,28,Charles Perry,REP,204,156,37,11,0
Upton,4,State Senate,28,Charles Perry,REP,264,174,79,6,5
Upton,5,State Senate,28,Charles Perry,REP,57,10,45,1,1
Upton,6,State Senate,28,Charles Perry,REP,133,94,31,6,2
Upton,Total,State Senate,28,Charles Perry,REP,1011,686,282,34,9
Upton,1,State Senate,28,Over Votes,,0,0,0,0,0
Upton,2,State Senate,28,Over Votes,,0,0,0,0,0
Upton,3,State Senate,28,Over Votes,,0,0,0,0,0
Upton,4,State Senate,28,Over Votes,,0,0,0,0,0
Upton,5,State Senate,28,Over Votes,,0,0,0,0,0
Upton,6,State Senate,28,Over Votes,,0,0,0,0,0
Upton,Total,State Senate,28,Over Votes,,0,0,0,0,0
Upton,1,State Senate,28,Under Votes,,74,50,19,5,0
Upton,2,State Senate,28,Under Votes,,39,21,16,1,1
Upton,3,State Senate,28,Under Votes,,141,85,38,18,0
Upton,4,State Senate,28,Under Votes,,60,36,20,3,1
Upton,5,State Senate,28,Under Votes,,12,3,9,0,0
Upton,6,State Senate,28,Under Votes,,44,28,12,2,2
Upton,Total,State Senate,28,Under Votes,,370,223,114,29,4
Upton,1,State Representative,82,Tom Craddick,REP,254,188,57,8,1
Upton,2,State Representative,82,Tom Craddick,REP,128,87,39,2,0
Upton,3,State Representative,82,Tom Craddick,REP,212,161,40,11,0
Upton,4,State Representative,82,Tom Craddick,REP,272,179,82,6,5
Upton,5,State Representative,82,Tom Craddick,REP,52,9,42,0,1
Upton,6,State Representative,82,Tom Craddick,REP,128,97,27,2,2
Upton,Total,State Representative,82,Tom Craddick,REP,1046,721,287,29,9
Upton,1,State Representative,82,Over Votes,,0,0,0,0,0
Upton,2,State Representative,82,Over Votes,,0,0,0,0,0
Upton,3,State Representative,82,Over Votes,,0,0,0,0,0
Upton,4,State Representative,82,Over Votes,,0,0,0,0,0
Upton,5,State Representative,82,Over Votes,,0,0,0,0,0
Upton,6,State Representative,82,Over Votes,,0,0,0,0,0
Upton,Total,State Representative,82,Over Votes,,0,0,0,0,0
Upton,1,State Representative,82,Under Votes,,58,36,17,5,0
Upton,2,State Representative,82,Under Votes,,26,12,12,1,1
Upton,3,State Representative,82,Under Votes,,133,80,35,18,0
Upton,4,State Representative,82,Under Votes,,52,31,17,3,1
Upton,5,State Representative,82,Under Votes,,17,4,12,1,0
Upton,6,State Representative,82,Under Votes,,49,25,16,6,2
Upton,Total,State Representative,82,Under Votes,,335,188,109,34,4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
