county,precinct,office,district,candidate,party,votes,early_votes,election_day
Runnels,8,President and Vice President,,Gary Johnson / William Weld,LIB,11,3,8
Runnels,8,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,1,0,1
Runnels,8,President and Vice President,,DARREL L. CASTLE,,0,0,0
Runnels,8,President and Vice President,,EVAN MCMULLIN,,2,1,1
Runnels,8,U.S. House,11,Mike Conaway,REP,689,285,404
Runnels,8,U.S. House,11,Nicholas Landholt,LIB,33,10,23
Runnels,8,Railroad Commissioner,,Wayne Christian,REP,630,263,367
Runnels,8,Railroad Commissioner,,Grady Yarbrough,DEM,93,41,52
Runnels,8,Railroad Commissioner,,Mark Miller,LIB,28,6,22
Runnels,8,Railroad Commissioner,,Martina Salinas,GRN,7,3,4
Runnels,8,State Senate,28,Charles Perry,REP,686,285,401
Runnels,8,State Representative,72,Drew Darby,REP,691,286,405
Runnels,9,Straight Party,,Republican Party,REP,8,4,4
Runnels,9,Straight Party,,Democratic Party,DEM,0,0,0
Runnels,9,Straight Party,,Libertarian Party,LIB,0,0,0
Runnels,9,Straight Party,,Green Party,GRN,0,0,0
Runnels,9,President and Vice President,,Donald J. Trump / Mike Pence,REP,13,7,6
Runnels,9,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,0,0,0
Runnels,9,President and Vice President,,Gary Johnson / William Weld,LIB,0,0,0
Runnels,9,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Runnels,9,President and Vice President,,DARREL L. CASTLE,,0,0,0
Runnels,9,President and Vice President,,EVAN MCMULLIN,,0,0,0
Runnels,9,U.S. House,11,Mike Conaway,REP,12,6,6
Runnels,9,U.S. House,11,Nicholas Landholt,LIB,0,0,0
Runnels,9,Railroad Commissioner,,Wayne Christian,REP,11,5,6
Runnels,9,Railroad Commissioner,,Grady Yarbrough,DEM,0,0,0
Runnels,9,Railroad Commissioner,,Mark Miller,LIB,1,1,0
Runnels,9,Railroad Commissioner,,Martina Salinas,GRN,0,0,0
Runnels,9,State Senate,28,Charles Perry,REP,10,5,5
Runnels,9,State Representative,72,Drew Darby,REP,11,5,6
Runnels,10,Straight Party,,Republican Party,REP,120,45,75
Runnels,10,Straight Party,,Democratic Party,DEM,24,5,19
Runnels,10,Straight Party,,Libertarian Party,LIB,0,0,0
Runnels,10,Straight Party,,Green Party,GRN,0,0,0
Runnels,10,President and Vice President,,Donald J. Trump / Mike Pence,REP,179,63,116
Runnels,10,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,36,11,25
Runnels,10,President and Vice President,,Gary Johnson / William Weld,LIB,3,0,3
Runnels,10,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Runnels,10,President and Vice President,,DARREL L. CASTLE,,0,0,0
Runnels,10,President and Vice President,,EVAN MCMULLIN,,0,0,0
Runnels,10,U.S. House,11,Mike Conaway,REP,190,65,125
Runnels,10,U.S. House,11,Nicholas Landholt,LIB,12,4,8
Runnels,10,Railroad Commissioner,,Wayne Christian,REP,169,58,111
Runnels,10,Railroad Commissioner,,Grady Yarbrough,DEM,36,13,23
Runnels,10,Railroad Commissioner,,Mark Miller,LIB,3,1,2
Runnels,10,Railroad Commissioner,,Martina Salinas,GRN,5,0,5
Runnels,10,State Senate,28,Charles Perry,REP,186,61,125
Runnels,10,State Representative,72,Drew Darby,REP,187,62,125
Runnels,11,Straight Party,,Republican Party,REP,5,1,4
Runnels,11,Straight Party,,Democratic Party,DEM,0,0,0
Runnels,11,Straight Party,,Libertarian Party,LIB,0,0,0
Runnels,11,Straight Party,,Green Party,GRN,0,0,0
Runnels,11,President and Vice President,,Donald J. Trump / Mike Pence,REP,5,1,4
Runnels,11,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,1,0,1
Runnels,11,President and Vice President,,Gary Johnson / William Weld,LIB,0,0,0
Runnels,11,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Runnels,11,President and Vice President,,DARREL L. CASTLE,,0,0,0
Runnels,11,President and Vice President,,EVAN MCMULLIN,,0,0,0
Runnels,11,U.S. House,11,Mike Conaway,REP,6,1,5
Runnels,11,U.S. House,11,Nicholas Landholt,LIB,0,0,0
Runnels,11,Railroad Commissioner,,Wayne Christian,REP,5,1,4
Runnels,11,Railroad Commissioner,,Grady Yarbrough,DEM,1,0,1
Runnels,11,Railroad Commissioner,,Mark Miller,LIB,0,0,0
Runnels,11,Railroad Commissioner,,Martina Salinas,GRN,0,0,0
Runnels,11,State Senate,28,Charles Perry,REP,6,1,5
Runnels,11,State Representative,72,Drew Darby,REP,6,1,5
Runnels,12,Straight Party,,Republican Party,REP,79,39,40
Runnels,12,Straight Party,,Democratic Party,DEM,1,1,0
Runnels,12,Straight Party,,Libertarian Party,LIB,2,0,2
Runnels,12,Straight Party,,Green Party,GRN,0,0,0
Runnels,12,President and Vice President,,Donald J. Trump / Mike Pence,REP,117,61,56
Runnels,12,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,5,3,2
Runnels,12,President and Vice President,,Gary Johnson / William Weld,LIB,3,0,3
Runnels,12,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Runnels,12,President and Vice President,,DARREL L. CASTLE,,0,0,0
Runnels,12,President and Vice President,,EVAN MCMULLIN,,0,0,0
Runnels,12,U.S. House,11,Mike Conaway,REP,118,61,57
Runnels,12,U.S. House,11,Nicholas Landholt,LIB,6,2,4
Runnels,12,Railroad Commissioner,,Wayne Christian,REP,116,59,57
Runnels,12,Railroad Commissioner,,Grady Yarbrough,DEM,5,4,1
Runnels,12,Railroad Commissioner,,Mark Miller,LIB,3,0,3
Runnels,12,Railroad Commissioner,,Martina Salinas,GRN,0,0,0
Runnels,12,State Senate,28,Charles Perry,REP,115,58,57
Runnels,12,State Representative,72,Drew Darby,REP,116,58,58
Runnels,13,Straight Party,,Republican Party,REP,34,24,10
Runnels,13,Straight Party,,Democratic Party,DEM,2,1,1
Runnels,13,Straight Party,,Libertarian Party,LIB,0,0,0
Runnels,13,Straight Party,,Green Party,GRN,0,0,0
Runnels,13,President and Vice President,,Donald J. Trump / Mike Pence,REP,47,34,13
Runnels,13,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,4,1,3
Runnels,13,President and Vice President,,Gary Johnson / William Weld,LIB,2,2,0
Runnels,13,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Runnels,13,President and Vice President,,DARREL L. CASTLE,,0,0,0
Runnels,13,President and Vice President,,EVAN MCMULLIN,,0,0,0
Runnels,13,U.S. House,11,Mike Conaway,REP,46,32,14
Runnels,13,U.S. House,11,Nicholas Landholt,LIB,4,3,1
Runnels,13,Railroad Commissioner,,Wayne Christian,REP,45,32,13
Runnels,13,Railroad Commissioner,,Grady Yarbrough,DEM,5,2,3
Runnels,13,Railroad Commissioner,,Mark Miller,LIB,0,0,0
Runnels,13,Railroad Commissioner,,Martina Salinas,GRN,1,1,0
Runnels,13,State Senate,28,Charles Perry,REP,47,33,14
Runnels,13,State Representative,72,Drew Darby,REP,49,34,15
Runnels,14,Straight Party,,Republican Party,REP,37,35,2
Runnels,14,Straight Party,,Democratic Party,DEM,1,1,0
Runnels,14,Straight Party,,Libertarian Party,LIB,0,0,0
Runnels,14,Straight Party,,Green Party,GRN,0,0,0
Runnels,14,President and Vice President,,Donald J. Trump / Mike Pence,REP,52,46,6
Runnels,14,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,2,2,0
Runnels,14,President and Vice President,,Gary Johnson / William Weld,LIB,0,0,0
Runnels,14,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Runnels,14,President and Vice President,,DARREL L. CASTLE,,0,0,0
Runnels,14,President and Vice President,,EVAN MCMULLIN,,0,0,0
Runnels,14,U.S. House,11,Mike Conaway,REP,49,44,5
Runnels,14,U.S. House,11,Nicholas Landholt,LIB,3,2,1
Runnels,14,Railroad Commissioner,,Wayne Christian,REP,48,43,5
Runnels,14,Railroad Commissioner,,Grady Yarbrough,DEM,3,3,0
Runnels,14,Railroad Commissioner,,Mark Miller,LIB,1,0,1
Runnels,14,Railroad Commissioner,,Martina Salinas,GRN,0,0,0
Runnels,14,State Senate,28,Charles Perry,REP,49,43,6
Runnels,14,State Representative,72,Drew Darby,REP,51,45,6
Runnels,15,Straight Party,,Republican Party,REP,28,24,4
Runnels,15,Straight Party,,Democratic Party,DEM,7,6,1
Runnels,15,Straight Party,,Libertarian Party,LIB,0,0,0
Runnels,15,Straight Party,,Green Party,GRN,0,0,0
Runnels,15,President and Vice President,,Donald J. Trump / Mike Pence,REP,37,32,5
Runnels,15,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,8,6,2
Runnels,15,President and Vice President,,Gary Johnson / William Weld,LIB,0,0,0
Runnels,15,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Runnels,15,President and Vice President,,DARREL L. CASTLE,,0,0,0
Runnels,15,President and Vice President,,EVAN MCMULLIN,,0,0,0
Runnels,15,U.S. House,11,Mike Conaway,REP,39,34,5
Runnels,15,U.S. House,11,Nicholas Landholt,LIB,3,2,1
Runnels,15,Railroad Commissioner,,Wayne Christian,REP,37,32,5
Runnels,15,Railroad Commissioner,,Grady Yarbrough,DEM,8,6,2
Runnels,15,Railroad Commissioner,,Mark Miller,LIB,1,1,0
Runnels,15,Railroad Commissioner,,Martina Salinas,GRN,1,1,0
Runnels,15,State Senate,28,Charles Perry,REP,38,32,6
Runnels,15,State Representative,72,Drew Darby,REP,37,31,6
Runnels,16,Straight Party,,Republican Party,REP,82,56,26
Runnels,16,Straight Party,,Democratic Party,DEM,9,8,1
Runnels,16,Straight Party,,Libertarian Party,LIB,3,1,2
Runnels,16,Straight Party,,Green Party,GRN,0,0,0
Runnels,16,President and Vice President,,Donald J. Trump / Mike Pence,REP,145,102,43
Runnels,16,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,16,14,2
Runnels,16,President and Vice President,,Gary Johnson / William Weld,LIB,6,2,4
Runnels,16,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Runnels,16,President and Vice President,,DARREL L. CASTLE,,0,0,0
Runnels,16,President and Vice President,,EVAN MCMULLIN,,0,0,0
Runnels,16,U.S. House,11,Mike Conaway,REP,144,99,45
Runnels,16,U.S. House,11,Nicholas Landholt,LIB,9,7,2
Runnels,16,Railroad Commissioner,,Wayne Christian,REP,133,94,39
Runnels,16,Railroad Commissioner,,Grady Yarbrough,DEM,15,12,3
Runnels,16,Railroad Commissioner,,Mark Miller,LIB,6,4,2
Runnels,16,Railroad Commissioner,,Martina Salinas,GRN,1,0,1
Runnels,16,State Senate,28,Charles Perry,REP,140,96,44
Runnels,16,State Representative,72,Drew Darby,REP,145,101,44
Runnels,17,Straight Party,,Republican Party,REP,45,23,22
Runnels,17,Straight Party,,Democratic Party,DEM,4,1,3
Runnels,17,Straight Party,,Libertarian Party,LIB,0,0,0
Runnels,17,Straight Party,,Green Party,GRN,0,0,0
Runnels,17,President and Vice President,,Donald J. Trump / Mike Pence,REP,88,37,51
Runnels,17,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,12,3,9
Runnels,17,President and Vice President,,Gary Johnson / William Weld,LIB,3,0,3
Runnels,17,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Runnels,17,President and Vice President,,DARREL L. CASTLE,,0,0,0
Runnels,17,President and Vice President,,EVAN MCMULLIN,,0,0,0
Runnels,17,U.S. House,11,Mike Conaway,REP,92,38,54
Runnels,17,U.S. House,11,Nicholas Landholt,LIB,7,1,6
Runnels,17,Railroad Commissioner,,Wayne Christian,REP,80,34,46
Runnels,17,Railroad Commissioner,,Grady Yarbrough,DEM,14,5,9
Runnels,17,Railroad Commissioner,,Mark Miller,LIB,5,2,3
Runnels,17,Railroad Commissioner,,Martina Salinas,GRN,0,0,0
Runnels,17,State Senate,28,Charles Perry,REP,96,39,57
Runnels,17,State Representative,72,Drew Darby,REP,93,38,55
Runnels,18,Straight Party,,Republican Party,REP,100,80,20
Runnels,18,Straight Party,,Democratic Party,DEM,17,14,3
Runnels,18,Straight Party,,Libertarian Party,LIB,1,1,0
Runnels,18,Straight Party,,Green Party,GRN,1,0,1
Runnels,18,President and Vice President,,Donald J. Trump / Mike Pence,REP,177,144,33
Runnels,18,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,30,22,8
Runnels,18,President and Vice President,,Gary Johnson / William Weld,LIB,4,3,1
Runnels,18,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,4,1,3
Runnels,18,President and Vice President,,DARREL L. CASTLE,,0,0,0
Runnels,18,President and Vice President,,EVAN MCMULLIN,,0,0,0
Runnels,18,U.S. House,11,Mike Conaway,REP,176,141,35
Runnels,18,U.S. House,11,Nicholas Landholt,LIB,25,18,7
Runnels,18,Railroad Commissioner,,Wayne Christian,REP,159,128,31
Runnels,18,Railroad Commissioner,,Grady Yarbrough,DEM,32,21,11
Runnels,18,Railroad Commissioner,,Mark Miller,LIB,11,10,1
Runnels,18,Railroad Commissioner,,Martina Salinas,GRN,10,7,3
Runnels,18,State Senate,28,Charles Perry,REP,172,136,36
Runnels,18,State Representative,72,Drew Darby,REP,182,145,37
Runnels,19,Straight Party,,Republican Party,REP,1,1,0
Runnels,19,Straight Party,,Democratic Party,DEM,0,0,0
Runnels,19,Straight Party,,Libertarian Party,LIB,0,0,0
Runnels,19,Straight Party,,Green Party,GRN,0,0,0
Runnels,19,President and Vice President,,Donald J. Trump / Mike Pence,REP,2,2,0
Runnels,19,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,0,0,0
Runnels,19,President and Vice President,,Gary Johnson / William Weld,LIB,0,0,0
Runnels,19,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Runnels,19,President and Vice President,,DARREL L. CASTLE,,0,0,0
Runnels,19,President and Vice President,,EVAN MCMULLIN,,0,0,0
Runnels,19,U.S. House,11,Mike Conaway,REP,2,2,0
Runnels,19,U.S. House,11,Nicholas Landholt,LIB,0,0,0
Runnels,19,Railroad Commissioner,,Wayne Christian,REP,2,2,0
Runnels,19,Railroad Commissioner,,Grady Yarbrough,DEM,0,0,0
Runnels,19,Railroad Commissioner,,Mark Miller,LIB,0,0,0
Runnels,19,Railroad Commissioner,,Martina Salinas,GRN,0,0,0
Runnels,19,State Senate,28,Charles Perry,REP,2,2,0
Runnels,19,State Representative,72,Drew Darby,REP,2,2,0
Runnels,20,Straight Party,,Republican Party,REP,11,8,3
Runnels,20,Straight Party,,Democratic Party,DEM,1,0,1
Runnels,20,Straight Party,,Libertarian Party,LIB,0,0,0
Runnels,20,Straight Party,,Green Party,GRN,0,0,0
Runnels,20,President and Vice President,,Donald J. Trump / Mike Pence,REP,22,14,8
Runnels,20,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,3,2,1
Runnels,20,President and Vice President,,Gary Johnson / William Weld,LIB,0,0,0
Runnels,20,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Runnels,20,President and Vice President,,DARREL L. CASTLE,,0,0,0
Runnels,20,President and Vice President,,EVAN MCMULLIN,,0,0,0
Runnels,20,U.S. House,11,Mike Conaway,REP,21,13,8
Runnels,20,U.S. House,11,Nicholas Landholt,LIB,2,2,0
Runnels,20,Railroad Commissioner,,Wayne Christian,REP,20,12,8
Runnels,20,Railroad Commissioner,,Grady Yarbrough,DEM,2,1,1
Runnels,20,Railroad Commissioner,,Mark Miller,LIB,0,0,0
Runnels,20,Railroad Commissioner,,Martina Salinas,GRN,1,1,0
Runnels,20,State Senate,28,Charles Perry,REP,21,14,7
Runnels,20,State Representative,72,Drew Darby,REP,21,13,8
Runnels,21,Straight Party,,Republican Party,REP,227,176,51
Runnels,21,Straight Party,,Democratic Party,DEM,18,10,8
Runnels,21,Straight Party,,Libertarian Party,LIB,2,1,1
Runnels,21,Straight Party,,Green Party,GRN,0,0,0
Runnels,21,President and Vice President,,Donald J. Trump / Mike Pence,REP,384,288,96
Runnels,21,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,30,18,12
Runnels,21,President and Vice President,,Gary Johnson / William Weld,LIB,1,1,0
Runnels,21,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,1,0,1
Runnels,21,President and Vice President,,DARREL L. CASTLE,,1,0,1
Runnels,21,President and Vice President,,EVAN MCMULLIN,,0,0,0
Runnels,21,U.S. House,11,Mike Conaway,REP,385,285,100
Runnels,21,U.S. House,11,Nicholas Landholt,LIB,10,7,3
Runnels,21,Railroad Commissioner,,Wayne Christian,REP,352,267,85
Runnels,21,Railroad Commissioner,,Grady Yarbrough,DEM,38,23,15
Runnels,21,Railroad Commissioner,,Mark Miller,LIB,13,8,5
Runnels,21,Railroad Commissioner,,Martina Salinas,GRN,2,1,1
Runnels,21,State Senate,28,Charles Perry,REP,379,281,98
Runnels,21,State Representative,72,Drew Darby,REP,384,282,102
Runnels,22,Straight Party,,Republican Party,REP,18,10,8
Runnels,22,Straight Party,,Democratic Party,DEM,5,5,0
Runnels,22,Straight Party,,Libertarian Party,LIB,0,0,0
Runnels,22,Straight Party,,Green Party,GRN,1,1,0
Runnels,22,President and Vice President,,Donald J. Trump / Mike Pence,REP,24,12,12
Runnels,22,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,5,5,0
Runnels,22,President and Vice President,,Gary Johnson / William Weld,LIB,0,0,0
Runnels,22,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Runnels,22,President and Vice President,,DARREL L. CASTLE,,0,0,0
Runnels,22,President and Vice President,,EVAN MCMULLIN,,0,0,0
Runnels,22,U.S. House,11,Mike Conaway,REP,25,13,12
Runnels,22,U.S. House,11,Nicholas Landholt,LIB,0,0,0
Runnels,22,Railroad Commissioner,,Wayne Christian,REP,24,12,12
Runnels,22,Railroad Commissioner,,Grady Yarbrough,DEM,5,5,0
Runnels,22,Railroad Commissioner,,Mark Miller,LIB,0,0,0
Runnels,22,Railroad Commissioner,,Martina Salinas,GRN,1,1,0
Runnels,22,State Senate,28,Charles Perry,REP,25,13,12
Runnels,22,State Representative,72,Drew Darby,REP,25,13,12
Runnels,23,Straight Party,,Republican Party,REP,236,77,159
Runnels,23,Straight Party,,Democratic Party,DEM,40,8,32
Runnels,23,Straight Party,,Libertarian Party,LIB,2,0,2
Runnels,23,Straight Party,,Green Party,GRN,1,0,1
Runnels,23,President and Vice President,,Donald J. Trump / Mike Pence,REP,365,113,252
Runnels,23,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,68,15,53
Runnels,23,President and Vice President,,Gary Johnson / William Weld,LIB,7,0,7
