county,precinct,office,district,candidate,party,early voting,election day,votes
Refugio,PCT 2B,Straight Party,,,GRN,0,0,0
Refugio,PCT 3,Straight Party,,,GRN,0,0,0
Refugio,PCT 3A,Straight Party,,,GRN,0,0,0
Refugio,PCT 4,Straight Party,,,GRN,0,2,2
Refugio,PCT 4A,Straight Party,,,GRN,0,0,0
Refugio,PCT 4B,Straight Party,,,GRN,0,1,1
Refugio,Total,Straight Party,,,GRN,1,6,7
Refugio,PCT 1,President,,Donald Trump,REP,78,35,113
Refugio,PCT 1A,President,,Donald Trump,REP,69,67,136
Refugio,PCT 2,President,,Donald Trump,REP,301,162,463
Refugio,PCT 2A,President,,Donald Trump,REP,64,48,112
Refugio,PCT 2B,President,,Donald Trump,REP,60,71,131
Refugio,PCT 3,President,,Donald Trump,REP,238,102,340
Refugio,PCT 3A,President,,Donald Trump,REP,219,91,310
Refugio,PCT 4,President,,Donald Trump,REP,41,18,59
Refugio,PCT 4A,President,,Donald Trump,REP,28,77,105
Refugio,PCT 4B,President,,Donald Trump,REP,15,46,61
Refugio,Total,President,,Donald Trump,REP,1113,717,1830
Refugio,PCT 1,President,,Hillary Clinton,DEM,77,46,123
Refugio,PCT 1A,President,,Hillary Clinton,DEM,90,85,175
Refugio,PCT 2,President,,Hillary Clinton,DEM,58,65,123
Refugio,PCT 2A,President,,Hillary Clinton,DEM,7,8,15
Refugio,PCT 2B,President,,Hillary Clinton,DEM,34,30,64
Refugio,PCT 3,President,,Hillary Clinton,DEM,70,39,109
Refugio,PCT 3A,President,,Hillary Clinton,DEM,70,42,112
Refugio,PCT 4,President,,Hillary Clinton,DEM,104,68,172
Refugio,PCT 4A,President,,Hillary Clinton,DEM,19,90,109
Refugio,PCT 4B,President,,Hillary Clinton,DEM,16,16,32
Refugio,Total,President,,Hillary Clinton,DEM,545,489,1034
Refugio,PCT 1,President,,Gary Johnson,LIB,5,2,7
Refugio,PCT 1A,President,,Gary Johnson,LIB,5,2,7
Refugio,PCT 2,President,,Gary Johnson,LIB,8,5,13
Refugio,PCT 2A,President,,Gary Johnson,LIB,1,0,1
Refugio,PCT 2B,President,,Gary Johnson,LIB,3,5,8
Refugio,PCT 3,President,,Gary Johnson,LIB,9,2,11
Refugio,PCT 3A,President,,Gary Johnson,LIB,8,3,11
Refugio,PCT 4,President,,Gary Johnson,LIB,1,2,3
Refugio,PCT 4A,President,,Gary Johnson,LIB,1,6,7
Refugio,PCT 4B,President,,Gary Johnson,LIB,1,2,3
Refugio,Total,President,,Gary Johnson,LIB,42,29,71
Refugio,PCT 1,President,,Jill Stein,GRN,1,1,2
Refugio,PCT 1A,President,,Jill Stein,GRN,0,1,1
Refugio,PCT 2,President,,Jill Stein,GRN,0,0,0
Refugio,PCT 2A,President,,Jill Stein,GRN,1,0,1
Refugio,PCT 2B,President,,Jill Stein,GRN,1,2,3
Refugio,PCT 3,President,,Jill Stein,GRN,0,0,0
Refugio,PCT 3A,President,,Jill Stein,GRN,1,1,2
Refugio,PCT 4,President,,Jill Stein,GRN,0,0,0
Refugio,PCT 4A,President,,Jill Stein,GRN,0,0,0
Refugio,PCT 4B,President,,Jill Stein,GRN,0,1,1
Refugio,Total,President,,Jill Stein,GRN,4,6,10
Refugio,PCT 2,President,,Darell L Castle,,1,0,1
Refugio,Total,President,,Darell L Castle,,1,0,1
Refugio,PCT 1A,President,,Evan McMullin,,0,1,1
Refugio,PCT 3,President,,Evan McMullin,,1,0,1
Refugio,Total,President,,Evan McMullin,,1,1,2
Refugio,PCT 1,U.S House,27,Blake Farenthold,REP,66,38,104
Refugio,PCT 1A,U.S House,27,Blake Farenthold,REP,63,60,123
Refugio,PCT 2,U.S House,27,Blake Farenthold,REP,289,155,444
Refugio,PCT 2A,U.S House,27,Blake Farenthold,REP,66,48,114
Refugio,PCT 2B,U.S House,27,Blake Farenthold,REP,63,76,139
Refugio,PCT 3,U.S House,27,Blake Farenthold,REP,235,98,333
Refugio,PCT 3A,U.S House,27,Blake Farenthold,REP,222,85,307
Refugio,PCT 4,U.S House,27,Blake Farenthold,REP,37,17,54
Refugio,PCT 4A,U.S House,27,Blake Farenthold,REP,26,80,106
Refugio,PCT 4B,U.S House,27,Blake Farenthold,REP,20,44,64
Refugio,Total,U.S House,27,Blake Farenthold,REP,1087,701,1788
Refugio,PCT 1,U.S House,27,Raul (Roy) Barrera,DEM,83,45,128
Refugio,PCT 1A,U.S House,27,Raul (Roy) Barrera,DEM,89,91,180
Refugio,PCT 2,U.S House,27,Raul (Roy) Barrera,DEM,70,66,136
Refugio,PCT 2A,U.S House,27,Raul (Roy) Barrera,DEM,6,7,13
Refugio,PCT 2B,U.S House,27,Raul (Roy) Barrera,DEM,33,30,63
Refugio,PCT 3,U.S House,27,Raul (Roy) Barrera,DEM,71,44,115
Refugio,PCT 3A,U.S House,27,Raul (Roy) Barrera,DEM,74,41,115
Refugio,PCT 4,U.S House,27,Raul (Roy) Barrera,DEM,90,67,157
Refugio,PCT 4A,U.S House,27,Raul (Roy) Barrera,DEM,20,78,98
Refugio,PCT 4B,U.S House,27,Raul (Roy) Barrera,DEM,13,19,32
Refugio,Total,U.S House,27,Raul (Roy) Barrera,DEM,549,488,1037
Refugio,PCT 1,Railroad Commissioner,,Wayne Christian,REP,72,30,102
Refugio,PCT 1A,Railroad Commissioner,,Wayne Christian,REP,57,45,102
Refugio,PCT 2,Railroad Commissioner,,Wayne Christian,REP,277,137,414
Refugio,PCT 2A,Railroad Commissioner,,Wayne Christian,REP,57,44,101
Refugio,PCT 2B,Railroad Commissioner,,Wayne Christian,REP,55,68,123
Refugio,PCT 3,Railroad Commissioner,,Wayne Christian,REP,208,81,289
Refugio,PCT 3A,Railroad Commissioner,,Wayne Christian,REP,204,72,276
Refugio,PCT 4,Railroad Commissioner,,Wayne Christian,REP,32,13,45
Refugio,PCT 4A,Railroad Commissioner,,Wayne Christian,REP,29,71,100
Refugio,PCT 4B,Railroad Commissioner,,Wayne Christian,REP,13,46,59
Refugio,Total,Railroad Commissioner,,Wayne Christian,REP,1004,607,1611
Refugio,PCT 1,Railroad Commissioner,,Grady Yarbrough,DEM,69,46,115
Refugio,PCT 1A,Railroad Commissioner,,Grady Yarbrough,DEM,78,86,164
Refugio,PCT 2,Railroad Commissioner,,Grady Yarbrough,DEM,62,69,131
Refugio,PCT 2A,Railroad Commissioner,,Grady Yarbrough,DEM,7,9,16
Refugio,PCT 2B,Railroad Commissioner,,Grady Yarbrough,DEM,33,27,60
Refugio,PCT 3,Railroad Commissioner,,Grady Yarbrough,DEM,67,42,109
Refugio,PCT 3A,Railroad Commissioner,,Grady Yarbrough,DEM,75,41,116
Refugio,PCT 4,Railroad Commissioner,,Grady Yarbrough,DEM,86,66,152
Refugio,PCT 4A,Railroad Commissioner,,Grady Yarbrough,DEM,17,68,85
Refugio,PCT 4B,Railroad Commissioner,,Grady Yarbrough,DEM,16,12,28
Refugio,Total,Railroad Commissioner,,Grady Yarbrough,DEM,510,466,976
Refugio,PCT 1,Railroad Commissioner,,Mark Miller,LIB,2,1,3
Refugio,PCT 1A,Railroad Commissioner,,Mark Miller,LIB,7,10,17
Refugio,PCT 2,Railroad Commissioner,,Mark Miller,LIB,6,8,14
Refugio,PCT 2A,Railroad Commissioner,,Mark Miller,LIB,3,1,4
Refugio,PCT 2B,Railroad Commissioner,,Mark Miller,LIB,3,6,9
Refugio,PCT 3,Railroad Commissioner,,Mark Miller,LIB,10,5,15
Refugio,PCT 3A,Railroad Commissioner,,Mark Miller,LIB,8,7,15
Refugio,PCT 4,Railroad Commissioner,,Mark Miller,LIB,4,4,8
Refugio,PCT 4A,Railroad Commissioner,,Mark Miller,LIB,0,9,9
Refugio,PCT 4B,Railroad Commissioner,,Mark Miller,LIB,1,2,3
Refugio,Total,Railroad Commissioner,,Mark Miller,LIB,44,53,97
Refugio,PCT 1,Railroad Commissioner,,Martina Salinas,GRN,3,3,6
Refugio,PCT 1A,Railroad Commissioner,,Martina Salinas,GRN,9,9,18
Refugio,PCT 2,Railroad Commissioner,,Martina Salinas,GRN,7,1,8
Refugio,PCT 2A,Railroad Commissioner,,Martina Salinas,GRN,2,0,2
Refugio,PCT 2B,Railroad Commissioner,,Martina Salinas,GRN,2,3,5
Refugio,PCT 3,Railroad Commissioner,,Martina Salinas,GRN,7,5,12
Refugio,PCT 3A,Railroad Commissioner,,Martina Salinas,GRN,6,3,9
Refugio,PCT 4,Railroad Commissioner,,Martina Salinas,GRN,4,4,8
Refugio,PCT 4A,Railroad Commissioner,,Martina Salinas,GRN,2,5,7
Refugio,PCT 4B,Railroad Commissioner,,Martina Salinas,GRN,0,4,4
Refugio,Total,Railroad Commissioner,,Martina Salinas,GRN,42,37,79
Refugio,PCT 1,State Senate,18,Lois W. Kolkhorst,REP,78,36,114
Refugio,PCT 1A,State Senate,18,Lois W. Kolkhorst,REP,71,60,131
Refugio,PCT 2,State Senate,18,Lois W. Kolkhorst,REP,282,150,432
Refugio,PCT 2A,State Senate,18,Lois W. Kolkhorst,REP,59,47,106
Refugio,PCT 2B,State Senate,18,Lois W. Kolkhorst,REP,63,74,137
Refugio,PCT 3,State Senate,18,Lois W. Kolkhorst,REP,233,93,326
Refugio,PCT 3A,State Senate,18,Lois W. Kolkhorst,REP,225,86,311
Refugio,PCT 4,State Senate,18,Lois W. Kolkhorst,REP,40,24,64
Refugio,PCT 4A,State Senate,18,Lois W. Kolkhorst,REP,29,88,117
Refugio,PCT 4B,State Senate,18,Lois W. Kolkhorst,REP,18,51,69
Refugio,Total,State Senate,18,Lois W. Kolkhorst,REP,1098,709,1807
Refugio,PCT 1,State Senate,18,Kathie L. Stone,LIB,21,8,29
Refugio,PCT 1A,State Senate,18,Kathie L. Stone,LIB,18,26,44
Refugio,PCT 2,State Senate,18,Kathie L. Stone,LIB,20,26,46
Refugio,PCT 2A,State Senate,18,Kathie L. Stone,LIB,5,5,10
Refugio,PCT 2B,State Senate,18,Kathie L. Stone,LIB,16,12,28
Refugio,PCT 3,State Senate,18,Kathie L. Stone,LIB,28,21,49
Refugio,PCT 3A,State Senate,18,Kathie L. Stone,LIB,32,13,45
Refugio,PCT 4,State Senate,18,Kathie L. Stone,LIB,15,21,36
Refugio,PCT 4A,State Senate,18,Kathie L. Stone,LIB,6,22,28
Refugio,PCT 4B,State Senate,18,Kathie L. Stone,LIB,3,6,9
Refugio,Total,State Senate,18,Kathie L. Stone,LIB,164,160,324
Refugio,PCT 1,State Representative,30,Geanie W Morrison,REP,91,41,132
Refugio,PCT 1A,State Representative,30,Geanie W Morrison,REP,80,83,163
Refugio,PCT 2,State Representative,30,Geanie W Morrison,REP,288,168,456
Refugio,PCT 2A,State Representative,30,Geanie W Morrison,REP,61,46,107
Refugio,PCT 2B,State Representative,30,Geanie W Morrison,REP,61,81,142
Refugio,PCT 3,State Representative,30,Geanie W Morrison,REP,249,99,348
Refugio,PCT 3A,State Representative,30,Geanie W Morrison,REP,246,99,345
Refugio,PCT 4,State Representative,30,Geanie W Morrison,REP,52,36,88
Refugio,PCT 4A,State Representative,30,Geanie W Morrison,REP,36,104,140
Refugio,PCT 4B,State Representative,30,Geanie W Morrison,REP,22,52,74
Refugio,Total,State Representative,30,Geanie W Morrison,REP,1186,809,1995
