county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee
Wilson,Box 101,Railroad Commissioner,,DEM,Lon Burnam,39,8,30,0,1
Wilson,Box 101,Railroad Commissioner,,DEM,Cody Garrett,54,18,33,0,3
Wilson,Box 101,State Senator,21,DEM,Judith Zaffirini,154,48,99,0,7
Wilson,Box 101,State Representative,44,REP,John Kuempel,402,131,266,0,5
Wilson,Box 101,State Representative,44,DEM,Robert M. Bohmfalk,149,46,96,0,7
Wilson,Box 101,District Attorney D81,,REP,Audrey Gossett Louis,403,128,270,0,5
Wilson,Box 101,District Attorney D81,,DEM,René M. Peña,157,46,104,0,7
Wilson,Box 101,County Attorney,,REP,Daynah J. Fallwell,129,42,86,0,1
Wilson,Box 101,County Attorney,,REP,Tom Caldwell,315,101,210,0,4
Wilson,Box 101,Sheriff,,REP,Chris Burchell,142,39,102,0,1
Wilson,Box 101,Sheriff,,REP,"Lowell C. Hull, Jr.",68,24,43,0,1
Wilson,Box 101,Sheriff,,REP,"Joe D. Tackitt, Jr.",289,94,191,0,4
Wilson,Box 101,Sheriff,,DEM,"Emmanuel Fultz, Sr.",135,41,88,0,6
Wilson,Box 101,Tax Assessor-Collector,,REP,Ray Wolff,200,71,128,0,1
Wilson,Box 101,Tax Assessor-Collector,,REP,Dawn Polasek Barnett,254,76,175,0,3
Wilson,Box 101,County Chairman,,REP,Ruby Manen,388,120,263,0,5
Wilson,Box 101,County Chairman,,DEM,Stacey Tisdale,151,45,99,0,7
Wilson,Box 101,Proposition 1,,REP,FOR,390,125,260,0,5
Wilson,Box 101,Proposition 1,,REP,AGAINST,100,27,72,0,1
Wilson,Box 101,Proposition 2,,REP,FOR,342,106,231,0,5
Wilson,Box 101,Proposition 2,,REP,AGAINST,158,51,106,0,1
Wilson,Box 101,Proposition 3,,REP,FOR,390,123,262,0,5
Wilson,Box 101,Proposition 3,,REP,AGAINST,96,32,63,0,1
Wilson,Box 101,Proposition 4,,REP,FOR,466,151,309,0,6
Wilson,Box 101,Proposition 4,,REP,AGAINST,24,4,20,0,0
Wilson,Box 101,Referendum 1,,DEM,FOR,155,48,100,0,7
Wilson,Box 101,Referendum 1,,DEM,AGAINST,11,3,8,0,0
Wilson,Box 101,Referendum 2,,DEM,FOR,163,50,106,0,7
Wilson,Box 101,Referendum 2,,DEM,AGAINST,5,1,4,0,0
Wilson,Box 101,Referendum 3,,DEM,FOR,163,48,108,0,7
Wilson,Box 101,Referendum 3,,DEM,AGAINST,6,4,2,0,0
Wilson,Box 101,Referendum 4,,DEM,FOR,149,46,96,0,7
Wilson,Box 101,Referendum 4,,DEM,AGAINST,12,3,9,0,0
Wilson,Box 101,Referendum 5,,DEM,FOR,128,44,81,0,3
Wilson,Box 101,Referendum 5,,DEM,AGAINST,39,7,28,0,4
Wilson,Box 101,Referendum 6,,DEM,FOR,160,50,103,0,7
Wilson,Box 101,Referendum 6,,DEM,AGAINST,8,2,6,0,0
Wilson,Box 102,President,,REP,Lindsey Graham,3,2,1,0,0
Wilson,Box 102,President,,REP,Ted Cruz,117,32,85,0,0
Wilson,Box 102,President,,REP,Marco Rubio,48,18,26,0,4
Wilson,Box 102,President,,REP,Chris Christie,3,1,2,0,0
Wilson,Box 102,President,,REP,Jeb Bush,5,3,2,0,0
Wilson,Box 102,President,,REP,Rand Paul,0,0,0,0,0
Wilson,Box 102,President,,REP,Rick Santorum,1,0,1,0,0
Wilson,Box 102,President,,REP,Ben Carson,11,3,8,0,0
Wilson,Box 102,President,,REP,John R. Kasich,5,2,3,0,0
Wilson,Box 102,President,,REP,Carly Fiorina,0,0,0,0,0
Wilson,Box 102,President,,REP,Donald J. Trump,55,28,26,0,1
Wilson,Box 102,President,,REP,Mike Huckabee,1,0,1,0,0
Wilson,Box 102,President,,REP,Elizabeth Gray,0,0,0,0,0
Wilson,Box 102,President,,REP,Uncommitted,5,5,0,0,0
Wilson,Box 102,President,,DEM,Martin J. O'Malley,0,0,0,0,0
Wilson,Box 102,President,,DEM,Star Locke,1,0,1,0,0
Wilson,Box 102,President,,DEM,Hillary Clinton,193,51,126,1,15
Wilson,Box 102,President,,DEM,Bernie Sanders,46,13,31,0,2
Wilson,Box 102,President,,DEM,Keith Judd,0,0,0,0,0
Wilson,Box 102,President,,DEM,Willie L. Wilson,1,0,1,0,0
Wilson,Box 102,President,,DEM,Calvis L. Hawes,0,0,0,0,0
Wilson,Box 102,President,,DEM,Roque De La Fuente,5,2,3,0,0
Wilson,Box 102,U.S. House,28,REP,Zeffen Hardin,175,67,104,0,4
Wilson,Box 102,U.S. House,28,DEM,William R. Hayward,21,4,16,0,1
Wilson,Box 102,U.S. House,28,DEM,Henry Cuellar,220,63,140,1,16
Wilson,Box 102,Railroad Commissioner,,REP,Weston Martinez,62,26,35,0,1
Wilson,Box 102,Railroad Commissioner,,REP,John Greytok,12,3,8,0,1
Wilson,Box 102,Railroad Commissioner,,REP,Wayne Christian,31,10,21,0,0
Wilson,Box 102,Railroad Commissioner,,REP,Ron Hale,36,14,20,0,2
Wilson,Box 102,Railroad Commissioner,,REP,Doug Jeffrey,22,12,10,0,0
Wilson,Box 102,Railroad Commissioner,,REP,Gary  Gates,25,7,18,0,0
Wilson,Box 102,Railroad Commissioner,,REP,Lance N. Christian,17,7,10,0,0
Wilson,Box 102,Railroad Commissioner,,DEM,Grady Yarbrough,103,29,68,0,6
Wilson,Box 102,Railroad Commissioner,,DEM,Lon Burnam,27,13,13,0,1
Wilson,Box 102,Railroad Commissioner,,DEM,Cody Garrett,66,13,48,1,4
Wilson,Box 102,State Senator,21,DEM,Judith Zaffirini,209,59,135,0,15
Wilson,Box 102,State Representative,44,REP,John Kuempel,190,71,114,0,5
Wilson,Box 102,State Representative,44,DEM,Robert M. Bohmfalk,164,47,107,1,9
Wilson,Box 102,District Attorney D81,,REP,Audrey Gossett Louis,204,82,117,0,5
Wilson,Box 102,District Attorney D81,,DEM,René M. Peña,209,57,135,1,16
Wilson,Box 102,County Attorney,,REP,Daynah J. Fallwell,72,33,38,0,1
Wilson,Box 102,County Attorney,,REP,Tom Caldwell,158,62,91,0,5
Wilson,Box 102,Sheriff,,REP,Chris Burchell,42,20,22,0,0
Wilson,Box 102,Sheriff,,REP,"Lowell C. Hull, Jr.",47,18,29,0,0
Wilson,Box 102,Sheriff,,REP,"Joe D. Tackitt, Jr.",182,67,109,0,6
Wilson,Box 102,Sheriff,,DEM,"Emmanuel Fultz, Sr.",145,42,95,0,8
Wilson,Box 102,Tax Assessor-Collector,,REP,Ray Wolff,102,43,54,0,5
Wilson,Box 102,Tax Assessor-Collector,,REP,Dawn Polasek Barnett,137,54,82,0,1
Wilson,Box 102,County Chairman,,REP,Ruby Manen,176,67,105,0,4
Wilson,Box 102,County Chairman,,DEM,Stacey Tisdale,170,49,108,0,13
Wilson,Box 102,Proposition 1,,REP,FOR,164,64,97,0,3
Wilson,Box 102,Proposition 1,,REP,AGAINST,69,26,42,0,1
Wilson,Box 102,Proposition 2,,REP,FOR,153,53,96,0,4
Wilson,Box 102,Proposition 2,,REP,AGAINST,80,36,44,0,0
Wilson,Box 102,Proposition 3,,REP,FOR,182,72,106,0,4
Wilson,Box 102,Proposition 3,,REP,AGAINST,46,13,33,0,0
Wilson,Box 102,Proposition 4,,REP,FOR,216,80,132,0,4
Wilson,Box 102,Proposition 4,,REP,AGAINST,12,4,8,0,0
Wilson,Box 102,Referendum 1,,DEM,FOR,179,49,114,0,16
Wilson,Box 102,Referendum 1,,DEM,AGAINST,10,1,9,0,0
Wilson,Box 102,Referendum 2,,DEM,FOR,182,49,117,0,16
Wilson,Box 102,Referendum 2,,DEM,AGAINST,9,1,8,0,0
Wilson,Box 102,Referendum 3,,DEM,FOR,167,43,110,0,14
Wilson,Box 102,Referendum 3,,DEM,AGAINST,20,7,12,0,1
Wilson,Box 102,Referendum 4,,DEM,FOR,182,48,119,0,15
Wilson,Box 102,Referendum 4,,DEM,AGAINST,11,4,7,0,0
Wilson,Box 102,Referendum 5,,DEM,FOR,124,32,83,0,9
Wilson,Box 102,Referendum 5,,DEM,AGAINST,74,20,47,0,7
Wilson,Box 102,Referendum 6,,DEM,FOR,177,49,115,0,13
Wilson,Box 102,Referendum 6,,DEM,AGAINST,21,3,16,0,2
Wilson,Box 103,President,,REP,Lindsey Graham,0,0,0,0,0
Wilson,Box 103,President,,REP,Ted Cruz,207,66,135,4,2
Wilson,Box 103,President,,REP,Marco Rubio,38,15,22,0,1
Wilson,Box 103,President,,REP,Chris Christie,1,0,1,0,0
Wilson,Box 103,President,,REP,Jeb Bush,7,5,2,0,0
Wilson,Box 103,President,,REP,Rand Paul,1,0,1,0,0
Wilson,Box 103,President,,REP,Rick Santorum,1,0,0,0,1
Wilson,Box 103,President,,REP,Ben Carson,18,2,14,1,1
Wilson,Box 103,President,,REP,John R. Kasich,4,1,3,0,0
Wilson,Box 103,President,,REP,Carly Fiorina,0,0,0,0,0
Wilson,Box 103,President,,REP,Donald J. Trump,135,45,87,2,1
Wilson,Box 103,President,,REP,Mike Huckabee,0,0,0,0,0
Wilson,Box 103,President,,REP,Elizabeth Gray,0,0,0,0,0
Wilson,Box 103,President,,REP,Uncommitted,3,0,3,0,0
Wilson,Box 103,President,,DEM,Martin J. O'Malley,1,0,1,0,0
Wilson,Box 103,President,,DEM,Star Locke,0,0,0,0,0
Wilson,Box 103,President,,DEM,Hillary Clinton,104,21,77,0,6
Wilson,Box 103,President,,DEM,Bernie Sanders,38,6,30,0,2
Wilson,Box 103,President,,DEM,Keith Judd,0,0,0,0,0
Wilson,Box 103,President,,DEM,Willie L. Wilson,2,0,2,0,0
Wilson,Box 103,President,,DEM,Calvis L. Hawes,0,0,0,0,0
Wilson,Box 103,President,,DEM,Roque De La Fuente,2,0,2,0,0
Wilson,Box 103,U.S. House,28,REP,Zeffen Hardin,279,94,177,5,3
Wilson,Box 103,U.S. House,28,DEM,William R. Hayward,17,6,10,0,1
Wilson,Box 103,U.S. House,28,DEM,Henry Cuellar,118,21,90,0,7
Wilson,Box 103,Railroad Commissioner,,REP,Weston Martinez,56,12,40,1,3
Wilson,Box 103,Railroad Commissioner,,REP,John Greytok,12,5,7,0,0
Wilson,Box 103,Railroad Commissioner,,REP,Wayne Christian,80,34,44,2,0
Wilson,Box 103,Railroad Commissioner,,REP,Ron Hale,49,18,30,1,0
Wilson,Box 103,Railroad Commissioner,,REP,Doug Jeffrey,35,8,26,1,0
Wilson,Box 103,Railroad Commissioner,,REP,Gary  Gates,58,20,36,1,1
Wilson,Box 103,Railroad Commissioner,,REP,Lance N. Christian,26,7,19,0,0
Wilson,Box 103,Railroad Commissioner,,DEM,Grady Yarbrough,54,11,39,0,4
Wilson,Box 103,Railroad Commissioner,,DEM,Lon Burnam,20,7,10,0,3
Wilson,Box 103,Railroad Commissioner,,DEM,Cody Garrett,44,7,37,0,0
Wilson,Box 103,State Senator,21,DEM,Judith Zaffirini,119,24,89,0,6
Wilson,Box 103,State Representative,44,REP,John Kuempel,306,97,199,6,4
Wilson,Box 103,State Representative,44,DEM,Robert M. Bohmfalk,105,21,78,0,6
Wilson,Box 103,District Attorney D81,,REP,Audrey Gossett Louis,300,97,193,6,4
Wilson,Box 103,District Attorney D81,,DEM,René M. Peña,118,23,88,0,7
Wilson,Box 103,County Attorney,,REP,Daynah J. Fallwell,115,39,73,1,2
Wilson,Box 103,County Attorney,,REP,Tom Caldwell,234,76,142,4,12
Wilson,Box 103,Sheriff,,REP,Chris Burchell,64,28,32,2,2
Wilson,Box 103,Sheriff,,REP,"Lowell C. Hull, Jr.",56,18,36,1,1
Wilson,Box 103,Sheriff,,REP,"Joe D. Tackitt, Jr.",287,86,185,4,12
Wilson,Box 103,Sheriff,,DEM,"Emmanuel Fultz, Sr.",96,21,70,0,5
Wilson,Box 103,Tax Assessor-Collector,,REP,Ray Wolff,153,39,100,3,11
Wilson,Box 103,Tax Assessor-Collector,,REP,Dawn Polasek Barnett,224,85,135,2,2
Wilson,Box 103,County Chairman,,REP,Ruby Manen,281,89,184,4,4
Wilson,Box 103,County Chairman,,DEM,Stacey Tisdale,104,20,78,0,6
Wilson,Box 103,Proposition 1,,REP,FOR,304,103,188,6,7
Wilson,Box 103,Proposition 1,,REP,AGAINST,80,21,59,0,0
Wilson,Box 103,Proposition 2,,REP,FOR,264,95,163,3,3
Wilson,Box 103,Proposition 2,,REP,AGAINST,123,32,83,3,5
Wilson,Box 103,Proposition 3,,REP,FOR,311,106,192,5,8
Wilson,Box 103,Proposition 3,,REP,AGAINST,75,21,53,1,0
Wilson,Box 103,Proposition 4,,REP,FOR,373,123,239,6,5
Wilson,Box 103,Proposition 4,,REP,AGAINST,11,2,7,0,2
Wilson,Box 103,Referendum 1,,DEM,FOR,114,23,85,0,6
Wilson,Box 103,Referendum 1,,DEM,AGAINST,8,1,7,0,0
Wilson,Box 103,Referendum 2,,DEM,FOR,112,23,83,0,6
Wilson,Box 103,Referendum 2,,DEM,AGAINST,7,0,7,0,0
Wilson,Box 103,Referendum 3,,DEM,FOR,103,22,74,0,7
Wilson,Box 103,Referendum 3,,DEM,AGAINST,18,2,16,0,0
Wilson,Box 103,Referendum 4,,DEM,FOR,110,22,81,0,7
Wilson,Box 103,Referendum 4,,DEM,AGAINST,9,2,7,0,0
Wilson,Box 103,Referendum 5,,DEM,FOR,76,17,55,0,4
Wilson,Box 103,Referendum 5,,DEM,AGAINST,48,6,39,0,3
Wilson,Box 103,Referendum 6,,DEM,FOR,110,21,82,0,7
Wilson,Box 103,Referendum 6,,DEM,AGAINST,15,3,12,0,0
Wilson,Box 104,President,,REP,Lindsey Graham,1,1,0,0,0
Wilson,Box 104,President,,REP,Ted Cruz,121,35,86,0,0
Wilson,Box 104,President,,REP,Marco Rubio,31,16,15,0,0
Wilson,Box 104,President,,REP,Chris Christie,0,0,0,0,0
Wilson,Box 104,President,,REP,Jeb Bush,1,1,0,0,0
Wilson,Box 104,President,,REP,Rand Paul,0,0,0,0,0
Wilson,Box 104,President,,REP,Rick Santorum,0,0,0,0,0
Wilson,Box 104,President,,REP,Ben Carson,15,3,11,1,0
Wilson,Box 104,President,,REP,John R. Kasich,5,4,1,0,0
Wilson,Box 104,President,,REP,Carly Fiorina,0,0,0,0,0
Wilson,Box 104,President,,REP,Donald J. Trump,92,33,59,0,0
Wilson,Box 104,President,,REP,Mike Huckabee,0,0,0,0,0
Wilson,Box 104,President,,REP,Elizabeth Gray,0,0,0,0,0
Wilson,Box 104,President,,REP,Uncommitted,5,2,3,0,0
Wilson,Box 104,President,,DEM,Martin J. O'Malley,0,0,0,0,0
Wilson,Box 104,President,,DEM,Star Locke,0,0,0,0,0
Wilson,Box 104,President,,DEM,Hillary Clinton,54,8,46,0,0
Wilson,Box 104,President,,DEM,Bernie Sanders,17,0,17,0,0
Wilson,Box 104,President,,DEM,Keith Judd,0,0,0,0,0
Wilson,Box 104,President,,DEM,Willie L. Wilson,0,0,0,0,0
Wilson,Box 104,President,,DEM,Calvis L. Hawes,0,0,0,0,0
Wilson,Box 104,President,,DEM,Roque De La Fuente,1,0,1,0,0
Wilson,Box 104,U.S. House,28,REP,Zeffen Hardin,201,78,123,0,0
Wilson,Box 104,U.S. House,28,DEM,William R. Hayward,6,0,6,0,0
Wilson,Box 104,U.S. House,28,DEM,Henry Cuellar,57,8,49,0,0
Wilson,Box 104,Railroad Commissioner,,REP,Weston Martinez,32,10,22,0,0
Wilson,Box 104,Railroad Commissioner,,REP,John Greytok,17,5,12,0,0
Wilson,Box 104,Railroad Commissioner,,REP,Wayne Christian,49,20,29,0,0
Wilson,Box 104,Railroad Commissioner,,REP,Ron Hale,35,15,20,0,0
Wilson,Box 104,Railroad Commissioner,,REP,Doug Jeffrey,26,10,16,0,0
Wilson,Box 104,Railroad Commissioner,,REP,Gary  Gates,38,17,21,0,0
Wilson,Box 104,Railroad Commissioner,,REP,Lance N. Christian,17,5,12,0,0
Wilson,Box 104,Railroad Commissioner,,DEM,Grady Yarbrough,28,5,23,0,0
Wilson,Box 104,Railroad Commissioner,,DEM,Lon Burnam,8,3,5,0,0
Wilson,Box 104,Railroad Commissioner,,DEM,Cody Garrett,19,0,19,0,0
Wilson,Box 104,State Senator,21,DEM,Judith Zaffirini,62,8,54,0,0
Wilson,Box 104,State Representative,44,REP,John Kuempel,212,81,131,0,0
Wilson,Box 104,State Representative,44,DEM,Robert M. Bohmfalk,52,8,44,0,0
Wilson,Box 104,District Attorney D81,,REP,Audrey Gossett Louis,214,81,133,0,0
Wilson,Box 104,District Attorney D81,,DEM,René M. Peña,59,7,52,0,0
Wilson,Box 104,County Attorney,,REP,Daynah J. Fallwell,76,28,48,0,0
Wilson,Box 104,County Attorney,,REP,Tom Caldwell,153,60,93,0,0
Wilson,Box 104,Sheriff,,REP,Chris Burchell,46,13,33,0,0
Wilson,Box 104,Sheriff,,REP,"Lowell C. Hull, Jr.",44,16,27,1,0
Wilson,Box 104,Sheriff,,REP,"Joe D. Tackitt, Jr.",181,67,114,0,0
Wilson,Box 104,Sheriff,,DEM,"Emmanuel Fultz, Sr.",50,7,43,0,0
Wilson,Box 104,Tax Assessor-Collector,,REP,Ray Wolff,66,22,44,0,0
Wilson,Box 104,Tax Assessor-Collector,,REP,Dawn Polasek Barnett,174,72,101,1,0
Wilson,Box 104,County Chairman,,REP,Ruby Manen,195,77,118,0,0
Wilson,Box 104,County Chairman,,DEM,Stacey Tisdale,50,8,42,0,0
Wilson,Box 104,Proposition 1,,REP,FOR,182,62,119,1,0
Wilson,Box 104,Proposition 1,,REP,AGAINST,67,27,40,0,0
Wilson,Box 104,Proposition 2,,REP,FOR,148,60,87,1,0
Wilson,Box 104,Proposition 2,,REP,AGAINST,105,32,73,0,0
Wilson,Box 104,Proposition 3,,REP,FOR,183,66,116,1,0
Wilson,Box 104,Proposition 3,,REP,AGAINST,66,24,42,0,0
Wilson,Box 104,Proposition 4,,REP,FOR,233,85,147,1,0
Wilson,Box 104,Proposition 4,,REP,AGAINST,14,5,9,0,0
Wilson,Box 104,Referendum 1,,DEM,FOR,54,4,50,0,0
Wilson,Box 104,Referendum 1,,DEM,AGAINST,3,0,3,0,0
Wilson,Box 104,Referendum 2,,DEM,FOR,58,4,54,0,0
Wilson,Box 104,Referendum 2,,DEM,AGAINST,1,0,1,0,0
Wilson,Box 104,Referendum 3,,DEM,FOR,54,3,51,0,0
Wilson,Box 104,Referendum 3,,DEM,AGAINST,6,1,5,0,0
Wilson,Box 104,Referendum 4,,DEM,FOR,55,3,52,0,0
Wilson,Box 104,Referendum 4,,DEM,AGAINST,3,0,3,0,0
Wilson,Box 104,Referendum 5,,DEM,FOR,46,4,42,0,0
Wilson,Box 104,Referendum 5,,DEM,AGAINST,15,0,15,0,0
Wilson,Box 104,Referendum 6,,DEM,FOR,54,3,51,0,0
Wilson,Box 104,Referendum 6,,DEM,AGAINST,6,1,5,0,0
Wilson,Box 205,President,,REP,Lindsey Graham,0,0,0,0,0
Wilson,Box 205,President,,REP,Ted Cruz,255,55,193,2,5
Wilson,Box 205,President,,REP,Marco Rubio,67,15,52,0,0
Wilson,Box 205,President,,REP,Chris Christie,4,1,1,0,2
Wilson,Box 205,President,,REP,Jeb Bush,4,1,3,0,0
Wilson,Box 205,President,,REP,Rand Paul,0,0,0,0,0
Wilson,Box 205,President,,REP,Rick Santorum,0,0,0,0,0
Wilson,Box 205,President,,REP,Ben Carson,13,4,9,0,0
Wilson,Box 205,President,,REP,John R. Kasich,11,5,6,0,0
Wilson,Box 205,President,,REP,Carly Fiorina,1,0,1,0,0
Wilson,Box 205,President,,REP,Donald J. Trump,135,33,100,0,2
Wilson,Box 205,President,,REP,Mike Huckabee,0,0,0,0,0
Wilson,Box 205,President,,REP,Elizabeth Gray,0,0,0,0,0
Wilson,Box 205,President,,REP,Uncommitted,7,3,4,0,0
Wilson,Box 205,President,,DEM,Martin J. O'Malley,0,0,0,0,0
Wilson,Box 205,President,,DEM,Star Locke,0,0,0,0,0
Wilson,Box 205,President,,DEM,Hillary Clinton,115,21,85,0,9
Wilson,Box 205,President,,DEM,Bernie Sanders,26,3,22,0,1
Wilson,Box 205,President,,DEM,Keith Judd,0,0,0,0,0
Wilson,Box 205,President,,DEM,Willie L. Wilson,1,0,1,0,0
Wilson,Box 205,President,,DEM,Calvis L. Hawes,0,0,0,0,0
Wilson,Box 205,President,,DEM,Roque De La Fuente,1,0,1,0,0
Wilson,Box 205,U.S. House,28,REP,Zeffen Hardin,343,85,250,2,6
Wilson,Box 205,U.S. House,28,DEM,William R. Hayward,11,1,10,0,0
Wilson,Box 205,U.S. House,28,DEM,Henry Cuellar,127,23,94,0,10
Wilson,Box 205,Railroad Commissioner,,REP,Weston Martinez,50,11,39,0,0
Wilson,Box 205,Railroad Commissioner,,REP,John Greytok,25,8,17,0,0
Wilson,Box 205,Railroad Commissioner,,REP,Wayne Christian,99,25,72,0,2
Wilson,Box 205,Railroad Commissioner,,REP,Ron Hale,68,17,46,1,4
Wilson,Box 205,Railroad Commissioner,,REP,Doug Jeffrey,39,9,30,0,0
Wilson,Box 205,Railroad Commissioner,,REP,Gary  Gates,74,24,49,0,1
Wilson,Box 205,Railroad Commissioner,,REP,Lance N. Christian,28,5,23,0,0
Wilson,Box 205,Railroad Commissioner,,DEM,Grady Yarbrough,57,10,45,0,2
Wilson,Box 205,Railroad Commissioner,,DEM,Lon Burnam,13,0,13,0,0
Wilson,Box 205,Railroad Commissioner,,DEM,Cody Garrett,52,9,36,0,7
Wilson,Box 205,State Senator,21,DEM,Judith Zaffirini,125,21,95,0,9
Wilson,Box 205,State Representative,44,REP,John Kuempel,396,97,289,2,8
Wilson,Box 205,State Representative,44,DEM,Robert M. Bohmfalk,104,18,77,0,9
Wilson,Box 205,District Attorney D81,,REP,Audrey Gossett Louis,360,87,264,2,7
Wilson,Box 205,District Attorney D81,,DEM,René M. Peña,117,21,88,0,8
Wilson,Box 205,County Attorney,,REP,Daynah J. Fallwell,151,37,107,1,6
Wilson,Box 205,County Attorney,,REP,Tom Caldwell,259,66,191,1,1
Wilson,Box 205,Sheriff,,REP,Chris Burchell,53,17,34,0,2
Wilson,Box 205,Sheriff,,REP,"Lowell C. Hull, Jr.",128,21,106,1,0
Wilson,Box 205,Sheriff,,REP,"Joe D. Tackitt, Jr.",314,75,231,1,7
Wilson,Box 205,Sheriff,,DEM,"Emmanuel Fultz, Sr.",106,19,77,0,10
Wilson,Box 205,Tax Assessor-Collector,,REP,Ray Wolff,150,35,110,2,3
Wilson,Box 205,Tax Assessor-Collector,,REP,Dawn Polasek Barnett,304,78,222,0,4
Wilson,Box 205,County Chairman,,REP,Ruby Manen,350,84,260,2,4
Wilson,Box 205,County Chairman,,DEM,Stacey Tisdale,101,17,76,0,8
Wilson,Box 205,Proposition 1,,REP,FOR,334,82,245,2,5
Wilson,Box 205,Proposition 1,,REP,AGAINST,109,27,80,0,2
Wilson,Box 205,Proposition 2,,REP,FOR,294,74,215,2,3
Wilson,Box 205,Proposition 2,,REP,AGAINST,161,37,120,0,4
Wilson,Box 205,Proposition 3,,REP,FOR,344,82,252,2,8
Wilson,Box 205,Proposition 3,,REP,AGAINST,96,22,74,0,0
Wilson,Box 205,Proposition 4,,REP,FOR,418,103,306,2,7
Wilson,Box 205,Proposition 4,,REP,AGAINST,19,3,15,0,1
Wilson,Box 205,Referendum 1,,DEM,FOR,107,18,80,0,9
Wilson,Box 205,Referendum 1,,DEM,AGAINST,10,3,6,0,1
Wilson,Box 205,Referendum 2,,DEM,FOR,106,20,76,0,10
Wilson,Box 205,Referendum 2,,DEM,AGAINST,10,1,9,0,0
Wilson,Box 205,Referendum 3,,DEM,FOR,92,19,63,0,10
Wilson,Box 205,Referendum 3,,DEM,AGAINST,19,1,18,0,0
Wilson,Box 205,Referendum 4,,DEM,FOR,105,19,77,0,9
Wilson,Box 205,Referendum 4,,DEM,AGAINST,7,0,6,0,1
Wilson,Box 205,Referendum 5,,DEM,FOR,77,15,59,0,3
Wilson,Box 205,Referendum 5,,DEM,AGAINST,41,5,29,0,7
Wilson,Box 205,Referendum 6,,DEM,FOR,108,18,80,0,10
Wilson,Box 205,Referendum 6,,DEM,AGAINST,13,2,11,0,0
Wilson,Box 206,President,,REP,Lindsey Graham,0,0,0,0,0
Wilson,Box 206,President,,REP,Ted Cruz,281,118,159,1,3
Wilson,Box 206,President,,REP,Marco Rubio,90,43,47,0,0
Wilson,Box 206,President,,REP,Chris Christie,3,1,2,0,0
Wilson,Box 206,President,,REP,Jeb Bush,13,11,2,0,0
Wilson,Box 206,President,,REP,Rand Paul,1,0,1,0,0
Wilson,Box 206,President,,REP,Rick Santorum,2,1,1,0,0
Wilson,Box 206,President,,REP,Ben Carson,18,9,8,0,1
Wilson,Box 206,President,,REP,John R. Kasich,11,4,7,0,0
Wilson,Box 206,President,,REP,Carly Fiorina,2,1,1,0,0
Wilson,Box 206,President,,REP,Donald J. Trump,151,67,83,0,1
Wilson,Box 206,President,,REP,Mike Huckabee,1,1,0,0,0
Wilson,Box 206,President,,REP,Elizabeth Gray,2,2,0,0,0
Wilson,Box 206,President,,REP,Uncommitted,15,11,4,0,0
