county,precinct,office,district,party,candidate,votes,early_votes,election_day
Lubbock,3,President,,REP,Mike Huckabee,1,1,0
Lubbock,3,President,,REP,Jeb Bush,3,3,0
Lubbock,3,President,,REP,Elizabeth Gray,0,0,0
Lubbock,3,President,,REP,Rand Paul,0,0,0
Lubbock,3,President,,REP,Lindsey Graham,0,0,0
Lubbock,3,President,,REP,Marco Rubio,43,19,24
Lubbock,3,President,,REP,Chris Christie,1,1,0
Lubbock,3,President,,REP,Ben Carson,4,3,1
Lubbock,3,President,,REP,Donald J. Trump,21,10,11
Lubbock,3,President,,REP,Ted Cruz,61,18,43
Lubbock,3,President,,REP,Uncommitted,4,3,1
Lubbock,3,U.S. House,19,REP,Greg Garrett,14,6,8
Lubbock,3,U.S. House,19,REP,John C. Key,4,4,0
Lubbock,3,U.S. House,19,REP,Jason Corley,3,1,2
Lubbock,3,U.S. House,19,REP,DeRenda Warren,4,0,4
Lubbock,3,U.S. House,19,REP,Glen Robertson,38,19,19
Lubbock,3,U.S. House,19,REP,Don Parrish,2,1,1
Lubbock,3,U.S. House,19,REP,Michael Bob Starr,11,5,6
Lubbock,3,U.S. House,19,REP,Jodey Arrington,27,11,16
Lubbock,3,U.S. House,19,REP,Donald R. May,15,3,12
Lubbock,3,Railroad Commissioner,,REP,Ron Hale,12,5,7
Lubbock,3,Railroad Commissioner,,REP,John Greytok,5,2,3
Lubbock,3,Railroad Commissioner,,REP,Wayne Christian,6,3,3
Lubbock,3,Railroad Commissioner,,REP,Lance N. Christian,4,2,2
Lubbock,3,Railroad Commissioner,,REP,Doug Jeffrey,10,5,5
Lubbock,3,Railroad Commissioner,,REP,Weston Martinez,54,19,35
Lubbock,3,Railroad Commissioner,,REP,Gary Gates,18,11,7
Lubbock,3,"Justice, Supreme Court, Place 3",,REP,Debra Lehrmann,54,20,34
Lubbock,3,"Justice, Supreme Court, Place 3",,REP,Michael Massengale,55,26,29
Lubbock,3,"Justice, Supreme Court, Place 5",,REP,Paul Green,58,22,36
Lubbock,3,"Justice, Supreme Court, Place 5",,REP,Rick Green,40,22,18
Lubbock,3,"Justice, Supreme Court, Place 9",,REP,Eva Guzman,80,35,45
Lubbock,3,"Justice, Supreme Court, Place 9",,REP,Joe Pool,27,11,16
Lubbock,3,"Judge, Court of Criminal Appeals, Place 2",,REP,Chris Oldner,34,12,22
Lubbock,3,"Judge, Court of Criminal Appeals, Place 2",,REP,Ray Wheless,22,13,9
Lubbock,3,"Judge, Court of Criminal Appeals, Place 2",,REP,Mary Lou Keel,39,16,23
Lubbock,3,"Judge, Court of Criminal Appeals, Place 5",,REP,Scott Walker,41,16,25
Lubbock,3,"Judge, Court of Criminal Appeals, Place 5",,REP,Steve Smith,23,9,14
Lubbock,3,"Judge, Court of Criminal Appeals, Place 5",,REP,Brent Webster,14,6,8
Lubbock,3,"Judge, Court of Criminal Appeals, Place 5",,REP,Sid Harle,16,10,6
Lubbock,3,"Judge, Court of Criminal Appeals, Place 6",,REP,Michael E. Keasler,53,23,30
Lubbock,3,"Judge, Court of Criminal Appeals, Place 6",,REP,Richard Davis,39,17,22
Lubbock,3,"Member, State Board of Education",15,REP,Marty Rowley,85,38,47
Lubbock,3,State Senate,28,REP,Charles Perry,93,42,51
Lubbock,3,State Representative,84,REP,John Frullo,63,22,41
Lubbock,3,State Representative,84,REP,Jim Landtroop,42,22,20
Lubbock,3,"Justice, 7th Court of Appeals District, Place 4",,REP,Jim Campbell,74,36,38
Lubbock,3,"District Judge, 72nd Judicial District",,REP,Ruben G. Reyes,92,41,51
Lubbock,3,"District Judge, 99th Judicial District",,REP,William C. (Bill) Sowder,85,38,47
Lubbock,3,"District Judge, 140th Judicial District",,REP,Jim Bob Darnell,84,38,46
Lubbock,3,Sheriff,,REP,Kelly S. Rowe,88,39,49
Lubbock,3,County Tax Assessor-Collector,,REP,Ronnie Keister,81,37,44
Lubbock,3,"County Treasurer, Unexpired Term",,REP,Chris Winn,75,35,40
Lubbock,3,"County Commissioner, Precinct 3",,REP,Frank Gutierrez,88,38,50
Lubbock,3,County Party Chair,,REP,Steve Evans,71,35,36
Lubbock,3,Republican Proposition #1,,REP,Yes,89,39,50
Lubbock,3,Republican Proposition #1,,REP,No,42,17,25
Lubbock,3,Republican Proposition #2,,REP,Yes,81,33,48
Lubbock,3,Republican Proposition #2,,REP,No,52,23,29
Lubbock,3,Republican Proposition #3,,REP,Yes,94,41,53
Lubbock,3,Republican Proposition #3,,REP,No,34,13,21
Lubbock,3,Republican Proposition #4,,REP,Yes,124,53,71
Lubbock,3,Republican Proposition #4,,REP,No,6,2,4
Lubbock,4,President,,REP,Rick Santorum,0,0,0
Lubbock,4,President,,REP,Carly Fiorina,0,0,0
Lubbock,4,President,,REP,John R. Kasich,0,0,0
Lubbock,4,President,,REP,Mike Huckabee,1,1,0
Lubbock,4,President,,REP,Jeb Bush,2,2,0
Lubbock,4,President,,REP,Elizabeth Gray,0,0,0
Lubbock,4,President,,REP,Rand Paul,0,0,0
Lubbock,4,President,,REP,Lindsey Graham,0,0,0
Lubbock,4,President,,REP,Marco Rubio,12,6,6
Lubbock,4,President,,REP,Chris Christie,0,0,0
Lubbock,4,President,,REP,Ben Carson,5,4,1
Lubbock,4,President,,REP,Donald J. Trump,10,7,3
Lubbock,4,President,,REP,Ted Cruz,11,4,7
Lubbock,4,President,,REP,Uncommitted,1,1,0
Lubbock,4,U.S. House,19,REP,Greg Garrett,2,0,2
Lubbock,4,U.S. House,19,REP,John C. Key,2,2,0
Lubbock,4,U.S. House,19,REP,Jason Corley,0,0,0
Lubbock,4,U.S. House,19,REP,DeRenda Warren,0,0,0
Lubbock,4,U.S. House,19,REP,Glen Robertson,19,12,7
Lubbock,4,U.S. House,19,REP,Don Parrish,0,0,0
Lubbock,4,U.S. House,19,REP,Michael Bob Starr,4,3,1
Lubbock,4,U.S. House,19,REP,Jodey Arrington,11,6,5
Lubbock,4,U.S. House,19,REP,Donald R. May,3,1,2
Lubbock,4,Railroad Commissioner,,REP,Ron Hale,7,6,1
Lubbock,4,Railroad Commissioner,,REP,John Greytok,2,1,1
Lubbock,4,Railroad Commissioner,,REP,Wayne Christian,5,3,2
Lubbock,4,Railroad Commissioner,,REP,Lance N. Christian,3,2,1
Lubbock,4,Railroad Commissioner,,REP,Doug Jeffrey,0,0,0
Lubbock,4,Railroad Commissioner,,REP,Weston Martinez,12,4,8
Lubbock,4,Railroad Commissioner,,REP,Gary Gates,4,4,0
Lubbock,4,"Justice, Supreme Court, Place 3",,REP,Debra Lehrmann,16,7,9
Lubbock,4,"Justice, Supreme Court, Place 3",,REP,Michael Massengale,20,15,5
Lubbock,4,"Justice, Supreme Court, Place 5",,REP,Paul Green,28,16,12
Lubbock,4,"Justice, Supreme Court, Place 5",,REP,Rick Green,7,4,3
Lubbock,4,"Justice, Supreme Court, Place 9",,REP,Eva Guzman,30,16,14
Lubbock,4,"Justice, Supreme Court, Place 9",,REP,Joe Pool,7,6,1
Lubbock,4,"Judge, Court of Criminal Appeals, Place 2",,REP,Chris Oldner,7,4,3
Lubbock,4,"Judge, Court of Criminal Appeals, Place 2",,REP,Ray Wheless,8,5,3
Lubbock,4,"Judge, Court of Criminal Appeals, Place 2",,REP,Mary Lou Keel,19,11,8
Lubbock,4,"Judge, Court of Criminal Appeals, Place 5",,REP,Scott Walker,9,8,1
Lubbock,4,"Judge, Court of Criminal Appeals, Place 5",,REP,Steve Smith,12,7,5
Lubbock,4,"Judge, Court of Criminal Appeals, Place 5",,REP,Brent Webster,9,3,6
Lubbock,4,"Judge, Court of Criminal Appeals, Place 5",,REP,Sid Harle,4,2,2
Lubbock,4,"Judge, Court of Criminal Appeals, Place 6",,REP,Michael E. Keasler,22,13,9
Lubbock,4,"Judge, Court of Criminal Appeals, Place 6",,REP,Richard Davis,12,7,5
Lubbock,4,"Member, State Board of Education",15,REP,Marty Rowley,32,18,14
Lubbock,4,State Senate,28,REP,Charles Perry,33,18,15
Lubbock,4,State Representative,84,REP,John Frullo,26,12,14
Lubbock,4,State Representative,84,REP,Jim Landtroop,12,10,2
Lubbock,4,"Justice, 7th Court of Appeals District, Place 4",,REP,Jim Campbell,32,19,13
Lubbock,4,"District Judge, 72nd Judicial District",,REP,Ruben G. Reyes,34,20,14
Lubbock,4,"District Judge, 99th Judicial District",,REP,William C. (Bill) Sowder,32,20,12
Lubbock,4,"District Judge, 140th Judicial District",,REP,Jim Bob Darnell,31,18,13
Lubbock,4,Sheriff,,REP,Kelly S. Rowe,34,20,14
Lubbock,4,County Tax Assessor-Collector,,REP,Ronnie Keister,30,17,13
Lubbock,4,"County Treasurer, Unexpired Term",,REP,Chris Winn,31,16,15
Lubbock,4,"County Commissioner, Precinct 3",,REP,Frank Gutierrez,31,19,12
Lubbock,4,County Party Chair,,REP,Steve Evans,28,16,12
