county,precinct,office,district,candidate,party,votes,early_votes,election_votes
Zapata,2A,Straight Party,,Democratic Party,DEM,103,32,71
Zapata,2A,Straight Party,,Libertarian Party,LIB,0,0,0
Zapata,2A,Straight Party,,Green Party,GRN,1,0,1
Zapata,2A,Straight Party,,Under Votes,,112,25,87
Zapata,2A,Straight Party,,Over Votes,,0,0,0
Zapata,2A,President and Vice President,,Donald J. Trump / Mike Pence,REP,71,18,53
Zapata,2A,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,168,45,123
Zapata,2A,President and Vice President,,Gary Johnson / William Weld,LIB,2,1,1
Zapata,2A,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Zapata,2A,President and Vice President,,Under Votes,,3,1,2
Zapata,2A,President and Vice President,,Over Votes,,0,0,0
Zapata,2A,U.S. House,28,Zeffen Hardin,REP,29,13,16
Zapata,2A,U.S. House,28,Henry Cuellar,DEM,197,48,149
Zapata,2A,U.S. House,28,Michael D. Cary,GRN,1,0,1
Zapata,2A,U.S. House,28,Under Votes,,17,4,13
Zapata,2A,U.S. House,28,Over Votes,,0,0,0
Zapata,2A,Railroad Commissioner,,Wayne Christian,REP,47,16,31
Zapata,2A,Railroad Commissioner,,Grady Yarbrough,DEM,136,35,101
Zapata,2A,Railroad Commissioner,,Mark Miller,LIB,5,1,4
Zapata,2A,Railroad Commissioner,,Martina Salinas,GRN,25,5,20
Zapata,2A,Railroad Commissioner,,Under Votes,,31,8,23
Zapata,2A,Railroad Commissioner,,Over Votes,,0,0,0
Zapata,2A,State Senate,21,Judith Zaffirini,DEM,187,50,137
Zapata,2A,State Senate,21,Under Votes,,57,15,42
Zapata,2A,State Senate,21,Over Votes,,0,0,0
Zapata,2A,State Representative,80,Tracy O. King,DEM,182,49,133
Zapata,2A,State Representative,80,Under Votes,,62,16,46
Zapata,2A,State Representative,80,Over Votes,,0,0,0
Zapata,3,Registered Voters,,,,2029,,
Zapata,3,Ballots Cast,,,,987,541,446
Zapata,3,Straight Party,,Republican Party,REP,156,109,47
Zapata,3,Straight Party,,Democratic Party,DEM,328,178,150
Zapata,3,Straight Party,,Libertarian Party,LIB,3,2,1
Zapata,3,Straight Party,,Green Party,GRN,2,1,1
Zapata,3,Straight Party,,Under Votes,,497,251,246
Zapata,3,Straight Party,,Over Votes,,1,0,1
Zapata,3,President and Vice President,,Donald J. Trump / Mike Pence,REP,394,224,170
Zapata,3,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,553,300,253
Zapata,3,President and Vice President,,Gary Johnson / William Weld,LIB,9,3,6
Zapata,3,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,7,3,4
Zapata,3,President and Vice President,,Under Votes,,23,11,12
Zapata,3,President and Vice President,,Over Votes,,1,0,1
Zapata,3,U.S. House,28,Zeffen Hardin,REP,200,127,73
Zapata,3,U.S. House,28,Henry Cuellar,DEM,707,365,342
Zapata,3,U.S. House,28,Michael D. Cary,GRN,21,13,8
Zapata,3,U.S. House,28,Under Votes,,57,36,21
Zapata,3,U.S. House,28,Over Votes,,2,0,2
Zapata,3,Railroad Commissioner,,Wayne Christian,REP,275,171,104
Zapata,3,Railroad Commissioner,,Grady Yarbrough,DEM,439,235,204
Zapata,3,Railroad Commissioner,,Mark Miller,LIB,46,21,25
Zapata,3,Railroad Commissioner,,Martina Salinas,GRN,105,46,59
Zapata,3,Railroad Commissioner,,Under Votes,,121,68,53
Zapata,3,Railroad Commissioner,,Over Votes,,1,0,1
Zapata,3,State Senate,21,Judith Zaffirini,DEM,684,355,329
Zapata,3,State Senate,21,Under Votes,,303,186,117
Zapata,3,State Senate,21,Over Votes,,0,0,0
Zapata,3,State Representative,80,Tracy O. King,DEM,691,356,335
Zapata,3,State Representative,80,Under Votes,,296,185,111
Zapata,3,State Representative,80,Over Votes,,0,0,0
Zapata,4,Registered Voters,,,,1702,,
Zapata,4,Ballots Cast,,,,547,230,317
Zapata,4,Straight Party,,Republican Party,REP,62,27,35
Zapata,4,Straight Party,,Democratic Party,DEM,237,106,131
Zapata,4,Straight Party,,Libertarian Party,LIB,4,1,3
Zapata,4,Straight Party,,Green Party,GRN,1,0,1
Zapata,4,Straight Party,,Under Votes,,243,96,147
Zapata,4,Straight Party,,Over Votes,,0,0,0
Zapata,4,President and Vice President,,Donald J. Trump / Mike Pence,REP,138,64,74
Zapata,4,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,394,158,236
Zapata,4,President and Vice President,,Gary Johnson / William Weld,LIB,8,5,3
Zapata,4,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Zapata,4,President and Vice President,,Under Votes,,7,3,4
Zapata,4,President and Vice President,,Over Votes,,0,0,0
Zapata,4,U.S. House,28,Zeffen Hardin,REP,53,28,25
Zapata,4,U.S. House,28,Henry Cuellar,DEM,452,187,265
Zapata,4,U.S. House,28,Michael D. Cary,GRN,2,1,1
Zapata,4,U.S. House,28,Under Votes,,39,13,26
Zapata,4,U.S. House,28,Over Votes,,1,1,0
Zapata,4,Railroad Commissioner,,Wayne Christian,REP,86,41,45
Zapata,4,Railroad Commissioner,,Grady Yarbrough,DEM,285,134,151
Zapata,4,Railroad Commissioner,,Mark Miller,LIB,21,4,17
Zapata,4,Railroad Commissioner,,Martina Salinas,GRN,76,31,45
Zapata,4,Railroad Commissioner,,Under Votes,,79,20,59
Zapata,4,Railroad Commissioner,,Over Votes,,0,0,0
Zapata,4,State Senate,21,Judith Zaffirini,DEM,425,185,240
Zapata,4,State Senate,21,Under Votes,,122,45,77
Zapata,4,State Senate,21,Over Votes,,0,0,0
Zapata,4,State Representative,80,Tracy O. King,DEM,422,192,230
Zapata,4,State Representative,80,Under Votes,,125,38,87
Zapata,4,State Representative,80,Over Votes,,0,0,0
