county,early_voting,election_day,provisional,absentee,total
Gonzales,,,,,TRUE
Gray,,,,,TRUE
Grayson,,,,,TRUE
Gregg,TRUE,TRUE,,TRUE,TRUE
Grimes,TRUE,TRUE,,,TRUE
Guadalupe,TRUE,TRUE,,TRUE,TRUE
Hale,TRUE,TRUE,,,TRUE
Hall,TRUE,TRUE,,,TRUE
Hamilton,TRUE,TRUE,,,TRUE
Hansford,,,,,TRUE
Hardeman,TRUE,TRUE,,,TRUE
Hardin,TRUE,TRUE,,,TRUE
Harris,TRUE,TRUE,,TRUE,TRUE
Harrison,TRUE,TRUE,,,TRUE
Hartley,TRUE,TRUE,,,TRUE
Haskell,,,,,
Hays,,,,,TRUE
Hemphill,TRUE,TRUE,,,TRUE
Henderson,TRUE,TRUE,,,TRUE
Hidalgo,TRUE,TRUE,TRUE,TRUE,TRUE
Hill,TRUE,TRUE,,TRUE,TRUE
Hockley,,,,,TRUE
Hood,TRUE,TRUE,,,TRUE
Hopkins,TRUE,TRUE,,,TRUE
Houston,,,,,TRUE
Howard,,,,,TRUE
Hudspeth,,,,,
Hunt,,,,,
Hutchinson,TRUE,TRUE,,,TRUE
Irion,TRUE,TRUE,,,TRUE
Jack,TRUE,TRUE,,,TRUE
Jackson,TRUE,TRUE,,,TRUE
Jasper,,,,,TRUE
Jeff Davis,TRUE,TRUE,,,TRUE
Jefferson,TRUE,TRUE,,,TRUE
Jim Hogg,,,,,TRUE
Jim Wells,,,,,TRUE
Johnson,TRUE,TRUE,,,TRUE
Jones,TRUE,TRUE,TRUE,TRUE,TRUE
Karnes,TRUE,TRUE,,,TRUE
Kaufman,,,,,TRUE
Kendall,TRUE,TRUE,,,TRUE
Kenedy,TRUE,TRUE,,TRUE,TRUE
Kent,,,,,TRUE
Kerr,TRUE,TRUE,,,TRUE
Kimble,TRUE,TRUE,,,TRUE
King,TRUE,TRUE,,,TRUE
Kinney,TRUE,TRUE,,,TRUE
Kleberg,,,,,TRUE
Knox,TRUE,TRUE,,,TRUE
Lamar,TRUE,TRUE,,TRUE,TRUE
Lamb,TRUE,TRUE,TRUE,TRUE,TRUE
Lampasas,TRUE,TRUE,,,TRUE
La Salle,TRUE,TRUE,,,TRUE
Lavaca,,,,,TRUE
Lee,TRUE,TRUE,,,TRUE
Leon,,,,,TRUE
Liberty,,,,,TRUE
Limestone,,,,,TRUE
Lipscomb,TRUE,TRUE,,,TRUE
Live Oak,TRUE,TRUE,,,TRUE
Llano,TRUE,TRUE,,,TRUE
Loving,,,,,TRUE
Lubbock,,,,,TRUE
Lynn,TRUE,TRUE,,,TRUE
McCulloch,,,,,
McLennan,,,,,TRUE
McMullen,,,,,TRUE
Madison,TRUE,TRUE,,,TRUE
Marion,,,,,TRUE
Martin,,,,,TRUE
Mason,,,,,
Matagorda,TRUE,TRUE,,TRUE,TRUE
Maverick,TRUE,TRUE,,,TRUE
Medina,TRUE,TRUE,,,TRUE
Menard,TRUE,TRUE,,,TRUE
Midland,,,,,TRUE
Milam,TRUE,TRUE,,,TRUE
Mills,,,,,TRUE
Mitchell,,,,,TRUE
Montague,,,,,TRUE
Montgomery,,,,,TRUE
Moore,,,,,TRUE
Morris,,,,,TRUE
Motley,TRUE,TRUE,,,TRUE
Nacogdoches,TRUE,TRUE,,,TRUE
Navarro,,,,,TRUE
Newton,TRUE,TRUE,,,TRUE
Nolan,TRUE,TRUE,TRUE,TRUE,TRUE
Nueces,TRUE,TRUE,,TRUE,TRUE
Ochiltree,,,,,TRUE
Oldham,TRUE,TRUE,,,TRUE
Orange,,,,,TRUE
Palo Pinto,,,,,TRUE
Panola,TRUE,TRUE,,,TRUE
Parker,TRUE,TRUE,,,TRUE
Parmer,,,,,TRUE
Pecos,,,,,
Polk,TRUE,TRUE,,,TRUE
Potter,TRUE,TRUE,,,TRUE
Presidio,,,,,TRUE
Rains,TRUE,TRUE,,TRUE,TRUE
Randall,,,,,TRUE
Reagan,TRUE,TRUE,,,TRUE
Real,,,,,TRUE
Red River,TRUE,TRUE,,,TRUE
Reeves,,,,,TRUE
Refugio,TRUE,TRUE,,,TRUE
Roberts,TRUE,TRUE,,,TRUE
Robertson,,,,,TRUE
Rockwall,TRUE,TRUE,,,TRUE
Runnels,TRUE,TRUE,,,TRUE
Rusk,TRUE,TRUE,,,TRUE
Sabine,TRUE,TRUE,,,TRUE
San Augustine,,,,,TRUE
San Jacinto,,,,,TRUE
San Patricio,,,,,TRUE
San Saba,,,,,
Schleicher,,,,,TRUE
Scurry,,,,,TRUE
Shackelford,TRUE,TRUE,,,TRUE
Shelby,TRUE,TRUE,,,TRUE
Sherman,,,,,
Smith,,,,,TRUE
Somervell,,,,,TRUE
Starr,,,,,TRUE
Stephens,,,,,TRUE
Sterling,TRUE,TRUE,,,TRUE
Stonewall,TRUE,TRUE,,,TRUE
Sutton,,,,,TRUE
Swisher,,,,,TRUE
Tarrant,TRUE,TRUE,,TRUE,TRUE
Taylor,,,,,TRUE
Terrell,TRUE,TRUE,,,TRUE
Terry,,,,,TRUE
Throckmorton,TRUE,TRUE,,,TRUE
Titus,,,,,TRUE
Tom Green,,,,,
Travis,,,,,TRUE
Trinity,,,,,TRUE
Tyler,,,,,TRUE
Upshur,,,,,TRUE
Upton,TRUE,TRUE,TRUE,TRUE,TRUE
Uvalde,TRUE,TRUE,,TRUE,TRUE
Val Verde,TRUE,TRUE,,,TRUE
Van Zandt,TRUE,TRUE,TRUE,TRUE,TRUE
Victoria,TRUE,TRUE,,,TRUE
Walker,,,,,TRUE
Waller,,,,,TRUE
Ward,TRUE,TRUE,,,TRUE
Washington,TRUE,TRUE,,,TRUE
Webb,TRUE,TRUE,,,TRUE
Wharton,TRUE,TRUE,,,TRUE
Wheeler,TRUE,TRUE,,,TRUE
Wichita,,,,,TRUE
Wilbarger,,,,,TRUE
Willacy,TRUE,TRUE,,,TRUE
Williamson,TRUE,TRUE,TRUE,,TRUE
Wilson,TRUE,TRUE,TRUE,TRUE,TRUE
Winkler,,,,,
Wise,TRUE,TRUE,,TRUE,TRUE
Wood,TRUE,TRUE,,TRUE,TRUE
Yoakum,,,,,TRUE
Young,TRUE,TRUE,,,TRUE
Zapata,TRUE,TRUE,,,TRUE
Zavala,TRUE,TRUE,,,TRUE
