county,precinct,office,district,candidate,party,votes,early voting,election day
Oldham,Total,U.S House,13,"H. F. ""Rusty"" Tomlinson",GRN,10,,
Oldham,101,Railroad Commissioner,,Wayne Christian,REP,134,20,114
Oldham,103,Railroad Commissioner,,Wayne Christian,REP,85,54,31
Oldham,202,Railroad Commissioner,,Wayne Christian,REP,95,35,60
Oldham,203,Railroad Commissioner,,Wayne Christian,REP,115,66,49
Oldham,303,Railroad Commissioner,,Wayne Christian,REP,163,113,50
Oldham,403,Railroad Commissioner,,Wayne Christian,REP,99,39,60
Oldham,404,Railroad Commissioner,,Wayne Christian,REP,95,26,69
Oldham,Total,Railroad Commissioner,,Wayne Christian,REP,786,,
Oldham,101,Railroad Commissioner,,Grady Yarbrough,DEM,11,0,11
Oldham,103,Railroad Commissioner,,Grady Yarbrough,DEM,6,2,4
Oldham,202,Railroad Commissioner,,Grady Yarbrough,DEM,12,2,10
Oldham,203,Railroad Commissioner,,Grady Yarbrough,DEM,15,8,7
Oldham,303,Railroad Commissioner,,Grady Yarbrough,DEM,20,7,13
Oldham,403,Railroad Commissioner,,Grady Yarbrough,DEM,9,5,4
Oldham,404,Railroad Commissioner,,Grady Yarbrough,DEM,11,1,10
Oldham,Total,Railroad Commissioner,,Grady Yarbrough,DEM,84,,
Oldham,101,Railroad Commissioner,,Mark Miller,LIB,3,0,3
Oldham,103,Railroad Commissioner,,Mark Miller,LIB,3,1,2
Oldham,202,Railroad Commissioner,,Mark Miller,LIB,6,1,5
Oldham,203,Railroad Commissioner,,Mark Miller,LIB,2,1,1
Oldham,303,Railroad Commissioner,,Mark Miller,LIB,11,4,7
Oldham,403,Railroad Commissioner,,Mark Miller,LIB,8,5,3
Oldham,404,Railroad Commissioner,,Mark Miller,LIB,5,1,4
Oldham,Total,Railroad Commissioner,,Mark Miller,LIB,38,,
Oldham,101,Railroad Commissioner,,Martina Salinas,GRN,4,0,4
Oldham,103,Railroad Commissioner,,Martina Salinas,GRN,0,0,0
Oldham,202,Railroad Commissioner,,Martina Salinas,GRN,1,0,1
Oldham,203,Railroad Commissioner,,Martina Salinas,GRN,2,0,0
Oldham,303,Railroad Commissioner,,Martina Salinas,GRN,0,0,0
Oldham,403,Railroad Commissioner,,Martina Salinas,GRN,0,0,0
Oldham,404,Railroad Commissioner,,Martina Salinas,GRN,0,0,0
Oldham,Total,Railroad Commissioner,,Martina Salinas,GRN,7,,
Oldham,101,State Representative,86,John Smithee,REP,144,20,124
Oldham,103,State Representative,86,John Smithee,REP,90,54,36
Oldham,202,State Representative,86,John Smithee,REP,105,34,71
Oldham,203,State Representative,86,John Smithee,REP,128,72,56
Oldham,303,State Representative,86,John Smithee,REP,175,118,57
Oldham,403,State Representative,86,John Smithee,REP,103,40,63
Oldham,404,State Representative,86,John Smithee,REP,98,29,69
Oldham,Total,State Representative,86,John Smithee,REP,843,,
