county,precinct,office,district,candidate,party,votes,early_votes,election_day
Archer,1,Straight Party,,,GRN,3,0,3
Archer,2,Straight Party,,,GRN,0,0,0
Archer,3,Straight Party,,,GRN,0,0,0
Archer,4,Straight Party,,,GRN,0,0,0
Archer,5,Straight Party,,,GRN,0,0,0
Archer,6,Straight Party,,,GRN,1,1,0
Archer,7,Straight Party,,,GRN,2,0,2
Archer,8,Straight Party,,,GRN,0,0,0
Archer,9,Straight Party,,,GRN,0,0,0
Archer,10,Straight Party,,,GRN,0,0,0
Archer,11,Straight Party,,,GRN,0,0,0
Archer,Total,Straight Party,,,GRN,6,1,5
Archer,1,President,,Donald J. Trump / Mike Pence,REP,784,447,337
Archer,2,President,,Donald J. Trump / Mike Pence,REP,585,341,244
Archer,3,President,,Donald J. Trump / Mike Pence,REP,247,64,183
Archer,4,President,,Donald J. Trump / Mike Pence,REP,458,117,341
Archer,5,President,,Donald J. Trump / Mike Pence,REP,105,60,45
Archer,6,President,,Donald J. Trump / Mike Pence,REP,637,402,235
Archer,7,President,,Donald J. Trump / Mike Pence,REP,126,33,93
Archer,8,President,,Donald J. Trump / Mike Pence,REP,217,127,90
Archer,9,President,,Donald J. Trump / Mike Pence,REP,98,47,51
Archer,10,President,,Donald J. Trump / Mike Pence,REP,453,342,111
Archer,11,President,,Donald J. Trump / Mike Pence,REP,76,27,49
Archer,Total,President,,Donald J. Trump / Mike Pence,REP,3786,2007,1779
Archer,1,President,,Hillary Clinton / Tim Kaine,DEM,82,43,39
Archer,2,President,,Hillary Clinton / Tim Kaine,DEM,57,36,21
Archer,3,President,,Hillary Clinton / Tim Kaine,DEM,22,3,19
Archer,4,President,,Hillary Clinton / Tim Kaine,DEM,22,11,11
Archer,5,President,,Hillary Clinton / Tim Kaine,DEM,9,7,2
Archer,6,President,,Hillary Clinton / Tim Kaine,DEM,80,54,26
Archer,7,President,,Hillary Clinton / Tim Kaine,DEM,8,0,8
Archer,8,President,,Hillary Clinton / Tim Kaine,DEM,17,9,8
Archer,9,President,,Hillary Clinton / Tim Kaine,DEM,11,6,5
Archer,10,President,,Hillary Clinton / Tim Kaine,DEM,79,54,25
Archer,11,President,,Hillary Clinton / Tim Kaine,DEM,7,3,4
Archer,Total,President,,Hillary Clinton / Tim Kaine,DEM,394,226,168
Archer,1,President,,Gary Johnson / William Weld,LIB,12,6,6
Archer,2,President,,Gary Johnson / William Weld,LIB,16,7,9
Archer,3,President,,Gary Johnson / William Weld,LIB,3,1,2
Archer,4,President,,Gary Johnson / William Weld,LIB,5,3,2
Archer,5,President,,Gary Johnson / William Weld,LIB,3,2,1
Archer,6,President,,Gary Johnson / William Weld,LIB,19,11,8
Archer,7,President,,Gary Johnson / William Weld,LIB,3,1,2
Archer,8,President,,Gary Johnson / William Weld,LIB,8,5,3
Archer,9,President,,Gary Johnson / William Weld,LIB,2,1,1
Archer,10,President,,Gary Johnson / William Weld,LIB,8,3,5
Archer,11,President,,Gary Johnson / William Weld,LIB,1,1,0
Archer,Total,President,,Gary Johnson / William Weld,LIB,80,41,39
Archer,1,President,,Jill Stein / Ajamu Baraka,GRN,3,0,3
Archer,2,President,,Jill Stein / Ajamu Baraka,GRN,2,1,1
Archer,3,President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Archer,4,President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Archer,5,President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Archer,6,President,,Jill Stein / Ajamu Baraka,GRN,4,2,2
Archer,7,President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Archer,8,President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Archer,9,President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Archer,10,President,,Jill Stein / Ajamu Baraka,GRN,1,0,1
Archer,11,President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Archer,Total,President,,Jill Stein / Ajamu Baraka,GRN,10,3,7
Archer,1,President,,Darrell l castle,,1,1,0
Archer,2,President,,Darrell l castle,,0,0,0
Archer,3,President,,Darrell l castle,,0,0,0
Archer,4,President,,Darrell l castle,,0,0,0
Archer,5,President,,Darrell l castle,,0,0,0
Archer,6,President,,Darrell l castle,,0,0,0
Archer,7,President,,Darrell l castle,,0,0,0
Archer,8,President,,Darrell l castle,,0,0,0
Archer,9,President,,Darrell l castle,,0,0,0
Archer,10,President,,Darrell l castle,,2,0,2
Archer,11,President,,Darrell l castle,,0,0,0
Archer,Total,President,,Darrell l castle,,3,1,2
Archer,1,President,,Michael a maturen,,1,0,1
Archer,2,President,,Michael a maturen,,0,0,0
Archer,3,President,,Michael a maturen,,1,0,1
Archer,4,President,,Michael a maturen,,0,0,0
Archer,5,President,,Michael a maturen,,0,0,0
Archer,6,President,,Michael a maturen,,0,0,0
Archer,7,President,,Michael a maturen,,0,0,0
Archer,8,President,,Michael a maturen,,0,0,0
Archer,9,President,,Michael a maturen,,0,0,0
Archer,10,President,,Michael a maturen,,0,0,0
Archer,11,President,,Michael a maturen,,0,0,0
Archer,Total,President,,Michael a maturen,,2,1,1
Archer,1,President,,Evan mcmullin,,2,2,0
Archer,2,President,,Evan mcmullin,,1,1,0
Archer,3,President,,Evan mcmullin,,0,0,0
Archer,4,President,,Evan mcmullin,,1,1,0
Archer,5,President,,Evan mcmullin,,0,0,0
Archer,6,President,,Evan mcmullin,,2,2,0
Archer,7,President,,Evan mcmullin,,0,0,0
Archer,8,President,,Evan mcmullin,,0,0,0
Archer,9,President,,Evan mcmullin,,0,0,0
Archer,10,President,,Evan mcmullin,,2,1,1
Archer,11,President,,Evan mcmullin,,0,0,0
Archer,Total,President,,Evan mcmullin,,8,7,1
Archer,1,U.S House,13,Mac Thornberry,REP,771,444,327
Archer,2,U.S House,13,Mac Thornberry,REP,587,342,245
Archer,3,U.S House,13,Mac Thornberry,REP,247,61,186
Archer,4,U.S House,13,Mac Thornberry,REP,455,120,335
Archer,5,U.S House,13,Mac Thornberry,REP,107,60,47
Archer,6,U.S House,13,Mac Thornberry,REP,649,410,239
Archer,7,U.S House,13,Mac Thornberry,REP,125,33,92
Archer,8,U.S House,13,Mac Thornberry,REP,216,126,90
Archer,9,U.S House,13,Mac Thornberry,REP,96,46,50
Archer,10,U.S House,13,Mac Thornberry,REP,478,355,123
Archer,11,U.S House,13,Mac Thornberry,REP,77,28,49
Archer,Total,U.S House,13,Mac Thornberry,REP,3808,2025,1783
Archer,1,U.S House,13,Calvin Deweese,LIB,35,14,21
Archer,2,U.S House,13,Calvin Deweese,LIB,28,18,10
Archer,3,U.S House,13,Calvin Deweese,LIB,10,1,9
Archer,4,U.S House,13,Calvin Deweese,LIB,12,3,9
Archer,5,U.S House,13,Calvin Deweese,LIB,4,3,1
Archer,6,U.S House,13,Calvin Deweese,LIB,33,18,15
Archer,7,U.S House,13,Calvin Deweese,LIB,2,1,1
Archer,8,U.S House,13,Calvin Deweese,LIB,19,9,10
Archer,9,U.S House,13,Calvin Deweese,LIB,6,4,2
Archer,10,U.S House,13,Calvin Deweese,LIB,24,15,9
Archer,11,U.S House,13,Calvin Deweese,LIB,0,0,0
Archer,Total,U.S House,13,Calvin Deweese,LIB,173,86,87
Archer,1,U.S House,13,"H.F ""Rusty"" Tomlinson",GRN,24,15,9
Archer,2,U.S House,13,"H.F ""Rusty"" Tomlinson",GRN,9,5,4
Archer,3,U.S House,13,"H.F ""Rusty"" Tomlinson",GRN,4,3,1
Archer,4,U.S House,13,"H.F ""Rusty"" Tomlinson",GRN,3,1,2
Archer,5,U.S House,13,"H.F ""Rusty"" Tomlinson",GRN,1,1,0
Archer,6,U.S House,13,"H.F ""Rusty"" Tomlinson",GRN,27,15,12
Archer,7,U.S House,13,"H.F ""Rusty"" Tomlinson",GRN,1,0,1
Archer,8,U.S House,13,"H.F ""Rusty"" Tomlinson",GRN,2,2,0
Archer,9,U.S House,13,"H.F ""Rusty"" Tomlinson",GRN,3,1,2
Archer,10,U.S House,13,"H.F ""Rusty"" Tomlinson",GRN,24,16,8
Archer,11,U.S House,13,"H.F ""Rusty"" Tomlinson",GRN,3,2,1
Archer,Total,U.S House,13,"H.F ""Rusty"" Tomlinson",GRN,101,61,40
Archer,1,Railroad Commissioner,,Wayne Christian,REP,717,414,303
Archer,2,Railroad Commissioner,,Wayne Christian,REP,564,330,234
Archer,3,Railroad Commissioner,,Wayne Christian,REP,223,60,163
Archer,4,Railroad Commissioner,,Wayne Christian,REP,420,111,309
Archer,5,Railroad Commissioner,,Wayne Christian,REP,95,52,43
Archer,6,Railroad Commissioner,,Wayne Christian,REP,592,377,215
Archer,7,Railroad Commissioner,,Wayne Christian,REP,120,34,86
Archer,8,Railroad Commissioner,,Wayne Christian,REP,204,119,85
Archer,9,Railroad Commissioner,,Wayne Christian,REP,93,42,51
Archer,10,Railroad Commissioner,,Wayne Christian,REP,443,329,114
Archer,11,Railroad Commissioner,,Wayne Christian,REP,73,26,47
Archer,Total,Railroad Commissioner,,Wayne Christian,REP,3544,1894,1650
Archer,1,Railroad Commissioner,,Grady Yarbrough,DEM,105,55,50
Archer,2,Railroad Commissioner,,Grady Yarbrough,DEM,63,40,23
Archer,3,Railroad Commissioner,,Grady Yarbrough,DEM,26,4,22
Archer,4,Railroad Commissioner,,Grady Yarbrough,DEM,35,11,24
Archer,5,Railroad Commissioner,,Grady Yarbrough,DEM,12,8,4
Archer,6,Railroad Commissioner,,Grady Yarbrough,DEM,99,61,38
Archer,7,Railroad Commissioner,,Grady Yarbrough,DEM,13,0,13
Archer,8,Railroad Commissioner,,Grady Yarbrough,DEM,21,13,8
Archer,9,Railroad Commissioner,,Grady Yarbrough,DEM,12,5,7
Archer,10,Railroad Commissioner,,Grady Yarbrough,DEM,82,55,27
Archer,11,Railroad Commissioner,,Grady Yarbrough,DEM,7,3,4
Archer,Total,Railroad Commissioner,,Grady Yarbrough,DEM,475,255,220
Archer,1,Railroad Commissioner,,Mark Miller,LIB,21,14,7
Archer,2,Railroad Commissioner,,Mark Miller,LIB,22,11,11
Archer,3,Railroad Commissioner,,Mark Miller,LIB,6,1,5
Archer,4,Railroad Commissioner,,Mark Miller,LIB,8,3,5
Archer,5,Railroad Commissioner,,Mark Miller,LIB,4,3,1
Archer,6,Railroad Commissioner,,Mark Miller,LIB,22,13,9
Archer,7,Railroad Commissioner,,Mark Miller,LIB,0,0,0
Archer,8,Railroad Commissioner,,Mark Miller,LIB,12,4,8
Archer,9,Railroad Commissioner,,Mark Miller,LIB,2,1,1
Archer,10,Railroad Commissioner,,Mark Miller,LIB,10,9,1
Archer,11,Railroad Commissioner,,Mark Miller,LIB,0,0,0
Archer,Total,Railroad Commissioner,,Mark Miller,LIB,107,59,48
Archer,1,Railroad Commissioner,,Martina Salinas,GRN,11,6,5
Archer,2,Railroad Commissioner,,Martina Salinas,GRN,2,1,1
Archer,3,Railroad Commissioner,,Martina Salinas,GRN,3,0,3
Archer,4,Railroad Commissioner,,Martina Salinas,GRN,2,0,2
Archer,5,Railroad Commissioner,,Martina Salinas,GRN,1,1,0
Archer,6,Railroad Commissioner,,Martina Salinas,GRN,7,3,4
Archer,7,Railroad Commissioner,,Martina Salinas,GRN,1,0,1
Archer,8,Railroad Commissioner,,Martina Salinas,GRN,2,1,1
Archer,9,Railroad Commissioner,,Martina Salinas,GRN,0,0,0
Archer,10,Railroad Commissioner,,Martina Salinas,GRN,5,4,1
Archer,11,Railroad Commissioner,,Martina Salinas,GRN,0,0,0
Archer,Total,Railroad Commissioner,,Martina Salinas,GRN,34,16,18
Archer,1,State Representative,69,James B Frank,REP,781,448,333
Archer,2,State Representative,69,James B Frank,REP,606,356,250
Archer,3,State Representative,69,James B Frank,REP,246,63,183
Archer,4,State Representative,69,James B Frank,REP,447,121,326
Archer,5,State Representative,69,James B Frank,REP,101,57,44
Archer,6,State Representative,69,James B Frank,REP,643,396,247
Archer,7,State Representative,69,James B Frank,REP,123,34,89
Archer,8,State Representative,69,James B Frank,REP,223,132,91
Archer,9,State Representative,69,James B Frank,REP,102,47,55
Archer,10,State Representative,69,James B Frank,REP,488,359,129
Archer,11,State Representative,69,James B Frank,REP,78,29,49
Archer,Total,State Representative,69,James B Frank,REP,3838,2042,1796
