county,precinct,office,district,party,candidate,absentee_votes,early_votes,election_day,votes
Harrison,1,"Justice, Supreme Court, Place 5",,,Tom Oxford,1,16,8,25
Harrison,1,"Justice, Supreme Court, Place 5",,,Charles E. Waterbury,0,8,4,12
Harrison,1,"Justice, Supreme Court, Place 9",,,Eva Guzman,47,720,143,910
Harrison,1,"Justice, Supreme Court, Place 9",,,Savannah Robinson,30,302,87,419
Harrison,1,"Justice, Supreme Court, Place 9",,,Don Fulton,2,16,11,29
Harrison,1,"Justice, Supreme Court, Place 9",,,Jim Chisholm,0,15,4,19
Harrison,1,"Judge, Court of Criminal Appeals, Place 2",,,Mary Lou Keel,49,736,144,929
Harrison,1,"Judge, Court of Criminal Appeals, Place 2",,,"Lawrence ""Larry"" Meyers",30,298,87,415
Harrison,1,"Judge, Court of Criminal Appeals, Place 2",,,Mark Ash,1,16,9,26
Harrison,1,"Judge, Court of Criminal Appeals, Place 2",,,Adam King Blackwell Reposa,0,6,3,9
Harrison,1,"Judge, Court of Criminal Appeals, Place 5",,,Scott Walker,48,729,144,921
Harrison,1,"Judge, Court of Criminal Appeals, Place 5",,,Betsy Johnson,29,303,89,421
Harrison,1,"Judge, Court of Criminal Appeals, Place 5",,,"William Bryan Strange, III",1,18,7,26
Harrison,1,"Judge, Court of Criminal Appeals, Place 5",,,Judith Sanders-Castro,0,8,3,11
Harrison,1,"Judge, Court of Criminal Appeals, Place 6",,,Michael E. Keasler,46,735,146,927
Harrison,1,"Judge, Court of Criminal Appeals, Place 6",,,Robert Burns,33,298,87,418
Harrison,1,"Judge, Court of Criminal Appeals, Place 6",,,Mark W. Bennett,1,27,9,37
Harrison,1,"Member, State Board of Education, District 9",,,Keven M. Ellis,48,741,149,938
Harrison,1,"Member, State Board of Education, District 9",,,Amanda M. Rudolph,31,304,86,421
Harrison,1,"Member, State Board of Education, District 9",,,Anastasia Wilford,0,23,10,33
Harrison,1,State Senate,1,Republican,Bryan Hughes,51,829,188,1068
Harrison,1,State Representative,9,Republican,Chris Paddie,49,837,188,1074
Harrison,1,"Chief Justice, 6th Court of Appeals District",,,Josh Morriss,53,804,182,1039
Harrison,1,"District Judge, 71st Judicial District",,,Brad Morin,54,842,192,1088
Harrison,1,Sheriff,,,Tom McCool,55,840,190,1085
Harrison,1,Tax Assessor-Collector,,,Veronica King,54,850,188,1092
Harrison,1,"County Commissioner, Precinct No. 1",,,William D. Hatfield,55,812,180,1047
Harrison,1,"Constable, Precinct No. 1",,,John C. Hickey Jr,50,756,181,987
Harrison,2,Straight Party,,,Republican Party,9,129,63,201
Harrison,2,Straight Party,,,Democratic Party,55,321,119,495
Harrison,2,Straight Party,,,Libertarian Party,0,2,3,5
Harrison,2,Straight Party,,,Green Party,0,2,0,2
Harrison,2,President and Vice President,,Republican,Donald J. Trump / Mike Pence,14,244,107,365
Harrison,2,President and Vice President,,Democratic,Hillary Clinton / Tim Kaine,72,449,174,695
Harrison,2,President and Vice President,,Libertarian,Gary Johnson / William Weld,0,5,8,13
Harrison,2,President and Vice President,,Green,Jill Stein / Ajamu Baraka,0,4,3,7
Harrison,2,President and Vice President,,,Darrell L. Castle / Scott N. Bradley (W),0,0,0,0
Harrison,2,President and Vice President,,,Scott Cubbler / Michael Rodriguez (W),0,0,0,0
Harrison,2,President and Vice President,,,Cherunda Fox / Roger Kushner (W),0,0,0,0
Harrison,2,President and Vice President,,,Tom Hoefling / Steve Schulin (W),0,0,0,0
Harrison,2,President and Vice President,,,Laurence Kotlikoff / Edward Leamer (W),0,0,0,0
Harrison,2,President and Vice President,,,Jonathan Lee / Jeffrey Erskine (W),0,0,0,0
Harrison,2,President and Vice President,,,Michael A. Maturen / Juan A. Munoz (W),0,0,0,0
Harrison,2,President and Vice President,,,Evan McMullin / Nathan Johnson (W),2,2,5,9
Harrison,2,President and Vice President,,,Monica Moorehead / Lamon Lilly (W),0,0,0,0
Harrison,2,President and Vice President,,,Robert Morrow / Todd Sanders (W),0,0,0,0
Harrison,2,President and Vice President,,,Emidio Soltysik / Angela Walker (W),0,0,0,0
Harrison,2,President and Vice President,,,Dale Steffes / Paul E. Case (W),0,0,0,0
Harrison,2,President and Vice President,,,Tony Valdivia / Aaron Barriere (W),0,0,0,0
Harrison,2,U.S. House,1,Republican,Louie Gohmert,18,244,124,386
Harrison,2,U.S. House,1,Democratic,Shirley J. McKellar,68,439,167,674
Harrison,2,U.S. House,1,Libertarian,Phil Gray,0,4,2,6
Harrison,2,U.S. House,1,,Renee Culler (W),0,0,0,0
Harrison,2,Railroad Commissioner,,Republican,Wayne Christian,15,224,105,344
Harrison,2,Railroad Commissioner,,Democratic,Grady Yarbrough,73,434,169,676
Harrison,2,Railroad Commissioner,,Libertarian,Mark Miller,0,14,11,25
Harrison,2,Railroad Commissioner,,Green,Martina Salinas,0,13,7,20
Harrison,2,"Justice, Supreme Court, Place 3",,,Debra Lehrmann,15,231,112,358
Harrison,2,"Justice, Supreme Court, Place 3",,,Mike Westergren,72,433,168,673
Harrison,2,"Justice, Supreme Court, Place 3",,,Kathie Glass,0,11,6,17
Harrison,2,"Justice, Supreme Court, Place 3",,,Rodolfo Rivera Munoz,0,6,7,13
Harrison,2,"Justice, Supreme Court, Place 5",,,Paul Green,18,233,113,364
Harrison,2,"Justice, Supreme Court, Place 5",,,Dori Contreras Garza,69,431,168,668
Harrison,2,"Justice, Supreme Court, Place 5",,,Tom Oxford,0,9,8,17
Harrison,2,"Justice, Supreme Court, Place 5",,,Charles E. Waterbury,0,6,3,9
Harrison,2,"Justice, Supreme Court, Place 9",,,Eva Guzman,15,221,112,348
Harrison,2,"Justice, Supreme Court, Place 9",,,Savannah Robinson,70,440,170,680
Harrison,2,"Justice, Supreme Court, Place 9",,,Don Fulton,1,11,8,20
Harrison,2,"Justice, Supreme Court, Place 9",,,Jim Chisholm,0,8,2,10
Harrison,2,"Judge, Court of Criminal Appeals, Place 2",,,Mary Lou Keel,15,232,113,360
Harrison,2,"Judge, Court of Criminal Appeals, Place 2",,,"Lawrence ""Larry"" Meyers",72,438,171,681
Harrison,2,"Judge, Court of Criminal Appeals, Place 2",,,Mark Ash,0,9,7,16
Harrison,2,"Judge, Court of Criminal Appeals, Place 2",,,Adam King Blackwell Reposa,0,4,2,6
Harrison,2,"Judge, Court of Criminal Appeals, Place 5",,,Scott Walker,16,231,110,357
Harrison,2,"Judge, Court of Criminal Appeals, Place 5",,,Betsy Johnson,70,438,172,680
Harrison,2,"Judge, Court of Criminal Appeals, Place 5",,,"William Bryan Strange, III",1,6,7,14
Harrison,2,"Judge, Court of Criminal Appeals, Place 5",,,Judith Sanders-Castro,0,7,4,11
Harrison,2,"Judge, Court of Criminal Appeals, Place 6",,,Michael E. Keasler,15,227,112,354
Harrison,2,"Judge, Court of Criminal Appeals, Place 6",,,Robert Burns,72,439,173,684
Harrison,2,"Judge, Court of Criminal Appeals, Place 6",,,Mark W. Bennett,0,17,9,26
Harrison,2,"Member, State Board of Education, District 9",,,Keven M. Ellis,15,226,111,352
Harrison,2,"Member, State Board of Education, District 9",,,Amanda M. Rudolph,71,446,172,689
Harrison,2,"Member, State Board of Education, District 9",,,Anastasia Wilford,0,11,9,20
Harrison,2,State Senate,1,Republican,Bryan Hughes,25,324,150,499
Harrison,2,State Representative,9,Republican,Chris Paddie,23,336,153,512
Harrison,2,"Chief Justice, 6th Court of Appeals District",,,Josh Morriss,23,315,150,488
Harrison,2,"District Judge, 71st Judicial District",,,Brad Morin,25,333,154,512
Harrison,2,Sheriff,,,Tom McCool,25,361,160,546
Harrison,2,Tax Assessor-Collector,,,Veronica King,28,364,161,553
Harrison,2,"Constable, Precinct No. 2",,,Brant Moore,76,514,221,811
Harrison,3,Straight Party,,,Republican Party,11,28,5,44
Harrison,3,Straight Party,,,Democratic Party,70,437,174,681
Harrison,3,Straight Party,,,Libertarian Party,0,1,1,2
Harrison,3,Straight Party,,,Green Party,0,1,1,2
Harrison,3,President and Vice President,,Republican,Donald J. Trump / Mike Pence,13,56,10,79
Harrison,3,President and Vice President,,Democratic,Hillary Clinton / Tim Kaine,91,643,253,987
Harrison,3,President and Vice President,,Libertarian,Gary Johnson / William Weld,0,3,3,6
Harrison,3,President and Vice President,,Green,Jill Stein / Ajamu Baraka,0,2,0,2
Harrison,3,President and Vice President,,,Darrell L. Castle / Scott N. Bradley (W),0,0,0,0
Harrison,3,President and Vice President,,,Scott Cubbler / Michael Rodriguez (W),0,0,0,0
Harrison,3,President and Vice President,,,Cherunda Fox / Roger Kushner (W),0,1,0,1
Harrison,3,President and Vice President,,,Tom Hoefling / Steve Schulin (W),0,0,0,0
Harrison,3,President and Vice President,,,Laurence Kotlikoff / Edward Leamer (W),0,0,0,0
Harrison,3,President and Vice President,,,Jonathan Lee / Jeffrey Erskine (W),0,0,0,0
Harrison,3,President and Vice President,,,Michael A. Maturen / Juan A. Munoz (W),0,0,0,0
Harrison,3,President and Vice President,,,Evan McMullin / Nathan Johnson (W),0,0,0,0
Harrison,3,President and Vice President,,,Monica Moorehead / Lamon Lilly (W),0,0,0,0
Harrison,3,President and Vice President,,,Robert Morrow / Todd Sanders (W),0,0,0,0
Harrison,3,President and Vice President,,,Emidio Soltysik / Angela Walker (W),0,0,0,0
Harrison,3,President and Vice President,,,Dale Steffes / Paul E. Case (W),0,0,0,0
Harrison,3,President and Vice President,,,Tony Valdivia / Aaron Barriere (W),0,0,0,0
Harrison,3,U.S. House,1,Republican,Louie Gohmert,15,74,15,104
Harrison,3,U.S. House,1,Democratic,Shirley J. McKellar,87,597,239,923
Harrison,3,U.S. House,1,Libertarian,Phil Gray,0,9,6,15
Harrison,3,U.S. House,1,,Renee Culler (W),0,0,0,0
Harrison,3,Railroad Commissioner,,Republican,Wayne Christian,13,57,10,80
Harrison,3,Railroad Commissioner,,Democratic,Grady Yarbrough,87,600,236,923
Harrison,3,Railroad Commissioner,,Libertarian,Mark Miller,1,14,6,21
Harrison,3,Railroad Commissioner,,Green,Martina Salinas,0,9,6,15
Harrison,3,"Justice, Supreme Court, Place 3",,,Debra Lehrmann,12,56,13,81
Harrison,3,"Justice, Supreme Court, Place 3",,,Mike Westergren,89,597,234,920
Harrison,3,"Justice, Supreme Court, Place 3",,,Kathie Glass,1,13,6,20
Harrison,3,"Justice, Supreme Court, Place 3",,,Rodolfo Rivera Munoz,0,11,5,16
Harrison,3,"Justice, Supreme Court, Place 5",,,Paul Green,13,58,13,84
Harrison,3,"Justice, Supreme Court, Place 5",,,Dori Contreras Garza,88,603,238,929
Harrison,3,"Justice, Supreme Court, Place 5",,,Tom Oxford,1,13,5,19
Harrison,3,"Justice, Supreme Court, Place 5",,,Charles E. Waterbury,0,4,1,5
Harrison,3,"Justice, Supreme Court, Place 9",,,Eva Guzman,12,60,13,85
Harrison,3,"Justice, Supreme Court, Place 9",,,Savannah Robinson,89,603,236,928
Harrison,3,"Justice, Supreme Court, Place 9",,,Don Fulton,1,12,8,21
Harrison,3,"Justice, Supreme Court, Place 9",,,Jim Chisholm,0,5,1,6
Harrison,3,"Judge, Court of Criminal Appeals, Place 2",,,Mary Lou Keel,14,61,12,87
Harrison,3,"Judge, Court of Criminal Appeals, Place 2",,,"Lawrence ""Larry"" Meyers",85,599,238,922
Harrison,3,"Judge, Court of Criminal Appeals, Place 2",,,Mark Ash,1,11,3,15
Harrison,3,"Judge, Court of Criminal Appeals, Place 2",,,Adam King Blackwell Reposa,0,8,3,11
Harrison,3,"Judge, Court of Criminal Appeals, Place 5",,,Scott Walker,13,53,9,75
Harrison,3,"Judge, Court of Criminal Appeals, Place 5",,,Betsy Johnson,86,609,245,940
Harrison,3,"Judge, Court of Criminal Appeals, Place 5",,,"William Bryan Strange, III",2,9,3,14
Harrison,3,"Judge, Court of Criminal Appeals, Place 5",,,Judith Sanders-Castro,0,7,1,8
Harrison,3,"Judge, Court of Criminal Appeals, Place 6",,,Michael E. Keasler,13,54,10,77
Harrison,3,"Judge, Court of Criminal Appeals, Place 6",,,Robert Burns,87,612,241,940
Harrison,3,"Judge, Court of Criminal Appeals, Place 6",,,Mark W. Bennett,1,10,4,15
Harrison,3,"Member, State Board of Education, District 9",,,Keven M. Ellis,14,54,10,78
Harrison,3,"Member, State Board of Education, District 9",,,Amanda M. Rudolph,87,612,238,937
Harrison,3,"Member, State Board of Education, District 9",,,Anastasia Wilford,0,10,10,20
Harrison,3,State Senate,1,Republican,Bryan Hughes,22,179,74,275
Harrison,3,State Representative,9,Republican,Chris Paddie,21,187,75,283
Harrison,3,"Chief Justice, 6th Court of Appeals District",,,Josh Morriss,21,172,70,263
Harrison,3,"District Judge, 71st Judicial District",,,Brad Morin,22,203,76,301
Harrison,3,Sheriff,,,Tom McCool,26,217,82,325
Harrison,3,Tax Assessor-Collector,,,Veronica King,27,248,87,362
Harrison,3,"Constable, Precinct No. 2",,,Brant Moore,97,628,239,964
Harrison,4,Straight Party,,,Republican Party,13,259,56,328
Harrison,4,Straight Party,,,Democratic Party,21,197,62,280
Harrison,4,Straight Party,,,Libertarian Party,0,1,2,3
Harrison,4,Straight Party,,,Green Party,0,1,0,1
Harrison,4,President and Vice President,,Republican,Donald J. Trump / Mike Pence,24,449,112,585
Harrison,4,President and Vice President,,Democratic,Hillary Clinton / Tim Kaine,33,301,98,432
Harrison,4,President and Vice President,,Libertarian,Gary Johnson / William Weld,0,8,5,13
Harrison,4,President and Vice President,,Green,Jill Stein / Ajamu Baraka,0,4,0,4
Harrison,4,President and Vice President,,,Darrell L. Castle / Scott N. Bradley (W),0,0,0,0
Harrison,4,President and Vice President,,,Scott Cubbler / Michael Rodriguez (W),0,0,0,0
Harrison,4,President and Vice President,,,Cherunda Fox / Roger Kushner (W),0,0,0,0
Harrison,4,President and Vice President,,,Tom Hoefling / Steve Schulin (W),0,0,0,0
Harrison,4,President and Vice President,,,Laurence Kotlikoff / Edward Leamer (W),0,0,0,0
Harrison,4,President and Vice President,,,Jonathan Lee / Jeffrey Erskine (W),0,0,0,0
Harrison,4,President and Vice President,,,Michael A. Maturen / Juan A. Munoz (W),0,0,0,0
Harrison,4,President and Vice President,,,Evan McMullin / Nathan Johnson (W),0,2,0,2
Harrison,4,President and Vice President,,,Monica Moorehead / Lamon Lilly (W),0,0,0,0
Harrison,4,President and Vice President,,,Robert Morrow / Todd Sanders (W),0,0,0,0
Harrison,4,President and Vice President,,,Emidio Soltysik / Angela Walker (W),0,0,0,0
Harrison,4,President and Vice President,,,Dale Steffes / Paul E. Case (W),0,0,0,0
Harrison,4,President and Vice President,,,Tony Valdivia / Aaron Barriere (W),0,0,0,0
Harrison,4,U.S. House,1,Republican,Louie Gohmert,21,455,108,584
Harrison,4,U.S. House,1,Democratic,Shirley J. McKellar,32,290,99,421
Harrison,4,U.S. House,1,Libertarian,Phil Gray,0,11,4,15
Harrison,4,U.S. House,1,,Renee Culler (W),0,1,0,1
Harrison,4,Railroad Commissioner,,Republican,Wayne Christian,20,441,105,566
Harrison,4,Railroad Commissioner,,Democratic,Grady Yarbrough,30,286,93,409
Harrison,4,Railroad Commissioner,,Libertarian,Mark Miller,2,11,8,21
Harrison,4,Railroad Commissioner,,Green,Martina Salinas,1,12,4,17
Harrison,4,"Justice, Supreme Court, Place 3",,,Debra Lehrmann,21,430,108,559
Harrison,4,"Justice, Supreme Court, Place 3",,,Mike Westergren,28,293,87,408
Harrison,4,"Justice, Supreme Court, Place 3",,,Kathie Glass,3,17,9,29
Harrison,4,"Justice, Supreme Court, Place 3",,,Rodolfo Rivera Munoz,0,7,5,12
Harrison,4,"Justice, Supreme Court, Place 5",,,Paul Green,20,442,109,571
Harrison,4,"Justice, Supreme Court, Place 5",,,Dori Contreras Garza,29,294,92,415
Harrison,4,"Justice, Supreme Court, Place 5",,,Tom Oxford,2,9,7,18
Harrison,4,"Justice, Supreme Court, Place 5",,,Charles E. Waterbury,0,3,1,4
Harrison,4,"Justice, Supreme Court, Place 9",,,Eva Guzman,22,428,112,562
Harrison,4,"Justice, Supreme Court, Place 9",,,Savannah Robinson,28,296,89,413
Harrison,4,"Justice, Supreme Court, Place 9",,,Don Fulton,0,12,5,17
Harrison,4,"Justice, Supreme Court, Place 9",,,Jim Chisholm,0,8,3,11
Harrison,4,"Judge, Court of Criminal Appeals, Place 2",,,Mary Lou Keel,20,436,106,562
Harrison,4,"Judge, Court of Criminal Appeals, Place 2",,,"Lawrence ""Larry"" Meyers",30,294,89,413
Harrison,4,"Judge, Court of Criminal Appeals, Place 2",,,Mark Ash,1,15,7,23
Harrison,4,"Judge, Court of Criminal Appeals, Place 2",,,Adam King Blackwell Reposa,0,4,3,7
Harrison,4,"Judge, Court of Criminal Appeals, Place 5",,,Scott Walker,19,432,108,559
Harrison,4,"Judge, Court of Criminal Appeals, Place 5",,,Betsy Johnson,30,302,92,424
Harrison,4,"Judge, Court of Criminal Appeals, Place 5",,,"William Bryan Strange, III",1,8,3,12
Harrison,4,"Judge, Court of Criminal Appeals, Place 5",,,Judith Sanders-Castro,1,6,4,11
Harrison,4,"Judge, Court of Criminal Appeals, Place 6",,,Michael E. Keasler,20,436,108,564
Harrison,4,"Judge, Court of Criminal Appeals, Place 6",,,Robert Burns,31,299,93,423
Harrison,4,"Judge, Court of Criminal Appeals, Place 6",,,Mark W. Bennett,0,10,7,17
Harrison,4,"Member, State Board of Education, District 9",,,Keven M. Ellis,22,434,106,562
Harrison,4,"Member, State Board of Education, District 9",,,Amanda M. Rudolph,31,300,97,428
Harrison,4,"Member, State Board of Education, District 9",,,Anastasia Wilford,1,11,5,17
Harrison,4,State Senate,1,Republican,Bryan Hughes,31,530,145,706
Harrison,4,State Representative,9,Republican,Chris Paddie,31,537,145,713
Harrison,4,"Chief Justice, 6th Court of Appeals District",,,Josh Morriss,31,520,141,692
Harrison,4,"District Judge, 71st Judicial District",,,Brad Morin,33,543,150,726
Harrison,4,Sheriff,,,Tom McCool,35,556,153,744
Harrison,4,Tax Assessor-Collector,,,Veronica King,40,575,155,770
Harrison,4,"Justice of the Peace, Precinct No. 4 - Unexpired Term",,,Nancy Schnorbus George,38,570,158,766
Harrison,4,"Constable, Precinct No. 4",,,Darryl Griffin,32,528,143,703
Harrison,5,Straight Party,,,Republican Party,15,151,84,250
Harrison,5,Straight Party,,,Democratic Party,10,37,30,77
Harrison,5,Straight Party,,,Libertarian Party,0,2,3,5
Harrison,5,Straight Party,,,Green Party,0,0,0,0
Harrison,5,President and Vice President,,Republican,Donald J. Trump / Mike Pence,25,299,179,503
Harrison,5,President and Vice President,,Democratic,Hillary Clinton / Tim Kaine,15,64,52,131
Harrison,5,President and Vice President,,Libertarian,Gary Johnson / William Weld,0,3,10,13
Harrison,5,President and Vice President,,Green,Jill Stein / Ajamu Baraka,0,1,3,4
Harrison,5,President and Vice President,,,Darrell L. Castle / Scott N. Bradley (W),0,0,0,0
Harrison,5,President and Vice President,,,Scott Cubbler / Michael Rodriguez (W),0,0,0,0
Harrison,5,President and Vice President,,,Cherunda Fox / Roger Kushner (W),0,0,0,0
Harrison,5,President and Vice President,,,Tom Hoefling / Steve Schulin (W),0,0,0,0
Harrison,5,President and Vice President,,,Laurence Kotlikoff / Edward Leamer (W),0,0,0,0
Harrison,5,President and Vice President,,,Jonathan Lee / Jeffrey Erskine (W),0,0,0,0
Harrison,5,President and Vice President,,,Michael A. Maturen / Juan A. Munoz (W),0,0,0,0
Harrison,5,President and Vice President,,,Evan McMullin / Nathan Johnson (W),0,0,0,0
Harrison,5,President and Vice President,,,Monica Moorehead / Lamon Lilly (W),0,0,0,0
Harrison,5,President and Vice President,,,Robert Morrow / Todd Sanders (W),0,0,0,0
Harrison,5,President and Vice President,,,Emidio Soltysik / Angela Walker (W),0,0,0,0
Harrison,5,President and Vice President,,,Dale Steffes / Paul E. Case (W),0,0,0,0
Harrison,5,President and Vice President,,,Tony Valdivia / Aaron Barriere (W),0,0,0,0
Harrison,5,U.S. House,1,Republican,Louie Gohmert,26,284,171,481
Harrison,5,U.S. House,1,Democratic,Shirley J. McKellar,14,68,59,141
Harrison,5,U.S. House,1,Libertarian,Phil Gray,0,9,10,19
Harrison,5,U.S. House,1,,Renee Culler (W),0,0,0,0
Harrison,5,Railroad Commissioner,,Republican,Wayne Christian,25,281,161,467
Harrison,5,Railroad Commissioner,,Democratic,Grady Yarbrough,14,66,52,132
Harrison,5,Railroad Commissioner,,Libertarian,Mark Miller,0,11,16,27
Harrison,5,Railroad Commissioner,,Green,Martina Salinas,1,0,5,6
Harrison,5,"Justice, Supreme Court, Place 3",,Republican,Debra Lehrmann,24,283,159,466
Harrison,5,"Justice, Supreme Court, Place 3",,Democratic,Mike Westergren,13,66,58,137
Harrison,5,"Justice, Supreme Court, Place 3",,Libertarian,Kathie Glass,0,9,12,21
Harrison,5,"Justice, Supreme Court, Place 3",,,Rodolfo Rivera Munoz,1,3,4,8
Harrison,5,"Justice, Supreme Court, Place 5",,Republican,Paul Green,23,284,164,471
Harrison,5,"Justice, Supreme Court, Place 5",,Democratic,Dori Contreras Garza,15,58,56,129
Harrison,5,"Justice, Supreme Court, Place 5",,Libertarian,Tom Oxford,0,12,12,24
Harrison,5,"Justice, Supreme Court, Place 5",,,Charles E. Waterbury,0,3,0,3
Harrison,5,"Justice, Supreme Court, Place 9",,,Eva Guzman,22,272,157,451
Harrison,5,"Justice, Supreme Court, Place 9",,,Savannah Robinson,14,64,57,135
Harrison,5,"Justice, Supreme Court, Place 9",,,Don Fulton,0,11,14,25
Harrison,5,"Justice, Supreme Court, Place 9",,,Jim Chisholm,2,7,3,12
Harrison,5,"Judge, Court of Criminal Appeals, Place 2",,,Mary Lou Keel,25,275,156,456
Harrison,5,"Judge, Court of Criminal Appeals, Place 2",,,"Lawrence ""Larry"" Meyers",13,66,57,136
Harrison,5,"Judge, Court of Criminal Appeals, Place 2",,,Mark Ash,0,7,17,24
Harrison,5,"Judge, Court of Criminal Appeals, Place 2",,,Adam King Blackwell Reposa,0,6,0,6
Harrison,5,"Judge, Court of Criminal Appeals, Place 5",,,Scott Walker,23,281,164,468
Harrison,5,"Judge, Court of Criminal Appeals, Place 5",,,Betsy Johnson,15,65,56,136
Harrison,5,"Judge, Court of Criminal Appeals, Place 5",,,"William Bryan Strange, III",0,4,10,14
Harrison,5,"Judge, Court of Criminal Appeals, Place 5",,,Judith Sanders-Castro,0,3,1,4
Harrison,5,"Judge, Court of Criminal Appeals, Place 6",,,Michael E. Keasler,24,271,156,451
Harrison,5,"Judge, Court of Criminal Appeals, Place 6",,,Robert Burns,14,70,58,142
Harrison,5,"Judge, Court of Criminal Appeals, Place 6",,,Mark W. Bennett,0,10,15,25
Harrison,5,"Member, State Board of Education, District 9",,,Keven M. Ellis,22,275,156,453
Harrison,5,"Member, State Board of Education, District 9",,,Amanda M. Rudolph,15,66,59,140
Harrison,5,"Member, State Board of Education, District 9",,,Anastasia Wilford,0,8,13,21
Harrison,5,State Senate,1,Republican,Bryan Hughes,26,300,187,513
Harrison,5,State Representative,9,Republican,Chris Paddie,26,301,189,516
Harrison,5,"Chief Justice, 6th Court of Appeals District",,,Josh Morriss,26,297,189,512
Harrison,5,"District Judge, 71st Judicial District",,,Brad Morin,25,300,194,519
Harrison,5,Sheriff,,,Tom McCool,28,310,191,529
Harrison,5,Tax Assessor-Collector,,,Veronica King,28,310,200,538
Harrison,5,"County Commissioner, Precinct No. 1",,,William D. Hatfield,28,299,187,514
Harrison,5,"Constable, Precinct No. 1",,,John C. Hickey Jr,26,295,190,511
Harrison,5,"Trustee, Place 3 Karnack",,,Lacy D. Warren,9,165,103,277
Harrison,5,"Trustee, Place 3 Karnack",,,Jimmy P. Theodos,5,97,70,172
Harrison,6,Straight Party,,,Republican Party,16,194,147,357
Harrison,6,Straight Party,,,Democratic Party,1,68,36,105
Harrison,6,Straight Party,,,Libertarian Party,0,0,0,0
Harrison,6,Straight Party,,,Green Party,0,1,0,1
Harrison,6,President and Vice President,,Republican,Donald J. Trump / Mike Pence,32,415,318,765
Harrison,6,President and Vice President,,Democratic,Hillary Clinton / Tim Kaine,3,116,63,182
Harrison,6,President and Vice President,,Libertarian,Gary Johnson / William Weld,0,2,7,9
Harrison,6,President and Vice President,,Green,Jill Stein / Ajamu Baraka,0,1,1,2
Harrison,6,President and Vice President,,,Darrell L. Castle / Scott N. Bradley (W),0,0,2,2
Harrison,6,President and Vice President,,,Scott Cubbler / Michael Rodriguez (W),0,0,0,0
Harrison,6,President and Vice President,,,Cherunda Fox / Roger Kushner (W),0,0,0,0
Harrison,6,President and Vice President,,,Tom Hoefling / Steve Schulin (W),0,0,0,0
Harrison,6,President and Vice President,,,Laurence Kotlikoff / Edward Leamer (W),0,0,0,0
Harrison,6,President and Vice President,,,Jonathan Lee / Jeffrey Erskine (W),0,0,0,0
Harrison,6,President and Vice President,,,Michael A. Maturen / Juan A. Munoz (W),0,0,0,0
