counties,desc,desc2,sheet,skip,county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,provisional_counted,mail,absentee,under_votes,over_votes,(other),U.S. Senate,U.S. House,State Senate,State House,Notes
Jackson,NA,,,,,,,,,,,,,,,,,,,,,,,,
Jasper,NA,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Davis,fw259,,,,,,,,,,,,,,,,,,,,,,,,
Jefferson,NA,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hogg,NA,,,,,,,,,,,,,,,,,,,,,,,,
Jim Wells,NA,,,,,,,,,,,,,,,,,,,,,,,,
Johnson,NA,,,,,,,,,,,,,,,,,,,,,,,,
Jones,fw179(ASC),,,,,,,,,,,,,,,,,,,,,,,,
Karnes,NA,,,,,,,,,,,,,,,,,,,,,,,,
Kaufman,NA,,,,,,,,,,,,,,,,,,,,,,,,
Kendall,fw263,,,,,,,,,,,,,,,,,,,,,,,,
Kenedy,NA,,,,,,,,,,,,,,,,,,,,,,,,
Kent,NA,,,,,,,,,,,,,,,,,,,,,,,,
Kerr,NA,,,,,,,,,,,,,,,,,,,,,,,,
Kimble,NA,,,,,,,,,,,,,,,,,,,,,,,,
King,NA,,,,,,,,,,,,,,,,,,,,,,,,
Kinney,NA,,,,,,,,,,,,,,,,,,,,,,,,
Kleberg,NA,,,,,,,,,,,,,,,,,,,,,,,,
Knox,NA,,,,,,,,,,,,,,,,,,,,,,,,
Lamar,NA,,,,,,,,,,,,,,,,,,,,,,,,
Lamb,fw263,,,,,,,,,,,,,,,,,,,,,,,,
Lampasas,fw263,,,,,,,,,,,,,,,,,,,,,,,,
La Salle,NA,,,,,,,,,,,,,,,,,,,,,,,,
Lavaca,fw263,,,,,,,,,,,,,,,,,,,,,,,,
Lee,NA,,,,,,,,,,,,,,,,,,,,,,,,
Leon,fw209(ASC),,,,,,,,,,,,,,,,,,,,,,,,
Liberty,NA,,,,,,,,,,,,,,,,,,,,,,,,
Limestone,fw179,,,,,,,,,,,,,,,,,,,,,,,,
Lipscomb,NA,,,,,,,,,,,,,,,,,,,,,,,,
Live Oak,NA,,,,,,,,,,,,,,,,,,,,,,,,
Llano,NA,,,,,,,,,,,,,,,,,,,,,,,,
Loving,NA,,,,,,,,,,,,,,,,,,,,,,,,
Lubbock,NA,,,,,,,,,,,,,,,,,,,,,,,,
Lynn,NA,,,,,,,,,,,,,,,,,,,,,,,,
McCulloch,NA,,,,,,,,,,,,,,,,,,,,,,,,
McLennan,NA,,,,,,,,,,,,,,,,,,,,,,,,
McMullen,NA,,,,,,,,,,,,,,,,,,,,,,,,
Madison,NA,,,,,,,,,,,,,,,,,,,,,,,,
Marion,NA,,,,,,,,,,,,,,,,,,,,,,,,
Martin,NA,,,,,,,,,,,,,,,,,,,,,,,,
Mason,NA,,,,,,,,,,,,,,,,,,,,,,,,
Matagorda,NA,,,,,,,,,,,,,,,,,,,,,,,,
Maverick,NA,,,,,,,,,,,,,,,,,,,,,,,,
Medina,NA,,,,,,,,,,,,,,,,,,,,,,,,
Menard,NA,,,,,,,,,,,,,,,,,,,,,,,,
Midland,fw263(d)/pdf(r),,,,,,,,,,,,,,,,,,,,,,,,Has a fixed-width-263 file for the Democratic primary but a PDF file for the Republican primary.
Milam,NA,,,,,,,,,,,,,,,,,,,,,,,,
Mills,NA,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell,NA,,,,,,,,,,,,,,,,,,,,,,,,
Montague,fw263,,,,,,,,,,,,,,,,,,,,,,,,
Montgomery,NA,,,,,,,,,,,,,,,,,,,,,,,,
Moore,fw263,,,,,,,,,,,,,,,,,,,,,,,,
Morris,NA,,,,,,,,,,,,,,,,,,,,,,,,
Motley,NA,,,,,,,,,,,,,,,,,,,,,,,,
Nacogdoches,NA,,,,,,,,,,,,,,,,,,,,,,,,
Navarro,NA,,,,,,,,,,,,,,,,,,,,,,,,
Newton,NA,,,,,,,,,,,,,,,,,,,,,,,,
Nolan,fw263,,,,,,,,,,,,,,,,,,,,,,,,
Nueces,NA,,,,,,,,,,,,,,,,,,,,,,,,
Ochiltree,NA,,,,,,,,,,,,,,,,,,,,,,,,
Oldham,fw179,,,,,,,,,,,,,,,,,,,,,,,,
Orange,fw179,,,,,,,,,,,,,,,,,,,,,,,,
Palo Pinto,NA,,,,,,,,,,,,,,,,,,,,,,,,
Panola,NA,,,,,,,,,,,,,,,,,,,,,,,,
