office,district,candidate,incumbent,party,votes,pct
U. S. Representative,12,Kay Granger,True,REP,121208,91.87
U. S. Representative,12,Edward A. Hanson,False,LIB,10723,8.13
U. S. Representative,12,Total,,,131931,
U. S. Representative,13,Mac Thornberry,True,REP,119401,79.27
U. S. Representative,13,Zane Reese,False,DEM,31218,20.73
U. S. Representative,13,Total,,,150619,
U. S. Representative,14,Ron Paul,True,REP,102905,68.09
U. S. Representative,14,Corby Windham,False,DEM,48224,31.91
U. S. Representative,14,Total,,,151129,
U. S. Representative,15,Ruben Hinojosa,True,DEM,66311,100.00
U. S. Representative,15,Total,,,66311,
U. S. Representative,16,Silvestre Reyes,True,DEM,72383,100.00
U. S. Representative,16,Total,,,72383,
U. S. Representative,17,Rob Beckham,False,REP,77622,47.39
U. S. Representative,17,Charlie Stenholm,True,DEM,84136,51.36
U. S. Representative,17,Fred Jones,False,LIB,2046,1.25
U. S. Representative,17,Total,,,163804,
U. S. Representative,18,Phillip J. Abbott,False,REP,27980,21.70
U. S. Representative,18,Sheila Jackson Lee,True,DEM,99161,76.91
U. S. Representative,18,Brent Sullivan,False,LIB,1785,1.38
U. S. Representative,18,Total,,,128926,
U. S. Representative,19,Larry Combest,True,REP,117092,91.64
U. S. Representative,19,Larry Johnson,False,LIB,10684,8.36
U. S. Representative,19,Total,,,127776,
U. S. Representative,20,Charles A. Gonzalez,True,DEM,68685,100.00
U. S. Representative,20,Total,,,68685,
U. S. Representative,21,Lamar Smith,True,REP,161836,72.87
U. S. Representative,21,John Courage,False,DEM,56206,25.31
U. S. Representative,21,DG Roberts,False,LIB,4051,1.82
U. S. Representative,21,Total,,,222093,
U. S. Representative,22,Tom DeLay,True,REP,100499,63.17
U. S. Representative,22,Tim Riley,False,DEM,55716,35.02
U. S. Representative,22,"Gerald W. ""Jerry"" LaFleur",False,LIB,1612,1.01
U. S. Representative,22,Joel West,False,GRN,1257,0.79
U. S. Representative,22,Total,,,159084,
U. S. Representative,23,Henry Bonilla,True,REP,77573,51.53
U. S. Representative,23,Henry Cuellar,False,DEM,71067,47.20
U. S. Representative,23,Jeffrey C. Blunt,False,LIB,1106,0.73
U. S. Representative,23,Ed Scharf,False,GRN,806,0.54
U. S. Representative,23,Total,,,150552,
U. S. Representative,24,Mike Rivera Ortega,False,REP,38332,33.95
U. S. Representative,24,Martin Frost,True,DEM,73002,64.66
U. S. Representative,24,Ken Ashby,False,LIB,1560,1.38
U. S. Representative,24,Total,,,112894,
U. S. Representative,25,Tom Reiser,False,REP,50041,43.09
U. S. Representative,25,Chris Bell,False,DEM,63590,54.76
U. S. Representative,25,Guy McLendon,False,LIB,1096,0.94
U. S. Representative,25,George Reiter,False,GRN,1399,1.20
U. S. Representative,25,Total,,,116126,
U. S. Representative,26,Michael C. Burgess,False,REP,123195,74.81
U. S. Representative,26,Paul William LeBon,False,DEM,37485,22.76
U. S. Representative,26,David Wallace Croft,False,LIB,2367,1.44
U. S. Representative,26,Gary R. Page,False,GRN,1631,0.99
U. S. Representative,26,Total,,,164678,
U. S. Representative,27,Pat Ahumada,False,REP,41004,36.54
U. S. Representative,27,Solomon P. Ortiz,True,DEM,68559,61.10
U. S. Representative,27,Christopher J. Claytor,False,LIB,2646,2.36
U. S. Representative,27,Total,,,112209,
U. S. Representative,28,"Gabriel Perales, Jr.",False,REP,26973,26.86
U. S. Representative,28,Ciro D. Rodriguez,True,DEM,71393,71.09
U. S. Representative,28,"William A. ""Bill"" Stallknecht",False,LIB,2054,2.05
U. S. Representative,28,Total,,,100420,
U. S. Representative,29,Gene Green,True,DEM,55760,95.16
U. S. Representative,29,Paul Hansen,False,LIB,2833,4.84
U. S. Representative,29,Total,,,58593,
U. S. Representative,30,Ron Bush,False,REP,28981,24.19
U. S. Representative,30,Eddie Bernice Johnson,True,DEM,88980,74.26
U. S. Representative,30,Lance Flores,False,LIB,1856,1.55
U. S. Representative,30,Total,,,119817,
U. S. Representative,31,John R. Carter,False,REP,111556,69.08
U. S. Representative,31,David Bagley,False,DEM,44183,27.36
U. S. Representative,31,Clark Simmons,False,LIB,2037,1.26
U. S. Representative,31,John S. Petersen,False,GRN,1992,1.23
U. S. Representative,31,R.C. Crawford,False,IND,1716,1.06
U. S. Representative,31,Total,,,161484,
U. S. Representative,32,Pete Sessions,False,REP,100226,67.77
U. S. Representative,32,Pauline K. Dixon,False,DEM,44886,30.35
U. S. Representative,32,Steve Martin,False,LIB,1582,1.07
U. S. Representative,32,Carla Hubbell,False,GRN,1208,0.82
U. S. Representative,32,Total,,,147902,
Governor,,Rick Perry,True,REP,2632591,57.81
Governor,,Tony Sanchez,False,DEM,1819798,39.96
Governor,,Jeff Daiell,False,LIB,66720,1.47
Governor,,Rahul Mahajan,False,GRN,32187,0.71
Governor,,Elaine Eure Henderson,False,WI,1715,0.04
Governor,,Earl W. (Bill) O'Neil,False,WI,976,0.02
Governor,,Total,,,4553987,
Lieutenant Governor,,David Dewhurst,False,REP,2341875,51.77
Lieutenant Governor,,John Sharp,False,DEM,2082281,46.03
Lieutenant Governor,,Mark David Gessner,False,LIB,54885,1.21
Lieutenant Governor,,Nathalie Paravicini,False,GRN,44386,0.98
Lieutenant Governor,,Total,,,4523427,
Attorney General,,Greg Abbott,False,REP,2542184,56.72
Attorney General,,Kirk Watson,False,DEM,1841359,41.08
Attorney General,,Jon Roland,False,LIB,56880,1.27
Attorney General,,David Keith Cobb,False,GRN,41560,0.93
Attorney General,,Total,,,4481983,
Comptroller of Public Accounts,,Carole Keeton Rylander,True,REP,2878732,64.16
Comptroller of Public Accounts,,Marty Akins,False,DEM,1476976,32.92
Comptroller of Public Accounts,,Bowie Ibarra,False,LIB,53614,1.20
Comptroller of Public Accounts,,Ruben L. Reyes,False,GRN,77177,1.72
Comptroller of Public Accounts,,Total,,,4486499,
Commissioner of the General Land Office,,Jerry Patterson,False,REP,2331700,53.16
Commissioner of the General Land Office,,David Bernsen,False,DEM,1819365,41.48
Commissioner of the General Land Office,,Barbara A. Hernandez,False,LIB,180870,4.12
Commissioner of the General Land Office,,Michael B. McInerney,False,GRN,54130,1.23
Commissioner of the General Land Office,,Total,,,4386065,
Commissioner of Agriculture,,Susan Combs,True,REP,2636129,59.54
Commissioner of Agriculture,,Tom Ramsay,False,DEM,1674372,37.82
Commissioner of Agriculture,,Vincent J. May,False,LIB,52234,1.18
Commissioner of Agriculture,,Jane Woodward Elioseff,False,GRN,64818,1.46
Commissioner of Agriculture,,Total,,,4427553,
Railroad Commissioner,,Michael L. Williams,True,REP,2407036,54.81
Railroad Commissioner,,Sherry Boyles,False,DEM,1821751,41.49
Railroad Commissioner,,Nazirite R. Flores Perez,False,LIB,110160,2.51
Railroad Commissioner,,Charles L. Mauch,False,GRN,52322,1.19
Railroad Commissioner,,Total,,,4391269,
"Chief Justice, Supreme Court",,Tom Phillips,True,REP,2525581,57.66
"Chief Justice, Supreme Court",,Richard G. Baker,False,DEM,1774242,40.51
"Chief Justice, Supreme Court",,Eugene J. Flynn,False,LIB,80185,1.83
"Chief Justice, Supreme Court",,Total,,,4380008,
"Justice, Supreme Court, Place 1",,Mike Schneider,False,REP,2451791,56.10
"Justice, Supreme Court, Place 1",,Linda Yanez,False,DEM,1815581,41.54
"Justice, Supreme Court, Place 1",,Quanah Parker,False,LIB,102926,2.36
"Justice, Supreme Court, Place 1",,Total,,,4370298,
"Justice, Supreme Court, Place 2",,Dale Wainwright,False,REP,2440799,56.35
"Justice, Supreme Court, Place 2",,Jim Parsons,False,DEM,1814354,41.89
"Justice, Supreme Court, Place 2",,Brad Rockwell,False,GRN,76082,1.76
"Justice, Supreme Court, Place 2",,Total,,,4331235,
"Justice, Supreme Court, Place 3  Unexpired Term",,Wallace B. Jefferson,True,REP,2442111,56.76
"Justice, Supreme Court, Place 3  Unexpired Term",,William E. Moody,False,DEM,1860251,43.24
"Justice, Supreme Court, Place 3  Unexpired Term",,Total,,,4302362,
"Justice, Supreme Court, Place 4  Unexpired Term",,Steven Wayne Smith,False,REP,2331140,54.10
"Justice, Supreme Court, Place 4  Unexpired Term",,Margaret Mirabal,False,DEM,1978081,45.90
"Justice, Supreme Court, Place 4  Unexpired Term",,Total,,,4309221,
Judge Court of Criminal Appeals,1,Tom Price,True,REP,2493440,57.66
Judge Court of Criminal Appeals,1,John W. Bull,False,DEM,1692773,39.15
Judge Court of Criminal Appeals,1,Stephan Kinsella,False,LIB,71422,1.65
Judge Court of Criminal Appeals,1,Robert C. (Rob) Owen,False,GRN,66437,1.54
Judge Court of Criminal Appeals,1,Total,,,4324072,
Judge Court of Criminal Appeals,2,Paul Womack,True,REP,2463069,57.39
Judge Court of Criminal Appeals,2,Pat Montgomery,False,DEM,1828431,42.61
Judge Court of Criminal Appeals,2,Total,,,4291500,
Judge Court of Criminal Appeals,3,Cathy Cochran,True,REP,2511958,58.25
Judge Court of Criminal Appeals,3,J.R. Molina,False,DEM,1725065,40.01
Judge Court of Criminal Appeals,3,Ollie Ruth Jefferson,False,GRN,74984,1.74
Judge Court of Criminal Appeals,3,Total,,,4312007,
Member State Board of Education,1,Trini Munoz,False,REP,89604,37.07
Member State Board of Education,1,Rene Nunez,True,DEM,138088,57.13
Member State Board of Education,1,Catherine F. Harrell,False,LIB,14033,5.81
Member State Board of Education,1,Total,,,241725,
Member State Board of Education,2,Mary Helen Berlanga,True,DEM,157038,100.00
Member State Board of Education,2,Total,,,157038,
Member State Board of Education,3,Joe J. Bernal,True,DEM,158442,100.00
Member State Board of Education,3,Total,,,158442,
Member State Board of Education,4,Alma A. Allen,True,DEM,167419,94.11
Member State Board of Education,4,Kurt R. Kessler,False,LIB,10486,5.89
Member State Board of Education,4,Total,,,177905,
Member State Board of Education,5,Dan Montgomery,True,REP,206656,58.93
Member State Board of Education,5,Donna Howard,False,DEM,132740,37.85
Member State Board of Education,5,Irene Meyer Scharf,False,GRN,11292,3.22
Member State Board of Education,5,Total,,,350688,
Member State Board of Education,6,Terri Leo,False,REP,214678,100.00
Member State Board of Education,6,Total,,,214678,
Member State Board of Education,7,David Bradley,True,REP,170661,57.77
Member State Board of Education,7,Richard Hargrove,False,DEM,119680,40.51
Member State Board of Education,7,William J. McNicoll,False,LIB,5063,1.71
Member State Board of Education,7,Total,,,295404,
Member State Board of Education,8,Linda Bauer,False,REP,227276,100.00
Member State Board of Education,8,Total,,,227276,
Member State Board of Education,9,Don McLeroy,True,REP,193454,61.51
Member State Board of Education,9,Dean W. Woodard,False,DEM,111909,35.58
Member State Board of Education,9,Nicole Lightner,False,LIB,9170,2.92
Member State Board of Education,9,Total,,,314533,
Member State Board of Education,10,Cynthia A. Thornton,True,REP,230452,78.30
Member State Board of Education,10,Lesley Nicole Ramsey,False,GRN,63871,21.70
Member State Board of Education,10,Total,,,294323,
Member State Board of Education,11,"Patricia ""Pat"" Hardy",False,REP,260901,100.00
Member State Board of Education,11,Total,,,260901,
Member State Board of Education,12,"Geraldine ""Tincy"" Miller",True,REP,217542,86.37
Member State Board of Education,12,Mark Wilson,False,LIB,34334,13.63
Member State Board of Education,12,Total,,,251876,
Member State Board of Education,13,Mavis Best Knight,False,DEM,170821,100.00
Member State Board of Education,13,Total,,,170821,
Member State Board of Education,14,Gail Lowe,False,REP,235666,100.00
Member State Board of Education,14,Total,,,235666,
Member State Board of Education,15,Bob Craig,False,REP,201702,66.70
Member State Board of Education,15,David Schaeffer,False,DEM,94742,31.33
Member State Board of Education,15,Brent A. Russenberger,False,LIB,5937,1.96
Member State Board of Education,15,Total,,,302381,
State Senator,1,Bill Ratliff,True,REP,113939,68.17
State Senator,1,B.D. Blount,False,DEM,53201,31.83
State Senator,1,Total,,,167140,
State Senator,2,Bob Deuell,False,REP,80075,53.94
State Senator,2,David Cain,True,DEM,66151,44.56
State Senator,2,Robert Parker,False,LIB,2217,1.49
State Senator,2,Total,,,148443,
State Senator,3,Todd Staples,True,REP,119993,88.23
State Senator,3,Michael Carter,False,LIB,16001,11.77
State Senator,3,Total,,,135994,
State Senator,4,Tommy Williams,False,REP,97237,63.53
State Senator,4,Mike Smith,False,DEM,55808,36.47
State Senator,4,Total,,,153045,
State Senator,5,Steve Ogden,True,REP,122119,86.86
State Senator,5,Randall Barfield,False,LIB,18482,13.14
State Senator,5,Total,,,140601,
State Senator,6,"Mario V. Gallegos, Jr.",True,DEM,54130,100.00
State Senator,6,Total,,,54130,
State Senator,7,Jon Lindsay,True,REP,139827,91.31
State Senator,7,Edgar L. Buchanan,False,LIB,13305,8.69
State Senator,7,Total,,,153132,
State Senator,8,Florence Shapiro,True,REP,135927,89.75
State Senator,8,David Spaller,False,LIB,15525,10.25
State Senator,8,Total,,,151452,
State Senator,9,Chris Harris,True,REP,81994,86.56
State Senator,9,David C. Pepperdine,False,LIB,12727,13.44
State Senator,9,Total,,,94721,
State Senator,10,Kim Brimer,False,REP,101511,58.71
State Senator,10,Hal Ray,False,DEM,69038,39.93
State Senator,10,John Paul Robinson,False,LIB,2367,1.37
State Senator,10,Total,,,172916,
State Senator,11,Mike Jackson,True,REP,103204,86.30
State Senator,11,Michael Rubin,False,LIB,16384,13.70
State Senator,11,Total,,,119588,
State Senator,12,Jane Nelson,True,REP,121991,89.83
State Senator,12,Steve Rushton,False,LIB,13818,10.17
State Senator,12,Total,,,135809,
State Senator,13,Rodney Ellis,True,DEM,107897,100.00
State Senator,13,Total,,,107897,
State Senator,14,Ben Bentzin,False,REP,77885,43.12
State Senator,14,Gonzalo Barrientos,True,DEM,95182,52.70
State Senator,14,Marianne Robbins,False,LIB,7537,4.17
State Senator,14,Total,,,180604,
State Senator,15,Michael P. Wolfe,False,REP,41003,39.63
State Senator,15,John Whitmire,True,DEM,62458,60.37
State Senator,15,Total,,,103461,
State Senator,16,John Carona,True,REP,95853,64.07
State Senator,16,Jan Erik Frederiksen,False,DEM,50895,34.02
State Senator,16,Jack Thompson,False,LIB,2857,1.91
State Senator,16,Total,,,149605,
State Senator,17,Kyle Janek,False,REP,88393,61.43
State Senator,17,Ronnie Ellen Harrison,False,DEM,55502,38.57
State Senator,17,Total,,,143895,
State Senator,18,Lester Phipps,False,REP,72296,45.13
State Senator,18,Ken Armbrister,True,DEM,85401,53.31
State Senator,18,Horace Henley,False,LIB,2508,1.57
State Senator,18,Total,,,160205,
State Senator,19,Frank  Madla,True,DEM,76590,100.00
State Senator,19,Total,,,76590,
State Senator,20,"Juan ""Chuy"" Hinojosa",False,DEM,78685,100.00
State Senator,20,Total,,,78685,
State Senator,21,Judith Zaffirini,True,DEM,95644,89.11
State Senator,21,Jeff Carruthers,False,LIB,11688,10.89
State Senator,21,Total,,,107332,
State Senator,22,Kip Averitt,False,REP,106371,67.38
State Senator,22,"Richard (Richie) J. Renschler, Jr.",False,DEM,51506,32.62
State Senator,22,Total,,,157877,
State Senator,23,Royce West,True,DEM,101793,100.00
State Senator,23,Total,,,101793,
State Senator,24,Troy Fraser,True,REP,122355,90.47
State Senator,24,Steve Kirby,False,LIB,12887,9.53
State Senator,24,Total,,,135242,
State Senator,25,Jeff Wentworth,True,REP,136802,66.73
State Senator,25,Joseph (Joe) P. Sullivan,False,DEM,61899,30.20
State Senator,25,Rex Black,False,LIB,6293,3.07
State Senator,25,Total,,,204994,
State Senator,26,Leticia Van De Putte,True,DEM,74163,100.00
State Senator,26,Total,,,74163,
State Senator,27,"Eddie Lucio, Jr.",True,DEM,61382,100.00
State Senator,27,Total,,,61382,
State Senator,28,Robert Duncan,True,REP,119580,91.32
State Senator,28,Jon Ensor,False,LIB,11372,8.68
State Senator,28,Total,,,130952,
State Senator,29,Eliot Shapleigh,True,DEM,73205,100.00
State Senator,29,Total,,,73205,
State Senator,30,Craig Estes,True,REP,109167,67.55
State Senator,30,Donald R. Acheson,False,DEM,48110,29.77
State Senator,30,Diane Wilson,False,LIB,4321,2.67
State Senator,30,Total,,,161598,
State Senator,31,Teel Bivins,True,REP,118938,100.00
State Senator,31,Total,,,118938,
State Representative,1,Dan Teafatiller,False,REP,12615,37.95
State Representative,1,Barry B. Telford,True,DEM,20627,62.05
State Representative,1,Total,,,33242,
State Representative,2,Dan Flynn,False,REP,18872,58.51
State Representative,2,Danny  Duncan,False,DEM,13384,41.49
State Representative,2,Total,,,32256,
State Representative,3,Mark Homer,True,DEM,21153,100.00
State Representative,3,Total,,,21153,
State Representative,4,Betty Brown,True,REP,22313,59.71
State Representative,4,Mike Head,False,DEM,15058,40.29
State Representative,4,Total,,,37371,
State Representative,5,Bryan Hughes,False,REP,20286,52.37
State Representative,5,Bob Glaze,True,DEM,18451,47.63
State Representative,5,Total,,,38737,
State Representative,6,Leo Berman,True,REP,27729,100.00
State Representative,6,Total,,,27729,
State Representative,7,Tommy Merritt,True,REP,26265,100.00
State Representative,7,Total,,,26265,
State Representative,8,Byron Cook,False,REP,17411,55.21
State Representative,8,George M.  Robinson,False,DEM,14126,44.79
State Representative,8,Total,,,31537,
State Representative,9,Wayne Christian,True,REP,17823,54.88
State Representative,9,Robin L. Moore,False,DEM,14651,45.12
State Representative,9,Total,,,32474,
State Representative,10,Jim Pitts,True,REP,28072,100.00
State Representative,10,Total,,,28072,
State Representative,11,Chuck Hopson,True,DEM,21161,100.00
State Representative,11,Total,,,21161,
State Representative,12,Dale Ingle,False,REP,12740,38.85
State Representative,12,Jim McReynolds,True,DEM,20053,61.15
State Representative,12,Total,,,32793,
State Representative,13,Lois W. Kolkhorst,True,REP,24161,100.00
State Representative,13,Total,,,24161,
State Representative,14,Fred Brown,True,REP,20951,87.86
State Representative,14,Bruce W. Rose,False,LIB,2894,12.14
State Representative,14,Total,,,23845,
State Representative,15,Rob Eissler,False,REP,33108,91.01
State Representative,15,Brian Drake,False,LIB,3270,8.99
State Representative,15,Total,,,36378,
State Representative,16,Ruben Hope,True,REP,24514,100.00
State Representative,16,Total,,,24514,
State Representative,17,Jean Killgore,False,REP,16022,41.76
State Representative,17,Robby Cook,True,DEM,21630,56.38
State Representative,17,Darrell R. Grear,False,LIB,715,1.86
State Representative,17,Total,,,38367,
State Representative,18,Eddie Shauberger,False,REP,13013,46.95
State Representative,18,Dan Ellis,True,DEM,14705,53.05
State Representative,18,Total,,,27718,
State Representative,19,"Mike ""Tuffy"" Hamilton",False,REP,15971,55.42
State Representative,19,Paul D. Clayton,False,DEM,12846,44.58
State Representative,19,Total,,,28817,
State Representative,20,Dan Gattis,False,REP,34736,100.00
State Representative,20,Total,,,34736,
State Representative,21,Rife Scott Kimler,False,REP,10032,30.27
State Representative,21,Allan B. Ritter,True,DEM,23108,69.73
State Representative,21,Total,,,33140,
State Representative,22,Joe Deshotel,True,DEM,20218,100.00
State Representative,22,Total,,,20218,
State Representative,23,Craig Eiland,True,DEM,23267,100.00
State Representative,23,Total,,,23267,
State Representative,24,Larry Taylor,False,REP,20673,58.37
State Representative,24,Tony Buzbee,False,DEM,14746,41.63
State Representative,24,Total,,,35419,
State Representative,25,Dennis Bonnen,True,REP,19148,69.03
State Representative,25,Rick Ertell,False,DEM,8592,30.97
State Representative,25,Total,,,27740,
State Representative,26,Charlie Howard,True,REP,26994,100.00
State Representative,26,Total,,,26994,
State Representative,27,Mark A. Rubal,False,REP,12034,37.33
State Representative,27,Dora Olivo,True,DEM,20200,62.67
State Representative,27,Total,,,32234,
State Representative,28,Glenn Hegar,False,REP,25225,100.00
State Representative,28,Total,,,25225,
State Representative,29,Glenda Dawson,False,REP,18728,57.40
State Representative,29,D.R. ,True,DEM,13897,42.60
State Representative,29,Total,,,32625,
State Representative,30,Geanie W. Morrison,True,REP,24205,100.00
State Representative,30,Total,,,24205,
State Representative,31,Ryan Guillen,False,DEM,16665,100.00
State Representative,31,Total,,,16665,
State Representative,32,Gene Seaman,True,REP,18930,53.36
State Representative,32,Josephine W. Miller,False,DEM,16548,46.64
State Representative,32,Total,,,35478,
State Representative,33,Lauro Cuellar,False,REP,9545,33.52
State Representative,33,Vilma Luna,True,DEM,18930,66.48
State Representative,33,Total,,,28475,
State Representative,34,Robert Pate,False,REP,13211,46.21
State Representative,34,Jaime Capelo,True,DEM,15379,53.79
State Representative,34,Total,,,28590,
State Representative,35,Clark Welder,False,REP,15522,47.67
State Representative,35,Gabi Canales,False,DEM,17040,52.33
State Representative,35,Total,,,32562,
State Representative,36,Kino Flores,True,DEM,13606,100.00
State Representative,36,Total,,,13606,
State Representative,37,Rene O. Oliveira,True,DEM,11454,100.00
State Representative,37,Total,,,11454,
State Representative,38,Humberto Zamora,False,REP,6082,32.00
State Representative,38,Jim Solis,True,DEM,12922,68.00
State Representative,38,Total,,,19004,
State Representative,39,Miguel Wise,True,DEM,11498,100.00
State Representative,39,Total,,,11498,
State Representative,40,Aaron Pena,False,DEM,10869,100.00
State Representative,40,Total,,,10869,
State Representative,41,Roberto Gutierrez,True,DEM,10700,100.00
State Representative,41,Total,,,10700,
State Representative,42,Richard Raymond,True,DEM,26961,100.00
State Representative,42,Total,,,26961,
State Representative,43,Ed Cyganiewicz,False,REP,9319,38.41
State Representative,43,Irma Rangel,True,DEM,14940,61.59
State Representative,43,Total,,,24259,
State Representative,44,Edmund Kuempel,True,REP,25532,100.00
State Representative,44,Total,,,25532,
State Representative,45,Rick Green,True,REP,18298,47.94
State Representative,45,Patrick M. Rose,False,DEM,18633,48.82
State Representative,45,John D. Schmidt,False,GRN,1239,3.25
State Representative,45,Total,,,38170,
State Representative,46,Dawnna Dukes,True,DEM,19253,88.29
State Representative,46,Dave Nalle,False,LIB,2553,11.71
State Representative,46,Total,,,21806,
State Representative,47,Terry Keel,True,REP,30001,63.18
State Representative,47,Bill Martin,False,DEM,15524,32.69
State Representative,47,Sarah DuBose,False,GRN,1963,4.13
State Representative,47,Total,,,47488,
State Representative,48,Todd Baxter,False,REP,25309,52.38
State Representative,48,Ann Kitchen,True,DEM,21928,45.38
State Representative,48,Michael Badnarik,False,LIB,1084,2.24
State Representative,48,Total,,,48321,
State Representative,49,Andrew Pacetti,False,REP,9095,23.49
State Representative,49,Elliott Naishtat,True,DEM,27384,70.72
State Representative,49,"Robert ""Rock"" Howard",False,LIB,2242,5.79
State Representative,49,Total,,,38721,
State Representative,50,Jack Stick,False,REP,21699,55.74
State Representative,50,James Sylvester,False,DEM,16029,41.17
State Representative,50,Rob LeGrand,False,LIB,1203,3.09
State Representative,50,Total,,,38931,
State Representative,51,Eddie Rodriguez,False,DEM,14389,82.27
State Representative,51,Marjory Staehle Glowka,False,LIB,1793,10.25
State Representative,51,Darren Scharf,False,GRN,1308,7.48
State Representative,51,Total,,,17490,
State Representative,52,Mike Krusee,True,REP,22433,64.56
State Representative,52,Eric Freeman,False,DEM,10979,31.60
State Representative,52,Lillian Simmons,False,LIB,1336,3.84
State Representative,52,Total,,,34748,
State Representative,53,Harvey Hilderbran,True,REP,31675,90.50
State Representative,53,James E. Harrell,False,LIB,3325,9.50
State Representative,53,Total,,,35000,
State Representative,54,Suzanna Gratia Hupp,True,REP,18812,100.00
State Representative,54,Total,,,18812,
State Representative,55,Dianne White Delisi,True,REP,23280,100.00
State Representative,55,Total,,,23280,
State Representative,56,Holt Getterman,False,REP,18979,48.56
State Representative,56,John Mabry,False,DEM,20104,51.44
State Representative,56,Total,,,39083,
State Representative,57,Jeffrey T. Hibbs,False,REP,11478,39.80
State Representative,57,Jim Dunnam,True,DEM,17358,60.20
State Representative,57,Total,,,28836,
State Representative,58,Arlene Wohlgemuth,True,REP,22023,68.17
State Representative,58,Greg Kauffman,False,DEM,10285,31.83
State Representative,58,Total,,,32308,
State Representative,59,Sid Miller,True,REP,16186,56.75
State Representative,59,David Lengefeld,False,DEM,12337,43.25
State Representative,59,Total,,,28523,
State Representative,60,James L. ,True,REP,28762,91.34
State Representative,60,Joe Swirczynski,False,LIB,2726,8.66
State Representative,60,Total,,,31488,
State Representative,61,Phil King,True,REP,25528,68.99
State Representative,61,Mack Dobbs,False,DEM,11475,31.01
State Representative,61,Total,,,37003,
State Representative,62,Ron Clark,True,REP,22295,64.60
State Representative,62,"D.L. ""Donnie"" Jarvis, Jr.",False,DEM,12217,35.40
State Representative,62,Total,,,34512,
State Representative,63,Mary Denny,True,REP,33951,100.00
State Representative,63,Total,,,33951,
State Representative,64,Myra Crownover,True,REP,23272,86.87
State Representative,64,Robert West,False,LIB,3518,13.13
State Representative,64,Total,,,26790,
State Representative,65,Burt Solomons,True,REP,22263,88.18
State Representative,65,Robert W. Tate,False,LIB,2983,11.82
State Representative,65,Total,,,25246,
State Representative,66,Brian McCall,True,REP,29000,77.62
State Representative,66,Edwin B. Spievack,False,DEM,7485,20.03
State Representative,66,David Koch,False,LIB,877,2.35
State Representative,66,Total,,,37362,
State Representative,67,Jerry Madden,True,REP,19626,69.82
State Representative,67,Anne M. Graham,False,DEM,8485,30.18
State Representative,67,Total,,,28111,
State Representative,68,Rick Hardcastle,True,REP,23750,65.23
State Representative,68,David Counts,True,DEM,12659,34.77
State Representative,68,Total,,,36409,
State Representative,69,David Farabee,True,DEM,20252,100.00
State Representative,69,Total,,,20252,
