county,precinct,office,district,candidate,party,absentee,early_voting,election day,votes
Red River,1,Comptroller of Public Accounts,,Under Votes,,0,1,2,3
Red River,1,Commissioner of the General Land Office,,George P. Bush,,10,28,47,85
Red River,1,Commissioner of the General Land Office,,John Cook,,1,5,4,10
Red River,1,Commissioner of the General Land Office,,Justin Knight,,1,0,2,3
Red River,1,Commissioner of the General Land Office,,Valerie Alessi,,0,0,0,0
Red River,1,Commissioner of the General Land Office,,Over Votes,,0,0,0,0
Red River,1,Commissioner of the General Land Office,,Under Votes,,0,1,1,2
Red River,1,Commissioner of Agriculture,,Sid Miller,,9,27,44,80
Red River,1,Commissioner of Agriculture,,Jim Hogan,,1,6,6,13
Red River,1,Commissioner of Agriculture,,David (Rocky) Palmquist,,1,0,2,3
Red River,1,Commissioner of Agriculture,,Kenneth Kendrick,,0,0,0,0
Red River,1,Commissioner of Agriculture,,Over Votes,,0,0,0,0
Red River,1,Commissioner of Agriculture,,Under Votes,,1,1,2,4
Red River,1,Railroad Commissioner,,Ryan Sitton,,8,26,43,77
Red River,1,Railroad Commissioner,,Steve Brown,,2,6,4,12
Red River,1,Railroad Commissioner,,Mark A. Miller,,1,0,4,5
Red River,1,Railroad Commissioner,,Martina Salinas,,0,0,0,0
Red River,1,Railroad Commissioner,,Over Votes,,0,1,0,1
Red River,1,Railroad Commissioner,,Under Votes,,1,1,3,5
Red River,1,Ballots Cast,,,,,,,100
Red River,1,Ballots Cast,,,,,,,100
Red River,1,State Representative,1,Gary VanDeaver,,10,26,50,86
Red River,1,State Representative,1,Over Votes,,0,0,0,0
Red River,1,State Representative,1,Under Votes,,2,8,4,14
Red River,1,Ballots Cast,,,,,,,100
Red River,2,Ballots Cast,,,,,,,267
Red River,2,Straight Party,,,REP,18,26,28,72
Red River,2,Straight Party,,,DEM,8,18,22,48
Red River,2,Straight Party,,,LIB,0,0,0,0
Red River,2,Straight Party,,,GRN,0,0,0,0
Red River,2,Straight Party,,Over Votes,,0,0,0,0
Red River,2,Straight Party,,Under Votes,,23,58,66,147
Red River,2,U.S. Senate,,John Cornyn,,37,66,67,170
Red River,2,U.S. Senate,,David M. Alameel,,10,25,34,69
Red River,2,U.S. Senate,,Rebecca Paddock,,1,0,0,1
Red River,2,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,0,0,0,0
Red River,2,U.S. Senate,,Over Votes,,0,0,0,0
Red River,2,U.S. Senate,,Under Votes,,1,11,15,27
Red River,2,U.S. House,4,John Ratcliffe,,37,63,67,167
Red River,2,U.S. House,4,Over Votes,,0,0,0,0
Red River,2,U.S. House,4,Under Votes,,12,39,49,100
Red River,2,Governor,,Greg Abbott,,39,74,64,177
Red River,2,Governor,,Wendy R. Davis,,10,22,45,77
Red River,2,Governor,,Kathie Glass,,0,1,2,3
Red River,2,Governor,,Brandon Parmer,,0,0,1,1
Red River,2,Governor,,Over Votes,,0,0,0,0
Red River,2,Governor,,Under Votes,,0,5,4,9
Red River,2,Lieutenant Governor,,Dan Patrick,,39,72,66,177
Red River,2,Lieutenant Governor,,Leticia Van de Putte,,9,23,39,71
Red River,2,Lieutenant Governor,,Robert D. Butler,,0,0,5,5
Red River,2,Lieutenant Governor,,Chandrakantha Courtney,,0,0,0,0
Red River,2,Lieutenant Governor,,Over Votes,,0,0,0,0
Red River,2,Lieutenant Governor,,Under Votes,,1,7,6,14
Red River,2,Ballots Cast,,,,,,,267
Red River,2,Attorney General,,Ken Paxton,,39,67,64,170
Red River,2,Attorney General,,Sam Houston,,9,26,44,79
Red River,2,Attorney General,,Jamie Balagia,,0,0,1,1
Red River,2,Attorney General,,Jamar Osborne,,0,1,0,1
Red River,2,Attorney General,,Over Votes,,0,0,1,1
Red River,2,Attorney General,,Under Votes,,1,8,6,15
Red River,2,Comptroller of Public Accounts,,Glenn Hegar,,37,65,58,160
Red River,2,Comptroller of Public Accounts,,Mike Collier,,9,26,45,80
Red River,2,Comptroller of Public Accounts,,Ben Sanders,,0,3,1,4
Red River,2,Comptroller of Public Accounts,,Deb Shafto,,0,0,0,0
Red River,2,Comptroller of Public Accounts,,Over Votes,,0,0,1,1
Red River,2,Comptroller of Public Accounts,,Under Votes,,3,8,11,22
Red River,2,Commissioner of the General Land Office,,George P. Bush,,37,65,66,168
Red River,2,Commissioner of the General Land Office,,John Cook,,11,26,38,75
Red River,2,Commissioner of the General Land Office,,Justin Knight,,0,3,0,3
Red River,2,Commissioner of the General Land Office,,Valerie Alessi,,0,0,1,1
Red River,2,Commissioner of the General Land Office,,Over Votes,,0,1,1,2
Red River,2,Commissioner of the General Land Office,,Under Votes,,1,7,10,18
Red River,2,Commissioner of Agriculture,,Sid Miller,,36,60,61,157
Red River,2,Commissioner of Agriculture,,Jim Hogan,,11,28,42,81
Red River,2,Commissioner of Agriculture,,David (Rocky) Palmquist,,0,2,1,3
Red River,2,Commissioner of Agriculture,,Kenneth Kendrick,,0,1,0,1
Red River,2,Commissioner of Agriculture,,Over Votes,,0,0,1,1
Red River,2,Commissioner of Agriculture,,Under Votes,,2,11,11,24
Red River,2,Railroad Commissioner,,Ryan Sitton,,35,56,57,148
Red River,2,Railroad Commissioner,,Steve Brown,,11,26,44,81
Red River,2,Railroad Commissioner,,Mark A. Miller,,0,7,4,11
Red River,2,Railroad Commissioner,,Martina Salinas,,0,0,1,1
Red River,2,Railroad Commissioner,,Over Votes,,0,0,1,1
Red River,2,Railroad Commissioner,,Under Votes,,3,13,9,25
Red River,2,Ballots Cast,,,,,,,267
Red River,2,Ballots Cast,,,,,,,267
Red River,2,State Representative,1,Gary VanDeaver,,41,73,87,201
Red River,2,State Representative,1,Over Votes,,0,0,0,0
Red River,2,State Representative,1,Under Votes,,8,29,29,66
Red River,2,Ballots Cast,,,,,,,267
Red River,2,Ballots Cast,,,,,,,267
Red River,3,Ballots Cast,,,,,,,362
Red River,3,Straight Party,,,REP,19,26,37,82
Red River,3,Straight Party,,,DEM,14,18,74,106
Red River,3,Straight Party,,,LIB,0,0,0,0
Red River,3,Straight Party,,,GRN,0,0,0,0
Red River,3,Straight Party,,Over Votes,,0,0,0,0
Red River,3,Straight Party,,Under Votes,,29,69,76,174
Red River,3,U.S. Senate,,John Cornyn,,34,67,78,179
Red River,3,U.S. Senate,,David M. Alameel,,21,27,92,140
Red River,3,U.S. Senate,,Rebecca Paddock,,2,4,2,8
Red River,3,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,0,3,0,3
Red River,3,U.S. Senate,,Over Votes,,0,1,0,1
Red River,3,U.S. Senate,,Under Votes,,5,11,15,31
Red River,3,U.S. House,4,John Ratcliffe,,36,73,82,191
Red River,3,U.S. House,4,Over Votes,,0,0,0,0
Red River,3,U.S. House,4,Under Votes,,26,40,105,171
Red River,3,Governor,,Greg Abbott,,36,72,75,183
Red River,3,Governor,,Wendy R. Davis,,22,37,106,165
Red River,3,Governor,,Kathie Glass,,1,0,1,2
Red River,3,Governor,,Brandon Parmer,,1,1,1,3
Red River,3,Governor,,Over Votes,,0,0,2,2
Red River,3,Governor,,Under Votes,,2,3,2,7
Red River,3,Lieutenant Governor,,Dan Patrick,,37,72,75,184
Red River,3,Lieutenant Governor,,Leticia Van de Putte,,20,35,100,155
Red River,3,Lieutenant Governor,,Robert D. Butler,,2,2,6,10
Red River,3,Lieutenant Governor,,Chandrakantha Courtney,,0,0,1,1
Red River,3,Lieutenant Governor,,Over Votes,,0,0,0,0
Red River,3,Lieutenant Governor,,Under Votes,,3,4,5,12
Red River,3,Ballots Cast,,,,,,,362
Red River,3,Attorney General,,Ken Paxton,,35,70,71,176
Red River,3,Attorney General,,Sam Houston,,22,29,105,156
Red River,3,Attorney General,,Jamie Balagia,,1,4,3,8
Red River,3,Attorney General,,Jamar Osborne,,0,0,1,1
Red River,3,Attorney General,,Over Votes,,0,2,0,2
Red River,3,Attorney General,,Under Votes,,4,8,7,19
Red River,3,Comptroller of Public Accounts,,Glenn Hegar,,34,69,69,172
Red River,3,Comptroller of Public Accounts,,Mike Collier,,22,31,105,158
Red River,3,Comptroller of Public Accounts,,Ben Sanders,,1,3,5,9
Red River,3,Comptroller of Public Accounts,,Deb Shafto,,1,1,0,2
Red River,3,Comptroller of Public Accounts,,Over Votes,,0,0,0,0
Red River,3,Comptroller of Public Accounts,,Under Votes,,4,9,8,21
Red River,3,Commissioner of the General Land Office,,George P. Bush,,38,70,69,177
Red River,3,Commissioner of the General Land Office,,John Cook,,19,29,104,152
Red River,3,Commissioner of the General Land Office,,Justin Knight,,2,2,5,9
Red River,3,Commissioner of the General Land Office,,Valerie Alessi,,0,4,0,4
Red River,3,Commissioner of the General Land Office,,Over Votes,,0,0,0,0
Red River,3,Commissioner of the General Land Office,,Under Votes,,3,8,9,20
Red River,3,Commissioner of Agriculture,,Sid Miller,,33,67,69,169
Red River,3,Commissioner of Agriculture,,Jim Hogan,,22,30,105,157
Red River,3,Commissioner of Agriculture,,David (Rocky) Palmquist,,1,3,2,6
Red River,3,Commissioner of Agriculture,,Kenneth Kendrick,,1,2,2,5
Red River,3,Commissioner of Agriculture,,Over Votes,,0,0,0,0
Red River,3,Commissioner of Agriculture,,Under Votes,,5,11,9,25
Red River,3,Railroad Commissioner,,Ryan Sitton,,30,62,65,157
Red River,3,Railroad Commissioner,,Steve Brown,,22,31,105,158
Red River,3,Railroad Commissioner,,Mark A. Miller,,3,2,4,9
Red River,3,Railroad Commissioner,,Martina Salinas,,2,3,0,5
Red River,3,Railroad Commissioner,,Over Votes,,0,1,0,1
Red River,3,Railroad Commissioner,,Under Votes,,5,14,13,32
Red River,3,Ballots Cast,,,,,,,362
Red River,3,Ballots Cast,,,,,,,362
Red River,3,State Representative,1,Gary VanDeaver,,43,83,100,226
Red River,3,State Representative,1,Over Votes,,0,0,0,0
Red River,3,State Representative,1,Under Votes,,19,30,87,136
Red River,3,Ballots Cast,,,,,,,362
Red River,4,Straight Party,,,REP,20,38,44,102
Red River,4,Straight Party,,,DEM,10,13,43,66
Red River,4,Straight Party,,,LIB,0,0,0,0
Red River,4,Straight Party,,,GRN,0,0,0,0
Red River,4,Straight Party,,Over Votes,,0,0,0,0
Red River,4,Straight Party,,Under Votes,,30,53,76,159
Red River,4,U.S. Senate,,John Cornyn,,37,74,95,206
Red River,4,U.S. Senate,,David M. Alameel,,16,22,56,94
Red River,4,U.S. Senate,,Rebecca Paddock,,1,2,5,8
Red River,4,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,0,0,1,1
Red River,4,U.S. Senate,,Over Votes,,0,0,0,0
Red River,4,U.S. Senate,,Under Votes,,6,6,6,18
Red River,4,U.S. House,4,John Ratcliffe,,43,79,110,232
Red River,4,U.S. House,4,Over Votes,,0,0,0,0
Red River,4,U.S. House,4,Under Votes,,17,25,53,95
Red River,4,Governor,,Greg Abbott,,39,72,98,209
Red River,4,Governor,,Wendy R. Davis,,19,29,63,111
Red River,4,Governor,,Kathie Glass,,0,3,1,4
Red River,4,Governor,,Brandon Parmer,,0,0,0,0
Red River,4,Governor,,Over Votes,,0,0,1,1
Red River,4,Governor,,Under Votes,,2,0,0,2
Red River,4,Lieutenant Governor,,Dan Patrick,,40,74,92,206
Red River,4,Lieutenant Governor,,Leticia Van de Putte,,17,27,59,103
Red River,4,Lieutenant Governor,,Robert D. Butler,,0,2,7,9
Red River,4,Lieutenant Governor,,Chandrakantha Courtney,,0,0,1,1
Red River,4,Lieutenant Governor,,Over Votes,,0,0,1,1
Red River,4,Lieutenant Governor,,Under Votes,,3,1,3,7
Red River,4,Ballots Cast,,,,,,,327
Red River,4,Attorney General,,Ken Paxton,,40,76,98,214
Red River,4,Attorney General,,Sam Houston,,16,26,61,103
Red River,4,Attorney General,,Jamie Balagia,,0,1,1,2
Red River,4,Attorney General,,Jamar Osborne,,0,0,0,0
Red River,4,Attorney General,,Over Votes,,0,0,0,0
Red River,4,Attorney General,,Under Votes,,4,1,3,8
Red River,4,Comptroller of Public Accounts,,Glenn Hegar,,38,67,89,194
Red River,4,Comptroller of Public Accounts,,Mike Collier,,17,27,68,112
Red River,4,Comptroller of Public Accounts,,Ben Sanders,,0,3,3,6
Red River,4,Comptroller of Public Accounts,,Deb Shafto,,0,0,0,0
Red River,4,Comptroller of Public Accounts,,Over Votes,,0,0,0,0
Red River,4,Comptroller of Public Accounts,,Under Votes,,5,7,3,15
Red River,4,Commissioner of Agriculture,,Sid Miller,,36,73,89,198
Red River,4,Commissioner of Agriculture,,Jim Hogan,,20,24,64,108
Red River,4,Commissioner of Agriculture,,David (Rocky) Palmquist,,0,1,5,6
Red River,4,Commissioner of Agriculture,,Kenneth Kendrick,,0,1,2,3
Red River,4,Commissioner of Agriculture,,Over Votes,,0,0,0,0
Red River,4,Commissioner of Agriculture,,Under Votes,,4,5,3,12
Red River,4,Railroad Commissioner,,Ryan Sitton,,35,71,91,197
Red River,4,Railroad Commissioner,,Steve Brown,,19,24,65,108
Red River,4,Railroad Commissioner,,Mark A. Miller,,0,3,4,7
Red River,4,Railroad Commissioner,,Martina Salinas,,0,0,0,0
Red River,4,Railroad Commissioner,,Over Votes,,0,0,0,0
Red River,4,Railroad Commissioner,,Under Votes,,6,6,3,15
Red River,4,Ballots Cast,,,,,,,327
Red River,4,Ballots Cast,,,,,,,327
Red River,4,State Representative,1,Gary VanDeaver,,47,82,115,244
Red River,4,State Representative,1,Over Votes,,0,0,0,0
Red River,4,State Representative,1,Under Votes,,13,22,48,83
Red River,4,Ballots Cast,,,,,,,327
Red River,5,Ballots Cast,,,,,,,311
Red River,5,Straight Party,,,REP,13,15,94,122
Red River,5,Straight Party,,,DEM,3,4,11,18
Red River,5,Straight Party,,,LIB,0,0,0,0
Red River,5,Straight Party,,,GRN,0,0,0,0
Red River,5,Straight Party,,Over Votes,,0,0,0,0
Red River,5,Straight Party,,Under Votes,,18,20,133,171
Red River,5,U.S. Senate,,John Cornyn,,26,29,200,255
Red River,5,U.S. Senate,,David M. Alameel,,7,7,22,36
Red River,5,U.S. Senate,,Rebecca Paddock,,0,0,7,7
Red River,5,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,1,0,1,2
Red River,5,U.S. Senate,,Over Votes,,0,0,0,0
Red River,5,U.S. Senate,,Under Votes,,0,3,8,11
Red River,5,State Representative,4,John Ratcliffe,,29,27,205,261
Red River,5,State Representative,4,Over Votes,,0,0,0,0
Red River,5,State Representative,4,Under Votes,,5,12,33,50
Red River,5,Governor,,Greg Abbott,,24,29,194,247
Red River,5,Governor,,Wendy R. Davis,,9,9,36,54
Red River,5,Governor,,Kathie Glass,,1,0,0,1
Red River,5,Governor,,Brandon Parmer,,0,0,4,4
Red River,5,Governor,,Over Votes,,0,0,0,0
Red River,5,Governor,,Under Votes,,0,1,4,5
Red River,5,Lieutenant Governor,,Dan Patrick,,24,29,196,249
Red River,5,Lieutenant Governor,,Leticia Van de Putte,,8,9,34,51
Red River,5,Lieutenant Governor,,Robert D. Butler,,2,0,3,5
Red River,5,Lieutenant Governor,,Chandrakantha Courtney,,0,0,0,0
Red River,5,Lieutenant Governor,,Over Votes,,0,0,0,0
Red River,5,Lieutenant Governor,,Under Votes,,0,1,5,6
Red River,5,Ballots Cast,,,,,,,311
Red River,5,Attorney General,,Ken Paxton,,23,29,194,246
Red River,5,Attorney General,,Sam Houston,,8,8,35,51
Red River,5,Attorney General,,Jamie Balagia,,2,0,3,5
Red River,5,Attorney General,,Jamar Osborne,,1,0,0,1
Red River,5,Attorney General,,Over Votes,,0,0,0,0
Red River,5,Attorney General,,Under Votes,,0,2,6,8
Red River,5,Comptroller of Public Accounts,,Glenn Hegar,,19,28,185,232
Red River,5,Comptroller of Public Accounts,,Mike Collier,,10,7,32,49
Red River,5,Comptroller of Public Accounts,,Ben Sanders,,1,1,6,8
Red River,5,Comptroller of Public Accounts,,Deb Shafto,,2,0,0,2
Red River,5,Comptroller of Public Accounts,,Over Votes,,0,1,0,1
Red River,5,Comptroller of Public Accounts,,Under Votes,,2,2,15,19
Red River,5,Commissioner of the General Land Office,,George P. Bush,,24,31,201,256
Red River,5,Commissioner of the General Land Office,,John Cook,,7,7,25,39
Red River,5,Commissioner of the General Land Office,,Justin Knight,,1,0,3,4
Red River,5,Commissioner of the General Land Office,,Valerie Alessi,,0,0,2,2
Red River,5,Commissioner of the General Land Office,,Over Votes,,0,0,0,0
Red River,5,Commissioner of the General Land Office,,Under Votes,,2,1,7,10
Red River,5,Commissioner of Agriculture,,Sid Miller,,19,27,189,235
Red River,5,Commissioner of Agriculture,,Jim Hogan,,10,8,31,49
Red River,5,Commissioner of Agriculture,,David (Rocky) Palmquist,,1,0,3,4
Red River,5,Commissioner of Agriculture,,Kenneth Kendrick,,1,0,0,1
Red River,5,Commissioner of Agriculture,,Over Votes,,0,0,0,0
Red River,5,Commissioner of Agriculture,,Under Votes,,3,4,15,22
Red River,5,Railroad Commissioner,,Ryan Sitton,,19,27,188,234
Red River,5,Railroad Commissioner,,Steve Brown,,8,8,25,41
Red River,5,Railroad Commissioner,,Mark A. Miller,,2,0,11,13
Red River,5,Railroad Commissioner,,Martina Salinas,,1,0,1,2
Red River,5,Railroad Commissioner,,Over Votes,,0,0,0,0
Red River,5,Railroad Commissioner,,Under Votes,,4,4,13,21
Red River,5,Ballots Cast,,,,,,,311
Red River,5,Ballots Cast,,,,,,,311
Red River,5,State Representative,1,Gary VanDeaver,,30,29,200,259
Red River,5,State Representative,1,Over Votes,,0,0,0,0
Red River,5,State Representative,1,Under Votes,,4,10,38,52
Red River,5,Ballots Cast,,,,,,,311
Red River,7,Ballots Cast,,,,,,,85
Red River,7,Straight Party,,,REP,5,5,25,35
Red River,7,Straight Party,,,DEM,1,2,4,7
Red River,7,Straight Party,,,LIB,0,0,0,0
Red River,7,Straight Party,,,GRN,0,0,0,0
Red River,7,Straight Party,,Over Votes,,1,0,0,1
Red River,7,Straight Party,,Under Votes,,6,6,30,42
Red River,7,U.S. Senate,,John Cornyn,,10,10,48,68
Red River,7,U.S. Senate,,David M. Alameel,,3,2,7,12
Red River,7,U.S. Senate,,Rebecca Paddock,,0,0,1,1
Red River,7,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,0,0,0,0
Red River,7,U.S. Senate,,Over Votes,,0,0,0,0
Red River,7,U.S. Senate,,Under Votes,,0,1,3,4
Red River,7,U.S. House,4,John Ratcliffe,,12,10,48,70
Red River,7,U.S. House,4,Over Votes,,0,0,0,0
Red River,7,U.S. House,4,Under Votes,,1,3,11,15
Red River,7,Governor,,Greg Abbott,,7,11,48,66
Red River,7,Governor,,Wendy R. Davis,,5,2,8,15
Red River,7,Governor,,Kathie Glass,,0,0,0,0
Red River,7,Governor,,Brandon Parmer,,0,0,0,0
Red River,7,Governor,,Over Votes,,1,0,0,1
Red River,7,Governor,,Under Votes,,0,0,3,3
Red River,7,Lieutenant Governor,,Dan Patrick,,9,11,46,66
Red River,7,Lieutenant Governor,,Leticia Van de Putte,,3,2,8,13
Red River,7,Lieutenant Governor,,Robert D. Butler,,0,0,1,1
Red River,7,Lieutenant Governor,,Chandrakantha Courtney,,0,0,0,0
Red River,7,Lieutenant Governor,,Over Votes,,0,0,0,0
Red River,7,Lieutenant Governor,,Under Votes,,1,0,4,5
Red River,7,Ballots Cast,,,,,,,85
Red River,7,Attorney General,,Ken Paxton,,9,11,45,65
Red River,7,Attorney General,,Sam Houston,,4,2,7,13
Red River,7,Attorney General,,Jamie Balagia,,0,0,2,2
Red River,7,Attorney General,,Jamar Osborne,,0,0,0,0
Red River,7,Attorney General,,Over Votes,,0,0,0,0
Red River,7,Attorney General,,Under Votes,,0,0,5,5
Red River,7,Comptroller of Public Accounts,,Glenn Hegar,,10,9,45,64
Red River,7,Comptroller of Public Accounts,,Mike Collier,,3,3,9,15
Red River,7,Comptroller of Public Accounts,,Ben Sanders,,0,1,1,2
Red River,7,Comptroller of Public Accounts,,Deb Shafto,,0,0,0,0
Red River,7,Comptroller of Public Accounts,,Over Votes,,0,0,0,0
Red River,7,Comptroller of Public Accounts,,Under Votes,,0,0,4,4
Red River,7,Commissioner of the General Land Office,,George P. Bush,,9,9,47,65
Red River,7,Commissioner of the General Land Office,,John Cook,,4,2,9,15
Red River,7,Commissioner of the General Land Office,,Justin Knight,,0,1,2,3
Red River,7,Commissioner of the General Land Office,,Valerie Alessi,,0,0,0,0
Red River,7,Commissioner of the General Land Office,,Over Votes,,0,1,0,1
Red River,7,Commissioner of the General Land Office,,Under Votes,,0,0,1,1
Red River,7,Commissioner of Agriculture,,Sid Miller,,9,10,46,65
Red River,7,Commissioner of Agriculture,,Jim Hogan,,4,3,11,18
Red River,7,Commissioner of Agriculture,,David (Rocky) Palmquist,,0,0,0,0
Red River,7,Commissioner of Agriculture,,Kenneth Kendrick,,0,0,0,0
Red River,7,Commissioner of Agriculture,,Over Votes,,0,0,0,0
Red River,7,Commissioner of Agriculture,,Under Votes,,0,0,2,2
Red River,7,Railroad Commissioner,,Ryan Sitton,,9,9,45,63
Red River,7,Railroad Commissioner,,Steve Brown,,4,3,6,13
Red River,7,Railroad Commissioner,,Mark A. Miller,,0,1,3,4
Red River,7,Railroad Commissioner,,Martina Salinas,,0,0,0,0
Red River,7,Railroad Commissioner,,Over Votes,,0,0,0,0
Red River,7,Railroad Commissioner,,Under Votes,,0,0,5,5
Red River,7,Ballots Cast,,,,,,,85
Red River,7,Ballots Cast,,,,,,,85
Red River,7,State Representative,1,Gary VanDeaver,,11,11,48,70
Red River,7,State Representative,1,Over Votes,,0,0,0,0
Red River,7,State Representative,1,Under Votes,,2,2,11,15
Red River,7,Ballots Cast,,,,,,,85
Red River,9,Ballots Cast,,,,,,,106
Red River,9,Straight Party,,,REP,3,8,28,39
Red River,9,Straight Party,,,DEM,0,0,2,2
Red River,9,Straight Party,,,LIB,0,0,0,0
Red River,9,Straight Party,,,GRN,0,0,0,0
Red River,9,Straight Party,,Over Votes,,0,0,0,0
Red River,9,Straight Party,,Under Votes,,8,9,48,65
Red River,9,U.S. Senate,,John Cornyn,,7,14,63,84
Red River,9,U.S. Senate,,David M. Alameel,,3,1,6,10
Red River,9,U.S. Senate,,Rebecca Paddock,,0,0,2,2
Red River,9,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,0,0,0,0
Red River,9,U.S. Senate,,Over Votes,,0,0,0,0
Red River,9,U.S. Senate,,Under Votes,,1,2,7,10
Red River,9,U.S. House,4,John Ratcliffe,,10,15,63,88
Red River,9,U.S. House,4,Over Votes,,0,0,0,0
Red River,9,U.S. House,4,Under Votes,,1,2,15,18
Red River,9,Governor,,Greg Abbott,,7,15,67,89
Red River,9,Governor,,Wendy R. Davis,,3,1,9,13
Red River,9,Governor,,Kathie Glass,,1,0,0,1
Red River,9,Governor,,Brandon Parmer,,0,0,2,2
Red River,9,Governor,,Over Votes,,0,0,0,0
Red River,9,Governor,,Under Votes,,0,1,0,1
Red River,9,Lieutenant Governor,,Dan Patrick,,9,16,65,90
Red River,9,Lieutenant Governor,,Leticia Van de Putte,,2,1,9,12
Red River,9,Lieutenant Governor,,Robert D. Butler,,0,0,0,0
Red River,9,Lieutenant Governor,,Chandrakantha Courtney,,0,0,0,0
Red River,9,Lieutenant Governor,,Over Votes,,0,0,0,0
Red River,9,Lieutenant Governor,,Under Votes,,0,0,4,4
Red River,9,Ballots Cast,,,,,,,106
Red River,9,Attorney General,,Ken Paxton,,7,16,64,87
Red River,9,Attorney General,,Sam Houston,,3,1,7,11
Red River,9,Attorney General,,Jamie Balagia,,0,0,1,1
Red River,9,Attorney General,,Jamar Osborne,,0,0,0,0
Red River,9,Attorney General,,Over Votes,,0,0,0,0
Red River,9,Attorney General,,Under Votes,,1,0,6,7
Red River,9,Comptroller of Public Accounts,,Glenn Hegar,,7,15,63,85
Red River,9,Comptroller of Public Accounts,,Mike Collier,,3,1,9,13
Red River,9,Comptroller of Public Accounts,,Ben Sanders,,0,0,0,0
Red River,9,Comptroller of Public Accounts,,Deb Shafto,,0,0,0,0
Red River,9,Comptroller of Public Accounts,,Over Votes,,0,0,0,0
Red River,9,Comptroller of Public Accounts,,Under Votes,,1,1,6,8
Red River,9,Commissioner of the General Land Office,,George P. Bush,,9,16,63,88
Red River,9,Commissioner of the General Land Office,,John Cook,,2,1,12,15
Red River,9,Commissioner of the General Land Office,,Justin Knight,,0,0,0,0
Red River,9,Commissioner of the General Land Office,,Valerie Alessi,,0,0,0,0
Red River,9,Commissioner of the General Land Office,,Over Votes,,0,0,0,0
Red River,9,Commissioner of the General Land Office,,Under Votes,,0,0,3,3
Red River,9,Commissioner of Agriculture,,Sid Miller,,8,16,61,85
Red River,9,Commissioner of Agriculture,,Jim Hogan,,2,1,10,13
Red River,9,Commissioner of Agriculture,,David (Rocky) Palmquist,,0,0,0,0
Red River,9,Commissioner of Agriculture,,Kenneth Kendrick,,0,0,1,1
Red River,9,Commissioner of Agriculture,,Over Votes,,0,0,0,0
Red River,9,Commissioner of Agriculture,,Under Votes,,1,0,6,7
Red River,9,Railroad Commissioner,,Ryan Sitton,,7,15,60,82
Red River,9,Railroad Commissioner,,Steve Brown,,3,1,11,15
Red River,9,Railroad Commissioner,,Mark A. Miller,,0,0,0,0
Red River,9,Railroad Commissioner,,Martina Salinas,,0,0,0,0
