county,precinct,office,district,party,candidate,votes,,,,,,,,,,
Nacogdoches,27,Straight Party,,,Republican,7,,,,,,,,,,
Nacogdoches,30/31/32,Straight Party,,,Republican,380,,,,,,,,,,
Nacogdoches,33/34,Straight Party,,,Republican,970,,,,,,,,,,
Nacogdoches,41/43,Straight Party,,,Republican,395,,,,,,,,,,
Nacogdoches,42,Straight Party,,,Republican,232,,,,,,,,,,
Nacogdoches,44,Straight Party,,,Republican,345,,,,,,,,,,
Nacogdoches,45,Straight Party,,,Republican,200,,,,,,,,,,
Nacogdoches,46,Straight Party,,,Republican,190,,,,,,,,,,
Nacogdoches,47,Straight Party,,,Republican,216,,,,,,,,,,
Nacogdoches,12,Straight Party,,,Democratic,52,,,,,,,,,,
Nacogdoches,13,Straight Party,,,Democratic,37,,,,,,,,,,
Nacogdoches,14/17,Straight Party,,,Democratic,105,,,,,,,,,,
Nacogdoches,15,Straight Party,,,Democratic,37,,,,,,,,,,
Nacogdoches,16,Straight Party,,,Democratic,72,,,,,,,,,,
Nacogdoches,21,Straight Party,,,Democratic,45,,,,,,,,,,
Nacogdoches,22/23/24/25,Straight Party,,,Democratic,158,,,,,,,,,,
Nacogdoches,26,Straight Party,,,Democratic,181,,,,,,,,,,
Nacogdoches,27,Straight Party,,,Democratic,252,,,,,,,,,,
Nacogdoches,30/31/32,Straight Party,,,Democratic,149,,,,,,,,,,
Nacogdoches,33/34,Straight Party,,,Democratic,219,,,,,,,,,,
Nacogdoches,41/43,Straight Party,,,Democratic,134,,,,,,,,,,
Nacogdoches,42,Straight Party,,,Democratic,51,,,,,,,,,,
Nacogdoches,44,Straight Party,,,Democratic,18,,,,,,,,,,
Nacogdoches,45,Straight Party,,,Democratic,23,,,,,,,,,,
Nacogdoches,46,Straight Party,,,Democratic,32,,,,,,,,,,
Nacogdoches,47,Straight Party,,,Democratic,13,,,,,,,,,,
Nacogdoches,12,Straight Party,,,Libertarian,0,,,,,,,,,,
Nacogdoches,13,Straight Party,,,Libertarian,0,,,,,,,,,,
Nacogdoches,14/17,Straight Party,,,Libertarian,4,,,,,,,,,,
Nacogdoches,15,Straight Party,,,Libertarian,1,,,,,,,,,,
Nacogdoches,16,Straight Party,,,Libertarian,5,,,,,,,,,,
Nacogdoches,21,Straight Party,,,Libertarian,2,,,,,,,,,,
Nacogdoches,22/23/24/25,Straight Party,,,Libertarian,4,,,,,,,,,,
Nacogdoches,26,Straight Party,,,Libertarian,5,,,,,,,,,,
Nacogdoches,27,Straight Party,,,Libertarian,1,,,,,,,,,,
Nacogdoches,30/31/32,Straight Party,,,Libertarian,5,,,,,,,,,,
Nacogdoches,33/34,Straight Party,,,Libertarian,6,,,,,,,,,,
Nacogdoches,41/43,Straight Party,,,Libertarian,1,,,,,,,,,,
Nacogdoches,42,Straight Party,,,Libertarian,2,,,,,,,,,,
Nacogdoches,44,Straight Party,,,Libertarian,3,,,,,,,,,,
Nacogdoches,45,Straight Party,,,Libertarian,2,,,,,,,,,,
Nacogdoches,46,Straight Party,,,Libertarian,1,,,,,,,,,,
Nacogdoches,47,Straight Party,,,Libertarian,0,,,,,,,,,,
Nacogdoches,12,Straight Party,,,Green,0,,,,,,,,,,
Nacogdoches,13,Straight Party,,,Green,0,,,,,,,,,,
Nacogdoches,14/17,Straight Party,,,Green,0,,,,,,,,,,
Nacogdoches,15,Straight Party,,,Green,0,,,,,,,,,,
Nacogdoches,16,Straight Party,,,Green,0,,,,,,,,,,
Nacogdoches,21,Straight Party,,,Green,1,,,,,,,,,,
Nacogdoches,22/23/24/25,Straight Party,,,Green,0,,,,,,,,,,
Nacogdoches,26,Straight Party,,,Green,1,,,,,,,,,,
Nacogdoches,27,Straight Party,,,Green,1,,,,,,,,,,
Nacogdoches,30/31/32,Straight Party,,,Green,0,,,,,,,,,,
Nacogdoches,33/34,Straight Party,,,Green,2,,,,,,,,,,
Nacogdoches,41/43,Straight Party,,,Green,1,,,,,,,,,,
Nacogdoches,42,Straight Party,,,Green,0,,,,,,,,,,
Nacogdoches,44,Straight Party,,,Green,0,,,,,,,,,,
Nacogdoches,45,Straight Party,,,Green,0,,,,,,,,,,
Nacogdoches,46,Straight Party,,,Green,1,,,,,,,,,,
Nacogdoches,47,Straight Party,,,Green,0,,,,,,,,,,
Nacogdoches,12,U.S. Senate,,REP,John Cornyn,593,,,,,,,,,,
Nacogdoches,13,U.S. Senate,,REP,John Cornyn,391,,,,,,,,,,
Nacogdoches,14/17,U.S. Senate,,REP,John Cornyn,896,,,,,,,,,,
Nacogdoches,15,U.S. Senate,,REP,John Cornyn,438,,,,,,,,,,
Nacogdoches,16,U.S. Senate,,REP,John Cornyn,938,,,,,,,,,,
Nacogdoches,21,U.S. Senate,,REP,John Cornyn,500,,,,,,,,,,
Nacogdoches,22/23/24/25,U.S. Senate,,REP,John Cornyn,156,,,,,,,,,,
Nacogdoches,26,U.S. Senate,,REP,John Cornyn,559,,,,,,,,,,
Nacogdoches,27,U.S. Senate,,REP,John Cornyn,19,,,,,,,,,,
Nacogdoches,30/31/32,U.S. Senate,,REP,John Cornyn,585,,,,,,,,,,
Nacogdoches,33/34,U.S. Senate,,REP,John Cornyn,1458,,,,,,,,,,
Nacogdoches,41/43,U.S. Senate,,REP,John Cornyn,594,,,,,,,,,,
Nacogdoches,42,U.S. Senate,,REP,John Cornyn,344,,,,,,,,,,
Nacogdoches,44,U.S. Senate,,REP,John Cornyn,524,,,,,,,,,,
Nacogdoches,45,U.S. Senate,,REP,John Cornyn,305,,,,,,,,,,
Nacogdoches,46,U.S. Senate,,REP,John Cornyn,273,,,,,,,,,,
Nacogdoches,47,U.S. Senate,,REP,John Cornyn,294,,,,,,,,,,
Nacogdoches,12,U.S. Senate,,DEM,David M. Alameel,93,,,,,,,,,,
Nacogdoches,13,U.S. Senate,,DEM,David M. Alameel,57,,,,,,,,,,
Nacogdoches,14/17,U.S. Senate,,DEM,David M. Alameel,179,,,,,,,,,,
Nacogdoches,15,U.S. Senate,,DEM,David M. Alameel,54,,,,,,,,,,
Nacogdoches,16,U.S. Senate,,DEM,David M. Alameel,128,,,,,,,,,,
Nacogdoches,21,U.S. Senate,,DEM,David M. Alameel,70,,,,,,,,,,
Nacogdoches,22/23/24/25,U.S. Senate,,DEM,David M. Alameel,243,,,,,,,,,,
Nacogdoches,26,U.S. Senate,,DEM,David M. Alameel,283,,,,,,,,,,
Nacogdoches,27,U.S. Senate,,DEM,David M. Alameel,318,,,,,,,,,,
Nacogdoches,30/31/32,U.S. Senate,,DEM,David M. Alameel,264,,,,,,,,,,
Nacogdoches,33/34,U.S. Senate,,DEM,David M. Alameel,391,,,,,,,,,,
Nacogdoches,41/43,U.S. Senate,,DEM,David M. Alameel,190,,,,,,,,,,
Nacogdoches,42,U.S. Senate,,DEM,David M. Alameel,80,,,,,,,,,,
Nacogdoches,44,U.S. Senate,,DEM,David M. Alameel,39,,,,,,,,,,
Nacogdoches,45,U.S. Senate,,DEM,David M. Alameel,36,,,,,,,,,,
Nacogdoches,46,U.S. Senate,,DEM,David M. Alameel,49,,,,,,,,,,
Nacogdoches,47,U.S. Senate,,DEM,David M. Alameel,23,,,,,,,,,,
Nacogdoches,12,U.S. Senate,,LIB,Rebecca Paddock,11,,,,,,,,,,
Nacogdoches,13,U.S. Senate,,LIB,Rebecca Paddock,14,,,,,,,,,,
Nacogdoches,14/17,U.S. Senate,,LIB,Rebecca Paddock,25,,,,,,,,,,
Nacogdoches,15,U.S. Senate,,LIB,Rebecca Paddock,13,,,,,,,,,,
Nacogdoches,16,U.S. Senate,,LIB,Rebecca Paddock,20,,,,,,,,,,
Nacogdoches,21,U.S. Senate,,LIB,Rebecca Paddock,22,,,,,,,,,,
Nacogdoches,22/23/24/25,U.S. Senate,,LIB,Rebecca Paddock,15,,,,,,,,,,
Nacogdoches,26,U.S. Senate,,LIB,Rebecca Paddock,31,,,,,,,,,,
Nacogdoches,27,U.S. Senate,,LIB,Rebecca Paddock,4,,,,,,,,,,
Nacogdoches,30/31/32,U.S. Senate,,LIB,Rebecca Paddock,36,,,,,,,,,,
Nacogdoches,33/34,U.S. Senate,,LIB,Rebecca Paddock,38,,,,,,,,,,
Nacogdoches,41/43,U.S. Senate,,LIB,Rebecca Paddock,19,,,,,,,,,,
Nacogdoches,42,U.S. Senate,,LIB,Rebecca Paddock,7,,,,,,,,,,
Nacogdoches,44,U.S. Senate,,LIB,Rebecca Paddock,15,,,,,,,,,,
Nacogdoches,45,U.S. Senate,,LIB,Rebecca Paddock,7,,,,,,,,,,
Nacogdoches,46,U.S. Senate,,LIB,Rebecca Paddock,12,,,,,,,,,,
Nacogdoches,47,U.S. Senate,,LIB,Rebecca Paddock,6,,,,,,,,,,
Nacogdoches,12,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",5,,,,,,,,,,
Nacogdoches,13,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",3,,,,,,,,,,
Nacogdoches,14/17,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",3,,,,,,,,,,
Nacogdoches,15,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",1,,,,,,,,,,
Nacogdoches,16,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",3,,,,,,,,,,
Nacogdoches,21,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",8,,,,,,,,,,
Nacogdoches,22/23/24/25,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",4,,,,,,,,,,
Nacogdoches,26,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",11,,,,,,,,,,
Nacogdoches,27,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",1,,,,,,,,,,
Nacogdoches,30/31/32,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",12,,,,,,,,,,
Nacogdoches,33/34,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",16,,,,,,,,,,
Nacogdoches,41/43,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",0,,,,,,,,,,
Nacogdoches,42,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",2,,,,,,,,,,
Nacogdoches,44,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",3,,,,,,,,,,
Nacogdoches,45,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",2,,,,,,,,,,
Nacogdoches,46,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",1,,,,,,,,,,
Nacogdoches,47,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",0,,,,,,,,,,
Nacogdoches,12,U.S. Senate,,,Write-ins,0,,,,,,,,,,
Nacogdoches,13,U.S. Senate,,,Write-ins,0,,,,,,,,,,
Nacogdoches,14/17,U.S. Senate,,,Write-ins,0,,,,,,,,,,
Nacogdoches,15,U.S. Senate,,,Write-ins,0,,,,,,,,,,
Nacogdoches,16,U.S. Senate,,,Write-ins,0,,,,,,,,,,
Nacogdoches,21,U.S. Senate,,,Write-ins,0,,,,,,,,,,
Nacogdoches,22/23/24/25,U.S. Senate,,,Write-ins,0,,,,,,,,,,
Nacogdoches,26,U.S. Senate,,,Write-ins,0,,,,,,,,,,
Nacogdoches,27,U.S. Senate,,,Write-ins,0,,,,,,,,,,
Nacogdoches,30/31/32,U.S. Senate,,,Write-ins,0,,,,,,,,,,
Nacogdoches,33/34,U.S. Senate,,,Write-ins,1,,,,,,,,,,
Nacogdoches,41/43,U.S. Senate,,,Write-ins,0,,,,,,,,,,
Nacogdoches,42,U.S. Senate,,,Write-ins,0,,,,,,,,,,
Nacogdoches,44,U.S. Senate,,,Write-ins,0,,,,,,,,,,
Nacogdoches,45,U.S. Senate,,,Write-ins,0,,,,,,,,,,
Nacogdoches,46,U.S. Senate,,,Write-ins,0,,,,,,,,,,
Nacogdoches,47,U.S. Senate,,,Write-ins,0,,,,,,,,,,
Nacogdoches,12,U.S. House,1,REP,Louie Gohmert,606,,,,,,,,,,
Nacogdoches,13,U.S. House,1,REP,Louie Gohmert,403,,,,,,,,,,
Nacogdoches,14/17,U.S. House,1,REP,Louie Gohmert,898,,,,,,,,,,
Nacogdoches,15,U.S. House,1,REP,Louie Gohmert,451,,,,,,,,,,
Nacogdoches,16,U.S. House,1,REP,Louie Gohmert,941,,,,,,,,,,
Nacogdoches,21,U.S. House,1,REP,Louie Gohmert,513,,,,,,,,,,
Nacogdoches,22/23/24/25,U.S. House,1,REP,Louie Gohmert,150,,,,,,,,,,
Nacogdoches,26,U.S. House,1,REP,Louie Gohmert,562,,,,,,,,,,
Nacogdoches,27,U.S. House,1,REP,Louie Gohmert,21,,,,,,,,,,
Nacogdoches,30/31/32,U.S. House,1,REP,Louie Gohmert,582,,,,,,,,,,
Nacogdoches,33/34,U.S. House,1,REP,Louie Gohmert,1420,,,,,,,,,,
Nacogdoches,41/43,U.S. House,1,REP,Louie Gohmert,595,,,,,,,,,,
Nacogdoches,42,U.S. House,1,REP,Louie Gohmert,346,,,,,,,,,,
Nacogdoches,44,U.S. House,1,REP,Louie Gohmert,538,,,,,,,,,,
Nacogdoches,45,U.S. House,1,REP,Louie Gohmert,312,,,,,,,,,,
Nacogdoches,46,U.S. House,1,REP,Louie Gohmert,282,,,,,,,,,,
Nacogdoches,47,U.S. House,1,REP,Louie Gohmert,300,,,,,,,,,,
Nacogdoches,12,U.S. House,1,DEM,Shirley J. McKellar,101,,,,,,,,,,
Nacogdoches,13,U.S. House,1,DEM,Shirley J. McKellar,63,,,,,,,,,,
Nacogdoches,14/17,U.S. House,1,DEM,Shirley J. McKellar,203,,,,,,,,,,
Nacogdoches,15,U.S. House,1,DEM,Shirley J. McKellar,61,,,,,,,,,,
Nacogdoches,16,U.S. House,1,DEM,Shirley J. McKellar,147,,,,,,,,,,
Nacogdoches,21,U.S. House,1,DEM,Shirley J. McKellar,90,,,,,,,,,,
Nacogdoches,22/23/24/25,U.S. House,1,DEM,Shirley J. McKellar,269,,,,,,,,,,
Nacogdoches,26,U.S. House,1,DEM,Shirley J. McKellar,324,,,,,,,,,,
Nacogdoches,27,U.S. House,1,DEM,Shirley J. McKellar,325,,,,,,,,,,
Nacogdoches,30/31/32,U.S. House,1,DEM,Shirley J. McKellar,311,,,,,,,,,,
Nacogdoches,33/34,U.S. House,1,DEM,Shirley J. McKellar,481,,,,,,,,,,
Nacogdoches,41/43,U.S. House,1,DEM,Shirley J. McKellar,212,,,,,,,,,,
Nacogdoches,42,U.S. House,1,DEM,Shirley J. McKellar,88,,,,,,,,,,
Nacogdoches,44,U.S. House,1,DEM,Shirley J. McKellar,54,,,,,,,,,,
Nacogdoches,45,U.S. House,1,DEM,Shirley J. McKellar,41,,,,,,,,,,
Nacogdoches,46,U.S. House,1,DEM,Shirley J. McKellar,57,,,,,,,,,,
Nacogdoches,47,U.S. House,1,DEM,Shirley J. McKellar,26,,,,,,,,,,
Nacogdoches,12,Governor,,REP,Greg Abbott,610,,,,,,,,,,
Nacogdoches,13,Governor,,REP,Greg Abbott,403,,,,,,,,,,
Nacogdoches,14/17,Governor,,REP,Greg Abbott,912,,,,,,,,,,
Nacogdoches,15,Governor,,REP,Greg Abbott,466,,,,,,,,,,
Nacogdoches,16,Governor,,REP,Greg Abbott,954,,,,,,,,,,
Nacogdoches,21,Governor,,REP,Greg Abbott,517,,,,,,,,,,
Nacogdoches,22/23/24/25,Governor,,REP,Greg Abbott,156,,,,,,,,,,
Nacogdoches,26,Governor,,REP,Greg Abbott,579,,,,,,,,,,
Nacogdoches,27,Governor,,REP,Greg Abbott,19,,,,,,,,,,
Nacogdoches,30/31/32,Governor,,REP,Greg Abbott,585,,,,,,,,,,
Nacogdoches,33/34,Governor,,REP,Greg Abbott,1447,,,,,,,,,,
Nacogdoches,41/43,Governor,,REP,Greg Abbott,597,,,,,,,,,,
Nacogdoches,42,Governor,,REP,Greg Abbott,353,,,,,,,,,,
Nacogdoches,44,Governor,,REP,Greg Abbott,535,,,,,,,,,,
Nacogdoches,45,Governor,,REP,Greg Abbott,313,,,,,,,,,,
Nacogdoches,46,Governor,,REP,Greg Abbott,275,,,,,,,,,,
Nacogdoches,47,Governor,,REP,Greg Abbott,300,,,,,,,,,,
Nacogdoches,12,Governor,,DEM,Wendy R. Davis,99,,,,,,,,,,
Nacogdoches,13,Governor,,DEM,Wendy R. Davis,69,,,,,,,,,,
Nacogdoches,14/17,Governor,,DEM,Wendy R. Davis,201,,,,,,,,,,
Nacogdoches,15,Governor,,DEM,Wendy R. Davis,60,,,,,,,,,,
Nacogdoches,16,Governor,,DEM,Wendy R. Davis,142,,,,,,,,,,
Nacogdoches,21,Governor,,DEM,Wendy R. Davis,86,,,,,,,,,,
Nacogdoches,22/23/24/25,Governor,,DEM,Wendy R. Davis,268,,,,,,,,,,
Nacogdoches,26,Governor,,DEM,Wendy R. Davis,310,,,,,,,,,,
Nacogdoches,27,Governor,,DEM,Wendy R. Davis,330,,,,,,,,,,
Nacogdoches,30/31/32,Governor,,DEM,Wendy R. Davis,307,,,,,,,,,,
Nacogdoches,33/34,Governor,,DEM,Wendy R. Davis,484,,,,,,,,,,
Nacogdoches,41/43,Governor,,DEM,Wendy R. Davis,211,,,,,,,,,,
Nacogdoches,42,Governor,,DEM,Wendy R. Davis,84,,,,,,,,,,
Nacogdoches,44,Governor,,DEM,Wendy R. Davis,64,,,,,,,,,,
Nacogdoches,45,Governor,,DEM,Wendy R. Davis,41,,,,,,,,,,
Nacogdoches,46,Governor,,DEM,Wendy R. Davis,63,,,,,,,,,,
Nacogdoches,47,Governor,,DEM,Wendy R. Davis,26,,,,,,,,,,
Nacogdoches,12,Governor,,LIB,Kathie Glass,0,,,,,,,,,,
Nacogdoches,13,Governor,,LIB,Kathie Glass,4,,,,,,,,,,
Nacogdoches,14/17,Governor,,LIB,Kathie Glass,15,,,,,,,,,,
Nacogdoches,15,Governor,,LIB,Kathie Glass,2,,,,,,,,,,
Nacogdoches,16,Governor,,LIB,Kathie Glass,10,,,,,,,,,,
Nacogdoches,21,Governor,,LIB,Kathie Glass,7,,,,,,,,,,
Nacogdoches,22/23/24/25,Governor,,LIB,Kathie Glass,6,,,,,,,,,,
Nacogdoches,26,Governor,,LIB,Kathie Glass,12,,,,,,,,,,
Nacogdoches,27,Governor,,LIB,Kathie Glass,5,,,,,,,,,,
Nacogdoches,30/31/32,Governor,,LIB,Kathie Glass,22,,,,,,,,,,
Nacogdoches,33/34,Governor,,LIB,Kathie Glass,15,,,,,,,,,,
Nacogdoches,41/43,Governor,,LIB,Kathie Glass,10,,,,,,,,,,
Nacogdoches,42,Governor,,LIB,Kathie Glass,2,,,,,,,,,,
Nacogdoches,44,Governor,,LIB,Kathie Glass,7,,,,,,,,,,
Nacogdoches,45,Governor,,LIB,Kathie Glass,5,,,,,,,,,,
Nacogdoches,46,Governor,,LIB,Kathie Glass,5,,,,,,,,,,
Nacogdoches,47,Governor,,LIB,Kathie Glass,3,,,,,,,,,,
Nacogdoches,12,Governor,,GRN,Brandon Parmer,9,,,,,,,,,,
Nacogdoches,13,Governor,,GRN,Brandon Parmer,1,,,,,,,,,,
Nacogdoches,14/17,Governor,,GRN,Brandon Parmer,2,,,,,,,,,,
Nacogdoches,15,Governor,,GRN,Brandon Parmer,2,,,,,,,,,,
Nacogdoches,16,Governor,,GRN,Brandon Parmer,4,,,,,,,,,,
Nacogdoches,21,Governor,,GRN,Brandon Parmer,1,,,,,,,,,,
Nacogdoches,22/23/24/25,Governor,,GRN,Brandon Parmer,1,,,,,,,,,,
Nacogdoches,26,Governor,,GRN,Brandon Parmer,4,,,,,,,,,,
Nacogdoches,27,Governor,,GRN,Brandon Parmer,1,,,,,,,,,,
Nacogdoches,30/31/32,Governor,,GRN,Brandon Parmer,2,,,,,,,,,,
Nacogdoches,33/34,Governor,,GRN,Brandon Parmer,8,,,,,,,,,,
Nacogdoches,41/43,Governor,,GRN,Brandon Parmer,2,,,,,,,,,,
Nacogdoches,42,Governor,,GRN,Brandon Parmer,0,,,,,,,,,,
Nacogdoches,44,Governor,,GRN,Brandon Parmer,3,,,,,,,,,,
Nacogdoches,45,Governor,,GRN,Brandon Parmer,1,,,,,,,,,,
Nacogdoches,46,Governor,,GRN,Brandon Parmer,2,,,,,,,,,,
Nacogdoches,47,Governor,,GRN,Brandon Parmer,0,,,,,,,,,,
Nacogdoches,12,Governor,,,Write-ins,0,,,,,,,,,,
Nacogdoches,13,Governor,,,Write-ins,0,,,,,,,,,,
Nacogdoches,14/17,Governor,,,Write-ins,0,,,,,,,,,,
Nacogdoches,15,Governor,,,Write-ins,1,,,,,,,,,,
Nacogdoches,16,Governor,,,Write-ins,0,,,,,,,,,,
Nacogdoches,21,Governor,,,Write-ins,0,,,,,,,,,,
Nacogdoches,22/23/24/25,Governor,,,Write-ins,0,,,,,,,,,,
Nacogdoches,26,Governor,,,Write-ins,0,,,,,,,,,,
Nacogdoches,27,Governor,,,Write-ins,1,,,,,,,,,,
Nacogdoches,30/31/32,Governor,,,Write-ins,0,,,,,,,,,,
Nacogdoches,33/34,Governor,,,Write-ins,0,,,,,,,,,,
Nacogdoches,41/43,Governor,,,Write-ins,0,,,,,,,,,,
Nacogdoches,42,Governor,,,Write-ins,0,,,,,,,,,,
Nacogdoches,44,Governor,,,Write-ins,0,,,,,,,,,,
Nacogdoches,45,Governor,,,Write-ins,1,,,,,,,,,,
Nacogdoches,46,Governor,,,Write-ins,0,,,,,,,,,,
Nacogdoches,47,Governor,,,Write-ins,0,,,,,,,,,,
Nacogdoches,12,Lieutenant Governor,,REP,Dan Patrick,603,,,,,,,,,,
Nacogdoches,13,Lieutenant Governor,,REP,Dan Patrick,404,,,,,,,,,,
Nacogdoches,14/17,Lieutenant Governor,,REP,Dan Patrick,904,,,,,,,,,,
Nacogdoches,15,Lieutenant Governor,,REP,Dan Patrick,459,,,,,,,,,,
Nacogdoches,16,Lieutenant Governor,,REP,Dan Patrick,941,,,,,,,,,,
Nacogdoches,21,Lieutenant Governor,,REP,Dan Patrick,509,,,,,,,,,,
Nacogdoches,22/23/24/25,Lieutenant Governor,,REP,Dan Patrick,154,,,,,,,,,,
Nacogdoches,26,Lieutenant Governor,,REP,Dan Patrick,566,,,,,,,,,,
Nacogdoches,27,Lieutenant Governor,,REP,Dan Patrick,17,,,,,,,,,,
Nacogdoches,30/31/32,Lieutenant Governor,,REP,Dan Patrick,578,,,,,,,,,,
Nacogdoches,33/34,Lieutenant Governor,,REP,Dan Patrick,1427,,,,,,,,,,
Nacogdoches,41/43,Lieutenant Governor,,REP,Dan Patrick,596,,,,,,,,,,
Nacogdoches,42,Lieutenant Governor,,REP,Dan Patrick,346,,,,,,,,,,
Nacogdoches,44,Lieutenant Governor,,REP,Dan Patrick,524,,,,,,,,,,
Nacogdoches,45,Lieutenant Governor,,REP,Dan Patrick,310,,,,,,,,,,
Nacogdoches,46,Lieutenant Governor,,REP,Dan Patrick,268,,,,,,,,,,
Nacogdoches,47,Lieutenant Governor,,REP,Dan Patrick,300,,,,,,,,,,
Nacogdoches,12,Lieutenant Governor,,DEM,Leticia Van de Putte,95,,,,,,,,,,
Nacogdoches,13,Lieutenant Governor,,DEM,Leticia Van de Putte,59,,,,,,,,,,
Nacogdoches,14/17,Lieutenant Governor,,DEM,Leticia Van de Putte,186,,,,,,,,,,
Nacogdoches,15,Lieutenant Governor,,DEM,Leticia Van de Putte,58,,,,,,,,,,
Nacogdoches,16,Lieutenant Governor,,DEM,Leticia Van de Putte,136,,,,,,,,,,
Nacogdoches,21,Lieutenant Governor,,DEM,Leticia Van de Putte,81,,,,,,,,,,
Nacogdoches,22/23/24/25,Lieutenant Governor,,DEM,Leticia Van de Putte,260,,,,,,,,,,
Nacogdoches,26,Lieutenant Governor,,DEM,Leticia Van de Putte,299,,,,,,,,,,
Nacogdoches,27,Lieutenant Governor,,DEM,Leticia Van de Putte,322,,,,,,,,,,
Nacogdoches,30/31/32,Lieutenant Governor,,DEM,Leticia Van de Putte,284,,,,,,,,,,
Nacogdoches,33/34,Lieutenant Governor,,DEM,Leticia Van de Putte,467,,,,,,,,,,
Nacogdoches,41/43,Lieutenant Governor,,DEM,Leticia Van de Putte,206,,,,,,,,,,
Nacogdoches,42,Lieutenant Governor,,DEM,Leticia Van de Putte,84,,,,,,,,,,
Nacogdoches,44,Lieutenant Governor,,DEM,Leticia Van de Putte,59,,,,,,,,,,
Nacogdoches,45,Lieutenant Governor,,DEM,Leticia Van de Putte,41,,,,,,,,,,
Nacogdoches,46,Lieutenant Governor,,DEM,Leticia Van de Putte,61,,,,,,,,,,
Nacogdoches,47,Lieutenant Governor,,DEM,Leticia Van de Putte,25,,,,,,,,,,
Nacogdoches,12,Lieutenant Governor,,LIB,Robert D. Butler,7,,,,,,,,,,
