county,precinct,office,district,party,candidate,early_voting,election_day,votes
Falls,303,Governor,,GRN,BRANDON PARMER,0,0,0
Falls,303,Governor,,,SARAH M. PAVITT,0,0,0
Falls,304,Governor,,REP,GREG ABBOTT,35,185,220
Falls,304,Governor,,DEM,WENDY R. DAVIS,9,64,73
Falls,304,Governor,,LIB,KATHIE GLASS,0,5,5
Falls,304,Governor,,GRN,BRANDON PARMER,0,1,1
Falls,304,Governor,,,SARAH M. PAVITT,0,0,0
Falls,403,Governor,,REP,GREG ABBOTT,102,167,269
Falls,403,Governor,,DEM,WENDY R. DAVIS,33,62,95
Falls,403,Governor,,LIB,KATHIE GLASS,4,3,7
Falls,403,Governor,,GRN,BRANDON PARMER,0,0,0
Falls,403,Governor,,,SARAH M. PAVITT,0,0,0
Falls,404,Governor,,REP,GREG ABBOTT,49,198,247
Falls,404,Governor,,DEM,WENDY R. DAVIS,13,45,58
Falls,404,Governor,,LIB,KATHIE GLASS,0,1,1
Falls,404,Governor,,GRN,BRANDON PARMER,0,1,1
Falls,404,Governor,,,SARAH M. PAVITT,0,0,0
Falls,405,Governor,,REP,GREG ABBOTT,33,114,147
Falls,405,Governor,,DEM,WENDY R. DAVIS,24,39,63
Falls,405,Governor,,LIB,KATHIE GLASS,0,0,0
Falls,405,Governor,,GRN,BRANDON PARMER,0,1,1
Falls,405,Governor,,,SARAH M. PAVITT,0,0,0
Falls,101,Lieutenant Governor,,REP,DAN PATRICK,52,70,122
Falls,101,Lieutenant Governor,,DEM,LETICIA VAN DE PUTTE,28,35,63
Falls,101,Lieutenant Governor,,LIB,ROBERT D. BUTLER,3,5,8
Falls,101,Lieutenant Governor,,GRN,CHANDRAKANTHA COURTNEY,2,0,2
Falls,104,Lieutenant Governor,,REP,DAN PATRICK,88,157,245
Falls,104,Lieutenant Governor,,DEM,LETICIA VAN DE PUTTE,10,33,43
Falls,104,Lieutenant Governor,,LIB,ROBERT D. BUTLER,1,5,6
Falls,104,Lieutenant Governor,,GRN,CHANDRAKANTHA COURTNEY,1,0,1
Falls,105,Lieutenant Governor,,REP,DAN PATRICK,107,121,228
Falls,105,Lieutenant Governor,,DEM,LETICIA VAN DE PUTTE,35,40,75
Falls,105,Lieutenant Governor,,LIB,ROBERT D. BUTLER,4,3,7
Falls,105,Lieutenant Governor,,GRN,CHANDRAKANTHA COURTNEY,0,3,3
Falls,201,Lieutenant Governor,,REP,DAN PATRICK,51,82,133
Falls,201,Lieutenant Governor,,DEM,LETICIA VAN DE PUTTE,16,24,40
Falls,201,Lieutenant Governor,,LIB,ROBERT D. BUTLER,0,2,2
Falls,201,Lieutenant Governor,,GRN,CHANDRAKANTHA COURTNEY,0,0,0
Falls,203,Lieutenant Governor,,REP,DAN PATRICK,6,9,15
Falls,203,Lieutenant Governor,,DEM,LETICIA VAN DE PUTTE,46,75,121
Falls,203,Lieutenant Governor,,LIB,ROBERT D. BUTLER,1,2,3
Falls,203,Lieutenant Governor,,GRN,CHANDRAKANTHA COURTNEY,0,1,1
Falls,204,Lieutenant Governor,,REP,DAN PATRICK,21,24,45
Falls,204,Lieutenant Governor,,DEM,LETICIA VAN DE PUTTE,77,84,161
Falls,204,Lieutenant Governor,,LIB,ROBERT D. BUTLER,3,1,4
Falls,204,Lieutenant Governor,,GRN,CHANDRAKANTHA COURTNEY,0,0,0
Falls,301,Lieutenant Governor,,REP,DAN PATRICK,63,112,175
Falls,301,Lieutenant Governor,,DEM,LETICIA VAN DE PUTTE,11,13,24
Falls,301,Lieutenant Governor,,LIB,ROBERT D. BUTLER,1,4,5
Falls,301,Lieutenant Governor,,GRN,CHANDRAKANTHA COURTNEY,0,0,0
Falls,302,Lieutenant Governor,,REP,DAN PATRICK,51,26,77
Falls,302,Lieutenant Governor,,DEM,LETICIA VAN DE PUTTE,12,12,24
Falls,302,Lieutenant Governor,,LIB,ROBERT D. BUTLER,1,1,2
Falls,302,Lieutenant Governor,,GRN,CHANDRAKANTHA COURTNEY,0,0,0
Falls,303,Lieutenant Governor,,REP,DAN PATRICK,25,175,200
Falls,303,Lieutenant Governor,,DEM,LETICIA VAN DE PUTTE,2,17,19
Falls,303,Lieutenant Governor,,LIB,ROBERT D. BUTLER,2,3,5
Falls,303,Lieutenant Governor,,GRN,CHANDRAKANTHA COURTNEY,0,0,0
Falls,304,Lieutenant Governor,,REP,DAN PATRICK,34,182,216
Falls,304,Lieutenant Governor,,DEM,LETICIA VAN DE PUTTE,8,64,72
Falls,304,Lieutenant Governor,,LIB,ROBERT D. BUTLER,1,6,7
Falls,304,Lieutenant Governor,,GRN,CHANDRAKANTHA COURTNEY,0,2,2
