county,precinct,office,district,candidate,party,absentee,early_voting,election day,votes
Madison,202,Railroad Commissioner,,Mark A. Miller,,0,6,5,11
Madison,202,Railroad Commissioner,,Martina Salinas,,0,2,3,5
Madison,202,Railroad Commissioner,,Over Votes,,0,0,0,0
Madison,202,Railroad Commissioner,,Under Votes,,7,8,8,23
Madison,202,Ballots Cast,,,,,,,650
Madison,202,Ballots Cast,,,,,,,650
Madison,202,State Senate,5,Charles Schwertner,,44,239,226,509
Madison,202,State Senate,5,Joel Shapiro,,18,48,45,111
Madison,202,State Senate,5,Matthew Whittington,,1,5,7,13
Madison,202,State Senate,5,Over Votes,,0,0,0,0
Madison,202,State Senate,5,Under Votes,,4,6,7,17
Madison,202,State Representative,57,Trent Ashby,,51,248,243,542
Madison,202,State Representative,57,Over Votes,,0,0,0,0
Madison,202,State Representative,57,Under Votes,,16,50,42,108
Madison,202,Ballots Cast,,,,,,,650
Madison,202,Ballots Cast,,,,,,,650
Madison,303,Ballots Cast,,,,,,,522
Madison,303,Straight Party,,,REP,24,78,94,196
Madison,303,Straight Party,,,DEM,31,37,63,131
Madison,303,Straight Party,,,LIB,0,0,0,0
Madison,303,Straight Party,,,GRN,0,0,0,0
Madison,303,Straight Party,,Over Votes,,0,0,0,0
Madison,303,Straight Party,,Under Votes,,13,93,89,195
Madison,303,U.S. Senate,,John Cornyn,,32,149,161,342
Madison,303,U.S. Senate,,David M. Alameel,,33,52,72,157
Madison,303,U.S. Senate,,Rebecca Paddock,,1,1,5,7
Madison,303,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,0,0,0,0
Madison,303,U.S. Senate,,MOHAMMED TAHIRO (W),,0,0,0,0
Madison,303,U.S. Senate,,Over Votes,,0,0,0,0
Madison,303,U.S. Senate,,Under Votes,,2,6,8,16
Madison,303,U.S. House,8,Kevin Brady,,36,154,173,363
Madison,303,U.S. House,8,Ken Petty,,5,13,10,28
Madison,303,U.S. House,8,Over Votes,,0,0,0,0
Madison,303,U.S. House,8,Under Votes,,27,41,63,131
Madison,303,Governor,,Greg Abbott,,33,151,166,350
Madison,303,Governor,,Wendy R. Davis,,35,55,75,165
Madison,303,Governor,,Kathie Glass,,0,0,3,3
Madison,303,Governor,,Brandon Parmer,,0,0,0,0
Madison,303,Governor,,SARAH M. PAVITT (W),,0,0,0,0
Madison,303,Governor,,Over Votes,,0,0,0,0
Madison,303,Governor,,Under Votes,,0,2,2,4
Madison,303,Lieutenant Governor,,Dan Patrick,,35,146,167,348
Madison,303,Lieutenant Governor,,Leticia Van de Putte,,32,55,75,162
Madison,303,Lieutenant Governor,,Robert D. Butler,,1,5,2,8
Madison,303,Lieutenant Governor,,Chandrakantha Courtney,,0,0,0,0
Madison,303,Lieutenant Governor,,Over Votes,,0,0,0,0
Madison,303,Lieutenant Governor,,Under Votes,,0,2,2,4
Madison,303,Ballots Cast,,,,,,,522
Madison,303,Attorney General,,Ken Paxton,,32,145,163,340
Madison,303,Attorney General,,Sam Houston,,34,61,78,173
Madison,303,Attorney General,,Jamie Balagia,,0,0,3,3
Madison,303,Attorney General,,Jamar Osborne,,0,0,0,0
Madison,303,Attorney General,,Over Votes,,0,0,0,0
Madison,303,Attorney General,,Under Votes,,2,2,2,6
Madison,303,Comptroller of Public Accounts,,Glenn Hegar,,32,146,162,340
Madison,303,Comptroller of Public Accounts,,Mike Collier,,34,57,77,168
Madison,303,Comptroller of Public Accounts,,Ben Sanders,,0,4,1,5
Madison,303,Comptroller of Public Accounts,,Deb Shafto,,0,0,1,1
Madison,303,Comptroller of Public Accounts,,Over Votes,,0,0,0,0
Madison,303,Comptroller of Public Accounts,,Under Votes,,2,1,5,8
Madison,303,Commissioner of the General Land Office,,George P. Bush,,31,143,162,336
Madison,303,Commissioner of the General Land Office,,John Cook,,36,60,77,173
Madison,303,Commissioner of the General Land Office,,Justin Knight,,1,3,2,6
Madison,303,Commissioner of the General Land Office,,Valerie Alessi,,0,0,2,2
Madison,303,Commissioner of the General Land Office,,Over Votes,,0,0,0,0
Madison,303,Commissioner of the General Land Office,,Under Votes,,0,2,3,5
Madison,303,Commissioner of Agriculture,,Sid Miller,,32,147,160,339
Madison,303,Commissioner of Agriculture,,Jim Hogan,,34,60,79,173
Madison,303,Commissioner of Agriculture,,David (Rocky) Palmquist,,0,0,2,2
Madison,303,Commissioner of Agriculture,,Kenneth Kendrick,,0,0,0,0
Madison,303,Commissioner of Agriculture,,Over Votes,,0,0,0,0
Madison,303,Commissioner of Agriculture,,Under Votes,,2,1,5,8
Madison,303,Railroad Commissioner,,Ryan Sitton,,31,144,157,332
Madison,303,Railroad Commissioner,,Steve Brown,,35,60,77,172
Madison,303,Railroad Commissioner,,Mark A. Miller,,0,2,3,5
Madison,303,Railroad Commissioner,,Martina Salinas,,0,0,4,4
Madison,303,Railroad Commissioner,,Over Votes,,0,0,0,0
Madison,303,Railroad Commissioner,,Under Votes,,2,2,5,9
Madison,303,Ballots Cast,,,,,,,522
Madison,303,Ballots Cast,,,,,,,522
Madison,303,State Senate,5,Charles Schwertner,,33,149,162,344
Madison,303,State Senate,5,Joel Shapiro,,33,55,79,167
Madison,303,State Senate,5,Matthew Whittington,,0,3,1,4
Madison,303,State Senate,5,Over Votes,,0,0,0,0
Madison,303,State Senate,5,Under Votes,,2,1,4,7
Madison,303,State Representative,57,Trent Ashby,,37,157,175,369
Madison,303,State Representative,57,Over Votes,,0,0,0,0
Madison,303,State Representative,57,Under Votes,,31,51,71,153
Madison,303,Ballots Cast,,,,,,,522
Madison,404,Ballots Cast,,,,,,,713
Madison,404,Straight Party,,,REP,35,172,159,366
Madison,404,Straight Party,,,DEM,4,13,17,34
Madison,404,Straight Party,,,LIB,0,1,0,1
Madison,404,Straight Party,,,GRN,0,0,1,1
Madison,404,Straight Party,,Over Votes,,0,0,0,0
Madison,404,Straight Party,,Under Votes,,16,170,125,311
Madison,404,U.S. Senate,,John Cornyn,,45,318,256,619
Madison,404,U.S. Senate,,David M. Alameel,,7,24,30,61
Madison,404,U.S. Senate,,Rebecca Paddock,,2,3,4,9
Madison,404,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,0,0,1,1
