county,precinct,office,district,candidate,party,votes,early_voting,election day
Lynn,Precinct 3/10,Comptroller of Public Accounts,,Debra Medina,REP,18,3,15
Lynn,Precinct 3/10,Commissioner of the General Land Office,,George P. Bush,REP,71,20,51
Lynn,Precinct 3/10,Commissioner of the General Land Office,,David Watts,REP,42,10,32
Lynn,Precinct 3/10,Commissioner of Agriculture,,Joe Cotten,REP,19,8,11
Lynn,Precinct 3/10,Commissioner of Agriculture,,Sid Miller,REP,30,9,21
Lynn,Precinct 3/10,Commissioner of Agriculture,,Tommy Merritt,REP,32,7,25
Lynn,Precinct 3/10,Commissioner of Agriculture,,J. Allen Carnes,REP,17,5,12
Lynn,Precinct 3/10,Commissioner of Agriculture,,Eric Opiela,REP,11,1,10
Lynn,Precinct 3/10,Railroad Commissioner,,Malachi Boyuls,REP,15,6,9
Lynn,Precinct 3/10,Railroad Commissioner,,Becky Berger,REP,17,1,16
Lynn,Precinct 3/10,Railroad Commissioner,,Ryan Sitton,REP,47,16,31
Lynn,Precinct 3/10,Railroad Commissioner,,Wayne Christian,REP,28,6,22
Lynn,Precinct 3/10,State Representative,83,Charles Perry,REP,60,22,38
Lynn,Precinct 3/10,State Representative,83,Steve Massengale,REP,52,8,44
Lynn,Precinct 4/11,Registered Voters,,,,,,537
Lynn,Precinct 4/11,Ballots Cast,,,,,,229
Lynn,Precinct 4/11,U.S. Senate,,Curt Cleaver,REP,2,0,2
Lynn,Precinct 4/11,U.S. Senate,,Dwayne Stovall,REP,16,2,14
Lynn,Precinct 4/11,U.S. Senate,,John Cornyn,REP,114,23,91
Lynn,Precinct 4/11,U.S. Senate,,Chris Mapp,REP,0,0,0
Lynn,Precinct 4/11,U.S. Senate,,Steve Stockman,REP,33,8,25
Lynn,Precinct 4/11,U.S. Senate,,Reid Reasor,REP,6,2,4
Lynn,Precinct 4/11,U.S. Senate,,Linda Vega,REP,10,0,10
Lynn,Precinct 4/11,U.S. Senate,,Ken Cope,REP,11,5,6
Lynn,Precinct 4/11,U.S. House,19,Randy Neugebauer,REP,127,25,102
Lynn,Precinct 4/11,U.S. House,19,Donald R. May,REP,53,11,42
Lynn,Precinct 4/11,U.S. House,19,Chris Winn,REP,26,7,19
Lynn,Precinct 4/11,Governor,,SECEDE Kilgore,REP,8,0,8
Lynn,Precinct 4/11,Governor,,Greg Abbott,REP,171,39,132
Lynn,Precinct 4/11,Governor,,Lisa Fritsch,REP,8,2,6
Lynn,Precinct 4/11,Governor,,Miriam Martinez,REP,12,0,12
Lynn,Precinct 4/11,Lieutenant Governor,,Todd Staples,REP,61,8,53
Lynn,Precinct 4/11,Lieutenant Governor,,Dan Patrick,REP,46,19,27
Lynn,Precinct 4/11,Lieutenant Governor,,David Dewhurst,REP,76,10,66
Lynn,Precinct 4/11,Lieutenant Governor,,Jerry Patterson,REP,12,5,7
Lynn,Precinct 4/11,Attorney General,,Barry Smitherman,REP,56,13,43
Lynn,Precinct 4/11,Attorney General,,Dan Branch,REP,73,11,62
Lynn,Precinct 4/11,Attorney General,,Ken Paxton,REP,59,18,41
Lynn,Precinct 4/11,Comptroller of Public Accounts,,Glenn Hegar,REP,93,21,72
Lynn,Precinct 4/11,Comptroller of Public Accounts,,Raul Torres,REP,5,0,5
Lynn,Precinct 4/11,Comptroller of Public Accounts,,Harvey Hilderbran,REP,54,13,41
Lynn,Precinct 4/11,Comptroller of Public Accounts,,Debra Medina,REP,27,5,22
Lynn,Precinct 4/11,Commissioner of the General Land Office,,George P. Bush,REP,141,25,116
Lynn,Precinct 4/11,Commissioner of the General Land Office,,David Watts,REP,51,15,36
Lynn,Precinct 4/11,Commissioner of Agriculture,,Joe Cotten,REP,52,9,43
Lynn,Precinct 4/11,Commissioner of Agriculture,,Sid Miller,REP,50,16,34
Lynn,Precinct 4/11,Commissioner of Agriculture,,Tommy Merritt,REP,22,3,19
Lynn,Precinct 4/11,Commissioner of Agriculture,,J. Allen Carnes,REP,47,8,39
Lynn,Precinct 4/11,Commissioner of Agriculture,,Eric Opiela,REP,11,2,9
Lynn,Precinct 4/11,Railroad Commissioner,,Malachi Boyuls,REP,28,7,21
Lynn,Precinct 4/11,Railroad Commissioner,,Becky Berger,REP,39,8,31
Lynn,Precinct 4/11,Railroad Commissioner,,Ryan Sitton,REP,65,13,52
Lynn,Precinct 4/11,Railroad Commissioner,,Wayne Christian,REP,42,11,31
Lynn,Precinct 4/11,State Representative,83,Charles Perry,REP,131,25,106
Lynn,Precinct 4/11,State Representative,83,Steve Massengale,REP,74,18,56
Lynn,Precinct 6,Registered Voters,,,,435,,
Lynn,Precinct 6,Ballots Cast,,,,174,,
Lynn,Precinct 6,U.S. Senate,,Curt Cleaver,REP,4,2,2
Lynn,Precinct 6,U.S. Senate,,Dwayne Stovall,REP,17,3,14
Lynn,Precinct 6,U.S. Senate,,John Cornyn,REP,75,37,38
Lynn,Precinct 6,U.S. Senate,,Chris Mapp,REP,2,0,2
Lynn,Precinct 6,U.S. Senate,,Steve Stockman,REP,20,10,10
Lynn,Precinct 6,U.S. Senate,,Reid Reasor,REP,3,1,2
Lynn,Precinct 6,U.S. Senate,,Linda Vega,REP,15,8,7
Lynn,Precinct 6,U.S. Senate,,Ken Cope,REP,4,2,2
Lynn,Precinct 6,U.S. House,19,Randy Neugebauer,REP,101,45,56
Lynn,Precinct 6,U.S. House,19,Donald R. May,REP,35,19,16
Lynn,Precinct 6,U.S. House,19,Chris Winn,REP,17,7,10
Lynn,Precinct 6,Governor,,SECEDE Kilgore,REP,2,0,2
Lynn,Precinct 6,Governor,,Greg Abbott,REP,120,56,64
Lynn,Precinct 6,Governor,,Lisa Fritsch,REP,17,7,10
Lynn,Precinct 6,Governor,,Miriam Martinez,REP,8,4,4
Lynn,Precinct 6,Lieutenant Governor,,Todd Staples,REP,50,19,31
Lynn,Precinct 6,Lieutenant Governor,,Dan Patrick,REP,37,21,16
Lynn,Precinct 6,Lieutenant Governor,,David Dewhurst,REP,52,25,27
Lynn,Precinct 6,Lieutenant Governor,,Jerry Patterson,REP,6,2,4
Lynn,Precinct 6,Attorney General,,Barry Smitherman,REP,31,20,11
Lynn,Precinct 6,Attorney General,,Dan Branch,REP,51,24,27
Lynn,Precinct 6,Attorney General,,Ken Paxton,REP,51,18,33
Lynn,Precinct 6,Comptroller of Public Accounts,,Glenn Hegar,REP,67,25,42
Lynn,Precinct 6,Comptroller of Public Accounts,,Raul Torres,REP,7,4,3
Lynn,Precinct 6,Comptroller of Public Accounts,,Harvey Hilderbran,REP,36,19,17
Lynn,Precinct 6,Comptroller of Public Accounts,,Debra Medina,REP,24,14,10
Lynn,Precinct 6,Commissioner of the General Land Office,,George P. Bush,REP,107,46,61
Lynn,Precinct 6,Commissioner of the General Land Office,,David Watts,REP,33,17,16
Lynn,Precinct 6,Commissioner of Agriculture,,Joe Cotten,REP,27,18,9
Lynn,Precinct 6,Commissioner of Agriculture,,Sid Miller,REP,33,21,12
Lynn,Precinct 6,Commissioner of Agriculture,,Tommy Merritt,REP,49,12,37
Lynn,Precinct 6,Commissioner of Agriculture,,J. Allen Carnes,REP,15,5,10
Lynn,Precinct 6,Commissioner of Agriculture,,Eric Opiela,REP,7,5,2
Lynn,Precinct 6,Railroad Commissioner,,Malachi Boyuls,REP,6,3,3
Lynn,Precinct 6,Railroad Commissioner,,Becky Berger,REP,32,15,17
Lynn,Precinct 6,Railroad Commissioner,,Ryan Sitton,REP,54,27,27
Lynn,Precinct 6,Railroad Commissioner,,Wayne Christian,REP,32,15,17
Lynn,Precinct 6,State Representative,83,Charles Perry,REP,75,41,34
Lynn,Precinct 6,State Representative,83,Steve Massengale,REP,73,27,46
Lynn,Precinct 7,Registered Voters,,,,,,42
Lynn,Precinct 7,Ballots Cast,,,,,,14
Lynn,Precinct 7,U.S. Senate,,Curt Cleaver,REP,0,0,0
Lynn,Precinct 7,U.S. Senate,,Dwayne Stovall,REP,0,0,0
Lynn,Precinct 7,U.S. Senate,,John Cornyn,REP,9,5,4
Lynn,Precinct 7,U.S. Senate,,Chris Mapp,REP,0,0,0
Lynn,Precinct 7,U.S. Senate,,Steve Stockman,REP,3,3,0
Lynn,Precinct 7,U.S. Senate,,Reid Reasor,REP,0,0,0
Lynn,Precinct 7,U.S. Senate,,Linda Vega,REP,0,0,0
Lynn,Precinct 7,U.S. Senate,,Ken Cope,REP,1,0,1
Lynn,Precinct 7,U.S. House,19,Randy Neugebauer,REP,10,7,3
Lynn,Precinct 7,U.S. House,19,Donald R. May,REP,2,0,2
Lynn,Precinct 7,U.S. House,19,Chris Winn,REP,1,1,0
Lynn,Precinct 7,Governor,,SECEDE Kilgore,REP,0,0,0
Lynn,Precinct 7,Governor,,Greg Abbott,REP,13,8,5
Lynn,Precinct 7,Governor,,Lisa Fritsch,REP,0,0,0
Lynn,Precinct 7,Governor,,Miriam Martinez,REP,0,0,0
Lynn,Precinct 7,Lieutenant Governor,,Todd Staples,REP,3,3,0
Lynn,Precinct 7,Lieutenant Governor,,Dan Patrick,REP,7,3,4
Lynn,Precinct 7,Lieutenant Governor,,David Dewhurst,REP,3,2,1
Lynn,Precinct 7,Lieutenant Governor,,Jerry Patterson,REP,0,0,0
Lynn,Precinct 7,Attorney General,,Barry Smitherman,REP,2,0,2
Lynn,Precinct 7,Attorney General,,Dan Branch,REP,5,4,1
Lynn,Precinct 7,Attorney General,,Ken Paxton,REP,6,4,2
Lynn,Precinct 7,Comptroller of Public Accounts,,Glenn Hegar,REP,7,7,0
Lynn,Precinct 7,Comptroller of Public Accounts,,Raul Torres,REP,0,0,0
Lynn,Precinct 7,Comptroller of Public Accounts,,Harvey Hilderbran,REP,6,1,5
Lynn,Precinct 7,Comptroller of Public Accounts,,Debra Medina,REP,0,0,0
Lynn,Precinct 7,Commissioner of the General Land Office,,George P. Bush,REP,9,5,4
Lynn,Precinct 7,Commissioner of the General Land Office,,David Watts,REP,4,3,1
Lynn,Precinct 7,Commissioner of Agriculture,,Joe Cotten,REP,2,1,1
Lynn,Precinct 7,Commissioner of Agriculture,,Sid Miller,REP,6,4,2
Lynn,Precinct 7,Commissioner of Agriculture,,Tommy Merritt,REP,4,2,2
Lynn,Precinct 7,Commissioner of Agriculture,,J. Allen Carnes,REP,1,1,0
Lynn,Precinct 7,Commissioner of Agriculture,,Eric Opiela,REP,0,0,0
Lynn,Precinct 7,Railroad Commissioner,,Malachi Boyuls,REP,2,2,0
Lynn,Precinct 7,Railroad Commissioner,,Becky Berger,REP,1,1,0
Lynn,Precinct 7,Railroad Commissioner,,Ryan Sitton,REP,2,0,2
Lynn,Precinct 7,Railroad Commissioner,,Wayne Christian,REP,7,4,3
Lynn,Precinct 7,State Representative,83,Charles Perry,REP,11,6,5
Lynn,Precinct 7,State Representative,83,Steve Massengale,REP,1,1,0
Lynn,Precinct 9,Registered Voters,,,,,,384
Lynn,Precinct 9,Ballots Cast,,,,,,201
Lynn,Precinct 9,U.S. Senate,,Curt Cleaver,REP,4,4,0
Lynn,Precinct 9,U.S. Senate,,Dwayne Stovall,REP,11,8,3
Lynn,Precinct 9,U.S. Senate,,John Cornyn,REP,112,55,57
Lynn,Precinct 9,U.S. Senate,,Chris Mapp,REP,4,1,3
Lynn,Precinct 9,U.S. Senate,,Steve Stockman,REP,25,10,15
Lynn,Precinct 9,U.S. Senate,,Reid Reasor,REP,0,0,0
Lynn,Precinct 9,U.S. Senate,,Linda Vega,REP,9,5,4
Lynn,Precinct 9,U.S. Senate,,Ken Cope,REP,2,1,1
Lynn,Precinct 9,U.S. House,19,Randy Neugebauer,REP,131,68,63
Lynn,Precinct 9,U.S. House,19,Donald R. May,REP,21,9,12
Lynn,Precinct 9,U.S. House,19,Chris Winn,REP,34,13,21
Lynn,Precinct 9,Governor,,SECEDE Kilgore,REP,8,3,5
Lynn,Precinct 9,Governor,,Greg Abbott,REP,149,72,77
Lynn,Precinct 9,Governor,,Lisa Fritsch,REP,9,3,6
Lynn,Precinct 9,Governor,,Miriam Martinez,REP,8,5,3
Lynn,Precinct 9,Lieutenant Governor,,Todd Staples,REP,54,25,29
Lynn,Precinct 9,Lieutenant Governor,,Dan Patrick,REP,28,17,11
Lynn,Precinct 9,Lieutenant Governor,,David Dewhurst,REP,80,39,41
Lynn,Precinct 9,Lieutenant Governor,,Jerry Patterson,REP,15,5,10
Lynn,Precinct 9,Attorney General,,Barry Smitherman,REP,58,29,29
Lynn,Precinct 9,Attorney General,,Dan Branch,REP,65,32,33
Lynn,Precinct 9,Attorney General,,Ken Paxton,REP,37,18,19
Lynn,Precinct 9,Comptroller of Public Accounts,,Glenn Hegar,REP,83,40,43
Lynn,Precinct 9,Comptroller of Public Accounts,,Raul Torres,REP,5,5,0
Lynn,Precinct 9,Comptroller of Public Accounts,,Harvey Hilderbran,REP,50,22,28
Lynn,Precinct 9,Comptroller of Public Accounts,,Debra Medina,REP,12,6,6
Lynn,Precinct 9,Commissioner of the General Land Office,,George P. Bush,REP,114,57,57
Lynn,Precinct 9,Commissioner of the General Land Office,,David Watts,REP,44,18,26
Lynn,Precinct 9,Commissioner of Agriculture,,Joe Cotten,REP,40,17,23
Lynn,Precinct 9,Commissioner of Agriculture,,Sid Miller,REP,27,14,13
Lynn,Precinct 9,Commissioner of Agriculture,,Tommy Merritt,REP,40,18,22
Lynn,Precinct 9,Commissioner of Agriculture,,J. Allen Carnes,REP,26,18,8
Lynn,Precinct 9,Commissioner of Agriculture,,Eric Opiela,REP,4,2,2
Lynn,Precinct 9,Railroad Commissioner,,Malachi Boyuls,REP,18,13,5
Lynn,Precinct 9,Railroad Commissioner,,Becky Berger,REP,25,12,13
Lynn,Precinct 9,Railroad Commissioner,,Ryan Sitton,REP,60,27,33
Lynn,Precinct 9,Railroad Commissioner,,Wayne Christian,REP,32,16,16
Lynn,Precinct 9,State Representative,83,Charles Perry,REP,94,47,47
Lynn,Precinct 9,State Representative,83,Steve Massengale,REP,81,38,43
Lynn,Precinct 12,Registered Voters,,,,,,226
Lynn,Precinct 12,Ballots Cast,,,,,,64
Lynn,Precinct 12,U.S. Senate,,Curt Cleaver,REP,0,0,0
Lynn,Precinct 12,U.S. Senate,,Dwayne Stovall,REP,3,2,1
Lynn,Precinct 12,U.S. Senate,,John Cornyn,REP,29,15,14
Lynn,Precinct 12,U.S. Senate,,Chris Mapp,REP,0,0,0
Lynn,Precinct 12,U.S. Senate,,Steve Stockman,REP,8,5,3
Lynn,Precinct 12,U.S. Senate,,Reid Reasor,REP,0,0,0
Lynn,Precinct 12,U.S. Senate,,Linda Vega,REP,11,2,9
Lynn,Precinct 12,U.S. Senate,,Ken Cope,REP,4,2,2
Lynn,Precinct 12,U.S. House,19,Randy Neugebauer,REP,34,17,17
Lynn,Precinct 12,U.S. House,19,Donald R. May,REP,15,9,6
Lynn,Precinct 12,U.S. House,19,Chris Winn,REP,8,2,6
Lynn,Precinct 12,Governor,,SECEDE Kilgore,REP,0,0,0
Lynn,Precinct 12,Governor,,Greg Abbott,REP,39,19,20
Lynn,Precinct 12,Governor,,Lisa Fritsch,REP,8,4,4
Lynn,Precinct 12,Governor,,Miriam Martinez,REP,8,3,5
Lynn,Precinct 12,Lieutenant Governor,,Todd Staples,REP,12,3,9
Lynn,Precinct 12,Lieutenant Governor,,Dan Patrick,REP,18,10,8
Lynn,Precinct 12,Lieutenant Governor,,David Dewhurst,REP,25,13,12
Lynn,Precinct 12,Lieutenant Governor,,Jerry Patterson,REP,2,2,0
Lynn,Precinct 12,Attorney General,,Barry Smitherman,REP,21,10,11
Lynn,Precinct 12,Attorney General,,Dan Branch,REP,18,6,12
Lynn,Precinct 12,Attorney General,,Ken Paxton,REP,17,12,5
Lynn,Precinct 12,Comptroller of Public Accounts,,Glenn Hegar,REP,19,9,10
Lynn,Precinct 12,Comptroller of Public Accounts,,Raul Torres,REP,7,2,5
Lynn,Precinct 12,Comptroller of Public Accounts,,Harvey Hilderbran,REP,15,9,6
Lynn,Precinct 12,Comptroller of Public Accounts,,Debra Medina,REP,13,6,7
Lynn,Precinct 12,Commissioner of the General Land Office,,George P. Bush,REP,30,12,18
Lynn,Precinct 12,Commissioner of the General Land Office,,David Watts,REP,23,14,9
Lynn,Precinct 12,Commissioner of Agriculture,,Joe Cotten,REP,10,5,5
Lynn,Precinct 12,Commissioner of Agriculture,,Sid Miller,REP,18,9,9
Lynn,Precinct 12,Commissioner of Agriculture,,Tommy Merritt,REP,9,3,6
Lynn,Precinct 12,Commissioner of Agriculture,,J. Allen Carnes,REP,6,4,2
Lynn,Precinct 12,Commissioner of Agriculture,,Eric Opiela,REP,6,2,4
Lynn,Precinct 12,Railroad Commissioner,,Malachi Boyuls,REP,6,2,4
Lynn,Precinct 12,Railroad Commissioner,,Becky Berger,REP,15,5,10
Lynn,Precinct 12,Railroad Commissioner,,Ryan Sitton,REP,15,9,6
Lynn,Precinct 12,Railroad Commissioner,,Wayne Christian,REP,15,8,7
Lynn,Precinct 12,State Representative,83,Charles Perry,REP,33,18,15
Lynn,Precinct 12,State Representative,83,Steve Massengale,REP,24,9,15
Lynn,Precinct 13,Registered Voters,,,,,,124
Lynn,Precinct 13,Ballots Cast,,,,,,38
Lynn,Precinct 13,U.S. Senate,,Curt Cleaver,REP,0,0,0
Lynn,Precinct 13,U.S. Senate,,Dwayne Stovall,REP,3,2,1
Lynn,Precinct 13,U.S. Senate,,John Cornyn,REP,24,11,13
Lynn,Precinct 13,U.S. Senate,,Chris Mapp,REP,1,1,0
Lynn,Precinct 13,U.S. Senate,,Steve Stockman,REP,3,2,1
Lynn,Precinct 13,U.S. Senate,,Reid Reasor,REP,0,0,0
Lynn,Precinct 13,U.S. Senate,,Linda Vega,REP,3,0,3
Lynn,Precinct 13,U.S. Senate,,Ken Cope,REP,2,0,2
Lynn,Precinct 13,U.S. House,19,Randy Neugebauer,REP,22,8,14
Lynn,Precinct 13,U.S. House,19,Donald R. May,REP,10,5,5
Lynn,Precinct 13,U.S. House,19,Chris Winn,REP,5,3,2
Lynn,Precinct 13,Governor,,SECEDE Kilgore,REP,2,2,0
Lynn,Precinct 13,Governor,,Greg Abbott,REP,28,11,17
Lynn,Precinct 13,Governor,,Lisa Fritsch,REP,2,1,1
Lynn,Precinct 13,Governor,,Miriam Martinez,REP,2,0,2
Lynn,Precinct 13,Lieutenant Governor,,Todd Staples,REP,12,3,9
Lynn,Precinct 13,Lieutenant Governor,,Dan Patrick,REP,10,9,1
Lynn,Precinct 13,Lieutenant Governor,,David Dewhurst,REP,13,3,10
Lynn,Precinct 13,Lieutenant Governor,,Jerry Patterson,REP,1,0,1
Lynn,Precinct 13,Attorney General,,Barry Smitherman,REP,9,3,6
Lynn,Precinct 13,Attorney General,,Dan Branch,REP,15,7,8
Lynn,Precinct 13,Attorney General,,Ken Paxton,REP,11,5,6
Lynn,Precinct 13,Comptroller of Public Accounts,,Glenn Hegar,REP,16,9,7
Lynn,Precinct 13,Comptroller of Public Accounts,,Raul Torres,REP,1,0,1
