office,district,candidate,incumbent,party,votes,pct
U. S. Representative,7,Drew  Parks,False,LIB,4182,1.68
U. S. Representative,7,John R. SkonePalmer,False,WI,5,0.00
U. S. Representative,7,Total,,,248593,
U. S. Representative,8,Kevin Brady,True,REP,233848,91.63
U. S. Representative,8,Gil  Guillory,False,LIB,21368,8.37
U. S. Representative,8,Total,,,255216,
U. S. Representative,9,Paul Williams,False,REP,87165,39.65
U. S. Representative,9,Nick Lampson,True,DEM,130143,59.21
U. S. Representative,9,F. Charles Knipp,False,LIB,2508,1.14
U. S. Representative,9,Total,,,219816,
U. S. Representative,10,Lloyd  Doggett,True,DEM,203628,84.55
U. S. Representative,10,Michael  Davis,False,LIB,37203,15.45
U. S. Representative,10,Total,,,240831,
U. S. Representative,11,Ramsey Farley,False,REP,85546,44.34
U. S. Representative,11,Chet Edwards,True,DEM,105782,54.83
U. S. Representative,11,Mark A. Swanstrom,False,LIB,1590,0.82
U. S. Representative,11,Total,,,192918,
U. S. Representative,12,Kay Granger,True,REP,117739,62.66
U. S. Representative,12,Mark Greene,False,DEM,67612,35.98
U. S. Representative,12,Ricky L.  Clay,False,LIB,2565,1.36
U. S. Representative,12,Total,,,187916,
U. S. Representative,13,Mac Thornberry,True,REP,117995,67.63
U. S. Representative,13,Curtis Clinesmith,False,DEM,54343,31.15
U. S. Representative,13,Brad Clardy,False,LIB,2137,1.22
U. S. Representative,13,Total,,,174475,
U. S. Representative,14,Ron Paul,True,REP,137370,59.71
U. S. Representative,14,Loy Sneary,False,DEM,92689,40.29
U. S. Representative,14,Total,,,230059,
U. S. Representative,15,Ruben Hinojosa,True,DEM,106570,88.48
U. S. Representative,15,Frank Jones,False,LIB,13167,10.93
U. S. Representative,15,Israel Cantu,False,WI,711,0.59
U. S. Representative,15,Total,,,120448,
U. S. Representative,16,Daniel S. Power,False,REP,40921,30.17
U. S. Representative,16,Silvestre Reyes,True,DEM,92649,68.30
U. S. Representative,16,Dan Moser,False,LIB,2080,1.53
U. S. Representative,16,Total,,,135650,
U. S. Representative,17,Darrell Clements,False,REP,72535,35.48
U. S. Representative,17,Charlie Stenholm,True,DEM,120670,59.03
U. S. Representative,17,Debra M.  Monde,False,LIB,11180,5.47
U. S. Representative,17,Pete Julia,False,WI,45,0.02
U. S. Representative,17,Total,,,204430,
U. S. Representative,18,Bob Levy,False,REP,38191,22.16
U. S. Representative,18,Sheila Jackson Lee,True,DEM,131857,76.49
U. S. Representative,18,Colin  Nankervis,False,LIB,2330,1.35
U. S. Representative,18,Total,,,172378,
U. S. Representative,19,Larry Combest,True,REP,170319,91.62
U. S. Representative,19,John Turnbow,False,LIB,15579,8.38
U. S. Representative,19,Total,,,185898,
U. S. Representative,20,Charles A. Gonzalez,True,DEM,107487,87.69
U. S. Representative,20,Alejandro (Alex)  De Pena,False,LIB,15087,12.31
U. S. Representative,20,Total,,,122574,
U. S. Representative,21,Lamar Smith,True,REP,251049,75.87
U. S. Representative,21,Jim Green,False,DEM,73326,22.16
U. S. Representative,21,C.W. (Jinx)  Steinbrecher,False,LIB,6503,1.97
U. S. Representative,21,Total,,,330878,
U. S. Representative,22,Tom DeLay,True,REP,154662,60.35
U. S. Representative,22,Jo Ann Matranga,False,DEM,92645,36.15
U. S. Representative,22,Kent  Probst,False,LIB,3383,1.32
U. S. Representative,22,Bob Schneider,False,IND,5577,2.18
U. S. Representative,22,Total,,,256267,
U. S. Representative,23,Henry Bonilla,True,REP,119679,59.32
U. S. Representative,23,"Isidro Garza, Jr.",False,DEM,78274,38.80
U. S. Representative,23,Jeffrey C.  Blunt,False,LIB,3801,1.88
U. S. Representative,23,Total,,,201754,
U. S. Representative,24,"James ""Bryndan"" Wright",False,REP,61235,36.68
U. S. Representative,24,Martin Frost,True,DEM,103152,61.79
U. S. Representative,24,Robert  (Bob) Worthington,False,LIB,2561,1.53
U. S. Representative,24,Total,,,166948,
U. S. Representative,25,Phil Sudan,False,REP,68010,38.53
U. S. Representative,25,Ken Bentsen,True,DEM,106112,60.11
U. S. Representative,25,Clifford Lee  Messina,False,LIB,2400,1.36
U. S. Representative,25,Total,,,176522,
U. S. Representative,26,Dick Armey,True,REP,214025,72.48
U. S. Representative,26,Steve Love,False,DEM,75601,25.60
U. S. Representative,26,Fred E.  Badagnani,False,LIB,5646,1.91
U. S. Representative,26,Total,,,295272,
U. S. Representative,27,Pat Ahumada,False,REP,54660,33.94
U. S. Representative,27,Solomon P. Ortiz,True,DEM,102088,63.38
U. S. Representative,27,William  Bunch,False,LIB,4324,2.68
U. S. Representative,27,Total,,,161072,
U. S. Representative,28,Ciro D. Rodriguez,True,DEM,123104,89.04
U. S. Representative,28,William A.  Stallknecht,False,LIB,15156,10.96
U. S. Representative,28,Total,,,138260,
U. S. Representative,29,Joe Vu,False,REP,29606,25.64
U. S. Representative,29,Gene Green,True,DEM,84665,73.32
U. S. Representative,29,Ray Dittmar,False,LIB,1204,1.04
U. S. Representative,29,Total,,,115475,
U. S. Representative,30,Eddie Bernice Johnson,True,DEM,109163,91.76
U. S. Representative,30,Kelly Rush,False,LIB,9798,8.24
U. S. Representative,30,Total,,,118961,
Railroad Commissioner,,Charles R. Matthews,True,REP,3633901,77.03
Railroad Commissioner,,Carolyn  Fields,False,LIB,738634,15.66
Railroad Commissioner,,Gary Dugger,False,GRN,344820,7.31
Railroad Commissioner,,Total,,,4717355,
Railroad  Commissioner  Unexpired Term,,Michael L. Williams,True,REP,3600967,77.01
Railroad  Commissioner  Unexpired Term,,Anthony Garcia,False,LIB,740340,15.83
Railroad  Commissioner  Unexpired Term,,Charles L. Mauch,False,GRN,334706,7.16
Railroad  Commissioner  Unexpired Term,,Total,,,4676013,
"Justice, Supreme Court, Place 1",,Nathan Hecht,True,REP,3663424,78.80
"Justice, Supreme Court, Place 1",,Mike Jacobellis,False,LIB,534420,11.49
"Justice, Supreme Court, Place 1",,Ben G. Levy,False,GRN,451333,9.71
"Justice, Supreme Court, Place 1",,Total,,,4649177,
"Justice, Supreme Court, Place 2",,Priscilla Owen,True,REP,3860541,84.26
"Justice, Supreme Court, Place 2",,"Joe Alfred  Izen, Jr.",False,LIB,721034,15.74
"Justice, Supreme Court, Place 2",,Total,,,4581575,
"Justice, Supreme Court, Place 3",,Al Gonzales,True,REP,3748416,81.33
"Justice, Supreme Court, Place 3",,Lance Smith,False,LIB,860206,18.67
"Justice, Supreme Court, Place 3",,Total,,,4608622,
"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,False,REP,3312393,56.11
"Presiding Judge, Court of Criminal Appeals",,Bill  Vance,False,DEM,2591005,43.89
"Presiding Judge, Court of Criminal Appeals",,Total,,,5903398,
Judge Court of Criminal Appeals,1,Charles Holcomb,False,REP,3824312,84.45
Judge Court of Criminal Appeals,1,Rife Scott Kimler,False,LIB,704237,15.55
Judge Court of Criminal Appeals,1,Total,,,4528549,
Judge Court of Criminal Appeals,2,Barbara Parker Hervey,False,REP,3335602,56.91
Judge Court of Criminal Appeals,2,William R. Barr,False,DEM,2525364,43.09
Judge Court of Criminal Appeals,2,Total,,,5860966,
Member State Board of Education,3,Joe J. Bernal,True,DEM,213516,100.00
Member State Board of Education,3,Total,,,213516,
Member State Board of Education,4,Alma A. Allen,True,DEM,226947,100.00
Member State Board of Education,4,Total,,,226947,
Member State Board of Education,5,Dan Montgomery,False,REP,374255,100.00
Member State Board of Education,5,Total,,,374255,
Member State Board of Education,6,Chase Untermeyer,True,REP,334501,100.00
Member State Board of Education,6,Total,,,334501,
Member State Board of Education,7,David Bradley,False,REP,202970,52.50
Member State Board of Education,7,Fanniece Hawkins,False,DEM,171214,44.29
Member State Board of Education,7,Richard E. Walker,False,LIB,12406,3.21
Member State Board of Education,7,Total,,,386590,
Member State Board of Education,10,Cynthia A. Thornton,False,REP,279581,50.01
Member State Board of Education,10,Donna Howard,False,DEM,250515,44.81
Member State Board of Education,10,Nancy C. Neale,False,LIB,28963,5.18
Member State Board of Education,10,Total,,,559059,
Member State Board of Education,11,Richard Neill,True,REP,385811,100.00
Member State Board of Education,11,Total,,,385811,
Member State Board of Education,12,"Geraldine ""Tincy"" Miller",True,REP,384760,100.00
Member State Board of Education,12,Total,,,384760,
State Senate,2,Bob  Deuell,False,REP,88212,46.82
State Senate,2,David Cain,True,DEM,100181,53.18
State Senate,2,Total,,,188393,
State Senate,3,Todd Staples,False,REP,152514,60.64
State Senate,3,David Fisher,False,DEM,98976,39.36
State Senate,3,Total,,,251490,
State Senate,7,Jon Lindsay,True,REP,219835,100.00
State Senate,7,Total,,,219835,
State Senate,8,Florence Shapiro,True,REP,225369,100.00
State Senate,8,Total,,,225369,
State Senate,9,Jane Nelson,True,REP,207079,100.00
State Senate,9,Total,,,207079,
State Senate,10,Chris Harris,True,REP,187302,100.00
State Senate,10,Total,,,187302,
State Senate,12,George  Host,False,REP,61846,36.34
State Senate,12,Mike Moncrief,True,DEM,108349,63.66
State Senate,12,Total,,,170195,
State Senate,14,Gonzalo Barrientos,True,DEM,185478,81.95
State Senate,14,Tom  Davis,False,LIB,40847,18.05
State Senate,14,Total,,,226325,
State Senate,15,Warren A. Lawless,False,REP,51465,34.94
State Senate,15,John Whitmire,True,DEM,95826,65.06
State Senate,15,Total,,,147291,
State Senate,21,David Swift,False,REP,53547,33.54
State Senate,21,Judith Zaffirini,True,DEM,106089,66.46
State Senate,21,Total,,,159636,
State Senate,24,Troy Fraser,False,REP,130913,100.00
State Senate,24,Total,,,130913,
State Senate,25,Jeff Wentworth,True,REP,283857,87.43
State Senate,25,George  Meeks,False,LIB,40806,12.57
State Senate,25,Total,,,324663,
State Senate,26,Leticia Van de Putte,True,DEM,105771,100.00
State Senate,26,Total,,,105771,
State Senate,27,"Eddie Lucio, Jr.",True,DEM,94042,100.00
State Senate,27,Total,,,94042,
State Senate,29,Eliot Shapleigh,True,DEM,101045,100.00
State Senate,29,Total,,,101045,
State Representative,1,Barry B. Telford,True,DEM,29989,100.00
State Representative,1,Total,,,29989,
State Representative,2,Tom Ramsay,True,DEM,29702,100.00
State Representative,2,Total,,,29702,
State Representative,3,Mark Homer,True,DEM,29320,100.00
State Representative,3,Total,,,29320,
State Representative,4,Betty Brown,True,REP,29124,63.85
State Representative,4,Charles Elliott,False,DEM,16492,36.15
State Representative,4,Total,,,45616,
State Representative,5,Bill G. Hollowell,False,REP,19478,47.47
State Representative,5,Bob Glaze,True,DEM,21556,52.53
State Representative,5,Total,,,41034,
State Representative,6,Leo Berman,True,REP,35404,73.78
State Representative,6,Bill Bowen,False,DEM,12579,26.22
State Representative,6,Total,,,47983,
State Representative,7,Tommy Merritt,True,REP,29574,100.00
State Representative,7,Total,,,29574,
State Representative,8,Paul Sadler,True,DEM,32833,100.00
State Representative,8,Total,,,32833,
State Representative,9,Wayne Christian,True,REP,24625,55.41
State Representative,9,Joe Evans,False,DEM,19817,44.59
State Representative,9,Total,,,44442,
State Representative,10,Jim Pitts,True,REP,35932,100.00
State Representative,10,Total,,,35932,
State Representative,11,"Paul S. Woodard, Jr.",False,REP,19459,46.95
State Representative,11,Chuck Hopson,False,DEM,21991,53.05
State Representative,11,Total,,,41450,
State Representative,12,Clyde Alexander,True,DEM,32095,100.00
State Representative,12,Total,,,32095,
State Representative,13,Lois W. Kolkhorst,False,REP,32840,100.00
State Representative,13,Total,,,32840,
State Representative,14,Fred Brown,True,REP,28981,86.90
State Representative,14,Bruce W.  Rose,False,LIB,4369,13.10
State Representative,14,Total,,,33350,
State Representative,15,"Thomas D. ""Tommy""  Williams",True,REP,53164,88.38
State Representative,15,Allen Wolf,False,LIB,6988,11.62
State Representative,15,Total,,,60152,
State Representative,16,"Ruben W.  Hope, Jr.",True,REP,43078,100.00
State Representative,16,Total,,,43078,
State Representative,17,Jim McReynolds,True,DEM,32522,100.00
State Representative,17,Total,,,32522,
State Representative,18,Ben Bius,False,REP,22839,48.75
State Representative,18,Dan Ellis,True,DEM,24013,51.25
State Representative,18,Total,,,46852,
State Representative,19,Ron E. Lewis,True,DEM,29869,100.00
State Representative,19,Total,,,29869,
State Representative,20,Eddie Shauberger,False,REP,20868,44.70
State Representative,20,Zeb Zbranek,True,DEM,25352,54.31
State Representative,20,Wade Brown,False,WI,461,0.99
State Representative,20,Total,,,46681,
State Representative,21,Mary Jane Avery,False,REP,20484,42.63
State Representative,21,Allan B. Ritter,True,DEM,27033,56.26
State Representative,21,Amy Jacobellis,False,LIB,531,1.11
State Representative,21,Total,,,48048,
State Representative,22,Joe Deshotel,True,DEM,26788,100.00
State Representative,22,Total,,,26788,
State Representative,23,Jeff Harrison,False,REP,18394,41.43
State Representative,23,Patricia Gray,True,DEM,25232,56.84
State Representative,23,Steven Multhaup,False,LIB,767,1.73
State Representative,23,Total,,,44393,
State Representative,24,John Hart,False,REP,18473,40.58
State Representative,24,Craig Eiland,True,DEM,27052,59.42
State Representative,24,Total,,,45525,
State Representative,25,Dennis  Bonnen,True,REP,42719,100.00
State Representative,25,Total,,,42719,
State Representative,26,Charlie Howard,True,REP,51245,69.54
State Representative,26,Nathan Reid,False,DEM,22451,30.46
State Representative,26,Total,,,73696,
State Representative,27,Lester Phipps,False,REP,15852,35.98
State Representative,27,Dora Olivo,True,DEM,28209,64.02
State Representative,27,Total,,,44061,
State Representative,28,Phil Stephenson,False,REP,17321,36.65
State Representative,28,Robby Cook,True,DEM,29937,63.35
State Representative,28,Total,,,47258,
State Representative,29,"D. R. ""Tom"" Uher",True,DEM,24376,100.00
State Representative,29,Total,,,24376,
State Representative,30,Geanie W. Morrison,True,REP,30418,100.00
State Representative,30,Total,,,30418,
State Representative,31,Judy Hawley,True,DEM,28905,100.00
State Representative,31,Total,,,28905,
State Representative,32,Gene Seaman,True,REP,37056,100.00
State Representative,32,Total,,,37056,
State Representative,33,Vilma Luna,True,DEM,25326,100.00
State Representative,33,Total,,,25326,
State Representative,34,Jaime Capelo,True,DEM,22504,100.00
State Representative,34,Total,,,22504,
State Representative,35,Irma Rangel,True,DEM,23440,100.00
State Representative,35,Total,,,23440,
State Representative,36,"Ismael ""Kino"" Flores",True,DEM,18451,100.00
State Representative,36,Total,,,18451,
State Representative,37,Rene O. Oliveira,True,DEM,15796,100.00
State Representative,37,Total,,,15796,
State Representative,38,Chris Hughston,False,REP,10111,35.71
State Representative,38,Jim Solis,True,DEM,18200,64.29
State Representative,38,Total,,,28311,
State Representative,39,Miguel Wise,True,DEM,15837,100.00
State Representative,39,Total,,,15837,
State Representative,40,"Juan ""Chuy"" Hinojosa",True,DEM,19023,100.00
State Representative,40,Total,,,19023,
State Representative,41,Roberto Gutierrez,True,DEM,18808,100.00
State Representative,41,Total,,,18808,
State Representative,42,Henry Cuellar,True,DEM,23089,100.00
State Representative,42,Total,,,23089,
State Representative,43,Tracy O. King,True,DEM,29749,100.00
State Representative,43,Total,,,29749,
State Representative,44,Darrell T. Brownlow,False,REP,18247,44.85
State Representative,44,"Ignacio Salinas, Jr.",True,DEM,22435,55.15
State Representative,44,Total,,,40682,
State Representative,45,Edmund Kuempel,True,REP,49380,100.00
State Representative,45,Total,,,49380,
State Representative,46,Rick Green,True,REP,27551,57.12
State Representative,46,"Ivan ""Buddy"" Friedman",False,DEM,18648,38.66
State Representative,46,Shannon Louise Carr,False,LIB,2031,4.21
State Representative,46,Total,,,48230,
State Representative,47,Terry  Keel,True,REP,74958,83.12
State Representative,47,Michael  Badnarik,False,LIB,15221,16.88
State Representative,47,Total,,,90179,
State Representative,48,Jill Warren,False,REP,21300,37.24
State Representative,48,Ann Kitchen,False,DEM,33687,58.90
State Representative,48,Philip  Durgin,False,LIB,2208,3.86
State Representative,48,Total,,,57195,
State Representative,49,Gus Blomquist,False,REP,17672,34.75
State Representative,49,Elliott Naishtat,True,DEM,29833,58.66
State Representative,49,Rock  Howard,False,LIB,3355,6.60
State Representative,49,Total,,,50860,
State Representative,50,Dawnna  Dukes,True,DEM,31639,86.64
State Representative,50,Vincent J. May,False,LIB,4877,13.36
State Representative,50,Total,,,36516,
State Representative,51,Glen Maxey,True,DEM,27263,100.00
State Representative,51,Total,,,27263,
State Representative,52,Mike Krusee,True,REP,54196,83.94
State Representative,52,Clark Simmons,False,LIB,10368,16.06
State Representative,52,Total,,,64564,
State Representative,53,Harvey Hilderbran,True,REP,60638,100.00
State Representative,53,Total,,,60638,
State Representative,54,Suzanna Gratia Hupp,True,REP,23139,62.18
State Representative,54,Don Armstrong,False,DEM,14074,37.82
State Representative,54,Total,,,37213,
State Representative,55,Dianne White Delisi,True,REP,26089,100.00
State Representative,55,Total,,,26089,
State Representative,56,Kip Averitt,True,REP,35156,100.00
State Representative,56,Total,,,35156,
State Representative,57,Jim Dunnam,True,DEM,25415,100.00
State Representative,57,Total,,,25415,
State Representative,58,Arlene Wohlgemuth,True,REP,35399,100.00
State Representative,58,Total,,,35399,
State Representative,59,Sid Miller,False,REP,18566,54.40
State Representative,59,David Lengefeld,True,DEM,15561,45.60
State Representative,59,Total,,,34127,
State Representative,60,James L. ,True,REP,35395,100.00
State Representative,60,Total,,,35395,
State Representative,61,Phil King,True,REP,42150,100.00
State Representative,61,Total,,,42150,
State Representative,62,Ron Clark,True,REP,35073,100.00
State Representative,62,Total,,,35073,
State Representative,63,Mary Denny,True,REP,51103,88.08
State Representative,63,Patrick  Flanagan,False,LIB,6914,11.92
State Representative,63,Total,,,58017,
State Representative,64,Myra Crownover,True,REP,51681,100.00
State Representative,64,Total,,,51681,
State Representative,65,Burt Solomons,True,REP,34901,100.00
State Representative,65,Total,,,34901,
State Representative,66,Brian McCall,True,REP,59905,100.00
State Representative,66,Total,,,59905,
State Representative,67,Jerry Madden,True,REP,52550,88.42
State Representative,67,Dan  Lemon,False,LIB,6882,11.58
State Representative,67,Total,,,59432,
State Representative,68,Rick Hardcastle,True,REP,23978,57.94
State Representative,68,Betty Furr Richie,False,DEM,17405,42.06
State Representative,68,Total,,,41383,
State Representative,69,David Farabee,True,DEM,26079,100.00
State Representative,69,Total,,,26079,
State Representative,70,David Counts,True,DEM,26189,100.00
State Representative,70,Total,,,26189,
State Representative,71,Bob Hunter,True,REP,32285,100.00
State Representative,71,Total,,,32285,
State Representative,72,Betsy Johnson,False,REP,10243,26.36
State Representative,72,Robert A. Junell,True,DEM,28608,73.64
State Representative,72,Total,,,38851,
State Representative,73,Steve Fryar,False,REP,22503,45.60
State Representative,73,Robert ,True,DEM,26843,54.40
State Representative,73,Total,,,49346,
State Representative,74,Pete P. Gallego,True,DEM,26019,100.00
State Representative,74,Total,,,26019,
State Representative,75,Manny Najera,True,DEM,21528,100.00
State Representative,75,Total,,,21528,
State Representative,76,Norma Chavez,True,DEM,22335,100.00
State Representative,76,Total,,,22335,
State Representative,77,Paul C. Moreno,True,DEM,16213,100.00
State Representative,77,Total,,,16213,
State Representative,78,Pat Haggerty,True,REP,28409,100.00
State Representative,78,Total,,,28409,
State Representative,79,Joe C. Pickett,True,DEM,22322,100.00
State Representative,79,Total,,,22322,
State Representative,80,Gary L.  Walker,True,REP,23728,100.00
State Representative,80,Total,,,23728,
State Representative,81,"G. E. ""Buddy"" West",True,REP,25933,100.00
State Representative,81,Total,,,25933,
State Representative,82,Tom  Craddick,True,REP,31717,78.28
State Representative,82,Gilberto M. Garcia,False,DEM,8798,21.72
State Representative,82,Total,,,40515,
State Representative,83,Delwin Jones,True,REP,19532,86.62
State Representative,83,The Mad Hatter,False,LIB,3017,13.38
State Representative,83,Total,,,22549,
State Representative,84,Carl H. Isett,True,REP,37135,87.60
State Representative,84,Brian Winn,False,LIB,5258,12.40
State Representative,84,Total,,,42393,
State Representative,85,"James E. ""Pete"" Laney",True,DEM,22939,100.00
State Representative,85,Total,,,22939,
State Representative,86,John Smithee,True,REP,40989,100.00
State Representative,86,Total,,,40989,
State Representative,87,David Swinford,True,REP,23856,100.00
State Representative,87,Total,,,23856,
State Representative,88,Warren Chisum,True,REP,33339,100.00
State Representative,88,Total,,,33339,
State Representative,89,Charlie Geren,False,REP,23548,62.59
State Representative,89,Nathan Schattman,False,DEM,14077,37.41
State Representative,89,Total,,,37625,
State Representative,90,Lon Burnam,True,DEM,15531,100.00
State Representative,90,Total,,,15531,
State Representative,91,Bill G. Carter,True,REP,36186,100.00
State Representative,91,Total,,,36186,
State Representative,92,Todd Smith,True,REP,35192,100.00
State Representative,92,Total,,,35192,
State Representative,93,Toby Goodman,True,REP,24833,100.00
State Representative,93,Total,,,24833,
State Representative,94,Kent Grusendorf,True,REP,35792,100.00
State Representative,94,Total,,,35792,
State Representative,95,Glenn Lewis,True,DEM,28851,100.00
State Representative,95,Total,,,28851,
State Representative,96,Kim Brimer,True,REP,39604,86.57
State Representative,96,Colin F.  Sewards,False,LIB,6146,13.43
State Representative,96,Total,,,45750,
State Representative,97,Anna Mowery,True,REP,41799,87.98
State Representative,97,Charles  Ellis,False,LIB,5708,12.02
State Representative,97,Total,,,47507,
State Representative,98,Vicki Truitt,True,REP,47045,72.99
State Representative,98,Gene Mitchell,False,DEM,15702,24.36
State Representative,98,Patrick O.  Jackson,False,LIB,1711,2.65
State Representative,98,Total,,,64458,
State Representative,99,Kenny E. Marchant,True,REP,37713,100.00
State Representative,99,Total,,,37713,
State Representative,100,Terri Hodge,True,DEM,19907,100.00
State Representative,100,Total,,,19907,
State Representative,101,Elvira Reyna,True,REP,23410,58.40
State Representative,101,Bruce Archer,False,DEM,16675,41.60
State Representative,101,Total,,,40085,
State Representative,102,Tony Goolsby,True,REP,26418,64.78
State Representative,102,Vanessa Lewis,False,DEM,14360,35.22
State Representative,102,Total,,,40778,
State Representative,103,Steve  Wolens,True,DEM,14156,100.00
State Representative,103,Total,,,14156,
State Representative,104,Monty Ousley Weddell,False,REP,4064,27.22
State Representative,104,Domingo Garcia,True,DEM,10864,72.78
State Representative,104,Total,,,14928,
State Representative,105,Tony Aguilar,False,REP,9470,36.36
State Representative,105,Dale Tillery,True,DEM,16576,63.64
State Representative,105,Total,,,26046,
State Representative,106,Ray Allen,True,REP,20356,58.18
State Representative,106,David  Gutierrez,False,DEM,14631,41.82
State Representative,106,Total,,,34987,
State Representative,107,Ron Walenta,False,REP,12645,40.59
State Representative,107,Harryette Ehrhardt,True,DEM,18511,59.41
State Representative,107,Total,,,31156,
State Representative,108,Kenn S. George,True,REP,40295,100.00
State Representative,108,Total,,,40295,
State Representative,109,Helen  Giddings,True,DEM,27569,100.00
State Representative,109,Total,,,27569,
State Representative,110,Jesse Jones,True,DEM,30283,100.00
State Representative,110,Total,,,30283,
State Representative,111,Yvonne Davis,True,DEM,28982,100.00
State Representative,111,Total,,,28982,
State Representative,112,Fred Hill,True,REP,28535,100.00
State Representative,112,Total,,,28535,
State Representative,113,Joe Driver,True,REP,32474,100.00
State Representative,113,Total,,,32474,
State Representative,114,Will Hartnett,True,REP,29153,68.03
State Representative,114,Mike  Moore,False,DEM,13702,31.97
State Representative,114,Total,,,42855,
State Representative,115,Mike Villarreal,False,DEM,18773,100.00
State Representative,115,Total,,,18773,
State Representative,116,Trey Martinez Fischer,False,DEM,20350,100.00
State Representative,116,Total,,,20350,
State Representative,117,John Amos Longoria,True,DEM,16490,100.00
State Representative,117,Total,,,16490,
State Representative,118,"Carlos ""Charlie"" Uresti",True,DEM,19748,100.00
State Representative,118,Total,,,19748,
State Representative,119,Robert Puente,True,DEM,22773,100.00
State Representative,119,Total,,,22773,
State Representative,120,Ruth Jones McClendon,True,DEM,20178,100.00
State Representative,120,Total,,,20178,
State Representative,121,Elizabeth Ames Jones,False,REP,30756,68.24
State Representative,121,Michael G. Zapper,False,DEM,12927,28.68
State Representative,121,J. (Jay) Moore,False,LIB,1387,3.08
State Representative,121,Total,,,45070,
State Representative,122,John H. Shields,True,REP,50427,85.78
State Representative,122,William E. (Bill)  Grisham,False,LIB,8362,14.22
State Representative,122,Total,,,58789,
State Representative,123,"Frank J. Corte, Jr.",True,REP,43487,84.59
State Representative,123,Alice  Yau,False,LIB,7925,15.41
State Representative,123,Total,,,51412,
State Representative,124,Jose Menendez,False,DEM,26413,100.00
State Representative,124,Total,,,26413,
State Representative,125,Chris George,False,REP,12906,40.52
State Representative,125,"Arthur ""Art"" Reyna",True,DEM,18947,59.48
State Representative,125,Total,,,31853,
State Representative,126,Peggy Hamric,True,REP,43867,100.00
State Representative,126,Total,,,43867,
State Representative,127,Joe Crabb,True,REP,40478,100.00
State Representative,127,Total,,,40478,
State Representative,128,Fred M. Bosse,True,DEM,20369,100.00
State Representative,128,Total,,,20369,
State Representative,129,John E. Davis,True,REP,38503,87.93
State Representative,129,Kevin  Hagan,False,LIB,5283,12.07
State Representative,129,Total,,,43786,
State Representative,130,Bill Callegari,False,REP,48223,74.16
State Representative,130,Fred Lundgren,False,DEM,15230,23.42
State Representative,130,Jeff  Craig,False,LIB,1576,2.42
State Representative,130,Total,,,65029,
State Representative,131,Ron  Wilson,True,DEM,27360,100.00
State Representative,131,Total,,,27360,
State Representative,132,Scott Hochberg,True,DEM,30755,100.00
State Representative,132,Total,,,30755,
State Representative,133,Joe Nixon,True,REP,35043,88.50
State Representative,133,John  Kormylo,False,LIB,4555,11.50
State Representative,133,Total,,,39598,
State Representative,134,Kyle Janek,True,REP,20764,58.89
State Representative,134,Michael Skadden,False,DEM,14494,41.11
State Representative,134,Total,,,35258,
State Representative,135,Gary Elkins,True,REP,40946,100.00
State Representative,135,Total,,,40946,
State Representative,136,Beverly Woolley,True,REP,38233,100.00
