county,precinct,office,district,party,candidate,early_voting,election_day,votes
Duval,4,U.S. House,15,,Under Votes,6,3,9
Duval,5,U.S. House,15,REP,Tim Westley,27,13,40
Duval,5,U.S. House,15,DEM,Vicente Gonzalez,103,51,154
Duval,5,U.S. House,15,LIB,Anthony Cristo,0,3,3
Duval,5,U.S. House,15,,Ballots Cast,130,67,197
Duval,5,U.S. House,15,,Over Votes,0,0,0
Duval,5,U.S. House,15,,Under Votes,9,1,10
Duval,6,U.S. House,15,REP,Tim Westley,7,4,11
Duval,6,U.S. House,15,DEM,Vicente Gonzalez,38,24,62
Duval,6,U.S. House,15,LIB,Anthony Cristo,0,0,0
Duval,6,U.S. House,15,,Ballots Cast,45,28,73
Duval,6,U.S. House,15,,Over Votes,0,0,0
Duval,6,U.S. House,15,,Under Votes,14,5,19
Duval,7,U.S. House,15,REP,Tim Westley,30,7,37
Duval,7,U.S. House,15,DEM,Vicente Gonzalez,20,13,33
Duval,7,U.S. House,15,LIB,Anthony Cristo,1,0,1
Duval,7,U.S. House,15,,Ballots Cast,51,20,71
Duval,7,U.S. House,15,,Over Votes,0,0,0
Duval,7,U.S. House,15,,Under Votes,4,1,5
Duval,8,U.S. House,15,REP,Tim Westley,247,106,353
Duval,8,U.S. House,15,DEM,Vicente Gonzalez,491,171,662
Duval,8,U.S. House,15,LIB,Anthony Cristo,7,8,15
Duval,8,U.S. House,15,,Ballots Cast,745,285,1030
Duval,8,U.S. House,15,,Over Votes,0,0,0
Duval,8,U.S. House,15,,Under Votes,100,32,132
Duval,9,U.S. House,15,REP,Tim Westley,41,26,67
Duval,9,U.S. House,15,DEM,Vicente Gonzalez,302,173,475
Duval,9,U.S. House,15,LIB,Anthony Cristo,5,5,10
Duval,9,U.S. House,15,,Ballots Cast,348,204,552
Duval,9,U.S. House,15,,Over Votes,0,0,0
Duval,9,U.S. House,15,,Under Votes,33,27,60
Duval,1,Governor,,REP,Greg Abbott,177,112,289
Duval,1,Governor,,DEM,Lupe Valdez,418,190,608
Duval,1,Governor,,LIB,Mark Jay Tippetts,4,5,9
Duval,1,Governor,,,Ballots Cast,599,307,906
Duval,1,Governor,,,Over Votes,0,0,0
Duval,1,Governor,,,Under Votes,35,33,68
Duval,2,Governor,,REP,Greg Abbott,131,71,202
Duval,2,Governor,,DEM,Lupe Valdez,379,130,509
Duval,2,Governor,,LIB,Mark Jay Tippetts,2,0,2
Duval,2,Governor,,,Ballots Cast,512,201,713
Duval,2,Governor,,,Over Votes,0,0,0
Duval,2,Governor,,,Under Votes,66,20,86
Duval,3,Governor,,REP,Greg Abbott,35,36,71
Duval,3,Governor,,DEM,Lupe Valdez,129,74,203
Duval,3,Governor,,LIB,Mark Jay Tippetts,2,0,2
Duval,3,Governor,,,Ballots Cast,166,110,276
Duval,3,Governor,,,Over Votes,1,0,1
Duval,3,Governor,,,Under Votes,3,5,8
Duval,4,Governor,,REP,Greg Abbott,25,18,42
Duval,4,Governor,,DEM,Lupe Valdez,35,18,53
Duval,4,Governor,,LIB,Mark Jay Tippetts,0,0,0
Duval,4,Governor,,,Ballots Cast,60,35,95
Duval,4,Governor,,,Over Votes,0,0,0
Duval,4,Governor,,,Under Votes,5,0,5
Duval,5,Governor,,REP,Greg Abbott,58,26,84
Duval,5,Governor,,DEM,Lupe Valdez,75,41,116
Duval,5,Governor,,LIB,Mark Jay Tippetts,1,0,1
Duval,5,Governor,,,Ballots Cast,134,67,201
Duval,5,Governor,,,Over Votes,0,0,0
Duval,5,Governor,,,Under Votes,5,1,6
Duval,6,Governor,,REP,Greg Abbott,10,9,19
Duval,6,Governor,,DEM,Lupe Valdez,35,18,53
Duval,6,Governor,,LIB,Mark Jay Tippetts,0,0,0
Duval,6,Governor,,,Ballots Cast,45,27,72
Duval,6,Governor,,,Over Votes,0,0,0
Duval,6,Governor,,,Under Votes,14,6,20
Duval,7,Governor,,REP,Greg Abbott,39,16,55
Duval,7,Governor,,DEM,Lupe Valdez,15,4,19
Duval,7,Governor,,LIB,Mark Jay Tippetts,0,1,1
Duval,7,Governor,,,Ballots Cast,54,21,75
Duval,7,Governor,,,Over Votes,0,0,0
Duval,7,Governor,,,Under Votes,1,0,1
Duval,8,Governor,,REP,Greg Abbott,386,171,557
Duval,8,Governor,,DEM,Lupe Valdez,383,123,506
Duval,8,Governor,,LIB,Mark Jay Tippetts,1,2,3
Duval,8,Governor,,,Ballots Cast,770,296,1066
Duval,8,Governor,,,Over Votes,0,0,0
Duval,8,Governor,,,Under Votes,75,21,96
Duval,9,Governor,,REP,Greg Abbott,92,68,160
Duval,9,Governor,,DEM,Lupe Valdez,249,141,390
Duval,9,Governor,,LIB,Mark Jay Tippetts,3,1,4
Duval,9,Governor,,,Ballots Cast,344,210,554
Duval,9,Governor,,,Over Votes,0,0,0
Duval,9,Governor,,,Under Votes,37,21,58
Duval,1,Lieutenant Governor,,REP,Dan Patrick,122,67,189
Duval,1,Lieutenant Governor,,DEM,Mike Collier,457,224,681
Duval,1,Lieutenant Governor,,LIB,Kerry Douglas McKennon,5,5,10
Duval,1,Lieutenant Governor,,,Ballots Cast,584,296,880
Duval,1,Lieutenant Governor,,,Over Votes,0,0,0
Duval,1,Lieutenant Governor,,,Under Votes,50,44,94
Duval,2,Lieutenant Governor,,REP,Dan Patrick,89,45,134
Duval,2,Lieutenant Governor,,DEM,Mike Collier,394,143,537
Duval,2,Lieutenant Governor,,LIB,Kerry Douglas McKennon,5,0,5
Duval,2,Lieutenant Governor,,,Ballots Cast,488,188,676
