county,precinct,office,district,candidate,party,election_day,early_voting,votes
Bailey,2,Lieutenant Governor,,MIKE COLLIER,DEM,51,49,100
Bailey,3,Lieutenant Governor,,DAN PATRICK,REP,76,111,187
Bailey,3,Lieutenant Governor,,KERRY D. MCKENNON,LIB,2,4,6
Bailey,3,Lieutenant Governor,,MIKE COLLIER,DEM,42,48,90
Bailey,4,Lieutenant Governor,,DAN PATRICK,REP,47,57,104
Bailey,4,Lieutenant Governor,,KERRY D. MCKENNON,LIB,3,1,4
Bailey,4,Lieutenant Governor,,MIKE COLLIER,DEM,57,40,97
Bailey,1,Attorney General,,JUSTIN NELSON,DEM,64,50,114
Bailey,1,Attorney General,,KEN PAXTON,REP,161,205,366
Bailey,1,Attorney General,,MICHAEL RAY HARRIS,LIB,4,2,6
Bailey,2,Attorney General,,JUSTIN NELSON,DEM,43,43,86
Bailey,2,Attorney General,,KEN PAXTON,REP,195,313,508
Bailey,2,Attorney General,,MICHAEL RAY HARRIS,LIB,5,5,10
Bailey,3,Attorney General,,JUSTIN NELSON,DEM,41,49,90
Bailey,3,Attorney General,,KEN PAXTON,REP,79,112,191
Bailey,3,Attorney General,,MICHAEL RAY HARRIS,LIB,0,1,1
Bailey,4,Attorney General,,JUSTIN NELSON,DEM,52,43,95
Bailey,4,Attorney General,,KEN PAXTON,REP,46,52,98
Bailey,4,Attorney General,,MICHAEL RAY HARRIS,LIB,5,2,7
Bailey,1,Comptroller	of Public Accounts,,BEN SANDERS,LIB,11,5,16
Bailey,1,Comptroller	of Public Accounts,,GLENN HEGAR,REP,156,200,356
Bailey,1,Comptroller	of Public Accounts,,JOI CHEVALIER,DEM,58,46,104
Bailey,2,Comptroller	of Public Accounts,,BEN SANDERS,LIB,9,7,16
Bailey,2,Comptroller	of Public Accounts,,GLENN HEGAR,REP,198,320,518
Bailey,2,Comptroller	of Public Accounts,,JOI CHEVALIER,DEM,40,33,73
Bailey,3,Comptroller	of Public Accounts,,BEN SANDERS,LIB,5,4,9
Bailey,3,Comptroller	of Public Accounts,,GLENN HEGAR,REP,79,113,192
Bailey,3,Comptroller	of Public Accounts,,JOI CHEVALIER,DEM,34,40,74
Bailey,4,Comptroller	of Public Accounts,,BEN SANDERS,LIB,11,2,13
Bailey,4,Comptroller	of Public Accounts,,GLENN HEGAR,REP,47,50,97
Bailey,4,Comptroller	of Public Accounts,,JOI CHEVALIER,DEM,45,43,88
Bailey,1,COMMISSIONER OF THE GENERAL LAND OFFICE,,GEORGE P. BUSH,REP,156,208,364
Bailey,1,COMMISSIONER OF THE GENERAL LAND OFFICE,,MATT PINA,LIB,11,4,15
Bailey,1,COMMISSIONER OF THE GENERAL LAND OFFICE,,MIGUEL SUAZO,DEM,58,44,102
Bailey,2,COMMISSIONER OF THE GENERAL LAND OFFICE,,GEORGE P. BUSH,REP,199,328,527
Bailey,2,COMMISSIONER OF THE GENERAL LAND OFFICE,,MATT PINA,LIB,5,4,9
Bailey,2,COMMISSIONER OF THE GENERAL LAND OFFICE,,MIGUEL SUAZO,DEM,43,31,74
Bailey,3,COMMISSIONER OF THE GENERAL LAND OFFICE,,GEORGE P. BUSH,REP,83,121,204
Bailey,3,COMMISSIONER OF THE GENERAL LAND OFFICE,,MATT PINA,LIB,1,2,3
Bailey,3,COMMISSIONER OF THE GENERAL LAND OFFICE,,MIGUEL SUAZO,DEM,36,38,74
Bailey,4,COMMISSIONER OF THE GENERAL LAND OFFICE,,GEORGE P. BUSH,REP,53,53,106
Bailey,4,COMMISSIONER OF THE GENERAL LAND OFFICE,,MATT PINA,LIB,6,2,8
Bailey,4,COMMISSIONER OF THE GENERAL LAND OFFICE,,MIGUEL SUAZO,DEM,45,41,86
Bailey,1,COMMISSIONER OF AGRICULTURE,,KIM OLSON,DEM,58,50,108
Bailey,1,COMMISSIONER OF AGRICULTURE,,RICHARD CARPENTER,LIB,6,3,9
Bailey,1,COMMISSIONER OF AGRICULTURE,,SID MILLER,REP,161,201,362
Bailey,2,COMMISSIONER OF AGRICULTURE,,KIM OLSON,DEM,43,34,77
Bailey,2,COMMISSIONER OF AGRICULTURE,,RICHARD CARPENTER,LIB,5,5,10
Bailey,2,COMMISSIONER OF AGRICULTURE,,SID MILLER,REP,197,322,519
Bailey,3,COMMISSIONER OF AGRICULTURE,,KIM OLSON,DEM,37,41,78
Bailey,3,COMMISSIONER OF AGRICULTURE,,RICHARD CARPENTER,LIB,4,2,6
Bailey,3,COMMISSIONER OF AGRICULTURE,,SID MILLER,REP,77,116,193
Bailey,4,COMMISSIONER OF AGRICULTURE,,KIM OLSON,DEM,48,42,90
Bailey,4,COMMISSIONER OF AGRICULTURE,,RICHARD CARPENTER,LIB,4,1,5
Bailey,4,COMMISSIONER OF AGRICULTURE,,SID MILLER,REP,50,51,101
Bailey,1,Railroad Commissioner,,CHRISTI CRADDICK,REP,161,203,364
Bailey,1,Railroad Commissioner,,MIKE WRIGHT,LIB,9,2,11
Bailey,1,Railroad Commissioner,,ROMAN MCALLEN,DEM,55,47,102
Bailey,2,Railroad Commissioner,,CHRISTI CRADDICK,REP,200,324,524
Bailey,2,Railroad Commissioner,,MIKE WRIGHT,LIB,2,8,10
Bailey,2,Railroad Commissioner,,ROMAN MCALLEN,DEM,42,30,72
Bailey,3,Railroad Commissioner,,CHRISTI CRADDICK,REP,77,117,194
Bailey,3,Railroad Commissioner,,MIKE WRIGHT,LIB,1,4,5
Bailey,3,Railroad Commissioner,,ROMAN MCALLEN,DEM,41,37,78
Bailey,4,Railroad Commissioner,,CHRISTI CRADDICK,REP,49,47,96
Bailey,4,Railroad Commissioner,,MIKE WRIGHT,LIB,2,0,2
Bailey,4,Railroad Commissioner,,ROMAN MCALLEN,DEM,51,45,96
Bailey,1,State Senate,31,JACK B. WESTBROOK,LIB,31,21,52
Bailey,1,State Senate,31,KEL SELIGER,REP,171,214,385
Bailey,2,State Senate,31,JACK B. WESTBROOK,LIB,27,17,44
Bailey,2,State Senate,31,KEL SELIGER,REP,208,335,543
Bailey,3,State Senate,31,JACK B. WESTBROOK,LIB,17,14,31
Bailey,3,State Senate,31,KEL SELIGER,REP,86,130,216
Bailey,4,State Senate,31,JACK B. WESTBROOK,LIB,23,17,40
Bailey,4,State Senate,31,KEL SELIGER,REP,56,55,111
Bailey,1,State Representative,88,EZEKIEL BARRON,DEM,62,44,106
Bailey,1,State Representative,88,KEN KING,REP,165,208,373
Bailey,2,State Representative,88,EZEKIEL BARRON,DEM,43,30,73
Bailey,2,State Representative,88,KEN KING,REP,204,335,539
Bailey,3,State Representative,88,EZEKIEL BARRON,DEM,41,43,84
Bailey,3,State Representative,88,KEN KING,REP,79,119,198
Bailey,4,State Representative,88,EZEKIEL BARRON,DEM,54,45,99
Bailey,4,State Representative,88,KEN KING,REP,47,52,99
