county,precinct,office,district,party,candidate,election_day,early_voting,mail,provisional,votes
Wilson,Box 101,Justice Supreme Ct P4,,DEM,R.K. Sandill,51,28,20,0,99
Wilson,Box 101,Justice Supreme Ct P6,,REP,Jeff Brown,100,77,23,0,200
Wilson,Box 101,Justice Supreme Ct P6,,DEM,Kathy Cheng,52,29,20,0,101
Wilson,Box 101,Presiding Criminal Appeals,,REP,David Bridges,51,37,11,0,99
Wilson,Box 101,Presiding Criminal Appeals,,REP,Sharon Keller,62,51,12,0,125
Wilson,Box 101,Presiding Criminal Appeals,,DEM,Maria T. Jackson,51,28,20,0,99
Wilson,Box 101,Criminal Appeals Jdg P7,,REP,B. Parker Hervey,100,77,23,0,200
Wilson,Box 101,Criminal Appeals Jdg P7,,DEM,Ramona Franklin,51,29,20,0,100
Wilson,Box 101,Criminal Appeals Jdg P8,,REP,Dib Waldrip,18,11,2,0,31
Wilson,Box 101,Criminal Appeals Jdg P8,,REP,Jay Brandon,40,27,8,0,75
Wilson,Box 101,Criminal Appeals Jdg P8,,REP,Michelle Slaughter,56,49,12,0,117
Wilson,Box 101,State Bd Ed D3,,DEM,Dan Arellano,12,8,5,0,25
Wilson,Box 101,State Bd Ed D3,,DEM,Marisa B. Perez,42,20,15,0,77
Wilson,Box 101,State Representative,44,REP,John Kuempel,107,78,23,0,208
Wilson,Box 101,State Representative,44,DEM,John D. Rodgers,50,29,20,0,99
Wilson,Box 101,Justice Ct Appeals D4 P2,,REP,Marialyn Barnard,101,75,23,0,199
Wilson,Box 101,Justice Ct Appeals D4 P2,,DEM,Beth Watkins,51,29,20,0,100
Wilson,Box 101,Justice Ct Appeals D4 P3,,REP,Jason Pulliam,103,77,23,0,203
Wilson,Box 101,Justice Ct Appeals D4 P3,,DEM,P. O'Connell Alvarez,53,29,20,0,102
Wilson,Box 101,Justice Ct Appeals D4 P4,,REP,Patrick Ballantyne,101,76,23,0,200
Wilson,Box 101,Justice Ct Appeals D4 P4,,DEM,Luz Elena Chapa,53,29,20,0,102
Wilson,Box 101,Justice Ct Appeals D4 P5,,REP,Rebecca Simmons,100,78,23,0,201
Wilson,Box 101,Justice Ct Appeals D4 P5,,DEM,Liza Rodriguez,52,29,20,0,101
Wilson,Box 101,Justice Ct Appeals D4 P7,,REP,Shane Stolarczyk,100,79,22,0,201
Wilson,Box 101,Justice Ct Appeals D4 P7,,DEM,Rebeca Martinez,55,29,20,0,104
Wilson,Box 101,District Judge D81,,REP,Lynn Ellison,104,78,23,0,205
Wilson,Box 101,District Judge D81,,DEM,Errlinda Castillo,52,29,20,0,101
Wilson,Box 101,District Judge D218,,REP,Russell Wilson,103,76,23,0,202
Wilson,Box 101,County Judge,,REP,Alena Berlanga,52,38,8,0,98
Wilson,Box 101,County Judge,,REP,Richard L. Jackson,68,56,18,0,142
Wilson,Box 101,District Clerk,,REP,Deborah Bryan,98,77,23,0,198
Wilson,Box 101,County Clerk,,DEM,Eva S. Martinez,55,27,20,0,102
Wilson,Box 101,County Treasurer,,REP,Debra Foster,63,41,8,0,112
Wilson,Box 101,County Treasurer,,REP,Jan Hartl,59,54,17,0,130
Wilson,Box 101,Justice Peace P1,,DEM,Johnny T. Villarreal,53,29,19,0,101
Wilson,Box 101,County Chairman,,REP,Ruby Manen,82,64,15,0,161
Wilson,Box 101,County Chairman,,DEM,Juan Mancias,54,29,20,0,103
Wilson,Box 101,Proposition 1,,REP,YES,91,62,14,0,167
Wilson,Box 101,Proposition 1,,REP,NO,30,33,11,0,74
Wilson,Box 101,Proposition 2,,REP,YES,117,92,27,0,236
Wilson,Box 101,Proposition 2,,REP,NO,8,7,0,0,15
Wilson,Box 101,Proposition 3,,REP,YES,111,81,25,0,217
Wilson,Box 101,Proposition 3,,REP,NO,14,13,2,0,29
Wilson,Box 101,Proposition 4,,REP,YES,118,91,25,0,234
Wilson,Box 101,Proposition 4,,REP,NO,8,7,1,0,16
Wilson,Box 101,Proposition 5,,REP,YES,104,82,20,0,206
Wilson,Box 101,Proposition 5,,REP,NO,23,16,6,0,45
Wilson,Box 101,Proposition 6,,REP,YES,111,94,26,0,231
Wilson,Box 101,Proposition 6,,REP,NO,10,5,0,0,15
Wilson,Box 101,Proposition 7,,REP,YES,85,64,19,0,168
Wilson,Box 101,Proposition 7,,REP,NO,40,34,8,0,82
Wilson,Box 101,Proposition 8,,REP,YES,122,97,27,0,246
Wilson,Box 101,Proposition 8,,REP,NO,3,2,0,0,5
Wilson,Box 101,Proposition 9,,REP,YES,115,89,25,0,229
Wilson,Box 101,Proposition 9,,REP,NO,10,10,1,0,21
Wilson,Box 101,Proposition 10,,REP,YES,116,95,26,0,237
Wilson,Box 101,Proposition 10,,REP,NO,8,3,0,0,11
Wilson,Box 101,Proposition 11,,REP,YES,108,89,21,0,218
Wilson,Box 101,Proposition 11,,REP,NO,17,9,5,0,31
Wilson,Box 101,Proposition 1,,DEM,FOR,56,29,18,0,103
Wilson,Box 101,Proposition 1,,DEM,AGAINST,2,1,3,0,6
Wilson,Box 101,Proposition 2,,DEM,FOR,51,25,17,0,93
Wilson,Box 101,Proposition 2,,DEM,AGAINST,6,5,4,0,15
Wilson,Box 101,Proposition 3,,DEM,FOR,52,29,20,0,101
Wilson,Box 101,Proposition 3,,DEM,AGAINST,6,1,1,0,8
Wilson,Box 101,Proposition 4,,DEM,FOR,56,30,21,0,107
Wilson,Box 101,Proposition 4,,DEM,AGAINST,2,0,0,0,2
Wilson,Box 101,Proposition 5,,DEM,FOR,51,29,19,0,99
Wilson,Box 101,Proposition 5,,DEM,AGAINST,6,1,2,0,9
Wilson,Box 101,Proposition 6,,DEM,FOR,54,29,21,0,104
Wilson,Box 101,Proposition 6,,DEM,AGAINST,1,0,0,0,1
Wilson,Box 101,Proposition 7,,DEM,FOR,53,30,21,0,104
Wilson,Box 101,Proposition 7,,DEM,AGAINST,3,0,0,0,3
Wilson,Box 101,Proposition 8,,DEM,FOR,51,29,18,0,98
Wilson,Box 101,Proposition 8,,DEM,AGAINST,6,1,3,0,10
Wilson,Box 101,Proposition 9,,DEM,FOR,51,30,19,0,100
Wilson,Box 101,Proposition 9,,DEM,AGAINST,6,0,2,0,8
Wilson,Box 101,Proposition 10,,DEM,FOR,53,28,21,0,102
Wilson,Box 101,Proposition 10,,DEM,AGAINST,3,2,0,0,5
Wilson,Box 101,Proposition 11,,DEM,FOR,51,28,19,0,98
Wilson,Box 101,Proposition 11,,DEM,AGAINST,6,2,2,0,10
Wilson,Box 101,Proposition 12,,DEM,FOR,55,30,20,0,105
Wilson,Box 101,Proposition 12,,DEM,AGAINST,2,0,1,0,3
Wilson,Box 102,US Senator,,REP,Geraldine Sam,2,3,0,0,5
Wilson,Box 102,US Senator,,REP,Mary Miller,0,10,0,0,10
Wilson,Box 102,US Senator,,REP,"Bruce Jacobson, Jr.",1,4,0,0,5
Wilson,Box 102,US Senator,,REP,Stefano de Stefano,2,0,0,0,2
Wilson,Box 102,US Senator,,REP,Ted Cruz,40,52,4,0,96
Wilson,Box 102,US Senator,,DEM,Edward Kimbrough,2,8,5,0,15
Wilson,Box 102,US Senator,,DEM,Sema Hernandez,10,15,16,0,41
Wilson,Box 102,US Senator,,DEM,Beto O'Rourke,17,8,12,0,37
Wilson,Box 102,US Representative,28,DEM,Henry Cuellar,26,26,27,0,79
Wilson,Box 102,Governor,,REP,SECEDE Kilgore,1,2,0,0,3
Wilson,Box 102,Governor,,REP,Greg Abbott,37,53,5,0,95
Wilson,Box 102,Governor,,REP,Barbara Krueger,7,12,0,0,19
Wilson,Box 102,Governor,,DEM,Joe Mumbach,0,1,1,0,2
Wilson,Box 102,Governor,,DEM,Lupe Valdez,14,15,20,0,49
Wilson,Box 102,Governor,,DEM,Tom Wakely,0,1,2,0,3
Wilson,Box 102,Governor,,DEM,Grady Yarbrough,4,4,4,0,12
Wilson,Box 102,Governor,,DEM,"Cedric Davis, Sr.",0,1,0,0,1
Wilson,Box 102,Governor,,DEM,Jeffrey Payne,0,3,0,0,3
Wilson,Box 102,Governor,,DEM,Andrew White,8,2,6,0,16
Wilson,Box 102,Governor,,DEM,James Jolly Clark,0,0,0,0,0
Wilson,Box 102,Governor,,DEM,Adrian Ocegueda,2,3,1,0,6
Wilson,Box 102,Lieutenant Governor,,REP,Scott Milder,15,27,0,0,42
Wilson,Box 102,Lieutenant Governor,,REP,Dan Patrick,28,43,4,0,75
Wilson,Box 102,Lieutenant Governor,,DEM,Mike Collier,12,14,20,0,46
Wilson,Box 102,Lieutenant Governor,,DEM,Michael Cooper,14,16,10,0,40
Wilson,Box 102,Attorney General,,REP,Ken Paxton,31,60,4,0,95
Wilson,Box 102,Attorney General,,DEM,Justin Nelson,20,25,22,0,67
Wilson,Box 102,Comptroller of Public Accounts,,REP,Glenn Hegar,30,61,2,0,93
Wilson,Box 102,Comptroller of Public Accounts,,DEM,Tim Mahoney,15,15,17,0,47
Wilson,Box 102,Comptroller of Public Accounts,,DEM,Joi Chevalier,10,15,10,0,35
Wilson,Box 102,Commissioner of the General Land Office,,REP,Jerry Patterson,16,19,0,0,35
Wilson,Box 102,Commissioner of the General Land Office,,REP,Rick Range,5,4,2,0,11
Wilson,Box 102,Commissioner of the General Land Office,,REP,Davey Edwards,2,10,0,0,12
Wilson,Box 102,Commissioner of the General Land Office,,REP,George P. Bush,19,34,0,0,53
Wilson,Box 102,Commissioner of the General Land Office,,DEM,Miguel Suazo,26,20,28,0,74
Wilson,Box 102,Commissioner of the General Land Office,,DEM,Tex Morgan,3,10,4,0,17
Wilson,Box 102,Commissioner of Agriculture,,REP,Trey Blocker,16,14,1,0,31
Wilson,Box 102,Commissioner of Agriculture,,REP,Sid Miller,14,30,2,0,46
Wilson,Box 102,Commissioner of Agriculture,,REP,Jim Hogan,7,20,1,0,28
Wilson,Box 102,Commissioner of Agriculture,,DEM,Kim Olson,22,27,27,0,76
Wilson,Box 102,Railroad Commissioner,,REP,Christi Craddick,24,50,2,0,76
Wilson,Box 102,Railroad Commissioner,,REP,Weston Martinez,18,16,0,0,34
Wilson,Box 102,Railroad Commissioner,,DEM,Chris Spellmon,6,9,13,0,28
Wilson,Box 102,Railroad Commissioner,,DEM,Roman McAllen,23,20,18,0,61
Wilson,Box 102,Justice Supreme Ct P2,,REP,Jimmy Blacklock,32,60,2,0,94
Wilson,Box 102,Justice Supreme Ct P2,,DEM,Steven Kirkland,21,25,27,0,73
Wilson,Box 102,Justice Supreme Ct P4,,REP,John Devine,32,60,2,0,94
Wilson,Box 102,Justice Supreme Ct P4,,DEM,R.K. Sandill,21,24,27,0,72
Wilson,Box 102,Justice Supreme Ct P6,,REP,Jeff Brown,32,60,2,0,94
Wilson,Box 102,Justice Supreme Ct P6,,DEM,Kathy Cheng,20,24,27,0,71
Wilson,Box 102,Presiding Criminal Appeals,,REP,David Bridges,16,31,2,0,49
Wilson,Box 102,Presiding Criminal Appeals,,REP,Sharon Keller,24,34,0,0,58
Wilson,Box 102,Presiding Criminal Appeals,,DEM,Maria T. Jackson,24,26,26,0,76
Wilson,Box 102,Criminal Appeals Jdg P7,,REP,B. Parker Hervey,34,57,2,0,93
Wilson,Box 102,Criminal Appeals Jdg P7,,DEM,Ramona Franklin,22,25,28,0,75
Wilson,Box 102,Criminal Appeals Jdg P8,,REP,Dib Waldrip,7,9,0,0,16
Wilson,Box 102,Criminal Appeals Jdg P8,,REP,Jay Brandon,9,23,2,0,34
Wilson,Box 102,Criminal Appeals Jdg P8,,REP,Michelle Slaughter,22,31,0,0,53
Wilson,Box 102,State Bd Ed D3,,DEM,Dan Arellano,3,5,10,0,18
Wilson,Box 102,State Bd Ed D3,,DEM,Marisa B. Perez,26,24,21,0,71
Wilson,Box 102,State Representative,44,REP,John Kuempel,40,61,4,0,105
Wilson,Box 102,State Representative,44,DEM,John D. Rodgers,21,24,27,0,72
Wilson,Box 102,Justice Ct Appeals D4 P2,,REP,Marialyn Barnard,36,59,2,0,97
Wilson,Box 102,Justice Ct Appeals D4 P2,,DEM,Beth Watkins,22,24,26,0,72
Wilson,Box 102,Justice Ct Appeals D4 P3,,REP,Jason Pulliam,34,60,2,0,96
Wilson,Box 102,Justice Ct Appeals D4 P3,,DEM,P. O'Connell Alvarez,21,27,31,0,79
Wilson,Box 102,Justice Ct Appeals D4 P4,,REP,Patrick Ballantyne,33,59,2,0,94
Wilson,Box 102,Justice Ct Appeals D4 P4,,DEM,Luz Elena Chapa,24,28,30,0,82
Wilson,Box 102,Justice Ct Appeals D4 P5,,REP,Rebecca Simmons,34,59,2,0,95
Wilson,Box 102,Justice Ct Appeals D4 P5,,DEM,Liza Rodriguez,27,29,31,0,87
Wilson,Box 102,Justice Ct Appeals D4 P7,,REP,Shane Stolarczyk,33,59,2,0,94
Wilson,Box 102,Justice Ct Appeals D4 P7,,DEM,Rebeca Martinez,23,28,30,0,81
Wilson,Box 102,District Judge D81,,REP,Lynn Ellison,34,59,2,0,95
Wilson,Box 102,District Judge D81,,DEM,Errlinda Castillo,23,26,30,0,79
Wilson,Box 102,District Judge D218,,REP,Russell Wilson,36,61,3,0,100
Wilson,Box 102,County Judge,,REP,Alena Berlanga,18,32,1,0,51
Wilson,Box 102,County Judge,,REP,Richard L. Jackson,29,41,4,0,74
Wilson,Box 102,District Clerk,,REP,Deborah Bryan,39,65,3,0,107
Wilson,Box 102,County Clerk,,DEM,Eva S. Martinez,28,32,30,0,90
Wilson,Box 102,County Treasurer,,REP,Debra Foster,16,27,2,0,45
Wilson,Box 102,County Treasurer,,REP,Jan Hartl,31,45,1,0,77
Wilson,Box 102,Justice Peace P1,,DEM,Johnny T. Villarreal,28,30,33,0,91
Wilson,Box 102,County Chairman,,REP,Ruby Manen,33,52,1,0,86
Wilson,Box 102,County Chairman,,DEM,Juan Mancias,25,28,28,0,81
Wilson,Box 102,Proposition 1,,REP,YES,27,41,2,0,70
Wilson,Box 102,Proposition 1,,REP,NO,15,30,2,0,47
Wilson,Box 102,Proposition 2,,REP,YES,41,68,4,0,113
Wilson,Box 102,Proposition 2,,REP,NO,2,4,0,0,6
Wilson,Box 102,Proposition 3,,REP,YES,34,54,4,0,92
Wilson,Box 102,Proposition 3,,REP,NO,8,16,0,0,24
Wilson,Box 102,Proposition 4,,REP,YES,40,69,4,0,113
Wilson,Box 102,Proposition 4,,REP,NO,3,2,0,0,5
Wilson,Box 102,Proposition 5,,REP,YES,29,57,4,0,90
Wilson,Box 102,Proposition 5,,REP,NO,14,14,0,0,28
Wilson,Box 102,Proposition 6,,REP,YES,40,66,4,0,110
Wilson,Box 102,Proposition 6,,REP,NO,2,5,0,0,7
Wilson,Box 102,Proposition 7,,REP,YES,27,47,4,0,78
Wilson,Box 102,Proposition 7,,REP,NO,16,23,0,0,39
Wilson,Box 102,Proposition 8,,REP,YES,39,71,4,0,114
Wilson,Box 102,Proposition 8,,REP,NO,4,0,0,0,4
Wilson,Box 102,Proposition 9,,REP,YES,35,58,4,0,97
Wilson,Box 102,Proposition 9,,REP,NO,8,13,0,0,21
Wilson,Box 102,Proposition 10,,REP,YES,42,67,4,0,113
Wilson,Box 102,Proposition 10,,REP,NO,1,4,0,0,5
Wilson,Box 102,Proposition 11,,REP,YES,41,62,4,0,107
Wilson,Box 102,Proposition 11,,REP,NO,3,10,0,0,13
Wilson,Box 102,Proposition 1,,DEM,FOR,29,33,32,0,94
Wilson,Box 102,Proposition 1,,DEM,AGAINST,2,0,1,0,3
Wilson,Box 102,Proposition 2,,DEM,FOR,31,30,32,0,93
Wilson,Box 102,Proposition 2,,DEM,AGAINST,0,3,1,0,4
Wilson,Box 102,Proposition 3,,DEM,FOR,28,31,31,0,90
Wilson,Box 102,Proposition 3,,DEM,AGAINST,3,2,0,0,5
Wilson,Box 102,Proposition 4,,DEM,FOR,32,33,31,0,96
Wilson,Box 102,Proposition 4,,DEM,AGAINST,1,0,0,0,1
Wilson,Box 102,Proposition 5,,DEM,FOR,25,31,30,0,86
Wilson,Box 102,Proposition 5,,DEM,AGAINST,5,1,2,0,8
Wilson,Box 102,Proposition 6,,DEM,FOR,31,33,31,0,95
Wilson,Box 102,Proposition 6,,DEM,AGAINST,0,0,0,0,0
Wilson,Box 102,Proposition 7,,DEM,FOR,30,32,32,0,94
Wilson,Box 102,Proposition 7,,DEM,AGAINST,1,1,0,0,2
Wilson,Box 102,Proposition 8,,DEM,FOR,22,29,30,0,81
Wilson,Box 102,Proposition 8,,DEM,AGAINST,9,4,2,0,15
Wilson,Box 102,Proposition 9,,DEM,FOR,27,32,31,0,90
Wilson,Box 102,Proposition 9,,DEM,AGAINST,3,1,1,0,5
Wilson,Box 102,Proposition 10,,DEM,FOR,29,31,31,0,91
Wilson,Box 102,Proposition 10,,DEM,AGAINST,1,2,0,0,3
Wilson,Box 102,Proposition 11,,DEM,FOR,28,30,32,0,90
Wilson,Box 102,Proposition 11,,DEM,AGAINST,4,3,0,0,7
Wilson,Box 102,Proposition 12,,DEM,FOR,30,33,32,0,95
Wilson,Box 102,Proposition 12,,DEM,AGAINST,2,0,0,0,2
Wilson,Box 103,US Senator,,REP,Geraldine Sam,4,3,2,0,9
Wilson,Box 103,US Senator,,REP,Mary Miller,8,4,3,0,15
Wilson,Box 103,US Senator,,REP,"Bruce Jacobson, Jr.",3,5,0,0,8
Wilson,Box 103,US Senator,,REP,Stefano de Stefano,2,2,2,0,6
Wilson,Box 103,US Senator,,REP,Ted Cruz,102,64,15,0,181
Wilson,Box 103,US Senator,,DEM,Edward Kimbrough,1,1,3,0,5
Wilson,Box 103,US Senator,,DEM,Sema Hernandez,16,2,10,0,28
Wilson,Box 103,US Senator,,DEM,Beto O'Rourke,29,4,10,0,43
Wilson,Box 103,US Representative,28,DEM,Henry Cuellar,37,6,22,0,65
Wilson,Box 103,Governor,,REP,SECEDE Kilgore,0,0,1,0,1
Wilson,Box 103,Governor,,REP,Greg Abbott,110,74,19,0,203
Wilson,Box 103,Governor,,REP,Barbara Krueger,11,7,2,0,20
Wilson,Box 103,Governor,,DEM,Joe Mumbach,1,0,0,0,1
Wilson,Box 103,Governor,,DEM,Lupe Valdez,23,4,12,0,39
Wilson,Box 103,Governor,,DEM,Tom Wakely,3,0,0,0,3
Wilson,Box 103,Governor,,DEM,Grady Yarbrough,3,0,6,0,9
Wilson,Box 103,Governor,,DEM,"Cedric Davis, Sr.",2,0,0,0,2
Wilson,Box 103,Governor,,DEM,Jeffrey Payne,3,1,0,0,4
Wilson,Box 103,Governor,,DEM,Andrew White,8,2,4,0,14
Wilson,Box 103,Governor,,DEM,James Jolly Clark,0,0,0,0,0
Wilson,Box 103,Governor,,DEM,Adrian Ocegueda,3,0,1,0,4
Wilson,Box 103,Lieutenant Governor,,REP,Scott Milder,21,18,7,0,46
Wilson,Box 103,Lieutenant Governor,,REP,Dan Patrick,97,61,15,0,173
Wilson,Box 103,Lieutenant Governor,,DEM,Mike Collier,26,5,12,0,43
Wilson,Box 103,Lieutenant Governor,,DEM,Michael Cooper,18,2,11,0,31
Wilson,Box 103,Attorney General,,REP,Ken Paxton,100,65,16,0,181
Wilson,Box 103,Attorney General,,DEM,Justin Nelson,39,6,21,0,66
Wilson,Box 103,Comptroller of Public Accounts,,REP,Glenn Hegar,100,60,18,0,178
Wilson,Box 103,Comptroller of Public Accounts,,DEM,Tim Mahoney,24,3,11,0,38
Wilson,Box 103,Comptroller of Public Accounts,,DEM,Joi Chevalier,21,4,11,0,36
Wilson,Box 103,Commissioner of the General Land Office,,REP,Jerry Patterson,42,21,14,0,77
Wilson,Box 103,Commissioner of the General Land Office,,REP,Rick Range,8,3,1,0,12
Wilson,Box 103,Commissioner of the General Land Office,,REP,Davey Edwards,2,2,2,0,6
Wilson,Box 103,Commissioner of the General Land Office,,REP,George P. Bush,55,50,5,0,110
Wilson,Box 103,Commissioner of the General Land Office,,DEM,Miguel Suazo,34,5,20,0,59
Wilson,Box 103,Commissioner of the General Land Office,,DEM,Tex Morgan,10,2,3,0,15
Wilson,Box 103,Commissioner of Agriculture,,REP,Trey Blocker,31,17,5,0,53
Wilson,Box 103,Commissioner of Agriculture,,REP,Sid Miller,45,41,12,0,98
Wilson,Box 103,Commissioner of Agriculture,,REP,Jim Hogan,23,14,5,0,42
Wilson,Box 103,Commissioner of Agriculture,,DEM,Kim Olson,39,6,22,0,67
Wilson,Box 103,Railroad Commissioner,,REP,Christi Craddick,79,59,16,0,154
Wilson,Box 103,Railroad Commissioner,,REP,Weston Martinez,21,13,4,0,38
Wilson,Box 103,Railroad Commissioner,,DEM,Chris Spellmon,17,0,8,0,25
Wilson,Box 103,Railroad Commissioner,,DEM,Roman McAllen,28,7,15,0,50
Wilson,Box 103,Justice Supreme Ct P2,,REP,Jimmy Blacklock,99,63,17,0,179
Wilson,Box 103,Justice Supreme Ct P2,,DEM,Steven Kirkland,41,6,22,0,69
Wilson,Box 103,Justice Supreme Ct P4,,REP,John Devine,98,61,17,0,176
Wilson,Box 103,Justice Supreme Ct P4,,DEM,R.K. Sandill,40,6,22,0,68
Wilson,Box 103,Justice Supreme Ct P6,,REP,Jeff Brown,96,62,17,0,175
Wilson,Box 103,Justice Supreme Ct P6,,DEM,Kathy Cheng,39,6,22,0,67
Wilson,Box 103,Presiding Criminal Appeals,,REP,David Bridges,53,19,11,0,83
Wilson,Box 103,Presiding Criminal Appeals,,REP,Sharon Keller,48,45,7,0,100
Wilson,Box 103,Presiding Criminal Appeals,,DEM,Maria T. Jackson,39,6,21,0,66
Wilson,Box 103,Criminal Appeals Jdg P7,,REP,B. Parker Hervey,95,59,17,0,171
Wilson,Box 103,Criminal Appeals Jdg P7,,DEM,Ramona Franklin,40,6,21,0,67
Wilson,Box 103,Criminal Appeals Jdg P8,,REP,Dib Waldrip,20,10,2,0,32
Wilson,Box 103,Criminal Appeals Jdg P8,,REP,Jay Brandon,28,20,1,0,49
Wilson,Box 103,Criminal Appeals Jdg P8,,REP,Michelle Slaughter,48,35,13,0,96
Wilson,Box 103,State Bd Ed D3,,DEM,Dan Arellano,11,1,3,0,15
Wilson,Box 103,State Bd Ed D3,,DEM,Marisa B. Perez,32,6,20,0,58
Wilson,Box 103,State Representative,44,REP,John Kuempel,103,68,19,0,190
Wilson,Box 103,State Representative,44,DEM,John D. Rodgers,40,6,22,0,68
Wilson,Box 103,Justice Ct Appeals D4 P2,,REP,Marialyn Barnard,93,62,17,0,172
Wilson,Box 103,Justice Ct Appeals D4 P2,,DEM,Beth Watkins,40,6,22,0,68
Wilson,Box 103,Justice Ct Appeals D4 P3,,REP,Jason Pulliam,92,60,17,0,169
Wilson,Box 103,Justice Ct Appeals D4 P3,,DEM,P. O'Connell Alvarez,39,6,22,0,67
Wilson,Box 103,Justice Ct Appeals D4 P4,,REP,Patrick Ballantyne,90,58,17,0,165
Wilson,Box 103,Justice Ct Appeals D4 P4,,DEM,Luz Elena Chapa,40,6,22,0,68
Wilson,Box 103,Justice Ct Appeals D4 P5,,REP,Rebecca Simmons,90,58,17,0,165
Wilson,Box 103,Justice Ct Appeals D4 P5,,DEM,Liza Rodriguez,39,6,22,0,67
Wilson,Box 103,Justice Ct Appeals D4 P7,,REP,Shane Stolarczyk,89,59,17,0,165
Wilson,Box 103,Justice Ct Appeals D4 P7,,DEM,Rebeca Martinez,40,6,21,0,67
Wilson,Box 103,District Judge D81,,REP,Lynn Ellison,94,59,17,0,170
Wilson,Box 103,District Judge D81,,DEM,Errlinda Castillo,40,6,22,0,68
Wilson,Box 103,District Judge D218,,REP,Russell Wilson,98,66,16,0,180
Wilson,Box 103,County Judge,,REP,Alena Berlanga,42,25,9,0,76
Wilson,Box 103,County Judge,,REP,Richard L. Jackson,82,57,16,0,155
Wilson,Box 103,District Clerk,,REP,Deborah Bryan,99,69,18,0,186
