candidate,office,district,party,county,precinct,election_day,early_voting,votes
Ken Paxton,Attorney General,,REP,Sutton,201,42,217,259
Justin Nelson,Attorney General,,DEM,Sutton,201,9,39,48
Michael Ray Harris,Attorney General,,LIB,Sutton,201,0,2,2
Glenn Hegar,Comptroller of Public Accounts,,REP,Sutton,201,44,223,267
Joi Chevalier,Comptroller of Public Accounts,,DEM,Sutton,201,5,28,33
Ben Sanders,Comptroller of Public Accounts,,LIB,Sutton,201,2,6,8
George P. Bush,Commissioner of the General Land Office,,REP,Sutton,201,44,213,257
Miguel Suazo,Commissioner of the General Land Office,,DEM,Sutton,201,5,34,39
Matt Pina,Commissioner of the General Land Office,,LIB,Sutton,201,1,9,10
Christi Craddick,Railroad Commissioner,,REP,Sutton,201,44,224,268
Roman McAllen,Railroad Commissioner,,DEM,Sutton,201,6,31,37
Mike Wright,Railroad Commissioner,,LIB,Sutton,201,0,2,2
Andrew S. Murr,State Representative,53,REP,Sutton,201,47,230,277
Stephanie Lochte Ertel,State Representative,53,DEM,Sutton,201,5,26,31
,Registered Voters,,,Sutton,301,740,740,1480
,Ballots Cast,,,Sutton,301,93,351,444
,Straight Party,,REP,Sutton,301,47,198,245
,Straight Party,,DEM,Sutton,301,20,32,52
,Straight Party,,LIB,Sutton,301,0,0,0
Ted Cruz,U.S. Senate,,REP,Sutton,301,60,298,358
Beto O'Rourke,U.S. Senate,,DEM,Sutton,301,31,53,84
Neal M Dikeman,U.S. Senate,,LIB,Sutton,301,1,0,1
Will Hurd,U.S. House,23,REP,Sutton,301,69,303,372
Gina Ortiz Jones,U.S. House,23,DEM,Sutton,301,23,45,68
Ruben Corvalan,U.S. House,23,LIB,Sutton,301,1,1,2
Greg Abbott,Governor,,REP,Sutton,301,70,294,364
Lupe Valdez,Governor,,DEM,Sutton,301,23,51,74
Mark Jay Tippetts,Governor,,LIB,Sutton,301,0,3,3
Dan Patrick,Lieutenant Governor,,REP,Sutton,301,64,260,324
Mike Collier,Lieutenant Governor,,DEM,Sutton,301,27,79,106
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Sutton,301,1,8,9
Ken Paxton,Attorney General,,REP,Sutton,301,65,278,343
Justin Nelson,Attorney General,,DEM,Sutton,301,24,64,88
Michael Ray Harris,Attorney General,,LIB,Sutton,301,3,3,6
Glenn Hegar,Comptroller of Public Accounts,,REP,Sutton,301,65,289,354
Joi Chevalier,Comptroller of Public Accounts,,DEM,Sutton,301,24,52,76
Ben Sanders,Comptroller of Public Accounts,,LIB,Sutton,301,2,4,6
George P. Bush,Commissioner of the General Land Office,,REP,Sutton,301,70,284,354
Miguel Suazo,Commissioner of the General Land Office,,DEM,Sutton,301,21,50,71
Matt Pina,Commissioner of the General Land Office,,LIB,Sutton,301,2,12,14
Christi Craddick,Railroad Commissioner,,REP,Sutton,301,67,291,358
Roman McAllen,Railroad Commissioner,,DEM,Sutton,301,22,54,76
Mike Wright,Railroad Commissioner,,LIB,Sutton,301,2,3,5
Andrew S. Murr,State Representative,53,REP,Sutton,301,72,301,373
Stephanie Lochte Ertel,State Representative,53,DEM,Sutton,301,21,46,67
,Registered Voters,,,Sutton,401,572,572,1144
,Ballots Cast,,,Sutton,401,82,140,222
,Straight Party,,REP,Sutton,401,35,76,111
,Straight Party,,DEM,Sutton,401,28,22,50
,Straight Party,,LIB,Sutton,401,1,1,2
Ted Cruz,U.S. Senate,,REP,Sutton,401,44,108,152
Beto O'Rourke,U.S. Senate,,DEM,Sutton,401,37,32,69
Neal M Dikeman,U.S. Senate,,LIB,Sutton,401,1,0,1
Will Hurd,U.S. House,23,REP,Sutton,401,44,105,149
Gina Ortiz Jones,U.S. House,23,DEM,Sutton,401,36,32,68
Ruben Corvalan,U.S. House,23,LIB,Sutton,401,1,0,1
Greg Abbott,Governor,,REP,Sutton,401,47,104,151
Lupe Valdez,Governor,,DEM,Sutton,401,34,32,66
Mark Jay Tippetts,Governor,,LIB,Sutton,401,1,2,3
Dan Patrick,Lieutenant Governor,,REP,Sutton,401,46,96,142
Mike Collier,Lieutenant Governor,,DEM,Sutton,401,34,39,73
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Sutton,401,1,3,4
Ken Paxton,Attorney General,,REP,Sutton,401,43,102,145
Justin Nelson,Attorney General,,DEM,Sutton,401,36,33,69
Michael Ray Harris,Attorney General,,LIB,Sutton,401,2,2,4
Glenn Hegar,Comptroller of Public Accounts,,REP,Sutton,401,45,106,151
Joi Chevalier,Comptroller of Public Accounts,,DEM,Sutton,401,34,27,61
Ben Sanders,Comptroller of Public Accounts,,LIB,Sutton,401,1,4,5
George P. Bush,Commissioner of the General Land Office,,REP,Sutton,401,45,102,147
Miguel Suazo,Commissioner of the General Land Office,,DEM,Sutton,401,34,34,68
Matt Pina,Commissioner of the General Land Office,,LIB,Sutton,401,2,3,5
Christi Craddick,Railroad Commissioner,,REP,Sutton,401,44,104,148
Roman McAllen,Railroad Commissioner,,DEM,Sutton,401,36,31,67
Mike Wright,Railroad Commissioner,,LIB,Sutton,401,1,2,3
Andrew S. Murr,State Representative,53,REP,Sutton,401,47,107,154
Stephanie Lochte Ertel,State Representative,53,DEM,Sutton,401,34,30,64
