county,office,district,precinct,candidate,party,absentee,early_voting,election_day,votes
Chambers,Lieutenant Governor,,Precinct 2B - Hankamer/TBCD,Mike Collier,DEM,6,35,75,116
Chambers,Lieutenant Governor,,Precinct 2B - Hankamer/TBCD,Kerry Douglas McKennon,LIB,0,3,3,6
Chambers,Attorney General,,Precinct 2B - Hankamer/TBCD,Ken Paxton,REP,5,99,90,194
Chambers,Attorney General,,Precinct 2B - Hankamer/TBCD,Justin Nelson,DEM,5,38,76,119
Chambers,Attorney General,,Precinct 2B - Hankamer/TBCD,Michael Ray Harris,LIB,0,5,4,9
Chambers,Commissioner of the General Land Office,,Precinct 2B - Hankamer/TBCD,George P. Bush,REP,5,99,89,193
Chambers,Commissioner of the General Land Office,,Precinct 2B - Hankamer/TBCD,Miguel Suazo,DEM,5,37,77,119
Chambers,Commissioner of the General Land Office,,Precinct 2B - Hankamer/TBCD,Matt Pina,LIB,0,3,3,6
Chambers,Commissioner of Agriculture,,Precinct 2B - Hankamer/TBCD,Sid Miller,REP,4,99,80,183
Chambers,Commissioner of Agriculture,,Precinct 2B - Hankamer/TBCD,Kim Olson,DEM,6,38,83,127
Chambers,Commissioner of Agriculture,,Precinct 2B - Hankamer/TBCD,Richard Carpenter,LIB,0,4,4,8
Chambers,Railroad Commissioner,,Precinct 2B - Hankamer/TBCD,Christi Craddick,REP,4,100,79,183
Chambers,Railroad Commissioner,,Precinct 2B - Hankamer/TBCD,Roman McAllen,DEM,6,33,82,121
Chambers,Railroad Commissioner,,Precinct 2B - Hankamer/TBCD,Mike Wright,LIB,0,6,2,8
Chambers,State Representative,23,Precinct 2B - Hankamer/TBCD,Mayes Middleton,REP,6,109,98,213
Chambers,State Representative,23,Precinct 2B - Hankamer/TBCD,Amanda Jamrok,DEM,4,30,71,105
Chambers,State Representative,23,Precinct 2B - Hankamer/TBCD,Lawrence Johnson,LIB,0,3,3,6
Chambers,Straight Party,,Precinct 3 - Pine Island,Republican Party REP,REP,7,50,36,93
Chambers,Straight Party,,Precinct 3 - Pine Island,Democratic Party DEM,DEM,12,36,25,73
Chambers,Straight Party,,Precinct 3 - Pine Island,Libertarian Party LIB,LIB,0,0,0,0
Chambers,U.S. Senate,,Precinct 3 - Pine Island,Ted Cruz,REP,10,84,70,164
Chambers,U.S. Senate,,Precinct 3 - Pine Island,Beto O'Rourke,DEM,16,53,37,106
Chambers,U.S. Senate,,Precinct 3 - Pine Island,Neal M. Dikeman,LIB,1,1,1,3
Chambers,U.S. House,36,Precinct 3 - Pine Island,Brian Babin,REP,11,88,70,169
Chambers,U.S. House,36,Precinct 3 - Pine Island,Dayna Steele,DEM,16,50,35,101
Chambers,Governor,,Precinct 3 - Pine Island,Greg Abbott,REP,11,85,72,168
Chambers,Governor,,Precinct 3 - Pine Island,Lupe Valdez,DEM,15,48,34,97
Chambers,Governor,,Precinct 3 - Pine Island,Mark Jay Tippetts,LIB,0,4,2,6
Chambers,Lieutenant Governor,,Precinct 3 - Pine Island,Dan Patrick,REP,10,81,72,163
Chambers,Lieutenant Governor,,Precinct 3 - Pine Island,Mike Collier,DEM,16,52,34,102
Chambers,Lieutenant Governor,,Precinct 3 - Pine Island,Kerry Douglas McKennon,LIB,1,4,1,6
Chambers,Attorney General,,Precinct 3 - Pine Island,Ken Paxton,REP,11,83,65,159
Chambers,Attorney General,,Precinct 3 - Pine Island,Justin Nelson,DEM,16,52,39,107
Chambers,Attorney General,,Precinct 3 - Pine Island,Michael Ray Harris,LIB,0,2,2,4
Chambers,Commissioner of the General Land Office,,Precinct 3 - Pine Island,George P. Bush,REP,10,84,72,166
Chambers,Commissioner of the General Land Office,,Precinct 3 - Pine Island,Miguel Suazo,DEM,16,46,31,93
Chambers,Commissioner of the General Land Office,,Precinct 3 - Pine Island,Matt Pina,LIB,1,8,1,10
Chambers,Commissioner of Agriculture,,Precinct 3 - Pine Island,Sid Miller,REP,11,82,65,158
Chambers,Commissioner of Agriculture,,Precinct 3 - Pine Island,Kim Olson,DEM,16,51,34,101
Chambers,Commissioner of Agriculture,,Precinct 3 - Pine Island,Richard Carpenter,LIB,0,4,2,6
Chambers,Railroad Commissioner,,Precinct 3 - Pine Island,Christi Craddick,REP,11,85,65,161
Chambers,Railroad Commissioner,,Precinct 3 - Pine Island,Roman McAllen,DEM,15,44,33,92
Chambers,Railroad Commissioner,,Precinct 3 - Pine Island,Mike Wright,LIB,0,6,2,8
Chambers,State Representative,23,Precinct 3 - Pine Island,Mayes Middleton,REP,10,86,74,170
Chambers,State Representative,23,Precinct 3 - Pine Island,Amanda Jamrok,DEM,17,46,33,96
Chambers,State Representative,23,Precinct 3 - Pine Island,Lawrence Johnson,LIB,0,5,1,6
Chambers,Straight Party,,Precinct 4 - Mont Belvieu,Republican Party REP,REP,49,1106,208,1363
Chambers,Straight Party,,Precinct 4 - Mont Belvieu,Democratic Party DEM,DEM,13,92,32,137
Chambers,Straight Party,,Precinct 4 - Mont Belvieu,Libertarian Party LIB,LIB,1,6,1,8
Chambers,U.S. Senate,,Precinct 4 - Mont Belvieu,Ted Cruz,REP,64,1451,281,1796
Chambers,U.S. Senate,,Precinct 4 - Mont Belvieu,Beto O'Rourke,DEM,21,171,61,253
Chambers,U.S. Senate,,Precinct 4 - Mont Belvieu,Neal M. Dikeman,LIB,1,10,4,15
Chambers,U.S. House,36,Precinct 4 - Mont Belvieu,Brian Babin,REP,62,1462,290,1814
Chambers,U.S. House,36,Precinct 4 - Mont Belvieu,Dayna Steele,DEM,23,167,55,245
Chambers,Governor,,Precinct 4 - Mont Belvieu,Greg Abbott,REP,65,1457,299,1821
Chambers,Governor,,Precinct 4 - Mont Belvieu,Lupe Valdez,DEM,19,148,41,208
Chambers,Governor,,Precinct 4 - Mont Belvieu,Mark Jay Tippetts,LIB,1,25,7,33
Chambers,Lieutenant Governor,,Precinct 4 - Mont Belvieu,Dan Patrick,REP,62,1375,270,1707
Chambers,Lieutenant Governor,,Precinct 4 - Mont Belvieu,Mike Collier,DEM,21,223,63,307
Chambers,Lieutenant Governor,,Precinct 4 - Mont Belvieu,Kerry Douglas McKennon,LIB,1,29,13,43
Chambers,Attorney General,,Precinct 4 - Mont Belvieu,Ken Paxton,REP,60,1416,273,1749
Chambers,Attorney General,,Precinct 4 - Mont Belvieu,Justin Nelson,DEM,23,187,59,269
Chambers,Attorney General,,Precinct 4 - Mont Belvieu,Michael Ray Harris,LIB,1,24,13,38
Chambers,Commissioner of the General Land Office,,Precinct 4 - Mont Belvieu,George P. Bush,REP,63,1426,284,1773
Chambers,Commissioner of the General Land Office,,Precinct 4 - Mont Belvieu,Miguel Suazo,DEM,19,150,49,218
Chambers,Commissioner of the General Land Office,,Precinct 4 - Mont Belvieu,Matt Pina,LIB,3,41,10,54
Chambers,Commissioner of Agriculture,,Precinct 4 - Mont Belvieu,Sid Miller,REP,61,1426,275,1762
Chambers,Commissioner of Agriculture,,Precinct 4 - Mont Belvieu,Kim Olson,DEM,21,170,58,249
Chambers,Commissioner of Agriculture,,Precinct 4 - Mont Belvieu,Richard Carpenter,LIB,2,21,8,31
Chambers,Railroad Commissioner,,Precinct 4 - Mont Belvieu,Christi Craddick,REP,61,1445,283,1789
Chambers,Railroad Commissioner,,Precinct 4 - Mont Belvieu,Roman McAllen,DEM,22,143,48,213
Chambers,Railroad Commissioner,,Precinct 4 - Mont Belvieu,Mike Wright,LIB,2,30,8,40
Chambers,State Representative,23,Precinct 4 - Mont Belvieu,Mayes Middleton,REP,58,1427,285,1770
Chambers,State Representative,23,Precinct 4 - Mont Belvieu,Amanda Jamrok,DEM,20,167,46,233
Chambers,State Representative,23,Precinct 4 - Mont Belvieu,Lawrence Johnson,LIB,1,27,11,39
Chambers,Straight Party,,Precinct 5A - Beach City,Republican Party REP,REP,33,652,221,906
Chambers,Straight Party,,Precinct 5A - Beach City,Democratic Party DEM,DEM,12,65,30,107
Chambers,Straight Party,,Precinct 5A - Beach City,Libertarian Party LIB,LIB,0,2,3,5
Chambers,U.S. Senate,,Precinct 5A - Beach City,Ted Cruz,REP,49,868,288,1205
Chambers,U.S. Senate,,Precinct 5A - Beach City,Beto O'Rourke,DEM,19,124,55,198
Chambers,U.S. Senate,,Precinct 5A - Beach City,Neal M. Dikeman,LIB,0,5,8,13
Chambers,U.S. House,36,Precinct 5A - Beach City,Brian Babin,REP,49,879,302,1230
Chambers,U.S. House,36,Precinct 5A - Beach City,Dayna Steele,DEM,19,116,49,184
Chambers,Governor,,Precinct 5A - Beach City,Greg Abbott,REP,49,894,300,1243
Chambers,Governor,,Precinct 5A - Beach City,Lupe Valdez,DEM,18,90,43,151
Chambers,Governor,,Precinct 5A - Beach City,Mark Jay Tippetts,LIB,1,12,8,21
Chambers,Lieutenant Governor,,Precinct 5A - Beach City,Dan Patrick,REP,47,848,284,1179
Chambers,Lieutenant Governor,,Precinct 5A - Beach City,Mike Collier,DEM,21,131,56,208
Chambers,Lieutenant Governor,,Precinct 5A - Beach City,Kerry Douglas McKennon,LIB,0,15,12,27
Chambers,Attorney General,,Precinct 5A - Beach City,Ken Paxton,REP,48,844,285,1177
Chambers,Attorney General,,Precinct 5A - Beach City,Justin Nelson,DEM,20,137,52,209
Chambers,Attorney General,,Precinct 5A - Beach City,Michael Ray Harris,LIB,0,11,13,24
Chambers,Commissioner of the General Land Office,,Precinct 5A - Beach City,George P. Bush,REP,48,841,296,1185
Chambers,Commissioner of the General Land Office,,Precinct 5A - Beach City,Miguel Suazo,DEM,19,103,43,165
Chambers,Commissioner of the General Land Office,,Precinct 5A - Beach City,Matt Pina,LIB,1,38,8,47
Chambers,Commissioner of Agriculture,,Precinct 5A - Beach City,Sid Miller,REP,48,854,284,1186
Chambers,Commissioner of Agriculture,,Precinct 5A - Beach City,Kim Olson,DEM,19,121,51,191
Chambers,Commissioner of Agriculture,,Precinct 5A - Beach City,Richard Carpenter,LIB,0,11,12,23
Chambers,Railroad Commissioner,,Precinct 5A - Beach City,Christi Craddick,REP,48,870,286,1204
Chambers,Railroad Commissioner,,Precinct 5A - Beach City,Roman McAllen,DEM,18,100,45,163
Chambers,Railroad Commissioner,,Precinct 5A - Beach City,Mike Wright,LIB,0,14,16,30
Chambers,State Representative,23,Precinct 5A - Beach City,Mayes Middleton,REP,47,868,291,1206
Chambers,State Representative,23,Precinct 5A - Beach City,Amanda Jamrok,DEM,19,111,46,176
Chambers,State Representative,23,Precinct 5A - Beach City,Lawrence Johnson,LIB,0,10,12,22
Chambers,Straight Party,,Precinct 5B - Beach City/City of Baytown,Republican Party REP,REP,0,0,0,0
Chambers,Straight Party,,Precinct 5B - Beach City/City of Baytown,Democratic Party DEM,DEM,0,0,0,0
Chambers,Straight Party,,Precinct 5B - Beach City/City of Baytown,Libertarian Party LIB,LIB,0,0,0,0
Chambers,U.S. Senate,,Precinct 5B - Beach City/City of Baytown,Ted Cruz,REP,0,0,0,0
Chambers,U.S. Senate,,Precinct 5B - Beach City/City of Baytown,Beto O'Rourke,DEM,0,0,0,0
Chambers,U.S. Senate,,Precinct 5B - Beach City/City of Baytown,Neal M. Dikeman,LIB,0,0,0,0
Chambers,U.S. House,36,Precinct 5B - Beach City/City of Baytown,Brian Babin,REP,0,0,0,0
Chambers,U.S. House,36,Precinct 5B - Beach City/City of Baytown,Dayna Steele,DEM,0,0,0,0
Chambers,Governor,,Precinct 5B - Beach City/City of Baytown,Greg Abbott,REP,0,0,0,0
Chambers,Governor,,Precinct 5B - Beach City/City of Baytown,Lupe Valdez,DEM,0,0,0,0
Chambers,Governor,,Precinct 5B - Beach City/City of Baytown,Mark Jay Tippetts,LIB,0,0,0,0
Chambers,Lieutenant Governor,,Precinct 5B - Beach City/City of Baytown,Dan Patrick,REP,0,0,0,0
Chambers,Lieutenant Governor,,Precinct 5B - Beach City/City of Baytown,Mike Collier,DEM,0,0,0,0
Chambers,Lieutenant Governor,,Precinct 5B - Beach City/City of Baytown,Kerry Douglas McKennon,LIB,0,0,0,0
Chambers,Attorney General,,Precinct 5B - Beach City/City of Baytown,Ken Paxton,REP,0,0,0,0
Chambers,Attorney General,,Precinct 5B - Beach City/City of Baytown,Justin Nelson,DEM,0,0,0,0
Chambers,Attorney General,,Precinct 5B - Beach City/City of Baytown,Michael Ray Harris,LIB,0,0,0,0
Chambers,Commissioner of the General Land Office,,Precinct 5B - Beach City/City of Baytown,George P. Bush,REP,0,0,0,0
Chambers,Commissioner of the General Land Office,,Precinct 5B - Beach City/City of Baytown,Miguel Suazo,DEM,0,0,0,0
Chambers,Commissioner of the General Land Office,,Precinct 5B - Beach City/City of Baytown,Matt Pina,LIB,0,0,0,0
Chambers,Commissioner of Agriculture,,Precinct 5B - Beach City/City of Baytown,Sid Miller,REP,0,0,0,0
Chambers,Commissioner of Agriculture,,Precinct 5B - Beach City/City of Baytown,Kim Olson,DEM,0,0,0,0
Chambers,Commissioner of Agriculture,,Precinct 5B - Beach City/City of Baytown,Richard Carpenter,LIB,0,0,0,0
Chambers,Railroad Commissioner,,Precinct 5B - Beach City/City of Baytown,Christi Craddick,REP,0,0,0,0
Chambers,Railroad Commissioner,,Precinct 5B - Beach City/City of Baytown,Roman McAllen,DEM,0,0,0,0
Chambers,Railroad Commissioner,,Precinct 5B - Beach City/City of Baytown,Mike Wright,LIB,0,0,0,0
Chambers,State Representative,23,Precinct 5B - Beach City/City of Baytown,Mayes Middleton,REP,0,0,0,0
Chambers,State Representative,23,Precinct 5B - Beach City/City of Baytown,Amanda Jamrok,DEM,0,0,0,0
Chambers,State Representative,23,Precinct 5B - Beach City/City of Baytown,Lawrence Johnson,LIB,0,0,0,0
Chambers,Straight Party,,Precinct 6A - Anahuac,Republican Party REP,REP,28,295,135,458
Chambers,Straight Party,,Precinct 6A - Anahuac,Democratic Party DEM,DEM,13,72,54,139
Chambers,Straight Party,,Precinct 6A - Anahuac,Libertarian Party LIB,LIB,0,2,1,3
Chambers,U.S. Senate,,Precinct 6A - Anahuac,Ted Cruz,REP,41,462,201,704
Chambers,U.S. Senate,,Precinct 6A - Anahuac,Beto O'Rourke,DEM,17,132,87,236
Chambers,U.S. Senate,,Precinct 6A - Anahuac,Neal M. Dikeman,LIB,0,2,3,5
Chambers,U.S. House,36,Precinct 6A - Anahuac,Brian Babin,REP,40,462,212,714
Chambers,U.S. House,36,Precinct 6A - Anahuac,Dayna Steele,DEM,17,130,78,225
Chambers,Governor,,Precinct 6A - Anahuac,Greg Abbott,REP,42,481,219,742
Chambers,Governor,,Precinct 6A - Anahuac,Lupe Valdez,DEM,16,106,70,192
Chambers,Governor,,Precinct 6A - Anahuac,Mark Jay Tippetts,LIB,0,9,1,10
Chambers,Lieutenant Governor,,Precinct 6A - Anahuac,Dan Patrick,REP,40,456,208,704
Chambers,Lieutenant Governor,,Precinct 6A - Anahuac,Mike Collier,DEM,17,123,81,221
Chambers,Lieutenant Governor,,Precinct 6A - Anahuac,Kerry Douglas McKennon,LIB,0,7,1,8
Chambers,Attorney General,,Precinct 6A - Anahuac,Ken Paxton,REP,40,451,197,688
Chambers,Attorney General,,Precinct 6A - Anahuac,Justin Nelson,DEM,18,128,79,225
Chambers,Attorney General,,Precinct 6A - Anahuac,Michael Ray Harris,LIB,0,8,6,14
Chambers,Commissioner of the General Land Office,,Precinct 6A - Anahuac,George P. Bush,REP,41,452,213,706
Chambers,Commissioner of the General Land Office,,Precinct 6A - Anahuac,Miguel Suazo,DEM,15,118,69,202
Chambers,Commissioner of the General Land Office,,Precinct 6A - Anahuac,Matt Pina,LIB,2,12,6,20
Chambers,Commissioner of Agriculture,,Precinct 6A - Anahuac,Sid Miller,REP,41,445,201,687
Chambers,Commissioner of Agriculture,,Precinct 6A - Anahuac,Kim Olson,DEM,17,131,75,223
Chambers,Commissioner of Agriculture,,Precinct 6A - Anahuac,Richard Carpenter,LIB,0,7,5,12
Chambers,Railroad Commissioner,,Precinct 6A - Anahuac,Christi Craddick,REP,41,454,199,694
Chambers,Railroad Commissioner,,Precinct 6A - Anahuac,Roman McAllen,DEM,17,115,72,204
Chambers,Railroad Commissioner,,Precinct 6A - Anahuac,Mike Wright,LIB,0,13,9,22
Chambers,State Representative,23,Precinct 6A - Anahuac,Mayes Middleton,REP,41,474,217,732
Chambers,State Representative,23,Precinct 6A - Anahuac,Amanda Jamrok,DEM,16,110,71,197
Chambers,State Representative,23,Precinct 6A - Anahuac,Lawrence Johnson,LIB,1,3,0,4
Chambers,Straight Party,,Precinct 6B - Anahuac/TBCD,Republican Party REP,REP,3,60,14,77
Chambers,Straight Party,,Precinct 6B - Anahuac/TBCD,Democratic Party DEM,DEM,1,20,8,29
Chambers,Straight Party,,Precinct 6B - Anahuac/TBCD,Libertarian Party LIB,LIB,0,0,0,0
Chambers,U.S. Senate,,Precinct 6B - Anahuac/TBCD,Ted Cruz,REP,5,86,26,117
Chambers,U.S. Senate,,Precinct 6B - Anahuac/TBCD,Beto O'Rourke,DEM,1,29,9,39
Chambers,U.S. Senate,,Precinct 6B - Anahuac/TBCD,Neal M. Dikeman,LIB,0,0,1,1
Chambers,U.S. House,36,Precinct 6B - Anahuac/TBCD,Brian Babin,REP,3,88,25,116
Chambers,U.S. House,36,Precinct 6B - Anahuac/TBCD,Dayna Steele,DEM,1,27,11,39
Chambers,Governor,,Precinct 6B - Anahuac/TBCD,Greg Abbott,REP,4,88,29,121
Chambers,Governor,,Precinct 6B - Anahuac/TBCD,Lupe Valdez,DEM,1,27,7,35
Chambers,Governor,,Precinct 6B - Anahuac/TBCD,Mark Jay Tippetts,LIB,0,1,0,1
Chambers,Lieutenant Governor,,Precinct 6B - Anahuac/TBCD,Dan Patrick,REP,5,80,25,110
Chambers,Lieutenant Governor,,Precinct 6B - Anahuac/TBCD,Mike Collier,DEM,1,32,10,43
Chambers,Lieutenant Governor,,Precinct 6B - Anahuac/TBCD,Kerry Douglas McKennon,LIB,0,2,0,2
Chambers,Attorney General,,Precinct 6B - Anahuac/TBCD,Ken Paxton,REP,4,84,23,111
Chambers,Attorney General,,Precinct 6B - Anahuac/TBCD,Justin Nelson,DEM,1,30,11,42
Chambers,Attorney General,,Precinct 6B - Anahuac/TBCD,Michael Ray Harris,LIB,1,0,1,2
Chambers,Commissioner of the General Land Office,,Precinct 6B - Anahuac/TBCD,George P. Bush,REP,4,82,24,110
Chambers,Commissioner of the General Land Office,,Precinct 6B - Anahuac/TBCD,Miguel Suazo,DEM,2,28,10,40
Chambers,Commissioner of the General Land Office,,Precinct 6B - Anahuac/TBCD,Matt Pina,LIB,0,3,2,5
Chambers,Commissioner of Agriculture,,Precinct 6B - Anahuac/TBCD,Sid Miller,REP,5,84,23,112
Chambers,Commissioner of Agriculture,,Precinct 6B - Anahuac/TBCD,Kim Olson,DEM,1,28,11,40
Chambers,Commissioner of Agriculture,,Precinct 6B - Anahuac/TBCD,Richard Carpenter,LIB,0,2,2,4
Chambers,Railroad Commissioner,,Precinct 6B - Anahuac/TBCD,Christi Craddick,REP,5,84,23,112
Chambers,Railroad Commissioner,,Precinct 6B - Anahuac/TBCD,Roman McAllen,DEM,1,29,12,42
Chambers,Railroad Commissioner,,Precinct 6B - Anahuac/TBCD,Mike Wright,LIB,0,0,1,1
Chambers,State Representative,23,Precinct 6B - Anahuac/TBCD,Mayes Middleton,REP,3,89,26,118
Chambers,State Representative,23,Precinct 6B - Anahuac/TBCD,Amanda Jamrok,DEM,1,25,10,36
Chambers,State Representative,23,Precinct 6B - Anahuac/TBCD,Lawrence Johnson,LIB,0,0,0,0
Chambers,Straight Party,,Precinct 7A - Winnie,Republican Party REP,REP,13,304,97,414
Chambers,Straight Party,,Precinct 7A - Winnie,Democratic Party DEM,DEM,7,48,26,81
Chambers,Straight Party,,Precinct 7A - Winnie,Libertarian Party LIB,LIB,0,2,0,2
Chambers,U.S. Senate,,Precinct 7A - Winnie,Ted Cruz,REP,16,481,154,651
Chambers,U.S. Senate,,Precinct 7A - Winnie,Beto O'Rourke,DEM,13,88,50,151
Chambers,U.S. Senate,,Precinct 7A - Winnie,Neal M. Dikeman,LIB,0,1,0,1
Chambers,U.S. House,36,Precinct 7A - Winnie,Brian Babin,REP,16,490,158,664
Chambers,U.S. House,36,Precinct 7A - Winnie,Dayna Steele,DEM,13,84,43,140
Chambers,Governor,,Precinct 7A - Winnie,Greg Abbott,REP,16,488,158,662
Chambers,Governor,,Precinct 7A - Winnie,Lupe Valdez,DEM,12,79,43,134
Chambers,Governor,,Precinct 7A - Winnie,Mark Jay Tippetts,LIB,1,6,2,9
Chambers,Lieutenant Governor,,Precinct 7A - Winnie,Dan Patrick,REP,15,451,138,604
Chambers,Lieutenant Governor,,Precinct 7A - Winnie,Mike Collier,DEM,12,106,57,175
Chambers,Lieutenant Governor,,Precinct 7A - Winnie,Kerry Douglas McKennon,LIB,2,14,7,23
