county,precinct,office,district,candidate,party,votes,election_day,early_voting
Sherman,BOX 101 - NO S & H ,"JUSTICE, SUPREME COURT, PLACE 6 ",,JEFF BROWN ,REP ,0,0,0
Sherman,BOX 101 - NO S & H ,"JUSTICE, SUPREME COURT, PLACE 6 ",,KATHY CHENG ,DEM ,0,0,0
Sherman,BOX 101 - NO S & H ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,SHARON KELLER ,REP ,0,0,0
Sherman,BOX 101 - NO S & H ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,MARIA T. (TERRI) JAC ,DEM ,0,0,0
Sherman,BOX 101 - NO S & H ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,WILLIAM BRYAN STRANG ,LIB ,0,0,0
Sherman,BOX 101 - NO S & H ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 7 ",,BARBARA PARKER HERVE ,REP ,0,0,0
Sherman,BOX 101 - NO S & H ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 7 ",,RAMONA FRANKLIN ,DEM ,0,0,0
Sherman,BOX 101 - NO S & H ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 8 ",,MICHELLE SLAUGHTER ,REP ,0,0,0
Sherman,BOX 101 - NO S & H ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 8 ",,MARK ASH ,LIB ,0,0,0
Sherman,BOX 101 - NO S & H ,STATE SENATE,31,KEL SELIGER ,REP ,0,0,0
Sherman,BOX 101 - NO S & H ,STATE SENATE,31,JACK B. WESTBROOK ,LIB ,0,0,0
Sherman,BOX 101 - NO S & H ,STATE REPRESENTATIVE,87,FOUR PRICE ,REP ,0,0,0
Sherman,BOX 101 - NO S & H ,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 2 ",,JUDY PARKER ,REP ,0,0,0
Sherman,BOX 101 - NO S & H ,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 3 ",,PAT PIRTLE ,REP ,0,0,0
Sherman,BOX 101 - NO S & H ,"DISTRICT JUDGE, 69TH JUDICIAL DISTRICT ",,RON ENNS ,REP ,0,0,0
Sherman,BOX 101 - NO S & H ,COUNTY JUDGE ,,TERRI BETH CARTER ,REP ,0,0,0
Sherman,BOX 101 - NO S & H ,DISTRICT & COUNTY CLERK ,,LAURA ROGERS ,REP ,0,0,0
Sherman,BOX 101 - NO S & H ,COUNTY TREASURER ,,DORIS PARSONS ,REP ,0,0,0
Sherman,BOX 101 - NO S & H ,JUSTICE OF THE PEACE ,,BRENDA J. ACKER ,REP ,0,0,0
Sherman,BOX 102  ,U.S. Senate,,TED CRUZ ,REP ,97,29,68
Sherman,BOX 102  ,U.S. Senate,,BETO O'ROURKE ,DEM ,21,11,10
Sherman,BOX 102  ,U.S. Senate,,NEAL M. DIKEMAN ,LIB ,4,0,4
Sherman,BOX 102  ,U.S. House,13,MAC THORNBERRY ,REP ,101,29,72
Sherman,BOX 102  ,U.S. House,13,GREG SAGAN ,DEM ,16,10,6
Sherman,BOX 102  ,U.S. House,13,CALVIN DeWEESE ,LIB ,3,0,3
Sherman,BOX 102  ,Governor,,GREG ABBOTT ,REP ,101,29,72
Sherman,BOX 102  ,Governor,,LUPE VALDEZ ,DEM ,18,10,8
Sherman,BOX 102  ,Governor,,MARK JAY TIPPETTS ,LIB ,3,0,3
Sherman,BOX 102  ,LIEUTENANT Governor,,DAN PATRICK ,REP ,86,26,60
Sherman,BOX 102  ,LIEUTENANT Governor,,MIKE COLLIER ,DEM ,31,13,18
Sherman,BOX 102  ,LIEUTENANT Governor,,KERRY DOUGLAS McKENN ,LIB ,3,0,3
Sherman,BOX 102  ,Attorney General,,KEN PAXTON ,REP ,93,28,65
Sherman,BOX 102  ,Attorney General,,JUSTIN NELSON ,DEM ,26,11,15
Sherman,BOX 102  ,Attorney General,,MICHAEL RAY HARRIS ,LIB ,1,0,1
Sherman,BOX 102  ,Comptroller	of Public Accounts,,GLENN HEGAR ,REP ,100,29,71
Sherman,BOX 102  ,Comptroller	of Public Accounts,,JOI CHEVALIER ,DEM ,17,9,8
Sherman,BOX 102  ,Comptroller	of Public Accounts,,BEN SANDERS ,LIB ,2,1,1
Sherman,BOX 102  ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,GEORGE P. BUSH ,REP ,100,29,71
Sherman,BOX 102  ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,MIGUEL SUAZO ,DEM ,20,10,10
Sherman,BOX 102  ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,MATT PINA ,LIB ,0,0,0
Sherman,BOX 102  ,COMMISSIONER OF AGRICULTURE ,,SID MILLER ,REP ,97,28,69
Sherman,BOX 102  ,COMMISSIONER OF AGRICULTURE ,,KIM OLSON ,DEM ,21,11,10
Sherman,BOX 102  ,COMMISSIONER OF AGRICULTURE ,,RICHARD CARPENTER ,LIB ,1,0,1
Sherman,BOX 102  ,Railroad Commissioner,,CHRISTI CRADDICK ,REP ,98,28,70
Sherman,BOX 102  ,Railroad Commissioner,,ROMAN McALLEN ,DEM ,20,11,9
Sherman,BOX 102  ,Railroad Commissioner,,MIKE WRIGHT ,LIB ,1,0,1
Sherman,BOX 102  ,"JUSTICE, SUPREME COURT, PLACE 2 ",,JIMMY BLACKLOCK ,REP ,102,29,73
Sherman,BOX 102  ,"JUSTICE, SUPREME COURT, PLACE 2 ",,STEVEN KIRKLAND ,DEM ,18,10,8
Sherman,BOX 102  ,"JUSTICE, SUPREME COURT, PLACE 4 ",,JOHN DEVINE ,REP ,101,29,72
Sherman,BOX 102  ,"JUSTICE, SUPREME COURT, PLACE 4 ",,R. K. SANDILL ,DEM ,17,10,7
Sherman,BOX 102  ,"JUSTICE, SUPREME COURT, PLACE 6 ",,JEFF BROWN ,REP ,100,29,71
Sherman,BOX 102  ,"JUSTICE, SUPREME COURT, PLACE 6 ",,KATHY CHENG ,DEM ,17,10,7
Sherman,BOX 102  ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,SHARON KELLER ,REP ,99,28,71
Sherman,BOX 102  ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,MARIA T. (TERRI) JAC ,DEM ,19,11,8
Sherman,BOX 102  ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,WILLIAM BRYAN STRANG ,LIB ,0,0,0
Sherman,BOX 102  ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 7 ",,BARBARA PARKER HERVE ,REP ,101,29,72
Sherman,BOX 102  ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 7 ",,RAMONA FRANKLIN ,DEM ,16,10,6
Sherman,BOX 102  ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 8 ",,MICHELLE SLAUGHTER ,REP ,102,30,72
Sherman,BOX 102  ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 8 ",,MARK ASH ,LIB ,12,7,5
Sherman,BOX 102  ,STATE SENATE,31,KEL SELIGER ,REP ,100,29,71
Sherman,BOX 102  ,STATE SENATE,31,JACK B. WESTBROOK ,LIB ,18,8,10
Sherman,BOX 102  ,STATE REPRESENTATIVE,87,FOUR PRICE ,REP ,114,35,79
Sherman,BOX 102  ,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 2 ",,JUDY PARKER ,REP ,109,35,74
Sherman,BOX 102  ,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 3 ",,PAT PIRTLE ,REP ,108,35,73
Sherman,BOX 102  ,"DISTRICT JUDGE, 69TH JUDICIAL DISTRICT ",,RON ENNS ,REP ,113,35,78
Sherman,BOX 102  ,COUNTY JUDGE ,,TERRI BETH CARTER ,REP ,112,35,77
Sherman,BOX 102  ,DISTRICT & COUNTY CLERK ,,LAURA ROGERS ,REP ,110,35,75
Sherman,BOX 102  ,COUNTY TREASURER ,,DORIS PARSONS ,REP ,114,35,79
Sherman,BOX 102  ,JUSTICE OF THE PEACE ,,BRENDA J. ACKER ,REP ,113,36,77
Sherman,BOX 201  ,U.S. Senate,,TED CRUZ ,REP ,67,24,43
Sherman,BOX 201  ,U.S. Senate,,BETO O'ROURKE ,DEM ,18,12,6
Sherman,BOX 201  ,U.S. Senate,,NEAL M. DIKEMAN ,LIB ,6,0,6
Sherman,BOX 201  ,U.S. House,13,MAC THORNBERRY ,REP ,70,26,44
Sherman,BOX 201  ,U.S. House,13,GREG SAGAN ,DEM ,16,10,6
Sherman,BOX 201  ,U.S. House,13,CALVIN DeWEESE ,LIB ,5,0,5
Sherman,BOX 201  ,Governor,,GREG ABBOTT ,REP ,68,25,43
Sherman,BOX 201  ,Governor,,LUPE VALDEZ ,DEM ,18,11,7
Sherman,BOX 201  ,Governor,,MARK JAY TIPPETTS ,LIB ,5,0,5
Sherman,BOX 201  ,LIEUTENANT Governor,,DAN PATRICK ,REP ,63,23,40
Sherman,BOX 201  ,LIEUTENANT Governor,,MIKE COLLIER ,DEM ,20,12,8
Sherman,BOX 201  ,LIEUTENANT Governor,,KERRY DOUGLAS McKENN ,LIB ,7,1,6
Sherman,BOX 201  ,Attorney General,,KEN PAXTON ,REP ,66,25,41
Sherman,BOX 201  ,Attorney General,,JUSTIN NELSON ,DEM ,18,11,7
Sherman,BOX 201  ,Attorney General,,MICHAEL RAY HARRIS ,LIB ,0,0,0
Sherman,BOX 201  ,Comptroller	of Public Accounts,,GLENN HEGAR ,REP ,68,24,44
Sherman,BOX 201  ,Comptroller	of Public Accounts,,JOI CHEVALIER ,DEM ,16,11,5
Sherman,BOX 201  ,Comptroller	of Public Accounts,,BEN SANDERS ,LIB ,1,0,1
Sherman,BOX 201  ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,GEORGE P. BUSH ,REP ,66,25,41
Sherman,BOX 201  ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,MIGUEL SUAZO ,DEM ,17,11,6
Sherman,BOX 201  ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,MATT PINA ,LIB ,3,0,3
Sherman,BOX 201  ,COMMISSIONER OF AGRICULTURE ,,SID MILLER ,REP ,68,24,44
Sherman,BOX 201  ,COMMISSIONER OF AGRICULTURE ,,KIM OLSON ,DEM ,18,11,7
Sherman,BOX 201  ,COMMISSIONER OF AGRICULTURE ,,RICHARD CARPENTER ,LIB ,0,0,0
Sherman,BOX 201  ,Railroad Commissioner,,CHRISTI CRADDICK ,REP ,68,25,43
Sherman,BOX 201  ,Railroad Commissioner,,ROMAN McALLEN ,DEM ,16,10,6
Sherman,BOX 201  ,Railroad Commissioner,,MIKE WRIGHT ,LIB ,1,0,1
Sherman,BOX 201  ,"JUSTICE, SUPREME COURT, PLACE 2 ",,JIMMY BLACKLOCK ,REP ,68,24,44
Sherman,BOX 201  ,"JUSTICE, SUPREME COURT, PLACE 2 ",,STEVEN KIRKLAND ,DEM ,17,11,6
Sherman,BOX 201  ,"JUSTICE, SUPREME COURT, PLACE 4 ",,JOHN DEVINE ,REP ,67,24,43
Sherman,BOX 201  ,"JUSTICE, SUPREME COURT, PLACE 4 ",,R. K. SANDILL ,DEM ,17,11,6
Sherman,BOX 201  ,"JUSTICE, SUPREME COURT, PLACE 6 ",,JEFF BROWN ,REP ,69,24,45
Sherman,BOX 201  ,"JUSTICE, SUPREME COURT, PLACE 6 ",,KATHY CHENG ,DEM ,16,11,5
Sherman,BOX 201  ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,SHARON KELLER ,REP ,67,24,43
Sherman,BOX 201  ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,MARIA T. (TERRI) JAC ,DEM ,17,11,6
Sherman,BOX 201  ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,WILLIAM BRYAN STRANG ,LIB ,0,0,0
Sherman,BOX 201  ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 7 ",,BARBARA PARKER HERVE ,REP ,67,24,43
Sherman,BOX 201  ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 7 ",,RAMONA FRANKLIN ,DEM ,17,11,6
Sherman,BOX 201  ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 8 ",,MICHELLE SLAUGHTER ,REP ,70,27,43
Sherman,BOX 201  ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 8 ",,MARK ASH ,LIB ,5,2,3
Sherman,BOX 201  ,STATE SENATE,31,KEL SELIGER ,REP ,74,29,45
Sherman,BOX 201  ,STATE SENATE,31,JACK B. WESTBROOK ,LIB ,5,2,3
Sherman,BOX 201  ,STATE REPRESENTATIVE,87,FOUR PRICE ,REP ,76,29,47
Sherman,BOX 201  ,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 2 ",,JUDY PARKER ,REP ,75,30,45
Sherman,BOX 201  ,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 3 ",,PAT PIRTLE ,REP ,75,29,46
Sherman,BOX 201  ,"DISTRICT JUDGE, 69TH JUDICIAL DISTRICT ",,RON ENNS ,REP ,75,29,46
Sherman,BOX 201  ,COUNTY JUDGE ,,TERRI BETH CARTER ,REP ,78,29,49
Sherman,BOX 201  ,DISTRICT & COUNTY CLERK ,,LAURA ROGERS ,REP ,80,31,49
Sherman,BOX 201  ,COUNTY TREASURER ,,DORIS PARSONS ,REP ,81,31,50
Sherman,BOX 201  ,COUNTY COMMISSIONER PRECINCT 2 ,,TERRY MATHEWS ,NP ,54,16,38
Sherman,BOX 201  ,JUSTICE OF THE PEACE ,,BRENDA J. ACKER ,REP ,81,31,50
Sherman,BOX 202 - NO S & H ,U.S. Senate,,TED CRUZ ,REP ,52,45,7
Sherman,BOX 202 - NO S & H ,U.S. Senate,,BETO O'ROURKE ,DEM ,0,0,0
Sherman,BOX 202 - NO S & H ,U.S. Senate,,NEAL M. DIKEMAN ,LIB ,6,0,6
Sherman,BOX 202 - NO S & H ,U.S. House,13,MAC THORNBERRY ,REP ,51,44,7
Sherman,BOX 202 - NO S & H ,U.S. House,13,GREG SAGAN ,DEM ,0,0,0
Sherman,BOX 202 - NO S & H ,U.S. House,13,CALVIN DeWEESE ,LIB ,6,0,6
Sherman,BOX 202 - NO S & H ,Governor,,GREG ABBOTT ,REP ,52,45,7
Sherman,BOX 202 - NO S & H ,Governor,,LUPE VALDEZ ,DEM ,0,0,0
Sherman,BOX 202 - NO S & H ,Governor,,MARK JAY TIPPETTS ,LIB ,6,0,6
Sherman,BOX 202 - NO S & H ,LIEUTENANT Governor,,DAN PATRICK ,REP ,46,39,7
Sherman,BOX 202 - NO S & H ,LIEUTENANT Governor,,MIKE COLLIER ,DEM ,6,6,0
Sherman,BOX 202 - NO S & H ,LIEUTENANT Governor,,KERRY DOUGLAS McKENN ,LIB ,6,0,6
Sherman,BOX 202 - NO S & H ,Attorney General,,KEN PAXTON ,REP ,50,43,7
Sherman,BOX 202 - NO S & H ,Attorney General,,JUSTIN NELSON ,DEM ,0,0,0
Sherman,BOX 202 - NO S & H ,Attorney General,,MICHAEL RAY HARRIS ,LIB ,2,2,0
Sherman,BOX 202 - NO S & H ,Comptroller	of Public Accounts,,GLENN HEGAR ,REP ,53,44,9
Sherman,BOX 202 - NO S & H ,Comptroller	of Public Accounts,,JOI CHEVALIER ,DEM ,0,0,0
Sherman,BOX 202 - NO S & H ,Comptroller	of Public Accounts,,BEN SANDERS ,LIB ,0,0,0
Sherman,BOX 202 - NO S & H ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,GEORGE P. BUSH ,REP ,53,44,9
Sherman,BOX 202 - NO S & H ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,MIGUEL SUAZO ,DEM ,0,0,0
Sherman,BOX 202 - NO S & H ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,MATT PINA ,LIB ,0,0,0
Sherman,BOX 202 - NO S & H ,COMMISSIONER OF AGRICULTURE ,,SID MILLER ,REP ,53,44,9
Sherman,BOX 202 - NO S & H ,COMMISSIONER OF AGRICULTURE ,,KIM OLSON ,DEM ,0,0,0
Sherman,BOX 202 - NO S & H ,COMMISSIONER OF AGRICULTURE ,,RICHARD CARPENTER ,LIB ,0,0,0
Sherman,BOX 202 - NO S & H ,Railroad Commissioner,,CHRISTI CRADDICK ,REP ,53,44,9
Sherman,BOX 202 - NO S & H ,Railroad Commissioner,,ROMAN McALLEN ,DEM ,0,0,0
Sherman,BOX 202 - NO S & H ,Railroad Commissioner,,MIKE WRIGHT ,LIB ,0,0,0
Sherman,BOX 202 - NO S & H ,"JUSTICE, SUPREME COURT, PLACE 2 ",,JIMMY BLACKLOCK ,REP ,53,44,9
Sherman,BOX 202 - NO S & H ,"JUSTICE, SUPREME COURT, PLACE 2 ",,STEVEN KIRKLAND ,DEM ,0,0,0
Sherman,BOX 202 - NO S & H ,"JUSTICE, SUPREME COURT, PLACE 4 ",,JOHN DEVINE ,REP ,53,44,9
Sherman,BOX 202 - NO S & H ,"JUSTICE, SUPREME COURT, PLACE 4 ",,R. K. SANDILL ,DEM ,0,0,0
Sherman,BOX 202 - NO S & H ,"JUSTICE, SUPREME COURT, PLACE 6 ",,JEFF BROWN ,REP ,52,43,9
Sherman,BOX 202 - NO S & H ,"JUSTICE, SUPREME COURT, PLACE 6 ",,KATHY CHENG ,DEM ,0,0,0
Sherman,BOX 202 - NO S & H ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,SHARON KELLER ,REP ,53,44,9
Sherman,BOX 202 - NO S & H ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,MARIA T. (TERRI) JAC ,DEM ,0,0,0
Sherman,BOX 202 - NO S & H ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,WILLIAM BRYAN STRANG ,LIB ,0,0,0
Sherman,BOX 202 - NO S & H ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 7 ",,BARBARA PARKER HERVE ,REP ,53,44,9
Sherman,BOX 202 - NO S & H ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 7 ",,RAMONA FRANKLIN ,DEM ,0,0,0
Sherman,BOX 202 - NO S & H ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 8 ",,MICHELLE SLAUGHTER ,REP ,53,44,9
Sherman,BOX 202 - NO S & H ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 8 ",,MARK ASH ,LIB ,0,0,0
Sherman,BOX 202 - NO S & H ,STATE SENATE,31,KEL SELIGER ,REP ,48,42,6
Sherman,BOX 202 - NO S & H ,STATE SENATE,31,JACK B. WESTBROOK ,LIB ,5,2,3
Sherman,BOX 202 - NO S & H ,STATE REPRESENTATIVE,87,FOUR PRICE ,REP ,52,43,9
