county,precinct,candidate,office,district,party,votes
Kent,Precinct 201,Mark Jay Tippetts,Governor,,LIB,0
Kent,Precinct 201,Dan Patrick,Lieutenant Governor,,REP,4
Kent,Precinct 201,Mike Collier,Lieutenant Governor,,DEM,3
Kent,Precinct 201,Kerry Douglas McKennon,Lieutenant Governor,,LIB,0
Kent,Precinct 201,Ken Paxton,Attorney General,,REP,6
Kent,Precinct 201,Justin Nelson,Attorney General,,DEM,1
Kent,Precinct 201,Michael Ray Harris,Attorney General,,LIB,0
Kent,Precinct 201,Glenn Hegar,Comptroller of Public Accounts,,REP,7
Kent,Precinct 201,Joi Chevalier,Comptroller of Public Accounts,,DEM,0
Kent,Precinct 201,Ben Sanders,Comptroller of Public Accounts,,LIB,0
Kent,Precinct 201,George P. Bush,Commissioner of the General Land Office,,REP,7
Kent,Precinct 201,Miguel Suazo,Commissioner of the General Land Office,,DEM,0
Kent,Precinct 201,Matt Pina,Commissioner of the General Land Office,,LIB,0
Kent,Precinct 201,Sid Miller,Commissioner of Agriculture,,REP,7
Kent,Precinct 201,Kim Olson,Commissioner of Agriculture,,DEM,0
Kent,Precinct 201,Richard Carpenter,Commissioner of Agriculture,,LIB,0
Kent,Precinct 201,Christi Craddick,Railroad Commissioner,,REP,6
Kent,Precinct 201,Roman McAllen,Railroad Commissioner,,DEM,0
Kent,Precinct 201,Mike Wright,Railroad Commissioner,,LIB,1
Kent,Precinct 201,Drew Springer,State Representative,68,REP,6
Kent,Precinct 202,Ted Cruz,U.S. Senate,,REP,20
Kent,Precinct 202,Beto O'Rourke,U.S. Senate,,DEM,2
Kent,Precinct 202,Neal M. Dikeman,U.S. Senate,,LIB,0
Kent,Precinct 202,Jodey Arrington,U.S. House,19,REP,21
Kent,Precinct 202,Miguel Levario,U.S. House,19,DEM,1
Kent,Precinct 202,Gregg Abbott,Governor,,REP,21
Kent,Precinct 202,Lupe Valdez,Governor,,DEM,1
Kent,Precinct 202,Mark Jay Tippetts,Governor,,LIB,0
Kent,Precinct 202,Dan Patrick,Lieutenant Governor,,REP,18
Kent,Precinct 202,Mike Collier,Lieutenant Governor,,DEM,4
Kent,Precinct 202,Kerry Douglas McKennon,Lieutenant Governor,,LIB,0
Kent,Precinct 202,Ken Paxton,Attorney General,,REP,20
Kent,Precinct 202,Justin Nelson,Attorney General,,DEM,1
Kent,Precinct 202,Michael Ray Harris,Attorney General,,LIB,1
Kent,Precinct 202,Glenn Hegar,Comptroller of Public Accounts,,REP,21
Kent,Precinct 202,Joi Chevalier,Comptroller of Public Accounts,,DEM,1
Kent,Precinct 202,Ben Sanders,Comptroller of Public Accounts,,LIB,0
Kent,Precinct 202,George P. Bush,Commissioner of the General Land Office,,REP,20
Kent,Precinct 202,Miguel Suazo,Commissioner of the General Land Office,,DEM,1
Kent,Precinct 202,Matt Pina,Commissioner of the General Land Office,,LIB,1
Kent,Precinct 202,Sid Miller,Commissioner of Agriculture,,REP,20
Kent,Precinct 202,Kim Olson,Commissioner of Agriculture,,DEM,1
Kent,Precinct 202,Richard Carpenter,Commissioner of Agriculture,,LIB,0
Kent,Precinct 202,Christi Craddick,Railroad Commissioner,,REP,19
Kent,Precinct 202,Roman McAllen,Railroad Commissioner,,DEM,1
Kent,Precinct 202,Mike Wright,Railroad Commissioner,,LIB,1
Kent,Precinct 202,Drew Springer,State Representative,68,REP,21
Kent,Precinct 301,Ted Cruz,U.S. Senate,,REP,22
Kent,Precinct 301,Beto O'Rourke,U.S. Senate,,DEM,4
Kent,Precinct 301,Neal M. Dikeman,U.S. Senate,,LIB,0
Kent,Precinct 301,Jodey Arrington,U.S. House,19,REP,22
Kent,Precinct 301,Miguel Levario,U.S. House,19,DEM,3
Kent,Precinct 301,Gregg Abbott,Governor,,REP,22
Kent,Precinct 301,Lupe Valdez,Governor,,DEM,3
Kent,Precinct 301,Mark Jay Tippetts,Governor,,LIB,0
Kent,Precinct 301,Dan Patrick,Lieutenant Governor,,REP,18
Kent,Precinct 301,Mike Collier,Lieutenant Governor,,DEM,7
Kent,Precinct 301,Kerry Douglas McKennon,Lieutenant Governor,,LIB,3
Kent,Precinct 301,Ken Paxton,Attorney General,,REP,22
Kent,Precinct 301,Justin Nelson,Attorney General,,DEM,3
Kent,Precinct 301,Michael Ray Harris,Attorney General,,LIB,1
Kent,Precinct 301,Glenn Hegar,Comptroller of Public Accounts,,REP,20
Kent,Precinct 301,Joi Chevalier,Comptroller of Public Accounts,,DEM,5
Kent,Precinct 301,Ben Sanders,Comptroller of Public Accounts,,LIB,0
Kent,Precinct 301,George P. Bush,Commissioner of the General Land Office,,REP,22
Kent,Precinct 301,Miguel Suazo,Commissioner of the General Land Office,,DEM,5
Kent,Precinct 301,Matt Pina,Commissioner of the General Land Office,,LIB,0
Kent,Precinct 301,Sid Miller,Commissioner of Agriculture,,REP,21
Kent,Precinct 301,Kim Olson,Commissioner of Agriculture,,DEM,5
Kent,Precinct 301,Richard Carpenter,Commissioner of Agriculture,,LIB,1
Kent,Precinct 301,Christi Craddick,Railroad Commissioner,,REP,22
Kent,Precinct 301,Roman McAllen,Railroad Commissioner,,DEM,4
Kent,Precinct 301,Mike Wright,Railroad Commissioner,,LIB,1
Kent,Precinct 301,Drew Springer,State Representative,68,REP,24
Kent,Precinct 302,Ted Cruz,U.S. Senate,,REP,10
Kent,Precinct 302,Beto O'Rourke,U.S. Senate,,DEM,0
Kent,Precinct 302,Neal M. Dikeman,U.S. Senate,,LIB,0
Kent,Precinct 302,Jodey Arrington,U.S. House,19,REP,10
Kent,Precinct 302,Miguel Levario,U.S. House,19,DEM,0
Kent,Precinct 302,Gregg Abbott,Governor,,REP,10
Kent,Precinct 302,Lupe Valdez,Governor,,DEM,0
Kent,Precinct 302,Mark Jay Tippetts,Governor,,LIB,0
Kent,Precinct 302,Dan Patrick,Lieutenant Governor,,REP,10
Kent,Precinct 302,Mike Collier,Lieutenant Governor,,DEM,0
Kent,Precinct 302,Kerry Douglas McKennon,Lieutenant Governor,,LIB,0
Kent,Precinct 302,Ken Paxton,Attorney General,,REP,10
Kent,Precinct 302,Justin Nelson,Attorney General,,DEM,0
Kent,Precinct 302,Michael Ray Harris,Attorney General,,LIB,0
Kent,Precinct 302,Glenn Hegar,Comptroller of Public Accounts,,REP,10
Kent,Precinct 302,Joi Chevalier,Comptroller of Public Accounts,,DEM,0
Kent,Precinct 302,Ben Sanders,Comptroller of Public Accounts,,LIB,0
Kent,Precinct 302,George P. Bush,Commissioner of the General Land Office,,REP,10
Kent,Precinct 302,Miguel Suazo,Commissioner of the General Land Office,,DEM,0
Kent,Precinct 302,Matt Pina,Commissioner of the General Land Office,,LIB,0
Kent,Precinct 302,Sid Miller,Commissioner of Agriculture,,REP,10
Kent,Precinct 302,Kim Olson,Commissioner of Agriculture,,DEM,0
Kent,Precinct 302,Richard Carpenter,Commissioner of Agriculture,,LIB,0
Kent,Precinct 302,Christi Craddick,Railroad Commissioner,,REP,10
Kent,Precinct 302,Roman McAllen,Railroad Commissioner,,DEM,0
Kent,Precinct 302,Mike Wright,Railroad Commissioner,,LIB,0
Kent,Precinct 302,Drew Springer,State Representative,68,REP,9
Kent,Precinct 401,Ted Cruz,U.S. Senate,,REP,21
Kent,Precinct 401,Beto O'Rourke,U.S. Senate,,DEM,2
Kent,Precinct 401,Neal M. Dikeman,U.S. Senate,,LIB,0
Kent,Precinct 401,Jodey Arrington,U.S. House,19,REP,22
Kent,Precinct 401,Miguel Levario,U.S. House,19,DEM,1
Kent,Precinct 401,Gregg Abbott,Governor,,REP,21
Kent,Precinct 401,Lupe Valdez,Governor,,DEM,2
Kent,Precinct 401,Mark Jay Tippetts,Governor,,LIB,0
Kent,Precinct 401,Dan Patrick,Lieutenant Governor,,REP,21
Kent,Precinct 401,Mike Collier,Lieutenant Governor,,DEM,2
Kent,Precinct 401,Kerry Douglas McKennon,Lieutenant Governor,,LIB,0
Kent,Precinct 401,Ken Paxton,Attorney General,,REP,21
Kent,Precinct 401,Justin Nelson,Attorney General,,DEM,2
Kent,Precinct 401,Michael Ray Harris,Attorney General,,LIB,0
Kent,Precinct 401,Glenn Hegar,Comptroller of Public Accounts,,REP,21
Kent,Precinct 401,Joi Chevalier,Comptroller of Public Accounts,,DEM,2
Kent,Precinct 401,Ben Sanders,Comptroller of Public Accounts,,LIB,0
Kent,Precinct 401,George P. Bush,Commissioner of the General Land Office,,REP,21
Kent,Precinct 401,Miguel Suazo,Commissioner of the General Land Office,,DEM,1
Kent,Precinct 401,Matt Pina,Commissioner of the General Land Office,,LIB,1
Kent,Precinct 401,Sid Miller,Commissioner of Agriculture,,REP,19
Kent,Precinct 401,Kim Olson,Commissioner of Agriculture,,DEM,4
Kent,Precinct 401,Richard Carpenter,Commissioner of Agriculture,,LIB,0
Kent,Precinct 401,Christi Craddick,Railroad Commissioner,,REP,19
Kent,Precinct 401,Roman McAllen,Railroad Commissioner,,DEM,3
Kent,Precinct 401,Mike Wright,Railroad Commissioner,,LIB,1
Kent,Precinct 401,Drew Springer,State Representative,68,REP,20
Kent,Early,Ted Cruz,U.S. Senate,,REP,179
Kent,Early,Beto O'Rourke,U.S. Senate,,DEM,31
Kent,Early,Neal M. Dikeman,U.S. Senate,,LIB,5
Kent,Early,Jodey Arrington,U.S. House,19,REP,184
Kent,Early,Miguel Levario,U.S. House,19,DEM,25
Kent,Early,Gregg Abbott,Governor,,REP,182
Kent,Early,Lupe Valdez,Governor,,DEM,27
Kent,Early,Mark Jay Tippetts,Governor,,LIB,4
Kent,Early,Dan Patrick,Lieutenant Governor,,REP,166
Kent,Early,Mike Collier,Lieutenant Governor,,DEM,43
Kent,Early,Kerry Douglas McKennon,Lieutenant Governor,,LIB,2
Kent,Early,Ken Paxton,Attorney General,,REP,164
Kent,Early,Justin Nelson,Attorney General,,DEM,35
Kent,Early,Michael Ray Harris,Attorney General,,LIB,5
Kent,Early,Glenn Hegar,Comptroller of Public Accounts,,REP,165
Kent,Early,Joi Chevalier,Comptroller of Public Accounts,,DEM,26
Kent,Early,Ben Sanders,Comptroller of Public Accounts,,LIB,9
Kent,Early,George P. Bush,Commissioner of the General Land Office,,REP,168
Kent,Early,Miguel Suazo,Commissioner of the General Land Office,,DEM,25
Kent,Early,Matt Pina,Commissioner of the General Land Office,,LIB,8
Kent,Early,Sid Miller,Commissioner of Agriculture,,REP,171
Kent,Early,Kim Olson,Commissioner of Agriculture,,DEM,31
Kent,Early,Richard Carpenter,Commissioner of Agriculture,,LIB,3
Kent,Early,Christi Craddick,Railroad Commissioner,,REP,169
Kent,Early,Roman McAllen,Railroad Commissioner,,DEM,30
Kent,Early,Mike Wright,Railroad Commissioner,,LIB,5
Kent,Early,Drew Springer,State Representative,68,REP,168
