county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee,limited,provisional
Leon,9,Straight Party,,,OVER VOTES,0,0,0,0,0,0
Leon,10,Straight Party,,,OVER VOTES,0,0,0,0,0,0
Leon,11,Straight Party,,,OVER VOTES,0,0,0,0,0,0
Leon,12,Straight Party,,,OVER VOTES,0,0,0,0,0,0
Leon,13,Straight Party,,,OVER VOTES,0,0,0,0,0,0
Leon,14,Straight Party,,,OVER VOTES,0,0,0,0,0,0
Leon,14A,Straight Party,,,OVER VOTES,0,0,0,0,0,0
Leon,1,Straight Party,,,UNDER VOTES,291,204,71,12,4,0
Leon,1A,Straight Party,,,UNDER VOTES,40,30,10,0,0,0
Leon,2,Straight Party,,,UNDER VOTES,83,34,42,6,1,0
Leon,3,Straight Party,,,UNDER VOTES,108,57,37,13,1,0
Leon,4,Straight Party,,,UNDER VOTES,147,35,101,11,0,0
Leon,5,Straight Party,,,UNDER VOTES,112,52,54,2,4,0
Leon,5A,Straight Party,,,UNDER VOTES,4,3,1,0,0,0
Leon,6,Straight Party,,,UNDER VOTES,216,50,141,18,7,0
Leon,7,Straight Party,,,UNDER VOTES,127,35,85,6,1,0
Leon,8,Straight Party,,,UNDER VOTES,165,43,109,12,1,0
Leon,9,Straight Party,,,UNDER VOTES,64,27,29,6,2,0
Leon,10,Straight Party,,,UNDER VOTES,165,64,85,10,6,0
Leon,11,Straight Party,,,UNDER VOTES,152,70,77,5,0,0
Leon,12,Straight Party,,,UNDER VOTES,125,36,84,4,1,0
Leon,13,Straight Party,,,UNDER VOTES,135,77,45,13,0,0
Leon,14,Straight Party,,,UNDER VOTES,40,28,9,3,0,0
Leon,14A,Straight Party,,,UNDER VOTES,28,13,11,4,0,0
Leon,1,U.S. Senate,,REP,Ted Cruz,716,495,159,58,4,0
Leon,1A,U.S. Senate,,REP,Ted Cruz,117,85,28,4,0,0
Leon,2,U.S. Senate,,REP,Ted Cruz,198,80,111,6,1,0
Leon,3,U.S. Senate,,REP,Ted Cruz,317,170,101,46,0,0
Leon,4,U.S. Senate,,REP,Ted Cruz,443,98,290,55,0,0
Leon,5,U.S. Senate,,REP,Ted Cruz,303,135,140,24,4,0
Leon,5A,U.S. Senate,,REP,Ted Cruz,31,16,13,2,0,0
Leon,6,U.S. Senate,,REP,Ted Cruz,700,173,408,111,7,1
Leon,7,U.S. Senate,,REP,Ted Cruz,330,100,202,27,1,0
Leon,8,U.S. Senate,,REP,Ted Cruz,485,160,292,32,1,0
Leon,9,U.S. Senate,,REP,Ted Cruz,171,68,89,13,1,0
Leon,10,U.S. Senate,,REP,Ted Cruz,524,238,257,24,5,0
Leon,11,U.S. Senate,,REP,Ted Cruz,400,159,209,32,0,0
Leon,12,U.S. Senate,,REP,Ted Cruz,341,82,232,26,1,0
Leon,13,U.S. Senate,,REP,Ted Cruz,424,221,147,56,0,0
Leon,14,U.S. Senate,,REP,Ted Cruz,108,63,31,14,0,0
Leon,14A,U.S. Senate,,REP,Ted Cruz,103,57,38,8,0,0
Leon,1,U.S. Senate,,DEM,Beto O'Rourke,129,82,37,10,0,0
Leon,1A,U.S. Senate,,DEM,Beto O'Rourke,11,10,0,1,0,0
Leon,2,U.S. Senate,,DEM,Beto O'Rourke,28,11,9,8,0,0
Leon,3,U.S. Senate,,DEM,Beto O'Rourke,42,15,21,5,1,0
Leon,4,U.S. Senate,,DEM,Beto O'Rourke,76,14,54,8,0,0
Leon,5,U.S. Senate,,DEM,Beto O'Rourke,45,19,26,0,0,0
Leon,5A,U.S. Senate,,DEM,Beto O'Rourke,1,0,1,0,0,0
Leon,6,U.S. Senate,,DEM,Beto O'Rourke,75,15,53,7,0,0
Leon,7,U.S. Senate,,DEM,Beto O'Rourke,29,9,18,2,0,0
Leon,8,U.S. Senate,,DEM,Beto O'Rourke,85,25,54,6,0,0
Leon,9,U.S. Senate,,DEM,Beto O'Rourke,20,8,6,4,2,0
Leon,10,U.S. Senate,,DEM,Beto O'Rourke,49,21,19,8,1,0
Leon,11,U.S. Senate,,DEM,Beto O'Rourke,78,25,47,6,0,0
Leon,12,U.S. Senate,,DEM,Beto O'Rourke,116,21,89,6,0,0
Leon,13,U.S. Senate,,DEM,Beto O'Rourke,31,12,16,3,0,0
Leon,14,U.S. Senate,,DEM,Beto O'Rourke,21,12,7,2,0,0
Leon,14A,U.S. Senate,,DEM,Beto O'Rourke,19,7,7,5,0,0
Leon,1,U.S. Senate,,LIB,Neal M. Dikeman,3,2,1,0,0,0
Leon,1A,U.S. Senate,,LIB,Neal M. Dikeman,0,0,0,0,0,0
Leon,2,U.S. Senate,,LIB,Neal M. Dikeman,1,1,0,0,0,0
Leon,3,U.S. Senate,,LIB,Neal M. Dikeman,0,0,0,0,0,0
Leon,4,U.S. Senate,,LIB,Neal M. Dikeman,0,0,0,0,0,0
Leon,5,U.S. Senate,,LIB,Neal M. Dikeman,1,0,1,0,0,0
Leon,5A,U.S. Senate,,LIB,Neal M. Dikeman,0,0,0,0,0,0
Leon,6,U.S. Senate,,LIB,Neal M. Dikeman,2,0,2,0,0,0
Leon,7,U.S. Senate,,LIB,Neal M. Dikeman,3,1,2,0,0,0
Leon,8,U.S. Senate,,LIB,Neal M. Dikeman,3,0,2,1,0,0
Leon,9,U.S. Senate,,LIB,Neal M. Dikeman,0,0,0,0,0,0
Leon,10,U.S. Senate,,LIB,Neal M. Dikeman,2,2,0,0,0,0
Leon,11,U.S. Senate,,LIB,Neal M. Dikeman,2,0,2,0,0,0
Leon,12,U.S. Senate,,LIB,Neal M. Dikeman,6,2,4,0,0,0
Leon,13,U.S. Senate,,LIB,Neal M. Dikeman,0,0,0,0,0,0
Leon,14,U.S. Senate,,LIB,Neal M. Dikeman,0,0,0,0,0,0
Leon,14A,U.S. Senate,,LIB,Neal M. Dikeman,0,0,0,0,0,0
Leon,1,U.S. Senate,,,OVER VOTES,0,0,0,0,0,0
Leon,1A,U.S. Senate,,,OVER VOTES,0,0,0,0,0,0
Leon,2,U.S. Senate,,,OVER VOTES,0,0,0,0,0,0
Leon,3,U.S. Senate,,,OVER VOTES,0,0,0,0,0,0
Leon,4,U.S. Senate,,,OVER VOTES,0,0,0,0,0,0
Leon,5,U.S. Senate,,,OVER VOTES,0,0,0,0,0,0
Leon,5A,U.S. Senate,,,OVER VOTES,0,0,0,0,0,0
Leon,6,U.S. Senate,,,OVER VOTES,0,0,0,0,0,0
Leon,7,U.S. Senate,,,OVER VOTES,0,0,0,0,0,0
Leon,8,U.S. Senate,,,OVER VOTES,0,0,0,0,0,0
Leon,9,U.S. Senate,,,OVER VOTES,0,0,0,0,0,0
Leon,10,U.S. Senate,,,OVER VOTES,0,0,0,0,0,0
Leon,11,U.S. Senate,,,OVER VOTES,0,0,0,0,0,0
Leon,12,U.S. Senate,,,OVER VOTES,0,0,0,0,0,0
Leon,13,U.S. Senate,,,OVER VOTES,0,0,0,0,0,0
Leon,14,U.S. Senate,,,OVER VOTES,0,0,0,0,0,0
Leon,14A,U.S. Senate,,,OVER VOTES,0,0,0,0,0,0
Leon,1,U.S. Senate,,,UNDER VOTES,2,1,1,0,0,0
Leon,1A,U.S. Senate,,,UNDER VOTES,0,0,0,0,0,0
Leon,2,U.S. Senate,,,UNDER VOTES,1,1,0,0,0,0
Leon,3,U.S. Senate,,,UNDER VOTES,3,2,0,1,0,0
Leon,4,U.S. Senate,,,UNDER VOTES,2,0,2,0,0,0
Leon,5,U.S. Senate,,,UNDER VOTES,1,0,1,0,0,0
Leon,5A,U.S. Senate,,,UNDER VOTES,0,0,0,0,0,0
Leon,6,U.S. Senate,,,UNDER VOTES,1,0,1,0,0,0
Leon,7,U.S. Senate,,,UNDER VOTES,2,1,1,0,0,0
Leon,8,U.S. Senate,,,UNDER VOTES,1,0,1,0,0,0
Leon,9,U.S. Senate,,,UNDER VOTES,0,0,0,0,0,0
Leon,10,U.S. Senate,,,UNDER VOTES,1,0,1,0,0,0
Leon,11,U.S. Senate,,,UNDER VOTES,3,2,1,0,0,0
Leon,12,U.S. Senate,,,UNDER VOTES,0,0,0,0,0,0
Leon,13,U.S. Senate,,,UNDER VOTES,0,0,0,0,0,0
Leon,14,U.S. Senate,,,UNDER VOTES,0,0,0,0,0,0
Leon,14A,U.S. Senate,,,UNDER VOTES,0,0,0,0,0,0
Leon,1,U.S. House,8,REP,Kevin Brady,724,502,161,58,3,0
Leon,2,U.S. House,8,REP,Kevin Brady,201,82,110,9,0,0
Leon,3,U.S. House,8,REP,Kevin Brady,318,170,102,46,0,0
Leon,4,U.S. House,8,REP,Kevin Brady,447,101,291,55,0,0
Leon,5,U.S. House,8,REP,Kevin Brady,302,133,141,24,4,0
Leon,6,U.S. House,8,REP,Kevin Brady,705,172,415,111,6,1
Leon,14,U.S. House,8,REP,Kevin Brady,106,62,31,13,0,0
Leon,1,U.S. House,8,DEM,Steven David,112,72,31,9,0,0
Leon,2,U.S. House,8,DEM,Steven David,22,8,9,5,0,0
Leon,3,U.S. House,8,DEM,Steven David,39,14,20,5,0,0
Leon,4,U.S. House,8,DEM,Steven David,72,11,53,8,0,0
Leon,5,U.S. House,8,DEM,Steven David,41,17,24,0,0,0
Leon,6,U.S. House,8,DEM,Steven David,66,14,45,7,0,0
Leon,14,U.S. House,8,DEM,Steven David,19,10,7,2,0,0
Leon,1,U.S. House,8,LIB,Chris Duncan,6,3,2,1,0,0
Leon,2,U.S. House,8,LIB,Chris Duncan,1,1,0,0,0,0
Leon,3,U.S. House,8,LIB,Chris Duncan,2,2,0,0,0,0
Leon,4,U.S. House,8,LIB,Chris Duncan,0,0,0,0,0,0
Leon,5,U.S. House,8,LIB,Chris Duncan,6,4,2,0,0,0
Leon,6,U.S. House,8,LIB,Chris Duncan,2,1,1,0,0,0
Leon,14,U.S. House,8,LIB,Chris Duncan,4,3,0,1,0,0
Leon,1,U.S. House,8,,OVER VOTES,0,0,0,0,0,0
Leon,2,U.S. House,8,,OVER VOTES,0,0,0,0,0,0
Leon,3,U.S. House,8,,OVER VOTES,0,0,0,0,0,0
Leon,4,U.S. House,8,,OVER VOTES,0,0,0,0,0,0
Leon,5,U.S. House,8,,OVER VOTES,0,0,0,0,0,0
Leon,6,U.S. House,8,,OVER VOTES,0,0,0,0,0,0
Leon,14,U.S. House,8,,OVER VOTES,0,0,0,0,0,0
Leon,1,U.S. House,8,,UNDER VOTES,8,3,4,0,1,0
Leon,2,U.S. House,8,,UNDER VOTES,4,2,1,0,1,0
Leon,3,U.S. House,8,,UNDER VOTES,3,1,0,1,1,0
Leon,4,U.S. House,8,,UNDER VOTES,2,0,2,0,0,0
Leon,5,U.S. House,8,,UNDER VOTES,1,0,1,0,0,0
Leon,6,U.S. House,8,,UNDER VOTES,5,1,3,0,1,0
Leon,14,U.S. House,8,,UNDER VOTES,0,0,0,0,0,0
Leon,1A,U.S. House,17,REP,Bill Flores,116,84,28,4,0,0
Leon,5A,U.S. House,17,REP,Bill Flores,31,16,13,2,0,0
Leon,7,U.S. House,17,REP,Bill Flores,333,100,206,27,0,0
Leon,8,U.S. House,17,REP,Bill Flores,481,163,286,32,0,0
Leon,9,U.S. House,17,REP,Bill Flores,171,69,88,13,1,0
Leon,10,U.S. House,17,REP,Bill Flores,516,238,255,23,0,0
Leon,11,U.S. House,17,REP,Bill Flores,404,163,209,32,0,0
Leon,12,U.S. House,17,REP,Bill Flores,343,82,235,26,0,0
Leon,13,U.S. House,17,REP,Bill Flores,419,218,146,55,0,0
Leon,14A,U.S. House,17,REP,Bill Flores,104,58,38,8,0,0
Leon,1A,U.S. House,17,DEM,Rick Kennedy,9,8,0,1,0,0
Leon,5A,U.S. House,17,DEM,Rick Kennedy,1,0,1,0,0,0
Leon,7,U.S. House,17,DEM,Rick Kennedy,25,9,14,2,0,0
Leon,8,U.S. House,17,DEM,Rick Kennedy,78,22,50,6,0,0
Leon,9,U.S. House,17,DEM,Rick Kennedy,16,6,6,4,0,0
Leon,10,U.S. House,17,DEM,Rick Kennedy,43,20,16,7,0,0
Leon,11,U.S. House,17,DEM,Rick Kennedy,67,20,41,6,0,0
Leon,12,U.S. House,17,DEM,Rick Kennedy,109,20,83,6,0,0
Leon,13,U.S. House,17,DEM,Rick Kennedy,28,11,14,3,0,0
Leon,14A,U.S. House,17,DEM,Rick Kennedy,18,6,7,5,0,0
Leon,1A,U.S. House,17,LIB,Peter Churchman,3,3,0,0,0,0
Leon,5A,U.S. House,17,LIB,Peter Churchman,0,0,0,0,0,0
Leon,7,U.S. House,17,LIB,Peter Churchman,1,0,1,0,0,0
Leon,8,U.S. House,17,LIB,Peter Churchman,8,0,7,1,0,0
Leon,9,U.S. House,17,LIB,Peter Churchman,2,1,1,0,0,0
Leon,10,U.S. House,17,LIB,Peter Churchman,8,1,5,2,0,0
Leon,11,U.S. House,17,LIB,Peter Churchman,7,1,6,0,0,0
Leon,12,U.S. House,17,LIB,Peter Churchman,5,2,3,0,0,0
Leon,13,U.S. House,17,LIB,Peter Churchman,4,1,3,0,0,0
Leon,14A,U.S. House,17,LIB,Peter Churchman,0,0,0,0,0,0
Leon,1A,U.S. House,17,,OVER VOTES,0,0,0,0,0,0
Leon,5A,U.S. House,17,,OVER VOTES,0,0,0,0,0,0
Leon,7,U.S. House,17,,OVER VOTES,0,0,0,0,0,0
Leon,8,U.S. House,17,,OVER VOTES,0,0,0,0,0,0
Leon,9,U.S. House,17,,OVER VOTES,0,0,0,0,0,0
Leon,10,U.S. House,17,,OVER VOTES,0,0,0,0,0,0
Leon,11,U.S. House,17,,OVER VOTES,0,0,0,0,0,0
Leon,12,U.S. House,17,,OVER VOTES,0,0,0,0,0,0
Leon,13,U.S. House,17,,OVER VOTES,0,0,0,0,0,0
Leon,14A,U.S. House,17,,OVER VOTES,0,0,0,0,0,0
Leon,1A,U.S. House,17,,UNDER VOTES,0,0,0,0,0,0
Leon,5A,U.S. House,17,,UNDER VOTES,0,0,0,0,0,0
Leon,7,U.S. House,17,,UNDER VOTES,5,2,2,0,1,0
Leon,8,U.S. House,17,,UNDER VOTES,7,0,6,0,1,0
Leon,9,U.S. House,17,,UNDER VOTES,2,0,0,0,2,0
Leon,10,U.S. House,17,,UNDER VOTES,9,2,1,0,6,0
Leon,11,U.S. House,17,,UNDER VOTES,5,2,3,0,0,0
Leon,12,U.S. House,17,,UNDER VOTES,6,1,4,0,1,0
Leon,13,U.S. House,17,,UNDER VOTES,4,3,0,1,0,0
Leon,14A,U.S. House,17,,UNDER VOTES,0,0,0,0,0,0
Leon,1,Governor,,REP,Greg Abbott,730,505,162,59,4,0
Leon,1A,Governor,,REP,Greg Abbott,115,84,27,4,0,0
Leon,2,Governor,,REP,Greg Abbott,203,83,112,7,1,0
Leon,3,Governor,,REP,Greg Abbott,324,172,104,48,0,0
Leon,4,Governor,,REP,Greg Abbott,445,100,292,53,0,0
Leon,5,Governor,,REP,Greg Abbott,308,135,145,24,4,0
Leon,5A,Governor,,REP,Greg Abbott,31,16,13,2,0,0
Leon,6,Governor,,REP,Greg Abbott,709,173,417,111,7,1
Leon,7,Governor,,REP,Greg Abbott,330,98,204,27,1,0
Leon,8,Governor,,REP,Greg Abbott,488,163,292,32,1,0
Leon,9,Governor,,REP,Greg Abbott,173,70,89,13,1,0
Leon,10,Governor,,REP,Greg Abbott,528,240,257,26,5,0
Leon,11,Governor,,REP,Greg Abbott,406,163,212,31,0,0
Leon,12,Governor,,REP,Greg Abbott,349,84,238,26,1,0
Leon,13,Governor,,REP,Greg Abbott,428,222,148,58,0,0
Leon,14,Governor,,REP,Greg Abbott,109,64,31,14,0,0
Leon,14A,Governor,,REP,Greg Abbott,105,59,38,8,0,0
Leon,1,Governor,,DEM,Lupe Valdez,108,69,31,8,0,0
Leon,1A,Governor,,DEM,Lupe Valdez,8,7,0,1,0,0
Leon,2,Governor,,DEM,Lupe Valdez,21,7,7,7,0,0
Leon,3,Governor,,DEM,Lupe Valdez,36,14,18,3,1,0
Leon,4,Governor,,DEM,Lupe Valdez,72,12,52,8,0,0
Leon,5,Governor,,DEM,Lupe Valdez,39,17,22,0,0,0
Leon,5A,Governor,,DEM,Lupe Valdez,1,0,1,0,0,0
Leon,6,Governor,,DEM,Lupe Valdez,64,14,43,7,0,0
Leon,7,Governor,,DEM,Lupe Valdez,25,9,14,2,0,0
Leon,8,Governor,,DEM,Lupe Valdez,78,21,51,6,0,0
Leon,9,Governor,,DEM,Lupe Valdez,18,6,6,4,2,0
Leon,10,Governor,,DEM,Lupe Valdez,44,19,18,6,1,0
Leon,11,Governor,,DEM,Lupe Valdez,70,20,43,7,0,0
Leon,12,Governor,,DEM,Lupe Valdez,107,20,81,6,0,0
Leon,13,Governor,,DEM,Lupe Valdez,23,10,12,1,0,0
Leon,14,Governor,,DEM,Lupe Valdez,20,11,7,2,0,0
Leon,14A,Governor,,DEM,Lupe Valdez,17,5,7,5,0,0
Leon,1,Governor,,LIB,Mark Jay Tippetts,6,3,2,1,0,0
Leon,1A,Governor,,LIB,Mark Jay Tippetts,4,3,1,0,0,0
Leon,2,Governor,,LIB,Mark Jay Tippetts,3,2,1,0,0,0
Leon,3,Governor,,LIB,Mark Jay Tippetts,1,1,0,0,0,0
Leon,4,Governor,,LIB,Mark Jay Tippetts,2,0,1,1,0,0
Leon,5,Governor,,LIB,Mark Jay Tippetts,3,2,1,0,0,0
Leon,5A,Governor,,LIB,Mark Jay Tippetts,0,0,0,0,0,0
Leon,6,Governor,,LIB,Mark Jay Tippetts,4,1,3,0,0,0
Leon,7,Governor,,LIB,Mark Jay Tippetts,5,2,3,0,0,0
Leon,8,Governor,,LIB,Mark Jay Tippetts,6,1,4,1,0,0
Leon,9,Governor,,LIB,Mark Jay Tippetts,0,0,0,0,0,0
Leon,10,Governor,,LIB,Mark Jay Tippetts,3,2,1,0,0,0
Leon,11,Governor,,LIB,Mark Jay Tippetts,5,1,4,0,0,0
Leon,12,Governor,,LIB,Mark Jay Tippetts,5,1,4,0,0,0
Leon,13,Governor,,LIB,Mark Jay Tippetts,4,1,3,0,0,0
Leon,14,Governor,,LIB,Mark Jay Tippetts,0,0,0,0,0,0
Leon,14A,Governor,,LIB,Mark Jay Tippetts,0,0,0,0,0,0
Leon,1,Governor,,,OVER VOTES,0,0,0,0,0,0
Leon,1A,Governor,,,OVER VOTES,0,0,0,0,0,0
Leon,2,Governor,,,OVER VOTES,0,0,0,0,0,0
Leon,3,Governor,,,OVER VOTES,0,0,0,0,0,0
Leon,4,Governor,,,OVER VOTES,0,0,0,0,0,0
Leon,5,Governor,,,OVER VOTES,0,0,0,0,0,0
Leon,5A,Governor,,,OVER VOTES,0,0,0,0,0,0
Leon,6,Governor,,,OVER VOTES,0,0,0,0,0,0
Leon,7,Governor,,,OVER VOTES,0,0,0,0,0,0
Leon,8,Governor,,,OVER VOTES,0,0,0,0,0,0
Leon,9,Governor,,,OVER VOTES,0,0,0,0,0,0
Leon,10,Governor,,,OVER VOTES,0,0,0,0,0,0
Leon,11,Governor,,,OVER VOTES,0,0,0,0,0,0
Leon,12,Governor,,,OVER VOTES,0,0,0,0,0,0
Leon,13,Governor,,,OVER VOTES,0,0,0,0,0,0
Leon,14,Governor,,,OVER VOTES,0,0,0,0,0,0
Leon,14A,Governor,,,OVER VOTES,0,0,0,0,0,0
Leon,1,Governor,,,UNDER VOTES,6,3,3,0,0,0
Leon,1A,Governor,,,UNDER VOTES,1,1,0,0,0,0
Leon,2,Governor,,,UNDER VOTES,1,1,0,0,0,0
Leon,3,Governor,,,UNDER VOTES,1,0,0,1,0,0
Leon,4,Governor,,,UNDER VOTES,2,0,1,1,0,0
Leon,5,Governor,,,UNDER VOTES,0,0,0,0,0,0
Leon,5A,Governor,,,UNDER VOTES,0,0,0,0,0,0
Leon,6,Governor,,,UNDER VOTES,1,0,1,0,0,0
Leon,7,Governor,,,UNDER VOTES,4,2,2,0,0,0
