county,party,precinct,office,district,candidate,early_voting,election_day,votes
Duval,DEM,2,Railroad Commissioner,,Chris Spellmon,98,36,134
Duval,DEM,2,Railroad Commissioner,,Roman McAllen,162,81,243
Duval,DEM,2,State Representative,31,Ana Lisa Garza,259,113,372
Duval,DEM,2,State Representative,31,Ryan Guillen,213,107,320
Duval,DEM,3,Ballots Cast,,,,,332
Duval,DEM,3,U.S. Senate,,Beto O'Rourke,89,35,124
Duval,DEM,3,U.S. Senate,,Edward Kimbrough,17,6,23
Duval,DEM,3,U.S. Senate,,Sema Hernandez,62,42,104
Duval,DEM,3,U.S. House,15,Vicente Gonzalez,139,67,206
Duval,DEM,3,Governor,,Adrian Ocegueda,7,4,11
Duval,DEM,3,Governor,,Andrew White,8,6,14
Duval,DEM,3,Governor,,"Cedric Davis, Sr.",1,3,4
Duval,DEM,3,Governor,,Grady Yarbrough,32,9,41
Duval,DEM,3,Governor,,James Jolly Clark,1,0,1
Duval,DEM,3,Governor,,Jeffrey Payne,2,3,5
Duval,DEM,3,Governor,,Joe Mumbach,3,0,3
Duval,DEM,3,Governor,,Lupe Valdez,95,44,139
Duval,DEM,3,Governor,,Tom Wakely,0,3,3
Duval,DEM,3,Lieutenant Governor,,Michael Cooper,88,36,124
Duval,DEM,3,Lieutenant Governor,,Mike Collier,50,31,81
Duval,DEM,3,Attorney General,,Justin Nelson,122,57,179
Duval,DEM,3,Comptroller of Public Accounts,,Joi Chevalier,55,24,79
Duval,DEM,3,Comptroller of Public Accounts,,Tim Mahoney,76,39,115
Duval,DEM,3,Commissioner of the General Land Office,,Miguel Suazo,115,53,168
Duval,DEM,3,Commissioner of the General Land Office,,Tex Morgan,27,15,42
Duval,DEM,3,Commissioner of Agriculture,,Kim Olson,124,61,185
Duval,DEM,3,Railroad Commissioner,,Chris Spellmon,46,21,67
Duval,DEM,3,Railroad Commissioner,,Roman McAllen,93,44,137
Duval,DEM,3,State Representative,31,Ana Lisa Garza,135,52,187
Duval,DEM,3,State Representative,31,Ryan Guillen,81,37,118
Duval,DEM,4,Ballots Cast,,,,,96
Duval,DEM,4,U.S. Senate,,Beto O'Rourke,11,13,24
Duval,DEM,4,U.S. Senate,,Edward Kimbrough,10,3,13
Duval,DEM,4,U.S. Senate,,Sema Hernandez,20,14,34
Duval,DEM,4,U.S. House,15,Vicente Gonzalez,36,23,59
Duval,DEM,4,Governor,,Adrian Ocegueda,1,1,2
Duval,DEM,4,Governor,,Andrew White,5,3,8
Duval,DEM,4,Governor,,"Cedric Davis, Sr.",0,0,0
Duval,DEM,4,Governor,,Grady Yarbrough,17,8,25
Duval,DEM,4,Governor,,James Jolly Clark,1,2,3
Duval,DEM,4,Governor,,Jeffrey Payne,0,2,2
Duval,DEM,4,Governor,,Joe Mumbach,1,0,1
Duval,DEM,4,Governor,,Lupe Valdez,13,11,24
Duval,DEM,4,Governor,,Tom Wakely,1,1,2
Duval,DEM,4,Lieutenant Governor,,Michael Cooper,24,13,37
Duval,DEM,4,Lieutenant Governor,,Mike Collier,9,16,25
Duval,DEM,4,Attorney General,,Justin Nelson,27,21,48
Duval,DEM,4,Comptroller of Public Accounts,,Joi Chevalier,11,7,18
Duval,DEM,4,Comptroller of Public Accounts,,Tim Mahoney,21,19,40
Duval,DEM,4,Commissioner of the General Land Office,,Miguel Suazo,28,22,50
Duval,DEM,4,Commissioner of the General Land Office,,Tex Morgan,4,6,10
Duval,DEM,4,Commissioner of Agriculture,,Kim Olson,28,22,50
Duval,DEM,4,Railroad Commissioner,,Chris Spellmon,18,7,25
Duval,DEM,4,Railroad Commissioner,,Roman McAllen,12,24,36
Duval,DEM,4,State Representative,31,Ana Lisa Garza,40,28,68
Duval,DEM,4,State Representative,31,Ryan Guillen,14,8,22
Duval,DEM,5,Ballots Cast,,,,,178
Duval,DEM,5,U.S. Senate,,Beto O'Rourke,34,14,48
Duval,DEM,5,U.S. Senate,,Edward Kimbrough,11,6,17
Duval,DEM,5,U.S. Senate,,Sema Hernandez,28,15,43
Duval,DEM,5,U.S. House,15,Vicente Gonzalez,64,26,90
Duval,DEM,5,Governor,,Adrian Ocegueda,4,3,7
Duval,DEM,5,Governor,,Andrew White,8,3,11
Duval,DEM,5,Governor,,"Cedric Davis, Sr.",2,0,2
Duval,DEM,5,Governor,,Grady Yarbrough,10,5,15
Duval,DEM,5,Governor,,James Jolly Clark,2,1,3
Duval,DEM,5,Governor,,Jeffrey Payne,2,3,5
Duval,DEM,5,Governor,,Joe Mumbach,0,0,0
Duval,DEM,5,Governor,,Lupe Valdez,36,18,54
Duval,DEM,5,Governor,,Tom Wakely,2,0,2
Duval,DEM,5,Lieutenant Governor,,Michael Cooper,35,19,54
Duval,DEM,5,Lieutenant Governor,,Mike Collier,26,12,38
Duval,DEM,5,Attorney General,,Justin Nelson,49,23,72
Duval,DEM,5,Comptroller of Public Accounts,,Joi Chevalier,23,9,32
Duval,DEM,5,Comptroller of Public Accounts,,Tim Mahoney,38,20,58
Duval,DEM,5,Commissioner of the General Land Office,,Miguel Suazo,54,27,81
Duval,DEM,5,Commissioner of the General Land Office,,Tex Morgan,9,6,15
Duval,DEM,5,Commissioner of Agriculture,,Kim Olson,55,25,80
Duval,DEM,5,Railroad Commissioner,,Chris Spellmon,17,8,25
Duval,DEM,5,Railroad Commissioner,,Roman McAllen,46,21,67
Duval,DEM,5,State Representative,31,Ana Lisa Garza,47,23,70
Duval,DEM,5,State Representative,31,Ryan Guillen,70,28,98
Duval,DEM,6,Ballots Cast,,,,,75
Duval,DEM,6,U.S. Senate,,Beto O'Rourke,9,5,14
Duval,DEM,6,U.S. Senate,,Edward Kimbrough,0,1,1
Duval,DEM,6,U.S. Senate,,Sema Hernandez,10,11,21
Duval,DEM,6,U.S. House,15,Vicente Gonzalez,11,15,26
Duval,DEM,6,Governor,,Adrian Ocegueda,2,2,4
Duval,DEM,6,Governor,,Andrew White,7,3,10
Duval,DEM,6,Governor,,"Cedric Davis, Sr.",0,0,0
Duval,DEM,6,Governor,,Grady Yarbrough,1,1,2
Duval,DEM,6,Governor,,James Jolly Clark,0,1,1
Duval,DEM,6,Governor,,Jeffrey Payne,0,1,1
Duval,DEM,6,Governor,,Joe Mumbach,0,0,0
Duval,DEM,6,Governor,,Lupe Valdez,15,9,24
Duval,DEM,6,Governor,,Tom Wakely,0,1,1
Duval,DEM,6,Lieutenant Governor,,Michael Cooper,9,8,17
Duval,DEM,6,Lieutenant Governor,,Mike Collier,2,8,10
Duval,DEM,6,Attorney General,,Justin Nelson,6,13,19
Duval,DEM,6,Comptroller of Public Accounts,,Joi Chevalier,4,6,10
Duval,DEM,6,Comptroller of Public Accounts,,Tim Mahoney,8,9,17
Duval,DEM,6,Commissioner of the General Land Office,,Miguel Suazo,12,13,25
Duval,DEM,6,Commissioner of the General Land Office,,Tex Morgan,1,3,4
Duval,DEM,6,Commissioner of Agriculture,,Kim Olson,8,14,22
Duval,DEM,6,Railroad Commissioner,,Chris Spellmon,1,5,6
Duval,DEM,6,Railroad Commissioner,,Roman McAllen,7,12,19
Duval,DEM,6,State Representative,31,Ana Lisa Garza,8,18,26
Duval,DEM,6,State Representative,31,Ryan Guillen,32,13,45
Duval,DEM,7,Ballots Cast,,,,,46
Duval,DEM,7,U.S. Senate,,Beto O'Rourke,12,6,18
Duval,DEM,7,U.S. Senate,,Edward Kimbrough,3,2,5
Duval,DEM,7,U.S. Senate,,Sema Hernandez,3,8,11
Duval,DEM,7,U.S. House,15,Vicente Gonzalez,12,15,27
Duval,DEM,7,Governor,,Adrian Ocegueda,0,1,1
Duval,DEM,7,Governor,,Andrew White,2,2,4
Duval,DEM,7,Governor,,"Cedric Davis, Sr.",1,2,3
Duval,DEM,7,Governor,,Grady Yarbrough,2,2,4
Duval,DEM,7,Governor,,James Jolly Clark,0,0,0
Duval,DEM,7,Governor,,Jeffrey Payne,1,0,1
Duval,DEM,7,Governor,,Joe Mumbach,0,0,0
Duval,DEM,7,Governor,,Lupe Valdez,9,7,16
Duval,DEM,7,Governor,,Tom Wakely,1,0,1
Duval,DEM,7,Lieutenant Governor,,Michael Cooper,5,7,12
Duval,DEM,7,Lieutenant Governor,,Mike Collier,9,7,16
Duval,DEM,7,Attorney General,,Justin Nelson,9,13,22
Duval,DEM,7,Comptroller of Public Accounts,,Joi Chevalier,5,5,10
Duval,DEM,7,Comptroller of Public Accounts,,Tim Mahoney,8,10,18
Duval,DEM,7,Commissioner of the General Land Office,,Miguel Suazo,11,10,21
Duval,DEM,7,Commissioner of the General Land Office,,Tex Morgan,3,3,6
Duval,DEM,7,Commissioner of Agriculture,,Kim Olson,9,14,23
Duval,DEM,7,Railroad Commissioner,,Chris Spellmon,7,4,11
Duval,DEM,7,Railroad Commissioner,,Roman McAllen,7,10,17
Duval,DEM,7,State Representative,31,Ana Lisa Garza,10,7,17
Duval,DEM,7,State Representative,31,Ryan Guillen,12,13,25
Duval,DEM,8,Ballots Cast,,,,,1004
Duval,DEM,8,U.S. Senate,,Beto O'Rourke,123,66,189
Duval,DEM,8,U.S. Senate,,Edward Kimbrough,83,50,133
Duval,DEM,8,U.S. Senate,,Sema Hernandez,224,110,334
Duval,DEM,8,U.S. House,15,Vicente Gonzalez,361,185,546
Duval,DEM,8,Governor,,Adrian Ocegueda,35,19,54
Duval,DEM,8,Governor,,Andrew White,41,14,55
Duval,DEM,8,Governor,,"Cedric Davis, Sr.",15,1,16
Duval,DEM,8,Governor,,Grady Yarbrough,45,23,68
Duval,DEM,8,Governor,,James Jolly Clark,13,14,27
Duval,DEM,8,Governor,,Jeffrey Payne,25,26,51
Duval,DEM,8,Governor,,Joe Mumbach,4,4,8
Duval,DEM,8,Governor,,Lupe Valdez,211,101,312
Duval,DEM,8,Governor,,Tom Wakely,16,11,27
Duval,DEM,8,Lieutenant Governor,,Michael Cooper,204,120,324
Duval,DEM,8,Lieutenant Governor,,Mike Collier,182,86,268
Duval,DEM,8,Attorney General,,Justin Nelson,326,159,485
Duval,DEM,8,Comptroller of Public Accounts,,Joi Chevalier,122,64,186
Duval,DEM,8,Comptroller of Public Accounts,,Tim Mahoney,259,134,393
Duval,DEM,8,Commissioner of the General Land Office,,Miguel Suazo,291,157,448
Duval,DEM,8,Commissioner of the General Land Office,,Tex Morgan,103,56,159
Duval,DEM,8,Commissioner of Agriculture,,Kim Olson,325,162,487
Duval,DEM,8,Railroad Commissioner,,Chris Spellmon,137,86,223
Duval,DEM,8,Railroad Commissioner,,Roman McAllen,232,111,343
Duval,DEM,8,State Representative,31,Ana Lisa Garza,299,143,442
Duval,DEM,8,State Representative,31,Ryan Guillen,305,148,453
Duval,DEM,9,Ballots Cast,,,,,764
Duval,DEM,9,U.S. Senate,,Beto O'Rourke,159,64,223
Duval,DEM,9,U.S. Senate,,Edward Kimbrough,56,13,69
Duval,DEM,9,U.S. Senate,,Sema Hernandez,119,43,162
Duval,DEM,9,U.S. House,15,Vicente Gonzalez,252,90,342
Duval,DEM,9,Governor,,Adrian Ocegueda,19,9,28
Duval,DEM,9,Governor,,Andrew White,35,6,41
Duval,DEM,9,Governor,,"Cedric Davis, Sr.",12,3,15
Duval,DEM,9,Governor,,Grady Yarbrough,49,21,70
Duval,DEM,9,Governor,,James Jolly Clark,13,4,17
Duval,DEM,9,Governor,,Jeffrey Payne,12,6,18
Duval,DEM,9,Governor,,Joe Mumbach,7,0,7
Duval,DEM,9,Governor,,Lupe Valdez,162,56,218
Duval,DEM,9,Governor,,Tom Wakely,5,4,9
Duval,DEM,9,Lieutenant Governor,,Michael Cooper,160,59,219
Duval,DEM,9,Lieutenant Governor,,Mike Collier,129,45,174
Duval,DEM,9,Attorney General,,Justin Nelson,216,78,294
Duval,DEM,9,Comptroller of Public Accounts,,Joi Chevalier,112,34,146
Duval,DEM,9,Comptroller of Public Accounts,,Tim Mahoney,171,73,244
Duval,DEM,9,Commissioner of the General Land Office,,Miguel Suazo,236,89,325
Duval,DEM,9,Commissioner of the General Land Office,,Tex Morgan,67,21,88
Duval,DEM,9,Commissioner of Agriculture,,Kim Olson,223,80,303
Duval,DEM,9,Railroad Commissioner,,Chris Spellmon,87,28,115
Duval,DEM,9,Railroad Commissioner,,Roman McAllen,202,82,284
Duval,DEM,9,State Representative,31,Ana Lisa Garza,264,70,334
Duval,DEM,9,State Representative,31,Ryan Guillen,273,84,357
Duval,REP,1,Ballots Cast,,,,,11
Duval,REP,1,U.S. Senate,,Bruce Jacobson Jr.,0,0,0
Duval,REP,1,U.S. Senate,,Geraldine Sam,0,0,0
Duval,REP,1,U.S. Senate,,Mary Miller,1,0,1
Duval,REP,1,U.S. Senate,,Stefano de Stefano,1,0,1
Duval,REP,1,U.S. Senate,,Ted Cruz,4,4,8
Duval,REP,1,U.S. House,15,Tim Westley,5,4,9
Duval,REP,1,Governor,,Barbara Krueger,1,0,1
Duval,REP,1,Governor,,Greg Abbott,6,4,10
Duval,REP,1,Governor,,SECEDE Kilgore,0,0,0
Duval,REP,1,Lieutenant Governor,,Dan Patrick,5,4,9
Duval,REP,1,Lieutenant Governor,,Scott Milder,1,0,1
Duval,REP,1,Attorney General,,Ken Paxton,6,4,10
Duval,REP,1,Comptroller of Public Accounts,,Glenn Hegar,5,4,9
Duval,REP,1,Commissioner of the General Land Office,,Davey Edwards,2,0,2
Duval,REP,1,Commissioner of the General Land Office,,George P. Bush,1,2,3
Duval,REP,1,Commissioner of the General Land Office,,Jerry Patterson,1,2,3
Duval,REP,1,Commissioner of the General Land Office,,Rick Range,1,0,1
Duval,REP,1,Commissioner of Agriculture,,Jim Hogan,3,0,3
Duval,REP,1,Commissioner of Agriculture,,Sid Miller,1,4,5
Duval,REP,1,Commissioner of Agriculture,,Trey Blocker,1,0,1
Duval,REP,1,Railroad Commissioner,,Christi Craddick,1,2,3
Duval,REP,1,Railroad Commissioner,,Weston Martinez,4,2,6
Duval,REP,2,Ballots Cast,,,,,6
Duval,REP,2,U.S. Senate,,Bruce Jacobson Jr.,0,0,0
Duval,REP,2,U.S. Senate,,Geraldine Sam,0,0,0
Duval,REP,2,U.S. Senate,,Mary Miller,0,0,0
Duval,REP,2,U.S. Senate,,Stefano de Stefano,0,0,0
Duval,REP,2,U.S. Senate,,Ted Cruz,2,4,6
Duval,REP,2,U.S. House,15,Tim Westley,1,4,5
Duval,REP,2,Governor,,Barbara Krueger,0,0,0
Duval,REP,2,Governor,,Greg Abbott,2,4,6
Duval,REP,2,Governor,,SECEDE Kilgore,0,0,0
Duval,REP,2,Lieutenant Governor,,Dan Patrick,1,4,5
Duval,REP,2,Lieutenant Governor,,Scott Milder,0,0,0
Duval,REP,2,Attorney General,,Ken Paxton,1,4,5
Duval,REP,2,Comptroller of Public Accounts,,Glenn Hegar,1,4,5
Duval,REP,2,Commissioner of the General Land Office,,Davey Edwards,0,1,1
Duval,REP,2,Commissioner of the General Land Office,,George P. Bush,2,1,3
Duval,REP,2,Commissioner of the General Land Office,,Jerry Patterson,0,1,1
Duval,REP,2,Commissioner of the General Land Office,,Rick Range,0,1,1
Duval,REP,2,Commissioner of Agriculture,,Jim Hogan,2,1,3
Duval,REP,2,Commissioner of Agriculture,,Sid Miller,0,3,3
Duval,REP,2,Commissioner of Agriculture,,Trey Blocker,0,0,0
Duval,REP,2,Railroad Commissioner,,Christi Craddick,1,2,3
Duval,REP,2,Railroad Commissioner,,Weston Martinez,1,2,3
Duval,REP,3,Ballots Cast,,,,,5
Duval,REP,3,U.S. Senate,,Bruce Jacobson Jr.,0,0,1
Duval,REP,3,U.S. Senate,,Geraldine Sam,0,0,0
Duval,REP,3,U.S. Senate,,Mary Miller,0,0,0
Duval,REP,3,U.S. Senate,,Stefano de Stefano,0,0,0
Duval,REP,3,U.S. Senate,,Ted Cruz,1,3,4
Duval,REP,3,U.S. House,15,Tim Westley,0,3,3
Duval,REP,3,Governor,,Barbara Krueger,0,0,0
Duval,REP,3,Governor,,Greg Abbott,1,3,4
Duval,REP,3,Governor,,SECEDE Kilgore,0,0,0
Duval,REP,3,Lieutenant Governor,,Dan Patrick,0,3,3
Duval,REP,3,Lieutenant Governor,,Scott Milder,1,0,1
Duval,REP,3,Attorney General,,Ken Paxton,0,3,3
Duval,REP,3,Comptroller of Public Accounts,,Glenn Hegar,0,2,2
Duval,REP,3,Commissioner of the General Land Office,,Davey Edwards,0,0,0
Duval,REP,3,Commissioner of the General Land Office,,George P. Bush,0,3,3
Duval,REP,3,Commissioner of the General Land Office,,Jerry Patterson,0,1,1
Duval,REP,3,Commissioner of the General Land Office,,Rick Range,1,0,1
Duval,REP,3,Commissioner of Agriculture,,Jim Hogan,1,2,3
Duval,REP,3,Commissioner of Agriculture,,Sid Miller,0,0,0
Duval,REP,3,Commissioner of Agriculture,,Trey Blocker,0,0,0
Duval,REP,3,Railroad Commissioner,,Christi Craddick,1,1,2
Duval,REP,3,Railroad Commissioner,,Weston Martinez,0,1,1
Duval,REP,4,Ballots Cast,,,,,2
Duval,REP,4,U.S. Senate,,Bruce Jacobson Jr.,0,0,0
Duval,REP,4,U.S. Senate,,Geraldine Sam,0,0,0
Duval,REP,4,U.S. Senate,,Mary Miller,0,0,0
Duval,REP,4,U.S. Senate,,Stefano de Stefano,0,0,0
Duval,REP,4,U.S. Senate,,Ted Cruz,0,2,2
Duval,REP,4,U.S. House,15,Tim Westley,0,0,0
Duval,REP,4,Governor,,Barbara Krueger,0,0,0
Duval,REP,4,Governor,,Greg Abbott,0,2,2
Duval,REP,4,Governor,,SECEDE Kilgore,0,0,0
Duval,REP,4,Lieutenant Governor,,Dan Patrick,0,0,0
Duval,REP,4,Lieutenant Governor,,Scott Milder,0,1,1
Duval,REP,4,Attorney General,,Ken Paxton,0,0,0
Duval,REP,4,Comptroller of Public Accounts,,Glenn Hegar,0,0,0
Duval,REP,4,Commissioner of the General Land Office,,Davey Edwards,0,0,0
Duval,REP,4,Commissioner of the General Land Office,,George P. Bush,0,1,1
Duval,REP,4,Commissioner of the General Land Office,,Jerry Patterson,0,1,1
Duval,REP,4,Commissioner of the General Land Office,,Rick Range,0,0,0
Duval,REP,4,Commissioner of Agriculture,,Jim Hogan,0,0,0
Duval,REP,4,Commissioner of Agriculture,,Sid Miller,0,1,1
Duval,REP,4,Commissioner of Agriculture,,Trey Blocker,0,1,1
Duval,REP,4,Railroad Commissioner,,Christi Craddick,0,1,1
Duval,REP,4,Railroad Commissioner,,Weston Martinez,0,1,1
Duval,REP,5,Ballots Cast,,,,,7
Duval,REP,5,U.S. Senate,,Bruce Jacobson Jr.,1,0,1
Duval,REP,5,U.S. Senate,,Geraldine Sam,1,0,1
Duval,REP,5,U.S. Senate,,Mary Miller,0,0,0
Duval,REP,5,U.S. Senate,,Stefano de Stefano,0,0,0
Duval,REP,5,U.S. Senate,,Ted Cruz,3,2,5
Duval,REP,5,U.S. House,15,Tim Westley,4,2,6
Duval,REP,5,Governor,,Barbara Krueger,1,0,1
Duval,REP,5,Governor,,Greg Abbott,4,2,6
Duval,REP,5,Governor,,SECEDE Kilgore,0,0,0
Duval,REP,5,Lieutenant Governor,,Dan Patrick,4,1,5
Duval,REP,5,Lieutenant Governor,,Scott Milder,0,0,0
Duval,REP,5,Attorney General,,Ken Paxton,4,2,6
Duval,REP,5,Comptroller of Public Accounts,,Glenn Hegar,4,2,6
Duval,REP,5,Commissioner of the General Land Office,,Davey Edwards,0,0,0
Duval,REP,5,Commissioner of the General Land Office,,George P. Bush,2,0,2
Duval,REP,5,Commissioner of the General Land Office,,Jerry Patterson,1,2,3
Duval,REP,5,Commissioner of the General Land Office,,Rick Range,1,0,1
Duval,REP,5,Commissioner of Agriculture,,Jim Hogan,2,1,3
Duval,REP,5,Commissioner of Agriculture,,Sid Miller,1,0,1
Duval,REP,5,Commissioner of Agriculture,,Trey Blocker,0,0,0
Duval,REP,5,Railroad Commissioner,,Christi Craddick,2,0,2
Duval,REP,5,Railroad Commissioner,,Weston Martinez,2,2,4
Duval,REP,6,Ballots Cast,,,,,0
Duval,REP,6,U.S. Senate,,Bruce Jacobson Jr.,0,0,0
Duval,REP,6,U.S. Senate,,Geraldine Sam,0,0,0
Duval,REP,6,U.S. Senate,,Mary Miller,0,0,0
Duval,REP,6,U.S. Senate,,Stefano de Stefano,0,0,0
Duval,REP,6,U.S. Senate,,Ted Cruz,0,0,0
Duval,REP,6,U.S. House,15,Tim Westley,0,0,0
Duval,REP,6,Governor,,Barbara Krueger,0,0,0
Duval,REP,6,Governor,,Greg Abbott,0,0,0
Duval,REP,6,Governor,,SECEDE Kilgore,0,0,0
Duval,REP,6,Lieutenant Governor,,Dan Patrick,0,0,0
Duval,REP,6,Lieutenant Governor,,Scott Milder,0,0,0
Duval,REP,6,Attorney General,,Ken Paxton,0,0,0
Duval,REP,6,Comptroller of Public Accounts,,Glenn Hegar,0,0,0
Duval,REP,6,Commissioner of the General Land Office,,Davey Edwards,0,0,0
Duval,REP,6,Commissioner of the General Land Office,,George P. Bush,0,0,0
Duval,REP,6,Commissioner of the General Land Office,,Jerry Patterson,0,0,0
Duval,REP,6,Commissioner of the General Land Office,,Rick Range,0,0,0
Duval,REP,6,Commissioner of Agriculture,,Jim Hogan,0,0,0
Duval,REP,6,Commissioner of Agriculture,,Sid Miller,0,0,0
Duval,REP,6,Commissioner of Agriculture,,Trey Blocker,0,0,0
Duval,REP,6,Railroad Commissioner,,Christi Craddick,0,0,0
Duval,REP,6,Railroad Commissioner,,Weston Martinez,0,0,0
Duval,REP,7,Ballots Cast,,,,,4
Duval,REP,7,U.S. Senate,,Bruce Jacobson Jr.,0,0,0
Duval,REP,7,U.S. Senate,,Geraldine Sam,0,0,0
Duval,REP,7,U.S. Senate,,Mary Miller,0,0,0
Duval,REP,7,U.S. Senate,,Stefano de Stefano,0,0,0
Duval,REP,7,U.S. Senate,,Ted Cruz,0,4,4
Duval,REP,7,U.S. House,15,Tim Westley,0,3,3
Duval,REP,7,Governor,,Barbara Krueger,0,0,0
Duval,REP,7,Governor,,Greg Abbott,0,4,4
Duval,REP,7,Governor,,SECEDE Kilgore,0,0,0
Duval,REP,7,Lieutenant Governor,,Dan Patrick,0,2,2
Duval,REP,7,Lieutenant Governor,,Scott Milder,0,2,2
Duval,REP,7,Attorney General,,Ken Paxton,0,3,3
Duval,REP,7,Comptroller of Public Accounts,,Glenn Hegar,0,3,3
Duval,REP,7,Commissioner of the General Land Office,,Davey Edwards,0,0,0
Duval,REP,7,Commissioner of the General Land Office,,George P. Bush,0,2,2
Duval,REP,7,Commissioner of the General Land Office,,Jerry Patterson,0,1,1
Duval,REP,7,Commissioner of the General Land Office,,Rick Range,0,1,1
Duval,REP,7,Commissioner of Agriculture,,Jim Hogan,0,1,1
Duval,REP,7,Commissioner of Agriculture,,Sid Miller,0,2,2
Duval,REP,7,Commissioner of Agriculture,,Trey Blocker,0,0,0
Duval,REP,7,Railroad Commissioner,,Christi Craddick,0,1,1
Duval,REP,7,Railroad Commissioner,,Weston Martinez,0,2,2
Duval,REP,8,Ballots Cast,,,,,19
Duval,REP,8,U.S. Senate,,Bruce Jacobson Jr.,0,0,0
Duval,REP,8,U.S. Senate,,Geraldine Sam,0,0,0
Duval,REP,8,U.S. Senate,,Mary Miller,1,0,1
Duval,REP,8,U.S. Senate,,Stefano de Stefano,0,0,0
Duval,REP,8,U.S. Senate,,Ted Cruz,9,8,17
Duval,REP,8,U.S. House,15,Tim Westley,6,7,13
Duval,REP,8,Governor,,Barbara Krueger,0,0,0
Duval,REP,8,Governor,,Greg Abbott,11,8,19
Duval,REP,8,Governor,,SECEDE Kilgore,0,0,0
Duval,REP,8,Lieutenant Governor,,Dan Patrick,7,7,14
Duval,REP,8,Lieutenant Governor,,Scott Milder,2,1,3
Duval,REP,8,Attorney General,,Ken Paxton,8,6,14
Duval,REP,8,Comptroller of Public Accounts,,Glenn Hegar,6,7,13
Duval,REP,8,Commissioner of the General Land Office,,Davey Edwards,2,1,3
Duval,REP,8,Commissioner of the General Land Office,,George P. Bush,2,1,3
Duval,REP,8,Commissioner of the General Land Office,,Jerry Patterson,4,5,9
Duval,REP,8,Commissioner of the General Land Office,,Rick Range,1,1,2
Duval,REP,8,Commissioner of Agriculture,,Jim Hogan,7,4,11
Duval,REP,8,Commissioner of Agriculture,,Sid Miller,1,4,5
Duval,REP,8,Commissioner of Agriculture,,Trey Blocker,2,0,2
Duval,REP,8,Railroad Commissioner,,Christi Craddick,6,7,13
Duval,REP,8,Railroad Commissioner,,Weston Martinez,4,1,5
Duval,REP,9,Ballots Cast,,,,,1
