county,precinct,office,district,candidate,party,votes,absentee,ev_paper,ev_ivo,early_voting,ed_paper,ed_ivo,election_day
Hill,8,President,,Donald J. Trump / Mike Pence,REP,178,8,40,40,80,56,34,90
Hill,9,President,,Donald J. Trump / Mike Pence,REP,207,7,56,67,123,43,34,77
Hill,10,President,,Donald J. Trump / Mike Pence,REP,734,27,135,225,360,185,162,347
Hill,12,President,,Donald J. Trump / Mike Pence,REP,388,19,89,134,223,68,78,146
Hill,13,President,,Donald J. Trump / Mike Pence,REP,1349,91,233,381,614,229,415,644
Hill,14,President,,Donald J. Trump / Mike Pence,REP,588,19,58,139,197,175,197,372
Hill,15,President,,Donald J. Trump / Mike Pence,REP,198,10,19,22,41,57,90,147
Hill,16,President,,Donald J. Trump / Mike Pence,REP,181,0,22,29,51,104,26,130
Hill,18,President,,Donald J. Trump / Mike Pence,REP,95,2,21,12,33,47,13,60
Hill,19,President,,Donald J. Trump / Mike Pence,REP,198,5,39,25,64,76,53,129
Hill,20,President,,Donald J. Trump / Mike Pence,REP,508,17,59,65,124,291,76,367
Hill,21,President,,Donald J. Trump / Mike Pence,REP,956,90,146,356,502,123,241,364
Hill,22,President,,Donald J. Trump / Mike Pence,REP,825,84,153,229,382,201,158,359
Hill,23,President,,Donald J. Trump / Mike Pence,REP,224,5,24,24,48,111,60,171
Hill,24,President,,Donald J. Trump / Mike Pence,REP,558,32,57,66,123,120,283,403
Hill,27,President,,Donald J. Trump / Mike Pence,REP,360,11,89,74,163,137,49,186
Hill,2,President,,Hillary Clinton / Tim Kaine,DEM,134,8,37,33,70,27,29,56
Hill,3,President,,Hillary Clinton / Tim Kaine,DEM,306,25,73,88,161,50,70,120
Hill,4,President,,Hillary Clinton / Tim Kaine,DEM,329,30,110,109,219,29,51,80
Hill,5,President,,Hillary Clinton / Tim Kaine,DEM,47,6,9,15,24,10,7,17
Hill,6,President,,Hillary Clinton / Tim Kaine,DEM,35,4,5,11,16,12,3,15
Hill,7,President,,Hillary Clinton / Tim Kaine,DEM,51,4,11,9,20,16,11,27
Hill,8,President,,Hillary Clinton / Tim Kaine,DEM,33,1,2,11,13,11,8,19
Hill,9,President,,Hillary Clinton / Tim Kaine,DEM,67,4,13,20,33,16,14,30
Hill,10,President,,Hillary Clinton / Tim Kaine,DEM,245,1,32,56,88,64,92,156
Hill,12,President,,Hillary Clinton / Tim Kaine,DEM,70,6,15,29,44,10,10,20
Hill,13,President,,Hillary Clinton / Tim Kaine,DEM,276,38,34,68,102,56,80,136
Hill,14,President,,Hillary Clinton / Tim Kaine,DEM,58,3,10,15,25,20,10,30
Hill,15,President,,Hillary Clinton / Tim Kaine,DEM,36,7,0,6,6,8,15,23
Hill,16,President,,Hillary Clinton / Tim Kaine,DEM,44,4,4,6,10,26,4,30
Hill,18,President,,Hillary Clinton / Tim Kaine,DEM,10,0,5,1,6,3,1,4
Hill,19,President,,Hillary Clinton / Tim Kaine,DEM,43,1,5,14,19,10,13,23
Hill,20,President,,Hillary Clinton / Tim Kaine,DEM,87,2,20,12,32,34,19,53
Hill,21,President,,Hillary Clinton / Tim Kaine,DEM,199,19,33,75,108,33,39,72
Hill,22,President,,Hillary Clinton / Tim Kaine,DEM,173,18,34,44,78,39,38,77
Hill,23,President,,Hillary Clinton / Tim Kaine,DEM,76,7,5,12,17,29,23,52
Hill,24,President,,Hillary Clinton / Tim Kaine,DEM,155,12,9,27,36,30,77,107
Hill,27,President,,Hillary Clinton / Tim Kaine,DEM,73,7,12,13,25,28,13,41
Hill,2,President,,Gary Johnson / William Weld,LIB,16,1,2,5,7,5,3,8
Hill,3,President,,Gary Johnson / William Weld,LIB,24,1,3,7,10,2,11,13
Hill,4,President,,Gary Johnson / William Weld,LIB,40,0,1,18,19,8,13,21
Hill,5,President,,Gary Johnson / William Weld,LIB,6,0,0,3,3,3,0,3
Hill,6,President,,Gary Johnson / William Weld,LIB,2,0,0,1,1,1,0,1
Hill,7,President,,Gary Johnson / William Weld,LIB,6,0,0,2,2,2,2,4
Hill,8,President,,Gary Johnson / William Weld,LIB,4,0,0,2,2,1,1,2
Hill,9,President,,Gary Johnson / William Weld,LIB,8,0,1,2,3,3,2,5
Hill,10,President,,Gary Johnson / William Weld,LIB,15,0,1,5,6,6,3,9
Hill,12,President,,Gary Johnson / William Weld,LIB,11,1,0,3,3,2,5,7
Hill,13,President,,Gary Johnson / William Weld,LIB,25,1,4,6,10,6,8,14
Hill,14,President,,Gary Johnson / William Weld,LIB,10,1,0,1,1,3,5,8
Hill,15,President,,Gary Johnson / William Weld,LIB,5,0,0,2,2,1,2,3
Hill,16,President,,Gary Johnson / William Weld,LIB,2,0,0,1,1,1,0,1
Hill,18,President,,Gary Johnson / William Weld,LIB,2,0,0,0,0,1,1,2
Hill,19,President,,Gary Johnson / William Weld,LIB,6,0,1,2,3,1,2,3
Hill,20,President,,Gary Johnson / William Weld,LIB,5,0,0,3,3,1,1,2
Hill,21,President,,Gary Johnson / William Weld,LIB,18,1,1,8,9,2,6,8
Hill,22,President,,Gary Johnson / William Weld,LIB,21,1,4,3,7,7,6,13
Hill,23,President,,Gary Johnson / William Weld,LIB,8,0,0,0,0,4,4,8
Hill,24,President,,Gary Johnson / William Weld,LIB,8,0,1,0,1,3,4,7
Hill,27,President,,Gary Johnson / William Weld,LIB,14,0,0,3,3,7,4,11
Hill,2,President,,Jill Stein / Ajamu Baraka,GRN,2,0,1,0,1,0,1,1
Hill,3,President,,Jill Stein / Ajamu Baraka,GRN,5,0,2,1,3,1,1,2
Hill,4,President,,Jill Stein / Ajamu Baraka,GRN,4,0,1,0,1,2,1,3
Hill,5,President,,Jill Stein / Ajamu Baraka,GRN,0,0,0,0,0,0,0,0
Hill,6,President,,Jill Stein / Ajamu Baraka,GRN,2,1,0,0,0,1,0,1
Hill,7,President,,Jill Stein / Ajamu Baraka,GRN,0,0,0,0,0,0,0,0
Hill,8,President,,Jill Stein / Ajamu Baraka,GRN,2,0,0,0,0,0,2,2
Hill,9,President,,Jill Stein / Ajamu Baraka,GRN,1,0,1,0,1,0,0,0
Hill,10,President,,Jill Stein / Ajamu Baraka,GRN,5,0,2,1,3,1,1,2
Hill,12,President,,Jill Stein / Ajamu Baraka,GRN,3,0,2,0,2,0,1,1
Hill,13,President,,Jill Stein / Ajamu Baraka,GRN,1,0,1,0,1,0,0,0
Hill,14,President,,Jill Stein / Ajamu Baraka,GRN,0,0,0,0,0,0,0,0
Hill,15,President,,Jill Stein / Ajamu Baraka,GRN,1,0,0,0,0,0,1,1
Hill,16,President,,Jill Stein / Ajamu Baraka,GRN,0,0,0,0,0,0,0,0
Hill,18,President,,Jill Stein / Ajamu Baraka,GRN,0,0,0,0,0,0,0,0
Hill,19,President,,Jill Stein / Ajamu Baraka,GRN,0,0,0,0,0,0,0,0
Hill,20,President,,Jill Stein / Ajamu Baraka,GRN,5,0,2,1,3,1,1,2
Hill,21,President,,Jill Stein / Ajamu Baraka,GRN,3,1,0,0,0,0,2,2
Hill,22,President,,Jill Stein / Ajamu Baraka,GRN,3,0,0,0,0,0,3,3
Hill,23,President,,Jill Stein / Ajamu Baraka,GRN,0,0,0,0,0,0,0,0
Hill,24,President,,Jill Stein / Ajamu Baraka,GRN,2,0,0,1,1,0,1,1
Hill,27,President,,Jill Stein / Ajamu Baraka,GRN,1,0,0,1,1,0,0,0
Hill,2,President,,Write-In,,7,1,2,2,4,2,0,2
Hill,3,President,,Write-In,,2,0,0,1,1,0,1,1
Hill,4,President,,Write-In,,10,1,1,4,5,3,1,4
Hill,5,President,,Write-In,,1,0,0,0,0,0,1,1
Hill,6,President,,Write-In,,0,0,0,0,0,0,0,0
Hill,7,President,,Write-In,,3,0,0,0,0,1,2,3
Hill,8,President,,Write-In,,2,0,0,0,0,1,1,2
Hill,9,President,,Write-In,,5,0,1,0,1,4,0,4
Hill,10,President,,Write-In,,6,2,2,0,2,2,0,2
Hill,12,President,,Write-In,,3,0,1,0,1,2,0,2
Hill,13,President,,Write-In,,11,1,0,7,7,1,2,3
Hill,14,President,,Write-In,,5,0,2,1,3,1,1,2
Hill,15,President,,Write-In,,1,0,0,0,0,0,1,1
Hill,16,President,,Write-In,,1,0,0,0,0,0,1,1
Hill,18,President,,Write-In,,1,0,0,1,1,0,0,0
Hill,19,President,,Write-In,,3,0,0,2,2,0,1,1
Hill,20,President,,Write-In,,3,1,0,1,1,1,0,1
Hill,21,President,,Write-In,,8,0,1,2,3,2,3,5
Hill,22,President,,Write-In,,9,1,1,2,3,4,1,5
Hill,23,President,,Write-In,,0,0,0,0,0,0,0,0
Hill,24,President,,Write-In,,10,0,2,3,5,2,3,5
Hill,27,President,,Write-In,,4,2,0,0,0,0,2,2
Hill,2,U.S House,25,Roger Williams,REP,431,26,132,162,294,52,59,111
Hill,3,U.S House,25,Roger Williams,REP,293,21,86,100,186,30,56,86
Hill,4,U.S House,25,Roger Williams,REP,1019,72,295,387,682,133,132,265
Hill,5,U.S House,25,Roger Williams,REP,285,19,64,78,142,86,38,124
Hill,6,U.S House,25,Roger Williams,REP,209,7,52,48,100,59,43,102
Hill,7,U.S House,25,Roger Williams,REP,296,8,35,41,76,132,80,212
Hill,8,U.S House,25,Roger Williams,REP,170,8,35,40,75,52,35,87
Hill,9,U.S House,25,Roger Williams,REP,205,7,54,65,119,45,34,79
Hill,10,U.S House,25,Roger Williams,REP,729,27,132,226,358,186,158,344
Hill,12,U.S House,25,Roger Williams,REP,388,20,85,133,218,70,80,150
Hill,13,U.S House,25,Roger Williams,REP,1321,88,221,381,602,218,413,631
Hill,14,U.S House,25,Roger Williams,REP,576,20,54,136,190,172,194,366
Hill,15,U.S House,25,Roger Williams,REP,197,12,18,23,41,54,90,144
Hill,16,U.S House,25,Roger Williams,REP,167,2,18,27,45,93,27,120
Hill,18,U.S House,25,Roger Williams,REP,94,2,21,11,32,47,13,60
Hill,19,U.S House,25,Roger Williams,REP,192,5,35,29,64,73,50,123
Hill,20,U.S House,25,Roger Williams,REP,498,19,59,65,124,280,75,355
Hill,21,U.S House,25,Roger Williams,REP,951,92,141,358,499,119,241,360
Hill,22,U.S House,25,Roger Williams,REP,803,85,142,224,366,199,153,352
Hill,23,U.S House,25,Roger Williams,REP,213,5,25,23,48,103,57,160
Hill,24,U.S House,25,Roger Williams,REP,541,31,55,66,121,116,273,389
Hill,27,U.S House,25,Roger Williams,REP,351,12,82,72,154,136,49,185
Hill,2,U.S House,25,Kathi Thomas,DEM,129,8,37,28,65,26,30,56
Hill,3,U.S House,25,Kathi Thomas,DEM,296,25,68,87,155,48,68,116
Hill,4,U.S House,25,Kathi Thomas,DEM,299,28,100,98,198,32,41,73
Hill,5,U.S House,25,Kathi Thomas,DEM,48,6,8,14,22,12,8,20
Hill,6,U.S House,25,Kathi Thomas,DEM,33,3,5,11,16,11,3,14
Hill,7,U.S House,25,Kathi Thomas,DEM,62,4,11,11,22,21,15,36
Hill,8,U.S House,25,Kathi Thomas,DEM,36,1,5,10,15,10,10,20
Hill,9,U.S House,25,Kathi Thomas,DEM,60,2,11,20,31,14,13,27
Hill,10,U.S House,25,Kathi Thomas,DEM,240,1,32,51,83,64,92,156
Hill,12,U.S House,25,Kathi Thomas,DEM,67,6,16,25,41,11,9,20
Hill,13,U.S House,25,Kathi Thomas,DEM,267,35,35,66,101,58,73,131
Hill,14,U.S House,25,Kathi Thomas,DEM,56,3,10,13,23,20,10,30
Hill,15,U.S House,25,Kathi Thomas,DEM,34,5,1,5,6,9,14,23
Hill,16,U.S House,25,Kathi Thomas,DEM,43,2,7,7,14,24,3,27
Hill,18,U.S House,25,Kathi Thomas,DEM,7,0,5,1,6,0,1,1
Hill,19,U.S House,25,Kathi Thomas,DEM,41,1,7,13,20,7,13,20
Hill,20,U.S House,25,Kathi Thomas,DEM,91,1,21,14,35,39,16,55
Hill,21,U.S House,25,Kathi Thomas,DEM,191,18,33,69,102,32,39,71
Hill,22,U.S House,25,Kathi Thomas,DEM,182,15,40,47,87,44,36,80
Hill,23,U.S House,25,Kathi Thomas,DEM,79,7,4,12,16,31,25,56
Hill,24,U.S House,25,Kathi Thomas,DEM,153,13,9,24,33,30,77,107
Hill,27,U.S House,25,Kathi Thomas,DEM,76,8,13,14,27,28,13,41
Hill,2,U.S House,25,Loren Marc Schneiderman,LIB,20,1,5,7,12,3,4,7
Hill,3,U.S House,25,Loren Marc Schneiderman,LIB,23,1,5,9,14,3,5,8
Hill,4,U.S House,25,Loren Marc Schneiderman,LIB,31,1,4,12,16,9,5,14
Hill,5,U.S House,25,Loren Marc Schneiderman,LIB,10,0,3,4,7,3,0,3
Hill,6,U.S House,25,Loren Marc Schneiderman,LIB,2,0,0,0,0,2,0,2
Hill,7,U.S House,25,Loren Marc Schneiderman,LIB,6,0,1,3,4,1,1,2
Hill,8,U.S House,25,Loren Marc Schneiderman,LIB,4,0,1,2,3,1,0,1
Hill,9,U.S House,25,Loren Marc Schneiderman,LIB,13,1,3,4,7,3,2,5
Hill,10,U.S House,25,Loren Marc Schneiderman,LIB,18,0,4,8,12,4,2,6
Hill,12,U.S House,25,Loren Marc Schneiderman,LIB,12,0,2,4,6,0,6,6
Hill,13,U.S House,25,Loren Marc Schneiderman,LIB,41,1,10,6,16,13,11,24
Hill,14,U.S House,25,Loren Marc Schneiderman,LIB,17,0,3,3,6,5,6,11
Hill,15,U.S House,25,Loren Marc Schneiderman,LIB,6,0,0,2,2,1,3,4
Hill,16,U.S House,25,Loren Marc Schneiderman,LIB,3,0,1,1,2,1,0,1
Hill,18,U.S House,25,Loren Marc Schneiderman,LIB,2,0,0,0,0,1,1,2
Hill,19,U.S House,25,Loren Marc Schneiderman,LIB,7,0,3,1,4,1,2,3
Hill,20,U.S House,25,Loren Marc Schneiderman,LIB,7,0,1,3,4,1,2,3
Hill,21,U.S House,25,Loren Marc Schneiderman,LIB,18,0,0,5,5,6,7,13
Hill,22,U.S House,25,Loren Marc Schneiderman,LIB,16,1,5,1,6,3,6,9
Hill,23,U.S House,25,Loren Marc Schneiderman,LIB,7,0,0,1,1,4,2,6
Hill,24,U.S House,25,Loren Marc Schneiderman,LIB,13,0,0,4,4,2,7,9
Hill,27,U.S House,25,Loren Marc Schneiderman,LIB,12,0,3,0,3,3,6,9
Hill,2,Railroad Commissioner,,Wayne Christian,REP,414,25,129,156,285,51,53,104
Hill,3,Railroad Commissioner,,Wayne Christian,REP,281,21,83,97,180,28,52,80
Hill,4,Railroad Commissioner,,Wayne Christian,REP,970,71,279,367,646,129,124,253
Hill,5,Railroad Commissioner,,Wayne Christian,REP,283,19,64,74,138,88,38,126
Hill,6,Railroad Commissioner,,Wayne Christian,REP,197,7,48,45,93,57,40,97
Hill,7,Railroad Commissioner,,Wayne Christian,REP,275,8,34,41,75,122,70,192
Hill,8,Railroad Commissioner,,Wayne Christian,REP,166,8,36,38,74,50,34,84
Hill,9,Railroad Commissioner,,Wayne Christian,REP,192,7,49,61,110,42,33,75
Hill,10,Railroad Commissioner,,Wayne Christian,REP,694,27,128,215,343,173,151,324
Hill,12,Railroad Commissioner,,Wayne Christian,REP,375,19,81,131,212,67,77,144
Hill,13,Railroad Commissioner,,Wayne Christian,REP,1297,87,221,375,596,213,401,614
Hill,14,Railroad Commissioner,,Wayne Christian,REP,562,20,53,132,185,168,189,357
Hill,15,Railroad Commissioner,,Wayne Christian,REP,179,12,15,22,37,46,84,130
Hill,16,Railroad Commissioner,,Wayne Christian,REP,166,0,21,26,47,93,26,119
Hill,18,Railroad Commissioner,,Wayne Christian,REP,92,2,20,11,31,47,12,59
Hill,19,Railroad Commissioner,,Wayne Christian,REP,180,5,33,28,61,65,49,114
Hill,20,Railroad Commissioner,,Wayne Christian,REP,477,19,57,62,119,270,69,339
Hill,21,Railroad Commissioner,,Wayne Christian,REP,919,90,140,345,485,113,231,344
Hill,22,Railroad Commissioner,,Wayne Christian,REP,773,81,141,220,361,183,148,331
Hill,23,Railroad Commissioner,,Wayne Christian,REP,202,5,24,22,46,96,55,151
Hill,24,Railroad Commissioner,,Wayne Christian,REP,528,30,55,65,120,112,266,378
Hill,27,Railroad Commissioner,,Wayne Christian,REP,331,10,80,70,150,123,48,171
Hill,2,Railroad Commissioner,,Grady Yarbrough,DEM,113,8,33,26,59,21,25,46
Hill,3,Railroad Commissioner,,Grady Yarbrough,DEM,278,25,64,78,142,47,64,111
Hill,4,Railroad Commissioner,,Grady Yarbrough,DEM,286,28,98,91,189,30,39,69
Hill,5,Railroad Commissioner,,Grady Yarbrough,DEM,47,5,10,14,24,10,8,18
Hill,6,Railroad Commissioner,,Grady Yarbrough,DEM,35,3,5,11,16,14,2,16
Hill,7,Railroad Commissioner,,Grady Yarbrough,DEM,65,4,10,10,20,27,14,41
Hill,8,Railroad Commissioner,,Grady Yarbrough,DEM,31,1,3,11,14,7,9,16
Hill,9,Railroad Commissioner,,Grady Yarbrough,DEM,60,2,15,18,33,12,13,25
Hill,10,Railroad Commissioner,,Grady Yarbrough,DEM,244,1,36,54,90,64,89,153
Hill,12,Railroad Commissioner,,Grady Yarbrough,DEM,70,7,17,25,42,12,9,21
Hill,13,Railroad Commissioner,,Grady Yarbrough,DEM,258,36,33,64,97,55,70,125
Hill,14,Railroad Commissioner,,Grady Yarbrough,DEM,62,3,10,12,22,25,12,37
Hill,15,Railroad Commissioner,,Grady Yarbrough,DEM,38,4,3,4,7,11,16,27
Hill,16,Railroad Commissioner,,Grady Yarbrough,DEM,35,2,4,7,11,21,1,22
Hill,18,Railroad Commissioner,,Grady Yarbrough,DEM,8,0,5,1,6,1,1,2
Hill,19,Railroad Commissioner,,Grady Yarbrough,DEM,43,0,8,12,20,10,13,23
Hill,20,Railroad Commissioner,,Grady Yarbrough,DEM,88,1,18,13,31,38,18,56
Hill,21,Railroad Commissioner,,Grady Yarbrough,DEM,185,17,32,69,101,28,39,67
Hill,22,Railroad Commissioner,,Grady Yarbrough,DEM,178,17,35,42,77,49,35,84
Hill,23,Railroad Commissioner,,Grady Yarbrough,DEM,83,6,5,13,18,33,26,59
Hill,24,Railroad Commissioner,,Grady Yarbrough,DEM,156,13,11,25,36,30,77,107
Hill,27,Railroad Commissioner,,Grady Yarbrough,DEM,80,10,14,12,26,31,13,44
Hill,2,Railroad Commissioner,,Mark Miller,LIB,30,1,7,9,16,5,8,13
Hill,3,Railroad Commissioner,,Mark Miller,LIB,34,1,10,8,18,4,11,15
Hill,4,Railroad Commissioner,,Mark Miller,LIB,63,0,15,27,42,11,10,21
Hill,5,Railroad Commissioner,,Mark Miller,LIB,13,0,2,7,9,3,1,4
Hill,6,Railroad Commissioner,,Mark Miller,LIB,10,0,2,3,5,2,3,5
