county,precinct,office,district,party,candidate,early_voting,election_day,mail,votes
Armstrong,301,Railroad Commissioner,,Green,Martina Salinas,1,0,,1
Armstrong,303,Railroad Commissioner,,Green,Martina Salinas,0,0,,0
Armstrong,401,Railroad Commissioner,,Green,Martina Salinas,1,1,,2
Armstrong,402,Railroad Commissioner,,Green,Martina Salinas,0,2,,2
Armstrong,404,Railroad Commissioner,,Green,Martina Salinas,1,0,,1
Armstrong,Total Votes,Railroad Commissioner,,Green,Martina Salinas,8,3,1,12
Armstrong,101,State Representative,88,Republican,Ken King,129,86,,215
Armstrong,201,State Representative,88,Republican,Ken King,78,32,,110
Armstrong,202,State Representative,88,Republican,Ken King,29,18,,47
Armstrong,301,State Representative,88,Republican,Ken King,117,64,,181
Armstrong,303,State Representative,88,Republican,Ken King,4,32,,36
Armstrong,401,State Representative,88,Republican,Ken King,74,42,,116
Armstrong,402,State Representative,88,Republican,Ken King,41,77,,118
Armstrong,404,State Representative,88,Republican,Ken King,15,5,,20
Armstrong,Total Votes,State Representative,88,Republican,Ken King,487,356,49,892
