county,precinct,office,district,candidate,party,early_voting,election day,total,registered,votes
Mills,4,President,,Chris Christie,REP,,,,,1
Mills,4,President,,Donald J Trump,REP,,,,,25
Mills,4,President,,Elizabeth Gray,REP,,,,,0
Mills,4,President,,Jeb Bush,REP,,,,,3
Mills,4,President,,John R. Kasich,REP,,,,,1
Mills,4,President,,Lindsey Graham,REP,,,,,0
Mills,4,President,,Marco Rubio,REP,,,,,9
Mills,4,President,,Mike Huckabee,REP,,,,,2
Mills,4,President,,Rand Paul,REP,,,,,0
Mills,4,President,,Rick Santorum,REP,,,,,0
Mills,4,President,,Ted Cruz,REP,,,,,44
Mills,4,President,,Uncommitted,REP,,,,,5
Mills,4,President,,Totals,REP,,,,,92
Mills,4,U.S. House,11,Mike Conaway,REP,,,,,79
Mills,4,U.S. House,11,Totals,REP,,,,,79
Mills,4,Railroad Commissioner,,Doug Jeffrey,REP,,,,,6
Mills,4,Railroad Commissioner,,Gary Gates,REP,,,,,30
Mills,4,Railroad Commissioner,,John Greytok,REP,,,,,1
Mills,4,Railroad Commissioner,,Lance N. Christian,REP,,,,,13
Mills,4,Railroad Commissioner,,Ron Hale,REP,,,,,13
Mills,4,Railroad Commissioner,,Wayne Christian,REP,,,,,8
Mills,4,Railroad Commissioner,,Weston Martinez,REP,,,,,5
Mills,4,Railroad Commissioner,,Totals,REP,,,,,76
Mills,4,State Senate,24,Brent Mayes,REP,,,,,13
Mills,4,State Senate,24,Dawn Buckingham,REP,,,,,16
Mills,4,State Senate,24,Jon Cobb,REP,,,,,26
Mills,4,State Senate,24,Reed Williams,REP,,,,,5
Mills,4,State Senate,24,Ryan Downton,REP,,,,,0
Mills,4,State Senate,24,Susan King,REP,,,,,22
Mills,4,State Senate,24,Totals,REP,,,,,82
Mills,4,State Representative,59,Brent Graves,REP,,,,,31
Mills,4,State Representative,59,J.D. Sheffield,REP,,,,,55
Mills,4,State Representative,59,Totals,REP,,,,,86
Mills,5,Ballots Cast,,,REP,24,32,56,178,
Mills,5,President,,Ben Carson,REP,,,,,5
Mills,5,President,,Carly Fiorina,REP,,,,,0
Mills,5,President,,Chris Christie,REP,,,,,0
Mills,5,President,,Donald J Trump,REP,,,,,12
Mills,5,President,,Elizabeth Gray,REP,,,,,0
Mills,5,President,,Jeb Bush,REP,,,,,0
Mills,5,President,,John R. Kasich,REP,,,,,2
Mills,5,President,,Lindsey Graham,REP,,,,,0
Mills,5,President,,Marco Rubio,REP,,,,,7
Mills,5,President,,Mike Huckabee,REP,,,,,0
Mills,5,President,,Rand Paul,REP,,,,,0
Mills,5,President,,Rick Santorum,REP,,,,,1
Mills,5,President,,Ted Cruz,REP,,,,,27
Mills,5,President,,Uncommitted,REP,,,,,2
Mills,5,President,,Totals,REP,,,,,56
Mills,5,U.S. House,11,Mike Conaway,REP,,,,,46
Mills,5,U.S. House,11,Totals,REP,,,,,46
Mills,5,Railroad Commissioner,,Doug Jeffrey,REP,,,,,5
Mills,5,Railroad Commissioner,,Gary Gates,REP,,,,,16
Mills,5,Railroad Commissioner,,John Greytok,REP,,,,,1
Mills,5,Railroad Commissioner,,Lance N. Christian,REP,,,,,10
Mills,5,Railroad Commissioner,,Ron Hale,REP,,,,,4
Mills,5,Railroad Commissioner,,Wayne Christian,REP,,,,,6
Mills,5,Railroad Commissioner,,Weston Martinez,REP,,,,,2
Mills,5,Railroad Commissioner,,Totals,REP,,,,,44
Mills,5,State Senate,24,Brent Mayes,REP,,,,,4
Mills,5,State Senate,24,Dawn Buckingham,REP,,,,,10
Mills,5,State Senate,24,Jon Cobb,REP,,,,,9
Mills,5,State Senate,24,Reed Williams,REP,,,,,2
Mills,5,State Senate,24,Ryan Downton,REP,,,,,1
Mills,5,State Senate,24,Susan King,REP,,,,,21
Mills,5,State Senate,24,Totals,REP,,,,,47
Mills,5,State Representative,59,Brent Graves,REP,,,,,16
Mills,5,State Representative,59,J.D. Sheffield,REP,,,,,35
Mills,5,State Representative,59,Totals,REP,,,,,51
Mills,6,Ballots Cast,,,REP,34,85,119,247,
Mills,6,President,,Ben Carson,REP,,,,,7
Mills,6,President,,Carly Fiorina,REP,,,,,0
Mills,6,President,,Chris Christie,REP,,,,,1
Mills,6,President,,Donald J Trump,REP,,,,,44
Mills,6,President,,Elizabeth Gray,REP,,,,,0
Mills,6,President,,Jeb Bush,REP,,,,,0
Mills,6,President,,John R. Kasich,REP,,,,,4
Mills,6,President,,Lindsey Graham,REP,,,,,2
Mills,6,President,,Marco Rubio,REP,,,,,15
Mills,6,President,,Mike Huckabee,REP,,,,,1
Mills,6,President,,Rand Paul,REP,,,,,1
Mills,6,President,,Rick Santorum,REP,,,,,0
Mills,6,President,,Ted Cruz,REP,,,,,42
Mills,6,President,,Uncommitted,REP,,,,,2
Mills,6,President,,Totals,REP,,,,,119
Mills,6,U.S. House,11,Mike Conaway,REP,,,,,92
Mills,6,U.S. House,11,Totals,REP,,,,,92
Mills,6,Railroad Commissioner,,Doug Jeffrey,REP,,,,,6
Mills,6,Railroad Commissioner,,Gary Gates,REP,,,,,23
Mills,6,Railroad Commissioner,,John Greytok,REP,,,,,1
Mills,6,Railroad Commissioner,,Lance N. Christian,REP,,,,,10
Mills,6,Railroad Commissioner,,Ron Hale,REP,,,,,29
Mills,6,Railroad Commissioner,,Wayne Christian,REP,,,,,6
Mills,6,Railroad Commissioner,,Weston Martinez,REP,,,,,3
Mills,6,Railroad Commissioner,,Totals,REP,,,,,78
Mills,6,State Senate,24,Brent Mayes,REP,,,,,12
Mills,6,State Senate,24,Dawn Buckingham,REP,,,,,28
Mills,6,State Senate,24,Jon Cobb,REP,,,,,17
Mills,6,State Senate,24,Reed Williams,REP,,,,,4
Mills,6,State Senate,24,Ryan Downton,REP,,,,,1
Mills,6,State Senate,24,Susan King,REP,,,,,40
Mills,6,State Senate,24,Totals,REP,,,,,102
Mills,6,State Representative,59,Brent Graves,REP,,,,,26
Mills,6,State Representative,59,J.D. Sheffield,REP,,,,,80
Mills,6,State Representative,59,Totals,REP,,,,,106
Mills,7,Ballots Cast,,,REP,16,22,38,95,
Mills,7,President,,Ben Carson,REP,,,,,2
Mills,7,President,,Carly Fiorina,REP,,,,,0
Mills,7,President,,Chris Christie,REP,,,,,0
Mills,7,President,,Donald J Trump,REP,,,,,16
Mills,7,President,,Elizabeth Gray,REP,,,,,0
Mills,7,President,,Jeb Bush,REP,,,,,0
Mills,7,President,,John R. Kasich,REP,,,,,1
Mills,7,President,,Lindsey Graham,REP,,,,,0
Mills,7,President,,Marco Rubio,REP,,,,,0
Mills,7,President,,Mike Huckabee,REP,,,,,0
Mills,7,President,,Rand Paul,REP,,,,,0
Mills,7,President,,Rick Santorum,REP,,,,,0
Mills,7,President,,Ted Cruz,REP,,,,,18
Mills,7,President,,Uncommitted,REP,,,,,1
Mills,7,President,,Totals,REP,,,,,38
Mills,7,U.S. House,11,Mike Conaway,REP,,,,,31
Mills,7,U.S. House,11,Totals,REP,,,,,31
Mills,7,Railroad Commissioner,,Doug Jeffrey,REP,,,,,5
Mills,7,Railroad Commissioner,,Gary Gates,REP,,,,,10
Mills,7,Railroad Commissioner,,John Greytok,REP,,,,,2
Mills,7,Railroad Commissioner,,Lance N. Christian,REP,,,,,2
Mills,7,Railroad Commissioner,,Ron Hale,REP,,,,,8
Mills,7,Railroad Commissioner,,Wayne Christian,REP,,,,,2
Mills,7,Railroad Commissioner,,Weston Martinez,REP,,,,,0
Mills,7,Railroad Commissioner,,Totals,REP,,,,,29
Mills,7,State Senate,24,Brent Mayes,REP,,,,,3
Mills,7,State Senate,24,Dawn Buckingham,REP,,,,,10
Mills,7,State Senate,24,Jon Cobb,REP,,,,,10
Mills,7,State Senate,24,Reed Williams,REP,,,,,1
Mills,7,State Senate,24,Ryan Downton,REP,,,,,1
Mills,7,State Senate,24,Susan King,REP,,,,,11
Mills,7,State Senate,24,Totals,REP,,,,,36
Mills,7,State Representative,59,Brent Graves,REP,,,,,17
Mills,7,State Representative,59,J.D. Sheffield,REP,,,,,19
Mills,7,State Representative,59,Totals,REP,,,,,36
Mills,8,Ballots Cast,,,REP,75,124,199,445,
Mills,8,President,,Ben Carson,REP,,,,,5
Mills,8,President,,Carly Fiorina,REP,,,,,0
Mills,8,President,,Chris Christie,REP,,,,,1
Mills,8,President,,Donald J Trump,REP,,,,,74
Mills,8,President,,Elizabeth Gray,REP,,,,,0
Mills,8,President,,Jeb Bush,REP,,,,,2
Mills,8,President,,John R. Kasich,REP,,,,,7
Mills,8,President,,Lindsey Graham,REP,,,,,0
Mills,8,President,,Marco Rubio,REP,,,,,13
Mills,8,President,,Mike Huckabee,REP,,,,,1
Mills,8,President,,Rand Paul,REP,,,,,2
Mills,8,President,,Rick Santorum,REP,,,,,0
Mills,8,President,,Ted Cruz,REP,,,,,84
Mills,8,President,,Uncommitted,REP,,,,,5
Mills,8,President,,Totals,REP,,,,,194
Mills,8,U.S. House,11,Mike Conaway,REP,,,,,155
Mills,8,U.S. House,11,Totals,REP,,,,,155
Mills,8,Railroad Commissioner,,Doug Jeffrey,REP,,,,,22
Mills,8,Railroad Commissioner,,Gary Gates,REP,,,,,48
Mills,8,Railroad Commissioner,,John Greytok,REP,,,,,7
Mills,8,Railroad Commissioner,,Lance N. Christian,REP,,,,,19
Mills,8,Railroad Commissioner,,Ron Hale,REP,,,,,28
Mills,8,Railroad Commissioner,,Wayne Christian,REP,,,,,17
Mills,8,Railroad Commissioner,,Weston Martinez,REP,,,,,3
Mills,8,Railroad Commissioner,,Totals,REP,,,,,144
Mills,8,State Senate,24,Brent Mayes,REP,,,,,25
Mills,8,State Senate,24,Dawn Buckingham,REP,,,,,30
Mills,8,State Senate,24,Jon Cobb,REP,,,,,46
Mills,8,State Senate,24,Reed Williams,REP,,,,,12
Mills,8,State Senate,24,Ryan Downton,REP,,,,,3
Mills,8,State Senate,24,Susan King,REP,,,,,58
Mills,8,State Senate,24,Totals,REP,,,,,174
Mills,8,State Representative,59,Brent Graves,REP,,,,,54
Mills,8,State Representative,59,J.D. Sheffield,REP,,,,,127
Mills,8,State Representative,59,Totals,REP,,,,,181
Mills,9,Ballots Cast,,,REP,110,152,262,709,
Mills,9,President,,Ben Carson,REP,,,,,15
Mills,9,President,,Carly Fiorina,REP,,,,,0
Mills,9,President,,Chris Christie,REP,,,,,0
Mills,9,President,,Donald J Trump,REP,,,,,92
Mills,9,President,,Elizabeth Gray,REP,,,,,0
Mills,9,President,,Jeb Bush,REP,,,,,3
Mills,9,President,,John R. Kasich,REP,,,,,5
Mills,9,President,,Lindsey Graham,REP,,,,,0
Mills,9,President,,Marco Rubio,REP,,,,,29
Mills,9,President,,Mike Huckabee,REP,,,,,2
Mills,9,President,,Rand Paul,REP,,,,,1
Mills,9,President,,Rick Santorum,REP,,,,,0
Mills,9,President,,Ted Cruz,REP,,,,,100
Mills,9,President,,Uncommitted,REP,,,,,7
Mills,9,President,,Totals,REP,,,,,254
Mills,9,U.S. House,11,Mike Conaway,REP,,,,,209
Mills,9,U.S. House,11,Totals,REP,,,,,209
Mills,9,Railroad Commissioner,,Doug Jeffrey,REP,,,,,29
Mills,9,Railroad Commissioner,,Gary Gates,REP,,,,,41
Mills,9,Railroad Commissioner,,John Greytok,REP,,,,,4
Mills,9,Railroad Commissioner,,Lance N. Christian,REP,,,,,14
Mills,9,Railroad Commissioner,,Ron Hale,REP,,,,,40
Mills,9,Railroad Commissioner,,Wayne Christian,REP,,,,,21
Mills,9,Railroad Commissioner,,Weston Martinez,REP,,,,,18
Mills,9,Railroad Commissioner,,Totals,REP,,,,,167
Mills,9,State Senate,24,Brent Mayes,REP,,,,,13
Mills,9,State Senate,24,Dawn Buckingham,REP,,,,,43
Mills,9,State Senate,24,Jon Cobb,REP,,,,,67
Mills,9,State Senate,24,Reed Williams,REP,,,,,21
Mills,9,State Senate,24,Ryan Downton,REP,,,,,4
Mills,9,State Senate,24,Susan King,REP,,,,,68
Mills,9,State Senate,24,Totals,REP,,,,,216
Mills,9,State Representative,59,Brent Graves,REP,,,,,37
Mills,9,State Representative,59,J.D. Sheffield,REP,,,,,192
Mills,9,State Representative,59,Totals,REP,,,,,229
Mills,11,Ballots Cast,,,REP,45,38,83,155,
Mills,11,President,,Ben Carson,REP,,,,,5
Mills,11,President,,Carly Fiorina,REP,,,,,0
Mills,11,President,,Chris Christie,REP,,,,,0
Mills,11,President,,Donald J Trump,REP,,,,,24
Mills,11,President,,Elizabeth Gray,REP,,,,,0
Mills,11,President,,Jeb Bush,REP,,,,,4
Mills,11,President,,John R. Kasich,REP,,,,,0
Mills,11,President,,Lindsey Graham,REP,,,,,0
Mills,11,President,,Marco Rubio,REP,,,,,5
Mills,11,President,,Mike Huckabee,REP,,,,,1
Mills,11,President,,Rand Paul,REP,,,,,0
Mills,11,President,,Rick Santorum,REP,,,,,0
Mills,11,President,,Ted Cruz,REP,,,,,41
Mills,11,President,,Uncommitted,REP,,,,,2
Mills,11,President,,Totals,REP,,,,,82
Mills,11,U.S. House,11,Mike Conaway,REP,,,,,61
Mills,11,U.S. House,11,Totals,REP,,,,,61
Mills,11,Railroad Commissioner,,Doug Jeffrey,REP,,,,,3
Mills,11,Railroad Commissioner,,Gary Gates,REP,,,,,22
Mills,11,Railroad Commissioner,,John Greytok,REP,,,,,2
Mills,11,Railroad Commissioner,,Lance N. Christian,REP,,,,,5
Mills,11,Railroad Commissioner,,Ron Hale,REP,,,,,20
Mills,11,Railroad Commissioner,,Wayne Christian,REP,,,,,4
Mills,11,Railroad Commissioner,,Weston Martinez,REP,,,,,4
Mills,11,Railroad Commissioner,,Totals,REP,,,,,60
Mills,11,State Senate,24,Brent Mayes,REP,,,,,7
Mills,11,State Senate,24,Dawn Buckingham,REP,,,,,22
Mills,11,State Senate,24,Jon Cobb,REP,,,,,20
Mills,11,State Senate,24,Reed Williams,REP,,,,,4
Mills,11,State Senate,24,Ryan Downton,REP,,,,,1
Mills,11,State Senate,24,Susan King,REP,,,,,20
Mills,11,State Senate,24,Totals,REP,,,,,74
Mills,11,State Representative,59,Brent Graves,REP,,,,,23
Mills,11,State Representative,59,J.D. Sheffield,REP,,,,,44
Mills,11,State Representative,59,Totals,REP,,,,,67
Mills,1,Ballots Cast,,,DEM,15,13,28,847,
Mills,1,President,,"Roque ""Rocky"" De La Fuente",DEM,,,,,0
Mills,1,President,,Hillary Clinton,DEM,,,,,18
Mills,1,President,,Calvis L. Hawes,DEM,,,,,0
Mills,1,President,,Willie L. Wilson,DEM,,,,,0
Mills,1,President,,Martin J. O'Malley,DEM,,,,,0
Mills,1,President,,Bernie Sanders,DEM,,,,,9
Mills,1,President,,Keith Judd,DEM,,,,,0
Mills,1,President,,Star Locke,DEM,,,,,1
Mills,1,President,,Totals,DEM,,,,,28
Mills,1,Railroad Commissioner,,Cody Garrett,DEM,,,,,6
Mills,1,Railroad Commissioner,,Grady Yarbrough,DEM,,,,,14
Mills,1,Railroad Commissioner,,Lon Burnam,DEM,,,,,2
Mills,1,Railroad Commissioner,,Totals,DEM,,,,,22
Mills,1,State Senate,24,"Virginia ""Jennie Lou"" Leeder",DEM,,,,,20
Mills,1,State Senate,24,Totals,DEM,,,,,20
Mills,2,Ballots Cast,,,DEM,1,1,2,412,
Mills,2,President,,"Roque ""Rocky"" De La Fuente",DEM,,,,,0
Mills,2,President,,Hillary Clinton,DEM,,,,,0
Mills,2,President,,Calvis L. Hawes,DEM,,,,,0
Mills,2,President,,Willie L. Wilson,DEM,,,,,0
Mills,2,President,,Martin J. O'Malley,DEM,,,,,0
Mills,2,President,,Bernie Sanders,DEM,,,,,2
Mills,2,President,,Keith Judd,DEM,,,,,0
Mills,2,President,,Star Locke,DEM,,,,,0
Mills,2,President,,Totals,DEM,,,,,2
Mills,2,Railroad Commissioner,,Cody Garrett,DEM,,,,,0
Mills,2,Railroad Commissioner,,Grady Yarbrough,DEM,,,,,0
Mills,2,Railroad Commissioner,,Lon Burnam,DEM,,,,,1
Mills,2,Railroad Commissioner,,Totals,DEM,,,,,1
Mills,2,State Senate,24,"Virginia ""Jennie Lou"" Leeder",DEM,,,,,2
Mills,2,State Senate,24,Totals,DEM,,,,,2
Mills,3,Ballots Cast,,,DEM,3,0,3,55,
Mills,3,President,,"Roque ""Rocky"" De La Fuente",DEM,,,,,0
Mills,3,President,,Hillary Clinton,DEM,,,,,3
Mills,3,President,,Calvis L. Hawes,DEM,,,,,0
Mills,3,President,,Willie L. Wilson,DEM,,,,,0
Mills,3,President,,Martin J. O'Malley,DEM,,,,,0
Mills,3,President,,Bernie Sanders,DEM,,,,,0
Mills,3,President,,Keith Judd,DEM,,,,,0
Mills,3,President,,Star Locke,DEM,,,,,0
Mills,3,President,,Totals,DEM,,,,,3
Mills,3,Railroad Commissioner,,Cody Garrett,DEM,,,,,1
Mills,3,Railroad Commissioner,,Grady Yarbrough,DEM,,,,,1
Mills,3,Railroad Commissioner,,Lon Burnam,DEM,,,,,0
Mills,3,Railroad Commissioner,,Totals,DEM,,,,,2
Mills,3,State Senate,24,"Virginia ""Jennie Lou"" Leeder",DEM,,,,,2
Mills,3,State Senate,24,Totals,DEM,,,,,2
Mills,4,Ballots Cast,,,DEM,2,2,4,298,
Mills,4,President,,"Roque ""Rocky"" De La Fuente",DEM,,,,,0
Mills,4,President,,Hillary Clinton,DEM,,,,,3
Mills,4,President,,Calvis L. Hawes,DEM,,,,,0
Mills,4,President,,Willie L. Wilson,DEM,,,,,0
Mills,4,President,,Martin J. O'Malley,DEM,,,,,0
Mills,4,President,,Bernie Sanders,DEM,,,,,1
Mills,4,President,,Keith Judd,DEM,,,,,0
Mills,4,President,,Star Locke,DEM,,,,,0
Mills,4,President,,Totals,DEM,,,,,4
Mills,4,Railroad Commissioner,,Cody Garrett,DEM,,,,,2
Mills,4,Railroad Commissioner,,Grady Yarbrough,DEM,,,,,2
Mills,4,Railroad Commissioner,,Lon Burnam,DEM,,,,,0
Mills,4,Railroad Commissioner,,Totals,DEM,,,,,4
Mills,4,State Senate,24,"Virginia ""Jennie Lou"" Leeder",DEM,,,,,4
Mills,4,State Senate,24,Totals,DEM,,,,,4
Mills,5,Ballots Cast,,,DEM,0,8,8,178,
Mills,5,President,,"Roque ""Rocky"" De La Fuente",DEM,,,,,0
Mills,5,President,,Hillary Clinton,DEM,,,,,3
Mills,5,President,,Calvis L. Hawes,DEM,,,,,0
Mills,5,President,,Willie L. Wilson,DEM,,,,,0
Mills,5,President,,Martin J. O'Malley,DEM,,,,,0
Mills,5,President,,Bernie Sanders,DEM,,,,,5
Mills,5,President,,Keith Judd,DEM,,,,,0
Mills,5,President,,Star Locke,DEM,,,,,0
Mills,5,President,,Totals,DEM,,,,,8
Mills,5,Railroad Commissioner,,Cody Garrett,DEM,,,,,3
Mills,5,Railroad Commissioner,,Grady Yarbrough,DEM,,,,,3
Mills,5,Railroad Commissioner,,Lon Burnam,DEM,,,,,1
Mills,5,Railroad Commissioner,,Totals,DEM,,,,,7
Mills,5,State Senate,24,"Virginia ""Jennie Lou"" Leeder",DEM,,,,,6
Mills,5,State Senate,24,Totals,DEM,,,,,6
Mills,6,Ballots Cast,,,DEM,0,4,4,247,
Mills,6,President,,"Roque ""Rocky"" De La Fuente",DEM,,,,,0
Mills,6,President,,Hillary Clinton,DEM,,,,,2
Mills,6,President,,Calvis L. Hawes,DEM,,,,,0
Mills,6,President,,Willie L. Wilson,DEM,,,,,0
Mills,6,President,,Martin J. O'Malley,DEM,,,,,0
Mills,6,President,,Bernie Sanders,DEM,,,,,2
Mills,6,President,,Keith Judd,DEM,,,,,0
Mills,6,President,,Star Locke,DEM,,,,,0
Mills,6,President,,Totals,DEM,,,,,4
Mills,6,Railroad Commissioner,,Cody Garrett,DEM,,,,,1
Mills,6,Railroad Commissioner,,Grady Yarbrough,DEM,,,,,3
Mills,6,Railroad Commissioner,,Lon Burnam,DEM,,,,,0
Mills,6,Railroad Commissioner,,Totals,DEM,,,,,4
Mills,6,State Senate,24,"Virginia ""Jennie Lou"" Leeder",DEM,,,,,4
Mills,6,State Senate,24,Totals,DEM,,,,,4
Mills,7,Ballots Cast,,,DEM,2,5,7,95,
Mills,7,President,,"Roque ""Rocky"" De La Fuente",DEM,,,,,0
Mills,7,President,,Hillary Clinton,DEM,,,,,4
Mills,7,President,,Calvis L. Hawes,DEM,,,,,0
Mills,7,President,,Willie L. Wilson,DEM,,,,,0
Mills,7,President,,Martin J. O'Malley,DEM,,,,,0
Mills,7,President,,Bernie Sanders,DEM,,,,,3
Mills,7,President,,Keith Judd,DEM,,,,,0
Mills,7,President,,Star Locke,DEM,,,,,0
Mills,7,President,,Totals,DEM,,,,,7
Mills,7,Railroad Commissioner,,Cody Garrett,DEM,,,,,2
Mills,7,Railroad Commissioner,,Grady Yarbrough,DEM,,,,,4
Mills,7,Railroad Commissioner,,Lon Burnam,DEM,,,,,0
Mills,7,Railroad Commissioner,,Totals,DEM,,,,,6
Mills,7,State Senate,24,"Virginia ""Jennie Lou"" Leeder",DEM,,,,,6
Mills,7,State Senate,24,Totals,DEM,,,,,6
Mills,8,Ballots Cast,,,DEM,4,14,18,445,
Mills,8,President,,"Roque ""Rocky"" De La Fuente",DEM,,,,,0
Mills,8,President,,Hillary Clinton,DEM,,,,,8
Mills,8,President,,Calvis L. Hawes,DEM,,,,,0
Mills,8,President,,Willie L. Wilson,DEM,,,,,0
