county,precinct,office,district,candidate,party,Absentee,early_voting,election day,Total,Registered,votes
Delta,1,Railroad Commissioner,,Ron Hale,,,,,,,38
Delta,1,Railroad Commissioner,,Totals,,,,,,,221
Delta,1,State Representative,62,Larry Phillips,,,,,,,219
Delta,1,State Representative,62,Totals,,,,,,,219
Delta,3,Ballots Cast,,,,12,51,65,128,618,
Delta,3,President,,Rand Paul,,,,,,,1
Delta,3,President,,Jeb Bush,,,,,,,1
Delta,3,President,,Elizabeth Gray,,,,,,,0
Delta,3,President,,Ted Cruz,,,,,,,43
Delta,3,President,,Marco Rubio,,,,,,,15
Delta,3,President,,Chris Christie,,,,,,,0
Delta,3,President,,Ben Carson,,,,,,,6
Delta,3,President,,Carly Fiorina,,,,,,,0
Delta,3,President,,John R. Kasich,,,,,,,5
Delta,3,President,,Rick Santorum,,,,,,,0
Delta,3,President,,Donald J. Trump,,,,,,,53
Delta,3,President,,Mike Huckabee,,,,,,,0
Delta,3,President,,Lindsey Graham,,,,,,,0
Delta,3,President,,Uncommitted,,,,,,,1
Delta,3,President,,Totals,,,,,,,125
Delta,3,U.S. House,4,John Ratcliffe,,,,,,,63
Delta,3,U.S. House,4,Ray Hall,,,,,,,14
Delta,3,U.S. House,4,Lou Gigliotti,,,,,,,35
Delta,3,U.S. House,4,Totals,,,,,,,112
Delta,3,Railroad Commissioner,,Wayne Christian,,,,,,,25
Delta,3,Railroad Commissioner,,Gary Gates,,,,,,,17
Delta,3,Railroad Commissioner,,Weston Martinez,,,,,,,9
Delta,3,Railroad Commissioner,,John Greytok,,,,,,,4
Delta,3,Railroad Commissioner,,Doug Jeffrey,,,,,,,15
Delta,3,Railroad Commissioner,,Lance N. Christian,,,,,,,4
Delta,3,Railroad Commissioner,,Ron Hale,,,,,,,20
Delta,3,Railroad Commissioner,,Totals,,,,,,,94
Delta,3,State Representative,62,Larry Phillips,,,,,,,90
Delta,3,State Representative,62,Totals,,,,,,,90
Delta,4,Ballots Cast,,,,17,54,131,202,599,
Delta,4,President,,Rand Paul,,,,,,,0
Delta,4,President,,Jeb Bush,,,,,,,1
Delta,4,President,,Elizabeth Gray,,,,,,,0
Delta,4,President,,Ted Cruz,,,,,,,79
Delta,4,President,,Marco Rubio,,,,,,,32
Delta,4,President,,Chris Christie,,,,,,,0
Delta,4,President,,Ben Carson,,,,,,,11
Delta,4,President,,Carly Fiorina,,,,,,,0
Delta,4,President,,John R. Kasich,,,,,,,3
Delta,4,President,,Rick Santorum,,,,,,,0
Delta,4,President,,Donald J. Trump,,,,,,,67
Delta,4,President,,Mike Huckabee,,,,,,,1
Delta,4,President,,Lindsey Graham,,,,,,,0
Delta,4,President,,Uncommitted,,,,,,,3
Delta,4,President,,Totals,,,,,,,197
Delta,4,U.S. House,4,John Ratcliffe,,,,,,,105
Delta,4,U.S. House,4,Ray Hall,,,,,,,15
Delta,4,U.S. House,4,Lou Gigliotti,,,,,,,58
Delta,4,U.S. House,4,Totals,,,,,,,178
Delta,4,Railroad Commissioner,,Wayne Christian,,,,,,,45
Delta,4,Railroad Commissioner,,Gary Gates,,,,,,,36
Delta,4,Railroad Commissioner,,Weston Martinez,,,,,,,7
Delta,4,Railroad Commissioner,,John Greytok,,,,,,,2
Delta,4,Railroad Commissioner,,Doug Jeffrey,,,,,,,10
Delta,4,Railroad Commissioner,,Lance N. Christian,,,,,,,8
Delta,4,Railroad Commissioner,,Ron Hale,,,,,,,22
Delta,4,Railroad Commissioner,,Totals,,,,,,,130
Delta,4,State Representative,62,Larry Phillips,,,,,,,134
Delta,4,State Representative,62,Totals,,,,,,,134
Delta,5,Ballots Cast,,,,14,54,191,259,791,
Delta,5,President,,Rand Paul,,,,,,,0
Delta,5,President,,Jeb Bush,,,,,,,4
Delta,5,President,,Elizabeth Gray,,,,,,,0
Delta,5,President,,Ted Cruz,,,,,,,124
Delta,5,President,,Marco Rubio,,,,,,,23
Delta,5,President,,Chris Christie,,,,,,,0
Delta,5,President,,Ben Carson,,,,,,,10
Delta,5,President,,Carly Fiorina,,,,,,,0
Delta,5,President,,John R. Kasich,,,,,,,5
Delta,5,President,,Rick Santorum,,,,,,,0
Delta,5,President,,Donald J. Trump,,,,,,,85
Delta,5,President,,Mike Huckabee,,,,,,,1
Delta,5,President,,Lindsey Graham,,,,,,,0
Delta,5,President,,Uncommitted,,,,,,,4
Delta,5,President,,Totals,,,,,,,256
Delta,5,U.S. House,4,John Ratcliffe,,,,,,,119
Delta,5,U.S. House,4,Ray Hall,,,,,,,31
Delta,5,U.S. House,4,Lou Gigliotti,,,,,,,77
Delta,5,U.S. House,4,Totals,,,,,,,227
Delta,5,Railroad Commissioner,,Wayne Christian,,,,,,,57
Delta,5,Railroad Commissioner,,Gary Gates,,,,,,,36
Delta,5,Railroad Commissioner,,Weston Martinez,,,,,,,11
Delta,5,Railroad Commissioner,,John Greytok,,,,,,,6
Delta,5,Railroad Commissioner,,Doug Jeffrey,,,,,,,20
Delta,5,Railroad Commissioner,,Lance N. Christian,,,,,,,25
Delta,5,Railroad Commissioner,,Ron Hale,,,,,,,41
Delta,5,Railroad Commissioner,,Totals,,,,,,,196
Delta,5,State Representative,62,Larry Phillips,,,,,,,176
Delta,5,State Representative,62,Totals,,,,,,,176
Delta,7,Ballots Cast,,,,4,21,71,96,258,
Delta,7,President,,Rand Paul,,,,,,,0
Delta,7,President,,Jeb Bush,,,,,,,0
Delta,7,President,,Elizabeth Gray,,,,,,,0
Delta,7,President,,Ted Cruz,,,,,,,49
Delta,7,President,,Marco Rubio,,,,,,,10
Delta,7,President,,Chris Christie,,,,,,,0
Delta,7,President,,Ben Carson,,,,,,,5
Delta,7,President,,Carly Fiorina,,,,,,,0
Delta,7,President,,John R. Kasich,,,,,,,0
Delta,7,President,,Rick Santorum,,,,,,,0
Delta,7,President,,Donald J. Trump,,,,,,,31
Delta,7,President,,Mike Huckabee,,,,,,,0
Delta,7,President,,Lindsey Graham,,,,,,,0
Delta,7,President,,Uncommitted,,,,,,,0
Delta,7,President,,Totals,,,,,,,95
Delta,7,U.S. House,4,John Ratcliffe,,,,,,,45
Delta,7,U.S. House,4,Ray Hall,,,,,,,9
Delta,7,U.S. House,4,Lou Gigliotti,,,,,,,33
Delta,7,U.S. House,4,Totals,,,,,,,87
Delta,7,Railroad Commissioner,,Wayne Christian,,,,,,,21
Delta,7,Railroad Commissioner,,Gary Gates,,,,,,,20
Delta,7,Railroad Commissioner,,Weston Martinez,,,,,,,3
Delta,7,Railroad Commissioner,,John Greytok,,,,,,,3
Delta,7,Railroad Commissioner,,Doug Jeffrey,,,,,,,5
Delta,7,Railroad Commissioner,,Lance N. Christian,,,,,,,5
Delta,7,Railroad Commissioner,,Ron Hale,,,,,,,17
Delta,7,Railroad Commissioner,,Totals,,,,,,,74
Delta,7,State Representative,62,Larry Phillips,,,,,,,72
Delta,7,State Representative,62,Totals,,,,,,,72
Delta,9,Ballots Cast,,,,10,15,109,134,248,
Delta,9,President,,Rand Paul,,,,,,,0
Delta,9,President,,Jeb Bush,,,,,,,1
Delta,9,President,,Elizabeth Gray,,,,,,,0
Delta,9,President,,Ted Cruz,,,,,,,56
Delta,9,President,,Marco Rubio,,,,,,,6
Delta,9,President,,Chris Christie,,,,,,,1
Delta,9,President,,Ben Carson,,,,,,,5
Delta,9,President,,Carly Fiorina,,,,,,,0
Delta,9,President,,John R. Kasich,,,,,,,0
Delta,9,President,,Rick Santorum,,,,,,,0
Delta,9,President,,Donald J. Trump,,,,,,,55
Delta,9,President,,Mike Huckabee,,,,,,,0
Delta,9,President,,Lindsey Graham,,,,,,,0
Delta,9,President,,Uncommitted,,,,,,,2
Delta,9,President,,Totals,,,,,,,126
Delta,9,U.S. House,4,John Ratcliffe,,,,,,,71
Delta,9,U.S. House,4,Ray Hall,,,,,,,11
Delta,9,U.S. House,4,Lou Gigliotti,,,,,,,27
Delta,9,U.S. House,4,Totals,,,,,,,109
Delta,9,Railroad Commissioner,,Wayne Christian,,,,,,,20
Delta,9,Railroad Commissioner,,Gary Gates,,,,,,,14
Delta,9,Railroad Commissioner,,Weston Martinez,,,,,,,1
Delta,9,Railroad Commissioner,,John Greytok,,,,,,,2
Delta,9,Railroad Commissioner,,Doug Jeffrey,,,,,,,9
Delta,9,Railroad Commissioner,,Lance N. Christian,,,,,,,14
Delta,9,Railroad Commissioner,,Ron Hale,,,,,,,16
Delta,9,Railroad Commissioner,,Totals,,,,,,,76
Delta,9,State Representative,62,Larry Phillips,,,,,,,77
Delta,9,State Representative,62,Totals,,,,,,,77
Delta,10,Ballots Cast,,,,12,34,106,152,355,
Delta,10,President,,Rand Paul,,,,,,,0
Delta,10,President,,Jeb Bush,,,,,,,1
Delta,10,President,,Elizabeth Gray,,,,,,,0
Delta,10,President,,Ted Cruz,,,,,,,57
Delta,10,President,,Marco Rubio,,,,,,,13
Delta,10,President,,Chris Christie,,,,,,,0
Delta,10,President,,Ben Carson,,,,,,,10
Delta,10,President,,Carly Fiorina,,,,,,,0
Delta,10,President,,John R. Kasich,,,,,,,5
Delta,10,President,,Rick Santorum,,,,,,,0
Delta,10,President,,Donald J. Trump,,,,,,,60
Delta,10,President,,Mike Huckabee,,,,,,,0
Delta,10,President,,Lindsey Graham,,,,,,,0
Delta,10,President,,Uncommitted,,,,,,,4
Delta,10,President,,Totals,,,,,,,150
Delta,10,U.S. House,4,John Ratcliffe,,,,,,,73
Delta,10,U.S. House,4,Ray Hall,,,,,,,24
Delta,10,U.S. House,4,Lou Gigliotti,,,,,,,45
Delta,10,U.S. House,4,Totals,,,,,,,142
Delta,10,Railroad Commissioner,,Wayne Christian,,,,,,,30
Delta,10,Railroad Commissioner,,Gary Gates,,,,,,,25
Delta,10,Railroad Commissioner,,Weston Martinez,,,,,,,6
Delta,10,Railroad Commissioner,,John Greytok,,,,,,,5
Delta,10,Railroad Commissioner,,Doug Jeffrey,,,,,,,11
Delta,10,Railroad Commissioner,,Lance N. Christian,,,,,,,16
Delta,10,Railroad Commissioner,,Ron Hale,,,,,,,29
Delta,10,Railroad Commissioner,,Totals,,,,,,,122
Delta,10,State Representative,62,Larry Phillips,,,,,,,120
Delta,10,State Representative,62,Totals,,,,,,,120
