county,precinct,office,district,party,candidate,election_day,early_voting_person,early_voting_mail,early_voting,votes
Victoria,28,President,,,WRITE-IN,1,1,0,1,2
Victoria,29,President,,,Donald J. Trump,327,907,135,1042,1369
Victoria,29,President,,,Hillary Clinton,104,276,33,309,413
Victoria,29,President,,,Gary Johnson,11,26,2,28,39
Victoria,29,President,,,Jill Stein,6,2,0,2,8
Victoria,29,President,,,WRITE-IN,4,10,0,10,14
Victoria,30,President,,,Donald J. Trump,76,104,23,127,203
Victoria,30,President,,,Hillary Clinton,38,50,6,56,94
Victoria,30,President,,,Gary Johnson,3,5,1,6,9
Victoria,30,President,,,Jill Stein,0,0,1,1,1
Victoria,30,President,,,WRITE-IN,1,2,0,2,3
Victoria,31,President,,,Donald J. Trump,83,145,21,166,249
Victoria,31,President,,,Hillary Clinton,52,102,36,138,190
Victoria,31,President,,,Gary Johnson,7,9,0,9,16
Victoria,31,President,,,Jill Stein,3,1,1,2,5
Victoria,31,President,,,WRITE-IN,2,2,3,5,7
Victoria,32,President,,,Donald J. Trump,80,130,23,153,233
Victoria,32,President,,,Hillary Clinton,143,162,33,195,338
Victoria,32,President,,,Gary Johnson,14,13,0,13,27
Victoria,32,President,,,Jill Stein,1,4,0,4,5
Victoria,32,President,,,WRITE-IN,6,1,1,2,8
Victoria,33,President,,,Donald J. Trump,449,1533,281,1814,2263
Victoria,33,President,,,Hillary Clinton,124,368,75,443,567
Victoria,33,President,,,Gary Johnson,25,35,10,45,70
Victoria,33,President,,,Jill Stein,3,6,0,6,9
Victoria,33,President,,,WRITE-IN,10,20,2,22,32
Victoria,34,President,,,Donald J. Trump,69,51,9,60,129
Victoria,34,President,,,Hillary Clinton,148,120,36,156,304
Victoria,34,President,,,Gary Johnson,8,2,0,2,10
Victoria,34,President,,,Jill Stein,3,0,0,0,3
Victoria,34,President,,,WRITE-IN,1,0,1,1,2
Victoria,35,President,,,Donald J. Trump,24,37,3,40,64
Victoria,35,President,,,Hillary Clinton,51,37,13,50,101
Victoria,35,President,,,Gary Johnson,4,0,0,0,4
Victoria,35,President,,,Jill Stein,0,1,0,1,1
Victoria,35,President,,,WRITE-IN,0,0,0,0,0
Victoria,1,U.S. House,27,,Blake Farenthold,38,42,19,61,99
Victoria,1,U.S. House,27,,Raul (Roy) Barrera,45,73,29,102,147
Victoria,2,U.S. House,27,,Blake Farenthold,91,211,19,230,321
Victoria,2,U.S. House,27,,Raul (Roy) Barrera,54,141,19,160,214
Victoria,3,U.S. House,27,,Blake Farenthold,107,269,47,316,423
Victoria,3,U.S. House,27,,Raul (Roy) Barrera,74,135,22,157,231
Victoria,4,U.S. House,27,,Blake Farenthold,88,103,21,124,212
Victoria,4,U.S. House,27,,Raul (Roy) Barrera,141,156,35,191,332
Victoria,5,U.S. House,27,,Blake Farenthold,136,349,75,424,560
Victoria,5,U.S. House,27,,Raul (Roy) Barrera,208,300,53,353,561
Victoria,6,U.S. House,27,,Blake Farenthold,16,26,5,31,47
Victoria,6,U.S. House,27,,Raul (Roy) Barrera,18,40,15,55,73
Victoria,7,U.S. House,27,,Blake Farenthold,112,142,31,173,285
Victoria,7,U.S. House,27,,Raul (Roy) Barrera,255,301,72,373,628
Victoria,8,U.S. House,27,,Blake Farenthold,172,284,49,333,505
Victoria,8,U.S. House,27,,Raul (Roy) Barrera,153,230,50,280,433
Victoria,9,U.S. House,27,,Blake Farenthold,115,246,28,274,389
Victoria,9,U.S. House,27,,Raul (Roy) Barrera,68,122,20,142,210
Victoria,10,U.S. House,27,,Blake Farenthold,164,449,79,528,692
Victoria,10,U.S. House,27,,Raul (Roy) Barrera,91,206,19,225,316
Victoria,11,U.S. House,27,,Blake Farenthold,84,111,15,126,210
Victoria,11,U.S. House,27,,Raul (Roy) Barrera,23,28,2,30,53
Victoria,12,U.S. House,27,,Blake Farenthold,78,69,4,73,151
Victoria,12,U.S. House,27,,Raul (Roy) Barrera,125,75,5,80,205
