county,precinct,office,district,party,candidate,early_voting,election_day,paper,votes
Kendall,4050,,,Democratic,Straight Party,103,85,13,201
Kendall,4070,,,Democratic,Straight Party,15,1,2,18
Kendall,4100,,,Democratic,Straight Party,160,17,18,195
Kendall,Total,,,Democratic,Straight Party,1290,341,142,1773
Kendall,1010,,,Libertarian,Straight Party,9,10,1,20
Kendall,1110,,,Libertarian,Straight Party,9,3,0,12
Kendall,2020,,,Libertarian,Straight Party,2,0,0,2
Kendall,2080,,,Libertarian,Straight Party,12,0,1,13
Kendall,2120,,,Libertarian,Straight Party,15,4,2,21
Kendall,3030,,,Libertarian,Straight Party,7,3,0,10
Kendall,3040,,,Libertarian,Straight Party,8,6,0,14
Kendall,3060,,,Libertarian,Straight Party,0,0,0,0
Kendall,4050,,,Libertarian,Straight Party,2,6,0,8
Kendall,4070,,,Libertarian,Straight Party,1,1,0,2
Kendall,4100,,,Libertarian,Straight Party,10,5,0,15
Kendall,Total,,,Libertarian,Straight Party,75,38,4,117
Kendall,1010,,,Green,Straight Party,3,1,0,4
Kendall,1110,,,Green,Straight Party,2,3,0,5
Kendall,2020,,,Green,Straight Party,3,1,0,4
Kendall,2080,,,Green,Straight Party,1,2,0,3
Kendall,2120,,,Green,Straight Party,0,1,0,1
Kendall,3030,,,Green,Straight Party,0,0,0,0
Kendall,3040,,,Green,Straight Party,2,4,1,7
Kendall,3060,,,Green,Straight Party,0,0,0,0
Kendall,4050,,,Green,Straight Party,0,2,0,2
Kendall,4070,,,Green,Straight Party,0,0,0,0
Kendall,4100,,,Green,Straight Party,1,0,1,2
Kendall,Total,,,Green,Straight Party,12,14,2,28
Kendall,1010,President,,Republican,Donald J. Trump,1066,145,120,1331
Kendall,1110,President,,Republican,Donald J. Trump,1787,263,196,2246
Kendall,2020,President,,Republican,Donald J. Trump,942,226,86,1254
Kendall,2080,President,,Republican,Donald J. Trump,1449,193,103,1745
Kendall,2120,President,,Republican,Donald J. Trump,1668,256,119,2043
Kendall,3030,President,,Republican,Donald J. Trump,945,373,87,1405
Kendall,3040,President,,Republican,Donald J. Trump,1512,290,139,1941
Kendall,3060,President,,Republican,Donald J. Trump,204,141,18,363
Kendall,4050,President,,Republican,Donald J. Trump,836,405,102,1343
Kendall,4070,President,,Republican,Donald J. Trump,123,72,16,211
Kendall,4100,President,,Republican,Donald J. Trump,1440,269,109,1818
Kendall,Total,President,,Republican,Donald J. Trump,11972,2633,1095,15700
Kendall,1010,President,,Democratic,Hillary Clinton,322,62,31,415
Kendall,1110,President,,Democratic,Hillary Clinton,382,81,45,508
Kendall,2020,President,,Democratic,Hillary Clinton,160,39,28,227
Kendall,2080,President,,Democratic,Hillary Clinton,331,52,40,423
Kendall,2120,President,,Democratic,Hillary Clinton,362,51,30,443
Kendall,3030,President,,Democratic,Hillary Clinton,178,51,16,245
Kendall,3040,President,,Democratic,Hillary Clinton,341,85,35,461
Kendall,3060,President,,Democratic,Hillary Clinton,28,27,8,63
Kendall,4050,President,,Democratic,Hillary Clinton,209,153,29,391
Kendall,4070,President,,Democratic,Hillary Clinton,29,3,2,34
Kendall,4100,President,,Democratic,Hillary Clinton,341,53,39,433
Kendall,Total,President,,Democratic,Hillary Clinton,2683,657,303,3643
Kendall,1010,President,,Libertarian,Gary Johnson,53,19,5,77
Kendall,1110,President,,Libertarian,Gary Johnson,55,11,8,74
Kendall,2020,President,,Libertarian,Gary Johnson,16,10,2,28
Kendall,2080,President,,Libertarian,Gary Johnson,66,12,6,84
Kendall,2120,President,,Libertarian,Gary Johnson,54,13,2,69
Kendall,3030,President,,Libertarian,Gary Johnson,21,6,0,27
Kendall,3040,President,,Libertarian,Gary Johnson,51,27,6,84
Kendall,3060,President,,Libertarian,Gary Johnson,4,8,1,13
Kendall,4050,President,,Libertarian,Gary Johnson,11,10,5,26
Kendall,4070,President,,Libertarian,Gary Johnson,4,6,0,10
Kendall,4100,President,,Libertarian,Gary Johnson,47,10,6,63
Kendall,Total,President,,Libertarian,Gary Johnson,382,132,41,555
Kendall,1010,President,,Green,Jill Stein,8,4,1,13
Kendall,1110,President,,Green,Jill Stein,4,6,2,12
Kendall,2020,President,,Green,Jill Stein,6,1,0,7
Kendall,2080,President,,Green,Jill Stein,7,3,1,11
Kendall,2120,President,,Green,Jill Stein,6,1,1,8
Kendall,3030,President,,Green,Jill Stein,3,3,0,6
Kendall,3040,President,,Green,Jill Stein,14,3,1,18
Kendall,3060,President,,Green,Jill Stein,1,1,0,2
Kendall,4050,President,,Green,Jill Stein,0,3,2,5
Kendall,4070,President,,Green,Jill Stein,0,0,0,0
Kendall,4100,President,,Green,Jill Stein,3,1,1,5
Kendall,Total,President,,Green,Jill Stein,52,26,9,87
Kendall,1010,President,,,Write-ins,13,12,2,27
Kendall,1110,President,,,Write-ins,32,14,10,56
Kendall,2020,President,,,Write-ins,6,13,4,23
Kendall,2080,President,,,Write-ins,36,7,8,51
Kendall,2120,President,,,Write-ins,33,6,2,41
Kendall,3030,President,,,Write-ins,15,6,3,24
Kendall,3040,President,,,Write-ins,18,6,4,28
Kendall,3060,President,,,Write-ins,1,2,0,3
Kendall,4050,President,,,Write-ins,9,8,1,18
Kendall,4070,President,,,Write-ins,2,2,0,4
Kendall,4100,President,,,Write-ins,13,5,5,23
Kendall,Total,President,,,Write-ins,178,81,39,298
Kendall,1010,U.S. House,21,Republican,Lamar Smith,1092,161,114,1367
Kendall,1110,U.S. House,21,Republican,Lamar Smith,1825,269,205,2299
Kendall,2020,U.S. House,21,Republican,Lamar Smith,953,249,97,1299
Kendall,2080,U.S. House,21,Republican,Lamar Smith,1554,211,111,1876
Kendall,2120,U.S. House,21,Republican,Lamar Smith,1697,255,107,2059
Kendall,3030,U.S. House,21,Republican,Lamar Smith,953,365,88,1406
Kendall,3040,U.S. House,21,Republican,Lamar Smith,1529,299,127,1955
Kendall,3060,U.S. House,21,Republican,Lamar Smith,208,150,17,375
Kendall,4050,U.S. House,21,Republican,Lamar Smith,824,413,107,1344
Kendall,4070,U.S. House,21,Republican,Lamar Smith,123,71,16,210
Kendall,4100,U.S. House,21,Republican,Lamar Smith,1426,268,120,1814
Kendall,Total,U.S. House,21,Republican,Lamar Smith,12184,2711,1109,16004
Kendall,1010,U.S. House,21,Democratic,Tom Wakely,262,44,33,339
Kendall,1110,U.S. House,21,Democratic,Tom Wakely,317,66,32,415
Kendall,2020,U.S. House,21,Democratic,Tom Wakely,136,28,18,182
Kendall,2080,U.S. House,21,Democratic,Tom Wakely,250,40,34,324
Kendall,2120,U.S. House,21,Democratic,Tom Wakely,303,50,27,380
Kendall,3030,U.S. House,21,Democratic,Tom Wakely,137,39,15,191
Kendall,3040,U.S. House,21,Democratic,Tom Wakely,280,70,36,386
Kendall,3060,U.S. House,21,Democratic,Tom Wakely,22,21,8,51
Kendall,4050,U.S. House,21,Democratic,Tom Wakely,175,118,27,320
Kendall,4070,U.S. House,21,Democratic,Tom Wakely,24,5,2,31
Kendall,4100,U.S. House,21,Democratic,Tom Wakely,287,38,34,359
Kendall,Total,U.S. House,21,Democratic,Tom Wakely,2193,519,266,2978
Kendall,1010,U.S. House,21,Libertarian,Mark Loewe,58,20,4,82
Kendall,1110,U.S. House,21,Libertarian,Mark Loewe,74,16,11,101
Kendall,2020,U.S. House,21,Libertarian,Mark Loewe,24,7,1,32
Kendall,2080,U.S. House,21,Libertarian,Mark Loewe,48,10,4,62
Kendall,2120,U.S. House,21,Libertarian,Mark Loewe,67,11,4,82
Kendall,3030,U.S. House,21,Libertarian,Mark Loewe,50,21,0,71
Kendall,3040,U.S. House,21,Libertarian,Mark Loewe,70,26,6,102
Kendall,3060,U.S. House,21,Libertarian,Mark Loewe,4,3,2,9
Kendall,4050,U.S. House,21,Libertarian,Mark Loewe,32,17,4,53
Kendall,4070,U.S. House,21,Libertarian,Mark Loewe,4,7,0,11
Kendall,4100,U.S. House,21,Libertarian,Mark Loewe,79,23,2,104
Kendall,Total,U.S. House,21,Libertarian,Mark Loewe,510,161,38,709
Kendall,1010,U.S. House,21,Green,"Antonio ""Tony"" Diaz",20,7,0,27
Kendall,1110,U.S. House,21,Green,"Antonio ""Tony"" Diaz",15,11,0,26
Kendall,2020,U.S. House,21,Green,"Antonio ""Tony"" Diaz",5,1,0,6
Kendall,2080,U.S. House,21,Green,"Antonio ""Tony"" Diaz",15,6,1,22
Kendall,2120,U.S. House,21,Green,"Antonio ""Tony"" Diaz",22,8,1,31
Kendall,3030,U.S. House,21,Green,"Antonio ""Tony"" Diaz",9,4,0,13
Kendall,3040,U.S. House,21,Green,"Antonio ""Tony"" Diaz",18,10,3,31
Kendall,3060,U.S. House,21,Green,"Antonio ""Tony"" Diaz",2,3,1,6
Kendall,4050,U.S. House,21,Green,"Antonio ""Tony"" Diaz",10,11,3,24
Kendall,4070,U.S. House,21,Green,"Antonio ""Tony"" Diaz",3,1,0,4
Kendall,4100,U.S. House,21,Green,"Antonio ""Tony"" Diaz",16,4,1,21
Kendall,Total,U.S. House,21,Green,"Antonio ""Tony"" Diaz",135,66,10,211
Kendall,1010,Railroad Commissioner,,Republican,Wayne Christian,1032,139,120,1291
Kendall,1110,Railroad Commissioner,,Republican,Wayne Christian,1752,258,207,2217
Kendall,2020,Railroad Commissioner,,Republican,Wayne Christian,917,235,85,1237
Kendall,2080,Railroad Commissioner,,Republican,Wayne Christian,1477,196,106,1779
Kendall,2120,Railroad Commissioner,,Republican,Wayne Christian,1623,236,117,1976
Kendall,3030,Railroad Commissioner,,Republican,Wayne Christian,912,344,84,1340
Kendall,3040,Railroad Commissioner,,Republican,Wayne Christian,1455,285,131,1871
Kendall,3060,Railroad Commissioner,,Republican,Wayne Christian,195,141,16,352
Kendall,4050,Railroad Commissioner,,Republican,Wayne Christian,804,373,103,1280
Kendall,4070,Railroad Commissioner,,Republican,Wayne Christian,122,65,16,203
Kendall,4100,Railroad Commissioner,,Republican,Wayne Christian,1362,243,112,1717
Kendall,Total,Railroad Commissioner,,Republican,Wayne Christian,11651,2515,1097,15263
Kendall,1010,Railroad Commissioner,,Democratic,Grady Yarbrough,274,46,29,349
Kendall,1110,Railroad Commissioner,,Democratic,Grady Yarbrough,307,63,31,401
Kendall,2020,Railroad Commissioner,,Democratic,Grady Yarbrough,119,27,20,166
Kendall,2080,Railroad Commissioner,,Democratic,Grady Yarbrough,274,40,28,342
Kendall,2120,Railroad Commissioner,,Democratic,Grady Yarbrough,293,48,24,365
Kendall,3030,Railroad Commissioner,,Democratic,Grady Yarbrough,132,33,16,181
Kendall,3040,Railroad Commissioner,,Democratic,Grady Yarbrough,291,73,34,398
Kendall,3060,Railroad Commissioner,,Democratic,Grady Yarbrough,29,18,8,55
Kendall,4050,Railroad Commissioner,,Democratic,Grady Yarbrough,170,123,26,319
Kendall,4070,Railroad Commissioner,,Democratic,Grady Yarbrough,23,4,2,29
Kendall,4100,Railroad Commissioner,,Democratic,Grady Yarbrough,294,43,32,369
Kendall,Total,Railroad Commissioner,,Democratic,Grady Yarbrough,2206,518,250,2974
Kendall,1010,Railroad Commissioner,,Libertarian,Mark Miller,92,31,5,128
Kendall,1110,Railroad Commissioner,,Libertarian,Mark Miller,133,28,15,176
Kendall,2020,Railroad Commissioner,,Libertarian,Mark Miller,63,17,7,87
Kendall,2080,Railroad Commissioner,,Libertarian,Mark Miller,90,20,17,127
Kendall,2120,Railroad Commissioner,,Libertarian,Mark Miller,132,30,6,168
Kendall,3030,Railroad Commissioner,,Libertarian,Mark Miller,83,42,4,129
Kendall,3040,Railroad Commissioner,,Libertarian,Mark Miller,109,32,10,151
Kendall,3060,Railroad Commissioner,,Libertarian,Mark Miller,6,12,3,21
Kendall,4050,Railroad Commissioner,,Libertarian,Mark Miller,50,46,7,103
Kendall,4070,Railroad Commissioner,,Libertarian,Mark Miller,4,11,0,15
Kendall,4100,Railroad Commissioner,,Libertarian,Mark Miller,115,32,5,152
Kendall,Total,Railroad Commissioner,,Libertarian,Mark Miller,877,301,79,1257
Kendall,1010,Railroad Commissioner,,Green,Martina Salinas,22,10,1,33
Kendall,1110,Railroad Commissioner,,Green,Martina Salinas,28,9,2,39
Kendall,2020,Railroad Commissioner,,Green,Martina Salinas,11,4,1,16
Kendall,2080,Railroad Commissioner,,Green,Martina Salinas,16,7,1,24
Kendall,2120,Railroad Commissioner,,Green,Martina Salinas,33,6,1,40
Kendall,3030,Railroad Commissioner,,Green,Martina Salinas,12,8,1,21
Kendall,3040,Railroad Commissioner,,Green,Martina Salinas,24,9,4,37
Kendall,3060,Railroad Commissioner,,Green,Martina Salinas,1,2,1,4
Kendall,4050,Railroad Commissioner,,Green,Martina Salinas,14,16,3,33
Kendall,4070,Railroad Commissioner,,Green,Martina Salinas,4,2,0,6
Kendall,4100,Railroad Commissioner,,Green,Martina Salinas,29,7,4,40
Kendall,Total,Railroad Commissioner,,Green,Martina Salinas,194,80,19,293
Kendall,1010,State House,73,Republican,Kyle Biedermann,1174,195,115,1484
Kendall,1110,State House,73,Republican,Kyle Biedermann,1939,298,203,2440
Kendall,2020,State House,73,Republican,Kyle Biedermann,1012,261,93,1366
Kendall,2080,State House,73,Republican,Kyle Biedermann,1627,236,109,1972
Kendall,2120,State House,73,Republican,Kyle Biedermann,1840,285,107,2232
Kendall,3030,State House,73,Republican,Kyle Biedermann,1021,379,84,1484
Kendall,3040,State House,73,Republican,Kyle Biedermann,1636,334,117,2087
Kendall,3060,State House,73,Republican,Kyle Biedermann,212,156,19,387
Kendall,4050,State House,73,Republican,Kyle Biedermann,884,459,112,1455
Kendall,4070,State House,73,Republican,Kyle Biedermann,127,76,15,218
Kendall,4100,State House,73,Republican,Kyle Biedermann,1553,296,112,1961
Kendall,Total,State House,73,Republican,Kyle Biedermann,13025,2975,1086,17086
