county,precinct,office,district,party,candidate,votes,early_voting_paper,early_voting,election_day_paper,election_day,absentee/provisional
Rockwall,002A,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,1310,241,343,195,443,88
Rockwall,002B,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,541,63,131,146,179,22
Rockwall,002C,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,1955,294,657,688,267,49
Rockwall,0003,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,108,18,40,15,23,12
Rockwall,003A,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,280,28,52,103,79,18
Rockwall,003B,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,673,73,158,286,144,12
Rockwall,003C,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,1170,178,383,296,258,55
Rockwall,003D,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,1493,223,409,258,544,59
Rockwall,0004,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,809,141,201,192,212,63
Rockwall,004A,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,1302,155,263,357,474,53
Rockwall,004B,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,356,77,24,162,78,15
Rockwall,004C,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,558,73,44,281,144,16
Rockwall,0001,President,,DEM,Martin J. O'Malley,2,0,2,0,0,0
Rockwall,001A,President,,DEM,Martin J. O'Malley,1,0,1,0,0,0
Rockwall,001B,President,,DEM,Martin J. O'Malley,2,0,2,0,0,0
Rockwall,001C,President,,DEM,Martin J. O'Malley,2,1,1,0,0,0
Rockwall,0002,President,,DEM,Martin J. O'Malley,1,0,1,0,0,0
Rockwall,002A,President,,DEM,Martin J. O'Malley,1,0,1,0,0,0
Rockwall,002B,President,,DEM,Martin J. O'Malley,1,0,1,0,0,0
Rockwall,002C,President,,DEM,Martin J. O'Malley,1,0,1,0,0,0
Rockwall,0003,President,,DEM,Martin J. O'Malley,1,0,1,0,0,0
Rockwall,003A,President,,DEM,Martin J. O'Malley,1,0,1,0,0,0
Rockwall,003B,President,,DEM,Martin J. O'Malley,1,0,1,0,0,0
Rockwall,003C,President,,DEM,Martin J. O'Malley,2,0,1,1,0,0
Rockwall,003D,President,,DEM,Martin J. O'Malley,2,0,1,0,1,0
Rockwall,0004,President,,DEM,Martin J. O'Malley,3,0,1,1,1,0
Rockwall,004A,President,,DEM,Martin J. O'Malley,1,0,1,0,0,0
Rockwall,004B,President,,DEM,Martin J. O'Malley,2,1,1,0,0,0
Rockwall,004C,President,,DEM,Martin J. O'Malley,2,0,1,0,1,0
Rockwall,0001,President,,DEM,Bernie Sanders,94,7,19,19,46,3
Rockwall,001A,President,,DEM,Bernie Sanders,94,7,11,34,37,5
Rockwall,001B,President,,DEM,Bernie Sanders,85,10,21,18,31,5
Rockwall,001C,President,,DEM,Bernie Sanders,74,7,16,13,37,1
Rockwall,0002,President,,DEM,Bernie Sanders,116,10,30,25,44,7
Rockwall,002A,President,,DEM,Bernie Sanders,94,18,17,23,32,4
Rockwall,002B,President,,DEM,Bernie Sanders,64,4,23,12,22,3
Rockwall,002C,President,,DEM,Bernie Sanders,74,10,19,17,21,7
Rockwall,0003,President,,DEM,Bernie Sanders,13,2,2,1,5,3
Rockwall,003A,President,,DEM,Bernie Sanders,37,9,4,8,16,0
Rockwall,003B,President,,DEM,Bernie Sanders,82,9,15,25,30,3
Rockwall,003C,President,,DEM,Bernie Sanders,34,2,8,12,11,1
Rockwall,003D,President,,DEM,Bernie Sanders,57,7,13,13,17,7
Rockwall,0004,President,,DEM,Bernie Sanders,33,3,10,9,10,1
Rockwall,004A,President,,DEM,Bernie Sanders,111,10,21,23,55,2
Rockwall,004B,President,,DEM,Bernie Sanders,29,2,2,13,11,1
Rockwall,004C,President,,DEM,Bernie Sanders,41,4,2,14,19,2
Rockwall,0001,President,,DEM,Willie L. Wilson,2,0,1,1,0,0
Rockwall,001A,President,,DEM,Willie L. Wilson,1,0,1,0,0,0
Rockwall,001B,President,,DEM,Willie L. Wilson,2,0,2,0,0,0
Rockwall,001C,President,,DEM,Willie L. Wilson,1,0,1,0,0,0
Rockwall,0002,President,,DEM,Willie L. Wilson,1,0,1,0,0,0
Rockwall,002A,President,,DEM,Willie L. Wilson,1,0,1,0,0,0
Rockwall,002B,President,,DEM,Willie L. Wilson,1,0,1,0,0,0
Rockwall,002C,President,,DEM,Willie L. Wilson,1,0,1,0,0,0
Rockwall,0003,President,,DEM,Willie L. Wilson,2,0,1,0,1,0
Rockwall,003A,President,,DEM,Willie L. Wilson,1,0,1,0,0,0
Rockwall,003B,President,,DEM,Willie L. Wilson,1,0,1,0,0,0
Rockwall,003C,President,,DEM,Willie L. Wilson,2,0,2,0,0,0
Rockwall,003D,President,,DEM,Willie L. Wilson,1,0,1,0,0,0
Rockwall,0004,President,,DEM,Willie L. Wilson,1,0,1,0,0,0
Rockwall,004A,President,,DEM,Willie L. Wilson,1,0,1,0,0,0
Rockwall,004B,President,,DEM,Willie L. Wilson,1,0,1,0,0,0
Rockwall,004C,President,,DEM,Willie L. Wilson,1,0,1,0,0,0
Rockwall,0001,President,,DEM,Keith Judd,2,1,1,0,0,0
Rockwall,001A,President,,DEM,Keith Judd,3,0,1,1,1,0
Rockwall,001B,President,,DEM,Keith Judd,1,0,1,0,0,0
Rockwall,001C,President,,DEM,Keith Judd,1,0,1,0,0,0
Rockwall,0002,President,,DEM,Keith Judd,1,0,1,0,0,0
Rockwall,002A,President,,DEM,Keith Judd,1,0,1,0,0,0
Rockwall,002B,President,,DEM,Keith Judd,2,1,1,0,0,0
Rockwall,002C,President,,DEM,Keith Judd,1,0,1,0,0,0
Rockwall,0003,President,,DEM,Keith Judd,1,0,1,0,0,0
Rockwall,003A,President,,DEM,Keith Judd,2,1,1,0,0,0
Rockwall,003B,President,,DEM,Keith Judd,1,0,1,0,0,0
Rockwall,003C,President,,DEM,Keith Judd,1,0,1,0,0,0
Rockwall,003D,President,,DEM,Keith Judd,1,0,1,0,0,0
Rockwall,0004,President,,DEM,Keith Judd,1,0,1,0,0,0
Rockwall,004A,President,,DEM,Keith Judd,3,0,1,2,0,0
Rockwall,004B,President,,DEM,Keith Judd,1,0,1,0,0,0
Rockwall,004C,President,,DEM,Keith Judd,1,0,1,0,0,0
Rockwall,0001,President,,DEM,Star Locke,2,0,1,0,1,0
Rockwall,001A,President,,DEM,Star Locke,1,0,1,0,0,0
Rockwall,001B,President,,DEM,Star Locke,1,0,1,0,0,0
Rockwall,001C,President,,DEM,Star Locke,1,0,1,0,0,0
Rockwall,0002,President,,DEM,Star Locke,1,0,1,0,0,0
Rockwall,002A,President,,DEM,Star Locke,1,0,1,0,0,0
Rockwall,002B,President,,DEM,Star Locke,1,0,1,0,0,0
Rockwall,002C,President,,DEM,Star Locke,2,0,1,0,1,0
Rockwall,0003,President,,DEM,Star Locke,1,0,1,0,0,0
Rockwall,003A,President,,DEM,Star Locke,1,0,1,0,0,0
Rockwall,003B,President,,DEM,Star Locke,1,0,1,0,0,0
Rockwall,003C,President,,DEM,Star Locke,1,0,1,0,0,0
Rockwall,003D,President,,DEM,Star Locke,2,1,1,0,0,0
Rockwall,0004,President,,DEM,Star Locke,1,0,1,0,0,0
Rockwall,004A,President,,DEM,Star Locke,1,0,1,0,0,0
Rockwall,004B,President,,DEM,Star Locke,1,0,1,0,0,0
Rockwall,004C,President,,DEM,Star Locke,1,0,1,0,0,0
Rockwall,0001,President,,DEM,Hillary Clinton,206,33,43,46,69,15
Rockwall,001A,President,,DEM,Hillary Clinton,131,11,19,44,41,16
Rockwall,001B,President,,DEM,Hillary Clinton,114,13,23,29,37,12
Rockwall,001C,President,,DEM,Hillary Clinton,100,10,24,21,39,6
Rockwall,0002,President,,DEM,Hillary Clinton,145,27,38,30,34,16
Rockwall,002A,President,,DEM,Hillary Clinton,191,26,32,52,64,17
Rockwall,002B,President,,DEM,Hillary Clinton,94,6,10,28,43,7
Rockwall,002C,President,,DEM,Hillary Clinton,141,23,42,37,33,6
Rockwall,0003,President,,DEM,Hillary Clinton,37,7,5,8,10,7
Rockwall,003A,President,,DEM,Hillary Clinton,59,4,11,12,31,1
Rockwall,003B,President,,DEM,Hillary Clinton,137,16,28,33,55,5
Rockwall,003C,President,,DEM,Hillary Clinton,55,5,17,13,17,3
Rockwall,003D,President,,DEM,Hillary Clinton,89,13,19,15,38,4
Rockwall,0004,President,,DEM,Hillary Clinton,55,8,14,12,15,6
Rockwall,004A,President,,DEM,Hillary Clinton,200,24,38,60,62,16
Rockwall,004B,President,,DEM,Hillary Clinton,42,7,1,13,15,6
Rockwall,004C,President,,DEM,Hillary Clinton,79,13,1,25,34,6
Rockwall,0001,President,,DEM,Calvis L. Hawes,2,1,1,0,0,0
Rockwall,001A,President,,DEM,Calvis L. Hawes,1,0,1,0,0,0
Rockwall,001B,President,,DEM,Calvis L. Hawes,2,1,1,0,0,0
Rockwall,001C,President,,DEM,Calvis L. Hawes,1,0,1,0,0,0
Rockwall,0002,President,,DEM,Calvis L. Hawes,1,0,1,0,0,0
Rockwall,002A,President,,DEM,Calvis L. Hawes,1,0,1,0,0,0
Rockwall,002B,President,,DEM,Calvis L. Hawes,1,0,1,0,0,0
Rockwall,002C,President,,DEM,Calvis L. Hawes,1,0,1,0,0,0
Rockwall,0003,President,,DEM,Calvis L. Hawes,1,0,1,0,0,0
Rockwall,003A,President,,DEM,Calvis L. Hawes,1,0,1,0,0,0
Rockwall,003B,President,,DEM,Calvis L. Hawes,1,0,1,0,0,0
Rockwall,003C,President,,DEM,Calvis L. Hawes,1,0,1,0,0,0
Rockwall,003D,President,,DEM,Calvis L. Hawes,1,0,1,0,0,0
Rockwall,0004,President,,DEM,Calvis L. Hawes,1,0,1,0,0,0
Rockwall,004A,President,,DEM,Calvis L. Hawes,1,0,1,0,0,0
Rockwall,004B,President,,DEM,Calvis L. Hawes,1,0,1,0,0,0
Rockwall,004C,President,,DEM,Calvis L. Hawes,1,0,1,0,0,0
Rockwall,0001,President,,DEM,"Roque ""Rocky"" De La Fuente",2,0,1,1,0,0
Rockwall,001A,President,,DEM,"Roque ""Rocky"" De La Fuente",2,0,1,1,0,0
Rockwall,001B,President,,DEM,"Roque ""Rocky"" De La Fuente",1,0,1,0,0,0
Rockwall,001C,President,,DEM,"Roque ""Rocky"" De La Fuente",1,0,1,0,0,0
Rockwall,0002,President,,DEM,"Roque ""Rocky"" De La Fuente",2,0,1,0,1,0
Rockwall,002A,President,,DEM,"Roque ""Rocky"" De La Fuente",1,0,1,0,0,0
Rockwall,002B,President,,DEM,"Roque ""Rocky"" De La Fuente",2,0,1,0,1,0
Rockwall,002C,President,,DEM,"Roque ""Rocky"" De La Fuente",1,0,1,0,0,0
Rockwall,0003,President,,DEM,"Roque ""Rocky"" De La Fuente",1,0,1,0,0,0
Rockwall,003A,President,,DEM,"Roque ""Rocky"" De La Fuente",1,0,1,0,0,0
Rockwall,003B,President,,DEM,"Roque ""Rocky"" De La Fuente",1,0,1,0,0,0
Rockwall,003C,President,,DEM,"Roque ""Rocky"" De La Fuente",1,0,1,0,0,0
Rockwall,003D,President,,DEM,"Roque ""Rocky"" De La Fuente",1,0,1,0,0,0
Rockwall,0004,President,,DEM,"Roque ""Rocky"" De La Fuente",1,0,1,0,0,0
Rockwall,004A,President,,DEM,"Roque ""Rocky"" De La Fuente",1,0,1,0,0,0
Rockwall,004B,President,,DEM,"Roque ""Rocky"" De La Fuente",1,0,1,0,0,0
Rockwall,004C,President,,DEM,"Roque ""Rocky"" De La Fuente",1,0,1,0,0,0
Rockwall,0001,President,,DEM,OVER VOTES,1,0,0,0,0,1
Rockwall,001A,President,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,001B,President,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,001C,President,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,0002,President,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,002A,President,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,002B,President,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,002C,President,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,0003,President,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,003A,President,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,003B,President,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,003C,President,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,003D,President,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,0004,President,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,004A,President,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,004B,President,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,004C,President,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,0001,President,,DEM,UNDER VOTES,1,0,1,0,0,0
Rockwall,001A,President,,DEM,UNDER VOTES,2,0,1,0,0,1
Rockwall,001B,President,,DEM,UNDER VOTES,1,0,1,0,0,0
Rockwall,001C,President,,DEM,UNDER VOTES,1,0,1,0,0,0
Rockwall,0002,President,,DEM,UNDER VOTES,1,0,1,0,0,0
Rockwall,002A,President,,DEM,UNDER VOTES,4,2,2,0,0,0
Rockwall,002B,President,,DEM,UNDER VOTES,1,0,1,0,0,0
Rockwall,002C,President,,DEM,UNDER VOTES,2,0,1,1,0,0
Rockwall,0003,President,,DEM,UNDER VOTES,1,0,1,0,0,0
Rockwall,003A,President,,DEM,UNDER VOTES,1,0,1,0,0,0
Rockwall,003B,President,,DEM,UNDER VOTES,1,0,1,0,0,0
Rockwall,003C,President,,DEM,UNDER VOTES,2,0,2,0,0,0
Rockwall,003D,President,,DEM,UNDER VOTES,1,0,1,0,0,0
Rockwall,0004,President,,DEM,UNDER VOTES,2,0,1,0,1,0
Rockwall,004A,President,,DEM,UNDER VOTES,2,0,1,1,0,0
Rockwall,004B,President,,DEM,UNDER VOTES,1,0,1,0,0,0
Rockwall,004C,President,,DEM,UNDER VOTES,1,0,1,0,0,0
Rockwall,0001,Railroad Commissioner,,DEM,Grady Yarbrough,65,9,13,9,29,5
Rockwall,001A,Railroad Commissioner,,DEM,Grady Yarbrough,58,5,10,21,20,2
Rockwall,001B,Railroad Commissioner,,DEM,Grady Yarbrough,55,9,15,12,15,4
Rockwall,001C,Railroad Commissioner,,DEM,Grady Yarbrough,42,5,7,4,24,2
Rockwall,0002,Railroad Commissioner,,DEM,Grady Yarbrough,70,10,14,22,18,6
Rockwall,002A,Railroad Commissioner,,DEM,Grady Yarbrough,69,8,10,17,28,6
Rockwall,002B,Railroad Commissioner,,DEM,Grady Yarbrough,47,4,5,13,22,3
Rockwall,002C,Railroad Commissioner,,DEM,Grady Yarbrough,51,11,15,9,13,3
Rockwall,0003,Railroad Commissioner,,DEM,Grady Yarbrough,17,2,3,4,7,1
Rockwall,003A,Railroad Commissioner,,DEM,Grady Yarbrough,20,1,5,2,12,0
Rockwall,003B,Railroad Commissioner,,DEM,Grady Yarbrough,64,6,15,12,28,3
Rockwall,003C,Railroad Commissioner,,DEM,Grady Yarbrough,23,2,4,5,10,2
Rockwall,003D,Railroad Commissioner,,DEM,Grady Yarbrough,45,6,12,6,19,2
Rockwall,0004,Railroad Commissioner,,DEM,Grady Yarbrough,25,2,7,8,5,3
Rockwall,004A,Railroad Commissioner,,DEM,Grady Yarbrough,83,9,15,28,23,8
Rockwall,004B,Railroad Commissioner,,DEM,Grady Yarbrough,20,3,1,5,9,2
Rockwall,004C,Railroad Commissioner,,DEM,Grady Yarbrough,28,4,1,5,16,2
Rockwall,0001,Railroad Commissioner,,DEM,Cody Garrett,82,11,13,20,35,3
Rockwall,001A,Railroad Commissioner,,DEM,Cody Garrett,78,6,11,30,25,6
Rockwall,001B,Railroad Commissioner,,DEM,Cody Garrett,58,7,13,15,21,2
Rockwall,001C,Railroad Commissioner,,DEM,Cody Garrett,52,6,8,9,28,1
Rockwall,0002,Railroad Commissioner,,DEM,Cody Garrett,74,6,17,18,26,7
Rockwall,002A,Railroad Commissioner,,DEM,Cody Garrett,85,9,16,27,27,6
Rockwall,002B,Railroad Commissioner,,DEM,Cody Garrett,50,3,11,17,16,3
Rockwall,002C,Railroad Commissioner,,DEM,Cody Garrett,51,3,16,11,19,2
Rockwall,0003,Railroad Commissioner,,DEM,Cody Garrett,12,5,1,2,1,3
Rockwall,003A,Railroad Commissioner,,DEM,Cody Garrett,39,5,4,8,22,0
Rockwall,003B,Railroad Commissioner,,DEM,Cody Garrett,82,8,13,28,31,2
Rockwall,003C,Railroad Commissioner,,DEM,Cody Garrett,25,1,6,10,8,0
Rockwall,003D,Railroad Commissioner,,DEM,Cody Garrett,47,9,10,9,16,3
Rockwall,0004,Railroad Commissioner,,DEM,Cody Garrett,31,3,12,7,8,1
Rockwall,004A,Railroad Commissioner,,DEM,Cody Garrett,108,11,19,35,38,5
Rockwall,004B,Railroad Commissioner,,DEM,Cody Garrett,20,2,2,8,6,2
Rockwall,004C,Railroad Commissioner,,DEM,Cody Garrett,51,9,1,22,19,0
Rockwall,0001,Railroad Commissioner,,DEM,Lon Burnam,75,15,19,14,18,9
Rockwall,001A,Railroad Commissioner,,DEM,Lon Burnam,37,3,4,10,16,4
Rockwall,001B,Railroad Commissioner,,DEM,Lon Burnam,31,2,8,5,7,9
Rockwall,001C,Railroad Commissioner,,DEM,Lon Burnam,30,3,14,6,7,0
Rockwall,0002,Railroad Commissioner,,DEM,Lon Burnam,52,12,18,6,10,6
Rockwall,002A,Railroad Commissioner,,DEM,Lon Burnam,65,17,10,14,17,7
Rockwall,002B,Railroad Commissioner,,DEM,Lon Burnam,26,2,10,4,9,1
Rockwall,002C,Railroad Commissioner,,DEM,Lon Burnam,56,17,11,16,7,5
Rockwall,0003,Railroad Commissioner,,DEM,Lon Burnam,11,2,1,1,4,3
Rockwall,003A,Railroad Commissioner,,DEM,Lon Burnam,19,7,3,4,4,1
Rockwall,003B,Railroad Commissioner,,DEM,Lon Burnam,38,8,7,8,13,2
Rockwall,003C,Railroad Commissioner,,DEM,Lon Burnam,20,3,8,2,5,2
Rockwall,003D,Railroad Commissioner,,DEM,Lon Burnam,29,4,4,4,11,6
Rockwall,0004,Railroad Commissioner,,DEM,Lon Burnam,18,5,1,5,6,1
Rockwall,004A,Railroad Commissioner,,DEM,Lon Burnam,65,9,18,12,22,4
Rockwall,004B,Railroad Commissioner,,DEM,Lon Burnam,11,1,1,5,2,2
Rockwall,004C,Railroad Commissioner,,DEM,Lon Burnam,21,4,2,5,7,3
Rockwall,0001,Railroad Commissioner,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,001A,Railroad Commissioner,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,001B,Railroad Commissioner,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,001C,Railroad Commissioner,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,0002,Railroad Commissioner,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,002A,Railroad Commissioner,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,002B,Railroad Commissioner,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,002C,Railroad Commissioner,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,0003,Railroad Commissioner,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,003A,Railroad Commissioner,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,003B,Railroad Commissioner,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,003C,Railroad Commissioner,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,003D,Railroad Commissioner,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,0004,Railroad Commissioner,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,004A,Railroad Commissioner,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,004B,Railroad Commissioner,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,004C,Railroad Commissioner,,DEM,OVER VOTES,0,0,0,0,0,0
Rockwall,0001,Railroad Commissioner,,DEM,UNDER VOTES,92,7,25,24,34,2
Rockwall,001A,Railroad Commissioner,,DEM,UNDER VOTES,63,4,12,19,18,10
Rockwall,001B,Railroad Commissioner,,DEM,UNDER VOTES,65,6,17,15,25,2
Rockwall,001C,Railroad Commissioner,,DEM,UNDER VOTES,58,4,18,15,17,4
Rockwall,0002,Railroad Commissioner,,DEM,UNDER VOTES,73,9,26,9,25,4
Rockwall,002A,Railroad Commissioner,,DEM,UNDER VOTES,76,12,21,17,24,2
Rockwall,002B,Railroad Commissioner,,DEM,UNDER VOTES,44,2,14,6,19,3
Rockwall,002C,Railroad Commissioner,,DEM,UNDER VOTES,66,2,26,19,16,3
Rockwall,0003,Railroad Commissioner,,DEM,UNDER VOTES,18,0,9,2,4,3
Rockwall,003A,Railroad Commissioner,,DEM,UNDER VOTES,26,1,10,6,9,0
Rockwall,003B,Railroad Commissioner,,DEM,UNDER VOTES,42,3,15,10,13,1
Rockwall,003C,Railroad Commissioner,,DEM,UNDER VOTES,31,1,16,9,5,0
Rockwall,003D,Railroad Commissioner,,DEM,UNDER VOTES,34,2,13,9,10,0
Rockwall,0004,Railroad Commissioner,,DEM,UNDER VOTES,24,1,11,2,8,2
Rockwall,004A,Railroad Commissioner,,DEM,UNDER VOTES,65,5,14,11,34,1
Rockwall,004B,Railroad Commissioner,,DEM,UNDER VOTES,28,4,6,8,9,1
Rockwall,004C,Railroad Commissioner,,DEM,UNDER VOTES,28,0,6,7,12,3
Rockwall,0001,"Justice, Supreme Court, Place 3",,DEM,Mike Westergren,207,33,43,40,76,15
Rockwall,001A,"Justice, Supreme Court, Place 3",,DEM,Mike Westergren,149,11,19,49,58,12
Rockwall,001B,"Justice, Supreme Court, Place 3",,DEM,Mike Westergren,130,19,31,27,38,15
Rockwall,001C,"Justice, Supreme Court, Place 3",,DEM,Mike Westergren,114,11,26,21,50,6
