county,precinct,office,district,candidate,party,votes,early_voting_650,early_voting_ivo,early_voting,election_day_650,election_day_ivo,election_day
Polk,1,Straight Party,,Over Votes,,0,0,0,0,0,0,0
Polk,2,Straight Party,,Over Votes,,0,0,0,0,0,0,0
Polk,3,Straight Party,,Over Votes,,0,0,0,0,0,0,0
Polk,4,Straight Party,,Over Votes,,0,0,0,0,0,0,0
Polk,5,Straight Party,,Over Votes,,0,0,0,0,0,0,0
Polk,6,Straight Party,,Over Votes,,0,0,0,0,0,0,0
Polk,7,Straight Party,,Over Votes,,0,0,0,0,0,0,0
Polk,8,Straight Party,,Over Votes,,0,0,0,0,0,0,0
Polk,9,Straight Party,,Over Votes,,0,0,0,0,0,0,0
Polk,10,Straight Party,,Over Votes,,0,0,0,0,0,0,0
Polk,11,Straight Party,,Over Votes,,0,0,0,0,0,0,0
Polk,12,Straight Party,,Over Votes,,0,0,0,0,0,0,0
Polk,13,Straight Party,,Over Votes,,0,0,0,0,0,0,0
Polk,14,Straight Party,,Over Votes,,0,0,0,0,0,0,0
Polk,15,Straight Party,,Over Votes,,0,0,0,0,0,0,0
Polk,16,Straight Party,,Over Votes,,0,0,0,0,0,0,0
Polk,17,Straight Party,,Over Votes,,0,0,0,0,0,0,0
Polk,18,Straight Party,,Over Votes,,0,0,0,0,0,0,0
Polk,19,Straight Party,,Over Votes,,0,0,0,0,0,0,0
Polk,20,Straight Party,,Over Votes,,0,0,0,0,0,0,0
Polk,21,Straight Party,,Over Votes,,0,0,0,0,0,0,0
Polk,1,Straight Party,,Under Votes,,103,43,5,48,52,3,55
Polk,2,Straight Party,,Under Votes,,104,5,47,52,8,44,52
Polk,3,Straight Party,,Under Votes,,405,34,212,246,29,130,159
Polk,4,Straight Party,,Under Votes,,405,30,283,313,7,85,92
Polk,5,Straight Party,,Under Votes,,692,53,469,522,0,170,170
Polk,6,Straight Party,,Under Votes,,978,56,733,789,13,176,189
Polk,7,Straight Party,,Under Votes,,230,23,162,185,2,43,45
Polk,8,Straight Party,,Under Votes,,242,25,124,149,35,58,93
Polk,9,Straight Party,,Under Votes,,160,10,90,100,14,46,60
Polk,10,Straight Party,,Under Votes,,421,70,235,305,28,88,116
Polk,11,Straight Party,,Under Votes,,95,6,46,52,23,20,43
Polk,12,Straight Party,,Under Votes,,69,0,7,7,30,32,62
Polk,13,Straight Party,,Under Votes,,120,13,30,43,15,62,77
Polk,14,Straight Party,,Under Votes,,245,25,68,93,79,73,152
Polk,15,Straight Party,,Under Votes,,278,15,159,174,7,97,104
Polk,16,Straight Party,,Under Votes,,1347,139,871,1010,74,263,337
Polk,17,Straight Party,,Under Votes,,299,20,214,234,12,53,65
Polk,18,Straight Party,,Under Votes,,126,15,69,84,30,12,42
Polk,19,Straight Party,,Under Votes,,1030,795,133,928,34,68,102
Polk,20,Straight Party,,Under Votes,,1026,769,140,909,16,101,117
Polk,21,Straight Party,,Under Votes,,363,17,261,278,0,85,85
Polk,1,President,,Donald Trump,REP,185,82,8,90,89,6,95
Polk,2,President,,Donald Trump,REP,241,14,103,117,30,94,124
Polk,3,President,,Donald Trump,REP,701,44,393,437,46,218,264
Polk,4,President,,Donald Trump,REP,677,45,480,525,8,144,152
Polk,5,President,,Donald Trump,REP,1231,107,825,932,10,289,299
Polk,6,President,,Donald Trump,REP,2175,110,1671,1781,19,375,394
Polk,7,President,,Donald Trump,REP,285,28,199,227,5,53,58
Polk,8,President,,Donald Trump,REP,375,36,196,232,42,101,143
Polk,9,President,,Donald Trump,REP,342,29,191,220,18,104,122
Polk,10,President,,Donald Trump,REP,796,118,459,577,47,172,219
Polk,11,President,,Donald Trump,REP,147,9,81,90,25,32,57
Polk,12,President,,Donald Trump,REP,36,0,2,2,20,14,34
Polk,13,President,,Donald Trump,REP,238,19,68,87,25,126,151
Polk,14,President,,Donald Trump,REP,429,43,151,194,124,111,235
Polk,15,President,,Donald Trump,REP,545,30,295,325,15,205,220
Polk,16,President,,Donald Trump,REP,1990,204,1319,1523,106,361,467
Polk,17,President,,Donald Trump,REP,557,24,392,416,20,121,141
Polk,18,President,,Donald Trump,REP,110,13,66,79,18,13,31
Polk,19,President,,Donald Trump,REP,1747,1362,234,1596,59,92,151
Polk,20,President,,Donald Trump,REP,1820,1324,286,1610,31,179,210
Polk,21,President,,Donald Trump,REP,549,41,380,421,2,126,128
Polk,1,President,,Hillary Clinton,DEM,22,6,4,10,12,0,12
Polk,2,President,,Hillary Clinton,DEM,35,2,11,13,7,15,22
Polk,3,President,,Hillary Clinton,DEM,210,11,91,102,26,82,108
Polk,4,President,,Hillary Clinton,DEM,171,17,115,132,3,36,39
Polk,5,President,,Hillary Clinton,DEM,280,22,182,204,2,74,76
Polk,6,President,,Hillary Clinton,DEM,405,33,308,341,5,59,64
Polk,7,President,,Hillary Clinton,DEM,93,7,61,68,1,24,25
Polk,8,President,,Hillary Clinton,DEM,167,26,48,74,44,49,93
Polk,9,President,,Hillary Clinton,DEM,97,7,30,37,10,50,60
Polk,10,President,,Hillary Clinton,DEM,379,55,156,211,34,134,168
Polk,11,President,,Hillary Clinton,DEM,56,5,26,31,14,11,25
Polk,12,President,,Hillary Clinton,DEM,61,1,3,4,31,26,57
Polk,13,President,,Hillary Clinton,DEM,22,1,10,11,2,9,11
Polk,14,President,,Hillary Clinton,DEM,80,5,20,25,19,36,55
Polk,15,President,,Hillary Clinton,DEM,52,6,30,36,1,15,16
Polk,16,President,,Hillary Clinton,DEM,329,48,179,227,24,78,102
Polk,17,President,,Hillary Clinton,DEM,104,4,64,68,6,30,36
Polk,18,President,,Hillary Clinton,DEM,203,21,84,105,70,28,98
Polk,19,President,,Hillary Clinton,DEM,654,517,82,599,31,24,55
Polk,20,President,,Hillary Clinton,DEM,642,531,74,605,12,25,37
Polk,21,President,,Hillary Clinton,DEM,125,6,68,74,1,50,51
Polk,1,President,,Gary Johnson,LIB,1,0,0,0,1,0,1
Polk,2,President,,Gary Johnson,LIB,3,0,3,3,0,0,0
Polk,3,President,,Gary Johnson,LIB,15,2,4,6,0,9,9
Polk,4,President,,Gary Johnson,LIB,17,0,7,7,0,10,10
Polk,5,President,,Gary Johnson,LIB,25,2,12,14,0,11,11
Polk,6,President,,Gary Johnson,LIB,36,0,21,21,1,14,15
Polk,7,President,,Gary Johnson,LIB,14,0,10,10,1,3,4
Polk,8,President,,Gary Johnson,LIB,8,2,5,7,0,1,1
Polk,9,President,,Gary Johnson,LIB,5,0,3,3,0,2,2
Polk,10,President,,Gary Johnson,LIB,8,1,4,5,1,2,3
Polk,11,President,,Gary Johnson,LIB,3,0,2,2,1,0,1
Polk,12,President,,Gary Johnson,LIB,7,0,2,2,1,4,5
Polk,13,President,,Gary Johnson,LIB,7,0,1,1,0,6,6
Polk,14,President,,Gary Johnson,LIB,16,2,3,5,7,4,11
Polk,15,President,,Gary Johnson,LIB,6,0,4,4,0,2,2
Polk,16,President,,Gary Johnson,LIB,47,2,30,32,3,12,15
Polk,17,President,,Gary Johnson,LIB,12,1,9,10,0,2,2
Polk,18,President,,Gary Johnson,LIB,7,0,2,2,3,2,5
Polk,19,President,,Gary Johnson,LIB,55,40,6,46,4,5,9
Polk,20,President,,Gary Johnson,LIB,64,48,5,53,3,8,11
Polk,21,President,,Gary Johnson,LIB,11,1,6,7,0,4,4
Polk,1,President,,Jill Stein,GRN,0,0,0,0,0,0,0
Polk,2,President,,Jill Stein,GRN,0,0,0,0,0,0,0
Polk,3,President,,Jill Stein,GRN,9,0,3,3,2,4,6
Polk,4,President,,Jill Stein,GRN,4,0,2,2,0,2,2
Polk,5,President,,Jill Stein,GRN,3,1,1,2,0,1,1
Polk,6,President,,Jill Stein,GRN,7,0,3,3,0,4,4
Polk,7,President,,Jill Stein,GRN,5,1,2,3,0,2,2
Polk,8,President,,Jill Stein,GRN,3,1,1,2,0,1,1
Polk,9,President,,Jill Stein,GRN,1,0,1,1,0,0,0
Polk,10,President,,Jill Stein,GRN,3,0,3,3,0,0,0
Polk,11,President,,Jill Stein,GRN,1,0,1,1,0,0,0
Polk,12,President,,Jill Stein,GRN,2,0,0,0,0,2,2
Polk,13,President,,Jill Stein,GRN,1,0,1,1,0,0,0
Polk,14,President,,Jill Stein,GRN,3,0,0,0,2,1,3
Polk,15,President,,Jill Stein,GRN,4,1,0,1,0,3,3
Polk,16,President,,Jill Stein,GRN,12,2,5,7,2,3,5
Polk,17,President,,Jill Stein,GRN,1,0,1,1,0,0,0
Polk,18,President,,Jill Stein,GRN,2,0,2,2,0,0,0
Polk,19,President,,Jill Stein,GRN,9,7,0,7,2,0,2
Polk,20,President,,Jill Stein,GRN,13,7,4,11,2,0,2
Polk,21,President,,Jill Stein,GRN,3,0,1,1,0,2,2
Polk,1,President,,Write-In,,0,0,0,0,0,0,0
Polk,2,President,,Write-In,,0,0,0,0,0,0,0
Polk,3,President,,Write-In,,4,2,1,3,1,0,1
Polk,4,President,,Write-In,,4,0,3,3,0,1,1
Polk,5,President,,Write-In,,12,3,7,10,0,2,2
Polk,6,President,,Write-In,,11,1,6,7,2,2,4
Polk,7,President,,Write-In,,3,0,0,0,0,3,3
Polk,8,President,,Write-In,,2,0,1,1,1,0,1
Polk,9,President,,Write-In,,2,0,2,2,0,0,0
Polk,10,President,,Write-In,,2,1,0,1,0,1,1
Polk,11,President,,Write-In,,0,0,0,0,0,0,0
Polk,12,President,,Write-In,,3,0,0,0,0,3,3
Polk,13,President,,Write-In,,0,0,0,0,0,0,0
Polk,14,President,,Write-In,,6,1,1,2,1,3,4
Polk,15,President,,Write-In,,0,0,0,0,0,0,0
Polk,16,President,,Write-In,,17,0,10,10,1,6,7
Polk,17,President,,Write-In,,2,1,0,1,0,1,1
Polk,18,President,,Write-In,,1,0,1,1,0,0,0
Polk,19,President,,Write-In,,21,17,2,19,1,1,2
Polk,20,President,,Write-In,,21,17,3,20,1,0,1
Polk,21,President,,Write-In,,5,1,4,5,0,0,0
Polk,1,President,,Over Votes,,0,0,0,0,0,0,0
Polk,2,President,,Over Votes,,0,0,0,0,0,0,0
Polk,3,President,,Over Votes,,0,0,0,0,0,0,0
Polk,4,President,,Over Votes,,0,0,0,0,0,0,0
Polk,5,President,,Over Votes,,0,0,0,0,0,0,0
Polk,6,President,,Over Votes,,0,0,0,0,0,0,0
Polk,7,President,,Over Votes,,0,0,0,0,0,0,0
Polk,8,President,,Over Votes,,0,0,0,0,0,0,0
Polk,9,President,,Over Votes,,0,0,0,0,0,0,0
Polk,10,President,,Over Votes,,0,0,0,0,0,0,0
Polk,11,President,,Over Votes,,0,0,0,0,0,0,0
Polk,12,President,,Over Votes,,0,0,0,0,0,0,0
Polk,13,President,,Over Votes,,0,0,0,0,0,0,0
Polk,14,President,,Over Votes,,0,0,0,0,0,0,0
Polk,15,President,,Over Votes,,0,0,0,0,0,0,0
Polk,16,President,,Over Votes,,0,0,0,0,0,0,0
Polk,17,President,,Over Votes,,0,0,0,0,0,0,0
Polk,18,President,,Over Votes,,0,0,0,0,0,0,0
Polk,19,President,,Over Votes,,0,0,0,0,0,0,0
Polk,20,President,,Over Votes,,0,0,0,0,0,0,0
Polk,21,President,,Over Votes,,0,0,0,0,0,0,0
Polk,1,President,,Under Votes,,1,0,0,0,1,0,1
Polk,2,President,,Under Votes,,4,0,2,2,0,2,2
Polk,3,President,,Under Votes,,4,1,0,1,0,3,3
Polk,4,President,,Under Votes,,2,0,2,2,0,0,0
Polk,5,President,,Under Votes,,4,0,0,0,0,4,4
Polk,6,President,,Under Votes,,12,0,11,11,0,1,1
Polk,7,President,,Under Votes,,4,1,2,3,0,1,1
Polk,8,President,,Under Votes,,3,1,2,3,0,0,0
Polk,9,President,,Under Votes,,1,0,0,0,0,1,1
Polk,10,President,,Under Votes,,8,1,2,3,4,1,5
Polk,11,President,,Under Votes,,0,0,0,0,0,0,0
Polk,12,President,,Under Votes,,0,0,0,0,0,0,0
Polk,13,President,,Under Votes,,0,0,0,0,0,0,0
Polk,14,President,,Under Votes,,5,0,0,0,2,3,5
Polk,15,President,,Under Votes,,1,0,1,1,0,0,0
Polk,16,President,,Under Votes,,14,1,12,13,1,0,1
Polk,17,President,,Under Votes,,2,1,0,1,0,1,1
Polk,18,President,,Under Votes,,2,0,1,1,0,1,1
Polk,19,President,,Under Votes,,11,7,3,10,0,1,1
Polk,20,President,,Under Votes,,8,5,3,8,0,0,0
Polk,21,President,,Under Votes,,6,0,5,5,0,1,1
Polk,1,U.S. House,36,Brian Babin,REP,181,78,9,87,88,6,94
Polk,2,U.S. House,36,Brian Babin,REP,237,16,101,117,29,91,120
Polk,3,U.S. House,36,Brian Babin,REP,724,50,394,444,49,231,280
Polk,4,U.S. House,36,Brian Babin,REP,697,49,491,540,7,150,157
Polk,5,U.S. House,36,Brian Babin,REP,1257,116,833,949,11,297,308
Polk,6,U.S. House,36,Brian Babin,REP,2169,116,1680,1796,15,358,373
Polk,7,U.S. House,36,Brian Babin,REP,311,33,214,247,4,60,64
Polk,8,U.S. House,36,Brian Babin,REP,386,36,202,238,43,105,148
Polk,9,U.S. House,36,Brian Babin,REP,337,29,194,223,14,100,114
Polk,10,U.S. House,36,Brian Babin,REP,818,125,465,590,47,181,228
Polk,11,U.S. House,36,Brian Babin,REP,160,9,89,98,28,34,62
Polk,12,U.S. House,36,Brian Babin,REP,76,1,6,7,38,31,69
Polk,13,U.S. House,36,Brian Babin,REP,235,19,69,88,25,122,147
Polk,14,U.S. House,36,Brian Babin,REP,441,43,152,195,127,119,246
Polk,15,U.S. House,36,Brian Babin,REP,524,29,283,312,16,196,212
Polk,16,U.S. House,36,Brian Babin,REP,2029,205,1347,1552,106,371,477
Polk,17,U.S. House,36,Brian Babin,REP,555,24,396,420,17,118,135
Polk,18,U.S. House,36,Brian Babin,REP,131,17,76,93,23,15,38
Polk,19,U.S. House,36,Brian Babin,REP,1756,1365,241,1606,55,95,150
Polk,20,U.S. House,36,Brian Babin,REP,1815,1317,289,1606,33,176,209
Polk,21,U.S. House,36,Brian Babin,REP,558,42,391,433,2,123,125
Polk,1,U.S. House,36,Hal J Ridley Jr,GRN,10,7,0,7,3,0,3
Polk,2,U.S. House,36,Hal J Ridley Jr,GRN,16,0,10,10,0,6,6
Polk,3,U.S. House,36,Hal J Ridley Jr,GRN,63,4,23,27,12,24,36
Polk,4,U.S. House,36,Hal J Ridley Jr,GRN,57,3,42,45,1,11,12
Polk,5,U.S. House,36,Hal J Ridley Jr,GRN,106,9,65,74,1,31,32
Polk,6,U.S. House,36,Hal J Ridley Jr,GRN,167,10,111,121,4,42,46
Polk,7,U.S. House,36,Hal J Ridley Jr,GRN,31,1,18,19,2,10,12
Polk,8,U.S. House,36,Hal J Ridley Jr,GRN,40,8,12,20,10,10,20
Polk,9,U.S. House,36,Hal J Ridley Jr,GRN,29,2,7,9,9,11,20
Polk,10,U.S. House,36,Hal J Ridley Jr,GRN,69,8,32,40,5,24,29
Polk,11,U.S. House,36,Hal J Ridley Jr,GRN,12,1,6,7,1,4,5
Polk,12,U.S. House,36,Hal J Ridley Jr,GRN,17,0,1,1,7,9,16
Polk,13,U.S. House,36,Hal J Ridley Jr,GRN,9,1,5,6,0,3,3
Polk,14,U.S. House,36,Hal J Ridley Jr,GRN,44,3,12,15,11,18,29
Polk,15,U.S. House,36,Hal J Ridley Jr,GRN,31,3,15,18,0,13,13
Polk,16,U.S. House,36,Hal J Ridley Jr,GRN,157,20,90,110,12,35,47
Polk,17,U.S. House,36,Hal J Ridley Jr,GRN,36,3,22,25,2,9,11
Polk,18,U.S. House,36,Hal J Ridley Jr,GRN,50,6,14,20,18,12,30
Polk,19,U.S. House,36,Hal J Ridley Jr,GRN,291,236,27,263,15,13,28
Polk,20,U.S. House,36,Hal J Ridley Jr,GRN,315,260,33,293,9,13,22
Polk,21,U.S. House,36,Hal J Ridley Jr,GRN,42,2,25,27,1,14,15
Polk,1,U.S. House,36,Over Votes,,0,0,0,0,0,0,0
Polk,2,U.S. House,36,Over Votes,,0,0,0,0,0,0,0
Polk,3,U.S. House,36,Over Votes,,0,0,0,0,0,0,0
Polk,4,U.S. House,36,Over Votes,,0,0,0,0,0,0,0
Polk,5,U.S. House,36,Over Votes,,0,0,0,0,0,0,0
Polk,6,U.S. House,36,Over Votes,,0,0,0,0,0,0,0
Polk,7,U.S. House,36,Over Votes,,0,0,0,0,0,0,0
Polk,8,U.S. House,36,Over Votes,,0,0,0,0,0,0,0
Polk,9,U.S. House,36,Over Votes,,0,0,0,0,0,0,0
Polk,10,U.S. House,36,Over Votes,,0,0,0,0,0,0,0
Polk,11,U.S. House,36,Over Votes,,0,0,0,0,0,0,0
Polk,12,U.S. House,36,Over Votes,,0,0,0,0,0,0,0
Polk,13,U.S. House,36,Over Votes,,0,0,0,0,0,0,0
Polk,14,U.S. House,36,Over Votes,,0,0,0,0,0,0,0
Polk,15,U.S. House,36,Over Votes,,0,0,0,0,0,0,0
Polk,16,U.S. House,36,Over Votes,,0,0,0,0,0,0,0
Polk,17,U.S. House,36,Over Votes,,0,0,0,0,0,0,0
Polk,18,U.S. House,36,Over Votes,,0,0,0,0,0,0,0
Polk,19,U.S. House,36,Over Votes,,0,0,0,0,0,0,0
Polk,20,U.S. House,36,Over Votes,,0,0,0,0,0,0,0
Polk,21,U.S. House,36,Over Votes,,0,0,0,0,0,0,0
Polk,1,U.S. House,36,Under Votes,,18,3,3,6,12,0,12
Polk,2,U.S. House,36,Under Votes,,30,0,8,8,8,14,22
Polk,3,U.S. House,36,Under Votes,,156,6,75,81,14,61,75
Polk,4,U.S. House,36,Under Votes,,120,10,76,86,2,32,34
Polk,5,U.S. House,36,Under Votes,,192,10,129,139,0,53,53
Polk,6,U.S. House,36,Under Votes,,305,18,229,247,3,55,58
Polk,7,U.S. House,36,Under Votes,,62,3,42,45,1,16,17
Polk,8,U.S. House,36,Under Votes,,131,22,39,61,33,37,70
Polk,9,U.S. House,36,Under Votes,,82,5,26,31,5,46,51
Polk,10,U.S. House,36,Under Votes,,305,43,127,170,30,105,135
Polk,11,U.S. House,36,Under Votes,,35,4,15,19,11,5,16
Polk,12,U.S. House,36,Under Votes,,15,0,0,0,6,9,15
Polk,13,U.S. House,36,Under Votes,,24,0,6,6,2,16,18
Polk,14,U.S. House,36,Under Votes,,51,5,11,16,14,21,35
Polk,15,U.S. House,36,Under Votes,,53,5,32,37,0,16,16
Polk,16,U.S. House,36,Under Votes,,221,32,118,150,17,54,71
Polk,17,U.S. House,36,Under Votes,,86,4,48,52,6,28,34
Polk,18,U.S. House,36,Under Votes,,144,11,66,77,50,17,67
Polk,19,U.S. House,36,Under Votes,,431,349,59,408,8,15,23
Polk,20,U.S. House,36,Under Votes,,431,355,53,408,0,23,23
Polk,21,U.S. House,36,Under Votes,,99,5,48,53,0,46,46
Polk,1,Railroad Commissioner,,Wayne Christian,REP,154,70,7,77,73,4,77
Polk,2,Railroad Commissioner,,Wayne Christian,REP,214,14,94,108,27,79,106
Polk,3,Railroad Commissioner,,Wayne Christian,REP,641,41,360,401,37,203,240
Polk,4,Railroad Commissioner,,Wayne Christian,REP,633,44,448,492,4,137,141
Polk,5,Railroad Commissioner,,Wayne Christian,REP,1149,106,775,881,9,259,268
Polk,6,Railroad Commissioner,,Wayne Christian,REP,2005,105,1561,1666,10,329,339
Polk,7,Railroad Commissioner,,Wayne Christian,REP,269,30,182,212,5,52,57
Polk,8,Railroad Commissioner,,Wayne Christian,REP,333,30,180,210,35,88,123
Polk,9,Railroad Commissioner,,Wayne Christian,REP,317,26,184,210,14,93,107
Polk,10,Railroad Commissioner,,Wayne Christian,REP,742,111,434,545,40,157,197
Polk,11,Railroad Commissioner,,Wayne Christian,REP,145,9,81,90,24,31,55
Polk,12,Railroad Commissioner,,Wayne Christian,REP,26,0,2,2,14,10,24
Polk,13,Railroad Commissioner,,Wayne Christian,REP,207,14,65,79,22,106,128
Polk,14,Railroad Commissioner,,Wayne Christian,REP,382,42,141,183,108,91,199
