candidate,office,district,party,county,precinct,votes,early_voting,election_day
Christi Craddick,Railroad Commissioner,,REP,Sabine,Precinct 1,926,713,213
Roman McAllen,Railroad Commissioner,,DEM,Sabine,Precinct 1,91,61,30
Mike Wright,Railroad Commissioner,,LIB,Sabine,Precinct 1,20,14,6
Robert Nichols,State Senate,3,REP,Sabine,Precinct 1,916,703,213
Shirley Layton,State Senate,3,DEM,Sabine,Precinct 1,98,66,32
Bruce Quarles,State Senate,3,LIB,Sabine,Precinct 1,9,6,3
Chris Paddie,State Representative,9,REP,Sabine,Precinct 1,928,705,223
,Registered Voters,,,Sabine,Precinct 2,1396,,
,Ballots Cast,,,Sabine,Precinct 2,848,612,236
,Straight Party,,REP,Sabine,Precinct 2,545,400,145
,Straight Party,,DEM,Sabine,Precinct 2,39,24,15
,Straight Party,,LIB,Sabine,Precinct 2,2,1,1
Ted Cruz,U.S. Senate,,REP,Sabine,Precinct 2,755,554,201
Beto O'Rourke,U.S. Senate,,DEM,Sabine,Precinct 2,83,53,30
Neal M Dikeman,U.S. Senate,,LIB,Sabine,Precinct 2,6,4,2
Louie Gohmert,U.S. House,1,REP,Sabine,Precinct 2,758,558,200
Shirley J. McKellar ,U.S. House,1,DEM,Sabine,Precinct 2,81,52,29
Jeff Callaway ,U.S. House,1,LIB,Sabine,Precinct 2,5,2,3
Greg Abbott,Governor,,REP,Sabine,Precinct 2,762,556,206
Lupe Valdez,Governor,,DEM,Sabine,Precinct 2,77,50,27
Mark Jay Tippetts,Governor,,LIB,Sabine,Precinct 2,7,5,2
Dan Patrick,Lieutenant Governor,,REP,Sabine,Precinct 2,746,549,197
Mike Collier,Lieutenant Governor,,DEM,Sabine,Precinct 2,93,61,32
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Sabine,Precinct 2,8,2,6
Ken Paxton,Attorney General,,REP,Sabine,Precinct 2,741,548,193
Justin Nelson,Attorney General,,DEM,Sabine,Precinct 2,97,61,36
Michael Ray Harris,Attorney General,,LIB,Sabine,Precinct 2,7,2,5
Glenn Hegar,Comptroller of Public Accounts,,REP,Sabine,Precinct 2,746,551,195
Joi Chevalier,Comptroller of Public Accounts,,DEM,Sabine,Precinct 2,81,48,33
Ben Sanders,Comptroller of Public Accounts,,LIB,Sabine,Precinct 2,12,8,4
George P. Bush,Commissioner of the General Land Office,,REP,Sabine,Precinct 2,720,530,190
Miguel Suazo,Commissioner of the General Land Office,,DEM,Sabine,Precinct 2,80,51,29
Matt Pina,Commissioner of the General Land Office,,LIB,Sabine,Precinct 2,30,17,13
Christi Craddick,Railroad Commissioner,,REP,Sabine,Precinct 2,747,551,196
Roman McAllen,Railroad Commissioner,,DEM,Sabine,Precinct 2,83,53,30
Mike Wright,Railroad Commissioner,,LIB,Sabine,Precinct 2,11,4,7
Robert Nichols,State Senate,3,REP,Sabine,Precinct 2,751,553,198
Shirley Layton,State Senate,3,DEM,Sabine,Precinct 2,84,51,33
Bruce Quarles,State Senate,3,LIB,Sabine,Precinct 2,6,4,2
Chris Paddie,State Representative,9,REP,Sabine,Precinct 2,751,554,197
,Registered Voters,,,Sabine,Precinct 3,611,,
,Ballots Cast,,,Sabine,Precinct 3,230,96,134
,Straight Party,,REP,Sabine,Precinct 3,104,54,50
,Straight Party,,DEM,Sabine,Precinct 3,58,18,40
,Straight Party,,LIB,Sabine,Precinct 3,3,1,2
Ted Cruz,U.S. Senate,,REP,Sabine,Precinct 3,155,72,83
Beto O'Rourke,U.S. Senate,,DEM,Sabine,Precinct 3,72,23,49
Neal M Dikeman,U.S. Senate,,LIB,Sabine,Precinct 3,2,1,1
Louie Gohmert,U.S. House,1,REP,Sabine,Precinct 3,153,71,82
Shirley J. McKellar ,U.S. House,1,DEM,Sabine,Precinct 3,71,23,48
Jeff Callaway ,U.S. House,1,LIB,Sabine,Precinct 3,5,2,3
Greg Abbott,Governor,,REP,Sabine,Precinct 3,156,72,84
Lupe Valdez,Governor,,DEM,Sabine,Precinct 3,69,23,46
Mark Jay Tippetts,Governor,,LIB,Sabine,Precinct 3,4,1,3
Dan Patrick,Lieutenant Governor,,REP,Sabine,Precinct 3,145,69,76
Mike Collier,Lieutenant Governor,,DEM,Sabine,Precinct 3,80,26,54
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Sabine,Precinct 3,4,1,3
Ken Paxton,Attorney General,,REP,Sabine,Precinct 3,152,70,82
Justin Nelson,Attorney General,,DEM,Sabine,Precinct 3,73,24,49
Michael Ray Harris,Attorney General,,LIB,Sabine,Precinct 3,5,2,3
Glenn Hegar,Comptroller of Public Accounts,,REP,Sabine,Precinct 3,150,70,80
Joi Chevalier,Comptroller of Public Accounts,,DEM,Sabine,Precinct 3,70,23,47
Ben Sanders,Comptroller of Public Accounts,,LIB,Sabine,Precinct 3,7,2,5
George P. Bush,Commissioner of the General Land Office,,REP,Sabine,Precinct 3,147,68,79
Miguel Suazo,Commissioner of the General Land Office,,DEM,Sabine,Precinct 3,71,24,47
Matt Pina,Commissioner of the General Land Office,,LIB,Sabine,Precinct 3,7,2,5
Christi Craddick,Railroad Commissioner,,REP,Sabine,Precinct 3,146,67,79
Roman McAllen,Railroad Commissioner,,DEM,Sabine,Precinct 3,68,24,44
Mike Wright,Railroad Commissioner,,LIB,Sabine,Precinct 3,11,5,6
Robert Nichols,State Senate,3,REP,Sabine,Precinct 3,152,70,82
Shirley Layton,State Senate,3,DEM,Sabine,Precinct 3,74,25,49
Bruce Quarles,State Senate,3,LIB,Sabine,Precinct 3,4,1,3
Chris Paddie,State Representative,9,REP,Sabine,Precinct 3,164,74,90
,Registered Voters,,,Sabine,Precinct 4,246,,
,Ballots Cast,,,Sabine,Precinct 4,146,57,89
,Straight Party,,REP,Sabine,Precinct 4,100,43,57
,Straight Party,,DEM,Sabine,Precinct 4,5,1,4
,Straight Party,,LIB,Sabine,Precinct 4,0,0,0
Ted Cruz,U.S. Senate,,REP,Sabine,Precinct 4,137,52,85
Beto O'Rourke,U.S. Senate,,DEM,Sabine,Precinct 4,7,4,3
Neal M Dikeman,U.S. Senate,,LIB,Sabine,Precinct 4,0,0,0
Louie Gohmert,U.S. House,1,REP,Sabine,Precinct 4,137,53,84
Shirley J. McKellar ,U.S. House,1,DEM,Sabine,Precinct 4,8,4,4
Jeff Callaway ,U.S. House,1,LIB,Sabine,Precinct 4,1,0,1
Greg Abbott,Governor,,REP,Sabine,Precinct 4,139,54,85
Lupe Valdez,Governor,,DEM,Sabine,Precinct 4,6,3,3
Mark Jay Tippetts,Governor,,LIB,Sabine,Precinct 4,1,0,1
Dan Patrick,Lieutenant Governor,,REP,Sabine,Precinct 4,137,53,84
Mike Collier,Lieutenant Governor,,DEM,Sabine,Precinct 4,6,2,4
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Sabine,Precinct 4,2,2,0
Ken Paxton,Attorney General,,REP,Sabine,Precinct 4,137,53,84
Justin Nelson,Attorney General,,DEM,Sabine,Precinct 4,8,4,4
Michael Ray Harris,Attorney General,,LIB,Sabine,Precinct 4,1,0,1
Glenn Hegar,Comptroller of Public Accounts,,REP,Sabine,Precinct 4,137,53,84
Joi Chevalier,Comptroller of Public Accounts,,DEM,Sabine,Precinct 4,8,4,4
Ben Sanders,Comptroller of Public Accounts,,LIB,Sabine,Precinct 4,1,0,1
George P. Bush,Commissioner of the General Land Office,,REP,Sabine,Precinct 4,135,53,82
Miguel Suazo,Commissioner of the General Land Office,,DEM,Sabine,Precinct 4,8,4,4
Matt Pina,Commissioner of the General Land Office,,LIB,Sabine,Precinct 4,1,0,1
Christi Craddick,Railroad Commissioner,,REP,Sabine,Precinct 4,136,54,82
Roman McAllen,Railroad Commissioner,,DEM,Sabine,Precinct 4,8,3,5
Mike Wright,Railroad Commissioner,,LIB,Sabine,Precinct 4,1,0,1
Robert Nichols,State Senate,3,REP,Sabine,Precinct 4,135,52,83
Shirley Layton,State Senate,3,DEM,Sabine,Precinct 4,7,3,4
Bruce Quarles,State Senate,3,LIB,Sabine,Precinct 4,0,0,0
Chris Paddie,State Representative,9,REP,Sabine,Precinct 4,131,51,80
,Registered Voters,,,Sabine,Precinct 5,1305,,
,Ballots Cast,,,Sabine,Precinct 5,534,299,235
,Straight Party,,REP,Sabine,Precinct 5,344,196,148
,Straight Party,,DEM,Sabine,Precinct 5,20,16,4
,Straight Party,,LIB,Sabine,Precinct 5,1,0,1
Ted Cruz,U.S. Senate,,REP,Sabine,Precinct 5,488,268,220
Beto O'Rourke,U.S. Senate,,DEM,Sabine,Precinct 5,43,31,12
Neal M Dikeman,U.S. Senate,,LIB,Sabine,Precinct 5,2,0,2
Louie Gohmert,U.S. House,1,REP,Sabine,Precinct 5,486,268,218
Shirley J. McKellar ,U.S. House,1,DEM,Sabine,Precinct 5,45,31,14
Jeff Callaway ,U.S. House,1,LIB,Sabine,Precinct 5,1,0,1
Greg Abbott,Governor,,REP,Sabine,Precinct 5,490,267,223
Lupe Valdez,Governor,,DEM,Sabine,Precinct 5,40,31,9
Mark Jay Tippetts,Governor,,LIB,Sabine,Precinct 5,1,0,1
Dan Patrick,Lieutenant Governor,,REP,Sabine,Precinct 5,473,257,216
Mike Collier,Lieutenant Governor,,DEM,Sabine,Precinct 5,58,41,17
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Sabine,Precinct 5,1,0,1
Ken Paxton,Attorney General,,REP,Sabine,Precinct 5,477,259,218
Justin Nelson,Attorney General,,DEM,Sabine,Precinct 5,49,37,12
Michael Ray Harris,Attorney General,,LIB,Sabine,Precinct 5,5,2,3
Glenn Hegar,Comptroller of Public Accounts,,REP,Sabine,Precinct 5,477,263,214
Joi Chevalier,Comptroller of Public Accounts,,DEM,Sabine,Precinct 5,42,31,11
Ben Sanders,Comptroller of Public Accounts,,LIB,Sabine,Precinct 5,8,2,6
George P. Bush,Commissioner of the General Land Office,,REP,Sabine,Precinct 5,477,259,218
Miguel Suazo,Commissioner of the General Land Office,,DEM,Sabine,Precinct 5,42,33,9
Matt Pina,Commissioner of the General Land Office,,LIB,Sabine,Precinct 5,9,4,5
Christi Craddick,Railroad Commissioner,,REP,Sabine,Precinct 5,484,264,220
Roman McAllen,Railroad Commissioner,,DEM,Sabine,Precinct 5,40,31,9
Mike Wright,Railroad Commissioner,,LIB,Sabine,Precinct 5,7,3,4
Robert Nichols,State Senate,3,REP,Sabine,Precinct 5,482,262,220
Shirley Layton,State Senate,3,DEM,Sabine,Precinct 5,45,35,10
Bruce Quarles,State Senate,3,LIB,Sabine,Precinct 5,3,0,3
Chris Paddie,State Representative,9,REP,Sabine,Precinct 5,492,270,222
,Registered Voters,,,Sabine,Precinct 6,1758,,
,Ballots Cast,,,Sabine,Precinct 6,913,597,316
,Straight Party,,REP,Sabine,Precinct 6,561,378,183
,Straight Party,,DEM,Sabine,Precinct 6,76,48,28
,Straight Party,,LIB,Sabine,Precinct 6,2,1,1
Ted Cruz,U.S. Senate,,REP,Sabine,Precinct 6,789,520,269
Beto O'Rourke,U.S. Senate,,DEM,Sabine,Precinct 6,119,75,44
Neal M Dikeman,U.S. Senate,,LIB,Sabine,Precinct 6,1,0,1
Louie Gohmert,U.S. House,1,REP,Sabine,Precinct 6,778,515,263
Shirley J. McKellar ,U.S. House,1,DEM,Sabine,Precinct 6,121,76,45
Jeff Callaway ,U.S. House,1,LIB,Sabine,Precinct 6,4,1,3
Greg Abbott,Governor,,REP,Sabine,Precinct 6,799,526,273
Lupe Valdez,Governor,,DEM,Sabine,Precinct 6,108,68,40
Mark Jay Tippetts,Governor,,LIB,Sabine,Precinct 6,3,2,1
Dan Patrick,Lieutenant Governor,,REP,Sabine,Precinct 6,782,516,266
Mike Collier,Lieutenant Governor,,DEM,Sabine,Precinct 6,117,72,45
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Sabine,Precinct 6,5,3,2
Ken Paxton,Attorney General,,REP,Sabine,Precinct 6,774,514,260
Justin Nelson,Attorney General,,DEM,Sabine,Precinct 6,118,71,47
Michael Ray Harris,Attorney General,,LIB,Sabine,Precinct 6,7,2,5
Glenn Hegar,Comptroller of Public Accounts,,REP,Sabine,Precinct 6,774,512,262
Joi Chevalier,Comptroller of Public Accounts,,DEM,Sabine,Precinct 6,112,69,43
Ben Sanders,Comptroller of Public Accounts,,LIB,Sabine,Precinct 6,10,4,6
George P. Bush,Commissioner of the General Land Office,,REP,Sabine,Precinct 6,755,506,249
Miguel Suazo,Commissioner of the General Land Office,,DEM,Sabine,Precinct 6,117,70,47
Matt Pina,Commissioner of the General Land Office,,LIB,Sabine,Precinct 6,28,14,14
Christi Craddick,Railroad Commissioner,,REP,Sabine,Precinct 6,768,508,260
Roman McAllen,Railroad Commissioner,,DEM,Sabine,Precinct 6,111,66,45
Mike Wright,Railroad Commissioner,,LIB,Sabine,Precinct 6,18,13,5
Robert Nichols,State Senate,3,REP,Sabine,Precinct 6,772,512,260
Shirley Layton,State Senate,3,DEM,Sabine,Precinct 6,119,71,48
Bruce Quarles,State Senate,3,LIB,Sabine,Precinct 6,4,0,4
Chris Paddie,State Representative,9,REP,Sabine,Precinct 6,802,522,280
,Registered Voters,,,Sabine,Precinct 7,217,,
,Ballots Cast,,,Sabine,Precinct 7,95,42,53
,Straight Party,,REP,Sabine,Precinct 7,28,15,13
,Straight Party,,DEM,Sabine,Precinct 7,33,6,27
,Straight Party,,LIB,Sabine,Precinct 7,0,0,0
Ted Cruz,U.S. Senate,,REP,Sabine,Precinct 7,43,26,17
Beto O'Rourke,U.S. Senate,,DEM,Sabine,Precinct 7,50,14,36
Neal M Dikeman,U.S. Senate,,LIB,Sabine,Precinct 7,1,1,0
Louie Gohmert,U.S. House,1,REP,Sabine,Precinct 7,45,28,17
Shirley J. McKellar ,U.S. House,1,DEM,Sabine,Precinct 7,49,13,36
Jeff Callaway ,U.S. House,1,LIB,Sabine,Precinct 7,0,0,0
Greg Abbott,Governor,,REP,Sabine,Precinct 7,45,27,18
Lupe Valdez,Governor,,DEM,Sabine,Precinct 7,49,14,35
Mark Jay Tippetts,Governor,,LIB,Sabine,Precinct 7,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Sabine,Precinct 7,43,25,18
Mike Collier,Lieutenant Governor,,DEM,Sabine,Precinct 7,48,14,34
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Sabine,Precinct 7,2,2,0
Ken Paxton,Attorney General,,REP,Sabine,Precinct 7,43,26,17
Justin Nelson,Attorney General,,DEM,Sabine,Precinct 7,49,14,35
Michael Ray Harris,Attorney General,,LIB,Sabine,Precinct 7,1,1,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Sabine,Precinct 7,42,25,17
Joi Chevalier,Comptroller of Public Accounts,,DEM,Sabine,Precinct 7,48,13,35
Ben Sanders,Comptroller of Public Accounts,,LIB,Sabine,Precinct 7,3,2,1
George P. Bush,Commissioner of the General Land Office,,REP,Sabine,Precinct 7,42,24,18
Miguel Suazo,Commissioner of the General Land Office,,DEM,Sabine,Precinct 7,46,13,33
Matt Pina,Commissioner of the General Land Office,,LIB,Sabine,Precinct 7,4,3,1
Christi Craddick,Railroad Commissioner,,REP,Sabine,Precinct 7,43,26,17
Roman McAllen,Railroad Commissioner,,DEM,Sabine,Precinct 7,49,13,36
Mike Wright,Railroad Commissioner,,LIB,Sabine,Precinct 7,1,1,0
Robert Nichols,State Senate,3,REP,Sabine,Precinct 7,43,25,18
Shirley Layton,State Senate,3,DEM,Sabine,Precinct 7,48,13,35
Bruce Quarles,State Senate,3,LIB,Sabine,Precinct 7,0,0,0
Chris Paddie,State Representative,9,REP,Sabine,Precinct 7,57,29,28
,Registered Voters,,,Sabine,Precinct 8,333,,
,Ballots Cast,,,Sabine,Precinct 8,164,64,100
,Straight Party,,REP,Sabine,Precinct 8,89,39,50
,Straight Party,,DEM,Sabine,Precinct 8,11,6,5
,Straight Party,,LIB,Sabine,Precinct 8,0,0,0
Ted Cruz,U.S. Senate,,REP,Sabine,Precinct 8,146,56,90
Beto O'Rourke,U.S. Senate,,DEM,Sabine,Precinct 8,18,8,10
Neal M Dikeman,U.S. Senate,,LIB,Sabine,Precinct 8,0,0,0
Louie Gohmert,U.S. House,1,REP,Sabine,Precinct 8,146,56,90
Shirley J. McKellar ,U.S. House,1,DEM,Sabine,Precinct 8,16,8,8
Jeff Callaway ,U.S. House,1,LIB,Sabine,Precinct 8,1,0,1
Greg Abbott,Governor,,REP,Sabine,Precinct 8,146,57,89
Lupe Valdez,Governor,,DEM,Sabine,Precinct 8,18,7,11
Mark Jay Tippetts,Governor,,LIB,Sabine,Precinct 8,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Sabine,Precinct 8,135,52,83
Mike Collier,Lieutenant Governor,,DEM,Sabine,Precinct 8,28,11,17
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Sabine,Precinct 8,1,1,0
Ken Paxton,Attorney General,,REP,Sabine,Precinct 8,144,57,87
Justin Nelson,Attorney General,,DEM,Sabine,Precinct 8,18,7,11
Michael Ray Harris,Attorney General,,LIB,Sabine,Precinct 8,1,0,1
Glenn Hegar,Comptroller of Public Accounts,,REP,Sabine,Precinct 8,146,57,89
Joi Chevalier,Comptroller of Public Accounts,,DEM,Sabine,Precinct 8,16,7,9
Ben Sanders,Comptroller of Public Accounts,,LIB,Sabine,Precinct 8,0,0,0
George P. Bush,Commissioner of the General Land Office,,REP,Sabine,Precinct 8,138,51,87
Miguel Suazo,Commissioner of the General Land Office,,DEM,Sabine,Precinct 8,19,8,11
Matt Pina,Commissioner of the General Land Office,,LIB,Sabine,Precinct 8,6,5,1
Christi Craddick,Railroad Commissioner,,REP,Sabine,Precinct 8,144,56,88
Roman McAllen,Railroad Commissioner,,DEM,Sabine,Precinct 8,17,7,10
Mike Wright,Railroad Commissioner,,LIB,Sabine,Precinct 8,2,1,1
Robert Nichols,State Senate,3,REP,Sabine,Precinct 8,144,57,87
Shirley Layton,State Senate,3,DEM,Sabine,Precinct 8,17,7,10
Bruce Quarles,State Senate,3,LIB,Sabine,Precinct 8,1,0,1
Chris Paddie,State Representative,9,REP,Sabine,Precinct 8,149,57,92
