county,precinct,office,district,party,candidate,votes,election_day,early_voting
Lipscomb,,Proposition 5,,,NO,36,23,9
Lipscomb,,Proposition 6,,,YES,66,51,10
Lipscomb,,Proposition 6,,,NO,7,6,1
Lipscomb,,Proposition 7,,,YES,54,43,8
Lipscomb,,Proposition 7,,,NO,17,12,3
Lipscomb,,Proposition 8,,,YES,69,54,10
Lipscomb,,Proposition 8,,,NO,2,1,1
Lipscomb,,Proposition 9,,,YES,69,55,10
Lipscomb,,Proposition 9,,,NO,5,3,1
Lipscomb,,Proposition 10,,,YES,63,52,7
Lipscomb,,Proposition 10,,,NO,9,4,4
Lipscomb,,Proposition 11,,,YES,60,47,9
Lipscomb,,Proposition 11,,,NO,11,8,2
Lipscomb,,U.S. Senate,,REP,"Bruce Jacobson, Jr.",20,18,0
Lipscomb,,U.S. Senate,,REP,Over Votes,0,0,0
Lipscomb,,U.S. Senate,,REP,Under Votes,0,0,0
Lipscomb,,Registered Voters,,REP,,740,,
Lipscomb,,Ballots Cast,,REP,,150,3,6
Lipscomb,,U.S. Senate,,REP,Geraldine Sam,3,3,0
Lipscomb,,U.S. Senate,,REP,Ted Cruz,113,106,6
Lipscomb,,U.S. Senate,,REP,Stefano de Stefano,4,4,0
Lipscomb,,U.S. Senate,,REP,Mary Miller,2,2,0
Lipscomb,,U.S. House,13,REP,Mac Thornberry,134,127,6
Lipscomb,,Governor,,REP,SECEDE Kilgore,7,6,0
Lipscomb,,Governor,,REP,Greg Abbott,121,113,6
Lipscomb,,Governor,,REP,Barbara Krueger,6,6,0
Lipscomb,,Lieutenant Governor,,REP,Scott Milder,83,80,3
Lipscomb,,Lieutenant Governor,,REP,Dan Patrick,60,54,3
Lipscomb,,Attorney General,,REP,Ken Paxton,128,121,6
Lipscomb,,Comptroller of Public Accounts,,REP,Glenn Hegar,123,116,6
Lipscomb,,Commissioner of the General Land Office,,REP,Davey Edwards,14,12,0
Lipscomb,,Commissioner of the General Land Office,,REP,George P. Bush,87,81,6
Lipscomb,,Commissioner of the General Land Office,,REP,Jerry Patterson,29,29,0
Lipscomb,,Commissioner of the General Land Office,,REP,Rick Range,5,4,0
Lipscomb,,Commissioner of Agriculture,,REP,Sid Miller,77,73,3
Lipscomb,,Commissioner of Agriculture,,REP,Jim Hogan,24,22,1
Lipscomb,,Commissioner of Agriculture,,REP,Trey Blocker,23,22,0
Lipscomb,,Railroad Commissioner,,REP,Weston Martinez,46,45,0
Lipscomb,,Railroad Commissioner,,REP,Christi Craddick,80,74,4
Lipscomb,,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,111,104,6
Lipscomb,,"Justice, Supreme Court, Place 4",,REP,John Devine,112,105,6
Lipscomb,,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,107,100,6
Lipscomb,,"Presiding Judge, Court of Criminal Appeals",,REP,David Bridges,76,72,3
Lipscomb,,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,42,38,2
Lipscomb,,"Judge, Court of Criminal Appeals, Place 7",,REP,Barbara Parker Hervey,104,97,6
Lipscomb,,"Judge, Court of Criminal Appeals, Place 8",,REP,Dib Waldrip,28,27,0
Lipscomb,,"Judge, Court of Criminal Appeals, Place 8",,REP,Michelle Slaughter,50,47,1
Lipscomb,,"Judge, Court of Criminal Appeals, Place 8",,REP,Jay Brandon,36,34,2
Lipscomb,,State Senator,31,REP,Kel Seliger,102,95,6
Lipscomb,,State Senator,31,REP,Victor Leal,16,14,0
Lipscomb,,State Senator,31,REP,Mike Canon,28,28,0
Lipscomb,,State Representative,88,REP,Ken King,68,64,3
Lipscomb,,State Representative,88,REP,Richard Beyea,41,41,0
Lipscomb,,State Representative,88,REP,Jason Huddleston,38,33,3
Lipscomb,,"Justice, 7th Court of Appeals District, Place No. 2",,REP,Judy Parker,111,104,6
Lipscomb,,"Justice, 7th Court of Appeals District, Place No. 3",,REP,Pat Pirtle,106,99,6
Lipscomb,,"District Judge, 31st Judicial District",,REP,Steven R. Emmert,114,107,6
Lipscomb,,County Judge,,REP,Kevin Wynn,37,34,2
Lipscomb,,County Judge,,REP,Mickey Simpson,95,90,4
Lipscomb,,County Judge,,REP,Janice M. Albracht,8,8,0
Lipscomb,,County Judge,,REP,Andrew T. Copeland,7,6,0
Lipscomb,,District and County Clerk,,REP,Kim Blau,128,120,6
Lipscomb,,County Treasurer,,REP,Kimberly Long,130,122,6
Lipscomb,,"County Commissioner, Precinct No. 2",,REP,Merle L. Miller,126,118,6
Lipscomb,,Justice of the Peace,,REP,Nancy Shepherd,126,118,6
Lipscomb,,County Chairman,,REP,Diana Hoover,117,109,6
Lipscomb,,U.S. Senate,,DEM,Sema Hernandez,1,1,0
Lipscomb,,U.S. Senate,,DEM,Over Votes,0,0,0
Lipscomb,,U.S. Senate,,DEM,Under Votes,0,0,0
Lipscomb,,Registered Voters,,DEM,,740,,
Lipscomb,,Ballots Cast,,DEM,,150,0,6
Lipscomb,,U.S. Senate,,DEM,Beto O'Rourke,0,0,0
Lipscomb,,U.S. Senate,,DEM,Edward Kimbrough,1,0,0
Lipscomb,,U.S. House,13,DEM,Greg Sagan,2,1,0
Lipscomb,,Governor,,DEM,Joe Mumbach,0,0,0
Lipscomb,,Governor,,DEM,Tom Wakely,0,0,0
Lipscomb,,Governor,,DEM,Jeffrey Payne,2,1,0
Lipscomb,,Governor,,DEM,Andrew White,0,0,0
Lipscomb,,Governor,,DEM,Grady Yarbrough,0,0,0
Lipscomb,,Governor,,DEM,Lupe Valdez,0,0,0
Lipscomb,,Governor,,DEM,James Jolly Clark,0,0,0
Lipscomb,,Governor,,DEM,"Cedric Davis, Sr.",0,0,0
Lipscomb,,Governor,,DEM,Adrian Ocegueda,0,0,0
Lipscomb,,Lieutenant Governor,,DEM,Mike Collier,1,1,0
Lipscomb,,Lieutenant Governor,,DEM,Michael Cooper,1,0,0
