county,precinct,office,district,candidate,party,early_voting,election_day,mail,early_voting_paper,votes
El Paso,001-ANTHONY CITY HALL,RAILROAD COMMISSIONER,,CHRISTI CRADDICK,REP,111,107,0,16,234
El Paso,001-ANTHONY CITY HALL,RAILROAD COMMISSIONER,,ROMAN MCALLEN,DEM,245,305,2,25,577
El Paso,001-ANTHONY CITY HALL,RAILROAD COMMISSIONER,,MIKE WRIGHT,LIB,15,20,0,2,37
El Paso,001-ANTHONY CITY HALL,"JUSTICE, SUPREME COURT, PLACE 2",,JIMMY BLACKLOCK,REP,119,115,0,16,250
El Paso,001-ANTHONY CITY HALL,"JUSTICE, SUPREME COURT, PLACE 2",,STEVE KIRKLAND,DEM,252,319,2,27,600
El Paso,001-ANTHONY CITY HALL,"JUSTICE, SUPREME COURT, PLACE 4",,JOHN DEVINE,REP,118,116,0,16,250
El Paso,001-ANTHONY CITY HALL,"JUSTICE, SUPREME COURT, PLACE 4",,R K SANDILL,DEM,250,315,2,27,594
El Paso,001-ANTHONY CITY HALL,"JUSTICE, SUPREME COURT, PLACE 6",,JEFF BROWN,REP,115,114,0,16,245
El Paso,001-ANTHONY CITY HALL,"JUSTICE, SUPREME COURT, PLACE 6",,KATHY CHENG,DEM,258,319,2,27,606
El Paso,001-ANTHONY CITY HALL,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,SHARON KELLER,REP,119,109,0,15,243
El Paso,001-ANTHONY CITY HALL,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,MARIA T TERRI JACKSO,DEM,244,315,2,27,588
El Paso,001-ANTHONY CITY HALL,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,WILLIAM BRYAN STRANG,LIB,10,10,0,1,21
El Paso,001-ANTHONY CITY HALL,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,BARBARA PARKER HERVE,REP,121,117,0,14,252
El Paso,001-ANTHONY CITY HALL,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,RAMONA FRANKLIN,DEM,250,318,2,28,598
El Paso,001-ANTHONY CITY HALL,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,MICHELLE SLAUGHTER,REP,130,159,0,14,303
El Paso,001-ANTHONY CITY HALL,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,MARK ASH,LIB,118,132,1,9,260
El Paso,001-ANTHONY CITY HALL,STATE REPRESENTATIVE,78,JEFFREY LANE,REP,111,118,0,13,242
El Paso,001-ANTHONY CITY HALL,STATE REPRESENTATIVE,78,JOE MOODY,DEM,264,321,2,30,617
El Paso,001-ANTHONY CITY HALL,"JUSTICE, 8TH COURT OF APPEALS DISTRICT, PLACE 2",,YVONNE RODRIGUEZ,DEM,276,338,2,32,648
El Paso,001-ANTHONY CITY HALL,"JUSTICE, 8TH COURT OF APPEALS DISTRICT, PLACE 3",,GINA M PALAFOX,DEM,275,330,2,32,639
El Paso,001-ANTHONY CITY HALL,JUDGE 120TH JUDICIAL DISTRICT,,MARIA SALAS MENDOZA,DEM,273,333,2,32,640
El Paso,001-ANTHONY CITY HALL,JUDGE 168TH JUDICIAL DISTRICT,,MARCOS LIZARRAGA,DEM,269,327,2,32,630
El Paso,001-ANTHONY CITY HALL,JUDGE 171ST JUDICIAL DISTRICT,,BONNIE RANGEL,DEM,276,327,2,32,637
El Paso,001-ANTHONY CITY HALL,JUDGE 205TH JUDICIAL DISTRICT,,FRANCISCO X DOMINGUE,DEM,270,329,2,32,633
El Paso,001-ANTHONY CITY HALL,JUDGE 210TH JUDICIAL DISTRICT,,ALYSSA G PEREZ,DEM,272,330,2,31,635
El Paso,001-ANTHONY CITY HALL,JUDGE 243RD JUDICIAL DISTRICT,,SELENA SOLIS,DEM,270,330,2,31,633
El Paso,001-ANTHONY CITY HALL,JUDGE 327TH JUDICIAL DISTRICT,,LINDA YEE CHEW,DEM,272,329,2,32,635
El Paso,001-ANTHONY CITY HALL,EL PASO COUNTY JUDGE,,RICARDO SAMANIEGO,DEM,275,333,2,31,641
El Paso,001-ANTHONY CITY HALL,JUDGE COUNTY COURT AT LAW 1,,RUTH REYES,DEM,272,328,2,31,633
El Paso,001-ANTHONY CITY HALL,JUDGE COUNTY COURT AT LAW 2,,JULIE GONZALEZ,DEM,270,327,2,30,629
El Paso,001-ANTHONY CITY HALL,JUDGE COUNTY COURT AT LAW 3,,JAVIER ALVAREZ,DEM,268,325,2,31,626
El Paso,001-ANTHONY CITY HALL,JUDGE COUNTY COURT AT LAW 4,,ALEX GONZALEZ,DEM,270,324,2,30,626
El Paso,001-ANTHONY CITY HALL,JUDGE COUNTY COURT AT LAW 5,,JESUS RODRIGUEZ,DEM,267,322,2,30,621
El Paso,001-ANTHONY CITY HALL,JUDGE COUNTY COURT AT LAW 6,,M SUE KURITA,DEM,270,320,2,30,622
El Paso,001-ANTHONY CITY HALL,JUDGE COUNTY COURT AT LAW 7,,RUBEN MORALES,DEM,271,327,2,30,630
El Paso,001-ANTHONY CITY HALL,JUDGE COUNTY CRIMINAL COURT 1,,ALMA TREJO,DEM,271,326,2,30,629
El Paso,001-ANTHONY CITY HALL,JUDGE COUNTY CRIMINAL COURT 2,,ROBERT S ANCHONDO,DEM,270,326,2,31,629
El Paso,001-ANTHONY CITY HALL,JUDGE COUNTY PROBATE COURT 1,,PATRICIA B CHEW,DEM,273,323,2,32,630
El Paso,001-ANTHONY CITY HALL,JUDGE COUNTY PROBATE COURT 2,,EDUARDO GAMBOA,DEM,270,325,2,30,627
El Paso,001-ANTHONY CITY HALL,DISTRICT CLERK,,NORMA FAVELA BARCELE,DEM,270,323,2,31,626
El Paso,001-ANTHONY CITY HALL,COUNTY CLERK,,DELIA BRIONES,DEM,271,325,2,31,629
El Paso,001-ANTHONY CITY HALL,COUNTY COMMISSIONER 4,,ANDREW HAGGERTY,REP,132,127,0,15,274
El Paso,001-ANTHONY CITY HALL,COUNTY COMMISSIONER 4,,CARL L ROBINSON,DEM,241,301,2,25,569
El Paso,001-ANTHONY CITY HALL,JUSTICE OF THE PEACE 7,,IDA GARDNER,REP,135,152,0,14,301
El Paso,001-ANTHONY CITY HALL,JUSTICE OF THE PEACE 7,,STEPHANIE FRIETZE,DEM,238,281,2,26,547
El Paso,002-NORTHWEST ANNEX,CISD BOARD AT LARGE,,CHRISTIAN CORRALES,NP,179,83,0,7,269
El Paso,002-NORTHWEST ANNEX,CISD BOARD AT LARGE,,MAGO ARELLANO,NP,234,127,0,8,369
El Paso,002-NORTHWEST ANNEX,CISD BOARD AT LARGE,,MARY YGLESIAS,NP,259,134,0,13,406
El Paso,002-NORTHWEST ANNEX,CISD BOARD AT LARGE,,GUSTAVO VASQUEZ,NP,265,136,1,11,413
El Paso,002-NORTHWEST ANNEX,CISD BOARD AT LARGE,,L JOHN PORRAS,NP,95,53,0,0,148
El Paso,002-NORTHWEST ANNEX,CISD BOARD AT LARGE,,LAURE SEARLS,NP,214,98,0,11,323
El Paso,002-NORTHWEST ANNEX,CISD BOARD AT LARGE,,BILLIE RAMOS-RICKNER,NP,143,61,0,2,206
El Paso,002-NORTHWEST ANNEX,CISD BOARD AT LARGE,,SALVADOR PAYAN,NP,247,136,0,12,395
El Paso,002-NORTHWEST ANNEX,CISD BOARD AT LARGE UNEXPIRED,,ALFONSO L FLORES JR,NP,274,156,0,12,442
El Paso,002-NORTHWEST ANNEX,CISD BOARD AT LARGE UNEXPIRED,,SERGIO CORONADO,NP,342,203,1,17,563
El Paso,002-NORTHWEST ANNEX,"CITY REP OF EL PASO, DIST 1",,VERONICA RONI FRESCA,NP,53,23,0,2,78
El Paso,002-NORTHWEST ANNEX,"CITY REP OF EL PASO, DIST 1",,PETER SVARZBEIN,NP,33,13,0,0,46
El Paso,002-NORTHWEST ANNEX,"CITY REP OF EL PASO, DIST 1",,CARLOS F CORRAL,NP,26,9,0,0,35
El Paso,002-NORTHWEST ANNEX,"CITY REP OF EL PASO, DIST 1",,RICK BONART,NP,43,13,0,2,58
El Paso,002-NORTHWEST ANNEX,CITY OF EL PASO CHARTER PROP 1,,FOR,NP,129,49,0,3,181
El Paso,002-NORTHWEST ANNEX,CITY OF EL PASO CHARTER PROP 1,,AGAINST,NP,66,21,0,4,91
El Paso,002-NORTHWEST ANNEX,Straight Party,,REPUBLICAN,REP,151,87,1,7,246
El Paso,002-NORTHWEST ANNEX,Straight Party,,DEMOCRAT,DEM,449,258,0,26,733
El Paso,002-NORTHWEST ANNEX,Straight Party,,LIBERTARIAN,LIB,5,4,0,0,9
El Paso,002-NORTHWEST ANNEX,U.S. Senate,,TED CRUZ,REP,210,120,0,8,338
El Paso,002-NORTHWEST ANNEX,U.S. Senate,,BETO OROURKE,DEM,632,347,1,31,1011
El Paso,002-NORTHWEST ANNEX,U.S. Senate,,NEAL M DIKEMAN,LIB,6,4,0,3,13
El Paso,002-NORTHWEST ANNEX,U.S. House,16,RICK SEEBERGER,REP,202,119,0,7,328
El Paso,002-NORTHWEST ANNEX,U.S. House,16,VERONICA ESCOBAR,DEM,604,303,0,30,937
El Paso,002-NORTHWEST ANNEX,U.S. House,16,BEN MENDOZA,IND,26,27,1,3,57
El Paso,002-NORTHWEST ANNEX,U.S. House,16,Write-In,NP,1,1,0,0,2
El Paso,002-NORTHWEST ANNEX,GOVERNOR,,GREG ABBOTT,REP,244,142,0,9,395
El Paso,002-NORTHWEST ANNEX,GOVERNOR,,LUPE VALDEZ,DEM,572,307,1,29,909
El Paso,002-NORTHWEST ANNEX,GOVERNOR,,MARK JAY TIPPETTS,LIB,18,8,0,4,30
El Paso,002-NORTHWEST ANNEX,Lieutenant Governor,,DAN PATRICK,REP,212,122,0,7,341
El Paso,002-NORTHWEST ANNEX,Lieutenant Governor,,MIKE COLLIER,DEM,570,301,1,30,902
El Paso,002-NORTHWEST ANNEX,Lieutenant Governor,,KERRY DOUGLAS MCKENN,LIB,33,19,0,3,55
El Paso,002-NORTHWEST ANNEX,Attorney General,,KEN PAXTON,REP,205,111,0,8,324
El Paso,002-NORTHWEST ANNEX,Attorney General,,JUSTIN NELSON,DEM,582,308,0,30,920
El Paso,002-NORTHWEST ANNEX,Attorney General,,MICHAEL RAY HARRIS,LIB,32,21,1,2,56
El Paso,002-NORTHWEST ANNEX,Comptroller	of Public Accounts,,GLENN HEGAR,REP,205,114,0,8,327
El Paso,002-NORTHWEST ANNEX,Comptroller	of Public Accounts,,JOI CHEVALIER,DEM,545,293,0,26,864
El Paso,002-NORTHWEST ANNEX,Comptroller	of Public Accounts,,BEN SANDERS,LIB,66,35,1,6,108
El Paso,002-NORTHWEST ANNEX,Commissioner of the General Land Office,,GEORGE P BUSH,REP,239,115,1,8,363
El Paso,002-NORTHWEST ANNEX,Commissioner of the General Land Office,,MIGUEL SUAZO,DEM,567,298,0,29,894
El Paso,002-NORTHWEST ANNEX,Commissioner of the General Land Office,,MATT PINA,LIB,24,30,0,3,57
El Paso,002-NORTHWEST ANNEX,COMMISSIONER OF AGRICULTURE,,SID MILLER,REP,202,105,0,7,314
El Paso,002-NORTHWEST ANNEX,COMMISSIONER OF AGRICULTURE,,KIM OLSON,DEM,579,313,0,30,922
El Paso,002-NORTHWEST ANNEX,COMMISSIONER OF AGRICULTURE,,RICHARD CARPENTER,LIB,41,24,1,3,69
El Paso,002-NORTHWEST ANNEX,RAILROAD COMMISSIONER,,CHRISTI CRADDICK,REP,210,107,0,7,324
El Paso,002-NORTHWEST ANNEX,RAILROAD COMMISSIONER,,ROMAN MCALLEN,DEM,572,307,1,31,911
El Paso,002-NORTHWEST ANNEX,RAILROAD COMMISSIONER,,MIKE WRIGHT,LIB,34,25,0,2,61
El Paso,002-NORTHWEST ANNEX,"JUSTICE, SUPREME COURT, PLACE 2",,JIMMY BLACKLOCK,REP,219,122,1,8,350
El Paso,002-NORTHWEST ANNEX,"JUSTICE, SUPREME COURT, PLACE 2",,STEVE KIRKLAND,DEM,596,324,0,29,949
El Paso,002-NORTHWEST ANNEX,"JUSTICE, SUPREME COURT, PLACE 4",,JOHN DEVINE,REP,226,127,1,9,363
El Paso,002-NORTHWEST ANNEX,"JUSTICE, SUPREME COURT, PLACE 4",,R K SANDILL,DEM,588,318,0,28,934
El Paso,002-NORTHWEST ANNEX,"JUSTICE, SUPREME COURT, PLACE 6",,JEFF BROWN,REP,221,120,0,8,349
El Paso,002-NORTHWEST ANNEX,"JUSTICE, SUPREME COURT, PLACE 6",,KATHY CHENG,DEM,597,321,1,29,948
El Paso,002-NORTHWEST ANNEX,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,SHARON KELLER,REP,206,113,0,8,327
El Paso,002-NORTHWEST ANNEX,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,MARIA T TERRI JACKSO,DEM,587,312,1,28,928
El Paso,002-NORTHWEST ANNEX,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,WILLIAM BRYAN STRANG,LIB,27,19,0,3,49
El Paso,002-NORTHWEST ANNEX,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,BARBARA PARKER HERVE,REP,217,120,0,9,346
El Paso,002-NORTHWEST ANNEX,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,RAMONA FRANKLIN,DEM,598,322,1,28,949
El Paso,002-NORTHWEST ANNEX,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,MICHELLE SLAUGHTER,REP,275,176,0,8,459
El Paso,002-NORTHWEST ANNEX,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,MARK ASH,LIB,260,100,1,16,377
El Paso,002-NORTHWEST ANNEX,STATE REPRESENTATIVE,78,JEFFREY LANE,REP,212,116,0,8,336
El Paso,002-NORTHWEST ANNEX,STATE REPRESENTATIVE,78,JOE MOODY,DEM,605,327,1,29,962
El Paso,002-NORTHWEST ANNEX,"JUSTICE, 8TH COURT OF APPEALS DISTRICT, PLACE 2",,YVONNE RODRIGUEZ,DEM,638,350,1,30,1019
El Paso,002-NORTHWEST ANNEX,"JUSTICE, 8TH COURT OF APPEALS DISTRICT, PLACE 3",,GINA M PALAFOX,DEM,623,346,1,30,1000
El Paso,002-NORTHWEST ANNEX,JUDGE 120TH JUDICIAL DISTRICT,,MARIA SALAS MENDOZA,DEM,620,343,1,30,994
El Paso,002-NORTHWEST ANNEX,JUDGE 168TH JUDICIAL DISTRICT,,MARCOS LIZARRAGA,DEM,623,337,1,30,991
El Paso,002-NORTHWEST ANNEX,JUDGE 171ST JUDICIAL DISTRICT,,BONNIE RANGEL,DEM,617,338,1,30,986
El Paso,002-NORTHWEST ANNEX,JUDGE 205TH JUDICIAL DISTRICT,,FRANCISCO X DOMINGUE,DEM,623,336,1,30,990
El Paso,002-NORTHWEST ANNEX,JUDGE 210TH JUDICIAL DISTRICT,,ALYSSA G PEREZ,DEM,617,338,1,30,986
El Paso,002-NORTHWEST ANNEX,JUDGE 243RD JUDICIAL DISTRICT,,SELENA SOLIS,DEM,616,340,1,30,987
El Paso,002-NORTHWEST ANNEX,JUDGE 327TH JUDICIAL DISTRICT,,LINDA YEE CHEW,DEM,611,335,1,30,977
El Paso,002-NORTHWEST ANNEX,EL PASO COUNTY JUDGE,,RICARDO SAMANIEGO,DEM,630,348,1,30,1009
El Paso,002-NORTHWEST ANNEX,JUDGE COUNTY COURT AT LAW 1,,RUTH REYES,DEM,613,336,1,30,980
El Paso,002-NORTHWEST ANNEX,JUDGE COUNTY COURT AT LAW 2,,JULIE GONZALEZ,DEM,609,333,1,30,973
El Paso,002-NORTHWEST ANNEX,JUDGE COUNTY COURT AT LAW 3,,JAVIER ALVAREZ,DEM,614,333,1,30,978
El Paso,002-NORTHWEST ANNEX,JUDGE COUNTY COURT AT LAW 4,,ALEX GONZALEZ,DEM,616,332,1,30,979
El Paso,002-NORTHWEST ANNEX,JUDGE COUNTY COURT AT LAW 5,,JESUS RODRIGUEZ,DEM,616,333,1,30,980
El Paso,002-NORTHWEST ANNEX,JUDGE COUNTY COURT AT LAW 6,,M SUE KURITA,DEM,615,330,1,30,976
El Paso,002-NORTHWEST ANNEX,JUDGE COUNTY COURT AT LAW 7,,RUBEN MORALES,DEM,621,335,1,30,987
El Paso,002-NORTHWEST ANNEX,JUDGE COUNTY CRIMINAL COURT 1,,ALMA TREJO,DEM,609,337,1,30,977
El Paso,002-NORTHWEST ANNEX,JUDGE COUNTY CRIMINAL COURT 2,,ROBERT S ANCHONDO,DEM,616,339,1,30,986
El Paso,002-NORTHWEST ANNEX,JUDGE COUNTY PROBATE COURT 1,,PATRICIA B CHEW,DEM,613,331,1,30,975
El Paso,002-NORTHWEST ANNEX,JUDGE COUNTY PROBATE COURT 2,,EDUARDO GAMBOA,DEM,620,332,1,30,983
El Paso,002-NORTHWEST ANNEX,DISTRICT CLERK,,NORMA FAVELA BARCELE,DEM,612,340,1,30,983
El Paso,002-NORTHWEST ANNEX,COUNTY CLERK,,DELIA BRIONES,DEM,624,331,1,30,986
El Paso,002-NORTHWEST ANNEX,COUNTY COMMISSIONER 4,,ANDREW HAGGERTY,REP,254,132,0,8,394
El Paso,002-NORTHWEST ANNEX,COUNTY COMMISSIONER 4,,CARL L ROBINSON,DEM,549,304,1,30,884
El Paso,002-NORTHWEST ANNEX,JUSTICE OF THE PEACE 7,,IDA GARDNER,REP,265,147,1,10,423
El Paso,002-NORTHWEST ANNEX,JUSTICE OF THE PEACE 7,,STEPHANIE FRIETZE,DEM,555,291,0,27,873
El Paso,003-CANUTILLO MIDDLE,CISD BOARD AT LARGE,,CHRISTIAN CORRALES,NP,147,50,0,8,205
El Paso,003-CANUTILLO MIDDLE,CISD BOARD AT LARGE,,MAGO ARELLANO,NP,248,149,1,15,413
El Paso,003-CANUTILLO MIDDLE,CISD BOARD AT LARGE,,MARY YGLESIAS,NP,246,105,0,18,369
El Paso,003-CANUTILLO MIDDLE,CISD BOARD AT LARGE,,GUSTAVO VASQUEZ,NP,179,77,0,6,262
El Paso,003-CANUTILLO MIDDLE,CISD BOARD AT LARGE,,L JOHN PORRAS,NP,101,46,0,5,152
El Paso,003-CANUTILLO MIDDLE,CISD BOARD AT LARGE,,LAURE SEARLS,NP,256,129,0,13,398
El Paso,003-CANUTILLO MIDDLE,CISD BOARD AT LARGE,,BILLIE RAMOS-RICKNER,NP,130,49,1,6,186
El Paso,003-CANUTILLO MIDDLE,CISD BOARD AT LARGE,,SALVADOR PAYAN,NP,233,101,0,17,351
El Paso,003-CANUTILLO MIDDLE,CISD BOARD AT LARGE UNEXPIRED,,ALFONSO L FLORES JR,NP,224,103,1,12,340
El Paso,003-CANUTILLO MIDDLE,CISD BOARD AT LARGE UNEXPIRED,,SERGIO CORONADO,NP,353,168,1,21,543
El Paso,003-CANUTILLO MIDDLE,Straight Party,,REPUBLICAN,REP,149,71,0,13,233
El Paso,003-CANUTILLO MIDDLE,Straight Party,,DEMOCRAT,DEM,329,175,2,19,525
El Paso,003-CANUTILLO MIDDLE,Straight Party,,LIBERTARIAN,LIB,5,4,0,0,9
El Paso,003-CANUTILLO MIDDLE,U.S. Senate,,TED CRUZ,REP,236,111,0,14,361
El Paso,003-CANUTILLO MIDDLE,U.S. Senate,,BETO OROURKE,DEM,526,265,3,27,821
El Paso,003-CANUTILLO MIDDLE,U.S. Senate,,NEAL M DIKEMAN,LIB,3,2,0,1,6
El Paso,003-CANUTILLO MIDDLE,U.S. House,16,RICK SEEBERGER,REP,233,118,0,14,365
El Paso,003-CANUTILLO MIDDLE,U.S. House,16,VERONICA ESCOBAR,DEM,473,240,3,26,742
El Paso,003-CANUTILLO MIDDLE,U.S. House,16,BEN MENDOZA,IND,35,13,0,1,49
El Paso,003-CANUTILLO MIDDLE,U.S. House,16,Write-In,NP,3,0,0,0,3
El Paso,003-CANUTILLO MIDDLE,GOVERNOR,,GREG ABBOTT,REP,272,134,1,14,421
El Paso,003-CANUTILLO MIDDLE,GOVERNOR,,LUPE VALDEZ,DEM,461,227,2,25,715
El Paso,003-CANUTILLO MIDDLE,GOVERNOR,,MARK JAY TIPPETTS,LIB,13,6,0,1,20
El Paso,003-CANUTILLO MIDDLE,Lieutenant Governor,,DAN PATRICK,REP,245,119,0,16,380
El Paso,003-CANUTILLO MIDDLE,Lieutenant Governor,,MIKE COLLIER,DEM,469,229,2,24,724
El Paso,003-CANUTILLO MIDDLE,Lieutenant Governor,,KERRY DOUGLAS MCKENN,LIB,24,14,0,0,38
El Paso,003-CANUTILLO MIDDLE,Attorney General,,KEN PAXTON,REP,235,112,0,13,360
El Paso,003-CANUTILLO MIDDLE,Attorney General,,JUSTIN NELSON,DEM,463,234,2,27,726
El Paso,003-CANUTILLO MIDDLE,Attorney General,,MICHAEL RAY HARRIS,LIB,39,13,0,1,53
El Paso,003-CANUTILLO MIDDLE,Comptroller	of Public Accounts,,GLENN HEGAR,REP,226,111,0,14,351
El Paso,003-CANUTILLO MIDDLE,Comptroller	of Public Accounts,,JOI CHEVALIER,DEM,441,217,3,23,684
El Paso,003-CANUTILLO MIDDLE,Comptroller	of Public Accounts,,BEN SANDERS,LIB,64,32,0,3,99
El Paso,003-CANUTILLO MIDDLE,Commissioner of the General Land Office,,GEORGE P BUSH,REP,259,126,0,16,401
El Paso,003-CANUTILLO MIDDLE,Commissioner of the General Land Office,,MIGUEL SUAZO,DEM,446,223,3,23,695
El Paso,003-CANUTILLO MIDDLE,Commissioner of the General Land Office,,MATT PINA,LIB,32,14,0,1,47
El Paso,003-CANUTILLO MIDDLE,COMMISSIONER OF AGRICULTURE,,SID MILLER,REP,230,110,0,15,355
El Paso,003-CANUTILLO MIDDLE,COMMISSIONER OF AGRICULTURE,,KIM OLSON,DEM,458,226,2,26,712
El Paso,003-CANUTILLO MIDDLE,COMMISSIONER OF AGRICULTURE,,RICHARD CARPENTER,LIB,37,24,0,0,61
El Paso,003-CANUTILLO MIDDLE,RAILROAD COMMISSIONER,,CHRISTI CRADDICK,REP,230,114,0,15,359
El Paso,003-CANUTILLO MIDDLE,RAILROAD COMMISSIONER,,ROMAN MCALLEN,DEM,461,235,3,26,725
El Paso,003-CANUTILLO MIDDLE,RAILROAD COMMISSIONER,,MIKE WRIGHT,LIB,36,13,0,0,49
El Paso,003-CANUTILLO MIDDLE,"JUSTICE, SUPREME COURT, PLACE 2",,JIMMY BLACKLOCK,REP,243,119,0,13,375
El Paso,003-CANUTILLO MIDDLE,"JUSTICE, SUPREME COURT, PLACE 2",,STEVE KIRKLAND,DEM,483,238,2,27,750
El Paso,003-CANUTILLO MIDDLE,"JUSTICE, SUPREME COURT, PLACE 4",,JOHN DEVINE,REP,245,120,0,15,380
El Paso,003-CANUTILLO MIDDLE,"JUSTICE, SUPREME COURT, PLACE 4",,R K SANDILL,DEM,477,241,2,26,746
El Paso,003-CANUTILLO MIDDLE,"JUSTICE, SUPREME COURT, PLACE 6",,JEFF BROWN,REP,241,119,0,13,373
El Paso,003-CANUTILLO MIDDLE,"JUSTICE, SUPREME COURT, PLACE 6",,KATHY CHENG,DEM,486,242,3,27,758
El Paso,003-CANUTILLO MIDDLE,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,SHARON KELLER,REP,235,109,0,14,358
El Paso,003-CANUTILLO MIDDLE,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,MARIA T TERRI JACKSO,DEM,468,238,3,25,734
El Paso,003-CANUTILLO MIDDLE,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,WILLIAM BRYAN STRANG,LIB,22,13,0,1,36
El Paso,003-CANUTILLO MIDDLE,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,BARBARA PARKER HERVE,REP,243,117,0,14,374
El Paso,003-CANUTILLO MIDDLE,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,RAMONA FRANKLIN,DEM,483,243,3,27,756
El Paso,003-CANUTILLO MIDDLE,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,MICHELLE SLAUGHTER,REP,305,148,0,17,470
El Paso,003-CANUTILLO MIDDLE,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,MARK ASH,LIB,203,97,0,10,310
El Paso,003-CANUTILLO MIDDLE,STATE REPRESENTATIVE,78,JEFFREY LANE,REP,229,113,0,17,359
El Paso,003-CANUTILLO MIDDLE,STATE REPRESENTATIVE,78,JOE MOODY,DEM,506,248,3,25,782
El Paso,003-CANUTILLO MIDDLE,"JUSTICE, 8TH COURT OF APPEALS DISTRICT, PLACE 2",,YVONNE RODRIGUEZ,DEM,516,258,3,30,807
