county,precinct,office,district,candidate,party,votes,early_voting,early_voting_paper,election_day_machine,provisional
Williamson,0393,Registered Voters,,,,"2,310",,,,
Williamson,0394,Registered Voters,,,,"3,809",,,,
Williamson,0395,Registered Voters,,,,"3,065",,,,
Williamson,0396,Registered Voters,,,,"3,713",,,,
Williamson,0402,Registered Voters,,,,"5,143",,,,
Williamson,0403,Registered Voters,,,,"2,609",,,,
Williamson,0413,Registered Voters,,,,575,,,,
Williamson,0415,Registered Voters,,,,"1,791",,,,
Williamson,0420,Registered Voters,,,,"5,592",,,,
Williamson,0423,Registered Voters,,,,"3,861",,,,
Williamson,0424,Registered Voters,,,,"3,804",,,,
Williamson,0425,Registered Voters,,,,691,,,,
Williamson,0426,Registered Voters,,,,"1,933",,,,
Williamson,0427,Registered Voters,,,,"2,621",,,,
Williamson,0428,Registered Voters,,,,"2,775",,,,
Williamson,0429,Registered Voters,,,,"1,673",,,,
Williamson,0434,Registered Voters,,,,"2,994",,,,
Williamson,0436,Registered Voters,,,,802,,,,
Williamson,0455,Registered Voters,,,,"2,663",,,,
Williamson,0456,Registered Voters,,,,"1,884",,,,
Williamson,0463,Registered Voters,,,,"5,285",,,,
Williamson,0480,Registered Voters,,,,"5,099",,,,
Williamson,0484,Registered Voters,,,,"5,180",,,,
Williamson,0488,Registered Voters,,,,"2,560",,,,
Williamson,0489,Registered Voters,,,,"4,621",,,,
Williamson,0490,Registered Voters,,,,"1,891",,,,
Williamson,0491,Registered Voters,,,,"5,245",,,,
Williamson,Total,Registered Voters,,,,"316,004",,,,
Williamson,0119,Ballots Cast,,,,765,370,44,349,2
Williamson,0122,Ballots Cast,,,,687,342,55,287,3
Williamson,0135,Ballots Cast,,,,398,169,31,198,0
Williamson,0138,Ballots Cast,,,,956,496,61,398,1
Williamson,0140,Ballots Cast,,,,430,213,24,193,0
Williamson,0145,Ballots Cast,,,,343,146,35,161,1
Williamson,0146,Ballots Cast,,,,955,367,45,542,1
Williamson,0147,Ballots Cast,,,,558,224,44,287,3
Williamson,0149,Ballots Cast,,,,308,160,31,117,0
Williamson,0150,Ballots Cast,,,,404,193,35,174,2
Williamson,0151,Ballots Cast,,,,471,184,42,245,0
Williamson,0152,Ballots Cast,,,,368,147,24,197,0
Williamson,0160,Ballots Cast,,,,791,393,46,348,4
Williamson,0162,Ballots Cast,,,,513,186,25,301,1
Williamson,0172,Ballots Cast,,,,490,233,48,209,0
Williamson,0182,Ballots Cast,,,,992,525,45,419,3
Williamson,0185,Ballots Cast,,,,363,104,20,239,0
Williamson,0186,Ballots Cast,,,,454,200,26,226,2
Williamson,0189,Ballots Cast,,,,503,240,33,230,0
Williamson,0190,Ballots Cast,,,,1183,587,75,521,0
Williamson,0197,Ballots Cast,,,,464,203,29,231,1
Williamson,0198,Ballots Cast,,,,808,417,36,352,3
Williamson,0201,Ballots Cast,,,,916,502,38,375,1
Williamson,0202,Ballots Cast,,,,320,152,49,119,0
Williamson,0204,Ballots Cast,,,,909,482,36,391,0
Williamson,0206,Ballots Cast,,,,580,248,58,271,3
Williamson,0207,Ballots Cast,,,,947,316,83,543,5
Williamson,0216,Ballots Cast,,,,549,290,36,221,2
Williamson,0218,Ballots Cast,,,,722,370,53,299,0
Williamson,0253,Ballots Cast,,,,732,321,52,359,0
Williamson,0254,Ballots Cast,,,,586,286,44,253,3
Williamson,0259,Ballots Cast,,,,586,241,40,302,3
Williamson,0263,Ballots Cast,,,,661,305,46,308,2
Williamson,0264,Ballots Cast,,,,710,305,37,367,1
Williamson,0266,Ballots Cast,,,,671,318,71,279,3
Williamson,0267,Ballots Cast,,,,478,190,38,248,2
Williamson,0273,Ballots Cast,,,,631,306,41,279,5
Williamson,0274,Ballots Cast,,,,706,325,50,329,2
Williamson,0275,Ballots Cast,,,,560,237,48,275,0
Williamson,0277,Ballots Cast,,,,1175,668,67,439,1
Williamson,0278,Ballots Cast,,,,1097,610,42,441,4
Williamson,0283,Ballots Cast,,,,798,409,71,316,2
Williamson,0287,Ballots Cast,,,,886,406,91,386,3
Williamson,0305,Ballots Cast,,,,720,310,66,342,2
Williamson,0309,Ballots Cast,,,,286,65,22,199,0
Williamson,0310,Ballots Cast,,,,371,73,46,251,1
Williamson,0311,Ballots Cast,,,,443,131,33,279,0
Williamson,0312,Ballots Cast,,,,693,274,58,360,1
Williamson,0314,Ballots Cast,,,,583,260,56,263,4
Williamson,0330,Ballots Cast,,,,723,324,50,349,0
Williamson,0331,Ballots Cast,,,,660,258,31,370,1
Williamson,0332,Ballots Cast,,,,686,295,50,336,5
Williamson,0333,Ballots Cast,,,,617,291,52,273,1
Williamson,0337,Ballots Cast,,,,811,300,64,444,3
Williamson,0339,Ballots Cast,,,,408,187,29,191,1
Williamson,0341,Ballots Cast,,,,494,249,87,155,3
Williamson,0342,Ballots Cast,,,,117,43,25,49,0
Williamson,0343,Ballots Cast,,,,918,428,126,359,5
Williamson,0344,Ballots Cast,,,,919,425,78,413,3
Williamson,0345,Ballots Cast,,,,480,228,34,217,1
Williamson,0368,Ballots Cast,,,,596,310,28,256,2
Williamson,0369,Ballots Cast,,,,831,407,76,346,2
Williamson,0370,Ballots Cast,,,,901,409,74,418,0
Williamson,0371,Ballots Cast,,,,598,280,106,211,1
Williamson,0379,Ballots Cast,,,,1287,671,150,457,9
Williamson,0381,Ballots Cast,,,,1577,924,359,291,3
Williamson,0392,Ballots Cast,,,,1399,609,278,506,6
Williamson,0393,Ballots Cast,,,,1171,666,279,216,10
Williamson,0394,Ballots Cast,,,,1857,1189,271,388,9
Williamson,0395,Ballots Cast,,,,778,323,83,372,0
Williamson,0396,Ballots Cast,,,,1701,936,379,385,1
Williamson,0402,Ballots Cast,,,,682,286,47,349,0
Williamson,0403,Ballots Cast,,,,372,169,22,181,0
Williamson,0413,Ballots Cast,,,,117,35,12,70,0
Williamson,0415,Ballots Cast,,,,414,135,35,244,0
Williamson,0420,Ballots Cast,,,,848,384,64,400,0
Williamson,0423,Ballots Cast,,,,559,267,52,238,2
Williamson,0424,Ballots Cast,,,,987,588,57,340,2
Williamson,0425,Ballots Cast,,,,122,29,23,70,0
Williamson,0426,Ballots Cast,,,,347,155,30,157,5
Williamson,0427,Ballots Cast,,,,564,268,45,250,1
Williamson,0428,Ballots Cast,,,,659,316,61,281,1
Williamson,0429,Ballots Cast,,,,247,108,22,117,0
Williamson,0434,Ballots Cast,,,,688,272,75,340,1
Williamson,0436,Ballots Cast,,,,126,51,15,59,1
Williamson,0455,Ballots Cast,,,,399,217,29,151,2
Williamson,0456,Ballots Cast,,,,266,121,29,115,1
Williamson,0463,Ballots Cast,,,,751,426,60,263,2
Williamson,0480,Ballots Cast,,,,971,607,62,302,0
Williamson,0484,Ballots Cast,,,,816,434,58,321,3
Williamson,0488,Ballots Cast,,,,519,329,27,163,0
Williamson,0489,Ballots Cast,,,,994,565,45,382,2
Williamson,0490,Ballots Cast,,,,280,146,25,109,0
Williamson,0491,Ballots Cast,,,,780,362,73,342,3
Williamson,Total,Ballots Cast,,,,63557,30521,5903,26964,169
Williamson,0119,U.S. Senate,,Sema Hernandez,DEM,79,41,9,29,0
Williamson,0122,U.S. Senate,,Sema Hernandez,DEM,38,15,4,17,2
Williamson,0135,U.S. Senate,,Sema Hernandez,DEM,66,27,8,31,0
Williamson,0138,U.S. Senate,,Sema Hernandez,DEM,54,20,6,28,0
Williamson,0140,U.S. Senate,,Sema Hernandez,DEM,39,8,3,28,0
Williamson,0145,U.S. Senate,,Sema Hernandez,DEM,57,26,6,25,0
Williamson,0146,U.S. Senate,,Sema Hernandez,DEM,63,21,3,39,0
Williamson,0147,U.S. Senate,,Sema Hernandez,DEM,60,25,3,32,0
Williamson,0149,U.S. Senate,,Sema Hernandez,DEM,55,29,6,20,0
Williamson,0150,U.S. Senate,,Sema Hernandez,DEM,51,29,7,15,0
Williamson,0151,U.S. Senate,,Sema Hernandez,DEM,38,16,2,20,0
Williamson,0152,U.S. Senate,,Sema Hernandez,DEM,31,9,1,21,0
Williamson,0160,U.S. Senate,,Sema Hernandez,DEM,89,44,8,36,1
Williamson,0162,U.S. Senate,,Sema Hernandez,DEM,33,14,2,17,0
Williamson,0172,U.S. Senate,,Sema Hernandez,DEM,31,12,5,14,0
Williamson,0182,U.S. Senate,,Sema Hernandez,DEM,68,35,5,28,0
Williamson,0185,U.S. Senate,,Sema Hernandez,DEM,33,9,1,23,0
Williamson,0186,U.S. Senate,,Sema Hernandez,DEM,46,20,1,25,0
Williamson,0189,U.S. Senate,,Sema Hernandez,DEM,49,28,2,19,0
Williamson,0190,U.S. Senate,,Sema Hernandez,DEM,77,29,8,40,0
Williamson,0197,U.S. Senate,,Sema Hernandez,DEM,47,19,1,26,1
Williamson,0198,U.S. Senate,,Sema Hernandez,DEM,69,36,4,29,0
Williamson,0201,U.S. Senate,,Sema Hernandez,DEM,67,34,0,33,0
Williamson,0202,U.S. Senate,,Sema Hernandez,DEM,23,10,4,9,0
Williamson,0204,U.S. Senate,,Sema Hernandez,DEM,68,31,3,34,0
Williamson,0206,U.S. Senate,,Sema Hernandez,DEM,27,12,2,13,0
Williamson,0207,U.S. Senate,,Sema Hernandez,DEM,40,12,3,24,1
Williamson,0216,U.S. Senate,,Sema Hernandez,DEM,28,15,4,9,0
Williamson,0218,U.S. Senate,,Sema Hernandez,DEM,58,28,6,24,0
Williamson,0253,U.S. Senate,,Sema Hernandez,DEM,63,26,6,31,0
Williamson,0254,U.S. Senate,,Sema Hernandez,DEM,49,26,3,20,0
Williamson,0259,U.S. Senate,,Sema Hernandez,DEM,43,12,5,26,0
Williamson,0263,U.S. Senate,,Sema Hernandez,DEM,62,33,6,23,0
Williamson,0264,U.S. Senate,,Sema Hernandez,DEM,79,31,3,45,0
Williamson,0266,U.S. Senate,,Sema Hernandez,DEM,61,25,7,28,1
Williamson,0267,U.S. Senate,,Sema Hernandez,DEM,30,11,1,18,0
Williamson,0273,U.S. Senate,,Sema Hernandez,DEM,51,25,6,20,0
Williamson,0274,U.S. Senate,,Sema Hernandez,DEM,56,19,4,33,0
Williamson,0275,U.S. Senate,,Sema Hernandez,DEM,44,26,3,15,0
Williamson,0277,U.S. Senate,,Sema Hernandez,DEM,71,42,2,27,0
Williamson,0278,U.S. Senate,,Sema Hernandez,DEM,98,57,3,36,2
Williamson,0283,U.S. Senate,,Sema Hernandez,DEM,72,39,8,25,0
Williamson,0287,U.S. Senate,,Sema Hernandez,DEM,86,45,11,30,0
Williamson,0305,U.S. Senate,,Sema Hernandez,DEM,22,6,5,11,0
Williamson,0309,U.S. Senate,,Sema Hernandez,DEM,12,2,2,8,0
Williamson,0310,U.S. Senate,,Sema Hernandez,DEM,14,2,5,7,0
Williamson,0311,U.S. Senate,,Sema Hernandez,DEM,16,7,0,9,0
Williamson,0312,U.S. Senate,,Sema Hernandez,DEM,39,13,4,22,0
Williamson,0314,U.S. Senate,,Sema Hernandez,DEM,29,6,8,15,0
Williamson,0330,U.S. Senate,,Sema Hernandez,DEM,84,45,6,33,0
Williamson,0331,U.S. Senate,,Sema Hernandez,DEM,47,23,2,22,0
Williamson,0332,U.S. Senate,,Sema Hernandez,DEM,47,15,5,27,0
Williamson,0333,U.S. Senate,,Sema Hernandez,DEM,44,13,5,26,0
Williamson,0337,U.S. Senate,,Sema Hernandez,DEM,85,29,9,47,0
Williamson,0339,U.S. Senate,,Sema Hernandez,DEM,54,23,0,30,1
Williamson,0341,U.S. Senate,,Sema Hernandez,DEM,22,7,4,11,0
Williamson,0342,U.S. Senate,,Sema Hernandez,DEM,13,3,3,7,0
Williamson,0343,U.S. Senate,,Sema Hernandez,DEM,47,21,6,20,0
Williamson,0344,U.S. Senate,,Sema Hernandez,DEM,25,8,5,12,0
Williamson,0345,U.S. Senate,,Sema Hernandez,DEM,16,7,0,9,0
Williamson,0368,U.S. Senate,,Sema Hernandez,DEM,52,29,4,19,0
Williamson,0369,U.S. Senate,,Sema Hernandez,DEM,64,25,9,30,0
Williamson,0370,U.S. Senate,,Sema Hernandez,DEM,59,29,3,27,0
Williamson,0371,U.S. Senate,,Sema Hernandez,DEM,21,11,2,8,0
Williamson,0379,U.S. Senate,,Sema Hernandez,DEM,38,21,4,13,0
Williamson,0381,U.S. Senate,,Sema Hernandez,DEM,55,35,13,7,0
Williamson,0392,U.S. Senate,,Sema Hernandez,DEM,51,19,10,22,0
Williamson,0393,U.S. Senate,,Sema Hernandez,DEM,31,13,12,6,0
Williamson,0394,U.S. Senate,,Sema Hernandez,DEM,50,26,10,14,0
Williamson,0395,U.S. Senate,,Sema Hernandez,DEM,35,15,6,14,0
Williamson,0396,U.S. Senate,,Sema Hernandez,DEM,65,30,14,21,0
Williamson,0402,U.S. Senate,,Sema Hernandez,DEM,101,29,6,66,0
Williamson,0403,U.S. Senate,,Sema Hernandez,DEM,41,14,1,26,0
Williamson,0413,U.S. Senate,,Sema Hernandez,DEM,7,3,0,4,0
Williamson,0415,U.S. Senate,,Sema Hernandez,DEM,31,9,5,17,0
Williamson,0420,U.S. Senate,,Sema Hernandez,DEM,102,46,10,46,0
Williamson,0423,U.S. Senate,,Sema Hernandez,DEM,63,32,5,26,0
Williamson,0424,U.S. Senate,,Sema Hernandez,DEM,55,35,1,19,0
Williamson,0425,U.S. Senate,,Sema Hernandez,DEM,5,1,0,4,0
Williamson,0426,U.S. Senate,,Sema Hernandez,DEM,36,16,6,14,0
Williamson,0427,U.S. Senate,,Sema Hernandez,DEM,39,16,3,20,0
Williamson,0428,U.S. Senate,,Sema Hernandez,DEM,57,29,5,23,0
Williamson,0429,U.S. Senate,,Sema Hernandez,DEM,38,17,5,16,0
Williamson,0434,U.S. Senate,,Sema Hernandez,DEM,28,14,5,9,0
Williamson,0436,U.S. Senate,,Sema Hernandez,DEM,7,2,2,2,1
Williamson,0455,U.S. Senate,,Sema Hernandez,DEM,66,28,11,26,1
Williamson,0456,U.S. Senate,,Sema Hernandez,DEM,48,18,11,19,0
Williamson,0463,U.S. Senate,,Sema Hernandez,DEM,122,65,10,47,0
Williamson,0480,U.S. Senate,,Sema Hernandez,DEM,136,91,10,35,0
Williamson,0484,U.S. Senate,,Sema Hernandez,DEM,85,35,5,45,0
Williamson,0488,U.S. Senate,,Sema Hernandez,DEM,38,25,3,10,0
Williamson,0489,U.S. Senate,,Sema Hernandez,DEM,109,65,2,41,1
Williamson,0490,U.S. Senate,,Sema Hernandez,DEM,33,14,5,14,0
Williamson,0491,U.S. Senate,,Sema Hernandez,DEM,124,57,12,55,0
Williamson,Total,U.S. Senate,,Sema Hernandez,DEM,4857,2215,464,2166,12
Williamson,0119,U.S. Senate,,Edward Kimbrough,DEM,13,11,0,2,0
Williamson,0122,U.S. Senate,,Edward Kimbrough,DEM,17,4,7,6,0
Williamson,0135,U.S. Senate,,Edward Kimbrough,DEM,13,6,1,6,0
Williamson,0138,U.S. Senate,,Edward Kimbrough,DEM,24,9,6,9,0
Williamson,0140,U.S. Senate,,Edward Kimbrough,DEM,8,0,0,8,0
Williamson,0145,U.S. Senate,,Edward Kimbrough,DEM,21,6,5,10,0
Williamson,0146,U.S. Senate,,Edward Kimbrough,DEM,20,5,2,13,0
Williamson,0147,U.S. Senate,,Edward Kimbrough,DEM,16,3,5,8,0
Williamson,0149,U.S. Senate,,Edward Kimbrough,DEM,23,11,5,7,0
Williamson,0150,U.S. Senate,,Edward Kimbrough,DEM,16,3,3,10,0
Williamson,0151,U.S. Senate,,Edward Kimbrough,DEM,16,3,3,10,0
Williamson,0152,U.S. Senate,,Edward Kimbrough,DEM,12,4,1,7,0
Williamson,0160,U.S. Senate,,Edward Kimbrough,DEM,33,21,1,11,0
Williamson,0162,U.S. Senate,,Edward Kimbrough,DEM,10,3,0,7,0
Williamson,0172,U.S. Senate,,Edward Kimbrough,DEM,24,14,0,10,0
Williamson,0182,U.S. Senate,,Edward Kimbrough,DEM,25,11,2,12,0
Williamson,0185,U.S. Senate,,Edward Kimbrough,DEM,7,2,0,5,0
Williamson,0186,U.S. Senate,,Edward Kimbrough,DEM,13,8,0,5,0
Williamson,0189,U.S. Senate,,Edward Kimbrough,DEM,11,7,0,4,0
Williamson,0190,U.S. Senate,,Edward Kimbrough,DEM,19,8,1,10,0
Williamson,0197,U.S. Senate,,Edward Kimbrough,DEM,9,3,0,6,0
Williamson,0198,U.S. Senate,,Edward Kimbrough,DEM,18,8,1,9,0
Williamson,0201,U.S. Senate,,Edward Kimbrough,DEM,16,10,0,6,0
Williamson,0202,U.S. Senate,,Edward Kimbrough,DEM,6,2,2,2,0
Williamson,0204,U.S. Senate,,Edward Kimbrough,DEM,17,10,1,6,0
Williamson,0206,U.S. Senate,,Edward Kimbrough,DEM,17,6,4,7,0
Williamson,0207,U.S. Senate,,Edward Kimbrough,DEM,19,5,3,11,0
Williamson,0216,U.S. Senate,,Edward Kimbrough,DEM,11,6,0,5,0
Williamson,0218,U.S. Senate,,Edward Kimbrough,DEM,25,15,2,8,0
Williamson,0253,U.S. Senate,,Edward Kimbrough,DEM,19,9,1,9,0
Williamson,0254,U.S. Senate,,Edward Kimbrough,DEM,16,7,5,4,0
Williamson,0259,U.S. Senate,,Edward Kimbrough,DEM,18,7,3,7,1
Williamson,0263,U.S. Senate,,Edward Kimbrough,DEM,17,9,1,7,0
Williamson,0264,U.S. Senate,,Edward Kimbrough,DEM,23,9,1,13,0
Williamson,0266,U.S. Senate,,Edward Kimbrough,DEM,19,6,7,6,0
Williamson,0267,U.S. Senate,,Edward Kimbrough,DEM,11,4,1,6,0
Williamson,0273,U.S. Senate,,Edward Kimbrough,DEM,12,8,1,3,0
Williamson,0274,U.S. Senate,,Edward Kimbrough,DEM,16,3,1,12,0
Williamson,0275,U.S. Senate,,Edward Kimbrough,DEM,11,2,0,9,0
Williamson,0277,U.S. Senate,,Edward Kimbrough,DEM,20,11,4,5,0
Williamson,0278,U.S. Senate,,Edward Kimbrough,DEM,28,10,1,17,0
Williamson,0283,U.S. Senate,,Edward Kimbrough,DEM,20,11,1,8,0
Williamson,0287,U.S. Senate,,Edward Kimbrough,DEM,26,14,4,8,0
Williamson,0305,U.S. Senate,,Edward Kimbrough,DEM,16,7,2,7,0
Williamson,0309,U.S. Senate,,Edward Kimbrough,DEM,8,1,4,3,0
Williamson,0310,U.S. Senate,,Edward Kimbrough,DEM,11,3,1,7,0
Williamson,0311,U.S. Senate,,Edward Kimbrough,DEM,9,0,2,7,0
Williamson,0312,U.S. Senate,,Edward Kimbrough,DEM,15,6,2,7,0
Williamson,0314,U.S. Senate,,Edward Kimbrough,DEM,9,3,3,3,0
Williamson,0330,U.S. Senate,,Edward Kimbrough,DEM,19,4,4,11,0
Williamson,0331,U.S. Senate,,Edward Kimbrough,DEM,15,8,1,6,0
Williamson,0332,U.S. Senate,,Edward Kimbrough,DEM,12,6,2,4,0
Williamson,0333,U.S. Senate,,Edward Kimbrough,DEM,19,12,0,7,0
Williamson,0337,U.S. Senate,,Edward Kimbrough,DEM,26,10,0,16,0
Williamson,0339,U.S. Senate,,Edward Kimbrough,DEM,14,3,5,6,0
Williamson,0341,U.S. Senate,,Edward Kimbrough,DEM,16,9,2,5,0
Williamson,0342,U.S. Senate,,Edward Kimbrough,DEM,7,3,2,2,0
Williamson,0343,U.S. Senate,,Edward Kimbrough,DEM,14,9,3,2,0
Williamson,0344,U.S. Senate,,Edward Kimbrough,DEM,17,7,4,6,0
Williamson,0345,U.S. Senate,,Edward Kimbrough,DEM,4,2,1,1,0
Williamson,0368,U.S. Senate,,Edward Kimbrough,DEM,10,4,2,4,0
Williamson,0369,U.S. Senate,,Edward Kimbrough,DEM,17,10,1,6,0
Williamson,0370,U.S. Senate,,Edward Kimbrough,DEM,20,11,0,9,0
Williamson,0371,U.S. Senate,,Edward Kimbrough,DEM,17,7,5,5,0
Williamson,0379,U.S. Senate,,Edward Kimbrough,DEM,18,7,5,6,0
Williamson,0381,U.S. Senate,,Edward Kimbrough,DEM,28,15,9,4,0
Williamson,0392,U.S. Senate,,Edward Kimbrough,DEM,26,11,7,8,0
Williamson,0393,U.S. Senate,,Edward Kimbrough,DEM,25,7,9,9,0
Williamson,0394,U.S. Senate,,Edward Kimbrough,DEM,35,25,2,8,0
Williamson,0395,U.S. Senate,,Edward Kimbrough,DEM,13,4,4,5,0
Williamson,0396,U.S. Senate,,Edward Kimbrough,DEM,30,12,10,8,0
Williamson,0402,U.S. Senate,,Edward Kimbrough,DEM,28,13,3,12,0
Williamson,0403,U.S. Senate,,Edward Kimbrough,DEM,10,5,3,2,0
Williamson,0413,U.S. Senate,,Edward Kimbrough,DEM,6,3,1,2,0
Williamson,0415,U.S. Senate,,Edward Kimbrough,DEM,16,5,1,10,0
Williamson,0420,U.S. Senate,,Edward Kimbrough,DEM,41,19,2,20,0
Williamson,0423,U.S. Senate,,Edward Kimbrough,DEM,23,9,5,9,0
Williamson,0424,U.S. Senate,,Edward Kimbrough,DEM,11,5,1,5,0
Williamson,0425,U.S. Senate,,Edward Kimbrough,DEM,6,2,2,2,0
Williamson,0426,U.S. Senate,,Edward Kimbrough,DEM,11,7,0,4,0
Williamson,0427,U.S. Senate,,Edward Kimbrough,DEM,17,10,0,7,0
Williamson,0428,U.S. Senate,,Edward Kimbrough,DEM,15,6,5,4,0
Williamson,0429,U.S. Senate,,Edward Kimbrough,DEM,13,5,2,6,0
Williamson,0434,U.S. Senate,,Edward Kimbrough,DEM,15,2,5,8,0
Williamson,0436,U.S. Senate,,Edward Kimbrough,DEM,1,1,0,0,0
Williamson,0455,U.S. Senate,,Edward Kimbrough,DEM,21,13,2,6,0
Williamson,0456,U.S. Senate,,Edward Kimbrough,DEM,11,2,5,4,0
Williamson,0463,U.S. Senate,,Edward Kimbrough,DEM,33,16,4,13,0
Williamson,0480,U.S. Senate,,Edward Kimbrough,DEM,42,26,4,12,0
Williamson,0484,U.S. Senate,,Edward Kimbrough,DEM,37,14,6,17,0
Williamson,0488,U.S. Senate,,Edward Kimbrough,DEM,8,5,2,1,0
Williamson,0489,U.S. Senate,,Edward Kimbrough,DEM,31,24,0,7,0
Williamson,0490,U.S. Senate,,Edward Kimbrough,DEM,7,2,0,5,0
Williamson,0491,U.S. Senate,,Edward Kimbrough,DEM,28,12,1,15,0
Williamson,Total,U.S. Senate,,Edward Kimbrough,DEM,1636,726,232,677,1
Williamson,0119,U.S. Senate,,Beto O'Rourke,DEM,248,120,3,123,2
Williamson,0122,U.S. Senate,,Beto O'Rourke,DEM,212,121,11,79,1
Williamson,0135,U.S. Senate,,Beto O'Rourke,DEM,181,83,7,91,0
Williamson,0138,U.S. Senate,,Beto O'Rourke,DEM,268,140,10,118,0
Williamson,0140,U.S. Senate,,Beto O'Rourke,DEM,155,89,5,61,0
Williamson,0145,U.S. Senate,,Beto O'Rourke,DEM,121,55,7,59,0
Williamson,0146,U.S. Senate,,Beto O'Rourke,DEM,577,244,14,319,0
Williamson,0147,U.S. Senate,,Beto O'Rourke,DEM,292,137,21,134,0
Williamson,0149,U.S. Senate,,Beto O'Rourke,DEM,98,54,5,39,0
Williamson,0150,U.S. Senate,,Beto O'Rourke,DEM,146,71,11,64,0
Williamson,0151,U.S. Senate,,Beto O'Rourke,DEM,237,101,10,126,0
Williamson,0152,U.S. Senate,,Beto O'Rourke,DEM,205,90,10,105,0
Williamson,0160,U.S. Senate,,Beto O'Rourke,DEM,297,151,13,132,1
Williamson,0162,U.S. Senate,,Beto O'Rourke,DEM,293,110,8,174,1
Williamson,0172,U.S. Senate,,Beto O'Rourke,DEM,150,77,19,54,0
Williamson,0182,U.S. Senate,,Beto O'Rourke,DEM,229,130,7,92,0
Williamson,0185,U.S. Senate,,Beto O'Rourke,DEM,197,66,10,121,0
Williamson,0186,U.S. Senate,,Beto O'Rourke,DEM,173,85,8,78,2
Williamson,0189,U.S. Senate,,Beto O'Rourke,DEM,243,118,16,109,0
Williamson,0190,U.S. Senate,,Beto O'Rourke,DEM,377,206,18,153,0
Williamson,0197,U.S. Senate,,Beto O'Rourke,DEM,183,90,5,88,0
