candidate,office,district,party,county,precinct,votes,early_voting,election_day,mail,provisional
,Straight Party,,LIB,Bosque,Precinct 4,0,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Bosque,Precinct 4,272,177,78,16,1
Beto O'Rourke,U.S. Senate,,DEM,Bosque,Precinct 4,37,19,13,5,0
Neal M Dikeman,U.S. Senate,,LIB,Bosque,Precinct 4,1,0,1,0,0
Roger Williams,U.S. House,25,REP,Bosque,Precinct 4,271,173,81,16,1
Julie Oliver,U.S. House,25,DEM,Bosque,Precinct 4,35,21,10,4,0
Desarae Lindsey,U.S. House,25,REP,Bosque,Precinct 4,2,1,0,1,0
Greg Abbott,Governor ,,REP,Bosque,Precinct 4,277,179,81,16,1
Lupe Valdez,Governor ,,DEM,Bosque,Precinct 4,32,18,10,4,0
Mark Jay Tippetts,Governor ,,LIB,Bosque,Precinct 4,1,0,1,0,0
Dan Patrick,Lieutenant Governor,,REP,Bosque,Precinct 4,258,163,78,16,1
Mike Collier,Lieutenant Governor,,DEM,Bosque,Precinct 4,44,26,13,5,0
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Bosque,Precinct 4,5,5,0,0,0
Ken Paxton,Attorney General ,,REP,Bosque,Precinct 4,263,168,78,16,1
Justin Nelson,Attorney General ,,DEM,Bosque,Precinct 4,39,21,13,5,0
Michael Ray Harris,Attorney General ,,LIB,Bosque,Precinct 4,4,4,0,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Bosque,Precinct 4,269,173,79,16,1
Joi Chevalier,Comptroller of Public Accounts,,DEM,Bosque,Precinct 4,29,17,8,4,0
Ben Sanders,Comptroller of Public Accounts,,LIB,Bosque,Precinct 4,4,2,2,0,0
George P. Bush,Commissioner of the General Land Office,,REP,Bosque,Precinct 4,261,166,77,17,1
Miguel Suazo,Commissioner of the General Land Office,,DEM,Bosque,Precinct 4,34,20,10,4,0
Matt Pina,Commissioner of the General Land Office,,LIB,Bosque,Precinct 4,6,4,2,0,0
Christi Craddick,Railroad Commissioner,,REP,Bosque,Precinct 4,264,171,76,16,1
Roman McAllen,Railroad Commissioner,,DEM,Bosque,Precinct 4,29,17,9,3,0
Mike Wright,Railroad Commissioner,,LIB,Bosque,Precinct 4,8,5,3,0,0
DeWayne Burns,State Representative ,58,REP,Bosque,Precinct 4,268,171,79,17,1
,Ballots Cast,,,Bosque,Precinct 5,892,412,379,99,2
,Straight Party,,REP,Bosque,Precinct 5,472,221,198,52,1
,Straight Party,,DEM,Bosque,Precinct 5,79,31,28,19,1
,Straight Party,,LIB,Bosque,Precinct 5,0,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Bosque,Precinct 5,684,319,298,66,1
Beto O'Rourke,U.S. Senate,,DEM,Bosque,Precinct 5,196,87,76,32,1
Neal M Dikeman,U.S. Senate,,LIB,Bosque,Precinct 5,4,1,3,0,0
Roger Williams,U.S. House,25,REP,Bosque,Precinct 5,689,321,302,65,1
Julie Oliver,U.S. House,25,DEM,Bosque,Precinct 5,183,83,68,31,1
Desarae Lindsey,U.S. House,25,REP,Bosque,Precinct 5,8,3,4,1,0
Greg Abbott,Governor ,,REP,Bosque,Precinct 5,719,335,314,69,1
Lupe Valdez,Governor ,,DEM,Bosque,Precinct 5,156,68,60,27,1
Mark Jay Tippetts,Governor ,,LIB,Bosque,Precinct 5,12,6,4,2,0
Dan Patrick,Lieutenant Governor,,REP,Bosque,Precinct 5,683,317,296,69,1
Mike Collier,Lieutenant Governor,,DEM,Bosque,Precinct 5,179,82,67,29,1
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Bosque,Precinct 5,21,9,12,0,0
Ken Paxton,Attorney General ,,REP,Bosque,Precinct 5,664,310,288,65,1
Justin Nelson,Attorney General ,,DEM,Bosque,Precinct 5,195,89,73,32,1
Michael Ray Harris,Attorney General ,,LIB,Bosque,Precinct 5,21,8,13,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Bosque,Precinct 5,683,320,297,65,1
Joi Chevalier,Comptroller of Public Accounts,,DEM,Bosque,Precinct 5,161,70,59,31,1
Ben Sanders,Comptroller of Public Accounts,,LIB,Bosque,Precinct 5,28,11,16,1,0
George P. Bush,Commissioner of the General Land Office,,REP,Bosque,Precinct 5,671,311,292,67,1
Miguel Suazo,Commissioner of the General Land Office,,DEM,Bosque,Precinct 5,168,74,64,26,1
Matt Pina,Commissioner of the General Land Office,,LIB,Bosque,Precinct 5,35,18,16,1,0
Christi Craddick,Railroad Commissioner,,REP,Bosque,Precinct 5,690,324,301,64,1
Roman McAllen,Railroad Commissioner,,DEM,Bosque,Precinct 5,158,69,56,32,1
Mike Wright,Railroad Commissioner,,LIB,Bosque,Precinct 5,26,9,16,1,0
DeWayne Burns,State Representative ,58,REP,Bosque,Precinct 5,741,346,322,72,1
,Ballots Cast,,,Bosque,Precinct 6,742,342,328,70,2
,Straight Party,,REP,Bosque,Precinct 6,359,152,166,39,2
,Straight Party,,DEM,Bosque,Precinct 6,59,25,22,12,0
,Straight Party,,LIB,Bosque,Precinct 6,2,1,1,0,0
Ted Cruz,U.S. Senate,,REP,Bosque,Precinct 6,581,263,265,51,2
Beto O'Rourke,U.S. Senate,,DEM,Bosque,Precinct 6,142,73,52,17,0
Neal M Dikeman,U.S. Senate,,LIB,Bosque,Precinct 6,6,3,3,0,0
Roger Williams,U.S. House,25,REP,Bosque,Precinct 6,575,262,260,51,2
Julie Oliver,U.S. House,25,DEM,Bosque,Precinct 6,134,69,49,16,0
Desarae Lindsey,U.S. House,25,REP,Bosque,Precinct 6,15,5,10,0,0
Greg Abbott,Governor ,,REP,Bosque,Precinct 6,602,271,273,56,2
Lupe Valdez,Governor ,,DEM,Bosque,Precinct 6,113,59,40,14,0
Mark Jay Tippetts,Governor ,,LIB,Bosque,Precinct 6,16,8,8,0,0
Dan Patrick,Lieutenant Governor,,REP,Bosque,Precinct 6,569,245,268,54,2
Mike Collier,Lieutenant Governor,,DEM,Bosque,Precinct 6,150,88,46,16,0
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Bosque,Precinct 6,15,7,8,0,0
Ken Paxton,Attorney General ,,REP,Bosque,Precinct 6,565,253,256,54,2
Justin Nelson,Attorney General ,,DEM,Bosque,Precinct 6,141,74,51,16,0
Michael Ray Harris,Attorney General ,,LIB,Bosque,Precinct 6,24,9,15,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Bosque,Precinct 6,588,267,264,55,2
Joi Chevalier,Comptroller of Public Accounts,,DEM,Bosque,Precinct 6,117,59,44,14,0
Ben Sanders,Comptroller of Public Accounts,,LIB,Bosque,Precinct 6,23,10,13,0,0
George P. Bush,Commissioner of the General Land Office,,REP,Bosque,Precinct 6,585,262,267,54,2
Miguel Suazo,Commissioner of the General Land Office,,DEM,Bosque,Precinct 6,114,59,40,15,0
Matt Pina,Commissioner of the General Land Office,,LIB,Bosque,Precinct 6,30,16,14,0,0
Christi Craddick,Railroad Commissioner,,REP,Bosque,Precinct 6,588,268,263,55,2
Roman McAllen,Railroad Commissioner,,DEM,Bosque,Precinct 6,113,57,42,14,0
Mike Wright,Railroad Commissioner,,LIB,Bosque,Precinct 6,27,11,16,0,0
DeWayne Burns,State Representative ,58,REP,Bosque,Precinct 6,616,278,282,54,2
,Ballots Cast,,,Bosque,Precinct 7,445,237,177,31,0
,Straight Party,,REP,Bosque,Precinct 7,185,113,58,14,0
,Straight Party,,DEM,Bosque,Precinct 7,28,14,10,4,0
,Straight Party,,LIB,Bosque,Precinct 7,3,1,2,0,0
Ted Cruz,U.S. Senate,,REP,Bosque,Precinct 7,358,195,142,21,0
Beto O'Rourke,U.S. Senate,,DEM,Bosque,Precinct 7,72,34,29,9,0
Neal M Dikeman,U.S. Senate,,LIB,Bosque,Precinct 7,7,4,3,0,0
Roger Williams,U.S. House,25,REP,Bosque,Precinct 7,362,197,144,21,0
Julie Oliver,U.S. House,25,DEM,Bosque,Precinct 7,64,32,23,9,0
Desarae Lindsey,U.S. House,25,REP,Bosque,Precinct 7,8,4,4,0,0
Greg Abbott,Governor ,,REP,Bosque,Precinct 7,370,202,148,20,0
Lupe Valdez,Governor ,,DEM,Bosque,Precinct 7,59,28,21,10,0
Mark Jay Tippetts,Governor ,,LIB,Bosque,Precinct 7,11,5,5,1,0
Dan Patrick,Lieutenant Governor,,REP,Bosque,Precinct 7,344,191,134,19,0
Mike Collier,Lieutenant Governor,,DEM,Bosque,Precinct 7,82,38,32,12,0
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Bosque,Precinct 7,13,6,7,0,0
Ken Paxton,Attorney General ,,REP,Bosque,Precinct 7,349,192,139,18,0
Justin Nelson,Attorney General ,,DEM,Bosque,Precinct 7,77,36,29,12,0
Michael Ray Harris,Attorney General ,,LIB,Bosque,Precinct 7,12,6,6,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Bosque,Precinct 7,356,196,140,20,0
Joi Chevalier,Comptroller of Public Accounts,,DEM,Bosque,Precinct 7,50,29,14,7,0
Ben Sanders,Comptroller of Public Accounts,,LIB,Bosque,Precinct 7,17,4,12,1,0
George P. Bush,Commissioner of the General Land Office,,REP,Bosque,Precinct 7,356,197,137,22,0
Miguel Suazo,Commissioner of the General Land Office,,DEM,Bosque,Precinct 7,55,27,21,7,0
Matt Pina,Commissioner of the General Land Office,,LIB,Bosque,Precinct 7,22,9,12,1,0
Christi Craddick,Railroad Commissioner,,REP,Bosque,Precinct 7,361,199,141,21,0
Roman McAllen,Railroad Commissioner,,DEM,Bosque,Precinct 7,58,28,23,7,0
Mike Wright,Railroad Commissioner,,LIB,Bosque,Precinct 7,12,6,6,0,0
DeWayne Burns,State Representative ,58,REP,Bosque,Precinct 7,379,202,155,22,0
,Ballots Cast,,,Bosque,Precinct 8,1393,789,452,151,1
,Straight Party,,REP,Bosque,Precinct 8,546,316,173,57,0
,Straight Party,,DEM,Bosque,Precinct 8,105,46,40,19,0
,Straight Party,,LIB,Bosque,Precinct 8,5,1,4,0,0
Ted Cruz,U.S. Senate,,REP,Bosque,Precinct 8,1073,624,344,104,1
Beto O'Rourke,U.S. Senate,,DEM,Bosque,Precinct 8,293,153,97,43,0
Neal M Dikeman,U.S. Senate,,LIB,Bosque,Precinct 8,10,3,6,1,0
Roger Williams,U.S. House,25,REP,Bosque,Precinct 8,1060,613,344,102,1
Julie Oliver,U.S. House,25,DEM,Bosque,Precinct 8,268,141,83,44,0
Desarae Lindsey,U.S. House,25,REP,Bosque,Precinct 8,19,7,11,1,0
Greg Abbott,Governor ,,REP,Bosque,Precinct 8,1135,661,367,106,1
Lupe Valdez,Governor ,,DEM,Bosque,Precinct 8,220,111,68,41,0
Mark Jay Tippetts,Governor ,,LIB,Bosque,Precinct 8,22,7,13,2,0
Dan Patrick,Lieutenant Governor,,REP,Bosque,Precinct 8,1017,595,325,96,1
Mike Collier,Lieutenant Governor,,DEM,Bosque,Precinct 8,314,164,102,48,0
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Bosque,Precinct 8,33,16,13,4,0
Ken Paxton,Attorney General ,,REP,Bosque,Precinct 8,1033,608,328,96,1
Justin Nelson,Attorney General ,,DEM,Bosque,Precinct 8,292,145,98,49,0
Michael Ray Harris,Attorney General ,,LIB,Bosque,Precinct 8,32,16,14,2,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Bosque,Precinct 8,1059,620,334,104,1
Joi Chevalier,Comptroller of Public Accounts,,DEM,Bosque,Precinct 8,227,120,69,38,0
Ben Sanders,Comptroller of Public Accounts,,LIB,Bosque,Precinct 8,51,20,27,4,0
George P. Bush,Commissioner of the General Land Office,,REP,Bosque,Precinct 8,1082,630,349,102,1
Miguel Suazo,Commissioner of the General Land Office,,DEM,Bosque,Precinct 8,220,106,72,42,0
Matt Pina,Commissioner of the General Land Office,,LIB,Bosque,Precinct 8,50,28,19,3,0
Christi Craddick,Railroad Commissioner,,REP,Bosque,Precinct 8,1089,636,348,104,1
Roman McAllen,Railroad Commissioner,,DEM,Bosque,Precinct 8,221,111,70,40,0
Mike Wright,Railroad Commissioner,,LIB,Bosque,Precinct 8,34,14,18,2,0
DeWayne Burns,State Representative ,58,REP,Bosque,Precinct 8,1165,673,374,117,1
,Ballots Cast,,,Bosque,Precinct 9,572,347,176,49,0
,Straight Party,,REP,Bosque,Precinct 9,245,156,67,22,0
,Straight Party,,DEM,Bosque,Precinct 9,57,33,14,10,0
,Straight Party,,LIB,Bosque,Precinct 9,5,2,3,0,0
Ted Cruz,U.S. Senate,,REP,Bosque,Precinct 9,451,274,144,33,0
Beto O'Rourke,U.S. Senate,,DEM,Bosque,Precinct 9,112,67,30,15,0
Neal M Dikeman,U.S. Senate,,LIB,Bosque,Precinct 9,3,1,2,0,0
Roger Williams,U.S. House,25,REP,Bosque,Precinct 9,436,266,138,32,0
Julie Oliver,U.S. House,25,DEM,Bosque,Precinct 9,116,69,31,16,0
Desarae Lindsey,U.S. House,25,REP,Bosque,Precinct 9,5,3,2,0,0
Greg Abbott,Governor ,,REP,Bosque,Precinct 9,458,281,146,31,0
Lupe Valdez,Governor ,,DEM,Bosque,Precinct 9,101,59,25,17,0
Mark Jay Tippetts,Governor ,,LIB,Bosque,Precinct 9,6,2,4,0,0
Dan Patrick,Lieutenant Governor,,REP,Bosque,Precinct 9,438,272,136,30,0
Mike Collier,Lieutenant Governor,,DEM,Bosque,Precinct 9,113,65,32,16,0
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Bosque,Precinct 9,9,5,4,0,0
Ken Paxton,Attorney General ,,REP,Bosque,Precinct 9,426,263,133,30,0
Justin Nelson,Attorney General ,,DEM,Bosque,Precinct 9,118,69,31,18,0
Michael Ray Harris,Attorney General ,,LIB,Bosque,Precinct 9,13,7,6,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Bosque,Precinct 9,447,279,136,32,0
Joi Chevalier,Comptroller of Public Accounts,,DEM,Bosque,Precinct 9,93,53,26,14,0
Ben Sanders,Comptroller of Public Accounts,,LIB,Bosque,Precinct 9,10,5,5,0,0
George P. Bush,Commissioner of the General Land Office,,REP,Bosque,Precinct 9,441,273,135,33,0
Miguel Suazo,Commissioner of the General Land Office,,DEM,Bosque,Precinct 9,98,55,28,15,0
Matt Pina,Commissioner of the General Land Office,,LIB,Bosque,Precinct 9,15,9,6,0,0
Christi Craddick,Railroad Commissioner,,REP,Bosque,Precinct 9,445,277,137,31,0
Roman McAllen,Railroad Commissioner,,DEM,Bosque,Precinct 9,106,59,30,17,0
Mike Wright,Railroad Commissioner,,LIB,Bosque,Precinct 9,7,3,4,0,0
DeWayne Burns,State Representative ,58,REP,Bosque,Precinct 9,474,288,150,36,0
,Ballots Cast,,,Bosque,Precinct 10,805,265,505,35,0
,Straight Party,,REP,Bosque,Precinct 10,364,118,233,13,0
,Straight Party,,DEM,Bosque,Precinct 10,72,22,43,7,0
,Straight Party,,LIB,Bosque,Precinct 10,5,2,3,0,0
Ted Cruz,U.S. Senate,,REP,Bosque,Precinct 10,630,213,392,25,0
Beto O'Rourke,U.S. Senate,,DEM,Bosque,Precinct 10,156,48,98,10,0
Neal M Dikeman,U.S. Senate,,LIB,Bosque,Precinct 10,13,3,10,0,0
Roger Williams,U.S. House,25,REP,Bosque,Precinct 10,630,209,397,24,0
Julie Oliver,U.S. House,25,DEM,Bosque,Precinct 10,149,47,91,11,0
Desarae Lindsey,U.S. House,25,REP,Bosque,Precinct 10,12,3,9,0,0
Greg Abbott,Governor ,,REP,Bosque,Precinct 10,665,220,419,26,0
Lupe Valdez,Governor ,,DEM,Bosque,Precinct 10,126,43,75,8,0
Mark Jay Tippetts,Governor ,,LIB,Bosque,Precinct 10,10,2,7,1,0
Dan Patrick,Lieutenant Governor,,REP,Bosque,Precinct 10,600,201,375,24,0
Mike Collier,Lieutenant Governor,,DEM,Bosque,Precinct 10,182,55,116,11,0
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Bosque,Precinct 10,12,4,8,0,0
Ken Paxton,Attorney General ,,REP,Bosque,Precinct 10,608,200,385,23,0
Justin Nelson,Attorney General ,,DEM,Bosque,Precinct 10,166,52,102,12,0
Michael Ray Harris,Attorney General ,,LIB,Bosque,Precinct 10,20,9,11,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Bosque,Precinct 10,630,206,400,24,0
Joi Chevalier,Comptroller of Public Accounts,,DEM,Bosque,Precinct 10,125,38,76,11,0
Ben Sanders,Comptroller of Public Accounts,,LIB,Bosque,Precinct 10,26,10,16,0,0
George P. Bush,Commissioner of the General Land Office,,REP,Bosque,Precinct 10,626,205,400,21,0
Miguel Suazo,Commissioner of the General Land Office,,DEM,Bosque,Precinct 10,129,39,80,10,0
Matt Pina,Commissioner of the General Land Office,,LIB,Bosque,Precinct 10,36,15,17,4,0
Christi Craddick,Railroad Commissioner,,REP,Bosque,Precinct 10,628,209,395,24,0
Roman McAllen,Railroad Commissioner,,DEM,Bosque,Precinct 10,138,41,86,11,0
Mike Wright,Railroad Commissioner,,LIB,Bosque,Precinct 10,22,8,14,0,0
DeWayne Burns,State Representative ,58,REP,Bosque,Precinct 10,663,218,420,25,0
,Ballots Cast,,,Bosque,Precinct 11,521,187,289,45,0
,Straight Party,,REP,Bosque,Precinct 11,253,94,133,26,0
,Straight Party,,DEM,Bosque,Precinct 11,26,10,12,4,0
,Straight Party,,LIB,Bosque,Precinct 11,2,0,2,0,0
Ted Cruz,U.S. Senate,,REP,Bosque,Precinct 11,422,151,236,35,0
Beto O'Rourke,U.S. Senate,,DEM,Bosque,Precinct 11,87,33,45,9,0
Neal M Dikeman,U.S. Senate,,LIB,Bosque,Precinct 11,7,1,6,0,0
Roger Williams,U.S. House,25,REP,Bosque,Precinct 11,423,151,234,38,0
Julie Oliver,U.S. House,25,DEM,Bosque,Precinct 11,78,27,44,7,0
Desarae Lindsey,U.S. House,25,REP,Bosque,Precinct 11,9,4,5,0,0
Greg Abbott,Governor ,,REP,Bosque,Precinct 11,438,157,243,38,0
Lupe Valdez,Governor ,,DEM,Bosque,Precinct 11,68,26,36,6,0
Mark Jay Tippetts,Governor ,,LIB,Bosque,Precinct 11,9,2,6,1,0
Dan Patrick,Lieutenant Governor,,REP,Bosque,Precinct 11,406,146,224,36,0
Mike Collier,Lieutenant Governor,,DEM,Bosque,Precinct 11,96,36,52,8,0
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Bosque,Precinct 11,14,5,8,1,0
Ken Paxton,Attorney General ,,REP,Bosque,Precinct 11,409,149,225,35,0
Justin Nelson,Attorney General ,,DEM,Bosque,Precinct 11,88,32,47,9,0
Michael Ray Harris,Attorney General ,,LIB,Bosque,Precinct 11,15,5,9,1,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Bosque,Precinct 11,423,151,232,40,0
Joi Chevalier,Comptroller of Public Accounts,,DEM,Bosque,Precinct 11,67,27,35,5,0
Ben Sanders,Comptroller of Public Accounts,,LIB,Bosque,Precinct 11,20,9,11,0,0
George P. Bush,Commissioner of the General Land Office,,REP,Bosque,Precinct 11,416,150,229,37,0
Miguel Suazo,Commissioner of the General Land Office,,DEM,Bosque,Precinct 11,74,31,38,5,0
Matt Pina,Commissioner of the General Land Office,,LIB,Bosque,Precinct 11,19,5,13,1,0
Christi Craddick,Railroad Commissioner,,REP,Bosque,Precinct 11,424,151,234,39,0
Roman McAllen,Railroad Commissioner,,DEM,Bosque,Precinct 11,76,29,42,5,0
Mike Wright,Railroad Commissioner,,LIB,Bosque,Precinct 11,12,5,6,1,0
DeWayne Burns,State Representative ,58,REP,Bosque,Precinct 11,456,157,259,40,0
