county,precinct,office,party,candidate,votes,election_day,early_voting
Hardeman,3,Lieutenant Governor,DEM,Michael Edward Collier,6,4,2
Hardeman,4,Lieutenant Governor,DEM,Michael  Cooper,10,9,1
Hardeman,4,Lieutenant Governor,DEM,Michael Edward Collier,9,6,3
Hardeman,1,U. S. Senator,DEM,Edward Wayne Kimbrough,4,2,2
Hardeman,1,U. S. Senator,DEM,Irasema Ramirez-Hernandez,1,0,1
Hardeman,1,U. S. Senator,DEM,Robert Francis O'Rourke,4,4,0
Hardeman,2,U. S. Senator,DEM,Edward Wayne Kimbrough,3,0,3
Hardeman,2,U. S. Senator,DEM,Irasema Ramirez-Hernandez,5,0,5
Hardeman,2,U. S. Senator,DEM,Robert Francis O'Rourke,6,0,6
Hardeman,3,U. S. Senator,DEM,Edward Wayne Kimbrough,4,0,4
Hardeman,3,U. S. Senator,DEM,Irasema Ramirez-Hernandez,1,1,0
Hardeman,3,U. S. Senator,DEM,Robert Francis O'Rourke,7,5,2
Hardeman,4,U. S. Senator,DEM,Edward Wayne Kimbrough,8,4,4
Hardeman,4,U. S. Senator,DEM,Irasema Ramirez-Hernandez,4,4,0
Hardeman,4,U. S. Senator,DEM,Robert Francis O'Rourke,11,7,4
Hardeman,1,U. S. Representative District 13,DEM,Gregory T. Sagan,9,6,3
Hardeman,2,U. S. Representative District 13,DEM,Gregory T. Sagan,8,0,8
Hardeman,3,U. S. Representative District 13,DEM,Gregory T. Sagan,10,6,4
Hardeman,4,U. S. Representative District 13,DEM,Gregory T. Sagan,20,15,5
Hardeman,1,Governor,REP,Barbara Krueger,9,4,5
Hardeman,1,Governor,REP,Gregory Abbott,97,67,30
Hardeman,1,Governor,REP,Larry Kilgore,0,0,0
Hardeman,2,Governor,REP,Barbara Krueger,5,1,4
Hardeman,2,Governor,REP,Gregory Abbott,70,38,32
Hardeman,2,Governor,REP,Larry Kilgore,1,1,0
Hardeman,3,Governor,REP,Barbara Krueger,9,8,1
Hardeman,3,Governor,REP,Gregory Abbott,53,38,15
Hardeman,3,Governor,REP,Larry Kilgore,3,1,2
Hardeman,4,Governor,REP,Barbara Krueger,15,8,7
Hardeman,4,Governor,REP,Gregory Abbott,94,50,44
Hardeman,4,Governor,REP,Larry Kilgore,1,0,1
Hardeman,1,Railroad Commissioner,REP,Christi Craddick,67,48,19
Hardeman,1,Railroad Commissioner,REP,Weston Martinez,23,16,7
Hardeman,2,Railroad Commissioner,REP,Christi Craddick,50,27,23
Hardeman,2,Railroad Commissioner,REP,Weston Martinez,12,6,6
Hardeman,3,Railroad Commissioner,REP,Christi Craddick,31,22,9
Hardeman,3,Railroad Commissioner,REP,Weston Martinez,19,12,7
Hardeman,4,Railroad Commissioner,REP,Christi Craddick,77,44,33
Hardeman,4,Railroad Commissioner,REP,Weston Martinez,19,9,10
Hardeman,1,State Representative District 68,REP,Drew Springer Jr.,92,64,28
Hardeman,2,State Representative District 68,REP,Drew Springer Jr.,58,31,27
Hardeman,3,State Representative District 68,REP,Drew Springer Jr.,53,36,17
Hardeman,4,State Representative District 68,REP,Drew Springer Jr.,98,55,43
Hardeman,1,Attorney General,REP,Warren Paxton,95,65,30
Hardeman,2,Attorney General,REP,Warren Paxton,67,36,31
Hardeman,3,Attorney General,REP,Warren Paxton,49,34,15
Hardeman,4,Attorney General,REP,Warren Paxton,98,57,41
Hardeman,1,Comptroller of Public Accounts,REP,Glenn Hegar,94,65,29
Hardeman,2,Comptroller of Public Accounts,REP,Glenn Hegar,66,36,30
Hardeman,3,Comptroller of Public Accounts,REP,Glenn Hegar,50,34,16
Hardeman,4,Comptroller of Public Accounts,REP,Glenn Hegar,94,54,40
Hardeman,1,U. S. Senator,REP,Bruce Jacobson,5,4,1
Hardeman,1,U. S. Senator,REP,Geraldine Sam,0,0,0
Hardeman,1,U. S. Senator,REP,Mary Miller,8,4,4
Hardeman,1,U. S. Senator,REP,Rafael  Cruz,98,65,33
Hardeman,1,U. S. Senator,REP,Stefano de Stefano IV,0,0,0
Hardeman,2,U. S. Senator,REP,Bruce Jacobson,2,2,0
Hardeman,2,U. S. Senator,REP,Geraldine Sam,0,0,0
Hardeman,2,U. S. Senator,REP,Mary Miller,8,2,6
Hardeman,2,U. S. Senator,REP,Rafael  Cruz,65,35,30
Hardeman,2,U. S. Senator,REP,Stefano de Stefano IV,1,0,1
Hardeman,3,U. S. Senator,REP,Bruce Jacobson,2,2,0
Hardeman,3,U. S. Senator,REP,Geraldine Sam,2,2,0
Hardeman,3,U. S. Senator,REP,Mary Miller,6,4,2
Hardeman,3,U. S. Senator,REP,Rafael  Cruz,54,37,17
Hardeman,3,U. S. Senator,REP,Stefano de Stefano IV,3,0,3
Hardeman,4,U. S. Senator,REP,Bruce Jacobson,12,7,5
Hardeman,4,U. S. Senator,REP,Geraldine Sam,1,0,1
Hardeman,4,U. S. Senator,REP,Mary Miller,2,2,0
Hardeman,4,U. S. Senator,REP,Rafael  Cruz,94,47,47
Hardeman,4,U. S. Senator,REP,Stefano de Stefano IV,2,1,1
Hardeman,1,U. S. Representative District 13,REP,William  Thornberry,104,74,30
Hardeman,2,U. S. Representative District 13,REP,William  Thornberry,71,37,34
Hardeman,3,U. S. Representative District 13,REP,William  Thornberry,57,41,16
Hardeman,4,U. S. Representative District 13,REP,William  Thornberry,102,55,47
Hardeman,1,Commissioner of Agriculture,REP,Jimmie Hogan,21,15,6
Hardeman,1,Commissioner of Agriculture,REP,Sidney Miller,49,36,13
Hardeman,1,Commissioner of Agriculture,REP,Trey Blocker,28,19,9
Hardeman,2,Commissioner of Agriculture,REP,Jimmie Hogan,15,6,9
Hardeman,2,Commissioner of Agriculture,REP,Sidney Miller,33,18,15
Hardeman,2,Commissioner of Agriculture,REP,Trey Blocker,18,10,8
Hardeman,3,Commissioner of Agriculture,REP,Jimmie Hogan,12,6,6
Hardeman,3,Commissioner of Agriculture,REP,Sidney Miller,32,27,5
Hardeman,3,Commissioner of Agriculture,REP,Trey Blocker,13,8,5
Hardeman,4,Commissioner of Agriculture,REP,Jimmie Hogan,21,10,11
Hardeman,4,Commissioner of Agriculture,REP,Sidney Miller,61,30,31
Hardeman,4,Commissioner of Agriculture,REP,Trey Blocker,24,17,7
Hardeman,1,Lieutenant Governor,REP,Dan Patrick,56,46,10
Hardeman,1,Lieutenant Governor,REP,Scott Milder,54,27,27
Hardeman,2,Lieutenant Governor,REP,Dan Patrick,46,25,21
Hardeman,2,Lieutenant Governor,REP,Scott Milder,27,12,15
Hardeman,3,Lieutenant Governor,REP,Dan Patrick,38,29,9
Hardeman,3,Lieutenant Governor,REP,Scott Milder,22,13,9
Hardeman,4,Lieutenant Governor,REP,Dan Patrick,57,27,30
Hardeman,4,Lieutenant Governor,REP,Scott Milder,53,33,20
Hardeman,1,Commissioner of the General Land Office,REP,George Bush,69,46,23
Hardeman,1,Commissioner of the General Land Office,REP,Jerry Patterson,17,13,4
Hardeman,1,Commissioner of the General Land Office,REP,Richard Range,10,7,3
Hardeman,1,Commissioner of the General Land Office,REP,William Edwards,6,3,3
Hardeman,2,Commissioner of the General Land Office,REP,George Bush,44,25,19
Hardeman,2,Commissioner of the General Land Office,REP,Jerry Patterson,15,8,7
Hardeman,2,Commissioner of the General Land Office,REP,Richard Range,5,3,2
Hardeman,2,Commissioner of the General Land Office,REP,William Edwards,1,0,1
Hardeman,3,Commissioner of the General Land Office,REP,George Bush,38,27,11
Hardeman,3,Commissioner of the General Land Office,REP,Jerry Patterson,15,10,5
Hardeman,3,Commissioner of the General Land Office,REP,Richard Range,5,4,1
Hardeman,3,Commissioner of the General Land Office,REP,William Edwards,2,2,0
Hardeman,4,Commissioner of the General Land Office,REP,George Bush,67,29,38
Hardeman,4,Commissioner of the General Land Office,REP,Jerry Patterson,27,18,9
Hardeman,4,Commissioner of the General Land Office,REP,Richard Range,10,7,3
Hardeman,4,Commissioner of the General Land Office,REP,William Edwards,1,1,0
