county,precinct,office,district,party,candidate,absentee,early_voting,election_day,votes
Potter,322,U.S. Senate,,DEM,Edward Kimbrough,0,0,1,1
Potter,322,U.S. House,13,DEM,Greg Sagan,0,0,8,8
Potter,322,Governor,,DEM,Joe Mumbach,0,0,0,0
Potter,322,Governor,,DEM,James Jolly Clark,0,0,0,0
Potter,322,Governor,,DEM,Andrew White,0,0,3,3
Potter,322,Governor,,DEM,Lupe Valdez,0,0,2,2
Potter,322,Governor,,DEM,Grady Yarbrough,0,0,2,2
Potter,322,Governor,,DEM,Tom Wakely,0,0,1,1
Potter,322,Governor,,DEM,Jeffrey Payne,0,0,0,0
Potter,322,Governor,,DEM,Adrian Ocegueda,0,0,0,0
Potter,322,Governor,,DEM,"Cedric Davis, Sr.",0,0,0,0
Potter,322,Lieutenant Governor,,DEM,Mike Collier,0,0,3,3
Potter,322,Lieutenant Governor,,DEM,Michael Cooper,0,0,5,5
Potter,322,Attorney General,,DEM,Justin Nelson,0,0,7,7
Potter,322,Comptroller of Public Accounts,,DEM,Tim Mahoney,0,0,1,1
