county,office,district,party,candidate,incumbent,votes,pct
ANDERSON,District Judge,87th Judicial District,REP,Deborah Oakes Evans,True,5089,100.00
ANDERSON,District Judge,87th Judicial District,,Total,,5089,
ANDERSON,District Judge,369th Judicial District,REP,Michael Davis,True,4070,66.84
ANDERSON,District Judge,369th Judicial District,REP,Frank Dobrovolny,False,2019,33.16
ANDERSON,District Judge,369th Judicial District,,Total,,6089,
ANDERSON,Criminal,Attorney Anderson County,REP,Allyson Mitchell,True,5439,100.00
ANDERSON,Criminal,Attorney Anderson County,,Total,,5439,
ANDERSON,Proposition 1  Texas should replace the property tax system with an appropriate consumption tax equivalent,,REP,IN FAVOR,False,4078,68.14
ANDERSON,Proposition 1  Texas should replace the property tax system with an appropriate consumption tax equivalent,,REP,AGAINST,False,1907,31.86
ANDERSON,Proposition 1  Texas should replace the property tax system with an appropriate consumption tax equivalent,,,Total,,5985,
ANDERSON,Proposition 2  No governmental entity should ever construct or fund construction of toll roads without voter,,REP,IN FAVOR,False,5830,92.72
ANDERSON,Proposition 2  No governmental entity should ever construct or fund construction of toll roads without voter,,REP,AGAINST,False,458,7.28
ANDERSON,Proposition 2  No governmental entity should ever construct or fund construction of toll roads without voter,,,Total,,6288,
ANDERSON,Proposition 3  Republicans in the Texas House should select their Speaker nominee by secret ballot in a bind,,REP,IN FAVOR,False,5445,88.08
ANDERSON,Proposition 3  Republicans in the Texas House should select their Speaker nominee by secret ballot in a bind,,REP,AGAINST,False,737,11.92
ANDERSON,Proposition 3  Republicans in the Texas House should select their Speaker nominee by secret ballot in a bind,,,Total,,6182,
ANDERSON,Proposition 4  Texas should require employers to screen new hires through the free EVerify system to protec,,REP,IN FAVOR,False,5787,92.39
ANDERSON,Proposition 4  Texas should require employers to screen new hires through the free EVerify system to protec,,REP,AGAINST,False,477,7.61
ANDERSON,Proposition 4  Texas should require employers to screen new hires through the free EVerify system to protec,,,Total,,6264,
ANDERSON,"Proposition 5  Texas families should be empowered to choose from public, private, charter, or homeschool opt",,REP,IN FAVOR,False,5025,79.90
ANDERSON,"Proposition 5  Texas families should be empowered to choose from public, private, charter, or homeschool opt",,REP,AGAINST,False,1264,20.10
ANDERSON,"Proposition 5  Texas families should be empowered to choose from public, private, charter, or homeschool opt",,,Total,,6289,
ANDERSON,Proposition 6  Texas should protect the privacy and safety of women and children in spaces such as bathrooms,,REP,IN FAVOR,False,6071,95.82
ANDERSON,Proposition 6  Texas should protect the privacy and safety of women and children in spaces such as bathrooms,,REP,AGAINST,False,265,4.18
ANDERSON,Proposition 6  Texas should protect the privacy and safety of women and children in spaces such as bathrooms,,,Total,,6336,
ANDERSON,Proposition 7  I believe abortion should be abolished in Texas,,REP,IN FAVOR,False,4797,77.01
ANDERSON,Proposition 7  I believe abortion should be abolished in Texas,,REP,AGAINST,False,1432,22.99
ANDERSON,Proposition 7  I believe abortion should be abolished in Texas,,,Total,,6229,
ANDERSON,Proposition 8  Vote fraud should be a felony in Texas to help ensure fair elections,,REP,IN FAVOR,False,6172,97.26
ANDERSON,Proposition 8  Vote fraud should be a felony in Texas to help ensure fair elections,,REP,AGAINST,False,174,2.74
ANDERSON,Proposition 8  Vote fraud should be a felony in Texas to help ensure fair elections,,,Total,,6346,
ANDERSON,Proposition 9  Texas demands that Congress completely repeal Obamacare,,REP,IN FAVOR,False,5821,92.47
ANDERSON,Proposition 9  Texas demands that Congress completely repeal Obamacare,,REP,AGAINST,False,474,7.53
ANDERSON,Proposition 9  Texas demands that Congress completely repeal Obamacare,,,Total,,6295,
ANDERSON,"Proposition 10  To slow the growth of property taxes, yearly revenue increases should be capped at 4%, with",,REP,IN FAVOR,False,5936,95.82
ANDERSON,"Proposition 10  To slow the growth of property taxes, yearly revenue increases should be capped at 4%, with",,REP,AGAINST,False,259,4.18
ANDERSON,"Proposition 10  To slow the growth of property taxes, yearly revenue increases should be capped at 4%, with",,,Total,,6195,
ANDERSON,Proposition 11  Tax dollars should not be used to fund the building of stadiums for professional or semipro,,REP,IN FAVOR,False,5649,89.78
ANDERSON,Proposition 11  Tax dollars should not be used to fund the building of stadiums for professional or semipro,,REP,AGAINST,False,643,10.22
ANDERSON,Proposition 11  Tax dollars should not be used to fund the building of stadiums for professional or semipro,,,Total,,6292,
ANDREWS,U. S. Senator,,REP,Ted Cruz,True,1781,84.29
ANDREWS,U. S. Senator,,REP,Stefano de Stefano,False,51,2.41
ANDREWS,U. S. Senator,,REP,"Bruce Jacobson, Jr.",False,106,5.02
ANDREWS,U. S. Senator,,REP,Mary Miller,False,133,6.29
ANDREWS,U. S. Senator,,REP,Geraldine Sam,False,42,1.99
ANDREWS,U. S. Senator,,,Total,,2113,
ANDREWS,U. S. Representative,11,REP,Mike Conaway,True,1928,89.88
ANDREWS,U. S. Representative,11,REP,Paul Myers,False,217,10.12
ANDREWS,U. S. Representative,11,,Total,,2145,
ANDREWS,Governor,,REP,Greg Abbott,True,1866,86.99
ANDREWS,Governor,,REP,SECEDE Kilgore,False,49,2.28
ANDREWS,Governor,,REP,Barbara Krueger,False,230,10.72
ANDREWS,Governor,,,Total,,2145,
ANDREWS,Lieutenant Governor,,REP,Scott Milder,False,626,30.37
ANDREWS,Lieutenant Governor,,REP,Dan Patrick,True,1435,69.63
ANDREWS,Lieutenant Governor,,,Total,,2061,
ANDREWS,Attorney General,,REP,Ken Paxton,True,1752,100.00
ANDREWS,Attorney General,,,Total,,1752,
ANDREWS,Comptroller of Public Accounts,,REP,Glenn Hegar,True,1682,100.00
ANDREWS,Comptroller of Public Accounts,,,Total,,1682,
ANDREWS,Commissioner of the General Land Office,,REP,George P. Bush,True,1285,66.44
ANDREWS,Commissioner of the General Land Office,,REP,Davey Edwards,False,160,8.27
ANDREWS,Commissioner of the General Land Office,,REP,Jerry Patterson,False,349,18.05
ANDREWS,Commissioner of the General Land Office,,REP,Rick Range,False,140,7.24
ANDREWS,Commissioner of the General Land Office,,,Total,,1934,
ANDREWS,Commissioner of Agriculture,,REP,Trey Blocker,False,524,29.13
ANDREWS,Commissioner of Agriculture,,REP,Jim Hogan,False,554,30.79
ANDREWS,Commissioner of Agriculture,,REP,Sid Miller,True,721,40.08
ANDREWS,Commissioner of Agriculture,,,Total,,1799,
ANDREWS,Railroad Commissioner,,REP,Christi Craddick,True,1372,73.10
ANDREWS,Railroad Commissioner,,REP,Weston Martinez,False,505,26.90
ANDREWS,Railroad Commissioner,,,Total,,1877,
ANDREWS,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,False,1569,100.00
ANDREWS,"Justice, Supreme Court, Place 2",,,Total,,1569,
ANDREWS,"Justice, Supreme Court, Place 4",,REP,John Devine,True,1560,100.00
ANDREWS,"Justice, Supreme Court, Place 4",,,Total,,1560,
ANDREWS,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,True,1543,100.00
ANDREWS,"Justice, Supreme Court, Place 6",,,Total,,1543,
ANDREWS,"Presiding Judge, Court of Criminal Appeals",,REP,David Bridges,False,871,50.76
ANDREWS,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,True,845,49.24
ANDREWS,"Presiding Judge, Court of Criminal Appeals",,,Total,,1716,
ANDREWS,Judge Court of Criminal Appeals,7,REP,Barbara Parker Hervey,True,1512,100.00
ANDREWS,Judge Court of Criminal Appeals,7,,Total,,1512,
ANDREWS,Judge Court of Criminal Appeals,8,REP,Jay Brandon,False,488,29.33
ANDREWS,Judge Court of Criminal Appeals,8,REP,Michelle Slaughter,False,792,47.60
ANDREWS,Judge Court of Criminal Appeals,8,REP,Dib Waldrip,False,384,23.08
ANDREWS,Judge Court of Criminal Appeals,8,,Total,,1664,
ANDREWS,State Senator,31,REP,Mike Canon,False,786,36.69
ANDREWS,State Senator,31,REP,Victor Leal,False,323,15.08
ANDREWS,State Senator,31,REP,Kel Seliger,True,1033,48.23
ANDREWS,State Senator,31,,Total,,2142,
ANDREWS,State Representative,81,REP,Brooks Landgraf,True,1774,100.00
ANDREWS,State Representative,81,,Total,,1774,
ANDREWS,District Judge,109th Judicial District,REP,John L. Pool,False,1765,100.00
ANDREWS,District Judge,109th Judicial District,,Total,,1765,
ANDREWS,Proposition 1  Texas should replace the property tax system with an appropriate consumption tax equivalent,,REP,IN FAVOR,False,1403,70.47
ANDREWS,Proposition 1  Texas should replace the property tax system with an appropriate consumption tax equivalent,,REP,AGAINST,False,588,29.53
ANDREWS,Proposition 1  Texas should replace the property tax system with an appropriate consumption tax equivalent,,,Total,,1991,
ANDREWS,Proposition 2  No governmental entity should ever construct or fund construction of toll roads without voter,,REP,IN FAVOR,False,1924,89.74
ANDREWS,Proposition 2  No governmental entity should ever construct or fund construction of toll roads without voter,,REP,AGAINST,False,220,10.26
ANDREWS,Proposition 2  No governmental entity should ever construct or fund construction of toll roads without voter,,,Total,,2144,
ANDREWS,Proposition 3  Republicans in the Texas House should select their Speaker nominee by secret ballot in a bind,,REP,IN FAVOR,False,1724,83.04
ANDREWS,Proposition 3  Republicans in the Texas House should select their Speaker nominee by secret ballot in a bind,,REP,AGAINST,False,352,16.96
ANDREWS,Proposition 3  Republicans in the Texas House should select their Speaker nominee by secret ballot in a bind,,,Total,,2076,
ANDREWS,Proposition 4  Texas should require employers to screen new hires through the free EVerify system to protec,,REP,IN FAVOR,False,1883,89.54
ANDREWS,Proposition 4  Texas should require employers to screen new hires through the free EVerify system to protec,,REP,AGAINST,False,220,10.46
ANDREWS,Proposition 4  Texas should require employers to screen new hires through the free EVerify system to protec,,,Total,,2103,
ANDREWS,"Proposition 5  Texas families should be empowered to choose from public, private, charter, or homeschool opt",,REP,IN FAVOR,False,1601,75.84
ANDREWS,"Proposition 5  Texas families should be empowered to choose from public, private, charter, or homeschool opt",,REP,AGAINST,False,510,24.16
ANDREWS,"Proposition 5  Texas families should be empowered to choose from public, private, charter, or homeschool opt",,,Total,,2111,
ANDREWS,Proposition 6  Texas should protect the privacy and safety of women and children in spaces such as bathrooms,,REP,IN FAVOR,False,2058,95.72
ANDREWS,Proposition 6  Texas should protect the privacy and safety of women and children in spaces such as bathrooms,,REP,AGAINST,False,92,4.28
ANDREWS,Proposition 6  Texas should protect the privacy and safety of women and children in spaces such as bathrooms,,,Total,,2150,
ANDREWS,Proposition 7  I believe abortion should be abolished in Texas,,REP,IN FAVOR,False,1546,74.47
ANDREWS,Proposition 7  I believe abortion should be abolished in Texas,,REP,AGAINST,False,530,25.53
ANDREWS,Proposition 7  I believe abortion should be abolished in Texas,,,Total,,2076,
ANDREWS,Proposition 8  Vote fraud should be a felony in Texas to help ensure fair elections,,REP,IN FAVOR,False,2048,96.02
ANDREWS,Proposition 8  Vote fraud should be a felony in Texas to help ensure fair elections,,REP,AGAINST,False,85,3.98
ANDREWS,Proposition 8  Vote fraud should be a felony in Texas to help ensure fair elections,,,Total,,2133,
ANDREWS,Proposition 9  Texas demands that Congress completely repeal Obamacare,,REP,IN FAVOR,False,1856,87.14
ANDREWS,Proposition 9  Texas demands that Congress completely repeal Obamacare,,REP,AGAINST,False,274,12.86
ANDREWS,Proposition 9  Texas demands that Congress completely repeal Obamacare,,,Total,,2130,
ANDREWS,"Proposition 10  To slow the growth of property taxes, yearly revenue increases should be capped at 4%, with",,REP,IN FAVOR,False,1921,92.89
ANDREWS,"Proposition 10  To slow the growth of property taxes, yearly revenue increases should be capped at 4%, with",,REP,AGAINST,False,147,7.11
ANDREWS,"Proposition 10  To slow the growth of property taxes, yearly revenue increases should be capped at 4%, with",,,Total,,2068,
ANDREWS,Proposition 11  Tax dollars should not be used to fund the building of stadiums for professional or semipro,,REP,IN FAVOR,False,1767,82.96
ANDREWS,Proposition 11  Tax dollars should not be used to fund the building of stadiums for professional or semipro,,REP,AGAINST,False,363,17.04
ANDREWS,Proposition 11  Tax dollars should not be used to fund the building of stadiums for professional or semipro,,,Total,,2130,
ANGELINA,U. S. Senator,,REP,Ted Cruz,True,7061,87.69
ANGELINA,U. S. Senator,,REP,Stefano de Stefano,False,88,1.09
ANGELINA,U. S. Senator,,REP,"Bruce Jacobson, Jr.",False,442,5.49
ANGELINA,U. S. Senator,,REP,Mary Miller,False,347,4.31
ANGELINA,U. S. Senator,,REP,Geraldine Sam,False,114,1.42
ANGELINA,U. S. Senator,,,Total,,8052,
ANGELINA,U. S. Representative,1,REP,Anthony Culler,False,601,7.48
ANGELINA,U. S. Representative,1,REP,Louie Gohmert,True,6897,85.86
ANGELINA,U. S. Representative,1,REP,Roshin Rowjee,False,535,6.66
ANGELINA,U. S. Representative,1,,Total,,8033,
ANGELINA,Governor,,REP,Greg Abbott,True,7412,93.46
ANGELINA,Governor,,REP,SECEDE Kilgore,False,90,1.13
ANGELINA,Governor,,REP,Barbara Krueger,False,429,5.41
ANGELINA,Governor,,,Total,,7931,
ANGELINA,Lieutenant Governor,,REP,Scott Milder,False,2418,30.15
ANGELINA,Lieutenant Governor,,REP,Dan Patrick,True,5601,69.85
ANGELINA,Lieutenant Governor,,,Total,,8019,
ANGELINA,Attorney General,,REP,Ken Paxton,True,6793,100.00
ANGELINA,Attorney General,,,Total,,6793,
ANGELINA,Comptroller of Public Accounts,,REP,Glenn Hegar,True,6624,100.00
ANGELINA,Comptroller of Public Accounts,,,Total,,6624,
ANGELINA,Commissioner of the General Land Office,,REP,George P. Bush,True,4857,63.24
ANGELINA,Commissioner of the General Land Office,,REP,Davey Edwards,False,316,4.11
ANGELINA,Commissioner of the General Land Office,,REP,Jerry Patterson,False,2051,26.71
ANGELINA,Commissioner of the General Land Office,,REP,Rick Range,False,456,5.94
ANGELINA,Commissioner of the General Land Office,,,Total,,7680,
ANGELINA,Commissioner of Agriculture,,REP,Trey Blocker,False,1127,16.48
ANGELINA,Commissioner of Agriculture,,REP,Jim Hogan,False,2272,33.22
ANGELINA,Commissioner of Agriculture,,REP,Sid Miller,True,3441,50.31
ANGELINA,Commissioner of Agriculture,,,Total,,6840,
ANGELINA,Railroad Commissioner,,REP,Christi Craddick,True,5235,76.67
ANGELINA,Railroad Commissioner,,REP,Weston Martinez,False,1593,23.33
ANGELINA,Railroad Commissioner,,,Total,,6828,
ANGELINA,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,False,6362,100.00
ANGELINA,"Justice, Supreme Court, Place 2",,,Total,,6362,
ANGELINA,"Justice, Supreme Court, Place 4",,REP,John Devine,True,6208,100.00
ANGELINA,"Justice, Supreme Court, Place 4",,,Total,,6208,
ANGELINA,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,True,6304,100.00
ANGELINA,"Justice, Supreme Court, Place 6",,,Total,,6304,
ANGELINA,"Presiding Judge, Court of Criminal Appeals",,REP,David Bridges,False,4619,69.92
ANGELINA,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,True,1987,30.08
ANGELINA,"Presiding Judge, Court of Criminal Appeals",,,Total,,6606,
ANGELINA,Judge Court of Criminal Appeals,7,REP,Barbara Parker Hervey,True,6052,100.00
ANGELINA,Judge Court of Criminal Appeals,7,,Total,,6052,
ANGELINA,Judge Court of Criminal Appeals,8,REP,Jay Brandon,False,2300,36.24
ANGELINA,Judge Court of Criminal Appeals,8,REP,Michelle Slaughter,False,2822,44.47
ANGELINA,Judge Court of Criminal Appeals,8,REP,Dib Waldrip,False,1224,19.29
ANGELINA,Judge Court of Criminal Appeals,8,,Total,,6346,
ANGELINA,State Senator,3,REP,Robert Nichols,True,6793,100.00
ANGELINA,State Senator,3,,Total,,6793,
ANGELINA,State Representative,57,REP,Trent Ashby,True,7472,100.00
ANGELINA,State Representative,57,,Total,,7472,
ANGELINA,"Justice, 12th Court of Appeals District, Place 3",,REP,Greg Neeley,True,6178,100.00
ANGELINA,"Justice, 12th Court of Appeals District, Place 3",,,Total,,6178,
ANGELINA,District Judge,159th Judicial District,REP,Paul E. White,True,6880,100.00
ANGELINA,District Judge,159th Judicial District,,Total,,6880,
ANGELINA,District Judge,217th Judicial District,REP,Robert Bob Inselmann,True,6840,100.00
ANGELINA,District Judge,217th Judicial District,,Total,,6840,
ANGELINA,Proposition 1  Texas should replace the property tax system with an appropriate consumption tax equivalent,,REP,IN FAVOR,False,5129,67.36
ANGELINA,Proposition 1  Texas should replace the property tax system with an appropriate consumption tax equivalent,,REP,AGAINST,False,2485,32.64
ANGELINA,Proposition 1  Texas should replace the property tax system with an appropriate consumption tax equivalent,,,Total,,7614,
ANGELINA,Proposition 2  No governmental entity should ever construct or fund construction of toll roads without voter,,REP,IN FAVOR,False,7285,91.51
ANGELINA,Proposition 2  No governmental entity should ever construct or fund construction of toll roads without voter,,REP,AGAINST,False,676,8.49
ANGELINA,Proposition 2  No governmental entity should ever construct or fund construction of toll roads without voter,,,Total,,7961,
ANGELINA,Proposition 3  Republicans in the Texas House should select their Speaker nominee by secret ballot in a bind,,REP,IN FAVOR,False,6913,87.86
ANGELINA,Proposition 3  Republicans in the Texas House should select their Speaker nominee by secret ballot in a bind,,REP,AGAINST,False,955,12.14
ANGELINA,Proposition 3  Republicans in the Texas House should select their Speaker nominee by secret ballot in a bind,,,Total,,7868,
ANGELINA,Proposition 4  Texas should require employers to screen new hires through the free EVerify system to protec,,REP,IN FAVOR,False,7338,92.29
ANGELINA,Proposition 4  Texas should require employers to screen new hires through the free EVerify system to protec,,REP,AGAINST,False,613,7.71
ANGELINA,Proposition 4  Texas should require employers to screen new hires through the free EVerify system to protec,,,Total,,7951,
ANGELINA,"Proposition 5  Texas families should be empowered to choose from public, private, charter, or homeschool opt",,REP,IN FAVOR,False,6362,79.53
ANGELINA,"Proposition 5  Texas families should be empowered to choose from public, private, charter, or homeschool opt",,REP,AGAINST,False,1638,20.48
ANGELINA,"Proposition 5  Texas families should be empowered to choose from public, private, charter, or homeschool opt",,,Total,,8000,
ANGELINA,Proposition 6  Texas should protect the privacy and safety of women and children in spaces such as bathrooms,,REP,IN FAVOR,False,7659,94.81
ANGELINA,Proposition 6  Texas should protect the privacy and safety of women and children in spaces such as bathrooms,,REP,AGAINST,False,419,5.19
ANGELINA,Proposition 6  Texas should protect the privacy and safety of women and children in spaces such as bathrooms,,,Total,,8078,
ANGELINA,Proposition 7  I believe abortion should be abolished in Texas,,REP,IN FAVOR,False,6083,76.60
ANGELINA,Proposition 7  I believe abortion should be abolished in Texas,,REP,AGAINST,False,1858,23.40
ANGELINA,Proposition 7  I believe abortion should be abolished in Texas,,,Total,,7941,
ANGELINA,Proposition 8  Vote fraud should be a felony in Texas to help ensure fair elections,,REP,IN FAVOR,False,7762,96.48
ANGELINA,Proposition 8  Vote fraud should be a felony in Texas to help ensure fair elections,,REP,AGAINST,False,283,3.52
ANGELINA,Proposition 8  Vote fraud should be a felony in Texas to help ensure fair elections,,,Total,,8045,
ANGELINA,Proposition 9  Texas demands that Congress completely repeal Obamacare,,REP,IN FAVOR,False,7254,90.40
ANGELINA,Proposition 9  Texas demands that Congress completely repeal Obamacare,,REP,AGAINST,False,770,9.60
ANGELINA,Proposition 9  Texas demands that Congress completely repeal Obamacare,,,Total,,8024,
ANGELINA,"Proposition 10  To slow the growth of property taxes, yearly revenue increases should be capped at 4%, with",,REP,IN FAVOR,False,7420,94.37
ANGELINA,"Proposition 10  To slow the growth of property taxes, yearly revenue increases should be capped at 4%, with",,REP,AGAINST,False,443,5.63
ANGELINA,"Proposition 10  To slow the growth of property taxes, yearly revenue increases should be capped at 4%, with",,,Total,,7863,
ANGELINA,Proposition 11  Tax dollars should not be used to fund the building of stadiums for professional or semipro,,REP,IN FAVOR,False,7162,89.25
ANGELINA,Proposition 11  Tax dollars should not be used to fund the building of stadiums for professional or semipro,,REP,AGAINST,False,863,10.75
ANGELINA,Proposition 11  Tax dollars should not be used to fund the building of stadiums for professional or semipro,,,Total,,8025,
ARANSAS,U. S. Senator,,REP,Ted Cruz,True,2684,83.04
ARANSAS,U. S. Senator,,REP,Stefano de Stefano,False,132,4.08
ARANSAS,U. S. Senator,,REP,"Bruce Jacobson, Jr.",False,119,3.68
ARANSAS,U. S. Senator,,REP,Mary Miller,False,246,7.61
ARANSAS,U. S. Senator,,REP,Geraldine Sam,False,51,1.58
ARANSAS,U. S. Senator,,,Total,,3232,
ARANSAS,U. S. Representative,27,REP,Bech Bruun,False,1451,49.45
ARANSAS,U. S. Representative,27,REP,Michael Cloud,False,494,16.84
ARANSAS,U. S. Representative,27,REP,Eddie Gassman,False,63,2.15
ARANSAS,U. S. Representative,27,REP,John Grunwald,False,199,6.78
ARANSAS,U. S. Representative,27,REP,Jerry Hall,False,330,11.25
ARANSAS,U. S. Representative,27,REP,Christopher K. Mapp,False,397,13.53
ARANSAS,U. S. Representative,27,,Total,,2934,
ARANSAS,Governor,,REP,Greg Abbott,True,2953,90.56
ARANSAS,Governor,,REP,SECEDE Kilgore,False,51,1.56
ARANSAS,Governor,,REP,Barbara Krueger,False,257,7.88
ARANSAS,Governor,,,Total,,3261,
ARANSAS,Lieutenant Governor,,REP,Scott Milder,False,795,25.95
ARANSAS,Lieutenant Governor,,REP,Dan Patrick,True,2269,74.05
ARANSAS,Lieutenant Governor,,,Total,,3064,
ARANSAS,Attorney General,,REP,Ken Paxton,True,2712,100.00
ARANSAS,Attorney General,,,Total,,2712,
ARANSAS,Comptroller of Public Accounts,,REP,Glenn Hegar,True,2669,100.00
ARANSAS,Comptroller of Public Accounts,,,Total,,2669,
ARANSAS,Commissioner of the General Land Office,,REP,George P. Bush,True,1857,60.31
ARANSAS,Commissioner of the General Land Office,,REP,Davey Edwards,False,178,5.78
ARANSAS,Commissioner of the General Land Office,,REP,Jerry Patterson,False,890,28.91
ARANSAS,Commissioner of the General Land Office,,REP,Rick Range,False,154,5.00
ARANSAS,Commissioner of the General Land Office,,,Total,,3079,
ARANSAS,Commissioner of Agriculture,,REP,Trey Blocker,False,598,22.41
ARANSAS,Commissioner of Agriculture,,REP,Jim Hogan,False,853,31.97
ARANSAS,Commissioner of Agriculture,,REP,Sid Miller,True,1217,45.61
ARANSAS,Commissioner of Agriculture,,,Total,,2668,
ARANSAS,Railroad Commissioner,,REP,Christi Craddick,True,2099,77.77
ARANSAS,Railroad Commissioner,,REP,Weston Martinez,False,600,22.23
ARANSAS,Railroad Commissioner,,,Total,,2699,
ARANSAS,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,False,2501,100.00
ARANSAS,"Justice, Supreme Court, Place 2",,,Total,,2501,
ARANSAS,"Justice, Supreme Court, Place 4",,REP,John Devine,True,2473,100.00
ARANSAS,"Justice, Supreme Court, Place 4",,,Total,,2473,
ARANSAS,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,True,2458,100.00
ARANSAS,"Justice, Supreme Court, Place 6",,,Total,,2458,
ARANSAS,"Presiding Judge, Court of Criminal Appeals",,REP,David Bridges,False,1259,47.22
ARANSAS,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,True,1407,52.78
ARANSAS,"Presiding Judge, Court of Criminal Appeals",,,Total,,2666,
ARANSAS,Judge Court of Criminal Appeals,7,REP,Barbara Parker Hervey,True,2434,100.00
ARANSAS,Judge Court of Criminal Appeals,7,,Total,,2434,
ARANSAS,Judge Court of Criminal Appeals,8,REP,Jay Brandon,False,971,38.49
ARANSAS,Judge Court of Criminal Appeals,8,REP,Michelle Slaughter,False,1094,43.36
ARANSAS,Judge Court of Criminal Appeals,8,REP,Dib Waldrip,False,458,18.15
