county,precinct,office,district,candidate,party,early_voting,election_day,votes
Menard,4,"Justice, 4th Court of Appeals District, Place No. 4",,Luz Elena Chapa,,16,6,22
Menard,4,"Justice, 4th Court of Appeals District, Place No. 5",,Rebecca Simmons,,74,36,110
Menard,4,"Justice, 4th Court of Appeals District, Place No. 5",,Liza Rodriguez,,17,7,24
Menard,4,"Justice, 4th Court of Appeals District, Place No. 7",,Shane Stolarczyk,,72,35,107
Menard,4,"Justice, 4th Court of Appeals District, Place No. 7",,Rebeca Martinez,,18,8,26
Menard,4,"District Judge, 452nd Judicial District",,"Robert R. ""Rob"" Hofmann",,80,40,120
Menard,4,"District Attorney, 452nd Judicial District",,Tonya Spaeth Ahlschwede,,79,39,118
Menard,5,Straight Party,,Republican Party,REP,17,13,30
Menard,5,Straight Party,,Democratic Party,DEM,0,2,2
Menard,5,Straight Party,,Libertarian Party,LIB,0,0,0
Menard,5,U.S. Senate,,Ted Cruz,REP,21,17,38
Menard,5,U.S. Senate,,Beto O'Rourke,DEM,0,3,3
Menard,5,U.S. Senate,,Neal M. Dikeman,LIB,0,0,0
Menard,5,U.S. House,11,Mike Conaway,REP,21,17,38
Menard,5,U.S. House,11,Jennie Lou Leeder,DEM,0,3,3
Menard,5,U.S. House,11,Rhett Rosenquest Smith,LIB,0,0,0
Menard,5,Governor,,Greg Abbott,REP,21,17,38
Menard,5,Governor,,Lupe Valdez,DEM,0,3,3
Menard,5,Governor,,Mark Jay Tippetts,LIB,0,0,0
Menard,5,Lieutenant Governor,,Dan Patrick,REP,21,18,39
Menard,5,Lieutenant Governor,,Mike Collier,DEM,0,3,3
Menard,5,Lieutenant Governor,,Kerry Douglas McKennon,LIB,0,0,0
Menard,5,Attorney General,,Ken Paxton,REP,21,18,39
Menard,5,Attorney General,,Justin Nelson,DEM,0,3,3
Menard,5,Attorney General,,Michael Ray Harris,LIB,0,0,0
Menard,5,Comptroller of Public Accounts,,Glenn Hegar,REP,21,18,39
Menard,5,Comptroller of Public Accounts,,Joi Chevalier,DEM,0,3,3
Menard,5,Comptroller of Public Accounts,,Ben Sanders,LIB,0,0,0
Menard,5,Commissioner of the General Land Office,,George P. Bush,REP,21,18,39
Menard,5,Commissioner of the General Land Office,,Miguel Suazo,DEM,0,3,3
Menard,5,Commissioner of the General Land Office,,Matt Pi–a,LIB,0,0,0
Menard,5,Commissioner of Agriculture,,Sid Miller,REP,21,17,38
Menard,5,Commissioner of Agriculture,,Kim Olson,DEM,0,3,3
Menard,5,Commissioner of Agriculture,,Richard Carpenter,LIB,0,0,0
Menard,5,Railroad Commissioner,,Christi Craddick,REP,21,17,38
Menard,5,Railroad Commissioner,,Roman McAllen,DEM,0,3,3
Menard,5,Railroad Commissioner,,Mike Wright,LIB,0,1,1
Menard,5,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,,21,18,39
Menard,5,"Justice, Supreme Court, Place 2",,Steven Kirkland,,0,3,3
Menard,5,"Justice, Supreme Court, Place 4",,John Devine,,21,18,39
Menard,5,"Justice, Supreme Court, Place 4",,R.K. Sandill,,0,3,3
Menard,5,"Justice, Supreme Court, Place 6",,Jeff Brown,,21,18,39
Menard,5,"Justice, Supreme Court, Place 6",,Kathy Cheng,,0,3,3
Menard,5,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,,21,18,39
Menard,5,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri) Jackson,,0,3,3
Menard,5,"Presiding Judge, Court of Criminal Appeals",,William Bryan Strange III,,0,0,0
Menard,5,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,,21,18,39
Menard,5,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,,0,3,3
Menard,5,"Judge, Court of Criminal Appeals, Place 8",,Michelle Slaughter,,21,18,39
Menard,5,"Judge, Court of Criminal Appeals, Place 8",,Mark Ash,,0,1,1
Menard,5,State Representative,53,Andrew S. Murr,REP,21,18,39
Menard,5,State Representative,53,Stephanie Lochte Ertel,DEM,0,3,3
Menard,5,"Justice, 4th Court of Appeals District, Place No. 2",,Marialyn Barnard,,21,18,39
Menard,5,"Justice, 4th Court of Appeals District, Place No. 2",,Beth Watkins,,0,3,3
Menard,5,"Justice, 4th Court of Appeals District, Place No. 3",,Jason Pulliam,,21,18,39
Menard,5,"Justice, 4th Court of Appeals District, Place No. 3",,Patricia O'Connell Alvarez,,0,3,3
Menard,5,"Justice, 4th Court of Appeals District, Place No. 4",,Patrick Ballantyne,,21,18,39
Menard,5,"Justice, 4th Court of Appeals District, Place No. 4",,Luz Elena Chapa,,0,3,3
Menard,5,"Justice, 4th Court of Appeals District, Place No. 5",,Rebecca Simmons,,21,18,39
Menard,5,"Justice, 4th Court of Appeals District, Place No. 5",,Liza Rodriguez,,0,3,3
Menard,5,"Justice, 4th Court of Appeals District, Place No. 7",,Shane Stolarczyk,,21,18,39
Menard,5,"Justice, 4th Court of Appeals District, Place No. 7",,Rebeca Martinez,,0,3,3
Menard,5,"District Judge, 452nd Judicial District",,"Robert R. ""Rob"" Hofmann",,21,18,39
Menard,5,"District Attorney, 452nd Judicial District",,Tonya Spaeth Ahlschwede,,21,16,37
Menard,6,Straight Party,,Republican Party,REP,17,19,36
