county,precinct,office,district,party,candidate,votes,election_day,early_voting
Hardin,Precinct 9,Comptroller of Public Accounts,,DEM,Joi Chevalier,237,111,126
Hardin,Precinct 9,Comptroller of Public Accounts,,LIB,Ben Sanders,25,13,12
Hardin,Precinct 9,Commissioner of the General Land Office,,REP,George P Bush,1008,403,605
Hardin,Precinct 9,Commissioner of the General Land Office,,DEM,Miguel Suazo,249,114,135
Hardin,Precinct 9,Commissioner of the General Land Office,,LIB,Matt Pina ,33,22,11
Hardin,Precinct 9,Railroad Commissioner,,REP,Christi Craddick,1014,408,606
Hardin,Precinct 9,Railroad Commissioner,,DEM,Roman McAllen,246,111,135
Hardin,Precinct 9,Railroad Commissioner,,LIB,Mike Wright,25,16,9
Hardin,Precinct 9,State Senate,3,REP,Robert Nichols,1027,414,613
Hardin,Precinct 9,State Senate,3,DEM,Shirley Layton,252,117,135
Hardin,Precinct 9,State Senate,3,LIB,Bruce Quarles,11,8,3
Hardin,Precinct 9,State Representative,19,REP,James White,1057,435,622
Hardin,Precinct 9,State Representative,19,DEM,Sherry Williams,231,102,129
Hardin,Precinct 10,Ballots Cast,,,,,,1609
Hardin,Precinct 10,Straight Party,,REP,,556,89,467
Hardin,Precinct 10,Straight Party,,DEM,,309,151,158
Hardin,Precinct 10,Straight Party,,LIB,,0,0,0
Hardin,Precinct 10,U.S. Senate,,REP,Ted Cruz,1044,140,904
Hardin,Precinct 10,U.S. Senate,,DEM,Beto O'Rourke,424,185,239
Hardin,Precinct 10,U.S. Senate,,LIB,Neal M Dikeman,3,2,1
Hardin,Precinct 10,U.S. House,36,REP,Brian Babin,1037,137,900
Hardin,Precinct 10,U.S. House,36,DEM,Dayna Steele,486,188,298
Hardin,Precinct 10,Governor ,,REP,Greg Abbott,958,144,814
Hardin,Precinct 10,Governor ,,DEM,Lupe Valdez,420,177,243
Hardin,Precinct 10,Governor ,,LIB,Mark Jay Tippetts,7,5,2
Hardin,Precinct 10,Lieutenant Governor,,REP,Dan Patrick,910,131,779
Hardin,Precinct 10,Lieutenant Governor,,DEM,Mike Collier,471,192,279
Hardin,Precinct 10,Lieutenant Governor,,LIB,Kerry Douglas McKennon,13,3,10
Hardin,Precinct 10,Attorney General,,REP,Ken Paxton,843,136,707
Hardin,Precinct 10,Attorney General,,DEM,Justin Nelson,414,189,225
Hardin,Precinct 10,Attorney General,,LIB,Michael Ray Harris,4,1,3
Hardin,Precinct 10,Comptroller of Public Accounts,,REP,Glenn Hegar,928,132,796
Hardin,Precinct 10,Comptroller of Public Accounts,,DEM,Joi Chevalier,435,187,248
Hardin,Precinct 10,Comptroller of Public Accounts,,LIB,Ben Sanders,21,4,17
Hardin,Precinct 10,Commissioner of the General Land Office,,REP,George P Bush,908,135,773
Hardin,Precinct 10,Commissioner of the General Land Office,,DEM,Miguel Suazo,433,184,249
Hardin,Precinct 10,Commissioner of the General Land Office,,LIB,Matt Pina ,36,5,31
Hardin,Precinct 10,Railroad Commissioner,,REP,Christi Craddick,1019,132,887
Hardin,Precinct 10,Railroad Commissioner,,DEM,Roman McAllen,409,187,222
Hardin,Precinct 10,Railroad Commissioner,,LIB,Mike Wright,14,3,11
