candidate,office,district,party,county,precinct,early_voting,election_day,votes
Ben Sanders,Comptroller of Public Accounts,,LIB,Borden,2B,0,0,0
George P. Bush,Commissioner of the General Land Office,,REP,Borden,2B,9,11,20
Miguel Suazo,Commissioner of the General Land Office,,DEM,Borden,2B,1,1,2
Matt Pina,Commissioner of the General Land Office,,LIB,Borden,2B,1,0,1
Christi Craddick,Railroad Commissioner,,REP,Borden,2B,11,10,21
Roman McAllen,Railroad Commissioner,,DEM,Borden,2B,0,2,2
Mike Wright,Railroad Commissioner,,LIB,Borden,2B,0,0,0
Dustin Burrows ,State Representative ,83,REP,Borden,2B,11,11,22
Drew Landry ,State Representative ,83,DEM,Borden,2B,0,1,1
,Registered Voters,,,Borden,3A,33,33,66
,Ballots Cast,,,Borden,3A,22,4,26
,Straight Party,,REP,Borden,3A,12,3,15
,Straight Party,,DEM,Borden,3A,0,0,0
,Straight Party,,LIB,Borden,3A,0,0,0
Ted Cruz,U.S. Senate,,REP,Borden,3A,22,4,26
Beto O'Rourke,U.S. Senate,,DEM,Borden,3A,0,0,0
Neal M Dikeman,U.S. Senate,,LIB,Borden,3A,0,0,0
Jodey Arrington ,U.S. House,19,REP,Borden,3A,20,4,24
Miguel Levario ,U.S. House,19,DEM,Borden,3A,0,0,0
Greg Abbott,Governor ,,REP,Borden,3A,21,4,25
Lupe Valdez,Governor ,,DEM,Borden,3A,0,0,0
Mark Jay Tippetts,Governor ,,LIB,Borden,3A,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Borden,3A,19,4,23
Mike Collier,Lieutenant Governor,,DEM,Borden,3A,1,0,1
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Borden,3A,1,0,1
Ken Paxton,Attorney General ,,REP,Borden,3A,20,4,24
Justin Nelson,Attorney General ,,DEM,Borden,3A,1,0,1
Michael Ray Harris,Attorney General ,,LIB,Borden,3A,0,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Borden,3A,19,4,23
Joi Chevalier,Comptroller of Public Accounts,,DEM,Borden,3A,0,0,0
Ben Sanders,Comptroller of Public Accounts,,LIB,Borden,3A,1,0,1
George P. Bush,Commissioner of the General Land Office,,REP,Borden,3A,21,4,25
Miguel Suazo,Commissioner of the General Land Office,,DEM,Borden,3A,0,0,0
Matt Pina,Commissioner of the General Land Office,,LIB,Borden,3A,0,0,0
Christi Craddick,Railroad Commissioner,,REP,Borden,3A,19,4,23
Roman McAllen,Railroad Commissioner,,DEM,Borden,3A,1,0,1
Mike Wright,Railroad Commissioner,,LIB,Borden,3A,1,0,1
Dustin Burrows ,State Representative ,83,REP,Borden,3A,19,4,23
Drew Landry ,State Representative ,83,DEM,Borden,3A,1,0,1
,Registered Voters,,,Borden,3B,47,47,94
,Ballots Cast,,,Borden,3B,11,20,31
,Straight Party,,REP,Borden,3B,8,12,20
,Straight Party,,DEM,Borden,3B,0,0,0
,Straight Party,,LIB,Borden,3B,0,0,0
Ted Cruz,U.S. Senate,,REP,Borden,3B,11,20,31
Beto O'Rourke,U.S. Senate,,DEM,Borden,3B,0,0,0
Neal M Dikeman,U.S. Senate,,LIB,Borden,3B,0,0,0
Jodey Arrington ,U.S. House,19,REP,Borden,3B,11,20,31
Miguel Levario ,U.S. House,19,DEM,Borden,3B,0,0,0
Greg Abbott,Governor ,,REP,Borden,3B,11,20,31
Lupe Valdez,Governor ,,DEM,Borden,3B,0,0,0
Mark Jay Tippetts,Governor ,,LIB,Borden,3B,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Borden,3B,11,20,31
Mike Collier,Lieutenant Governor,,DEM,Borden,3B,0,0,0
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Borden,3B,0,0,0
Ken Paxton,Attorney General ,,REP,Borden,3B,11,20,31
Justin Nelson,Attorney General ,,DEM,Borden,3B,0,0,0
Michael Ray Harris,Attorney General ,,LIB,Borden,3B,0,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Borden,3B,11,20,31
Joi Chevalier,Comptroller of Public Accounts,,DEM,Borden,3B,0,0,0
Ben Sanders,Comptroller of Public Accounts,,LIB,Borden,3B,0,0,0
George P. Bush,Commissioner of the General Land Office,,REP,Borden,3B,9,19,28
Miguel Suazo,Commissioner of the General Land Office,,DEM,Borden,3B,1,0,1
Matt Pina,Commissioner of the General Land Office,,LIB,Borden,3B,0,0,0
Christi Craddick,Railroad Commissioner,,REP,Borden,3B,11,20,31
Roman McAllen,Railroad Commissioner,,DEM,Borden,3B,0,0,0
Mike Wright,Railroad Commissioner,,LIB,Borden,3B,0,0,0
Dustin Burrows ,State Representative ,83,REP,Borden,3B,11,19,30
Drew Landry ,State Representative ,83,DEM,Borden,3B,0,1,1
,Registered Voters,,,Borden,4,127,127,254
,Ballots Cast,,,Borden,4,62,40,102
,Straight Party,,REP,Borden,4,40,22,62
,Straight Party,,DEM,Borden,4,0,0,0
,Straight Party,,LIB,Borden,4,0,0,0
Ted Cruz,U.S. Senate,,REP,Borden,4,58,37,95
Beto O'Rourke,U.S. Senate,,DEM,Borden,4,2,2,4
Neal M Dikeman,U.S. Senate,,LIB,Borden,4,0,0,0
Jodey Arrington ,U.S. House,19,REP,Borden,4,59,38,97
Miguel Levario ,U.S. House,19,DEM,Borden,4,1,1,2
Greg Abbott,Governor ,,REP,Borden,4,58,38,96
Lupe Valdez,Governor ,,DEM,Borden,4,1,1,2
Mark Jay Tippetts,Governor ,,LIB,Borden,4,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Borden,4,58,32,90
Mike Collier,Lieutenant Governor,,DEM,Borden,4,2,6,8
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Borden,4,0,0,0
Ken Paxton,Attorney General ,,REP,Borden,4,57,38,95
Justin Nelson,Attorney General ,,DEM,Borden,4,3,1,4
Michael Ray Harris,Attorney General ,,LIB,Borden,4,0,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Borden,4,58,37,95
Joi Chevalier,Comptroller of Public Accounts,,DEM,Borden,4,1,1,2
Ben Sanders,Comptroller of Public Accounts,,LIB,Borden,4,0,0,0
George P. Bush,Commissioner of the General Land Office,,REP,Borden,4,57,37,94
Miguel Suazo,Commissioner of the General Land Office,,DEM,Borden,4,2,2,4
Matt Pina,Commissioner of the General Land Office,,LIB,Borden,4,1,0,1
Christi Craddick,Railroad Commissioner,,REP,Borden,4,59,38,97
Roman McAllen,Railroad Commissioner,,DEM,Borden,4,1,1,2
Mike Wright,Railroad Commissioner,,LIB,Borden,4,0,0,0
Dustin Burrows ,State Representative ,83,REP,Borden,4,59,35,94
Drew Landry ,State Representative ,83,DEM,Borden,4,1,3,4
