county,office,candidate,party,precinct,precinct_name,early_voting,election_day,votes,
Hardin,Commissioner of Agriculture,Sidney Miller,REP,14,pinewood fire station,6,37,43,
Hardin,Commissioner of Agriculture,Trey Blocker,REP,14,pinewood fire station,2,9,11,
Hardin,Commissioner of Agriculture,Jimmie Hogan,REP,15,sour lake community cente,14,61,75,
Hardin,Commissioner of Agriculture,Sidney Miller,REP,15,sour lake community cente,22,52,74,
Hardin,Commissioner of Agriculture,Trey Blocker,REP,15,sour lake community cente,3,17,20,
Hardin,Commissioner of Agriculture,Jimmie Hogan,REP,16,parkway life,33,44,77,
Hardin,Commissioner of Agriculture,Sidney Miller,REP,16,parkway life,31,53,84,
Hardin,Commissioner of Agriculture,Trey Blocker,REP,16,parkway life,12,13,25,
Hardin,Commissioner of Agriculture,Jimmie Hogan,REP,17,pineridge church,6,21,27,
Hardin,Commissioner of Agriculture,Sidney Miller,REP,17,pineridge church,9,31,40,
Hardin,Commissioner of Agriculture,Trey Blocker,REP,17,pineridge church,5,8,13,
Hardin,Commissioner of Agriculture,Jimmie Hogan,REP,18,church of christ lumberto,82,140,222,
Hardin,Commissioner of Agriculture,Sidney Miller,REP,18,church of christ lumberto,93,144,237,
Hardin,Commissioner of Agriculture,Trey Blocker,REP,18,church of christ lumberto,31,39,70,
Hardin,Commissioner of Agriculture,Jimmie Hogan,REP,19,keith road fire station,10,20,30,
Hardin,Commissioner of Agriculture,Sidney Miller,REP,19,keith road fire station,7,25,32,
Hardin,Commissioner of Agriculture,Trey Blocker,REP,19,keith road fire station,2,5,7,
Hardin,Commissioner of Agriculture,Jimmie Hogan,REP,2,yyafa,49,75,124,
Hardin,Commissioner of Agriculture,Sidney Miller,REP,2,yyafa,57,133,190,
Hardin,Commissioner of Agriculture,Trey Blocker,REP,2,yyafa,16,23,39,
Hardin,Commissioner of Agriculture,Jimmie Hogan,REP,3,saratoga fire station,9,46,55,
Hardin,Commissioner of Agriculture,Sidney Miller,REP,3,saratoga fire station,6,42,48,
Hardin,Commissioner of Agriculture,Trey Blocker,REP,3,saratoga fire station,6,8,14,
Hardin,Commissioner of Agriculture,Jimmie Hogan,REP,4,batson baptist church,11,97,108,
Hardin,Commissioner of Agriculture,Sidney Miller,REP,4,batson baptist church,10,79,89,
Hardin,Commissioner of Agriculture,Trey Blocker,REP,4,batson baptist church,2,19,21,
Hardin,Commissioner of Agriculture,Jimmie Hogan,REP,5,thicket fire station,8,41,49,
Hardin,Commissioner of Agriculture,Sidney Miller,REP,5,thicket fire station,5,37,42,
Hardin,Commissioner of Agriculture,Trey Blocker,REP,5,thicket fire station,3,14,17,
Hardin,Commissioner of Agriculture,Jimmie Hogan,REP,6,woodcrest baptist church,47,68,115,
Hardin,Commissioner of Agriculture,Sidney Miller,REP,6,woodcrest baptist church,53,91,144,
Hardin,Commissioner of Agriculture,Trey Blocker,REP,6,woodcrest baptist church,17,26,43,
Hardin,Commissioner of Agriculture,Jimmie Hogan,REP,7,honey island assembly god,19,28,47,
Hardin,Commissioner of Agriculture,Sidney Miller,REP,7,honey island assembly god,22,30,52,
Hardin,Commissioner of Agriculture,Trey Blocker,REP,7,honey island assembly god,0,9,9,
Hardin,Commissioner of Agriculture,Jimmie Hogan,REP,8,vfw hall,9,20,29,
Hardin,Commissioner of Agriculture,Sidney Miller,REP,8,vfw hall,14,30,44,
Hardin,Commissioner of Agriculture,Trey Blocker,REP,8,vfw hall,6,11,17,
Hardin,Commissioner of Agriculture,Jimmie Hogan,REP,9,first assembly church,22,62,84,
Hardin,Commissioner of Agriculture,Sidney Miller,REP,9,first assembly church,17,104,121,
Hardin,Commissioner of Agriculture,Trey Blocker,REP,9,first assembly church,10,29,39,
Hardin,Commissioner of the General Land Office,Carl Allen Morgan,DEM,1,courthouse,9,8,17,
Hardin,Commissioner of the General Land Office,Miguel Andrés Suazo,DEM,1,courthouse,4,12,16,
Hardin,Commissioner of the General Land Office,Carl Allen Morgan,DEM,10,st johns episcopal church,9,17,26,
Hardin,Commissioner of the General Land Office,Miguel Andrés Suazo,DEM,10,st johns episcopal church,12,7,19,
Hardin,Commissioner of the General Land Office,Carl Allen Morgan,DEM,11,wiley mae church,1,7,8,
Hardin,Commissioner of the General Land Office,Miguel Andrés Suazo,DEM,11,wiley mae church,2,2,4,
Hardin,Commissioner of the General Land Office,Carl Allen Morgan,DEM,12,church of christ kountze,2,5,7,
Hardin,Commissioner of the General Land Office,Miguel Andrés Suazo,DEM,12,church of christ kountze,5,5,10,
Hardin,Commissioner of the General Land Office,Carl Allen Morgan,DEM,13,pete trest,5,3,8,
Hardin,Commissioner of the General Land Office,Miguel Andrés Suazo,DEM,13,pete trest,3,7,10,
Hardin,Commissioner of the General Land Office,Carl Allen Morgan,DEM,14,pinewood fire station,1,1,2,
Hardin,Commissioner of the General Land Office,Miguel Andrés Suazo,DEM,14,pinewood fire station,1,2,3,
Hardin,Commissioner of the General Land Office,Carl Allen Morgan,DEM,15,sour lake community cente,2,8,10,
Hardin,Commissioner of the General Land Office,Miguel Andrés Suazo,DEM,15,sour lake community cente,1,13,14,
Hardin,Commissioner of the General Land Office,Carl Allen Morgan,DEM,16,parkway church,3,3,6,
Hardin,Commissioner of the General Land Office,Miguel Andrés Suazo,DEM,16,parkway church,3,11,14,
Hardin,Commissioner of the General Land Office,Carl Allen Morgan,DEM,17,pineridge church,2,5,7,
Hardin,Commissioner of the General Land Office,Miguel Andrés Suazo,DEM,17,pineridge church,2,1,3,
Hardin,Commissioner of the General Land Office,Carl Allen Morgan,DEM,18,church of christ lumberto,18,10,28,
Hardin,Commissioner of the General Land Office,Miguel Andrés Suazo,DEM,18,church of christ lumberto,17,15,32,
Hardin,Commissioner of the General Land Office,Carl Allen Morgan,DEM,19,keith road fire station,3,0,3,
Hardin,Commissioner of the General Land Office,Miguel Andrés Suazo,DEM,19,keith road fire station,3,9,12,
Hardin,Commissioner of the General Land Office,Carl Allen Morgan,DEM,2,yyafa,11,14,25,
Hardin,Commissioner of the General Land Office,Miguel Andrés Suazo,DEM,2,yyafa,12,15,27,
Hardin,Commissioner of the General Land Office,Carl Allen Morgan,DEM,3,saratoga fire station,0,0,0,
Hardin,Commissioner of the General Land Office,Miguel Andrés Suazo,DEM,3,saratoga fire station,1,1,2,
Hardin,Commissioner of the General Land Office,Carl Allen Morgan,DEM,4,first baptist batson,0,2,2,
Hardin,Commissioner of the General Land Office,Miguel Andrés Suazo,DEM,4,first baptist batson,0,1,1,
Hardin,Commissioner of the General Land Office,Carl Allen Morgan,DEM,5,thicket fire station,0,3,3,
Hardin,Commissioner of the General Land Office,Miguel Andrés Suazo,DEM,5,thicket fire station,0,1,1,
Hardin,Commissioner of the General Land Office,Carl Allen Morgan,DEM,6,crestwood baptist church,14,20,34,
Hardin,Commissioner of the General Land Office,Miguel Andrés Suazo,DEM,6,crestwood baptist church,6,14,20,
Hardin,Commissioner of the General Land Office,Carl Allen Morgan,DEM,7,assembly of god honey isl,0,0,0,
Hardin,Commissioner of the General Land Office,Miguel Andrés Suazo,DEM,7,assembly of god honey isl,0,0,0,
Hardin,Commissioner of the General Land Office,Carl Allen Morgan,DEM,8,vfw hall village mills,5,4,9,
Hardin,Commissioner of the General Land Office,Miguel Andrés Suazo,DEM,8,vfw hall village mills,0,2,2,
Hardin,Commissioner of the General Land Office,Carl Allen Morgan,DEM,9,assembly of god silsbee,11,14,25,
Hardin,Commissioner of the General Land Office,Miguel Andrés Suazo,DEM,9,assembly of god silsbee,7,13,20,
Hardin,Commissioner of the General Land Office,George Bush,REP,1,courthouse,54,48,102,
Hardin,Commissioner of the General Land Office,Jerry Patterson,REP,1,courthouse,15,23,38,
Hardin,Commissioner of the General Land Office,Richard Range,REP,1,courthouse,2,5,7,
Hardin,Commissioner of the General Land Office,William Edwards,REP,1,courthouse,1,2,3,
Hardin,Commissioner of the General Land Office,George Bush,REP,10,st johns episcopal church,15,41,56,
Hardin,Commissioner of the General Land Office,Jerry Patterson,REP,10,st johns episcopal church,0,13,13,
Hardin,Commissioner of the General Land Office,Richard Range,REP,10,st johns episcopal church,1,0,1,
Hardin,Commissioner of the General Land Office,William Edwards,REP,10,st johns episcopal church,0,3,3,
Hardin,Commissioner of the General Land Office,George Bush,REP,11,wiley mae church,14,32,46,
Hardin,Commissioner of the General Land Office,Jerry Patterson,REP,11,wiley mae church,9,24,33,
Hardin,Commissioner of the General Land Office,Richard Range,REP,11,wiley mae church,1,0,1,
Hardin,Commissioner of the General Land Office,William Edwards,REP,11,wiley mae church,1,0,1,
Hardin,Commissioner of the General Land Office,George Bush,REP,12,church of christ kountze,37,37,74,
Hardin,Commissioner of the General Land Office,Jerry Patterson,REP,12,church of christ kountze,13,13,26,
Hardin,Commissioner of the General Land Office,Richard Range,REP,12,church of christ kountze,1,1,2,
Hardin,Commissioner of the General Land Office,William Edwards,REP,12,church of christ kountze,5,1,6,
Hardin,Commissioner of the General Land Office,George Bush,REP,13,pete trest building,86,86,172,
Hardin,Commissioner of the General Land Office,Jerry Patterson,REP,13,pete trest building,21,36,57,
Hardin,Commissioner of the General Land Office,Richard Range,REP,13,pete trest building,4,5,9,
Hardin,Commissioner of the General Land Office,William Edwards,REP,13,pete trest building,1,5,6,
