county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee
Nueces,1,"Judge, County Court-at-Law No. 4",,REP,Under Votes,19,11,4,4
Nueces,1,"Judge, County Court-at-Law No. 5",,REP,Timothy McCoy,57,32,18,7
Nueces,1,"Judge, County Court-at-Law No. 5",,REP,Over Votes,0,0,0,0
Nueces,1,"Judge, County Court-at-Law No. 5",,REP,Under Votes,18,11,3,4
Nueces,1,District Clerk,,REP,Anne Lorentzen,62,35,19,8
Nueces,1,District Clerk,,REP,Over Votes,0,0,0,0
Nueces,1,District Clerk,,REP,Under Votes,13,8,2,3
Nueces,1,County Clerk,,REP,Kara Sands,64,37,19,8
Nueces,1,County Clerk,,REP,Over Votes,0,0,0,0
Nueces,1,County Clerk,,REP,Under Votes,11,6,2,3
Nueces,1,"County Commissioner, Precinct No. 1",,REP,Carolyn Vaughn,58,36,17,5
Nueces,1,"County Commissioner, Precinct No. 1",,REP,Over Votes,0,0,0,0
Nueces,1,"County Commissioner, Precinct No. 1",,REP,Under Votes,17,7,4,6
Nueces,1,"Justice of the Peace, Precinct No. 1 Place 2",,REP,Manuel (Manny) Rangel,57,30,19,8
Nueces,1,"Justice of the Peace, Precinct No. 1 Place 2",,REP,Over Votes,0,0,0,0
Nueces,1,"Justice of the Peace, Precinct No. 1 Place 2",,REP,Under Votes,18,13,2,3
Nueces,1,County Chairman,,REP,Michael Bergsma,57,32,17,8
Nueces,1,County Chairman,,REP,Over Votes,0,0,0,0
Nueces,1,County Chairman,,REP,Under Votes,18,11,4,3
Nueces,1,U.S. Senate,,DEM,Edward Kimbrough,7,2,4,1
Nueces,1,U.S. Senate,,DEM,Beto O'Rourke,57,26,26,5
Nueces,1,U.S. Senate,,DEM,Over Votes,0,0,0,0
Nueces,1,U.S. Senate,,DEM,Under Votes,3,1,2,0
Nueces,1,U.S. Senate,,DEM,Sema Hernandez,18,11,7,0
Nueces,1,U.S. House,27,DEM,Raul (Roy) Barrera,23,10,12,1
Nueces,1,U.S. House,27,DEM,Ronnie McDonald,8,3,3,2
Nueces,1,U.S. House,27,DEM,Over Votes,0,0,0,0
Nueces,1,U.S. House,27,DEM,Under Votes,0,0,0,0
Nueces,1,U.S. House,27,DEM,Eric Holguin,43,20,20,3
Nueces,1,U.S. House,27,DEM,Venessa Edwards Foster,11,7,4,0
Nueces,1,Governor,,DEM,Lupe Valdez,41,21,18,2
Nueces,1,Governor,,DEM,Adrian Ocegueda,4,2,2,0
Nueces,1,Governor,,DEM,"Cedric Davis, Sr.",1,1,0,0
Nueces,1,Governor,,DEM,Tom Wakely,8,4,4,0
Nueces,1,Governor,,DEM,Over Votes,0,0,0,0
Nueces,1,Governor,,DEM,Under Votes,11,4,7,0
Nueces,1,Governor,,DEM,Grady Yarbrough,5,0,5,0
Nueces,1,Governor,,DEM,Joe Mumbach,1,0,0,1
Nueces,1,Governor,,DEM,Andrew White,9,4,2,3
Nueces,1,Governor,,DEM,James Jolly Clark,0,0,0,0
Nueces,1,Governor,,DEM,Jeffrey Payne,5,4,1,0
Nueces,1,Lieutenant Governor,,DEM,Michael Cooper,33,19,12,2
Nueces,1,Lieutenant Governor,,DEM,Over Votes,0,0,0,0
Nueces,1,Lieutenant Governor,,DEM,Under Votes,12,5,7,0
Nueces,1,Lieutenant Governor,,DEM,Mike Collier,40,16,20,4
Nueces,1,Attorney General,,DEM,Justin Nelson,68,36,28,4
Nueces,1,Attorney General,,DEM,Over Votes,0,0,0,0
Nueces,1,Attorney General,,DEM,Under Votes,17,4,11,2
Nueces,1,Comptroller of Public Accounts,,DEM,Tim Mahoney,38,19,16,3
Nueces,1,Comptroller of Public Accounts,,DEM,Over Votes,0,0,0,0
Nueces,1,Comptroller of Public Accounts,,DEM,Under Votes,17,6,11,0
Nueces,1,Comptroller of Public Accounts,,DEM,Joi Chevalier,30,15,12,3
Nueces,1,Commissioner of the General Land Office,,DEM,Miguel Suazo,50,25,22,3
Nueces,1,Commissioner of the General Land Office,,DEM,Tex Morgan,22,11,8,3
Nueces,1,Commissioner of the General Land Office,,DEM,Over Votes,0,0,0,0
Nueces,1,Commissioner of the General Land Office,,DEM,Under Votes,13,4,9,0
Nueces,1,Commissioner of Agriculture,,DEM,Kim Olson,67,33,29,5
Nueces,1,Commissioner of Agriculture,,DEM,Over Votes,0,0,0,0
Nueces,1,Commissioner of Agriculture,,DEM,Under Votes,18,7,10,1
Nueces,1,Railroad Commissioner,,DEM,Roman McAllen,45,24,17,4
Nueces,1,Railroad Commissioner,,DEM,Chris Spellmon,22,10,10,2
Nueces,1,Railroad Commissioner,,DEM,Over Votes,0,0,0,0
Nueces,1,Railroad Commissioner,,DEM,Under Votes,18,6,12,0
Nueces,1,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,68,35,28,5
Nueces,1,"Justice, Supreme Court, Place 2",,DEM,Over Votes,0,0,0,0
Nueces,1,"Justice, Supreme Court, Place 2",,DEM,Under Votes,17,5,11,1
Nueces,1,"Justice, Supreme Court, Place 4",,DEM,R.K. Sandill,65,35,26,4
Nueces,1,"Justice, Supreme Court, Place 4",,DEM,Over Votes,0,0,0,0
Nueces,1,"Justice, Supreme Court, Place 4",,DEM,Under Votes,20,5,13,2
Nueces,1,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,66,35,26,5
Nueces,1,"Justice, Supreme Court, Place 6",,DEM,Over Votes,0,0,0,0
Nueces,1,"Justice, Supreme Court, Place 6",,DEM,Under Votes,19,5,13,1
Nueces,1,"Presiding Judge, Court of Criminal Appeals",,DEM,Maria T. (Terri) Jackson,68,35,28,5
Nueces,1,"Presiding Judge, Court of Criminal Appeals",,DEM,Over Votes,0,0,0,0
Nueces,1,"Presiding Judge, Court of Criminal Appeals",,DEM,Under Votes,17,5,11,1
Nueces,1,"Judge, Court of Criminal Appeals, Place 7",,DEM,Ramona Franklin,66,34,27,5
Nueces,1,"Judge, Court of Criminal Appeals, Place 7",,DEM,Over Votes,0,0,0,0
Nueces,1,"Judge, Court of Criminal Appeals, Place 7",,DEM,Under Votes,19,6,12,1
Nueces,1,"Member, State Board of Education",2,DEM,Michelle Arvalo Dvila,53,27,23,3
Nueces,1,"Member, State Board of Education",2,DEM,Over Votes,0,0,0,0
Nueces,1,"Member, State Board of Education",2,DEM,Under Votes,10,3,6,1
Nueces,1,"Member, State Board of Education",2,DEM,"Ruben Cortez, Jr.",22,10,10,2
Nueces,1,State Representative,34,DEM,Abel Herrero,71,36,31,4
Nueces,1,State Representative,34,DEM,Over Votes,0,0,0,0
Nueces,1,State Representative,34,DEM,Under Votes,14,4,8,2
Nueces,1,"Chief Justice, 13th Court of Appeals District",,DEM,Dori Contreras,57,29,23,5
Nueces,1,"Chief Justice, 13th Court of Appeals District",,DEM,Over Votes,0,0,0,0
Nueces,1,"Chief Justice, 13th Court of Appeals District",,DEM,Under Votes,8,3,5,0
Nueces,1,"Chief Justice, 13th Court of Appeals District",,DEM,Ray Thomas,20,8,11,1
Nueces,1,"Justice, 13th Court of Appeals District, Place 2",,DEM,Nora Longoria,68,35,29,4
Nueces,1,"Justice, 13th Court of Appeals District, Place 2",,DEM,Over Votes,0,0,0,0
Nueces,1,"Justice, 13th Court of Appeals District, Place 2",,DEM,Under Votes,17,5,10,2
Nueces,1,"Justice, 13th Court of Appeals District, Place 4",,DEM,Rudy Delgado,62,34,24,4
Nueces,1,"Justice, 13th Court of Appeals District, Place 4",,DEM,Over Votes,0,0,0,0
Nueces,1,"Justice, 13th Court of Appeals District, Place 4",,DEM,Under Votes,23,6,15,2
Nueces,1,"Justice, 13th Court of Appeals District, Place 5",,DEM,Gina Benavides,65,33,28,4
Nueces,1,"Justice, 13th Court of Appeals District, Place 5",,DEM,Over Votes,0,0,0,0
Nueces,1,"Justice, 13th Court of Appeals District, Place 5",,DEM,Under Votes,20,7,11,2
Nueces,1,"District Judge, 94th Judicial District",,DEM,Bobby Galvan,73,37,32,4
Nueces,1,"District Judge, 94th Judicial District",,DEM,Over Votes,0,0,0,0
Nueces,1,"District Judge, 94th Judicial District",,DEM,Under Votes,12,3,7,2
Nueces,1,"District Judge, 105th Judicial District",,DEM,Craig D. Henderson,66,34,27,5
Nueces,1,"District Judge, 105th Judicial District",,DEM,Over Votes,0,0,0,0
Nueces,1,"District Judge, 105th Judicial District",,DEM,Under Votes,19,6,12,1
Nueces,1,"District Judge, 117th Judicial District",,DEM,Sandra Watts,68,34,29,5
Nueces,1,"District Judge, 117th Judicial District",,DEM,Over Votes,0,0,0,0
Nueces,1,"District Judge, 117th Judicial District",,DEM,Under Votes,17,6,10,1
Nueces,1,"District Judge, 148th Judicial District",,DEM,Carlos Valdez,40,20,16,4
Nueces,1,"District Judge, 148th Judicial District",,DEM,Deborah Rios,33,17,15,1
Nueces,1,"District Judge, 148th Judicial District",,DEM,Over Votes,0,0,0,0
Nueces,1,"District Judge, 148th Judicial District",,DEM,Under Votes,12,3,8,1
Nueces,1,County Judge,,DEM,Barbara Canales,73,36,33,4
Nueces,1,County Judge,,DEM,Over Votes,0,0,0,0
Nueces,1,County Judge,,DEM,Under Votes,12,4,6,2
Nueces,1,"Judge, County Court-at-Law No. 1",,DEM,Robert J. Vargas,67,35,28,4
Nueces,1,"Judge, County Court-at-Law No. 1",,DEM,Over Votes,0,0,0,0
Nueces,1,"Judge, County Court-at-Law No. 1",,DEM,Under Votes,18,5,11,2
Nueces,1,"Judge, County Court-at-Law No. 2",,DEM,Lisa Gonzales,67,34,29,4
Nueces,1,"Judge, County Court-at-Law No. 2",,DEM,Over Votes,0,0,0,0
Nueces,1,"Judge, County Court-at-Law No. 2",,DEM,Under Votes,18,6,10,2
Nueces,1,"Judge, County Court-at-Law No. 3",,DEM,Deeanne Svoboda Galvan,70,36,30,4
Nueces,1,"Judge, County Court-at-Law No. 3",,DEM,Over Votes,0,0,0,0
Nueces,1,"Judge, County Court-at-Law No. 3",,DEM,Under Votes,15,4,9,2
Nueces,1,District Clerk,,DEM,Ray Madrigal,30,19,10,1
Nueces,1,District Clerk,,DEM,Over Votes,0,0,0,0
Nueces,1,District Clerk,,DEM,Under Votes,13,3,9,1
Nueces,1,District Clerk,,DEM,Gerald G. Garza,42,18,20,4
Nueces,1,County Clerk,,DEM,Diana Barrera,67,34,30,3
Nueces,1,County Clerk,,DEM,Over Votes,0,0,0,0
Nueces,1,County Clerk,,DEM,Under Votes,18,6,9,3
Nueces,1,"County Commisioner, Precinct No. 1",,DEM,Robert G Hernandez,66,35,28,3
Nueces,1,"County Commisioner, Precinct No. 1",,DEM,Over Votes,0,0,0,0
Nueces,1,"County Commisioner, Precinct No. 1",,DEM,Under Votes,19,5,11,3
Nueces,1,"Justice of the Peace, Precinct No. 1, Place 2",,DEM,Henry Santana,66,35,28,3
Nueces,1,"Justice of the Peace, Precinct No. 1, Place 2",,DEM,Over Votes,0,0,0,0
Nueces,1,"Justice of the Peace, Precinct No. 1, Place 2",,DEM,Under Votes,19,5,11,3
Nueces,1,"Justice of the Peace, Precinct No. 1, Place 3",,DEM,Randy Balderas,27,12,13,2
Nueces,1,"Justice of the Peace, Precinct No. 1, Place 3",,DEM,Over Votes,0,0,0,0
Nueces,1,"Justice of the Peace, Precinct No. 1, Place 3",,DEM,Under Votes,12,4,6,2
Nueces,1,"Justice of the Peace, Precinct No. 1, Place 3",,DEM,Lucy Rubio,46,24,20,2
Nueces,1,County Chairman,,DEM,Coretta Graham,47,26,17,4
Nueces,1,County Chairman,,DEM,Over Votes,0,0,0,0
Nueces,1,County Chairman,,DEM,Under Votes,13,4,8,1
Nueces,1,County Chairman,,DEM,Landers B Balamonte,25,10,14,1
Nueces,1,Proposition No. 1,,REP,YES,35,23,8,4
Nueces,1,Proposition No. 1,,REP,Over Votes,0,0,0,0
Nueces,1,Proposition No. 1,,REP,Under Votes,6,4,2,0
Nueces,1,Proposition No. 1,,REP,NO,34,16,11,7
Nueces,1,Proposition No. 2,,REP,YES,62,35,17,10
Nueces,1,Proposition No. 2,,REP,NO,9,5,3,1
Nueces,1,Proposition No. 2,,REP,Over Votes,0,0,0,0
Nueces,1,Proposition No. 2,,REP,Under Votes,4,3,1,0
Nueces,1,Proposition No. 3,,REP,YES,62,38,14,10
Nueces,1,Proposition No. 3,,REP,NO,11,5,5,1
Nueces,1,Proposition No. 3,,REP,Over Votes,0,0,0,0
Nueces,1,Proposition No. 3,,REP,Under Votes,2,0,2,0
Nueces,1,Proposition No. 4,,REP,YES,68,39,20,9
Nueces,1,Proposition No. 4,,REP,Over Votes,0,0,0,0
Nueces,1,Proposition No. 4,,REP,Under Votes,3,2,0,1
Nueces,1,Proposition No. 4,,REP,NO,4,2,1,1
Nueces,1,Proposition No. 5,,REP,YES,61,37,16,8
Nueces,1,Proposition No. 5,,REP,NO,11,4,5,2
Nueces,1,Proposition No. 5,,REP,Over Votes,0,0,0,0
Nueces,1,Proposition No. 5,,REP,Under Votes,3,2,0,1
Nueces,1,Proposition No. 6,,REP,YES,64,40,16,8
Nueces,1,Proposition No. 6,,REP,NO,7,2,4,1
Nueces,1,Proposition No. 6,,REP,Over Votes,0,0,0,0
Nueces,1,Proposition No. 6,,REP,Under Votes,4,1,1,2
Nueces,1,Proposition No. 7,,REP,YES,42,28,10,4
Nueces,1,Proposition No. 7,,REP,Over Votes,0,0,0,0
Nueces,1,Proposition No. 7,,REP,Under Votes,7,4,1,2
Nueces,1,Proposition No. 7,,REP,NO,26,11,10,5
Nueces,1,Proposition No. 8,,REP,YES,73,43,19,11
Nueces,1,Proposition No. 8,,REP,Over Votes,0,0,0,0
Nueces,1,Proposition No. 8,,REP,Under Votes,0,0,0,0
Nueces,1,Proposition No. 8,,REP,NO,2,0,2,0
Nueces,1,Proposition No. 9,,REP,YES,60,38,13,9
Nueces,1,Proposition No. 9,,REP,NO,12,2,8,2
Nueces,1,Proposition No. 9,,REP,Over Votes,0,0,0,0
Nueces,1,Proposition No. 9,,REP,Under Votes,3,3,0,0
Nueces,1,Proposition No. 10,,REP,YES,71,41,19,11
Nueces,1,Proposition No. 10,,REP,NO,4,2,2,0
Nueces,1,Proposition No. 10,,REP,Over Votes,0,0,0,0
Nueces,1,Proposition No. 10,,REP,Under Votes,0,0,0,0
Nueces,1,Proposition No. 11,,REP,YES,62,36,16,10
Nueces,1,Proposition No. 11,,REP,Over Votes,0,0,0,0
Nueces,1,Proposition No. 11,,REP,Under Votes,1,0,1,0
Nueces,1,Proposition No. 11,,REP,NO,12,7,4,1
Nueces,1,Proposition No. 1,,DEM,YES,76,38,35,3
Nueces,1,Proposition No. 1,,DEM,NO,4,1,2,1
Nueces,1,Proposition No. 1,,DEM,Over Votes,0,0,0,0
Nueces,1,Proposition No. 1,,DEM,Under Votes,5,1,2,2
Nueces,1,Proposition No. 2,,DEM,YES,76,36,37,3
Nueces,1,Proposition No. 2,,DEM,NO,5,3,1,1
Nueces,1,Proposition No. 2,,DEM,Over Votes,0,0,0,0
Nueces,1,Proposition No. 2,,DEM,Under Votes,4,1,1,2
Nueces,1,Proposition No. 3,,DEM,YES,76,38,35,3
Nueces,1,Proposition No. 3,,DEM,Over Votes,0,0,0,0
Nueces,1,Proposition No. 3,,DEM,Under Votes,5,0,3,2
Nueces,1,Proposition No. 3,,DEM,NO,4,2,1,1
Nueces,1,Proposition No. 4,,DEM,YES,76,38,34,4
Nueces,1,Proposition No. 4,,DEM,NO,4,2,2,0
Nueces,1,Proposition No. 4,,DEM,Over Votes,0,0,0,0
Nueces,1,Proposition No. 4,,DEM,Under Votes,5,0,3,2
Nueces,1,Proposition No. 5,,DEM,YES,75,35,36,4
Nueces,1,Proposition No. 5,,DEM,NO,5,4,1,0
Nueces,1,Proposition No. 5,,DEM,Over Votes,0,0,0,0
Nueces,1,Proposition No. 5,,DEM,Under Votes,5,1,2,2
Nueces,1,Proposition No. 6,,DEM,YES,80,40,36,4
Nueces,1,Proposition No. 6,,DEM,Over Votes,0,0,0,0
Nueces,1,Proposition No. 6,,DEM,Under Votes,5,0,3,2
Nueces,1,Proposition No. 6,,DEM,NO,0,0,0,0
Nueces,1,Proposition No. 7,,DEM,YES,80,39,38,3
Nueces,1,Proposition No. 7,,DEM,NO,2,1,0,1
Nueces,1,Proposition No. 7,,DEM,Over Votes,0,0,0,0
Nueces,1,Proposition No. 7,,DEM,Under Votes,3,0,1,2
Nueces,1,Proposition No. 8,,DEM,YES,67,35,29,3
Nueces,1,Proposition No. 8,,DEM,NO,14,5,8,1
Nueces,1,Proposition No. 8,,DEM,Over Votes,0,0,0,0
Nueces,1,Proposition No. 8,,DEM,Under Votes,4,0,2,2
Nueces,1,Proposition No. 9,,DEM,YES,78,38,36,4
Nueces,1,Proposition No. 9,,DEM,Over Votes,0,0,0,0
Nueces,1,Proposition No. 9,,DEM,Under Votes,3,0,2,1
Nueces,1,Proposition No. 9,,DEM,NO,4,2,1,1
Nueces,1,Proposition No. 10,,DEM,YES,80,40,35,5
Nueces,1,Proposition No. 10,,DEM,Over Votes,0,0,0,0
Nueces,1,Proposition No. 10,,DEM,Under Votes,3,0,2,1
Nueces,1,Proposition No. 10,,DEM,NO,2,0,2,0
Nueces,1,Proposition No. 11,,DEM,YES,78,38,36,4
Nueces,1,Proposition No. 11,,DEM,NO,4,2,1,1
Nueces,1,Proposition No. 11,,DEM,Over Votes,0,0,0,0
Nueces,1,Proposition No. 11,,DEM,Under Votes,3,0,2,1
Nueces,1,Proposition No. 12,,DEM,YES,76,36,35,5
Nueces,1,Proposition No. 12,,DEM,Over Votes,0,0,0,0
Nueces,1,Proposition No. 12,,DEM,Under Votes,7,2,4,1
Nueces,1,Proposition No. 12,,DEM,NO,2,2,0,0
Nueces,2,U.S. Senate,,REP,Over Votes,0,0,0,0
Nueces,2,U.S. Senate,,REP,Under Votes,3,1,1,1
Nueces,2,Registered Voters,,REP,,2479,,,
Nueces,2,U.S. Senate,,REP,Stefano de Stefano,7,4,3,0
Nueces,2,U.S. Senate,,REP,Over Votes,0,0,0,0
Nueces,2,U.S. Senate,,REP,Under Votes,3,1,1,1
Nueces,2,U.S. Senate,,REP,Mary Miller,7,4,2,1
Nueces,2,U.S. Senate,,REP,"Bruce Jacobson, Jr.",11,7,3,1
Nueces,2,U.S. Senate,,REP,Geraldine Sam,2,0,2,0
Nueces,2,U.S. Senate,,REP,Ted Cruz,162,73,75,14
Nueces,2,U.S. House,27,REP,Bech Bruun,112,46,58,8
Nueces,2,U.S. House,27,REP,Eddie Gassman,7,3,2,2
Nueces,2,U.S. House,27,REP,Christopher K. Mapp,14,9,5,0
Nueces,2,U.S. House,27,REP,Michael Cloud,34,20,10,4
Nueces,2,U.S. House,27,REP,Jerry Hall,8,4,2,2
Nueces,2,U.S. House,27,REP,Over Votes,0,0,0,0
Nueces,2,U.S. House,27,REP,Under Votes,9,4,4,1
Nueces,2,U.S. House,27,REP,John Grunwald,8,3,5,0
Nueces,2,Governor,,REP,Barbara Krueger,6,6,0,0
Nueces,2,Governor,,REP,Over Votes,0,0,0,0
Nueces,2,Governor,,REP,Under Votes,3,3,0,0
Nueces,2,Governor,,REP,SECEDE Kilgore,2,0,2,0
Nueces,2,Governor,,REP,Greg Abbott,181,80,84,17
Nueces,2,Lieutenant Governor,,REP,Scott Milder,45,19,23,3
