candidate,office,district,party,county,precinct,votes,early/absentee,election_day
Beto O'Rourke ,U.S. Senate,,DEM,Ochiltree,Precinct 3,67,38,29
Neal M. Dikeman,U.S. Senate,,LIB,Ochiltree,Precinct 3,12,6,6
Mac Thornberry,U.S. House,13,REP,Ochiltree,Precinct 3,862,477,385
Greg Sagan,U.S. House,13,DEM,Ochiltree,Precinct 3,43,25,18
Calvin DeWeese,U.S. House,13,LIB,Ochiltree,Precinct 3,18,9,9
Greg Abbott,Governor ,,REP,Ochiltree,Precinct 3,863,480,383
Lupe Valdez,Governor ,,DEM,Ochiltree,Precinct 3,58,32,26
Mark Jay Tippetts ,Governor ,,LIB,Ochiltree,Precinct 3,13,5,8
Dan Patrick,Lieutenant Governor,,REP,Ochiltree,Precinct 3,755,408,347
Mike Collier,Lieutenant Governor,,DEM,Ochiltree,Precinct 3,147,95,52
Kerry Douglad McKennon,Lieutenant Governor,,LIB,Ochiltree,Precinct 3,21,9,12
Ken Paxton,Attorney General,,REP,Ochiltree,Precinct 3,821,448,373
Justin Nelson ,Attorney General,,DEM,Ochiltree,Precinct 3,76,55,21
Michael Ray Harris ,Attorney General,,LIB,Ochiltree,Precinct 3,20,7,13
Glenn Hegar,Comptroller of Public Accounts,,REP,Ochiltree,Precinct 3,854,477,377
Joi Chevalier,Comptroller of Public Accounts,,DEM,Ochiltree,Precinct 3,39,23,16
Ben Sanders,Comptroller of Public Accounts,,LIB,Ochiltree,Precinct 3,22,7,15
George P Bush,Commissioner of the General Land Office,,REP,Ochiltree,Precinct 3,845,478,367
Miguel Suazo,Commissioner of the General Land Office,,DEM,Ochiltree,Precinct 3,45,25,20
Matt Pina,Commissioner of the General Land Office,,LIB,Ochiltree,Precinct 3,27,10,17
Christ Craddick ,Railroad Commissioner,,REP,Ochiltree,Precinct 3,841,468,373
Roman McAllen,Railroad Commissioner,,DEM,Ochiltree,Precinct 3,45,29,16
Mike Wright,Railroad Commissioner,,LIB,Ochiltree,Precinct 3,32,14,18
Kel Seliger ,State Senator,31,REP,Ochiltree,Precinct 3,861,479,382
Jack B Westbrook,State Senator,31,LIB,Ochiltree,Precinct 3,49,26,23
Ken King,State Representative,88,REP,Ochiltree,Precinct 3,851,478,373
Ezekiel Barron,State Representative,88,DEM,Ochiltree,Precinct 3,58,30,28
,Registered Voters,,,Ochiltree,Precinct 4,1401,,
,Ballots Cast,,,Ochiltree,Precinct 4,646,309,337
,Straight Party,,REP,Ochiltree,Precinct 4,361,176,185
,Straight Party,,DEM,Ochiltree,Precinct 4,34,13,21
,Straight Party,,LIB,Ochiltree,Precinct 4,3,0,3
Ted Cruz ,U.S. Senate,,REP,Ochiltree,Precinct 4,569,281,288
Beto O'Rourke ,U.S. Senate,,DEM,Ochiltree,Precinct 4,65,22,43
Neal M. Dikeman,U.S. Senate,,LIB,Ochiltree,Precinct 4,7,2,5
Mac Thornberry,U.S. House,13,REP,Ochiltree,Precinct 4,578,283,295
Greg Sagan,U.S. House,13,DEM,Ochiltree,Precinct 4,59,21,38
Calvin DeWeese,U.S. House,13,LIB,Ochiltree,Precinct 4,4,1,3
Greg Abbott,Governor ,,REP,Ochiltree,Precinct 4,576,283,293
Lupe Valdez,Governor ,,DEM,Ochiltree,Precinct 4,60,21,39
Mark Jay Tippetts ,Governor ,,LIB,Ochiltree,Precinct 4,4,0,4
Dan Patrick,Lieutenant Governor,,REP,Ochiltree,Precinct 4,522,256,266
Mike Collier,Lieutenant Governor,,DEM,Ochiltree,Precinct 4,107,42,65
Kerry Douglad McKennon,Lieutenant Governor,,LIB,Ochiltree,Precinct 4,8,4,4
Ken Paxton,Attorney General,,REP,Ochiltree,Precinct 4,548,269,279
Justin Nelson ,Attorney General,,DEM,Ochiltree,Precinct 4,80,32,48
Michael Ray Harris ,Attorney General,,LIB,Ochiltree,Precinct 4,11,2,9
Glenn Hegar,Comptroller of Public Accounts,,REP,Ochiltree,Precinct 4,570,279,291
Joi Chevalier,Comptroller of Public Accounts,,DEM,Ochiltree,Precinct 4,51,20,31
Ben Sanders,Comptroller of Public Accounts,,LIB,Ochiltree,Precinct 4,12,1,11
George P Bush,Commissioner of the General Land Office,,REP,Ochiltree,Precinct 4,564,274,290
Miguel Suazo,Commissioner of the General Land Office,,DEM,Ochiltree,Precinct 4,54,22,32
Matt Pina,Commissioner of the General Land Office,,LIB,Ochiltree,Precinct 4,15,4,11
Christ Craddick ,Railroad Commissioner,,REP,Ochiltree,Precinct 4,571,281,290
Roman McAllen,Railroad Commissioner,,DEM,Ochiltree,Precinct 4,54,21,33
Mike Wright,Railroad Commissioner,,LIB,Ochiltree,Precinct 4,10,2,8
Kel Seliger ,State Senator,31,REP,Ochiltree,Precinct 4,583,286,297
Jack B Westbrook,State Senator,31,LIB,Ochiltree,Precinct 4,36,11,25
Ken King,State Representative,88,REP,Ochiltree,Precinct 4,571,277,294
Ezekiel Barron,State Representative,88,DEM,Ochiltree,Precinct 4,60,20,40
